Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3022.000;120.880;0.043;7.203;-0.216;0.035;13.987;-0.328;-0.039;25.992;-0.410;-0.249;41.878;-1.052;-0.380;46.225;2.130;-0.204;52.801;3.453;-7.186;56.610;4.558;6.547;57.148;3.525;-3.112;58.699;11.765;3.446;58.956;11.271;-1.707;36.667;-2.472;-15.737;34.927;-1.359;-20.680;21.839;-2.608;-26.144;7.373;-3.989;-21.510;6.110;8.044;-16.256;4.558;22.198;-16.326;2.739;22.780;-12.939;0.710;29.191;-11.726;0.449;31.305;-9.308;0.943;32.271;-7.894;1.804;32.505;-16.482;3.559;22.915;-14.614;2.824;30.136;-12.116;3.200;33.443;-9.418;4.058;34.444;-7.446;4.567;34.631;-16.202;4.983;22.780;-14.925;5.322;30.683;-12.386;5.508;33.942;-9.241;6.131;35.076;-7.209;6.457;35.751;-16.633;5.964;22.670;-15.181;7.695;30.238;-12.832;8.214;33.184;-10.355;8.515;34.511;-8.379;8.397;35.095;-15.639;6.758;24.288;-15.361;9.890;25.990;-13.649;10.925;27.985;-13.019;12.902;29.856;1.515;36.717;-2.295;15.602;34.345;-0.137;21.161;20.869;-1.259;27.304;5.976;-2.500;21.516;5.558;9.023;14.720;4.682;23.190;14.195;2.897;23.966;11.528;0.868;29.802;9.593;0.009;31.962;7.316;0.065;32.999;5.681;0.169;33.474;14.332;3.778;24.166;12.633;2.936;30.644;9.106;2.650;33.326;5.869;2.867;34.167;3.831;3.181;34.549;13.961;5.032;24.461;12.871;5.224;31.395;9.446;5.118;34.581;6.533;5.327;35.492;4.402;5.631;35.871;14.111;5.936;24.371;12.755;7.810;31.168;10.007;8.223;33.816;7.549;8.087;34.688;5.360;8.123;35.102;13.737;6.902;24.774;13.465;10.208;26.735;12.046;11.240;29.643;11.013;13.501;30.823;0.000;0.000;0.000;-7.635;-12.227;-0.903;-10.464;-32.913;0.262;-13.785;-57.197;1.628;-14.170;-101.423;-6.510;7.573;-12.395;-1.196;9.589;-33.034;0.071;11.956;-57.264;1.558;11.802;-101.712;-7.221
3023.000;120.920;0.044;7.203;-0.217;0.038;13.986;-0.330;-0.032;25.991;-0.414;-0.240;41.877;-1.058;-0.371;46.225;2.123;-0.195;52.800;3.445;-7.175;56.614;4.544;6.559;57.143;3.516;-3.102;58.706;11.751;3.456;58.959;11.260;-1.698;36.666;-2.478;-15.727;34.925;-1.378;-20.669;21.838;-2.626;-26.131;7.373;-4.006;-21.518;6.109;8.033;-16.289;4.555;22.191;-16.356;2.741;22.778;-12.988;0.691;29.195;-11.772;0.443;31.312;-9.354;0.961;32.252;-7.932;1.808;32.490;-16.518;3.561;22.913;-14.653;2.839;30.139;-12.160;3.213;33.440;-9.455;4.065;34.451;-7.481;4.575;34.611;-16.234;4.993;22.774;-14.979;5.325;30.685;-12.446;5.513;33.946;-9.320;6.108;35.110;-7.269;6.442;35.718;-16.667;5.977;22.665;-15.226;7.697;30.236;-12.893;8.197;33.192;-10.397;8.526;34.511;-8.414;8.413;35.075;-15.664;6.759;24.281;-15.389;9.889;25.987;-13.683;10.922;27.990;-13.048;12.904;29.854;1.524;36.716;-2.301;15.610;34.342;-0.141;21.159;20.866;-1.284;27.293;5.972;-2.548;21.514;5.557;8.978;14.728;4.683;23.148;14.200;2.921;23.937;11.516;0.889;29.761;9.557;0.050;31.916;7.278;0.093;32.934;5.639;0.220;33.389;14.345;3.800;24.140;12.617;2.947;30.599;9.054;2.705;33.248;5.788;2.958;34.002;3.745;3.282;34.353;13.966;5.042;24.419;12.865;5.236;31.346;9.400;5.189;34.487;6.474;5.415;35.349;4.339;5.718;35.701;14.119;5.945;24.328;12.773;7.835;31.114;10.009;8.297;33.747;7.545;8.157;34.613;5.358;8.161;35.043;13.739;6.917;24.735;13.501;10.214;26.690;12.116;11.266;29.594;11.102;13.539;30.767;0.000;0.000;0.000;-7.634;-12.228;-0.904;-10.464;-32.915;0.266;-13.785;-57.200;1.640;-14.167;-101.428;-6.491;7.574;-12.395;-1.190;9.590;-33.035;0.082;11.956;-57.265;1.575;11.807;-101.713;-7.197
3024.000;120.960;0.046;7.202;-0.220;0.042;13.986;-0.335;-0.024;25.990;-0.424;-0.223;41.877;-1.071;-0.355;46.225;2.109;-0.179;52.800;3.431;-7.157;56.619;4.529;6.578;57.138;3.505;-3.085;58.706;11.738;3.474;58.954;11.249;-1.684;36.666;-2.491;-15.715;34.931;-1.400;-20.659;21.846;-2.650;-26.123;7.383;-4.032;-21.531;6.124;8.017;-16.326;4.573;22.187;-16.388;2.767;22.776;-13.034;0.708;29.196;-11.836;0.474;31.325;-9.419;1.006;32.258;-8.012;1.882;32.477;-16.548;3.587;22.909;-14.712;2.875;30.139;-12.208;3.246;33.434;-9.508;4.098;34.423;-7.537;4.621;34.572;-16.281;5.014;22.764;-15.041;5.355;30.682;-12.514;5.554;33.952;-9.371;6.146;35.059;-7.315;6.474;35.652;-16.715;5.994;22.654;-15.283;7.726;30.226;-12.956;8.224;33.187;-10.456;8.544;34.508;-8.476;8.445;35.084;-15.720;6.779;24.282;-15.430;9.912;25.979;-13.700;10.948;27.974;-13.118;12.938;29.848;1.539;36.714;-2.311;15.620;34.333;-0.144;21.152;20.856;-1.306;27.267;5.960;-2.589;21.492;5.547;8.939;14.714;4.676;23.112;14.181;2.900;23.897;11.495;0.913;29.749;9.532;0.059;31.885;7.261;0.124;32.907;5.618;0.277;33.337;14.322;3.781;24.096;12.603;2.958;30.574;9.024;2.736;33.203;5.759;2.999;33.944;3.713;3.335;34.259;13.955;5.025;24.383;12.841;5.245;31.305;9.360;5.202;34.431;6.434;5.431;35.276;4.294;5.749;35.588;14.104;5.929;24.291;12.762;7.843;31.079;9.997;8.291;33.709;7.531;8.163;34.572;5.346;8.177;35.014;13.743;6.909;24.690;13.510;10.209;26.642;12.124;11.276;29.549;11.165;13.578;30.712;0.000;0.000;0.000;-7.636;-12.226;-0.906;-10.470;-32.913;0.259;-13.797;-57.198;1.628;-14.185;-101.431;-6.500;7.572;-12.397;-1.183;9.581;-33.036;0.087;11.941;-57.265;1.578;11.784;-101.716;-7.200
3025.000;121.000;0.049;7.202;-0.222;0.048;13.985;-0.341;-0.011;25.989;-0.436;-0.204;41.875;-1.093;-0.335;46.225;2.085;-0.158;52.801;3.405;-7.134;56.622;4.503;6.601;57.136;3.479;-3.061;58.709;11.712;3.497;58.954;11.222;-1.667;36.664;-2.509;-15.700;34.938;-1.422;-20.648;21.853;-2.668;-26.117;7.392;-4.044;-21.537;6.142;8.011;-16.345;4.607;22.189;-16.419;2.781;22.773;-13.070;0.763;29.229;-11.890;0.516;31.350;-9.471;1.070;32.254;-8.072;1.968;32.438;-16.576;3.603;22.901;-14.768;2.895;30.148;-12.257;3.273;33.447;-9.540;4.139;34.399;-7.568;4.660;34.545;-16.288;5.062;22.763;-15.078;5.392;30.681;-12.557;5.597;33.958;-9.415;6.168;35.045;-7.343;6.507;35.575;-16.725;6.033;22.651;-15.331;7.763;30.221;-12.981;8.272;33.183;-10.498;8.575;34.503;-8.528;8.485;35.113;-15.742;6.811;24.274;-15.457;9.944;25.989;-13.743;10.977;27.978;-13.138;12.968;29.842;1.556;36.711;-2.330;15.634;34.326;-0.160;21.156;20.845;-1.327;27.260;5.945;-2.617;21.487;5.536;8.912;14.714;4.662;23.085;14.172;2.902;23.877;11.495;0.893;29.719;9.521;0.064;31.861;7.250;0.139;32.874;5.606;0.317;33.294;14.323;3.781;24.078;12.604;2.955;30.551;9.013;2.746;33.169;5.760;3.044;33.893;3.709;3.379;34.174;13.963;5.031;24.354;12.876;5.238;31.293;9.357;5.225;34.391;6.420;5.454;35.216;4.282;5.772;35.545;14.121;5.933;24.263;12.794;7.841;31.053;10.017;8.308;33.681;7.553;8.177;34.542;5.366;8.188;34.972;13.720;6.907;24.643;13.575;10.205;26.604;12.244;11.312;29.475;11.307;13.584;30.713;0.000;0.000;0.000;-7.640;-12.224;-0.902;-10.480;-32.910;0.272;-13.815;-57.194;1.650;-14.214;-101.426;-6.463;7.568;-12.400;-1.177;9.577;-33.038;0.096;11.936;-57.265;1.590;11.779;-101.712;-7.189
3026.000;121.040;0.050;7.202;-0.224;0.054;13.984;-0.344;0.005;25.987;-0.442;-0.179;41.873;-1.098;-0.309;46.224;2.082;-0.130;52.800;3.405;-7.104;56.626;4.505;6.631;57.131;3.475;-3.027;58.711;11.711;3.532;58.952;11.219;-1.644;36.664;-2.515;-15.677;34.944;-1.430;-20.633;21.862;-2.672;-26.111;7.402;-4.045;-21.539;6.159;8.012;-16.356;4.631;22.191;-16.417;2.809;22.781;-13.105;0.790;29.250;-11.959;0.550;31.391;-9.509;1.136;32.257;-8.116;2.047;32.420;-16.575;3.631;22.907;-14.797;2.941;30.159;-12.286;3.326;33.444;-9.570;4.191;34.385;-7.597;4.717;34.505;-16.299;5.083;22.762;-15.126;5.429;30.688;-12.603;5.630;33.968;-9.458;6.218;35.023;-7.374;6.541;35.518;-16.732;6.057;22.647;-15.363;7.800;30.223;-13.048;8.300;33.197;-10.554;8.606;34.527;-8.583;8.533;35.140;-15.753;6.837;24.276;-15.450;9.970;25.975;-13.736;10.994;27.976;-13.129;12.982;29.844;1.578;36.709;-2.335;15.657;34.317;-0.164;21.167;20.833;-1.337;27.257;5.929;-2.632;21.494;5.524;8.902;14.730;4.657;23.081;14.193;2.898;23.876;11.528;0.886;29.710;9.555;0.058;31.862;7.268;0.126;32.866;5.627;0.287;33.303;14.340;3.778;24.077;12.638;2.942;30.552;9.047;2.742;33.169;5.773;3.031;33.877;3.724;3.363;34.174;13.980;5.056;24.347;12.911;5.229;31.292;9.384;5.196;34.385;6.453;5.434;35.220;4.315;5.758;35.538;14.147;5.957;24.259;12.805;7.835;31.051;10.027;8.267;33.675;7.575;8.149;34.541;5.389;8.155;34.975;13.748;6.900;24.632;13.584;10.198;26.602;12.190;11.289;29.520;11.332;13.626;30.695;0.000;0.000;0.000;-7.642;-12.223;-0.900;-10.484;-32.910;0.277;-13.821;-57.194;1.659;-14.221;-101.424;-6.468;7.566;-12.401;-1.174;9.574;-33.038;0.103;11.930;-57.264;1.602;11.767;-101.712;-7.177
3027.000;121.080;0.052;7.201;-0.225;0.059;13.984;-0.347;0.020;25.987;-0.448;-0.150;41.873;-1.104;-0.276;46.224;2.075;-0.090;52.800;3.395;-7.062;56.628;4.498;6.673;57.130;3.466;-2.983;58.709;11.704;3.576;58.949;11.211;-1.620;36.665;-2.522;-15.657;34.959;-1.438;-20.619;21.881;-2.684;-26.103;7.425;-4.060;-21.542;6.180;8.002;-16.374;4.649;22.185;-16.443;2.819;22.774;-13.145;0.843;29.263;-11.990;0.588;31.402;-9.541;1.189;32.242;-8.152;2.111;32.375;-16.600;3.641;22.898;-14.830;2.967;30.158;-12.303;3.352;33.438;-9.588;4.219;34.364;-7.613;4.742;34.447;-16.310;5.125;22.757;-15.166;5.459;30.686;-12.648;5.655;33.975;-9.501;6.225;35.011;-7.413;6.560;35.474;-16.754;6.093;22.643;-15.389;7.826;30.215;-13.085;8.311;33.194;-10.584;8.627;34.523;-8.609;8.569;35.122;-15.782;6.853;24.275;-15.467;9.989;25.969;-13.769;11.000;27.983;-13.113;12.990;29.832;1.603;36.707;-2.342;15.681;34.302;-0.170;21.180;20.815;-1.339;27.259;5.908;-2.630;21.502;5.508;8.906;14.741;4.649;23.088;14.204;2.875;23.879;11.543;0.873;29.718;9.575;0.056;31.880;7.287;0.131;32.886;5.644;0.289;33.318;14.346;3.756;24.077;12.655;2.954;30.563;9.077;2.746;33.192;5.795;3.022;33.904;3.752;3.372;34.221;13.990;5.044;24.355;12.934;5.212;31.300;9.415;5.201;34.407;6.483;5.431;35.242;4.348;5.770;35.564;14.157;5.945;24.267;12.838;7.832;31.063;10.066;8.272;33.694;7.623;8.156;34.568;5.432;8.161;34.980;13.769;6.893;24.631;13.607;10.195;26.601;12.251;11.300;29.495;11.374;13.607;30.711;0.000;0.000;0.000;-7.642;-12.223;-0.899;-10.486;-32.910;0.281;-13.824;-57.194;1.666;-14.226;-101.426;-6.458;7.566;-12.401;-1.173;9.571;-33.040;0.108;11.925;-57.267;1.611;11.755;-101.711;-7.167
3028.000;121.120;0.055;7.200;-0.228;0.066;13.982;-0.353;0.034;25.983;-0.460;-0.127;41.869;-1.127;-0.249;46.223;2.052;-0.061;52.800;3.372;-7.027;56.638;4.477;6.708;57.120;3.437;-2.942;58.717;11.680;3.617;58.947;11.183;-1.600;36.661;-2.540;-15.637;34.964;-1.451;-20.608;21.889;-2.689;-26.102;7.437;-4.057;-21.539;6.194;8.005;-16.370;4.665;22.188;-16.434;2.843;22.780;-13.139;0.847;29.263;-11.974;0.596;31.396;-9.505;1.266;32.148;-8.106;2.179;32.210;-16.593;3.664;22.906;-14.834;2.971;30.164;-12.290;3.305;33.439;-9.533;4.217;34.285;-7.561;4.755;34.326;-16.306;5.123;22.760;-15.149;5.465;30.682;-12.635;5.678;33.971;-9.464;6.242;34.974;-7.378;6.575;35.450;-16.743;6.089;22.644;-15.384;7.847;30.216;-13.066;8.335;33.188;-10.572;8.635;34.510;-8.602;8.567;35.123;-15.780;6.872;24.287;-15.462;10.001;25.974;-13.784;11.004;28.011;-13.074;13.004;29.829;1.622;36.701;-2.361;15.697;34.289;-0.193;21.191;20.796;-1.351;27.263;5.882;-2.632;21.514;5.503;8.910;14.764;4.673;23.098;14.223;2.903;23.892;11.555;0.934;29.750;9.594;0.111;31.906;7.314;0.181;32.916;5.672;0.333;33.352;14.368;3.784;24.088;12.682;2.986;30.574;9.108;2.795;33.213;5.839;3.067;33.946;3.801;3.445;34.265;14.016;5.064;24.362;12.970;5.254;31.310;9.456;5.246;34.428;6.531;5.493;35.281;4.395;5.827;35.599;14.185;5.965;24.271;12.875;7.869;31.071;10.105;8.300;33.709;7.657;8.164;34.589;5.469;8.207;35.011;13.750;6.925;24.641;13.636;10.223;26.607;12.308;11.333;29.512;11.394;13.642;30.697;0.000;0.000;0.000;-7.647;-12.220;-0.893;-10.492;-32.908;0.288;-13.832;-57.194;1.675;-14.240;-101.426;-6.450;7.561;-12.405;-1.169;9.565;-33.042;0.115;11.918;-57.268;1.623;11.742;-101.716;-7.151
3029.000;121.160;0.057;7.201;-0.231;0.070;13.983;-0.359;0.041;25.985;-0.470;-0.112;41.871;-1.141;-0.228;46.226;2.037;-0.026;52.803;3.358;-6.986;56.651;4.468;6.749;57.114;3.417;-2.891;58.725;11.668;3.668;58.945;11.166;-1.588;36.663;-2.553;-15.622;34.976;-1.460;-20.606;21.905;-2.697;-26.115;7.458;-4.063;-21.550;6.220;8.002;-16.379;4.703;22.189;-16.426;2.838;22.767;-13.159;0.879;29.260;-11.976;0.637;31.396;-9.510;1.404;31.975;-8.208;2.442;31.815;-16.569;3.664;22.883;-14.842;2.996;30.170;-12.245;3.270;33.395;-9.407;4.234;33.983;-7.431;4.757;33.930;-16.321;5.157;22.758;-15.157;5.487;30.675;-12.622;5.721;33.942;-9.441;6.266;34.901;-7.337;6.584;35.306;-16.766;6.129;22.642;-15.393;7.876;30.213;-13.087;8.346;33.194;-10.560;8.666;34.485;-8.588;8.606;35.094;-15.785;6.909;24.295;-15.430;10.033;25.978;-13.716;11.033;27.981;-13.043;13.007;29.842;1.635;36.702;-2.374;15.713;34.284;-0.208;21.200;20.788;-1.357;27.266;5.871;-2.626;21.525;5.513;8.921;14.787;4.706;23.118;14.255;2.933;23.913;11.586;0.977;29.779;9.629;0.159;31.936;7.364;0.226;32.956;5.726;0.379;33.408;14.404;3.814;24.107;12.726;3.042;30.601;9.164;2.846;33.257;5.898;3.117;33.997;3.856;3.468;34.321;14.045;5.094;24.385;13.012;5.297;31.331;9.498;5.294;34.447;6.575;5.539;35.303;4.440;5.878;35.625;14.208;5.995;24.292;12.924;7.911;31.083;10.171;8.360;33.732;7.711;8.239;34.609;5.522;8.247;35.024;13.797;6.963;24.654;13.665;10.265;26.614;12.308;11.378;29.529;11.422;13.713;30.686;0.000;0.000;0.000;-7.649;-12.219;-0.888;-10.498;-32.905;0.301;-13.842;-57.189;1.698;-14.254;-101.422;-6.419;7.558;-12.407;-1.162;9.562;-33.041;0.131;11.913;-57.263;1.648;11.734;-101.712;-7.122
3030.000;121.200;0.059;7.202;-0.233;0.074;13.985;-0.361;0.049;25.989;-0.474;-0.097;41.874;-1.152;-0.209;46.230;2.025;0.002;52.807;3.344;-6.952;56.662;4.462;6.781;57.110;3.391;-2.845;58.735;11.655;3.713;58.949;11.143;-1.575;36.666;-2.561;-15.609;34.987;-1.466;-20.606;21.919;-2.696;-26.128;7.475;-4.056;-21.551;6.257;8.008;-16.363;4.764;22.196;-16.409;2.916;22.784;-13.156;0.983;29.276;-11.890;0.809;31.381;-9.483;1.801;31.529;-8.382;2.931;30.975;-16.547;3.743;22.902;-14.835;3.058;30.189;-12.105;3.297;33.304;-9.252;4.366;33.451;-7.402;4.986;32.840;-16.289;5.240;22.759;-15.167;5.581;30.682;-12.615;5.743;33.938;-9.404;6.402;34.702;-7.269;6.709;34.891;-16.738;6.201;22.643;-15.403;7.948;30.208;-13.120;8.403;33.208;-10.593;8.736;34.482;-8.617;8.643;35.072;-15.765;6.970;24.309;-15.343;10.096;25.987;-13.578;11.059;27.957;-12.840;13.009;29.818;1.647;36.703;-2.383;15.725;34.279;-0.222;21.206;20.777;-1.359;27.263;5.854;-2.616;21.539;5.513;8.937;14.822;4.727;23.140;14.282;2.967;23.942;11.627;1.001;29.806;9.670;0.185;31.968;7.407;0.280;32.994;5.763;0.459;33.412;14.434;3.847;24.137;12.756;3.049;30.624;9.192;2.883;33.270;5.926;3.177;34.008;3.886;3.536;34.338;14.080;5.125;24.408;13.049;5.332;31.357;9.548;5.343;34.479;6.611;5.577;35.318;4.478;5.929;35.640;14.247;6.025;24.315;12.959;7.940;31.104;10.218;8.384;33.763;7.756;8.270;34.634;5.569;8.289;35.062;13.867;6.981;24.693;13.706;10.292;26.635;12.367;11.410;29.529;11.510;13.730;30.736;0.000;0.000;0.000;-7.652;-12.218;-0.887;-10.505;-32.903;0.308;-13.854;-57.186;1.711;-14.271;-101.420;-6.415;7.556;-12.409;-1.157;9.557;-33.042;0.141;11.905;-57.264;1.664;11.718;-101.707;-7.117
