Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1686.000;67.440;-0.003;7.206;-0.115;0.013;13.990;-0.255;0.065;25.991;-0.542;-0.130;41.870;-1.343;-0.084;46.095;1.680;0.398;52.449;2.868;-6.435;56.415;4.299;7.238;56.647;2.578;-1.961;58.446;11.282;4.568;58.557;10.460;-1.635;36.648;-2.671;-15.752;34.882;-1.276;-20.724;21.879;-2.775;-26.220;7.507;-4.433;-22.176;5.644;7.672;-17.592;3.204;21.852;-18.057;1.577;22.677;-14.674;-0.781;28.960;-13.446;-0.673;31.156;-12.466;-1.136;33.468;-11.732;-0.944;34.958;-18.094;2.412;22.808;-15.467;1.423;29.783;-12.960;1.679;32.985;-11.371;1.945;35.465;-10.302;2.060;37.205;-17.465;3.613;22.399;-15.223;4.013;30.190;-12.735;4.242;33.357;-10.759;4.543;35.984;-9.464;4.655;37.717;-17.627;4.688;22.261;-15.079;6.339;29.686;-12.706;6.647;32.758;-10.985;6.786;35.012;-9.735;6.601;36.645;-16.350;5.394;23.750;-15.570;8.590;25.253;-13.821;9.941;27.071;-14.298;12.451;28.201;1.591;36.693;-2.579;15.771;33.958;-0.805;20.690;20.281;-2.448;26.128;5.165;-4.263;22.395;4.287;7.976;18.150;2.808;22.932;17.672;1.114;23.782;15.420;-1.091;29.778;13.973;-2.068;32.227;12.402;-2.490;34.003;11.180;-2.710;35.172;17.918;1.962;24.019;16.537;0.972;30.454;14.587;0.497;34.353;12.409;0.405;36.900;11.031;0.465;38.481;17.556;3.125;24.251;16.916;3.175;31.359;14.913;3.066;35.552;12.888;3.206;37.807;11.322;3.454;39.313;17.722;4.026;24.168;16.955;5.770;31.264;14.963;6.323;34.625;13.466;6.437;36.751;12.063;6.551;38.479;17.381;5.061;24.657;17.854;8.204;26.777;17.679;9.556;29.738;18.019;12.178;30.500;0.000;0.000;0.000;-7.555;-12.281;-0.844;-9.092;-33.206;-0.261;-10.893;-57.770;0.423;-8.794;-101.915;-7.783;7.627;-12.290;-1.787;9.044;-33.246;-0.653;10.710;-57.846;0.678;8.668;-102.222;-7.861
1687.000;67.480;-0.003;7.206;-0.116;0.012;13.990;-0.255;0.063;25.991;-0.540;-0.138;41.870;-1.339;-0.094;46.095;1.684;0.387;52.449;2.873;-6.448;56.414;4.303;7.225;56.649;2.580;-1.973;58.450;11.284;4.556;58.562;10.461;-1.641;36.648;-2.668;-15.757;34.874;-1.276;-20.727;21.870;-2.776;-26.219;7.497;-4.434;-22.180;5.637;7.673;-17.601;3.201;21.855;-18.062;1.565;22.679;-14.685;-0.785;28.966;-13.465;-0.677;31.163;-12.484;-1.134;33.478;-11.751;-0.947;34.970;-18.095;2.400;22.807;-15.482;1.423;29.787;-12.976;1.684;32.993;-11.394;1.957;35.475;-10.327;2.080;37.216;-17.478;3.611;22.400;-15.240;4.015;30.194;-12.759;4.255;33.362;-10.780;4.551;35.996;-9.499;4.673;37.738;-17.641;4.687;22.263;-15.092;6.336;29.691;-12.732;6.648;32.766;-11.015;6.791;35.020;-9.762;6.600;36.649;-16.368;5.392;23.754;-15.582;8.588;25.256;-13.833;9.940;27.074;-14.312;12.452;28.201;1.585;36.693;-2.575;15.765;33.963;-0.798;20.690;20.287;-2.439;26.133;5.172;-4.252;22.400;4.293;7.986;18.153;2.816;22.942;17.674;1.113;23.787;15.423;-1.084;29.789;13.982;-2.065;32.239;12.408;-2.487;34.011;11.184;-2.710;35.178;17.915;1.963;24.023;16.544;0.976;30.463;14.588;0.507;34.364;12.407;0.409;36.906;11.027;0.464;38.485;17.556;3.135;24.263;16.925;3.182;31.369;14.914;3.072;35.560;12.884;3.205;37.814;11.317;3.452;39.317;17.722;4.037;24.180;16.963;5.774;31.274;14.974;6.327;34.635;13.468;6.441;36.761;12.069;6.552;38.492;17.386;5.066;24.673;17.859;8.209;26.789;17.695;9.558;29.751;18.012;12.186;30.504;0.000;0.000;0.000;-7.555;-12.281;-0.841;-9.095;-33.206;-0.252;-10.899;-57.770;0.440;-8.804;-101.916;-7.760;7.627;-12.291;-1.783;9.041;-33.246;-0.642;10.705;-57.846;0.697;8.657;-102.221;-7.838
1688.000;67.520;-0.003;7.206;-0.117;0.011;13.989;-0.256;0.060;25.990;-0.539;-0.147;41.869;-1.334;-0.104;46.095;1.691;0.376;52.451;2.883;-6.459;56.415;4.315;7.213;56.652;2.588;-1.983;58.450;11.296;4.546;58.563;10.471;-1.648;36.646;-2.664;-15.762;34.865;-1.277;-20.729;21.860;-2.780;-26.220;7.486;-4.441;-22.186;5.629;7.668;-17.613;3.196;21.853;-18.071;1.560;22.676;-14.696;-0.791;28.963;-13.482;-0.673;31.157;-12.489;-1.131;33.476;-11.761;-0.945;34.970;-18.106;2.395;22.804;-15.493;1.427;29.783;-12.987;1.681;32.990;-11.418;1.964;35.477;-10.345;2.091;37.213;-17.490;3.605;22.397;-15.258;4.016;30.191;-12.766;4.264;33.353;-10.778;4.561;35.988;-9.507;4.690;37.736;-17.652;4.678;22.259;-15.107;6.334;29.689;-12.751;6.646;32.763;-11.025;6.803;35.008;-9.779;6.591;36.641;-16.381;5.387;23.749;-15.594;8.585;25.253;-13.845;9.938;27.067;-14.319;12.450;28.195;1.578;36.693;-2.571;15.759;33.965;-0.790;20.687;20.290;-2.429;26.134;5.176;-4.241;22.399;4.294;7.997;18.151;2.812;22.952;17.673;1.109;23.797;15.421;-1.083;29.802;13.976;-2.076;32.245;12.409;-2.508;34.015;11.176;-2.727;35.174;17.913;1.959;24.033;16.539;0.970;30.471;14.577;0.499;34.371;12.390;0.398;36.908;11.013;0.447;38.489;17.551;3.133;24.273;16.926;3.175;31.377;14.899;3.068;35.564;12.873;3.198;37.816;11.297;3.448;39.309;17.719;4.035;24.191;16.959;5.766;31.284;14.977;6.322;34.640;13.461;6.434;36.768;12.061;6.539;38.499;17.376;5.064;24.683;17.856;8.202;26.800;17.694;9.552;29.756;18.000;12.180;30.512;0.000;0.000;0.000;-7.555;-12.281;-0.840;-9.099;-33.205;-0.242;-10.908;-57.769;0.459;-8.818;-101.915;-7.734;7.627;-12.291;-1.780;9.037;-33.246;-0.630;10.696;-57.845;0.718;8.639;-102.219;-7.810
1689.000;67.560;-0.003;7.205;-0.119;0.012;13.987;-0.259;0.059;25.987;-0.542;-0.151;41.866;-1.329;-0.109;46.094;1.701;0.369;52.454;2.896;-6.466;56.416;4.332;7.205;56.657;2.603;-1.990;58.448;11.313;4.539;58.563;10.487;-1.650;36.644;-2.662;-15.763;34.856;-1.279;-20.729;21.851;-2.789;-26.216;7.477;-4.457;-22.188;5.618;7.654;-17.623;3.183;21.840;-18.087;1.553;22.663;-14.702;-0.812;28.948;-13.484;-0.691;31.141;-12.497;-1.150;33.457;-11.762;-0.958;34.947;-18.128;2.389;22.793;-15.501;1.421;29.769;-12.989;1.678;32.971;-11.421;1.967;35.461;-10.352;2.095;37.199;-17.500;3.592;22.384;-15.275;4.008;30.177;-12.769;4.247;33.334;-10.769;4.566;35.957;-9.493;4.697;37.702;-17.663;4.665;22.245;-15.123;6.325;29.676;-12.760;6.638;32.748;-11.034;6.801;34.986;-9.783;6.588;36.615;-16.380;5.377;23.734;-15.606;8.575;25.238;-13.853;9.928;27.053;-14.325;12.443;28.175;1.576;36.691;-2.568;15.754;33.964;-0.784;20.685;20.290;-2.422;26.134;5.177;-4.233;22.398;4.286;8.006;18.149;2.794;22.963;17.673;1.099;23.811;15.417;-1.100;29.814;13.967;-2.095;32.254;12.412;-2.537;34.024;11.184;-2.749;35.189;17.917;1.947;24.049;16.537;0.952;30.480;14.570;0.467;34.375;12.388;0.368;36.913;11.007;0.415;38.491;17.550;3.112;24.283;16.927;3.154;31.390;14.893;3.039;35.572;12.865;3.168;37.820;11.280;3.419;39.304;17.717;4.014;24.202;16.958;5.742;31.298;14.965;6.295;34.649;13.454;6.405;36.775;12.046;6.506;38.499;17.363;5.049;24.697;17.850;8.184;26.810;17.668;9.535;29.759;17.991;12.153;30.542;0.000;0.000;0.000;-7.555;-12.281;-0.838;-9.104;-33.204;-0.233;-10.919;-57.766;0.477;-8.836;-101.913;-7.709;7.627;-12.292;-1.774;9.033;-33.245;-0.617;10.686;-57.843;0.742;8.623;-102.218;-7.785
1690.000;67.600;-0.003;7.203;-0.121;0.012;13.985;-0.262;0.060;25.982;-0.547;-0.153;41.862;-1.325;-0.112;46.091;1.710;0.366;52.455;2.912;-6.471;56.413;4.349;7.200;56.661;2.620;-1.995;58.445;11.331;4.533;58.563;10.505;-1.651;36.640;-2.661;-15.764;34.845;-1.278;-20.725;21.840;-2.797;-26.207;7.466;-4.476;-22.182;5.603;7.635;-17.618;3.163;21.822;-18.082;1.543;22.650;-14.682;-0.842;28.925;-13.465;-0.708;31.124;-12.489;-1.157;33.432;-11.741;-0.950;34.914;-18.125;2.378;22.782;-15.497;1.407;29.749;-12.984;1.670;32.948;-11.431;1.968;35.440;-10.360;2.095;37.177;-17.496;3.575;22.364;-15.275;3.979;30.158;-12.775;4.237;33.315;-10.789;4.551;35.942;-9.514;4.694;37.687;-17.664;4.645;22.225;-15.125;6.312;29.652;-12.766;6.626;32.728;-11.040;6.782;34.971;-9.784;6.586;36.597;-16.391;5.354;23.716;-15.612;8.559;25.223;-13.858;9.912;27.024;-14.335;12.419;28.162;1.575;36.688;-2.567;15.751;33.962;-0.785;20.683;20.287;-2.419;26.134;5.172;-4.224;22.402;4.256;8.017;18.158;2.735;22.975;17.685;1.038;23.820;15.424;-1.177;29.818;13.981;-2.180;32.255;12.413;-2.624;34.019;11.188;-2.842;35.186;17.930;1.886;24.059;16.557;0.876;30.494;14.572;0.392;34.379;12.382;0.275;36.910;10.989;0.327;38.477;17.562;3.044;24.298;16.944;3.085;31.405;14.906;2.939;35.585;12.858;3.062;37.818;11.252;3.305;39.280;17.726;3.947;24.218;16.977;5.660;31.318;14.962;6.209;34.668;13.452;6.306;36.784;12.029;6.413;38.496;17.372;4.986;24.713;17.856;8.118;26.838;17.663;9.462;29.790;17.988;12.077;30.583;0.000;0.000;0.000;-7.555;-12.281;-0.835;-9.108;-33.203;-0.223;-10.927;-57.763;0.494;-8.850;-101.912;-7.685;7.627;-12.293;-1.769;9.029;-33.247;-0.602;10.679;-57.844;0.767;8.612;-102.218;-7.764
1691.000;67.640;-0.003;7.203;-0.123;0.012;13.983;-0.265;0.060;25.978;-0.549;-0.155;41.859;-1.316;-0.115;46.089;1.724;0.363;52.456;2.931;-6.476;56.412;4.367;7.196;56.663;2.644;-2.003;58.443;11.350;4.525;58.563;10.528;-1.653;36.638;-2.656;-15.764;34.831;-1.267;-20.722;21.828;-2.805;-26.202;7.456;-4.505;-22.178;5.601;7.606;-17.617;3.170;21.793;-18.086;1.552;22.632;-14.684;-0.813;28.897;-13.427;-0.664;31.080;-12.479;-1.041;33.403;-11.712;-0.823;34.873;-18.130;2.386;22.767;-15.484;1.435;29.718;-12.973;1.702;32.903;-11.457;2.006;35.415;-10.412;2.151;37.167;-17.495;3.601;22.328;-15.288;3.978;30.125;-12.773;4.269;33.270;-10.830;4.573;35.932;-9.573;4.727;37.688;-17.670;4.672;22.195;-15.129;6.325;29.619;-12.780;6.582;32.719;-11.104;6.745;34.988;-9.874;6.524;36.631;-16.399;5.371;23.695;-15.602;8.565;25.190;-13.855;9.912;26.987;-14.328;12.413;28.142;1.573;36.687;-2.562;15.750;33.963;-0.785;20.688;20.286;-2.413;26.146;5.170;-4.212;22.419;4.196;8.033;18.180;2.605;22.997;17.708;0.888;23.818;15.453;-1.369;29.805;14.036;-2.406;32.237;12.434;-2.843;33.980;11.185;-3.074;35.119;17.945;1.738;24.059;16.587;0.676;30.500;14.573;0.168;34.369;12.325;0.030;36.847;10.894;0.074;38.380;17.584;2.906;24.322;16.966;2.900;31.432;14.892;2.685;35.594;12.802;2.801;37.780;11.143;3.025;39.184;17.749;3.809;24.249;16.987;5.465;31.361;14.966;5.967;34.704;13.399;6.028;36.774;11.919;6.127;38.437;17.383;4.838;24.763;17.823;7.964;26.901;17.612;9.277;29.863;17.859;11.889;30.695;0.000;0.000;0.000;-7.556;-12.281;-0.832;-9.111;-33.201;-0.216;-10.934;-57.760;0.508;-8.863;-101.910;-7.667;7.627;-12.294;-1.764;9.026;-33.246;-0.588;10.671;-57.843;0.793;8.598;-102.216;-7.744
1692.000;67.680;-0.003;7.199;-0.124;0.012;13.977;-0.267;0.059;25.967;-0.553;-0.170;41.848;-1.302;-0.127;46.080;1.748;0.363;52.455;2.964;-6.474;56.416;4.393;7.199;56.658;2.677;-2.004;58.449;11.378;4.525;58.565;10.558;-1.663;36.627;-2.647;-15.770;34.792;-1.243;-20.728;21.803;-2.807;-26.209;7.446;-4.537;-22.170;5.708;7.569;-17.608;3.425;21.751;-18.102;1.830;22.630;-14.712;-0.404;28.922;-13.470;-0.120;31.081;-12.547;-0.318;33.442;-11.784;-0.013;34.899;-18.143;2.665;22.755;-15.498;1.798;29.706;-12.999;2.105;32.896;-11.713;2.441;35.503;-10.766;2.618;37.307;-17.471;3.948;22.238;-15.311;4.388;30.096;-13.041;4.685;33.363;-11.262;5.020;36.198;-10.249;5.180;38.106;-17.668;5.020;22.105;-15.130;6.641;29.561;-12.964;6.806;32.814;-11.660;6.912;35.274;-10.649;6.672;37.058;-16.343;5.644;23.619;-15.512;8.848;25.091;-13.734;10.193;26.864;-14.177;12.711;27.992;1.563;36.678;-2.553;15.742;33.972;-0.795;20.692;20.296;-2.413;26.164;5.180;-4.202;22.451;4.073;8.058;18.224;2.325;23.046;17.742;0.552;23.797;15.528;-1.826;29.733;14.102;-2.911;32.141;12.447;-3.375;33.828;11.166;-3.621;34.927;17.948;1.406;24.049;16.633;0.210;30.491;14.486;-0.341;34.278;12.054;-0.492;36.593;10.530;-0.449;38.033;17.621;2.575;24.381;16.993;2.422;31.467;14.812;2.070;35.569;12.540;2.135;37.593;10.786;2.367;38.876;17.774;3.481;24.326;16.962;4.996;31.453;14.912;5.319;34.770;13.197;5.247;36.726;11.592;5.271;38.273;17.362;4.488;24.843;17.597;7.575;27.126;17.178;8.781;30.102;17.205;11.322;31.160;0.000;0.000;0.000;-7.556;-12.281;-0.833;-9.117;-33.200;-0.209;-10.946;-57.757;0.524;-8.881;-101.910;-7.647;7.627;-12.295;-1.757;9.021;-33.248;-0.575;10.660;-57.845;0.811;8.581;-102.215;-7.725
1693.000;67.720;-0.002;7.195;-0.124;0.012;13.968;-0.268;0.058;25.951;-0.555;-0.218;41.833;-1.266;-0.178;46.069;1.805;0.329;52.457;3.050;-6.499;56.447;4.440;7.180;56.636;2.764;-2.043;58.499;11.428;4.489;58.589;10.628;-1.695;36.611;-2.625;-15.782;34.707;-1.237;-20.803;21.753;-2.766;-26.353;7.434;-4.456;-22.256;6.094;7.632;-17.736;4.429;21.823;-18.311;2.870;22.805;-15.079;0.976;29.272;-13.988;1.467;31.406;-13.086;1.490;33.828;-12.370;1.945;35.270;-18.299;3.713;22.875;-15.742;3.177;29.890;-13.599;3.608;33.259;-12.808;4.081;36.044;-12.251;4.365;37.991;-17.534;5.052;22.198;-15.510;5.765;30.204;-13.787;6.151;33.794;-12.808;6.720;36.966;-12.380;6.961;39.075;-17.711;6.101;22.017;-15.205;7.938;29.522;-13.599;8.236;33.088;-12.930;8.507;35.791;-12.542;8.437;37.818;-16.306;6.671;23.593;-15.311;9.900;24.878;-13.477;11.226;26.611;-13.753;13.841;27.556;1.531;36.672;-2.530;15.719;34.029;-0.792;20.705;20.365;-2.392;26.215;5.262;-4.161;22.514;3.840;8.119;18.292;1.715;23.133;17.897;-0.115;23.788;15.748;-2.835;29.559;14.244;-3.993;31.880;12.488;-4.462;33.460;11.138;-4.714;34.471;18.065;0.738;24.075;16.797;-0.799;30.456;14.255;-1.470;33.986;11.559;-1.671;35.968;9.838;-1.652;37.165;17.668;1.865;24.494;17.032;1.371;31.507;14.516;0.779;35.382;12.055;0.717;37.158;10.152;0.825;38.227;17.782;2.779;24.478;16.837;3.901;31.623;14.686;3.878;34.866;12.836;3.555;36.652;11.089;3.396;38.026;17.289;3.695;25.048;16.926;6.592;27.621;16.150;7.435;30.712;15.497;9.761;32.030;0.000;0.000;0.000;-7.557;-12.280;-0.838;-9.125;-33.198;-0.203;-10.961;-57.754;0.543;-8.903;-101.909;-7.624;7.626;-12.296;-1.752;9.013;-33.248;-0.561;10.645;-57.845;0.837;8.555;-102.214;-7.699
1694.000;67.760;-0.001;7.195;-0.130;0.013;13.968;-0.274;0.055;25.951;-0.557;-0.310;41.834;-1.217;-0.300;46.075;1.906;0.185;52.471;3.244;-6.613;56.544;4.535;7.079;56.578;2.962;-2.190;58.633;11.533;4.349;58.649;10.782;-1.752;36.608;-2.597;-15.814;34.602;-1.319;-21.009;21.682;-2.553;-26.750;7.402;-3.917;-22.644;7.150;8.162;-18.119;6.787;22.339;-18.908;5.486;23.500;-16.233;4.335;30.323;-15.197;5.073;32.457;-14.560;5.469;34.918;-13.995;6.146;36.338;-18.831;6.327;23.460;-16.607;6.598;30.576;-15.019;7.443;34.127;-14.798;8.412;36.876;-14.650;9.047;38.814;-17.844;7.518;22.559;-16.168;9.103;30.591;-15.035;9.945;34.313;-14.773;10.942;37.545;-14.833;11.527;39.629;-17.929;8.553;22.237;-15.530;11.077;29.635;-14.509;11.825;33.332;-14.531;12.466;36.013;-14.620;12.648;38.068;-16.478;9.103;23.840;-15.147;12.336;24.734;-13.252;13.687;26.379;-13.207;16.422;26.950;1.473;36.686;-2.491;15.663;34.171;-0.708;20.746;20.545;-2.267;26.364;5.485;-3.991;22.649;3.416;8.272;18.322;0.458;23.201;18.093;-1.471;23.686;16.032;-4.684;29.191;14.469;-5.982;31.376;12.629;-6.568;32.825;11.221;-6.911;33.725;18.175;-0.627;24.028;16.935;-2.688;30.276;13.993;-3.706;33.399;11.077;-4.196;34.979;9.209;-4.305;35.927;17.664;0.425;24.573;16.973;-0.594;31.456;14.172;-1.618;35.034;11.529;-1.988;36.503;9.541;-2.074;37.407;17.686;1.344;24.622;16.534;1.822;31.758;14.331;1.327;34.888;12.396;0.670;36.500;10.574;0.197;37.693;17.105;2.126;25.224;15.953;4.586;28.102;14.811;4.868;31.241;13.440;6.729;32.733;0.000;0.000;0.000;-7.561;-12.278;-0.828;-9.140;-33.194;-0.174;-10.989;-57.747;0.594;-8.945;-101.904;-7.565;7.623;-12.300;-1.736;9.000;-33.249;-0.526;10.620;-57.840;0.895;8.513;-102.213;-7.640
