Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
322.000;12.880;0.066;7.233;-0.204;0.014;14.044;-0.349;-0.220;26.096;-0.544;-0.537;41.979;-1.223;-0.569;46.313;1.998;-0.028;52.824;3.460;-6.846;56.923;4.554;6.849;56.944;3.005;-2.446;59.345;11.458;4.094;59.355;10.719;-1.960;36.755;-2.631;-16.022;34.864;-1.287;-21.117;21.990;-3.021;-26.748;7.762;-4.938;-22.269;5.373;6.935;-17.249;2.550;20.803;-18.204;1.164;21.801;-16.219;-0.621;28.816;-15.083;-0.637;31.064;-14.066;-1.136;33.372;-13.173;-1.028;34.782;-18.032;1.993;21.778;-16.614;1.985;29.107;-14.700;2.455;32.716;-12.899;2.745;35.069;-11.639;2.829;36.677;-16.875;3.017;21.177;-15.944;4.436;29.173;-14.429;4.882;32.993;-12.263;4.993;35.567;-10.925;5.043;37.269;-16.857;4.021;20.845;-15.174;6.511;28.306;-14.058;7.314;31.866;-12.536;7.498;34.260;-11.368;7.247;35.944;-15.568;4.558;22.538;-14.233;7.688;23.573;-12.594;8.814;25.370;-11.784;11.398;26.060;1.262;36.827;-2.455;15.409;34.376;-0.214;20.944;20.884;-1.545;27.061;5.973;-3.016;21.981;5.361;8.732;16.276;4.297;23.091;15.998;2.570;24.246;14.002;1.222;30.628;12.896;0.035;33.187;11.413;-0.600;34.986;10.201;-1.012;36.113;16.039;3.482;24.292;14.799;3.717;30.876;12.943;3.562;34.890;10.310;3.632;36.978;8.540;3.843;38.083;15.452;4.808;24.268;14.909;6.076;31.287;13.267;6.562;35.677;10.838;6.785;37.540;8.886;7.028;38.492;15.515;5.690;24.013;14.549;8.686;30.577;12.669;10.178;33.668;10.859;10.623;35.497;9.116;10.976;36.840;15.040;6.611;24.387;14.961;10.192;25.567;14.157;12.208;27.980;13.990;14.953;28.050;0.000;0.000;0.000;-7.693;-12.174;-1.102;-10.312;-32.796;-0.211;-13.387;-57.004;0.835;-13.265;-101.367;-7.463;7.516;-12.438;-1.102;9.295;-33.029;-0.285;11.384;-57.200;0.675;11.017;-101.559;-9.189
323.000;12.920;0.067;7.232;-0.205;0.017;14.042;-0.352;-0.213;26.092;-0.554;-0.533;41.975;-1.231;-0.565;46.312;1.992;-0.023;52.828;3.452;-6.844;56.923;4.541;6.852;56.952;2.995;-2.446;59.353;11.445;4.094;59.367;10.706;-1.955;36.752;-2.640;-16.015;34.861;-1.299;-21.113;21.986;-3.032;-26.748;7.755;-4.947;-22.276;5.377;6.930;-17.264;2.567;20.801;-18.226;1.184;21.796;-16.240;-0.583;28.824;-15.108;-0.619;31.062;-14.085;-1.087;33.377;-13.199;-0.970;34.790;-18.054;2.012;21.772;-16.643;2.027;29.103;-14.728;2.493;32.711;-12.943;2.786;35.073;-11.665;2.873;36.667;-16.894;3.022;21.181;-15.975;4.465;29.166;-14.452;4.919;32.989;-12.334;5.036;35.584;-10.959;5.093;37.257;-16.866;4.030;20.842;-15.197;6.540;28.295;-14.079;7.335;31.860;-12.569;7.541;34.247;-11.423;7.269;35.942;-15.572;4.581;22.541;-14.245;7.707;23.561;-12.639;8.842;25.355;-11.780;11.410;26.043;1.267;36.824;-2.463;15.416;34.373;-0.216;20.949;20.880;-1.546;27.065;5.968;-3.017;21.986;5.364;8.730;16.282;4.309;23.087;15.999;2.601;24.247;14.023;1.247;30.635;12.912;0.052;33.185;11.418;-0.579;34.991;10.202;-1.002;36.111;16.047;3.513;24.295;14.832;3.727;30.877;12.976;3.568;34.899;10.316;3.656;36.972;8.549;3.873;38.083;15.452;4.823;24.268;14.935;6.075;31.284;13.266;6.560;35.670;10.854;6.817;37.537;8.899;7.054;38.485;15.515;5.705;24.012;14.557;8.719;30.575;12.711;10.197;33.667;10.897;10.632;35.507;9.148;10.958;36.850;15.043;6.617;24.377;14.973;10.211;25.557;14.152;12.229;27.969;13.993;14.975;28.045;0.000;0.000;0.000;-7.693;-12.174;-1.107;-10.311;-32.795;-0.222;-13.385;-57.002;0.816;-13.263;-101.365;-7.484;7.516;-12.438;-1.103;9.296;-33.028;-0.290;11.384;-57.199;0.664;11.024;-101.557;-9.201
324.000;12.960;0.067;7.231;-0.205;0.019;14.039;-0.354;-0.209;26.087;-0.561;-0.525;41.970;-1.235;-0.559;46.310;1.990;-0.020;52.832;3.451;-6.842;56.926;4.540;6.853;56.957;2.989;-2.442;59.361;11.440;4.097;59.375;10.700;-1.948;36.747;-2.646;-16.008;34.860;-1.307;-21.105;21.986;-3.042;-26.738;7.758;-4.959;-22.278;5.390;6.924;-17.280;2.591;20.804;-18.233;1.214;21.798;-16.266;-0.574;28.820;-15.140;-0.585;31.063;-14.098;-1.057;33.376;-13.218;-0.931;34.792;-18.060;2.042;21.775;-16.663;2.057;29.103;-14.752;2.510;32.714;-12.944;2.806;35.067;-11.690;2.910;36.679;-16.892;3.072;21.170;-15.999;4.492;29.170;-14.497;4.934;32.994;-12.338;5.040;35.578;-10.989;5.102;37.271;-16.883;4.073;20.836;-15.237;6.569;28.291;-14.102;7.380;31.853;-12.604;7.580;34.250;-11.435;7.342;35.934;-15.613;4.609;22.529;-14.257;7.723;23.554;-12.656;8.867;25.365;-11.806;11.442;26.040;1.274;36.819;-2.467;15.421;34.359;-0.215;20.956;20.868;-1.544;27.073;5.957;-3.013;21.989;5.356;8.731;16.279;4.305;23.085;15.992;2.609;24.248;14.015;1.252;30.638;12.887;0.046;33.179;11.398;-0.579;34.979;10.177;-0.996;36.094;16.040;3.520;24.299;14.824;3.732;30.876;12.937;3.583;34.889;10.280;3.651;36.947;8.510;3.869;38.050;15.453;4.813;24.271;14.923;6.090;31.283;13.247;6.576;35.664;10.814;6.795;37.522;8.866;7.045;38.480;15.516;5.695;24.013;14.563;8.704;30.573;12.688;10.189;33.660;10.880;10.628;35.490;9.118;10.954;36.815;15.085;6.624;24.401;14.963;10.209;25.561;14.132;12.225;27.972;13.963;14.971;28.038;0.000;0.000;0.000;-7.692;-12.174;-1.111;-10.309;-32.795;-0.228;-13.382;-57.002;0.809;-13.257;-101.367;-7.480;7.517;-12.438;-1.099;9.296;-33.027;-0.287;11.385;-57.198;0.666;11.031;-101.558;-9.196
325.000;13.000;0.068;7.230;-0.205;0.020;14.037;-0.357;-0.206;26.084;-0.574;-0.514;41.967;-1.248;-0.545;46.308;1.978;-0.001;52.833;3.439;-6.822;56.927;4.527;6.873;56.958;2.978;-2.424;59.362;11.428;4.116;59.377;10.688;-1.938;36.744;-2.659;-16.001;34.866;-1.323;-21.103;21.995;-3.059;-26.742;7.770;-4.977;-22.284;5.403;6.906;-17.288;2.608;20.783;-18.258;1.225;21.777;-16.271;-0.561;28.802;-15.148;-0.558;31.045;-14.099;-1.037;33.364;-13.209;-0.932;34.776;-18.082;2.052;21.752;-16.684;2.068;29.088;-14.765;2.516;32.703;-12.962;2.803;35.058;-11.700;2.898;36.664;-16.925;3.077;21.158;-16.027;4.516;29.152;-14.499;4.944;32.978;-12.367;5.039;35.545;-10.970;5.080;37.199;-16.896;4.084;20.821;-15.234;6.585;28.282;-14.106;7.381;31.837;-12.608;7.592;34.229;-11.432;7.340;35.908;-15.627;4.633;22.530;-14.262;7.740;23.544;-12.648;8.874;25.325;-11.793;11.436;26.043;1.284;36.814;-2.480;15.429;34.348;-0.226;20.962;20.854;-1.554;27.077;5.940;-3.021;21.986;5.344;8.721;16.264;4.301;23.074;15.988;2.593;24.235;13.994;1.238;30.622;12.874;0.055;33.173;11.366;-0.577;34.951;10.128;-0.990;36.050;16.035;3.505;24.283;14.804;3.737;30.867;12.924;3.568;34.873;10.250;3.644;36.925;8.475;3.858;38.021;15.434;4.805;24.255;14.897;6.083;31.269;13.218;6.562;35.643;10.763;6.774;37.486;8.816;7.036;38.444;15.498;5.686;23.996;14.521;8.709;30.554;12.665;10.159;33.651;10.855;10.624;35.469;9.092;10.940;36.795;15.059;6.620;24.384;14.932;10.204;25.549;14.073;12.224;27.955;13.879;14.968;27.992;0.000;0.000;0.000;-7.692;-12.174;-1.114;-10.308;-32.796;-0.239;-13.380;-57.005;0.789;-13.252;-101.362;-7.512;7.517;-12.438;-1.100;9.296;-33.028;-0.292;11.385;-57.198;0.656;11.032;-101.555;-9.214
326.000;13.040;0.068;7.228;-0.206;0.021;14.033;-0.361;-0.202;26.076;-0.588;-0.506;41.959;-1.264;-0.536;46.305;1.965;0.010;52.834;3.427;-6.810;56.933;4.510;6.886;56.955;2.971;-2.415;59.365;11.414;4.126;59.375;10.679;-1.932;36.737;-2.674;-15.997;34.862;-1.338;-21.096;21.991;-3.072;-26.731;7.765;-4.988;-22.269;5.400;6.895;-17.267;2.608;20.772;-18.232;1.216;21.769;-16.248;-0.542;28.789;-15.128;-0.558;31.024;-14.053;-1.033;33.339;-13.137;-0.938;34.735;-18.056;2.043;21.743;-16.654;2.064;29.075;-14.734;2.524;32.685;-12.922;2.809;35.034;-11.673;2.899;36.651;-16.892;3.078;21.145;-16.011;4.506;29.143;-14.473;4.928;32.965;-12.352;5.043;35.535;-10.962;5.079;37.194;-16.864;4.081;20.808;-15.218;6.588;28.268;-14.088;7.392;31.828;-12.598;7.594;34.219;-11.409;7.359;35.891;-15.604;4.628;22.505;-14.252;7.741;23.530;-12.635;8.876;25.319;-11.789;11.443;26.031;1.290;36.806;-2.495;15.431;34.333;-0.242;20.963;20.840;-1.565;27.079;5.927;-3.027;21.983;5.333;8.712;16.254;4.294;23.065;15.977;2.595;24.226;13.980;1.232;30.603;12.847;0.059;33.163;11.326;-0.554;34.939;10.090;-0.956;36.043;16.026;3.507;24.275;14.802;3.730;30.854;12.903;3.569;34.859;10.224;3.660;36.894;8.436;3.876;37.970;15.429;4.805;24.246;14.894;6.089;31.253;13.200;6.567;35.631;10.754;6.785;37.472;8.799;7.034;38.417;15.493;5.687;23.988;14.522;8.695;30.551;12.646;10.161;33.641;10.859;10.628;35.466;9.096;10.951;36.791;15.052;6.623;24.369;14.928;10.207;25.526;14.069;12.230;27.941;13.874;14.975;27.972;0.000;0.000;0.000;-7.693;-12.173;-1.114;-10.310;-32.794;-0.238;-13.382;-57.001;0.790;-13.254;-101.361;-7.522;7.516;-12.438;-1.100;9.294;-33.027;-0.294;11.381;-57.196;0.653;11.023;-101.553;-9.230
327.000;13.080;0.069;7.227;-0.209;0.024;14.032;-0.368;-0.194;26.074;-0.605;-0.496;41.957;-1.287;-0.525;46.304;1.940;0.024;52.833;3.398;-6.792;56.936;4.486;6.904;56.950;2.945;-2.395;59.358;11.392;4.146;59.365;10.656;-1.923;36.735;-2.695;-15.989;34.862;-1.361;-21.091;21.991;-3.092;-26.730;7.765;-5.006;-22.269;5.407;6.878;-17.267;2.625;20.759;-18.228;1.232;21.752;-16.247;-0.524;28.778;-15.131;-0.566;31.007;-14.030;-1.033;33.311;-13.108;-0.941;34.703;-18.051;2.059;21.726;-16.660;2.073;29.064;-14.735;2.527;32.670;-12.932;2.813;35.019;-11.668;2.886;36.625;-16.887;3.082;21.139;-15.999;4.527;29.125;-14.441;4.933;32.928;-12.320;5.026;35.523;-10.969;5.063;37.215;-16.861;4.084;20.798;-15.222;6.609;28.247;-14.103;7.407;31.813;-12.617;7.624;34.208;-11.459;7.379;35.899;-15.603;4.651;22.500;-14.243;7.753;23.520;-12.626;8.887;25.307;-11.780;11.451;26.026;1.299;36.804;-2.516;15.442;34.327;-0.264;20.965;20.828;-1.583;27.069;5.908;-3.041;21.970;5.330;8.700;16.239;4.313;23.054;15.963;2.596;24.216;13.942;1.263;30.607;12.809;0.087;33.145;11.262;-0.510;34.913;10.015;-0.898;36.010;16.005;3.508;24.262;14.779;3.759;30.845;12.883;3.580;34.846;10.170;3.677;36.853;8.376;3.910;37.915;15.414;4.825;24.230;14.880;6.100;31.246;13.151;6.576;35.602;10.713;6.784;37.445;8.761;7.045;38.394;15.483;5.706;23.971;14.528;8.697;30.541;12.637;10.158;33.640;10.855;10.622;35.465;9.086;10.949;36.782;14.997;6.626;24.340;14.904;10.224;25.519;14.018;12.247;27.925;13.810;14.991;27.943;0.000;0.000;0.000;-7.694;-12.173;-1.108;-10.311;-32.793;-0.235;-13.383;-56.999;0.790;-13.254;-101.348;-7.531;7.515;-12.439;-1.096;9.291;-33.027;-0.291;11.376;-57.196;0.654;11.012;-101.550;-9.240
328.000;13.120;0.069;7.225;-0.211;0.026;14.028;-0.376;-0.189;26.065;-0.625;-0.488;41.948;-1.314;-0.516;46.298;1.916;0.036;52.830;3.381;-6.778;56.934;4.480;6.916;56.945;2.916;-2.368;59.355;11.379;4.171;59.361;10.632;-1.917;36.725;-2.719;-15.982;34.851;-1.382;-21.086;21.981;-3.113;-26.727;7.757;-5.027;-22.256;5.417;6.855;-17.238;2.653;20.731;-18.214;1.259;21.722;-16.245;-0.492;28.759;-15.078;-0.529;31.003;-13.995;-1.027;33.271;-13.034;-0.968;34.638;-18.040;2.086;21.691;-16.662;2.136;29.034;-14.756;2.554;32.666;-12.934;2.827;35.007;-11.650;2.887;36.598;-16.845;3.131;21.110;-15.997;4.579;29.107;-14.495;4.984;32.926;-12.365;5.015;35.513;-10.969;5.017;37.168;-16.835;4.134;20.769;-15.219;6.657;28.216;-14.130;7.476;31.780;-12.632;7.688;34.188;-11.498;7.478;35.901;-15.582;4.687;22.475;-14.217;7.787;23.487;-12.603;8.920;25.286;-11.746;11.484;25.993;1.306;36.794;-2.541;15.446;34.313;-0.291;20.962;20.812;-1.603;27.058;5.890;-3.053;21.953;5.336;8.685;16.209;4.346;23.037;15.925;2.629;24.198;13.928;1.310;30.596;12.802;0.147;33.140;11.203;-0.412;34.896;9.942;-0.816;35.972;15.968;3.541;24.242;14.789;3.780;30.829;12.862;3.615;34.827;10.144;3.729;36.817;8.344;3.974;37.864;15.391;4.876;24.208;14.870;6.150;31.228;13.137;6.611;35.588;10.680;6.820;37.411;8.719;7.067;38.345;15.461;5.757;23.951;14.493;8.778;30.511;12.677;10.231;33.621;10.871;10.674;35.466;9.119;11.003;36.803;15.005;6.671;24.335;14.879;10.268;25.491;13.992;12.276;27.900;13.748;15.017;27.933;0.000;0.000;0.000;-7.694;-12.173;-1.106;-10.310;-32.794;-0.231;-13.381;-57.000;0.796;-13.254;-101.358;-7.520;7.515;-12.439;-1.095;9.291;-33.028;-0.292;11.376;-57.198;0.652;11.012;-101.552;-9.242
329.000;13.160;0.070;7.223;-0.213;0.028;14.024;-0.384;-0.183;26.059;-0.649;-0.482;41.942;-1.343;-0.507;46.297;1.889;0.053;52.836;3.356;-6.756;56.941;4.481;6.931;56.949;2.866;-2.320;59.362;11.363;4.216;59.366;10.591;-1.910;36.718;-2.747;-15.972;34.847;-1.393;-21.081;21.980;-3.131;-26.729;7.759;-5.052;-22.225;5.486;6.822;-17.166;2.806;20.688;-18.144;1.411;21.679;-16.217;-0.325;28.726;-15.055;-0.379;30.973;-13.709;-0.903;33.093;-12.565;-0.830;34.310;-17.967;2.238;21.646;-16.637;2.308;29.003;-14.793;2.669;32.664;-12.832;2.827;34.907;-11.387;2.821;36.353;-16.792;3.264;21.067;-16.012;4.758;29.072;-14.529;5.110;32.931;-12.323;5.110;35.449;-10.906;5.027;37.085;-16.761;4.266;20.719;-15.209;6.852;28.155;-14.288;7.751;31.752;-13.018;7.996;34.262;-11.980;7.783;36.034;-15.527;4.839;22.447;-14.059;7.908;23.453;-12.369;8.989;25.252;-11.498;11.553;25.939;1.312;36.787;-2.569;15.458;34.312;-0.322;20.962;20.807;-1.628;27.045;5.880;-3.072;21.936;5.383;8.669;16.185;4.467;23.024;15.908;2.738;24.186;13.898;1.448;30.604;12.742;0.340;33.144;10.970;-0.118;34.770;9.579;-0.386;35.721;15.952;3.651;24.225;14.793;3.905;30.825;12.874;3.742;34.825;10.004;3.871;36.605;8.086;4.147;37.406;15.386;4.906;24.240;14.883;6.275;31.218;13.123;6.719;35.573;10.622;6.891;37.337;8.608;7.106;38.160;15.428;5.786;23.970;14.525;8.881;30.503;12.758;10.357;33.635;10.991;10.811;35.518;9.274;11.152;36.896;14.936;6.779;24.302;14.759;10.402;25.470;13.811;12.374;27.835;13.443;15.100;27.910;0.000;0.000;0.000;-7.693;-12.174;-1.104;-10.308;-32.792;-0.232;-13.377;-56.997;0.791;-13.249;-101.352;-7.529;7.516;-12.439;-1.095;9.299;-33.025;-0.293;11.391;-57.192;0.649;11.041;-101.547;-9.243
330.000;13.200;0.070;7.220;-0.216;0.029;14.019;-0.390;-0.181;26.048;-0.664;-0.477;41.931;-1.367;-0.495;46.293;1.867;0.081;52.840;3.329;-6.722;56.943;4.494;6.955;56.955;2.799;-2.247;59.363;11.351;4.285;59.369;10.541;-1.908;36.707;-2.766;-15.966;34.866;-1.390;-21.089;22.014;-3.087;-26.751;7.810;-4.963;-22.110;5.750;6.895;-16.862;3.334;20.736;-17.977;2.038;21.715;-16.318;0.445;28.841;-15.206;0.346;31.080;-13.056;-0.219;32.446;-11.464;-0.149;32.951;-17.760;2.855;21.664;-16.724;3.056;29.048;-14.933;3.037;32.754;-12.335;2.757;34.317;-10.445;2.321;34.966;-16.481;3.869;21.067;-15.876;5.520;29.088;-14.644;5.730;33.048;-12.082;5.267;35.148;-10.337;4.707;36.303;-16.434;4.857;20.699;-15.057;7.550;28.090;-14.497;8.602;31.732;-13.679;9.070;34.396;-12.982;9.061;36.339;-15.057;5.246;22.516;-13.124;8.111;23.597;-11.261;8.813;25.452;-9.813;11.075;26.224;1.315;36.775;-2.591;15.464;34.303;-0.350;20.960;20.804;-1.640;27.036;5.884;-3.066;21.866;5.517;8.671;16.041;4.793;23.030;15.902;3.007;24.228;14.120;1.882;30.705;12.640;1.000;33.199;10.323;1.064;34.036;8.632;1.286;34.011;15.889;3.921;24.239;15.118;4.314;30.898;12.945;4.204;34.783;9.665;4.270;35.573;7.587;4.462;35.356;15.247;5.205;24.280;15.133;6.703;31.220;13.345;7.017;35.559;10.532;6.962;36.857;8.349;6.984;36.956;15.247;6.079;23.990;14.582;9.244;30.498;13.185;10.678;33.834;11.743;11.141;35.996;10.402;11.575;37.723;14.693;7.044;24.349;14.029;10.663;25.446;12.692;12.420;27.853;11.573;14.920;28.120;0.000;0.000;0.000;-7.692;-12.174;-1.105;-10.306;-32.795;-0.232;-13.374;-57.002;0.793;-13.239;-101.358;-7.521;7.517;-12.439;-1.088;9.298;-33.026;-0.286;11.390;-57.194;0.655;11.044;-101.550;-9.233
