Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1815.000;72.600;0.040;7.189;-0.152;0.002;13.958;-0.268;-0.159;25.935;-0.438;-0.562;41.815;-1.145;-0.804;46.148;2.035;-0.730;52.676;3.419;-7.670;56.659;4.089;6.109;56.860;3.861;-3.976;58.703;11.510;2.604;58.799;11.401;-1.926;36.581;-2.572;-15.955;34.639;-1.640;-21.135;21.519;-2.437;-26.860;7.019;-3.318;-22.086;5.906;8.707;-16.653;4.547;22.903;-16.827;2.756;23.434;-13.222;0.300;29.537;-11.810;0.010;31.523;-9.503;-0.061;32.779;-8.037;0.386;33.449;-16.956;3.571;23.621;-14.525;2.309;30.606;-12.008;2.322;33.909;-9.543;2.723;35.555;-7.730;2.926;36.479;-16.594;4.909;23.537;-14.636;4.841;31.335;-12.102;4.695;34.571;-9.446;4.975;36.604;-7.759;4.966;37.963;-16.935;5.925;23.495;-14.746;7.281;31.019;-11.980;7.535;33.719;-9.713;7.661;35.371;-7.873;7.537;36.299;-15.804;6.606;25.039;-15.391;9.569;27.140;-14.017;10.794;29.017;-14.389;13.213;30.367;1.291;36.673;-2.336;15.373;34.535;0.168;21.416;21.164;-0.336;28.096;6.385;-0.893;21.766;5.674;10.349;14.248;4.461;24.185;13.745;2.702;24.739;11.196;-0.395;30.045;9.481;-1.851;32.097;7.581;-2.495;33.467;6.110;-2.843;34.258;13.885;3.519;25.124;12.038;1.548;31.100;9.853;0.049;34.617;7.218;-0.582;36.589;5.529;-0.885;37.794;13.474;4.604;25.439;12.138;3.545;32.389;10.189;2.145;36.389;7.808;1.720;38.200;5.910;1.639;39.283;13.605;5.513;25.511;12.016;6.058;32.765;9.995;5.710;35.971;7.823;5.245;37.317;5.773;5.047;38.168;13.108;6.392;26.002;13.277;8.875;28.971;13.297;9.780;32.046;13.916;12.216;33.167;0.000;0.000;0.000;-7.631;-12.210;-1.145;-10.547;-32.884;-0.392;-13.972;-57.153;0.492;-14.581;-101.302;-8.463;7.579;-12.385;-1.262;9.450;-33.028;-0.466;11.645;-57.263;0.468;11.339;-101.590;-9.158
1816.000;72.640;0.038;7.188;-0.155;-0.000;13.956;-0.274;-0.163;25.931;-0.448;-0.574;41.811;-1.144;-0.816;46.147;2.047;-0.740;52.677;3.449;-7.680;56.662;4.104;6.098;56.867;3.857;-3.977;58.752;11.508;2.603;58.850;11.390;-1.936;36.577;-2.573;-15.963;34.630;-1.635;-21.140;21.511;-2.448;-26.863;7.011;-3.347;-22.082;5.899;8.675;-16.641;4.541;22.868;-16.804;2.751;23.391;-13.148;0.259;29.453;-11.782;-0.025;31.471;-9.454;-0.067;32.698;-7.984;0.420;33.330;-16.938;3.565;23.582;-14.517;2.290;30.568;-11.998;2.267;33.877;-9.524;2.696;35.478;-7.673;2.931;36.315;-16.591;4.921;23.499;-14.630;4.824;31.301;-12.094;4.660;34.540;-9.434;4.955;36.563;-7.709;4.952;37.872;-16.951;5.938;23.463;-14.768;7.249;30.994;-11.993;7.530;33.720;-9.723;7.655;35.393;-7.962;7.494;36.459;-15.793;6.608;25.021;-15.393;9.576;27.125;-13.999;10.783;28.989;-14.352;13.188;30.368;1.282;36.671;-2.339;15.369;34.537;0.155;21.404;21.163;-0.365;28.075;6.381;-0.939;21.750;5.659;10.307;14.239;4.429;24.148;13.724;2.648;24.684;11.214;-0.446;29.996;9.469;-1.879;32.063;7.554;-2.536;33.405;6.082;-2.879;34.197;13.859;3.468;25.065;12.030;1.500;31.055;9.852;-0.009;34.572;7.203;-0.614;36.532;5.500;-0.899;37.723;13.467;4.580;25.401;12.140;3.513;32.355;10.208;2.092;36.356;7.803;1.667;38.155;5.909;1.601;39.243;13.604;5.488;25.476;12.016;6.007;32.732;10.024;5.642;35.944;7.846;5.182;37.292;5.792;4.994;38.138;13.084;6.363;25.963;13.269;8.820;28.958;13.292;9.724;32.006;13.892;12.141;33.176;0.000;0.000;0.000;-7.629;-12.211;-1.137;-10.542;-32.886;-0.380;-13.961;-57.157;0.508;-14.566;-101.301;-8.441;7.581;-12.384;-1.260;9.462;-33.026;-0.457;11.670;-57.258;0.485;11.379;-101.591;-9.142
1817.000;72.680;0.037;7.187;-0.159;-0.004;13.954;-0.284;-0.170;25.926;-0.473;-0.590;41.807;-1.160;-0.833;46.147;2.065;-0.761;52.674;3.540;-7.697;56.675;4.150;6.081;56.865;3.853;-3.967;58.887;11.505;2.612;58.978;11.363;-1.951;36.573;-2.591;-15.978;34.616;-1.628;-21.144;21.501;-2.458;-26.854;7.006;-3.376;-22.056;5.932;8.638;-16.591;4.620;22.824;-16.675;2.809;23.312;-13.007;0.318;29.366;-11.645;-0.022;31.386;-9.238;0.115;32.454;-7.759;0.753;32.903;-16.816;3.620;23.508;-14.425;2.325;30.500;-11.915;2.177;33.804;-9.235;2.741;35.031;-7.274;3.129;35.463;-16.586;5.022;23.450;-14.584;4.811;31.258;-11.982;4.683;34.477;-9.161;4.996;36.282;-7.323;5.093;37.423;-17.002;6.053;23.439;-14.797;7.254;31.003;-12.217;7.561;33.876;-10.114;7.761;35.787;-8.509;7.599;37.076;-15.776;6.679;25.004;-15.259;9.626;27.134;-13.703;10.733;28.989;-13.827;13.103;30.466;1.267;36.668;-2.359;15.358;34.538;0.124;21.383;21.159;-0.412;28.042;6.371;-1.004;21.725;5.621;10.247;14.224;4.355;24.093;13.714;2.579;24.627;11.168;-0.551;29.907;9.431;-1.990;31.961;7.490;-2.620;33.284;6.000;-2.959;34.041;13.855;3.396;25.010;12.017;1.412;30.995;9.793;-0.108;34.485;7.102;-0.710;36.377;5.364;-0.969;37.521;13.466;4.474;25.347;12.114;3.421;32.297;10.161;1.986;36.278;7.735;1.554;38.051;5.803;1.523;39.071;13.593;5.383;25.420;12.001;5.915;32.679;9.976;5.525;35.869;7.782;5.064;37.190;5.718;4.876;38.009;13.071;6.281;25.925;13.230;8.724;28.926;13.231;9.612;31.955;13.807;12.009;33.178;0.000;0.000;0.000;-7.629;-12.212;-1.127;-10.539;-32.886;-0.364;-13.956;-57.156;0.533;-14.555;-101.305;-8.412;7.581;-12.384;-1.260;9.464;-33.026;-0.453;11.674;-57.258;0.495;11.386;-101.596;-9.119
1818.000;72.720;0.036;7.187;-0.163;-0.007;13.954;-0.291;-0.184;25.927;-0.485;-0.626;41.808;-1.130;-0.874;46.150;2.161;-0.803;52.664;3.773;-7.723;56.705;4.294;6.054;56.840;3.912;-3.943;59.141;11.552;2.635;59.205;11.370;-1.979;36.576;-2.575;-16.006;34.635;-1.604;-21.142;21.523;-2.403;-26.818;7.031;-3.286;-21.963;6.135;8.698;-16.419;5.034;22.860;-16.295;3.174;23.275;-12.566;0.764;29.283;-11.186;0.358;31.318;-8.664;1.006;31.896;-7.324;2.004;31.835;-16.455;3.981;23.472;-14.062;2.636;30.497;-11.266;2.516;33.578;-8.431;3.678;33.618;-6.662;4.453;32.946;-16.452;5.540;23.441;-14.356;5.162;31.278;-11.507;5.092;34.357;-8.362;5.749;35.261;-6.247;6.175;35.444;-16.988;6.508;23.488;-14.798;7.599;31.125;-12.946;8.095;34.501;-11.701;8.409;36.991;-10.631;8.379;38.756;-15.676;7.091;25.146;-14.852;9.999;27.236;-12.942;10.806;28.967;-12.479;13.017;30.612;1.238;36.675;-2.343;15.334;34.552;0.144;21.362;21.176;-0.420;28.025;6.392;-1.045;21.709;5.572;10.214;14.207;4.224;24.072;13.696;2.436;24.583;11.082;-0.751;29.808;9.348;-2.199;31.833;7.324;-2.764;33.046;5.773;-3.004;33.714;13.831;3.253;24.971;12.013;1.182;30.939;9.573;-0.294;34.306;6.764;-0.839;36.012;4.917;-1.007;36.991;13.420;4.324;25.334;12.096;3.212;32.250;9.987;1.788;36.159;7.419;1.382;37.754;5.420;1.393;38.638;13.546;5.232;25.414;11.942;5.717;32.637;9.873;5.305;35.788;7.629;4.821;37.023;5.533;4.637;37.759;13.072;6.106;25.912;13.114;8.552;28.928;13.008;9.389;32.015;13.498;11.793;33.261;0.000;0.000;0.000;-7.628;-12.213;-1.121;-10.533;-32.887;-0.351;-13.944;-57.156;0.554;-14.535;-101.301;-8.387;7.581;-12.384;-1.254;9.470;-33.025;-0.438;11.687;-57.255;0.519;11.412;-101.595;-9.089
1819.000;72.760;0.035;7.194;-0.165;-0.016;13.968;-0.285;-0.214;25.953;-0.453;-0.686;41.837;-1.015;-0.945;46.172;2.368;-0.875;52.657;4.170;-7.767;56.762;4.534;6.007;56.792;4.044;-3.918;59.545;11.629;2.660;59.559;11.395;-2.027;36.610;-2.490;-16.048;34.668;-1.541;-21.168;21.526;-2.145;-26.828;7.002;-2.811;-21.764;6.713;9.074;-15.973;6.326;23.149;-15.585;4.476;23.537;-11.230;2.569;29.342;-9.698;2.316;31.288;-7.518;3.775;31.027;-6.849;5.077;30.217;-15.817;5.264;23.739;-12.773;4.271;30.648;-9.369;4.905;32.857;-7.440;6.663;31.254;-7.059;7.597;29.476;-16.061;6.727;23.747;-13.370;6.771;31.333;-10.016;7.360;33.786;-7.004;8.573;32.965;-5.267;9.386;31.960;-16.722;7.649;23.834;-14.403;9.007;31.345;-13.458;9.632;35.031;-13.077;9.968;37.799;-12.654;9.946;39.820;-15.308;8.401;25.439;-14.191;11.243;27.487;-12.009;11.868;28.991;-10.952;13.859;30.643;1.190;36.714;-2.253;15.288;34.591;0.279;21.335;21.229;-0.346;28.018;6.461;-1.036;21.717;5.505;10.235;14.228;3.985;24.116;13.713;2.151;24.556;11.096;-1.102;29.711;9.220;-2.530;31.651;7.077;-2.957;32.706;5.457;-3.076;33.228;13.823;2.972;24.945;12.005;0.817;30.935;9.229;-0.613;34.049;6.176;-0.962;35.312;4.184;-0.970;35.969;13.432;4.030;25.385;12.075;2.833;32.243;9.607;1.415;35.947;6.809;1.125;37.158;4.704;1.198;37.742;13.544;4.939;25.474;11.871;5.330;32.643;9.653;4.822;35.662;7.286;4.293;36.677;5.148;4.082;37.270;12.997;5.835;25.923;12.776;8.182;29.086;12.324;8.866;32.187;12.323;11.152;33.718;0.000;0.000;0.000;-7.629;-12.212;-1.123;-10.535;-32.884;-0.331;-13.946;-57.151;0.598;-14.521;-101.302;-8.318;7.581;-12.387;-1.231;9.470;-33.025;-0.396;11.687;-57.252;0.584;11.427;-101.592;-9.025
1820.000;72.800;0.034;7.202;-0.162;-0.022;13.983;-0.260;-0.232;25.983;-0.366;-0.738;41.869;-0.815;-1.017;46.196;2.652;-0.946;52.673;4.606;-7.810;56.837;4.782;5.961;56.750;4.220;-3.904;59.974;11.696;2.672;59.932;11.428;-2.060;36.650;-2.334;-16.068;34.700;-1.458;-21.245;21.505;-1.541;-26.968;6.921;-1.634;-21.373;7.796;9.937;-14.968;8.757;23.676;-14.239;7.015;24.141;-9.004;6.359;29.436;-7.247;6.635;31.100;-5.706;8.455;30.293;-5.837;9.648;29.129;-14.588;7.762;24.332;-10.606;7.814;30.852;-7.040;9.662;31.645;-6.770;11.189;29.029;-7.697;11.436;27.223;-15.009;9.188;24.252;-11.630;10.252;31.269;-7.926;11.842;32.398;-5.956;13.299;30.064;-5.140;13.980;28.177;-15.785;9.956;24.362;-13.137;12.036;31.522;-12.511;12.954;35.157;-12.494;13.240;37.982;-12.363;13.166;40.041;-14.359;10.910;25.669;-13.151;13.851;27.584;-10.753;14.657;28.784;-9.570;16.626;30.376;1.156;36.760;-2.081;15.247;34.646;0.550;21.326;21.312;-0.166;28.046;6.574;-0.957;21.745;5.368;10.320;14.246;3.549;24.217;13.822;1.680;24.585;11.146;-1.744;29.594;9.198;-3.183;31.402;6.923;-3.491;32.249;5.251;-3.504;32.589;13.893;2.494;24.995;12.030;0.153;30.920;8.881;-1.302;33.637;5.597;-1.507;34.329;3.524;-1.399;34.628;13.431;3.498;25.483;11.986;2.138;32.238;9.084;0.640;35.559;6.126;0.375;36.325;3.950;0.519;36.471;13.502;4.410;25.593;11.677;4.561;32.668;9.238;3.839;35.466;6.817;3.243;36.241;4.638;2.901;36.562;12.849;5.284;25.984;12.016;7.422;29.290;10.990;7.753;32.394;10.215;9.785;34.081;0.000;0.000;0.000;-7.626;-12.213;-1.143;-10.540;-32.881;-0.323;-13.962;-57.143;0.640;-14.520;-101.302;-8.216;7.585;-12.388;-1.195;9.465;-33.024;-0.333;11.672;-57.249;0.680;11.429;-101.588;-8.917
1821.000;72.840;0.033;7.207;-0.153;-0.025;13.994;-0.220;-0.238;26.002;-0.242;-0.761;41.890;-0.599;-1.071;46.207;2.910;-1.027;52.682;4.930;-7.869;56.883;4.959;5.899;56.705;4.355;-3.925;60.281;11.726;2.650;60.196;11.437;-2.067;36.679;-2.157;-16.074;34.748;-1.342;-21.317;21.516;-0.502;-27.112;6.891;0.428;-20.823;9.488;11.300;-13.425;12.365;24.164;-12.437;10.809;24.755;-6.530;11.538;29.201;-4.580;12.403;30.546;-3.645;14.321;29.071;-4.180;15.221;27.767;-12.886;11.501;24.944;-8.013;12.974;30.595;-4.886;15.553;30.102;-5.828;16.308;27.262;-7.280;15.810;25.911;-13.361;12.826;24.696;-9.454;15.192;30.987;-5.877;17.472;30.984;-4.966;18.479;27.900;-4.870;18.735;25.751;-14.236;13.529;24.817;-11.156;16.740;31.265;-10.498;18.106;34.727;-10.524;18.569;37.503;-10.251;18.689;39.546;-12.805;14.717;25.780;-11.624;17.910;27.229;-9.139;18.965;28.073;-7.640;20.975;29.308;1.147;36.791;-1.883;15.223;34.712;0.876;21.327;21.407;0.092;28.073;6.701;-0.774;21.739;5.037;10.467;14.187;2.653;24.314;13.900;0.769;24.600;11.314;-3.002;29.349;9.275;-4.536;31.025;6.873;-4.844;31.647;5.181;-4.880;31.860;13.919;1.569;25.042;12.014;-1.120;30.830;8.585;-2.729;33.107;5.234;-2.939;33.338;3.140;-2.823;33.306;13.356;2.535;25.582;11.819;0.812;32.172;8.581;-0.845;35.095;5.564;-1.205;35.480;3.391;-1.080;35.274;13.369;3.443;25.734;11.316;3.157;32.679;8.772;2.155;35.262;6.273;1.391;35.763;4.102;0.930;35.964;12.719;4.158;26.174;11.082;5.994;29.408;9.450;5.882;32.296;7.984;7.404;34.058;0.000;0.000;0.000;-7.612;-12.216;-1.191;-10.536;-32.882;-0.343;-13.969;-57.143;0.654;-14.484;-101.316;-8.093;7.598;-12.385;-1.142;9.463;-33.022;-0.261;11.652;-57.249;0.774;11.461;-101.600;-8.791
1822.000;72.880;0.035;7.212;-0.139;-0.022;14.003;-0.178;-0.237;26.020;-0.131;-0.760;41.909;-0.447;-1.101;46.218;3.072;-1.108;52.692;5.104;-7.951;56.894;5.050;5.816;56.701;4.425;-3.993;60.444;11.731;2.581;60.352;11.433;-2.058;36.702;-2.026;-16.076;34.833;-1.218;-21.273;21.652;0.957;-27.017;7.084;3.361;-19.944;11.587;12.965;-11.632;16.713;24.378;-10.433;15.325;25.091;-4.081;17.306;28.366;-2.062;18.556;29.184;-1.547;20.190;27.293;-2.480;20.676;25.993;-10.922;16.000;25.236;-5.485;18.778;29.688;-2.867;21.442;28.024;-4.429;21.261;25.394;-6.141;20.532;24.547;-11.533;17.178;24.888;-7.102;20.914;29.962;-3.912;23.316;28.968;-3.788;23.641;25.646;-4.159;23.362;23.531;-12.458;17.873;25.001;-8.905;22.319;30.331;-8.050;24.307;33.443;-7.873;25.187;36.113;-7.527;25.553;38.115;-11.035;19.288;25.489;-9.890;22.718;26.275;-7.362;24.030;26.641;-5.727;26.168;27.393;1.155;36.813;-1.735;15.203;34.779;1.153;21.306;21.495;0.382;28.051;6.812;-0.470;21.681;4.355;10.655;14.105;1.013;24.343;13.979;-0.918;24.531;11.445;-5.036;29.029;9.423;-6.761;30.510;7.016;-7.213;30.982;5.318;-7.330;31.088;13.919;-0.135;24.999;12.000;-3.228;30.590;8.460;-5.057;32.552;5.110;-5.449;32.500;3.020;-5.485;32.331;13.219;0.734;25.569;11.577;-1.348;31.995;8.258;-3.324;34.612;5.266;-3.916;34.763;3.117;-3.884;34.362;13.139;1.634;25.748;10.866;0.921;32.582;8.282;-0.409;34.959;5.852;-1.354;35.347;3.728;-2.028;35.385;12.470;2.245;26.248;10.158;3.671;29.301;8.220;3.098;31.982;6.168;4.077;33.532;0.000;0.000;0.000;-7.606;-12.213;-1.264;-10.542;-32.880;-0.402;-13.988;-57.142;0.609;-14.473;-101.340;-7.974;7.603;-12.386;-1.095;9.449;-33.027;-0.203;11.616;-57.257;0.845;11.487;-101.619;-8.673
1823.000;72.920;0.034;7.215;-0.131;-0.026;14.009;-0.148;-0.252;26.031;-0.043;-0.769;41.920;-0.358;-1.132;46.230;3.170;-1.194;52.698;5.226;-8.051;56.875;5.133;5.715;56.722;4.486;-4.094;60.519;11.764;2.480;60.446;11.454;-2.065;36.714;-1.940;-16.069;34.916;-1.090;-21.060;21.966;2.706;-26.576;7.653;6.902;-18.890;13.966;14.775;-9.859;21.236;24.199;-8.493;20.000;25.003;-1.923;22.846;26.979;0.069;24.366;27.280;0.241;25.619;25.081;-0.796;25.959;23.813;-9.001;20.673;25.072;-3.256;24.491;28.190;-1.256;26.826;25.571;-3.271;26.182;23.403;-4.747;24.831;22.984;-9.710;21.758;24.624;-4.946;26.547;28.353;-1.971;28.908;26.550;-2.535;28.428;23.276;-3.267;27.687;21.378;-10.646;22.425;24.715;-6.826;27.947;28.672;-5.892;30.560;31.233;-5.574;31.956;33.664;-5.111;32.702;35.533;-9.285;23.946;24.717;-8.265;27.512;24.775;-5.775;28.983;24.723;-4.059;31.185;24.850;1.147;36.824;-1.643;15.182;34.823;1.327;21.252;21.527;0.690;27.961;6.832;-0.015;21.575;3.190;10.857;14.001;-1.590;24.214;14.150;-3.545;24.294;11.773;-8.082;28.500;9.863;-10.025;29.813;7.510;-10.748;30.144;5.828;-11.031;30.179;13.992;-2.791;24.786;12.108;-6.299;30.158;8.700;-8.565;31.924;5.392;-9.239;31.650;3.329;-9.468;31.347;13.131;-2.028;25.397;11.442;-4.564;31.627;8.242;-6.902;34.038;5.333;-7.865;34.001;3.208;-8.083;33.538;12.943;-1.151;25.607;10.479;-2.422;32.270;7.920;-4.082;34.494;5.645;-5.331;34.760;3.589;-6.189;34.690;12.193;-0.664;26.133;9.472;0.254;29.016;7.318;-0.725;31.399;5.060;-0.198;32.882;0.000;0.000;0.000;-7.596;-12.214;-1.318;-10.542;-32.880;-0.453;-14.001;-57.141;0.564;-14.449;-101.363;-7.844;7.612;-12.385;-1.043;9.442;-33.034;-0.130;11.590;-57.273;0.943;11.510;-101.642;-8.539
