Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2425.000;97.000;0.047;7.189;-0.168;0.039;13.957;-0.339;-0.038;25.932;-0.659;-0.267;41.812;-1.428;-0.318;46.123;1.630;-0.129;52.637;2.759;-6.984;56.521;4.308;6.590;56.960;1.963;-2.256;58.980;10.979;4.227;59.190;9.859;-1.763;36.590;-2.764;-15.698;34.978;-1.538;-21.208;22.200;-2.294;-27.297;8.078;-3.131;-22.076;8.140;8.409;-16.015;8.379;22.018;-17.744;8.370;22.577;-19.573;5.556;28.975;-19.767;4.879;31.247;-20.473;4.056;33.662;-20.589;3.729;35.298;-16.939;8.606;22.686;-17.512;6.785;29.937;-17.709;5.591;33.813;-17.847;5.368;36.755;-18.069;5.139;38.775;-15.975;8.837;22.740;-15.088;7.204;30.753;-15.293;6.274;34.703;-15.009;5.344;37.961;-15.004;5.025;40.103;-14.828;9.045;22.534;-12.778;7.457;30.530;-12.376;6.545;34.201;-12.143;5.705;36.879;-12.144;4.926;38.791;-13.524;7.688;23.948;-10.744;7.756;26.926;-9.160;7.308;28.748;-6.678;8.508;29.208;1.464;36.641;-2.675;15.528;34.283;-0.922;21.277;21.015;-2.367;27.631;6.350;-3.965;22.557;7.727;7.447;16.784;9.290;21.509;18.262;8.856;22.398;20.513;6.883;28.184;22.195;6.369;30.485;23.618;5.902;32.382;24.531;5.569;33.784;17.457;9.227;22.623;18.240;7.836;29.077;19.346;7.034;33.114;20.349;7.112;36.262;20.854;7.191;38.296;16.623;9.036;22.894;16.217;8.331;30.100;16.780;7.866;34.595;17.162;7.419;37.569;17.358;7.182;39.733;15.720;9.159;22.760;13.636;8.418;30.313;13.403;7.643;34.124;13.659;7.159;36.665;13.691;6.660;38.837;14.180;8.650;23.294;11.560;8.417;26.438;10.424;8.447;29.403;7.836;8.959;30.184;0.000;0.000;0.000;-7.678;-12.205;-0.835;-9.857;-33.049;-0.012;-12.414;-57.519;0.954;-11.566;-101.623;-7.340;7.513;-12.388;-1.585;9.467;-33.178;-0.585;11.757;-57.585;0.589;11.055;-101.928;-8.194
2426.000;97.040;0.049;7.192;-0.166;0.044;13.963;-0.331;-0.029;25.942;-0.631;-0.256;41.822;-1.398;-0.311;46.130;1.656;-0.124;52.641;2.778;-6.976;56.532;4.324;6.601;56.959;1.992;-2.252;58.982;11.000;4.232;59.186;9.887;-1.750;36.600;-2.737;-15.688;34.992;-1.527;-21.213;22.219;-2.277;-27.319;8.101;-3.106;-22.116;8.186;8.444;-16.080;8.440;22.065;-17.803;8.456;22.617;-19.670;5.686;29.015;-19.859;4.971;31.299;-20.552;4.180;33.713;-20.705;3.821;35.339;-16.997;8.691;22.728;-17.621;6.899;29.983;-17.820;5.750;33.857;-18.016;5.493;36.788;-18.222;5.236;38.806;-15.990;8.909;22.774;-15.158;7.353;30.811;-15.421;6.407;34.751;-15.133;5.479;37.984;-15.179;5.078;40.112;-14.845;9.142;22.578;-12.892;7.609;30.603;-12.447;6.685;34.287;-12.245;5.877;36.955;-12.211;5.119;38.875;-13.588;7.804;24.005;-10.824;7.862;26.985;-9.248;7.429;28.826;-6.763;8.613;29.312;1.476;36.651;-2.644;15.539;34.300;-0.873;21.301;21.033;-2.290;27.671;6.370;-3.856;22.580;7.765;7.549;16.780;9.351;21.605;18.274;8.924;22.480;20.522;6.979;28.283;22.186;6.483;30.594;23.626;6.030;32.482;24.528;5.691;33.889;17.468;9.295;22.699;18.256;7.923;29.166;19.335;7.141;33.215;20.353;7.234;36.359;20.851;7.309;38.395;16.613;9.101;22.984;16.219;8.433;30.196;16.775;7.970;34.690;17.168;7.503;37.665;17.339;7.248;39.829;15.711;9.227;22.850;13.638;8.510;30.406;13.413;7.723;34.207;13.657;7.216;36.752;13.719;6.703;38.920;14.181;8.721;23.413;11.559;8.473;26.537;10.424;8.574;29.488;7.814;8.971;30.263;0.000;0.000;0.000;-7.681;-12.202;-0.845;-9.869;-33.046;-0.015;-12.438;-57.515;0.959;-11.598;-101.624;-7.311;7.511;-12.390;-1.576;9.459;-33.182;-0.567;11.741;-57.590;0.616;11.035;-101.931;-8.163
2427.000;97.080;0.049;7.194;-0.165;0.045;13.966;-0.325;-0.027;25.949;-0.610;-0.256;41.829;-1.384;-0.313;46.135;1.667;-0.127;52.641;2.794;-6.980;56.532;4.338;6.599;56.958;2.014;-2.259;58.978;11.018;4.226;59.181;9.908;-1.748;36.606;-2.723;-15.686;35.001;-1.524;-21.214;22.225;-2.256;-27.324;8.104;-3.065;-22.121;8.219;8.487;-16.080;8.513;22.112;-17.810;8.521;22.654;-19.696;5.778;29.051;-19.857;5.073;31.339;-20.589;4.234;33.736;-20.694;3.858;35.362;-17.007;8.760;22.767;-17.695;7.031;30.023;-17.893;5.841;33.892;-18.114;5.529;36.827;-18.336;5.271;38.844;-16.040;8.982;22.826;-15.231;7.467;30.853;-15.464;6.530;34.793;-15.220;5.504;38.031;-15.264;5.117;40.161;-14.887;9.200;22.623;-12.896;7.708;30.655;-12.497;6.810;34.346;-12.331;6.016;37.027;-12.301;5.282;38.957;-13.602;7.895;24.065;-10.839;7.966;27.042;-9.284;7.537;28.869;-6.812;8.728;29.401;1.478;36.657;-2.627;15.540;34.312;-0.840;21.316;21.048;-2.228;27.701;6.387;-3.761;22.598;7.785;7.639;16.790;9.373;21.690;18.279;8.950;22.570;20.527;6.999;28.374;22.207;6.513;30.680;23.636;6.058;32.574;24.537;5.734;33.985;17.473;9.321;22.790;18.268;7.946;29.250;19.339;7.157;33.308;20.347;7.251;36.454;20.839;7.330;38.491;16.628;9.129;23.070;16.225;8.440;30.287;16.800;7.960;34.780;17.162;7.473;37.738;17.323;7.168;39.897;15.725;9.251;22.937;13.653;8.527;30.484;13.427;7.721;34.279;13.631;7.192;36.805;13.719;6.582;38.947;14.192;8.751;23.487;11.564;8.499;26.622;10.398;8.585;29.550;7.798;8.999;30.351;0.000;0.000;0.000;-7.681;-12.202;-0.853;-9.875;-33.049;-0.013;-12.450;-57.522;0.972;-11.611;-101.630;-7.276;7.512;-12.390;-1.568;9.451;-33.184;-0.553;11.724;-57.593;0.639;11.011;-101.936;-8.133
2428.000;97.120;0.050;7.196;-0.164;0.046;13.971;-0.320;-0.025;25.957;-0.600;-0.251;41.837;-1.377;-0.310;46.141;1.675;-0.123;52.642;2.805;-6.977;56.529;4.351;6.602;56.962;2.032;-2.259;58.968;11.036;4.226;59.175;9.929;-1.743;36.614;-2.715;-15.682;35.012;-1.519;-21.215;22.233;-2.232;-27.329;8.110;-3.020;-22.105;8.236;8.525;-16.034;8.537;22.141;-17.761;8.536;22.689;-19.668;5.829;29.074;-19.808;5.030;31.357;-20.529;4.141;33.720;-20.615;3.710;35.333;-16.954;8.766;22.801;-17.673;7.081;30.045;-17.880;5.833;33.910;-18.088;5.395;36.835;-18.300;5.069;38.843;-15.939;9.009;22.843;-15.139;7.523;30.887;-15.406;6.513;34.811;-15.155;5.378;38.023;-15.178;4.965;40.149;-14.796;9.251;22.651;-12.846;7.790;30.685;-12.450;6.918;34.397;-12.258;6.133;37.076;-12.264;5.442;39.022;-13.550;7.928;24.095;-10.792;7.994;27.088;-9.230;7.557;28.928;-6.759;8.751;29.454;1.482;36.665;-2.617;15.547;34.322;-0.818;21.330;21.055;-2.181;27.721;6.392;-3.687;22.613;7.760;7.719;16.795;9.310;21.779;18.291;8.874;22.654;20.536;6.925;28.449;22.211;6.418;30.756;23.641;5.949;32.651;24.548;5.615;34.057;17.483;9.241;22.873;18.278;7.852;29.335;19.357;7.025;33.381;20.330;7.087;36.531;20.817;7.123;38.571;16.696;9.053;23.184;16.213;8.347;30.369;16.763;7.784;34.873;17.137;7.201;37.806;17.300;6.870;39.960;15.791;9.154;23.045;13.644;8.419;30.572;13.449;7.519;34.342;13.651;6.860;36.834;13.728;6.174;38.953;14.205;8.691;23.576;11.568;8.443;26.707;10.404;8.447;29.658;7.796;8.863;30.430;0.000;0.000;0.000;-7.682;-12.201;-0.856;-9.875;-33.047;-0.014;-12.449;-57.519;0.975;-11.611;-101.635;-7.236;7.512;-12.391;-1.566;9.451;-33.183;-0.541;11.723;-57.591;0.662;11.015;-101.943;-8.081
2429.000;97.160;0.050;7.196;-0.162;0.047;13.970;-0.317;-0.023;25.957;-0.592;-0.242;41.836;-1.382;-0.299;46.143;1.671;-0.112;52.642;2.808;-6.967;56.527;4.355;6.614;56.962;2.048;-2.254;58.954;11.048;4.231;59.162;9.947;-1.736;36.613;-2.716;-15.676;35.022;-1.511;-21.224;22.246;-2.199;-27.355;8.124;-2.959;-22.057;8.241;8.563;-15.884;8.520;22.158;-17.662;8.469;22.672;-19.619;5.898;29.051;-19.702;4.950;31.276;-20.286;3.594;33.464;-20.251;2.820;34.947;-16.846;8.665;22.781;-17.651;7.149;30.052;-17.819;5.607;33.808;-17.896;4.604;36.585;-17.992;3.814;38.469;-15.722;8.995;22.819;-15.063;7.603;30.885;-15.372;6.323;34.747;-14.967;4.787;37.766;-15.026;4.090;39.815;-14.597;9.277;22.650;-12.783;7.934;30.726;-12.426;7.250;34.484;-12.281;6.702;37.204;-12.263;6.146;39.193;-13.424;7.965;24.115;-10.691;7.991;27.162;-9.137;7.551;28.980;-6.625;8.652;29.513;1.490;36.662;-2.618;15.555;34.322;-0.818;21.336;21.052;-2.155;27.727;6.385;-3.633;22.630;7.672;7.799;16.819;9.116;21.896;18.322;8.654;22.760;20.532;6.624;28.541;22.199;6.060;30.836;23.601;5.524;32.738;24.504;5.154;34.138;17.509;9.011;22.977;18.252;7.579;29.436;19.291;6.546;33.470;20.253;6.423;36.609;20.704;6.319;38.654;16.668;8.849;23.292;16.231;8.029;30.455;16.697;7.207;34.937;17.050;6.363;37.806;17.164;5.815;39.919;15.766;8.973;23.155;13.644;8.119;30.642;13.464;7.015;34.347;13.628;6.107;36.775;13.701;5.259;38.835;14.234;8.494;23.670;11.566;8.148;26.780;10.375;7.988;29.727;7.760;8.266;30.538;0.000;0.000;0.000;-7.683;-12.200;-0.857;-9.878;-33.047;-0.006;-12.454;-57.519;0.993;-11.622;-101.639;-7.196;7.511;-12.391;-1.567;9.449;-33.183;-0.537;11.721;-57.590;0.672;11.011;-101.947;-8.048
2430.000;97.200;0.050;7.195;-0.161;0.046;13.969;-0.316;-0.025;25.954;-0.594;-0.245;41.832;-1.402;-0.296;46.140;1.647;-0.097;52.636;2.783;-6.954;56.518;4.325;6.630;56.958;2.040;-2.252;58.936;11.029;4.235;59.146;9.938;-1.740;36.608;-2.729;-15.678;35.022;-1.501;-21.254;22.252;-2.166;-27.417;8.137;-2.900;-21.988;8.243;8.599;-15.638;8.495;22.169;-17.418;8.395;22.662;-19.475;5.947;28.964;-19.341;4.574;30.999;-18.801;2.211;32.082;-18.057;0.816;32.626;-16.607;8.597;22.793;-17.662;7.495;30.041;-17.786;5.054;33.344;-17.257;2.675;35.047;-16.933;0.888;35.986;-15.296;8.930;22.768;-15.092;8.109;30.875;-15.328;6.236;34.522;-15.026;3.889;36.982;-14.946;2.570;38.698;-14.257;9.342;22.644;-12.841;8.689;30.773;-12.610;8.457;34.583;-12.624;8.340;37.367;-12.830;8.122;39.410;-13.242;8.111;24.194;-10.543;8.231;27.309;-8.987;7.764;29.160;-6.494;8.910;29.687;1.486;36.657;-2.634;15.555;34.332;-0.848;21.339;21.072;-2.161;27.732;6.416;-3.612;22.679;7.480;7.896;16.912;8.637;22.090;18.435;8.078;22.932;20.515;5.842;28.692;22.107;5.025;30.979;23.333;4.222;32.916;24.179;3.643;34.279;17.618;8.429;23.143;18.327;6.839;29.565;19.117;5.370;33.519;19.861;4.548;36.617;20.251;3.967;38.594;16.741;8.326;23.470;16.215;7.272;30.585;16.597;5.970;34.963;16.745;4.608;37.640;16.755;3.622;39.591;15.842;8.471;23.330;13.638;7.465;30.715;13.361;6.021;34.310;13.509;4.776;36.615;13.567;3.692;38.561;14.356;8.067;23.848;11.571;7.399;26.831;10.389;6.905;29.785;7.774;6.801;30.635;0.000;0.000;0.000;-7.681;-12.201;-0.855;-9.874;-33.048;-0.001;-12.447;-57.520;1.003;-11.620;-101.647;-7.172;7.512;-12.389;-1.577;9.454;-33.181;-0.546;11.731;-57.589;0.665;11.015;-101.950;-8.033
2431.000;97.240;0.045;7.195;-0.163;0.038;13.968;-0.324;-0.039;25.952;-0.619;-0.302;41.830;-1.435;-0.345;46.140;1.623;-0.107;52.632;2.782;-6.961;56.544;4.263;6.640;56.927;2.070;-2.296;58.969;10.991;4.199;59.152;9.943;-1.785;36.601;-2.758;-15.717;35.009;-1.502;-21.335;22.271;-2.122;-27.544;8.191;-2.806;-21.920;8.328;8.645;-15.280;8.614;22.173;-17.051;8.469;22.652;-19.013;6.311;28.899;-18.353;4.580;30.557;-16.644;2.757;29.994;-15.384;2.243;29.022;-16.263;8.739;22.804;-17.511;8.212;29.958;-16.652;5.042;32.436;-15.134;2.479;32.183;-14.036;0.961;31.361;-14.717;8.975;22.698;-15.022;9.217;30.689;-15.033;6.739;34.024;-14.113;3.693;35.159;-13.567;1.679;35.742;-13.869;9.515;22.580;-12.869;10.130;30.637;-12.927;10.531;34.407;-13.144;10.897;37.179;-13.539;10.985;39.203;-12.983;8.682;24.239;-10.254;8.931;27.328;-8.670;8.541;29.217;-6.143;9.648;29.660;1.441;36.659;-2.665;15.517;34.397;-0.900;21.324;21.143;-2.187;27.743;6.494;-3.611;22.812;6.969;8.057;17.195;7.393;22.432;18.727;6.654;23.242;20.415;3.857;28.945;21.712;2.580;31.212;22.548;1.283;33.062;23.105;0.311;34.349;17.915;7.023;23.443;18.314;5.076;29.835;18.780;2.888;33.539;19.086;1.122;36.326;19.188;0.033;38.116;16.908;7.000;23.778;16.243;5.590;30.799;16.315;3.726;35.003;16.208;1.767;37.321;16.005;0.392;39.008;16.028;7.232;23.643;13.678;5.925;30.867;13.230;4.198;34.291;13.204;2.671;36.395;13.057;1.264;38.117;14.638;6.910;24.140;11.679;5.954;26.883;10.405;5.046;29.749;7.843;4.493;30.588;0.000;0.000;0.000;-7.675;-12.207;-0.842;-9.864;-33.054;0.014;-12.435;-57.528;1.020;-11.621;-101.652;-7.159;7.517;-12.385;-1.589;9.464;-33.179;-0.554;11.745;-57.590;0.662;11.019;-101.955;-8.012
2432.000;97.280;0.041;7.198;-0.169;0.028;13.975;-0.339;-0.059;25.965;-0.654;-0.375;41.841;-1.476;-0.413;46.149;1.600;-0.132;52.628;2.812;-6.973;56.607;4.171;6.659;56.862;2.155;-2.378;59.049;10.940;4.132;59.170;9.977;-1.840;36.606;-2.797;-15.746;34.988;-1.536;-21.540;22.303;-1.842;-27.943;8.282;-2.179;-21.916;8.786;9.065;-14.771;9.485;22.350;-16.506;9.336;22.894;-18.333;8.062;29.065;-17.063;6.403;30.271;-15.345;5.150;29.095;-14.547;6.189;28.057;-15.730;9.651;23.013;-16.928;10.221;29.876;-15.352;6.759;31.473;-13.687;4.966;29.683;-12.910;4.401;27.878;-14.317;9.887;22.855;-14.462;11.409;30.362;-13.903;8.270;33.150;-12.575;5.234;32.712;-11.779;3.344;32.013;-13.459;10.370;22.650;-12.408;12.458;30.276;-12.354;13.421;33.945;-12.492;14.216;36.672;-12.832;14.702;38.650;-12.461;10.021;24.352;-9.562;10.324;27.287;-7.917;10.059;29.060;-5.251;10.881;29.224;1.386;36.675;-2.704;15.465;34.474;-0.932;21.326;21.217;-2.173;27.805;6.564;-3.545;23.041;5.904;8.294;17.615;4.911;22.861;19.076;3.952;23.630;20.225;0.468;29.118;21.051;-1.339;31.261;21.329;-3.119;32.891;21.501;-4.416;33.985;18.294;4.372;23.848;18.351;1.872;30.044;18.240;-0.949;33.369;17.894;-3.436;35.528;17.539;-4.962;36.923;17.162;4.393;24.148;16.310;2.526;31.001;15.943;0.119;34.916;15.388;-2.201;36.776;14.828;-3.896;38.038;16.322;4.753;24.038;13.845;3.170;31.041;13.076;1.166;34.258;12.722;-0.628;36.125;12.380;-2.268;37.595;15.058;4.464;24.451;11.936;3.459;26.964;10.538;2.276;29.664;8.039;1.543;30.553;0.000;0.000;0.000;-7.671;-12.210;-0.824;-9.854;-33.061;0.043;-12.416;-57.538;1.059;-11.607;-101.661;-7.126;7.520;-12.382;-1.594;9.472;-33.180;-0.545;11.761;-57.595;0.685;11.023;-101.962;-7.977
2433.000;97.320;0.036;7.194;-0.176;0.022;13.966;-0.353;-0.066;25.948;-0.681;-0.430;41.820;-1.559;-0.474;46.147;1.544;-0.165;52.625;2.830;-6.992;56.682;4.017;6.677;56.788;2.257;-2.502;59.153;10.845;4.026;59.203;10.005;-1.875;36.576;-2.866;-15.754;34.933;-1.612;-21.871;22.359;-1.149;-28.633;8.460;-0.637;-22.228;9.965;10.253;-14.542;11.771;23.118;-16.208;11.707;23.757;-17.791;11.396;29.712;-16.269;9.793;30.724;-14.542;9.040;28.687;-14.019;10.136;27.538;-15.452;12.082;23.816;-16.493;13.632;30.203;-14.478;10.221;31.335;-13.165;9.165;28.802;-12.778;9.121;26.794;-14.208;12.212;23.611;-14.117;14.990;30.464;-13.224;11.934;33.233;-12.045;9.335;31.527;-11.400;7.810;30.131;-13.370;12.604;23.323;-12.080;16.154;30.230;-11.807;17.774;33.651;-11.779;19.159;36.123;-12.010;20.005;37.992;-12.249;12.631;24.927;-9.259;13.273;27.663;-7.505;13.242;29.416;-4.776;13.837;29.341;1.351;36.655;-2.764;15.418;34.526;-0.963;21.341;21.238;-2.073;27.887;6.552;-3.300;23.312;4.188;8.562;18.123;1.092;23.123;19.495;-0.152;23.737;20.065;-4.328;28.815;20.303;-6.596;30.701;20.002;-8.645;31.937;19.715;-10.132;32.721;18.757;0.323;23.994;18.443;-2.828;29.884;17.658;-6.050;32.714;16.676;-8.882;34.162;15.872;-10.607;35.043;17.614;0.421;24.323;16.482;-1.982;30.928;15.685;-4.891;34.404;14.658;-7.413;35.766;13.803;-9.265;36.552;16.827;0.894;24.257;14.152;-1.098;31.034;13.034;-3.347;33.962;12.472;-5.386;35.473;11.845;-7.177;36.643;15.595;0.759;24.642;12.359;-0.202;27.030;10.834;-1.734;29.577;8.301;-2.354;30.456;0.000;0.000;0.000;-7.658;-12.218;-0.820;-9.852;-33.069;0.064;-12.428;-57.547;1.101;-11.615;-101.664;-7.059;7.533;-12.377;-1.572;9.478;-33.175;-0.507;11.756;-57.591;0.742;11.012;-101.965;-7.909
