Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1969.000;78.760;0.028;7.206;-0.165;0.030;13.989;-0.338;0.001;25.990;-0.666;-0.282;41.877;-1.245;-0.331;46.093;1.813;-0.033;52.510;2.982;-6.894;56.462;4.322;6.803;56.720;2.804;-2.527;58.482;11.375;4.013;58.606;10.650;-1.744;36.666;-2.659;-15.863;34.631;-1.295;-21.184;21.713;-2.820;-27.065;7.434;-4.506;-24.066;4.938;7.814;-20.738;1.780;22.242;-21.431;0.173;22.894;-18.427;-3.267;28.900;-17.454;-3.634;31.159;-16.794;-4.483;33.475;-16.262;-4.659;35.051;-21.380;0.990;23.108;-18.900;-1.030;29.953;-16.791;-1.330;33.409;-15.468;-1.444;36.045;-14.517;-1.642;37.844;-20.619;2.246;22.804;-18.394;1.478;30.707;-16.470;1.232;34.227;-14.828;1.170;37.192;-14.045;1.064;39.209;-20.699;3.362;22.810;-17.912;3.832;30.459;-15.656;3.620;33.664;-14.293;3.541;36.061;-13.257;3.105;37.793;-19.217;3.701;24.442;-18.227;6.587;26.320;-16.497;7.686;28.257;-16.986;10.162;29.455;1.481;36.728;-2.538;15.619;34.130;-0.489;21.069;20.586;-1.797;27.092;5.616;-3.243;22.732;3.581;8.738;17.871;0.815;23.321;17.898;-1.004;24.263;16.823;-3.322;30.506;15.900;-4.522;33.098;14.622;-5.322;35.006;13.650;-5.849;36.306;17.909;-0.109;24.446;17.593;-0.977;31.005;15.996;-1.738;35.050;13.933;-2.216;37.628;12.549;-2.450;39.186;17.169;1.051;24.678;17.547;1.336;31.759;16.128;0.855;36.183;14.337;0.553;38.610;12.900;0.457;40.254;17.119;1.962;24.551;16.990;3.948;31.595;15.847;4.389;35.254;14.578;4.305;37.518;13.254;4.226;39.309;16.687;2.796;24.984;16.590;6.141;26.805;16.442;7.621;29.700;16.163;10.293;30.296;0.000;0.000;0.000;-7.624;-12.236;-0.875;-9.649;-33.082;-0.187;-12.026;-57.553;0.621;-10.904;-101.696;-7.383;7.571;-12.355;-1.565;9.327;-33.204;-0.580;11.389;-57.679;0.576;10.353;-102.012;-8.482
1970.000;78.800;0.028;7.207;-0.166;0.030;13.992;-0.340;0.002;25.995;-0.668;-0.282;41.882;-1.262;-0.330;46.098;1.790;-0.031;52.512;2.954;-6.890;56.465;4.296;6.805;56.721;2.767;-2.518;58.492;11.344;4.022;58.614;10.613;-1.744;36.670;-2.671;-15.862;34.636;-1.300;-21.186;21.718;-2.813;-27.071;7.439;-4.485;-24.074;4.951;7.837;-20.747;1.803;22.269;-21.441;0.200;22.921;-18.439;-3.236;28.930;-17.466;-3.611;31.186;-16.811;-4.450;33.508;-16.271;-4.628;35.081;-21.391;1.017;23.134;-18.914;-0.995;29.980;-16.796;-1.300;33.432;-15.470;-1.409;36.068;-14.529;-1.605;37.873;-20.624;2.276;22.830;-18.401;1.513;30.734;-16.481;1.258;34.256;-14.836;1.207;37.217;-14.055;1.098;39.234;-20.705;3.395;22.836;-17.923;3.865;30.481;-15.666;3.654;33.689;-14.304;3.576;36.087;-13.267;3.141;37.819;-19.220;3.722;24.456;-18.235;6.613;26.345;-16.507;7.714;28.275;-16.990;10.190;29.476;1.481;36.732;-2.551;15.621;34.135;-0.504;21.075;20.592;-1.802;27.104;5.623;-3.237;22.745;3.598;8.745;17.884;0.842;23.332;17.907;-0.983;24.273;16.836;-3.289;30.519;15.911;-4.494;33.104;14.637;-5.293;35.017;13.661;-5.809;36.317;17.916;-0.087;24.454;17.606;-0.945;31.016;16.018;-1.705;35.062;13.941;-2.182;37.636;12.560;-2.414;39.197;17.178;1.091;24.687;17.566;1.371;31.766;16.134;0.894;36.190;14.346;0.592;38.616;12.906;0.489;40.258;17.130;2.002;24.560;17.008;3.983;31.601;15.856;4.428;35.263;14.581;4.348;37.531;13.277;4.256;39.336;16.693;2.823;24.990;16.601;6.168;26.814;16.464;7.650;29.702;16.173;10.318;30.308;0.000;0.000;0.000;-7.624;-12.236;-0.871;-9.649;-33.082;-0.178;-12.025;-57.554;0.637;-10.907;-101.697;-7.361;7.571;-12.355;-1.563;9.327;-33.205;-0.569;11.389;-57.680;0.599;10.348;-102.014;-8.455
1971.000;78.840;0.028;7.209;-0.168;0.030;13.995;-0.341;0.002;26.001;-0.670;-0.282;41.887;-1.273;-0.329;46.102;1.773;-0.027;52.512;2.928;-6.886;56.466;4.268;6.808;56.721;2.734;-2.512;58.501;11.312;4.028;58.623;10.579;-1.745;36.674;-2.679;-15.863;34.640;-1.305;-21.192;21.723;-2.806;-27.081;7.446;-4.466;-24.083;4.961;7.856;-20.754;1.818;22.288;-21.457;0.211;22.940;-18.461;-3.222;28.948;-17.487;-3.589;31.210;-16.842;-4.424;33.525;-16.273;-4.592;35.088;-21.408;1.029;23.153;-18.928;-0.979;30.002;-16.806;-1.283;33.451;-15.477;-1.396;36.085;-14.544;-1.589;37.895;-20.625;2.285;22.850;-18.405;1.534;30.751;-16.483;1.274;34.275;-14.844;1.234;37.227;-14.056;1.124;39.241;-20.703;3.402;22.854;-17.930;3.886;30.497;-15.682;3.671;33.704;-14.319;3.596;36.098;-13.268;3.161;37.822;-19.232;3.732;24.467;-18.241;6.628;26.359;-16.518;7.727;28.298;-17.004;10.209;29.487;1.480;36.736;-2.559;15.620;34.143;-0.513;21.083;20.602;-1.804;27.121;5.635;-3.232;22.758;3.613;8.750;17.892;0.862;23.337;17.915;-0.962;24.278;16.847;-3.272;30.526;15.920;-4.478;33.108;14.646;-5.277;35.021;13.666;-5.796;36.317;17.924;-0.066;24.459;17.613;-0.928;31.020;16.032;-1.688;35.069;13.948;-2.176;37.640;12.567;-2.398;39.204;17.186;1.105;24.694;17.577;1.386;31.769;16.137;0.911;36.191;14.349;0.600;38.619;12.908;0.497;40.258;17.135;2.016;24.568;17.006;3.996;31.605;15.852;4.440;35.268;14.576;4.356;37.536;13.276;4.258;39.344;16.716;2.841;24.996;16.602;6.185;26.816;16.468;7.662;29.709;16.170;10.330;30.315;0.000;0.000;0.000;-7.625;-12.236;-0.868;-9.649;-33.083;-0.164;-12.026;-57.556;0.663;-10.906;-101.704;-7.336;7.571;-12.356;-1.560;9.327;-33.205;-0.559;11.389;-57.681;0.617;10.344;-102.016;-8.433
1972.000;78.880;0.028;7.210;-0.169;0.030;13.998;-0.343;0.003;26.006;-0.669;-0.278;41.892;-1.283;-0.324;46.106;1.758;-0.025;52.513;2.906;-6.884;56.468;4.243;6.810;56.722;2.708;-2.509;58.508;11.285;4.031;58.629;10.552;-1.742;36.678;-2.685;-15.863;34.649;-1.306;-21.196;21.733;-2.800;-27.090;7.457;-4.452;-24.090;4.971;7.869;-20.758;1.826;22.300;-21.461;0.217;22.954;-18.457;-3.217;28.962;-17.488;-3.580;31.220;-16.843;-4.415;33.531;-16.261;-4.581;35.089;-21.410;1.035;23.166;-18.923;-0.977;30.014;-16.805;-1.266;33.462;-15.471;-1.398;36.094;-14.533;-1.596;37.900;-20.629;2.300;22.862;-18.408;1.539;30.760;-16.473;1.298;34.282;-14.839;1.243;37.233;-14.037;1.143;39.242;-20.710;3.416;22.868;-17.928;3.881;30.511;-15.691;3.671;33.711;-14.306;3.595;36.110;-13.283;3.159;37.850;-19.248;3.742;24.487;-18.238;6.634;26.368;-16.515;7.733;28.307;-17.002;10.217;29.492;1.483;36.740;-2.566;15.621;34.148;-0.520;21.090;20.608;-1.806;27.134;5.644;-3.227;22.765;3.620;8.754;17.892;0.866;23.339;17.911;-0.968;24.279;16.839;-3.273;30.524;15.915;-4.474;33.109;14.641;-5.281;35.016;13.655;-5.795;36.310;17.914;-0.072;24.459;17.605;-0.926;31.020;16.030;-1.692;35.070;13.943;-2.168;37.637;12.559;-2.415;39.193;17.187;1.097;24.699;17.564;1.384;31.773;16.128;0.914;36.192;14.336;0.593;38.618;12.890;0.486;40.254;17.131;2.007;24.572;16.997;3.984;31.611;15.841;4.445;35.267;14.572;4.341;37.532;13.246;4.249;39.321;16.767;2.849;25.002;16.593;6.189;26.821;16.449;7.664;29.720;16.147;10.332;30.321;0.000;0.000;0.000;-7.625;-12.236;-0.864;-9.650;-33.084;-0.151;-12.027;-57.557;0.686;-10.903;-101.699;-7.307;7.570;-12.356;-1.557;9.326;-33.207;-0.550;11.388;-57.683;0.632;10.340;-102.018;-8.411
1973.000;78.920;0.029;7.211;-0.170;0.031;14.000;-0.344;0.003;26.010;-0.668;-0.278;41.895;-1.292;-0.325;46.109;1.744;-0.030;52.513;2.887;-6.890;56.468;4.221;6.805;56.723;2.685;-2.514;58.515;11.261;4.025;58.637;10.528;-1.742;36.681;-2.690;-15.862;34.651;-1.309;-21.196;21.734;-2.797;-27.091;7.458;-4.443;-24.086;4.972;7.876;-20.749;1.827;22.304;-21.454;0.235;22.967;-18.440;-3.211;28.964;-17.467;-3.581;31.218;-16.822;-4.403;33.539;-16.235;-4.581;35.094;-21.413;1.052;23.184;-18.909;-0.960;30.018;-16.779;-1.257;33.465;-15.449;-1.384;36.094;-14.502;-1.574;37.897;-20.623;2.311;22.869;-18.387;1.554;30.763;-16.468;1.300;34.282;-14.806;1.249;37.237;-14.020;1.150;39.252;-20.711;3.443;22.877;-17.923;3.888;30.516;-15.674;3.692;33.709;-14.285;3.606;36.120;-13.276;3.181;37.870;-19.224;3.750;24.496;-18.232;6.638;26.366;-16.511;7.740;28.316;-16.987;10.232;29.487;1.483;36.742;-2.572;15.625;34.156;-0.528;21.098;20.616;-1.810;27.146;5.651;-3.227;22.774;3.627;8.753;17.900;0.873;23.336;17.917;-0.978;24.267;16.852;-3.270;30.519;15.917;-4.466;33.112;14.647;-5.276;35.012;13.659;-5.776;36.309;17.913;-0.081;24.444;17.611;-0.917;31.020;16.033;-1.685;35.069;13.948;-2.165;37.631;12.561;-2.415;39.184;17.192;1.110;24.695;17.567;1.393;31.772;16.129;0.917;36.192;14.332;0.597;38.617;12.894;0.490;40.259;17.139;2.020;24.568;17.011;3.991;31.604;15.848;4.451;35.265;14.571;4.353;37.526;13.239;4.250;39.310;16.718;2.851;24.990;16.590;6.196;26.818;16.450;7.667;29.721;16.139;10.335;30.321;0.000;0.000;0.000;-7.625;-12.236;-0.861;-9.650;-33.083;-0.142;-12.028;-57.556;0.702;-10.912;-101.707;-7.269;7.570;-12.357;-1.554;9.326;-33.207;-0.542;11.387;-57.683;0.647;10.338;-102.020;-8.383
1974.000;78.960;0.029;7.212;-0.172;0.031;14.002;-0.346;0.004;26.015;-0.673;-0.279;41.900;-1.307;-0.327;46.113;1.724;-0.031;52.513;2.862;-6.892;56.465;4.195;6.802;56.727;2.659;-2.518;58.516;11.235;4.022;58.641;10.501;-1.743;36.684;-2.702;-15.861;34.654;-1.320;-21.197;21.739;-2.802;-27.094;7.464;-4.440;-24.086;4.973;7.878;-20.746;1.821;22.305;-21.449;0.225;22.966;-18.426;-3.217;28.962;-17.451;-3.578;31.220;-16.794;-4.417;33.538;-16.235;-4.588;35.105;-21.407;1.042;23.181;-18.887;-0.964;30.016;-16.755;-1.274;33.459;-15.434;-1.404;36.090;-14.485;-1.582;37.893;-20.627;2.283;22.869;-18.371;1.546;30.762;-16.432;1.307;34.277;-14.787;1.245;37.232;-14.012;1.121;39.251;-20.704;3.407;22.872;-17.904;3.885;30.515;-15.652;3.675;33.712;-14.270;3.598;36.107;-13.236;3.171;37.843;-19.218;3.756;24.510;-18.225;6.635;26.366;-16.492;7.741;28.308;-16.974;10.229;29.485;1.482;36.746;-2.584;15.625;34.163;-0.539;21.100;20.624;-1.819;27.150;5.660;-3.233;22.781;3.637;8.747;17.908;0.884;23.332;17.932;-0.934;24.274;16.853;-3.257;30.516;15.927;-4.460;33.103;14.645;-5.262;35.007;13.660;-5.784;36.298;17.942;-0.038;24.456;17.618;-0.910;31.017;16.031;-1.672;35.065;13.945;-2.149;37.624;12.559;-2.407;39.177;17.200;1.122;24.692;17.584;1.399;31.767;16.138;0.930;36.189;14.342;0.612;38.612;12.894;0.504;40.245;17.147;2.032;24.564;17.018;3.999;31.606;15.842;4.458;35.266;14.577;4.369;37.523;13.248;4.266;39.309;16.729;2.864;24.985;16.602;6.210;26.818;16.483;7.676;29.698;16.152;10.335;30.327;0.000;0.000;0.000;-7.625;-12.237;-0.859;-9.651;-33.083;-0.137;-12.029;-57.555;0.710;-10.916;-101.711;-7.257;7.570;-12.357;-1.551;9.325;-33.208;-0.535;11.386;-57.684;0.657;10.337;-102.021;-8.364
1975.000;79.000;0.029;7.213;-0.173;0.032;14.004;-0.349;0.005;26.018;-0.677;-0.276;41.903;-1.323;-0.324;46.116;1.705;-0.030;52.513;2.842;-6.892;56.465;4.177;6.802;56.726;2.638;-2.516;58.515;11.216;4.023;58.640;10.481;-1.740;36.686;-2.714;-15.860;34.659;-1.331;-21.197;21.745;-2.810;-27.096;7.471;-4.444;-24.093;4.971;7.875;-20.761;1.810;22.303;-21.454;0.213;22.965;-18.433;-3.244;28.956;-17.450;-3.628;31.198;-16.781;-4.451;33.528;-16.230;-4.641;35.095;-21.409;1.030;23.180;-18.904;-0.990;30.013;-16.766;-1.294;33.454;-15.438;-1.421;36.082;-14.478;-1.606;37.878;-20.638;2.273;22.863;-18.383;1.523;30.757;-16.432;1.280;34.272;-14.789;1.212;37.229;-13.999;1.107;39.242;-20.725;3.393;22.869;-17.916;3.858;30.511;-15.661;3.659;33.705;-14.281;3.569;36.101;-13.236;3.148;37.832;-19.227;3.738;24.501;-18.237;6.620;26.372;-16.510;7.719;28.312;-16.976;10.208;29.492;1.485;36.748;-2.595;15.627;34.166;-0.549;21.102;20.627;-1.819;27.153;5.663;-3.223;22.780;3.641;8.759;17.903;0.890;23.346;17.933;-0.935;24.284;16.840;-3.252;30.529;15.911;-4.459;33.107;14.625;-5.263;35.012;13.639;-5.782;36.304;17.940;-0.039;24.466;17.613;-0.912;31.027;16.015;-1.670;35.071;13.926;-2.152;37.626;12.521;-2.391;39.165;17.202;1.126;24.705;17.581;1.398;31.781;16.132;0.927;36.199;14.341;0.619;38.618;12.887;0.500;40.246;17.150;2.036;24.577;17.013;4.018;31.617;15.844;4.462;35.274;14.568;4.375;37.538;13.252;4.273;39.334;16.782;2.876;25.000;16.599;6.216;26.839;16.471;7.684;29.724;16.144;10.347;30.335;0.000;0.000;0.000;-7.625;-12.237;-0.857;-9.651;-33.084;-0.129;-12.030;-57.556;0.725;-10.917;-101.717;-7.239;7.571;-12.358;-1.546;9.325;-33.208;-0.524;11.385;-57.684;0.676;10.336;-102.023;-8.335
1976.000;79.040;0.029;7.213;-0.175;0.032;14.004;-0.352;0.006;26.018;-0.682;-0.273;41.903;-1.340;-0.321;46.117;1.686;-0.029;52.514;2.822;-6.889;56.468;4.155;6.805;56.725;2.619;-2.515;58.517;11.195;4.025;58.640;10.462;-1.737;36.685;-2.727;-15.860;34.661;-1.341;-21.197;21.745;-2.814;-27.095;7.468;-4.442;-24.093;4.959;7.877;-20.762;1.786;22.303;-21.455;0.198;22.971;-18.425;-3.266;28.951;-17.434;-3.672;31.187;-16.736;-4.514;33.508;-16.177;-4.718;35.071;-21.412;1.014;23.189;-18.898;-1.017;30.014;-16.758;-1.312;33.449;-15.427;-1.454;36.078;-14.466;-1.634;37.874;-20.652;2.250;22.870;-18.381;1.503;30.760;-16.410;1.254;34.270;-14.769;1.181;37.215;-13.964;1.068;39.223;-20.734;3.377;22.877;-17.919;3.830;30.517;-15.687;3.623;33.701;-14.254;3.540;36.107;-13.250;3.116;37.861;-19.213;3.715;24.506;-18.243;6.601;26.372;-16.505;7.696;28.312;-16.978;10.181;29.499;1.488;36.747;-2.609;15.628;34.166;-0.563;21.105;20.626;-1.823;27.159;5.662;-3.216;22.790;3.641;8.766;17.917;0.891;23.353;17.930;-0.937;24.291;16.835;-3.253;30.530;15.890;-4.456;33.113;14.600;-5.254;35.011;13.616;-5.769;36.306;17.938;-0.041;24.474;17.611;-0.914;31.037;16.001;-1.676;35.077;13.895;-2.151;37.615;12.483;-2.398;39.146;17.216;1.124;24.712;17.578;1.399;31.794;16.130;0.919;36.206;14.337;0.611;38.623;12.882;0.502;40.250;17.164;2.035;24.586;17.047;4.014;31.623;15.869;4.449;35.290;14.585;4.365;37.551;13.262;4.276;39.342;16.744;2.881;25.021;16.633;6.220;26.851;16.495;7.692;29.746;16.178;10.359;30.345;0.000;0.000;0.000;-7.625;-12.237;-0.853;-9.652;-33.085;-0.118;-12.032;-57.559;0.745;-10.919;-101.718;-7.218;7.570;-12.358;-1.543;9.324;-33.209;-0.515;11.384;-57.686;0.692;10.332;-102.025;-8.313
1977.000;79.080;0.030;7.215;-0.176;0.033;14.006;-0.354;0.007;26.023;-0.686;-0.271;41.907;-1.352;-0.317;46.121;1.671;-0.019;52.515;2.803;-6.878;56.472;4.139;6.816;56.724;2.597;-2.499;58.520;11.177;4.040;58.641;10.441;-1.736;36.688;-2.737;-15.855;34.670;-1.349;-21.195;21.755;-2.816;-27.098;7.480;-4.438;-24.092;4.959;7.878;-20.757;1.773;22.301;-21.458;0.161;22.955;-18.412;-3.293;28.924;-17.386;-3.739;31.148;-16.666;-4.590;33.451;-16.075;-4.819;34.999;-21.411;0.978;23.169;-18.880;-1.034;30.006;-16.735;-1.352;33.430;-15.403;-1.499;36.058;-14.419;-1.707;37.839;-20.636;2.239;22.865;-18.375;1.471;30.754;-16.371;1.207;34.251;-14.721;1.123;37.182;-13.890;0.990;39.177;-20.717;3.361;22.876;-17.893;3.798;30.515;-15.640;3.600;33.691;-14.237;3.500;36.093;-13.209;3.072;37.832;-19.222;3.684;24.482;-18.228;6.575;26.371;-16.488;7.673;28.306;-16.975;10.149;29.506;1.489;36.750;-2.618;15.633;34.170;-0.571;21.108;20.628;-1.829;27.160;5.660;-3.219;22.800;3.642;8.768;17.932;0.893;23.362;17.929;-0.936;24.295;16.798;-3.263;30.523;15.843;-4.476;33.094;14.558;-5.261;34.992;13.549;-5.742;36.280;17.952;-0.041;24.482;17.607;-0.928;31.034;15.982;-1.694;35.066;13.884;-2.158;37.608;12.463;-2.393;39.134;17.238;1.105;24.725;17.611;1.372;31.794;16.161;0.901;36.212;14.358;0.605;38.628;12.901;0.505;40.254;17.190;2.016;24.600;17.119;3.962;31.632;15.941;4.451;35.303;14.645;4.337;37.564;13.324;4.257;39.358;16.759;2.882;25.028;16.692;6.219;26.872;16.562;7.682;29.774;16.284;10.349;30.392;0.000;0.000;0.000;-7.625;-12.237;-0.854;-9.653;-33.084;-0.115;-12.033;-57.557;0.753;-10.924;-101.707;-7.210;7.570;-12.358;-1.542;9.324;-33.208;-0.510;11.384;-57.684;0.702;10.333;-102.025;-8.296
