Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3064.000;122.560;0.037;7.179;-0.227;0.046;13.937;-0.472;0.030;25.892;-0.945;-0.236;41.773;-1.685;-0.316;46.075;1.361;-0.075;52.590;2.461;-7.015;56.403;3.792;6.659;56.953;2.159;-2.642;58.638;10.777;3.888;58.901;9.997;-1.697;36.549;-3.053;-15.781;34.641;-1.819;-21.338;21.748;-3.029;-27.480;7.498;-4.367;-21.893;6.739;7.273;-15.478;5.808;21.043;-15.556;4.058;21.633;-11.568;1.830;27.392;-9.761;2.179;29.079;-7.532;2.283;30.469;-6.142;2.766;31.262;-15.736;4.858;21.842;-13.048;3.609;28.658;-9.596;4.097;30.974;-6.853;4.747;31.915;-4.904;5.099;32.424;-15.415;6.134;21.676;-13.303;6.157;29.235;-9.980;6.458;31.567;-6.728;6.964;32.225;-4.596;7.222;32.507;-15.800;7.128;21.637;-13.607;8.636;29.003;-10.441;9.085;31.168;-7.715;9.292;31.992;-5.691;9.131;32.368;-14.724;7.922;23.051;-14.569;10.928;25.110;-13.244;12.383;27.188;-14.226;14.441;28.804;1.528;36.609;-2.918;15.653;34.023;-0.679;21.244;20.475;-1.718;27.423;5.501;-2.867;21.393;6.229;8.403;14.300;6.756;22.319;13.869;5.066;23.191;10.449;3.077;28.668;8.317;2.007;30.531;6.003;1.775;31.264;4.324;1.725;31.559;13.926;5.961;23.372;11.197;5.279;29.476;7.807;4.606;32.230;4.464;4.485;32.822;2.392;4.597;33.127;13.386;7.187;23.411;11.096;7.617;30.197;7.818;7.098;33.478;4.861;7.104;34.189;2.680;7.245;34.185;13.470;8.097;23.295;10.838;10.134;29.853;8.014;10.375;32.440;5.587;10.073;33.309;3.401;9.908;33.710;12.905;9.068;23.611;12.347;12.396;25.428;11.280;13.906;28.055;11.087;16.604;28.563;0.000;0.000;0.000;-7.623;-12.237;-0.879;-9.685;-33.071;-0.066;-12.106;-57.529;0.888;-10.877;-101.675;-6.994;7.580;-12.373;-1.366;9.296;-33.215;-0.220;11.310;-57.683;1.125;10.393;-101.970;-8.095
3065.000;122.600;0.039;7.179;-0.225;0.052;13.937;-0.468;0.044;25.892;-0.939;-0.214;41.773;-1.675;-0.296;46.074;1.371;-0.053;52.589;2.472;-7.001;56.397;3.778;6.678;56.958;2.188;-2.652;58.643;10.774;3.880;58.911;10.014;-1.675;36.551;-3.047;-15.762;34.650;-1.833;-21.314;21.756;-3.063;-27.451;7.505;-4.422;-21.877;6.750;7.226;-15.478;5.820;21.004;-15.555;4.076;21.594;-11.559;1.852;27.356;-9.775;2.207;29.050;-7.537;2.306;30.435;-6.145;2.782;31.230;-15.736;4.875;21.803;-13.056;3.624;28.619;-9.607;4.118;30.939;-6.867;4.774;31.877;-4.918;5.131;32.385;-15.420;6.145;21.636;-13.314;6.180;29.195;-9.998;6.473;31.534;-6.725;7.006;32.158;-4.597;7.257;32.470;-15.804;7.139;21.596;-13.621;8.647;28.967;-10.453;9.100;31.130;-7.738;9.316;31.953;-5.713;9.138;32.319;-14.727;7.940;23.013;-14.568;10.947;25.069;-13.232;12.403;27.144;-14.202;14.463;28.762;1.549;36.610;-2.907;15.669;34.017;-0.650;21.263;20.468;-1.674;27.446;5.492;-2.806;21.401;6.226;8.456;14.289;6.762;22.363;13.855;5.074;23.235;10.432;3.086;28.709;8.304;2.015;30.574;5.983;1.772;31.295;4.304;1.719;31.591;13.913;5.968;23.416;11.178;5.290;29.517;7.780;4.613;32.259;4.438;4.494;32.845;2.363;4.604;33.133;13.371;7.192;23.453;11.068;7.621;30.230;7.791;7.104;33.506;4.835;7.107;34.216;2.654;7.254;34.195;13.457;8.101;23.337;10.816;10.150;29.888;7.991;10.390;32.472;5.562;10.083;33.341;3.377;9.921;33.746;12.891;9.076;23.648;12.328;12.401;25.463;11.259;13.915;28.091;11.071;16.614;28.592;0.000;0.000;0.000;-7.624;-12.235;-0.889;-9.687;-33.070;-0.082;-12.109;-57.528;0.866;-10.873;-101.673;-7.021;7.580;-12.374;-1.362;9.294;-33.215;-0.224;11.307;-57.681;1.113;10.399;-101.967;-8.116
3066.000;122.640;0.041;7.179;-0.224;0.057;13.937;-0.466;0.059;25.893;-0.935;-0.190;41.775;-1.668;-0.275;46.074;1.378;-0.035;52.586;2.480;-6.993;56.385;3.756;6.691;56.965;2.221;-2.676;58.641;10.769;3.859;58.918;10.035;-1.652;36.553;-3.043;-15.744;34.660;-1.847;-21.298;21.769;-3.090;-27.436;7.521;-4.464;-21.871;6.763;7.188;-15.481;5.832;20.970;-15.558;4.092;21.563;-11.565;1.862;27.323;-9.787;2.216;29.024;-7.549;2.314;30.402;-6.153;2.794;31.188;-15.742;4.891;21.772;-13.066;3.640;28.586;-9.616;4.124;30.907;-6.874;4.772;31.841;-4.927;5.138;32.345;-15.423;6.151;21.604;-13.323;6.199;29.164;-10.018;6.472;31.516;-6.721;7.016;32.093;-4.595;7.265;32.419;-15.802;7.145;21.562;-13.628;8.654;28.936;-10.460;9.111;31.099;-7.753;9.315;31.922;-5.726;9.132;32.269;-14.726;7.952;22.979;-14.558;10.961;25.034;-13.205;12.415;27.106;-14.162;14.481;28.724;1.572;36.610;-2.899;15.689;34.010;-0.626;21.281;20.458;-1.635;27.462;5.479;-2.751;21.406;6.213;8.505;14.283;6.748;22.406;13.848;5.060;23.279;10.423;3.071;28.752;8.297;1.996;30.617;5.976;1.750;31.333;4.296;1.692;31.629;13.903;5.954;23.459;11.171;5.280;29.561;7.761;4.600;32.293;4.423;4.471;32.876;2.346;4.583;33.148;13.364;7.167;23.498;11.055;7.596;30.272;7.770;7.097;33.542;4.816;7.094;34.253;2.636;7.253;34.225;13.446;8.076;23.380;10.797;10.145;29.927;7.986;10.377;32.520;5.545;10.071;33.385;3.361;9.916;33.801;12.871;9.065;23.668;12.321;12.387;25.503;11.245;13.899;28.130;11.055;16.597;28.638;0.000;0.000;0.000;-7.625;-12.234;-0.898;-9.689;-33.068;-0.096;-12.111;-57.526;0.845;-10.870;-101.672;-7.042;7.579;-12.375;-1.358;9.292;-33.216;-0.227;11.304;-57.681;1.100;10.403;-101.964;-8.141
3067.000;122.680;0.043;7.179;-0.222;0.064;13.938;-0.463;0.076;25.894;-0.930;-0.163;41.776;-1.663;-0.254;46.072;1.382;-0.030;52.581;2.487;-7.002;56.365;3.728;6.689;56.973;2.266;-2.727;58.626;10.764;3.811;58.916;10.067;-1.627;36.555;-3.039;-15.724;34.668;-1.859;-21.285;21.781;-3.111;-27.431;7.537;-4.496;-21.869;6.776;7.157;-15.485;5.843;20.940;-15.558;4.102;21.533;-11.566;1.865;27.291;-9.783;2.220;28.992;-7.549;2.332;30.370;-6.150;2.819;31.146;-15.743;4.900;21.743;-13.068;3.663;28.558;-9.613;4.107;30.881;-6.861;4.737;31.793;-4.912;5.127;32.274;-15.426;6.153;21.575;-13.325;6.215;29.142;-10.038;6.446;31.530;-6.727;6.983;32.058;-4.597;7.240;32.350;-15.804;7.154;21.533;-13.638;8.666;28.909;-10.477;9.122;31.082;-7.765;9.318;31.894;-5.736;9.130;32.227;-14.726;7.961;22.948;-14.551;10.977;24.999;-13.191;12.422;27.071;-14.137;14.502;28.680;1.597;36.610;-2.893;15.711;34.002;-0.604;21.296;20.445;-1.602;27.470;5.461;-2.705;21.408;6.181;8.549;14.279;6.699;22.448;13.844;5.013;23.320;10.421;3.010;28.785;8.292;1.929;30.652;5.972;1.682;31.365;4.290;1.619;31.646;13.901;5.908;23.501;11.164;5.226;29.601;7.750;4.544;32.327;4.406;4.414;32.903;2.331;4.535;33.178;13.362;7.112;23.540;11.048;7.549;30.315;7.751;7.039;33.572;4.798;7.030;34.285;2.619;7.189;34.248;13.441;8.022;23.421;10.784;10.089;29.968;7.980;10.321;32.565;5.537;10.013;33.427;3.352;9.854;33.837;12.861;9.013;23.708;12.317;12.338;25.549;11.234;13.851;28.177;11.041;16.549;28.682;0.000;0.000;0.000;-7.627;-12.232;-0.906;-9.690;-33.067;-0.110;-12.112;-57.525;0.823;-10.867;-101.669;-7.063;7.577;-12.376;-1.356;9.290;-33.216;-0.234;11.302;-57.681;1.084;10.407;-101.963;-8.164
3068.000;122.720;0.046;7.180;-0.219;0.070;13.939;-0.458;0.091;25.896;-0.923;-0.145;41.777;-1.655;-0.240;46.072;1.391;-0.026;52.577;2.498;-7.005;56.356;3.720;6.690;56.974;2.306;-2.755;58.610;10.774;3.785;58.905;10.098;-1.608;36.557;-3.033;-15.709;34.670;-1.865;-21.277;21.786;-3.126;-27.432;7.545;-4.519;-21.873;6.787;7.132;-15.498;5.854;20.912;-15.562;4.094;21.501;-11.566;1.886;27.265;-9.780;2.267;28.974;-7.540;2.416;30.334;-6.131;2.925;31.077;-15.742;4.895;21.704;-13.091;3.683;28.536;-9.683;4.064;30.935;-6.879;4.748;31.677;-4.904;5.188;31.975;-15.444;6.159;21.548;-13.343;6.252;29.142;-10.105;6.427;31.618;-6.782;6.946;32.006;-4.641;7.268;32.074;-15.825;7.169;21.504;-13.662;8.688;28.883;-10.535;9.126;31.101;-7.809;9.316;31.866;-5.772;9.122;32.145;-14.736;7.972;22.916;-14.552;11.000;24.951;-13.188;12.438;27.028;-14.109;14.539;28.623;1.616;36.612;-2.883;15.725;34.001;-0.583;21.307;20.441;-1.577;27.477;5.454;-2.676;21.413;6.140;8.583;14.282;6.617;22.485;13.849;4.932;23.354;10.432;2.901;28.810;8.308;1.808;30.678;5.987;1.558;31.387;4.303;1.496;31.653;13.906;5.825;23.538;11.171;5.111;29.635;7.757;4.424;32.361;4.402;4.294;32.920;2.327;4.425;33.192;13.363;7.029;23.577;11.056;7.452;30.360;7.735;6.922;33.589;4.782;6.909;34.297;2.602;7.062;34.245;13.443;7.939;23.461;10.780;9.982;30.011;7.965;10.215;32.603;5.541;9.899;33.472;3.357;9.719;33.873;12.868;8.923;23.766;12.308;12.241;25.598;11.224;13.751;28.239;11.029;16.452;28.727;0.000;0.000;0.000;-7.630;-12.230;-0.912;-9.691;-33.066;-0.123;-12.110;-57.526;0.803;-10.861;-101.669;-7.089;7.575;-12.377;-1.359;9.289;-33.217;-0.246;11.301;-57.681;1.060;10.410;-101.962;-8.187
3069.000;122.760;0.046;7.180;-0.216;0.071;13.940;-0.452;0.093;25.897;-0.912;-0.151;41.779;-1.641;-0.250;46.073;1.406;-0.038;52.577;2.518;-7.017;56.355;3.741;6.679;56.973;2.331;-2.769;58.603;10.798;3.771;58.898;10.125;-1.610;36.558;-3.021;-15.709;34.660;-1.858;-21.281;21.777;-3.121;-27.439;7.538;-4.517;-21.868;6.808;7.128;-15.485;5.908;20.898;-15.538;4.092;21.472;-11.542;2.011;27.265;-9.730;2.464;28.951;-7.331;2.836;29.925;-5.854;3.517;30.310;-15.692;4.904;21.657;-13.116;3.744;28.542;-9.786;4.046;31.044;-6.902;4.944;31.193;-4.952;5.473;30.880;-15.418;6.246;21.522;-13.377;6.355;29.173;-10.206;6.505;31.744;-6.872;6.981;31.577;-4.865;7.349;30.851;-15.818;7.260;21.478;-13.673;8.764;28.864;-10.607;9.151;31.126;-7.806;9.285;31.471;-5.764;9.099;31.226;-14.717;8.032;22.885;-14.517;11.075;24.895;-13.115;12.504;26.965;-13.977;14.625;28.567;1.614;36.615;-2.869;15.722;34.016;-0.562;21.312;20.458;-1.556;27.490;5.473;-2.656;21.421;6.086;8.609;14.284;6.472;22.519;13.854;4.777;23.375;10.446;2.719;28.833;8.329;1.589;30.684;6.008;1.320;31.387;4.324;1.242;31.648;13.905;5.671;23.561;11.177;4.912;29.659;7.747;4.208;32.365;4.392;4.065;32.903;2.312;4.188;33.144;13.361;6.854;23.620;11.057;7.242;30.398;7.723;6.693;33.613;4.767;6.673;34.309;2.587;6.814;34.247;13.433;7.765;23.503;10.764;9.789;30.059;7.929;9.995;32.632;5.509;9.667;33.492;3.326;9.463;33.893;12.862;8.765;23.808;12.285;12.067;25.657;11.195;13.565;28.301;10.983;16.264;28.792;0.000;0.000;0.000;-7.630;-12.229;-0.918;-9.689;-33.066;-0.135;-12.106;-57.528;0.784;-10.855;-101.673;-7.116;7.574;-12.377;-1.367;9.289;-33.217;-0.264;11.303;-57.682;1.029;10.413;-101.960;-8.215
3070.000;122.800;0.046;7.181;-0.213;0.069;13.941;-0.446;0.086;25.899;-0.900;-0.177;41.781;-1.623;-0.277;46.072;1.428;-0.057;52.572;2.550;-7.028;56.357;3.797;6.665;56.960;2.344;-2.754;58.597;10.842;3.784;58.884;10.148;-1.630;36.559;-3.006;-15.724;34.648;-1.844;-21.303;21.777;-3.096;-27.468;7.551;-4.479;-21.800;6.909;7.123;-15.282;6.121;20.837;-15.301;4.259;21.404;-11.576;2.399;27.420;-9.766;2.895;29.084;-7.345;3.844;28.952;-6.144;4.850;28.368;-15.434;5.081;21.551;-13.261;4.089;28.622;-10.140;4.439;31.271;-7.498;5.623;30.308;-6.272;6.195;28.774;-15.202;6.544;21.436;-13.526;6.721;29.188;-10.476;6.945;31.814;-7.459;7.476;30.557;-6.578;7.771;28.601;-15.656;7.525;21.377;-13.860;9.078;28.821;-10.954;9.412;31.097;-8.265;9.565;30.374;-6.755;9.374;28.980;-14.599;8.243;22.766;-14.505;11.309;24.748;-13.070;12.707;26.903;-13.749;14.734;28.702;1.594;36.619;-2.853;15.707;34.045;-0.544;21.314;20.495;-1.536;27.512;5.517;-2.633;21.450;5.992;8.658;14.314;6.195;22.584;13.906;4.471;23.421;10.520;2.368;28.878;8.405;1.197;30.708;6.090;0.895;31.407;4.404;0.804;31.650;13.939;5.366;23.605;11.216;4.554;29.713;7.745;3.811;32.362;4.401;3.655;32.858;2.313;3.732;33.046;13.388;6.553;23.691;11.053;6.879;30.448;7.722;6.301;33.652;4.750;6.247;34.305;2.568;6.356;34.235;13.447;7.464;23.578;10.744;9.429;30.137;7.899;9.579;32.691;5.470;9.225;33.537;3.290;9.002;33.940;12.860;8.457;23.882;12.243;11.740;25.756;11.130;13.211;28.409;10.873;15.906;28.905;0.000;0.000;0.000;-7.631;-12.228;-0.921;-9.688;-33.066;-0.146;-12.103;-57.528;0.765;-10.852;-101.677;-7.140;7.573;-12.377;-1.373;9.291;-33.216;-0.281;11.308;-57.680;1.000;10.420;-101.960;-8.235
3071.000;122.840;0.046;7.187;-0.212;0.068;13.952;-0.444;0.079;25.920;-0.896;-0.218;41.802;-1.593;-0.328;46.080;1.477;-0.115;52.558;2.652;-7.070;56.369;3.909;6.617;56.927;2.393;-2.760;58.636;10.922;3.776;58.902;10.198;-1.658;36.579;-2.985;-15.739;34.672;-1.857;-21.352;21.811;-2.889;-27.556;7.597;-4.029;-21.555;7.359;7.408;-14.591;7.065;20.925;-14.512;5.214;21.542;-11.719;3.664;27.980;-9.960;4.313;29.570;-8.412;5.554;28.094;-8.675;6.230;26.588;-14.646;6.043;21.635;-13.464;5.427;28.964;-10.408;6.116;31.316;-8.658;7.163;29.141;-8.980;7.280;27.125;-14.512;7.527;21.511;-13.768;8.134;29.264;-10.701;8.538;31.586;-8.750;8.809;29.090;-9.695;8.751;27.142;-14.983;8.472;21.351;-14.119;10.373;28.762;-11.361;10.718;30.904;-9.376;10.786;29.115;-9.418;10.499;27.071;-14.092;9.252;22.685;-14.323;12.376;24.538;-13.025;13.760;26.967;-13.160;15.224;29.343;1.565;36.646;-2.829;15.685;34.118;-0.503;21.313;20.584;-1.496;27.533;5.626;-2.594;21.526;5.802;8.774;14.396;5.578;22.730;14.052;3.809;23.539;10.734;1.559;28.975;8.635;0.337;30.794;6.327;-0.013;31.489;4.642;-0.143;31.723;14.053;4.704;23.724;11.373;3.795;29.852;7.822;2.971;32.394;4.493;2.767;32.809;2.397;2.819;32.871;13.455;5.912;23.848;11.145;6.095;30.603;7.782;5.421;33.760;4.788;5.272;34.340;2.604;5.315;34.265;13.495;6.826;23.747;10.760;8.611;30.316;7.900;8.654;32.856;5.480;8.232;33.688;3.307;7.926;34.074;12.881;7.753;24.058;12.112;10.979;25.991;10.991;12.387;28.685;10.602;15.065;29.187;0.000;0.000;0.000;-7.632;-12.227;-0.923;-9.687;-33.067;-0.148;-12.099;-57.530;0.762;-10.853;-101.679;-7.145;7.571;-12.377;-1.374;9.290;-33.216;-0.291;11.308;-57.679;0.980;10.419;-101.961;-8.250
3072.000;122.880;0.047;7.201;-0.216;0.070;13.980;-0.444;0.083;25.972;-0.879;-0.276;41.856;-1.514;-0.425;46.115;1.624;-0.266;52.554;2.968;-7.185;56.453;4.149;6.506;56.854;2.620;-2.852;58.819;11.115;3.686;59.011;10.385;-1.687;36.633;-2.934;-15.738;34.704;-1.910;-21.401;21.807;-2.276;-27.659;7.553;-2.680;-21.162;8.504;8.379;-13.553;9.638;21.465;-13.366;7.959;22.369;-11.595;7.097;28.808;-9.676;8.196;29.774;-9.264;8.853;27.537;-10.663;8.625;26.650;-13.511;8.793;22.374;-13.308;8.948;29.556;-9.919;10.108;30.827;-9.316;10.512;28.165;-10.369;10.385;26.417;-13.519;10.112;22.052;-13.576;11.683;29.285;-10.238;12.445;30.984;-9.424;12.077;27.925;-11.085;11.750;26.574;-13.968;11.017;21.698;-13.922;13.902;28.583;-11.110;14.415;30.336;-9.935;14.079;27.989;-11.140;13.525;26.406;-13.253;12.019;22.859;-13.879;15.254;24.279;-12.925;16.942;26.810;-12.613;17.555;29.518;1.535;36.712;-2.762;15.651;34.273;-0.334;21.302;20.766;-1.328;27.547;5.836;-2.427;21.586;5.336;9.012;14.539;4.292;23.037;14.311;2.460;23.781;11.129;-0.079;29.161;9.072;-1.406;30.958;6.768;-1.823;31.645;5.090;-2.033;31.871;14.267;3.349;23.987;11.691;2.183;30.123;8.084;1.166;32.529;4.760;0.852;32.824;2.663;0.858;32.766;13.569;4.543;24.185;11.390;4.428;30.937;7.958;3.554;33.982;4.949;3.262;34.457;2.767;3.210;34.346;13.565;5.461;24.110;10.868;6.890;30.714;7.982;6.745;33.234;5.580;6.172;34.036;3.430;5.708;34.396;12.900;6.290;24.425;11.907;9.340;26.563;10.803;10.589;29.353;10.245;13.219;29.943;0.000;0.000;0.000;-7.631;-12.227;-0.931;-9.690;-33.064;-0.134;-12.106;-57.526;0.800;-10.855;-101.679;-7.092;7.574;-12.379;-1.343;9.286;-33.215;-0.252;11.297;-57.675;1.030;10.421;-101.959;-8.202
