Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3389.000;135.560;-0.017;7.176;-0.175;-0.088;13.931;-0.383;-0.282;25.880;-0.807;-0.936;41.747;-1.608;-1.042;46.006;1.500;-0.884;52.389;2.855;-7.740;56.396;4.046;5.962;56.576;2.569;-3.393;58.627;11.048;3.150;58.713;10.343;-2.299;36.484;-2.927;-16.334;34.049;-1.315;-21.178;20.795;-2.050;-26.531;6.146;-2.862;-23.641;5.732;9.660;-20.455;5.154;24.387;-20.732;3.428;25.105;-17.963;1.606;31.868;-17.024;1.688;34.226;-16.193;1.233;36.552;-15.538;1.389;38.083;-20.871;4.258;25.195;-19.363;3.746;32.532;-17.716;4.077;36.294;-16.008;4.560;38.704;-14.722;4.778;40.279;-20.446;5.572;24.968;-19.522;6.275;33.010;-17.800;6.637;36.669;-15.771;6.966;39.362;-14.613;7.137;41.184;-20.749;6.612;24.773;-19.554;8.729;32.438;-17.612;9.338;35.695;-15.852;9.739;37.897;-14.456;9.740;39.419;-19.801;7.480;26.404;-19.778;10.694;28.129;-18.763;12.312;30.140;-19.894;14.698;31.054;0.925;36.621;-2.853;15.175;34.437;-0.937;20.226;20.790;-1.865;25.809;5.707;-2.890;22.700;6.653;9.430;19.306;7.488;24.498;19.351;5.903;25.685;18.464;4.440;32.227;18.056;3.177;34.891;17.067;2.380;36.949;16.226;1.863;38.340;19.409;6.814;25.732;19.200;6.917;32.396;18.217;6.705;36.668;16.454;6.576;39.507;15.228;6.647;41.206;18.761;7.953;25.829;19.321;9.267;32.866;18.648;9.506;37.463;17.158;9.625;40.090;15.848;9.820;41.830;18.715;8.834;25.567;18.743;11.853;32.350;17.624;12.917;35.921;16.549;13.254;38.284;15.543;13.592;40.243;18.271;9.850;25.980;18.287;13.401;27.375;18.340;15.300;29.980;18.097;18.030;30.223;0.000;0.000;0.000;-7.597;-12.266;-0.663;-9.649;-33.131;-0.086;-12.058;-57.625;0.590;-11.087;-101.775;-7.534;7.573;-12.325;-1.779;9.770;-33.212;-0.874;12.349;-57.733;0.190;12.069;-102.036;-9.055
3390.000;135.600;-0.014;7.175;-0.169;-0.082;13.929;-0.372;-0.269;25.876;-0.789;-0.918;41.744;-1.562;-1.019;46.000;1.553;-0.853;52.385;2.915;-7.704;56.392;4.138;5.994;56.569;2.619;-3.334;58.602;11.132;3.207;58.687;10.407;-2.283;36.484;-2.889;-16.323;34.039;-1.275;-21.083;20.764;-2.059;-26.345;6.091;-2.927;-23.457;5.659;9.596;-20.271;5.058;24.321;-20.526;3.315;25.029;-17.735;1.515;31.786;-16.813;1.594;34.139;-15.943;1.143;36.464;-15.278;1.300;37.990;-20.673;4.144;25.120;-19.176;3.626;32.458;-17.524;3.979;36.226;-15.818;4.469;38.632;-14.528;4.694;40.203;-20.269;5.454;24.906;-19.358;6.156;32.941;-17.633;6.543;36.598;-15.598;6.906;39.280;-14.439;7.086;41.100;-20.574;6.486;24.714;-19.429;8.604;32.388;-17.503;9.213;35.656;-15.726;9.644;37.846;-14.348;9.630;39.384;-19.693;7.388;26.350;-19.661;10.591;28.081;-18.672;12.212;30.092;-19.814;14.584;31.029;0.941;36.620;-2.817;15.191;34.426;-0.917;20.230;20.778;-1.896;25.798;5.694;-2.978;22.697;6.625;9.343;19.313;7.443;24.412;19.353;5.844;25.595;18.454;4.376;32.133;18.037;3.116;34.798;17.039;2.313;36.854;16.202;1.789;38.245;19.409;6.756;25.641;19.191;6.859;32.312;18.159;6.631;36.574;16.346;6.500;39.387;15.091;6.571;41.067;18.763;7.906;25.742;19.301;9.216;32.783;18.524;9.434;37.366;16.981;9.541;39.964;15.641;9.728;41.681;18.717;8.787;25.480;18.720;11.801;32.269;17.619;12.873;35.838;16.554;13.212;38.205;15.549;13.552;40.165;18.335;9.805;25.901;18.295;13.356;27.286;18.309;15.255;29.906;18.103;17.990;30.131;0.000;0.000;0.000;-7.602;-12.262;-0.680;-9.657;-33.130;-0.115;-12.070;-57.626;0.547;-11.103;-101.774;-7.586;7.569;-12.326;-1.784;9.759;-33.214;-0.896;12.330;-57.735;0.147;12.055;-102.037;-9.102
3391.000;135.640;-0.012;7.174;-0.165;-0.077;13.927;-0.366;-0.259;25.872;-0.779;-0.908;41.742;-1.531;-1.008;45.995;1.591;-0.837;52.381;2.962;-7.684;56.385;4.218;6.008;56.566;2.650;-3.289;58.582;11.200;3.250;58.668;10.452;-2.274;36.483;-2.864;-16.317;34.023;-1.246;-21.015;20.729;-2.056;-26.208;6.035;-2.951;-23.297;5.598;9.566;-20.086;4.991;24.285;-20.332;3.254;24.995;-17.492;1.450;31.735;-16.560;1.555;34.082;-15.679;1.097;36.398;-14.996;1.263;37.915;-20.488;4.080;25.090;-18.962;3.542;32.417;-17.286;3.931;36.179;-15.568;4.425;38.573;-14.268;4.652;40.135;-20.087;5.389;24.870;-19.155;6.077;32.902;-17.408;6.493;36.549;-15.370;6.867;39.216;-14.195;7.065;41.024;-20.402;6.416;24.680;-19.244;8.532;32.354;-17.306;9.141;35.616;-15.530;9.572;37.793;-14.133;9.566;39.314;-19.504;7.328;26.325;-19.511;10.520;28.047;-18.522;12.143;30.056;-19.673;14.506;31.006;0.950;36.619;-2.794;15.200;34.423;-0.903;20.241;20.778;-1.921;25.812;5.696;-3.047;22.702;6.602;9.274;19.308;7.390;24.344;19.349;5.781;25.525;18.432;4.306;32.055;18.006;3.038;34.719;17.006;2.220;36.766;16.171;1.692;38.156;19.399;6.693;25.569;19.157;6.796;32.245;18.074;6.553;36.495;16.206;6.413;39.280;14.941;6.471;40.952;18.758;7.844;25.670;19.250;9.159;32.717;18.437;9.376;37.293;16.868;9.472;39.876;15.515;9.656;41.582;18.709;8.726;25.410;18.684;11.738;32.197;17.563;12.809;35.769;16.501;13.138;38.130;15.464;13.469;40.075;18.336;9.751;25.823;18.250;13.296;27.217;18.241;15.195;29.834;18.023;17.929;30.060;0.000;0.000;0.000;-7.604;-12.260;-0.692;-9.661;-33.128;-0.136;-12.077;-57.626;0.516;-11.123;-101.771;-7.632;7.568;-12.327;-1.788;9.752;-33.214;-0.913;12.316;-57.735;0.115;12.045;-102.039;-9.137
3392.000;135.680;-0.011;7.173;-0.161;-0.075;13.925;-0.361;-0.253;25.868;-0.777;-0.905;41.738;-1.514;-1.004;45.991;1.615;-0.832;52.378;2.995;-7.675;56.377;4.286;6.010;56.566;2.662;-3.253;58.563;11.254;3.283;58.654;10.479;-2.271;36.481;-2.851;-16.316;34.007;-1.229;-20.975;20.699;-2.039;-26.125;5.990;-2.934;-23.173;5.569;9.574;-19.917;4.975;24.284;-20.173;3.257;25.003;-17.258;1.466;31.736;-16.339;1.576;34.059;-15.437;1.142;36.381;-14.734;1.319;37.887;-20.337;4.081;25.102;-18.760;3.539;32.413;-17.040;3.950;36.154;-15.307;4.454;38.537;-13.998;4.670;40.093;-19.934;5.388;24.862;-18.951;6.073;32.891;-17.189;6.516;36.520;-15.124;6.903;39.170;-13.936;7.111;40.969;-20.255;6.411;24.675;-19.051;8.531;32.341;-17.081;9.142;35.586;-15.295;9.570;37.752;-13.887;9.580;39.263;-19.339;7.324;26.319;-19.354;10.516;28.033;-18.350;12.150;30.040;-19.518;14.506;30.986;0.954;36.617;-2.781;15.201;34.420;-0.894;20.251;20.779;-1.939;25.833;5.703;-3.093;22.708;6.591;9.225;19.297;7.356;24.292;19.336;5.749;25.470;18.383;4.254;31.989;17.943;2.967;34.642;16.936;2.133;36.678;16.095;1.594;38.062;19.382;6.661;25.518;19.091;6.741;32.191;17.961;6.473;36.428;16.050;6.325;39.190;14.771;6.365;40.852;18.735;7.814;25.614;19.152;9.113;32.671;18.295;9.312;37.235;16.678;9.380;39.794;15.300;9.552;41.482;18.686;8.697;25.357;18.603;11.686;32.150;17.427;12.740;35.715;16.349;13.053;38.065;15.285;13.373;39.997;18.276;9.714;25.770;18.188;13.257;27.161;18.151;15.157;29.774;17.906;17.888;30.001;0.000;0.000;0.000;-7.604;-12.259;-0.701;-9.665;-33.127;-0.155;-12.083;-57.624;0.487;-11.140;-101.771;-7.677;7.568;-12.326;-1.795;9.747;-33.214;-0.930;12.306;-57.736;0.086;12.025;-102.040;-9.186
3393.000;135.720;-0.011;7.171;-0.159;-0.075;13.922;-0.359;-0.254;25.863;-0.777;-0.908;41.733;-1.507;-1.006;45.986;1.627;-0.836;52.376;3.015;-7.674;56.369;4.350;6.002;56.569;2.652;-3.215;58.546;11.298;3.316;58.642;10.487;-2.273;36.476;-2.847;-16.317;33.998;-1.222;-20.970;20.683;-2.015;-26.112;5.967;-2.893;-23.104;5.583;9.602;-19.785;5.032;24.297;-20.043;3.324;25.031;-17.041;1.573;31.749;-16.135;1.715;34.047;-15.204;1.342;36.377;-14.496;1.544;37.878;-20.217;4.146;25.132;-18.572;3.626;32.425;-16.820;4.092;36.141;-15.085;4.616;38.519;-13.781;4.858;40.075;-19.801;5.465;24.861;-18.776;6.171;32.889;-17.014;6.642;36.503;-14.922;7.059;39.142;-13.728;7.282;40.936;-20.132;6.473;24.679;-18.894;8.607;32.337;-16.902;9.241;35.564;-15.106;9.670;37.727;-13.696;9.706;39.235;-19.209;7.386;26.322;-19.211;10.588;28.021;-18.210;12.227;30.023;-19.373;14.590;30.957;0.952;36.612;-2.777;15.200;34.415;-0.889;20.259;20.779;-1.942;25.851;5.708;-3.106;22.707;6.611;9.201;19.272;7.391;24.261;19.303;5.796;25.442;18.298;4.290;31.959;17.839;3.008;34.606;16.828;2.173;36.638;15.979;1.638;38.017;19.351;6.708;25.493;19.011;6.773;32.163;17.851;6.497;36.393;15.919;6.338;39.139;14.633;6.370;40.796;18.700;7.850;25.582;19.055;9.151;32.643;18.134;9.329;37.197;16.478;9.384;39.733;15.083;9.560;41.406;18.652;8.733;25.325;18.524;11.715;32.118;17.305;12.772;35.674;16.202;13.077;38.022;15.129;13.392;39.950;18.220;9.755;25.748;18.144;13.301;27.127;18.097;15.205;29.733;17.839;17.936;29.945;0.000;0.000;0.000;-7.604;-12.259;-0.705;-9.672;-33.126;-0.168;-12.099;-57.622;0.464;-11.171;-101.769;-7.721;7.567;-12.325;-1.801;9.739;-33.215;-0.944;12.288;-57.737;0.062;11.987;-102.037;-9.225
3394.000;135.760;-0.012;7.169;-0.159;-0.077;13.918;-0.360;-0.257;25.856;-0.783;-0.916;41.726;-1.512;-1.015;45.982;1.627;-0.846;52.374;3.024;-7.679;56.357;4.409;5.985;56.575;2.618;-3.175;58.532;11.329;3.350;58.636;10.474;-2.280;36.469;-2.852;-16.321;33.986;-1.211;-20.980;20.669;-1.987;-26.129;5.951;-2.844;-23.075;5.649;9.639;-19.700;5.193;24.323;-19.928;3.500;25.081;-16.810;1.857;31.743;-15.850;2.110;34.021;-14.897;1.869;36.365;-14.195;2.150;37.857;-20.140;4.313;25.191;-18.390;3.806;32.445;-16.569;4.412;36.100;-14.855;5.007;38.477;-13.579;5.316;40.046;-19.724;5.623;24.885;-18.680;6.374;32.895;-16.856;6.898;36.481;-14.758;7.405;39.097;-13.558;7.663;40.881;-20.076;6.612;24.703;-18.847;8.790;32.342;-16.800;9.470;35.535;-15.017;9.935;37.688;-13.592;10.012;39.181;-19.153;7.557;26.340;-19.232;10.771;28.018;-18.252;12.416;30.022;-19.426;14.774;30.956;0.944;36.606;-2.783;15.196;34.412;-0.896;20.278;20.787;-1.939;25.894;5.726;-3.092;22.712;6.690;9.199;19.224;7.540;24.245;19.217;5.951;25.426;18.124;4.461;31.953;17.625;3.292;34.626;16.661;2.520;36.699;15.837;2.032;38.110;19.282;6.862;25.480;18.893;6.918;32.143;17.685;6.713;36.364;15.732;6.606;39.095;14.430;6.670;40.739;18.659;7.991;25.565;18.965;9.282;32.630;17.927;9.448;37.167;16.212;9.508;39.663;14.780;9.696;41.304;18.619;8.875;25.309;18.466;11.861;32.097;17.176;12.874;35.650;16.024;13.168;37.979;14.915;13.460;39.890;18.178;9.914;25.722;18.162;13.467;27.115;18.100;15.369;29.719;17.890;18.105;29.923;0.000;0.000;0.000;-7.603;-12.260;-0.706;-9.678;-33.125;-0.174;-12.114;-57.620;0.451;-11.206;-101.765;-7.753;7.568;-12.324;-1.804;9.730;-33.213;-0.957;12.269;-57.736;0.037;11.946;-102.032;-9.265
3395.000;135.800;-0.015;7.167;-0.159;-0.082;13.914;-0.363;-0.270;25.848;-0.793;-0.931;41.718;-1.519;-1.026;45.975;1.625;-0.855;52.369;3.029;-7.681;56.347;4.464;5.972;56.574;2.587;-3.134;58.513;11.358;3.386;58.622;10.462;-2.295;36.461;-2.858;-16.333;33.991;-1.172;-21.004;20.678;-1.929;-26.167;5.964;-2.765;-23.056;5.822;9.699;-19.608;5.539;24.372;-19.685;3.848;25.153;-16.245;2.556;31.659;-15.190;3.067;33.869;-14.122;3.078;36.205;-13.420;3.521;37.658;-20.003;4.621;25.285;-17.961;4.224;32.453;-15.897;5.108;35.926;-14.226;5.892;38.271;-12.977;6.315;39.834;-19.671;5.938;24.938;-18.535;6.753;32.900;-16.499;7.461;36.367;-14.398;8.171;38.914;-13.169;8.539;40.658;-20.121;6.894;24.770;-18.927;9.151;32.364;-16.762;9.943;35.484;-15.008;10.525;37.624;-13.588;10.697;39.113;-19.245;7.931;26.365;-19.646;11.115;28.075;-18.786;12.844;30.077;-20.176;15.072;31.031;0.929;36.598;-2.793;15.183;34.410;-0.917;20.371;20.812;-1.819;26.105;5.781;-2.815;22.800;6.927;9.423;19.137;7.985;24.433;18.967;6.419;25.600;17.561;4.966;32.080;16.840;4.047;34.790;15.864;3.455;36.907;15.047;3.091;38.360;19.108;7.318;25.671;18.524;7.302;32.310;17.013;7.241;36.434;15.051;7.280;39.150;13.746;7.440;40.784;18.583;8.475;25.733;18.760;9.644;32.825;17.459;9.817;37.296;15.647;9.989;39.720;14.162;10.257;41.302;18.622;9.363;25.490;18.432;12.247;32.316;16.980;13.108;35.856;15.730;13.366;38.137;14.538;13.618;40.003;18.223;10.421;25.892;18.451;13.959;27.337;18.408;15.847;29.980;18.440;18.591;30.189;0.000;0.000;0.000;-7.600;-12.262;-0.702;-9.681;-33.125;-0.171;-12.123;-57.617;0.453;-11.239;-101.761;-7.774;7.571;-12.322;-1.809;9.726;-33.210;-0.964;12.255;-57.731;0.028;11.912;-102.028;-9.281
3396.000;135.840;-0.020;7.164;-0.162;-0.098;13.907;-0.368;-0.311;25.835;-0.801;-0.981;41.705;-1.533;-1.065;45.966;1.614;-0.877;52.362;3.024;-7.689;56.347;4.506;5.954;56.557;2.561;-3.104;58.484;11.384;3.411;58.585;10.455;-2.348;36.446;-2.865;-16.377;34.014;-1.098;-21.061;20.704;-1.804;-26.238;5.993;-2.584;-23.011;6.155;9.832;-19.381;6.159;24.454;-19.107;4.479;25.257;-15.001;4.036;31.464;-13.998;4.962;33.545;-12.750;5.393;35.796;-12.072;6.106;37.149;-19.571;5.167;25.422;-16.916;5.269;32.401;-14.540;6.744;35.461;-12.921;7.878;37.666;-11.664;8.546;39.134;-19.490;6.548;25.017;-17.976;7.607;32.886;-15.762;8.770;36.114;-13.686;9.845;38.541;-12.458;10.465;40.214;-20.143;7.400;24.893;-18.843;9.852;32.400;-16.623;10.971;35.389;-14.938;11.793;37.505;-13.554;12.142;38.997;-19.369;8.556;26.386;-20.307;11.611;28.159;-19.707;13.506;30.143;-21.493;15.388;31.180;0.877;36.585;-2.810;15.135;34.414;-0.952;20.585;20.859;-1.447;26.607;5.878;-1.995;23.066;7.417;10.128;19.025;8.904;25.022;18.591;7.436;26.168;16.395;6.116;32.435;15.253;5.559;35.096;14.109;5.222;37.177;13.203;5.036;38.611;18.855;8.303;26.283;17.598;8.230;32.824;15.534;8.328;36.689;13.540;8.480;39.372;12.285;8.720;41.035;18.431;9.539;26.245;18.020;10.526;33.390;16.268;10.761;37.692;14.366;11.097;40.028;12.870;11.489;41.573;18.622;10.416;26.040;18.070;13.078;32.939;16.314;13.824;36.385;14.927;14.048;38.603;13.660;14.304;40.418;18.293;11.434;26.444;18.807;14.914;27.971;18.770;16.780;30.648;19.171;19.494;30.865;0.000;0.000;0.000;-7.598;-12.265;-0.680;-9.681;-33.127;-0.146;-12.127;-57.618;0.480;-11.268;-101.763;-7.774;7.570;-12.320;-1.823;9.723;-33.208;-0.974;12.250;-57.730;0.022;11.883;-102.029;-9.281
3397.000;135.880;-0.026;7.160;-0.166;-0.117;13.899;-0.373;-0.361;25.821;-0.806;-1.046;41.688;-1.561;-1.111;45.959;1.589;-0.895;52.359;3.005;-7.685;56.360;4.546;5.948;56.532;2.528;-3.055;58.443;11.411;3.455;58.525;10.447;-2.415;36.427;-2.878;-16.428;34.043;-1.003;-21.140;20.728;-1.546;-26.348;6.012;-2.146;-22.862;6.720;10.147;-18.792;7.250;24.609;-18.051;5.683;25.438;-13.226;6.642;31.042;-12.283;7.985;32.914;-10.945;8.931;34.954;-10.339;9.926;36.153;-18.639;6.255;25.644;-15.197;7.429;32.193;-12.855;9.691;34.725;-11.358;11.236;36.752;-10.200;12.253;38.097;-18.955;7.667;25.150;-16.756;9.420;32.751;-14.485;11.279;35.564;-12.491;12.875;37.762;-11.299;13.808;39.310;-19.805;8.326;25.109;-18.151;11.320;32.347;-15.891;12.983;35.046;-14.270;14.149;37.027;-12.892;14.768;38.435;-19.178;9.638;26.501;-20.604;12.476;28.287;-20.325;14.559;30.164;-22.447;15.958;31.324;0.810;36.568;-2.838;15.071;34.431;-0.984;20.913;20.959;-0.729;27.369;6.069;-0.448;23.436;8.245;11.457;18.776;10.436;26.098;18.052;9.063;27.172;14.760;8.116;32.991;13.204;7.939;35.483;11.840;7.867;37.438;10.785;7.864;38.778;18.398;9.892;27.338;16.038;10.025;33.587;13.374;10.300;37.013;11.303;10.463;39.637;10.086;10.684;41.331;18.121;11.250;27.191;16.569;12.251;34.245;14.256;12.593;38.231;12.238;13.023;40.447;10.770;13.473;42.003;18.457;12.098;27.045;16.992;14.702;33.887;14.820;15.383;37.111;13.278;15.545;39.251;11.990;15.737;41.060;18.132;13.069;27.429;18.783;16.481;29.070;18.714;18.375;31.696;19.540;20.991;31.909;0.000;0.000;0.000;-7.596;-12.268;-0.634;-9.673;-33.132;-0.090;-12.112;-57.624;0.549;-11.286;-101.768;-7.726;7.567;-12.318;-1.850;9.728;-33.208;-0.988;12.264;-57.730;0.024;11.865;-102.036;-9.232
