Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3728.000;149.120;0.027;7.163;-0.235;0.024;13.906;-0.486;-0.018;25.836;-0.964;-0.402;41.699;-1.983;-0.416;46.023;0.992;-0.064;52.497;2.036;-6.871;56.472;3.570;6.773;56.689;1.633;-2.286;58.506;10.479;4.230;58.609;9.554;-1.849;36.442;-3.234;-15.945;34.441;-1.632;-20.442;21.230;-2.714;-25.413;6.629;-3.910;-23.923;4.103;8.780;-22.386;1.063;23.695;-22.900;-0.696;24.018;-20.806;-4.110;30.385;-20.071;-4.641;32.723;-19.458;-5.702;34.963;-18.950;-5.995;36.530;-23.008;0.105;24.269;-22.021;-2.056;31.416;-20.581;-2.500;35.239;-19.061;-2.695;37.803;-18.010;-2.952;39.538;-22.473;1.389;24.341;-22.021;0.335;32.397;-20.504;-0.247;36.110;-18.979;-0.735;38.996;-17.946;-1.074;40.869;-22.691;2.471;24.359;-21.870;2.802;32.383;-20.316;2.368;35.886;-19.064;2.068;38.354;-17.961;1.543;40.018;-21.674;2.844;26.203;-21.304;5.558;28.618;-20.136;6.491;30.999;-20.878;8.641;32.621;1.376;36.525;-3.153;15.591;34.091;-1.303;20.202;20.374;-2.564;25.297;5.212;-3.958;23.674;3.329;8.621;22.113;0.728;23.885;22.429;-1.060;24.740;22.634;-3.577;31.072;22.400;-5.086;33.688;21.052;-5.846;35.579;19.832;-6.246;36.702;22.428;-0.167;24.938;23.223;-1.201;31.499;23.002;-2.286;35.760;21.270;-2.954;38.554;19.975;-3.278;40.171;21.711;0.976;25.303;23.257;1.069;32.386;23.667;0.302;36.985;22.237;-0.246;39.669;20.843;-0.470;41.337;21.598;1.886;25.217;22.501;3.575;32.415;22.239;3.884;36.244;21.232;3.512;38.627;20.085;3.180;40.508;21.107;2.661;25.903;20.812;5.895;27.983;20.639;6.941;31.145;19.790;9.297;32.286;0.000;0.000;0.000;-7.643;-12.239;-0.640;-9.775;-33.118;0.232;-12.277;-57.629;1.256;-11.350;-101.813;-6.562;7.539;-12.374;-1.570;9.655;-33.241;-0.432;12.138;-57.738;0.905;11.804;-102.080;-8.076
3729.000;149.160;0.030;7.163;-0.238;0.031;13.905;-0.489;-0.002;25.834;-0.966;-0.373;41.698;-1.976;-0.385;46.022;1.006;-0.030;52.496;2.059;-6.836;56.471;3.594;6.809;56.685;1.662;-2.253;58.499;10.506;4.263;58.601;9.584;-1.825;36.443;-3.230;-15.922;34.451;-1.628;-20.428;21.245;-2.723;-25.409;6.650;-3.934;-23.938;4.131;8.761;-22.425;1.098;23.679;-22.935;-0.664;24.002;-20.839;-4.055;30.379;-20.124;-4.518;32.732;-19.492;-5.556;34.989;-18.999;-5.808;36.567;-23.041;0.138;24.252;-22.054;-2.015;31.404;-20.620;-2.438;35.223;-19.115;-2.624;37.795;-18.071;-2.876;39.535;-22.519;1.423;24.322;-22.068;0.376;32.385;-20.547;-0.211;36.091;-19.007;-0.687;38.980;-17.991;-1.028;40.862;-22.736;2.511;24.339;-21.922;2.833;32.364;-20.380;2.409;35.880;-19.142;2.116;38.349;-18.023;1.600;40.006;-21.720;2.880;26.189;-21.352;5.597;28.602;-20.186;6.531;30.981;-20.920;8.677;32.613;1.401;36.524;-3.148;15.614;34.075;-1.299;20.220;20.354;-2.556;25.310;5.189;-3.944;23.700;3.314;8.637;22.155;0.722;23.905;22.474;-1.060;24.760;22.680;-3.582;31.093;22.447;-5.093;33.707;21.097;-5.847;35.599;19.872;-6.240;36.720;22.476;-0.167;24.957;23.272;-1.198;31.521;23.029;-2.290;35.780;21.275;-2.954;38.554;19.957;-3.277;40.153;21.757;0.975;25.323;23.305;1.074;32.407;23.690;0.299;37.007;22.234;-0.248;39.676;20.819;-0.470;41.327;21.645;1.885;25.236;22.554;3.573;32.430;22.282;3.868;36.261;21.266;3.501;38.635;20.112;3.165;40.512;21.090;2.648;25.919;20.867;5.896;27.995;20.684;6.945;31.159;19.860;9.313;32.292;0.000;0.000;0.000;-7.645;-12.237;-0.636;-9.779;-33.117;0.245;-12.284;-57.627;1.279;-11.358;-101.811;-6.546;7.537;-12.376;-1.563;9.652;-33.242;-0.419;12.135;-57.737;0.924;11.800;-102.078;-8.064
3730.000;149.200;0.031;7.162;-0.239;0.034;13.905;-0.491;0.007;25.833;-0.970;-0.356;41.697;-1.972;-0.365;46.021;1.014;-0.007;52.496;2.076;-6.811;56.473;3.616;6.834;56.683;1.683;-2.226;58.490;10.530;4.290;58.591;9.607;-1.811;36.444;-3.228;-15.908;34.459;-1.624;-20.424;21.259;-2.735;-25.415;6.670;-3.964;-23.962;4.141;8.730;-22.468;1.095;23.648;-22.981;-0.662;23.971;-20.883;-4.054;30.349;-20.176;-4.510;32.698;-19.526;-5.554;34.955;-19.038;-5.794;36.536;-23.092;0.139;24.222;-22.099;-2.013;31.371;-20.681;-2.443;35.193;-19.191;-2.635;37.771;-18.141;-2.879;39.508;-22.555;1.437;24.288;-22.120;0.366;32.353;-20.617;-0.233;36.058;-19.043;-0.692;38.945;-18.034;-1.051;40.827;-22.780;2.520;24.307;-21.975;2.822;32.335;-20.442;2.400;35.856;-19.206;2.108;38.325;-18.093;1.595;39.987;-21.770;2.879;26.155;-21.396;5.598;28.571;-20.232;6.528;30.946;-20.943;8.675;32.588;1.415;36.523;-3.147;15.624;34.063;-1.302;20.238;20.340;-2.553;25.337;5.173;-3.936;23.736;3.288;8.646;22.203;0.684;23.915;22.531;-1.093;24.766;22.722;-3.625;31.099;22.478;-5.143;33.709;21.125;-5.890;35.601;19.899;-6.282;36.721;22.536;-0.201;24.964;23.307;-1.250;31.531;23.026;-2.347;35.786;21.230;-2.993;38.535;19.885;-3.326;40.110;21.804;0.943;25.334;23.334;1.038;32.425;23.645;0.239;37.020;22.131;-0.307;39.654;20.666;-0.526;41.262;21.697;1.853;25.247;22.594;3.524;32.440;22.282;3.807;36.272;21.248;3.428;38.631;20.079;3.087;40.497;21.122;2.606;25.925;20.915;5.856;28.004;20.729;6.903;31.167;19.915;9.274;32.302;0.000;0.000;0.000;-7.646;-12.237;-0.633;-9.781;-33.116;0.252;-12.288;-57.625;1.291;-11.360;-101.808;-6.539;7.536;-12.377;-1.560;9.651;-33.242;-0.413;12.133;-57.736;0.935;11.796;-102.075;-8.058
3731.000;149.240;0.032;7.161;-0.240;0.037;13.903;-0.492;0.011;25.829;-0.971;-0.349;41.694;-1.965;-0.355;46.019;1.026;0.009;52.497;2.093;-6.793;56.476;3.637;6.852;56.681;1.703;-2.206;58.486;10.552;4.310;58.584;9.628;-1.805;36.442;-3.224;-15.901;34.461;-1.613;-20.429;21.267;-2.734;-25.434;6.684;-3.973;-23.987;4.135;8.714;-22.497;1.062;23.622;-23.007;-0.682;23.952;-20.922;-4.094;30.329;-20.229;-4.562;32.678;-19.627;-5.594;34.947;-19.148;-5.834;36.532;-23.123;0.117;24.205;-22.137;-2.056;31.347;-20.775;-2.471;35.186;-19.321;-2.657;37.786;-18.289;-2.888;39.536;-22.564;1.441;24.261;-22.154;0.317;32.336;-20.688;-0.267;36.053;-19.121;-0.731;38.958;-18.170;-1.108;40.867;-22.809;2.514;24.283;-22.039;2.784;32.322;-20.558;2.374;35.873;-19.347;2.079;38.366;-18.305;1.582;40.078;-21.835;2.858;26.141;-21.417;5.582;28.551;-20.225;6.506;30.915;-20.913;8.675;32.537;1.421;36.520;-3.143;15.627;34.054;-1.303;20.261;20.332;-2.546;25.382;5.165;-3.919;23.781;3.243;8.664;22.246;0.596;23.939;22.576;-1.200;24.769;22.744;-3.751;31.094;22.491;-5.280;33.698;21.128;-6.035;35.579;19.898;-6.442;36.689;22.578;-0.307;24.968;23.342;-1.380;31.542;22.981;-2.493;35.788;21.111;-3.132;38.489;19.724;-3.464;40.027;21.843;0.827;25.373;23.335;0.914;32.450;23.472;0.077;37.043;21.840;-0.469;39.598;20.264;-0.682;41.098;21.729;1.737;25.288;22.581;3.396;32.461;22.158;3.645;36.282;21.056;3.228;38.608;19.830;2.870;40.434;21.225;2.510;25.947;20.932;5.741;28.034;20.734;6.779;31.190;19.905;9.141;32.334;0.000;0.000;0.000;-7.649;-12.235;-0.631;-9.785;-33.114;0.257;-12.292;-57.624;1.299;-11.364;-101.804;-6.541;7.533;-12.379;-1.559;9.648;-33.241;-0.410;12.130;-57.731;0.938;11.791;-102.071;-8.055
3732.000;149.280;0.033;7.160;-0.241;0.036;13.901;-0.493;0.006;25.825;-0.969;-0.359;41.692;-1.944;-0.361;46.015;1.051;0.020;52.496;2.120;-6.775;56.484;3.669;6.868;56.669;1.726;-2.181;58.487;10.581;4.334;58.576;9.653;-1.814;36.440;-3.209;-15.906;34.473;-1.582;-20.446;21.293;-2.709;-25.464;6.726;-3.954;-23.995;4.150;8.720;-22.477;1.044;23.610;-22.899;-0.709;23.937;-20.807;-4.114;30.311;-20.231;-4.504;32.707;-19.797;-5.506;35.021;-19.425;-5.709;36.639;-23.049;0.081;24.201;-22.029;-2.131;31.319;-20.894;-2.473;35.228;-19.746;-2.591;37.981;-18.930;-2.810;39.844;-22.563;1.454;24.232;-22.132;0.232;32.351;-20.882;-0.235;36.155;-19.496;-0.633;39.189;-18.748;-0.954;41.196;-22.863;2.506;24.264;-22.163;2.672;32.343;-20.877;2.319;36.005;-19.922;2.059;38.602;-19.055;1.594;40.417;-21.944;2.867;26.192;-21.503;5.600;28.618;-20.214;6.520;30.937;-20.873;8.708;32.545;1.412;36.519;-3.129;15.621;34.056;-1.299;20.298;20.339;-2.537;25.469;5.179;-3.905;23.848;3.163;8.677;22.286;0.405;23.960;22.604;-1.411;24.754;22.738;-4.040;31.035;22.451;-5.603;33.614;21.039;-6.366;35.462;19.788;-6.777;36.546;22.595;-0.522;24.963;23.363;-1.669;31.536;22.678;-2.857;35.731;20.551;-3.510;38.237;19.013;-3.821;39.629;21.893;0.571;25.411;23.293;0.597;32.462;23.045;-0.338;37.035;21.138;-0.904;39.385;19.365;-1.126;40.643;21.765;1.481;25.338;22.505;3.085;32.489;21.824;3.160;36.277;20.545;2.648;38.490;19.165;2.207;40.184;21.277;2.290;25.977;20.906;5.473;28.118;20.667;6.457;31.271;19.772;8.757;32.488;0.000;0.000;0.000;-7.651;-12.234;-0.627;-9.787;-33.113;0.262;-12.295;-57.622;1.306;-11.369;-101.804;-6.534;7.531;-12.380;-1.558;9.646;-33.240;-0.407;12.129;-57.728;0.945;11.787;-102.071;-8.044
3733.000;149.320;0.031;7.162;-0.246;0.031;13.905;-0.497;-0.003;25.834;-0.968;-0.381;41.703;-1.900;-0.381;46.017;1.105;0.012;52.492;2.189;-6.776;56.497;3.725;6.868;56.652;1.783;-2.179;58.511;10.632;4.336;58.586;9.705;-1.831;36.454;-3.179;-15.915;34.532;-1.552;-20.467;21.362;-2.569;-25.499;6.805;-3.693;-23.855;4.313;8.967;-22.103;1.310;23.854;-22.266;-0.467;24.109;-20.069;-3.897;30.382;-19.739;-4.204;32.810;-19.455;-5.195;35.172;-19.297;-5.365;36.828;-22.506;0.287;24.407;-21.448;-2.117;31.436;-20.749;-2.556;35.422;-20.301;-2.814;38.343;-19.983;-3.133;40.338;-22.296;1.700;24.459;-21.866;0.131;32.592;-21.200;-0.431;36.547;-20.562;-0.952;39.797;-20.313;-1.337;41.914;-22.717;2.718;24.534;-22.113;2.490;32.725;-21.381;1.945;36.491;-21.002;1.512;39.220;-20.542;0.931;41.147;-21.800;3.103;26.590;-21.508;5.779;29.174;-20.161;6.619;31.523;-20.775;8.674;33.313;1.395;36.535;-3.099;15.607;34.088;-1.270;20.376;20.390;-2.512;25.646;5.250;-3.884;23.949;3.014;8.689;22.281;-0.011;23.980;22.593;-1.869;24.687;22.656;-4.690;30.855;22.212;-6.274;33.401;20.668;-7.002;35.135;19.322;-7.375;36.115;22.568;-0.985;24.919;23.277;-2.347;31.474;22.101;-3.628;35.530;19.567;-4.319;37.638;17.800;-4.575;38.740;21.906;0.070;25.450;23.169;-0.107;32.445;22.303;-1.205;36.912;20.024;-1.836;38.879;18.054;-2.095;39.791;21.761;0.977;25.403;22.351;2.342;32.546;21.284;2.093;36.236;19.788;1.441;38.232;18.211;0.814;39.677;21.278;1.780;26.044;20.704;4.804;28.384;20.327;5.558;31.615;19.277;7.655;33.055;0.000;0.000;0.000;-7.646;-12.237;-0.624;-9.784;-33.115;0.268;-12.294;-57.623;1.315;-11.368;-101.807;-6.514;7.537;-12.379;-1.539;9.650;-33.241;-0.388;12.131;-57.730;0.962;11.795;-102.073;-8.026
3734.000;149.360;0.028;7.171;-0.253;0.027;13.923;-0.503;-0.013;25.867;-0.960;-0.413;41.739;-1.833;-0.428;46.038;1.205;-0.047;52.497;2.361;-6.834;56.540;3.802;6.823;56.634;1.946;-2.276;58.631;10.712;4.246;58.676;9.825;-1.851;36.492;-3.136;-15.915;34.597;-1.578;-20.595;21.412;-2.152;-25.769;6.840;-2.787;-23.508;4.954;9.882;-20.953;2.751;24.864;-21.062;1.022;24.926;-19.178;-3.050;30.770;-19.001;-3.520;33.146;-18.870;-4.664;35.449;-18.802;-4.936;37.097;-21.326;1.729;25.305;-20.584;-1.552;31.944;-20.099;-2.517;35.851;-20.255;-3.315;38.658;-20.320;-3.967;40.595;-21.212;3.004;25.483;-21.143;0.522;33.386;-21.094;-0.730;37.237;-21.357;-1.814;40.400;-21.710;-2.560;42.402;-21.597;4.056;25.673;-21.314;2.759;33.838;-21.222;1.499;37.479;-21.544;0.479;40.055;-21.678;-0.515;41.860;-20.705;4.239;27.802;-20.267;6.434;30.858;-18.785;6.715;33.380;-18.942;8.150;35.773;1.374;36.578;-3.046;15.575;34.179;-1.176;20.514;20.531;-2.399;25.972;5.447;-3.751;24.056;2.719;8.768;22.098;-0.907;24.013;22.403;-2.834;24.556;22.356;-6.024;30.494;21.683;-7.648;32.968;19.935;-8.326;34.504;18.453;-8.629;35.293;22.361;-1.967;24.846;23.043;-3.747;31.309;21.270;-5.230;35.091;18.355;-5.943;36.629;16.406;-6.176;37.369;21.716;-0.955;25.503;22.843;-1.593;32.389;21.395;-2.998;36.589;18.822;-3.753;38.100;16.732;-4.023;38.679;21.566;-0.046;25.517;22.048;0.774;32.662;20.706;0.115;36.209;18.998;-0.770;37.920;17.267;-1.557;39.083;21.045;0.671;26.139;20.126;3.267;28.943;19.522;3.489;32.263;18.168;5.062;34.070;0.000;0.000;0.000;-7.639;-12.242;-0.637;-9.788;-33.117;0.268;-12.310;-57.623;1.331;-11.375;-101.814;-6.458;7.548;-12.378;-1.489;9.644;-33.243;-0.329;12.105;-57.737;1.031;11.784;-102.079;-7.972
3735.000;149.400;0.030;7.177;-0.256;0.025;13.935;-0.500;-0.026;25.890;-0.932;-0.460;41.763;-1.761;-0.513;46.061;1.359;-0.169;52.495;2.705;-6.960;56.592;3.957;6.724;56.596;2.313;-2.501;58.807;10.893;4.034;58.809;10.108;-1.875;36.517;-3.091;-15.917;34.635;-1.655;-20.868;21.442;-1.289;-26.341;6.861;-0.885;-23.026;6.179;11.661;-19.135;5.542;26.602;-19.383;4.009;26.533;-18.079;-1.162;31.405;-18.019;-2.007;33.630;-18.109;-3.430;35.742;-18.039;-3.940;37.333;-19.617;4.636;27.045;-19.325;0.210;32.759;-18.971;-1.568;36.335;-19.377;-2.935;38.907;-19.713;-3.947;40.652;-19.444;5.631;27.202;-19.567;2.010;34.582;-19.727;-0.055;38.002;-20.296;-1.798;40.773;-20.818;-2.930;42.544;-19.619;6.698;27.567;-19.578;4.108;35.389;-19.760;2.031;38.638;-20.416;0.481;40.840;-20.827;-0.865;42.350;-18.657;6.593;29.605;-17.599;7.896;33.089;-15.800;7.170;35.477;-15.156;7.179;38.196;1.349;36.611;-2.976;15.515;34.286;-0.976;20.694;20.702;-2.127;26.419;5.688;-3.400;24.130;2.078;8.927;21.707;-2.610;23.939;22.074;-4.519;24.295;21.840;-8.374;29.795;20.991;-10.132;32.091;19.078;-10.864;33.388;17.506;-11.139;33.991;22.034;-3.692;24.684;22.582;-6.217;30.877;20.428;-8.082;34.297;17.344;-8.901;35.376;15.298;-9.121;35.785;21.300;-2.861;25.426;22.295;-4.192;32.167;20.560;-6.080;36.052;17.892;-7.014;37.239;15.751;-7.338;37.537;21.122;-1.963;25.534;21.439;-1.898;32.698;20.011;-3.077;36.047;18.212;-4.211;37.496;16.409;-5.136;38.423;20.572;-1.371;26.249;19.199;0.536;29.404;18.453;0.128;32.716;16.775;0.982;34.723;0.000;0.000;0.000;-7.636;-12.241;-0.686;-9.808;-33.112;0.251;-12.359;-57.613;1.350;-11.397;-101.816;-6.356;7.557;-12.381;-1.413;9.623;-33.245;-0.232;12.049;-57.736;1.155;11.764;-102.077;-7.864
3736.000;149.440;0.032;7.183;-0.253;0.020;13.946;-0.477;-0.056;25.913;-0.853;-0.517;41.788;-1.639;-0.628;46.084;1.563;-0.366;52.494;3.095;-7.176;56.634;4.080;6.543;56.571;2.762;-2.878;59.018;11.061;3.674;58.989;10.432;-1.908;36.542;-2.997;-15.924;34.677;-1.641;-21.115;21.557;-0.010;-26.853;7.055;1.793;-22.353;7.882;13.920;-17.025;9.075;28.379;-17.163;7.570;28.330;-15.466;2.499;33.025;-15.308;1.629;35.230;-15.369;0.174;37.278;-15.222;-0.329;38.866;-17.345;8.187;28.875;-16.642;3.775;34.436;-16.102;1.850;37.877;-16.560;0.383;40.393;-16.928;-0.733;42.067;-17.299;9.209;29.008;-16.794;5.513;36.316;-16.775;3.315;39.572;-17.165;1.380;42.267;-17.603;0.133;43.983;-17.441;10.285;29.394;-16.816;7.617;37.133;-16.681;5.379;40.279;-17.128;3.752;42.482;-17.491;2.269;43.872;-16.329;10.154;31.238;-14.809;11.308;34.669;-12.607;10.344;36.804;-11.301;9.535;39.139;1.315;36.643;-2.852;15.438;34.381;-0.674;20.842;20.839;-1.650;26.814;5.871;-2.728;24.159;0.987;9.155;21.293;-5.232;23.615;21.798;-7.177;23.683;21.430;-11.672;28.654;20.433;-13.767;30.611;18.434;-14.688;31.634;16.823;-15.073;32.042;21.668;-6.415;24.169;21.927;-9.721;30.012;19.677;-12.143;32.946;16.611;-13.231;33.707;14.553;-13.601;33.869;20.838;-5.713;25.016;21.528;-7.929;31.564;19.739;-10.413;35.055;17.128;-11.681;35.970;15.002;-12.177;36.080;20.593;-4.853;25.236;20.493;-5.808;32.369;19.061;-7.474;35.473;17.300;-8.964;36.640;15.529;-10.127;37.330;19.917;-4.465;25.989;18.126;-3.389;29.364;17.167;-4.459;32.445;15.307;-4.307;34.467;0.000;0.000;0.000;-7.633;-12.238;-0.766;-9.839;-33.101;0.205;-12.430;-57.593;1.344;-11.434;-101.816;-6.208;7.568;-12.385;-1.321;9.594;-33.243;-0.113;11.972;-57.729;1.305;11.732;-102.076;-7.713
