Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
284.000;11.360;0.028;7.221;-0.187;0.063;14.018;-0.415;0.137;26.041;-0.885;-0.019;41.894;-2.094;-0.075;46.188;0.806;0.162;52.566;1.815;-6.655;56.600;3.137;7.021;56.723;1.429;-2.180;58.785;10.072;4.351;58.844;9.257;-1.520;36.643;-3.304;-15.544;35.085;-2.203;-20.995;22.096;-2.492;-27.019;7.739;-2.811;-21.987;7.222;9.083;-16.275;6.560;23.150;-16.595;4.881;23.877;-12.564;2.403;29.675;-11.052;2.352;31.646;-9.571;1.759;33.644;-8.469;1.848;34.899;-16.659;5.709;24.040;-13.553;4.574;30.784;-10.709;4.789;33.726;-8.503;4.988;35.714;-6.925;5.055;37.013;-16.168;6.918;23.786;-13.361;7.158;31.324;-10.479;7.060;34.150;-7.893;7.093;36.276;-6.307;6.971;37.745;-16.381;7.965;23.696;-13.278;9.587;30.866;-10.286;9.695;33.308;-7.974;9.656;34.918;-6.205;9.382;35.948;-15.077;8.710;25.019;-14.157;11.775;26.862;-12.491;13.191;28.654;-13.122;15.639;29.844;1.705;36.684;-3.178;15.766;34.083;-1.108;21.188;20.464;-1.530;27.181;5.411;-1.997;21.577;6.017;9.551;15.047;6.431;23.785;14.761;4.825;24.821;12.446;3.108;30.882;10.753;2.362;33.249;8.815;2.159;34.678;7.330;2.094;35.515;14.921;5.714;24.964;13.576;5.295;31.448;10.687;5.122;34.802;7.771;5.149;36.481;5.889;5.356;37.383;14.379;6.837;25.072;13.747;7.667;32.039;10.642;7.665;35.529;8.004;7.807;37.020;5.993;8.078;37.831;14.461;7.735;24.887;13.539;10.184;31.667;11.314;10.613;34.733;9.014;10.455;35.999;6.936;10.402;36.803;14.029;8.727;25.207;14.141;12.070;27.034;13.992;13.813;29.731;14.148;16.535;30.102;0.000;0.000;0.000;-7.598;-12.253;-0.860;-9.231;-33.173;-0.116;-11.148;-57.731;0.756;-9.201;-101.904;-7.260;7.597;-12.340;-1.555;9.009;-33.290;-0.455;10.667;-57.884;0.836;8.970;-102.127;-8.100
285.000;11.400;0.028;7.219;-0.192;0.066;14.013;-0.427;0.147;26.032;-0.910;0.001;41.885;-2.127;-0.055;46.183;0.777;0.177;52.563;1.796;-6.643;56.593;3.111;7.035;56.722;1.419;-2.177;58.776;10.053;4.355;58.838;9.245;-1.503;36.634;-3.334;-15.527;35.087;-2.236;-20.980;22.101;-2.536;-27.008;7.749;-2.868;-22.010;7.275;9.040;-16.338;6.667;23.125;-16.653;4.990;23.853;-12.625;2.536;29.659;-11.108;2.505;31.620;-9.602;1.905;33.608;-8.495;2.003;34.857;-16.721;5.818;24.014;-13.612;4.705;30.759;-10.743;4.922;33.678;-8.530;5.117;35.661;-6.954;5.209;36.962;-16.226;7.034;23.754;-13.432;7.278;31.287;-10.519;7.190;34.083;-7.909;7.242;36.178;-6.300;7.109;37.621;-16.441;8.081;23.662;-13.340;9.712;30.828;-10.345;9.796;33.259;-8.034;9.824;34.843;-6.242;9.549;35.832;-15.149;8.826;24.993;-14.226;11.898;26.819;-12.552;13.315;28.597;-13.188;15.762;29.787;1.722;36.674;-3.208;15.782;34.059;-1.148;21.207;20.441;-1.513;27.204;5.388;-1.916;21.600;6.074;9.621;15.067;6.583;23.845;14.775;4.999;24.893;12.486;3.321;30.970;10.750;2.552;33.325;8.804;2.349;34.744;7.320;2.286;35.584;14.933;5.888;25.033;13.583;5.504;31.514;10.718;5.340;34.889;7.794;5.353;36.575;5.922;5.567;37.498;14.398;7.003;25.128;13.768;7.891;32.109;10.665;7.876;35.608;7.994;8.032;37.063;5.998;8.294;37.915;14.481;7.900;24.939;13.550;10.403;31.700;11.322;10.849;34.766;9.003;10.681;36.023;6.925;10.645;36.828;14.030;8.895;25.226;14.161;12.260;27.063;13.973;14.014;29.748;14.124;16.739;30.099;0.000;0.000;0.000;-7.597;-12.254;-0.853;-9.229;-33.172;-0.103;-11.144;-57.729;0.779;-9.190;-101.903;-7.216;7.598;-12.341;-1.547;9.011;-33.291;-0.435;10.670;-57.885;0.871;8.975;-102.127;-8.055
286.000;11.440;0.028;7.216;-0.198;0.068;14.008;-0.441;0.155;26.021;-0.942;0.021;41.874;-2.166;-0.033;46.175;0.744;0.195;52.556;1.776;-6.632;56.578;3.080;7.049;56.724;1.413;-2.181;58.766;10.030;4.352;58.835;9.234;-1.488;36.624;-3.370;-15.512;35.085;-2.253;-21.011;22.121;-2.541;-27.089;7.793;-2.858;-22.110;7.402;9.052;-16.459;6.895;23.144;-16.779;5.233;23.886;-12.756;2.812;29.698;-11.216;2.790;31.639;-9.673;2.206;33.599;-8.547;2.319;34.830;-16.844;6.061;24.043;-13.720;4.966;30.780;-10.807;5.171;33.662;-8.600;5.391;35.632;-7.014;5.465;36.922;-16.340;7.294;23.764;-13.511;7.537;31.281;-10.568;7.438;34.031;-7.934;7.485;36.072;-6.252;7.372;37.432;-16.563;8.341;23.671;-13.431;9.972;30.814;-10.427;10.064;33.234;-8.100;10.043;34.820;-6.320;9.741;35.823;-15.242;9.053;24.979;-14.317;12.133;26.802;-12.641;13.553;28.562;-13.252;16.011;29.741;1.738;36.660;-3.246;15.792;34.032;-1.211;21.287;20.429;-1.399;27.359;5.393;-1.607;21.740;6.245;9.905;15.193;6.966;24.106;14.881;5.360;25.162;12.596;3.774;31.270;10.860;2.986;33.628;8.909;2.768;35.024;7.419;2.684;35.850;15.013;6.257;25.279;13.660;6.009;31.791;10.784;5.824;35.156;7.859;5.817;36.826;5.971;6.022;37.715;14.500;7.424;25.370;13.776;8.374;32.332;10.723;8.378;35.860;8.026;8.533;37.279;6.013;8.775;38.096;14.582;8.319;25.168;13.569;10.911;31.895;11.314;11.396;34.943;8.983;11.200;36.180;6.917;11.147;37.016;14.123;9.291;25.460;14.176;12.698;27.227;13.951;14.489;29.881;14.017;17.223;30.184;0.000;0.000;0.000;-7.596;-12.256;-0.843;-9.225;-33.174;-0.083;-11.138;-57.730;0.809;-9.173;-101.904;-7.169;7.599;-12.341;-1.542;9.014;-33.288;-0.416;10.676;-57.879;0.905;8.979;-102.141;-8.004
287.000;11.480;0.029;7.212;-0.206;0.071;14.000;-0.456;0.166;26.008;-0.972;0.039;41.860;-2.208;-0.011;46.168;0.708;0.218;52.552;1.754;-6.618;56.559;3.055;7.064;56.733;1.407;-2.181;58.743;10.014;4.353;58.827;9.227;-1.474;36.609;-3.407;-15.484;35.084;-2.245;-21.160;22.189;-2.445;-27.433;7.937;-2.667;-22.435;7.686;9.223;-16.767;7.344;23.294;-17.133;5.721;24.083;-13.071;3.296;29.874;-11.474;3.273;31.766;-9.903;2.699;33.700;-8.724;2.822;34.879;-17.182;6.552;24.232;-13.977;5.486;30.935;-11.017;5.673;33.769;-8.772;5.852;35.703;-7.170;5.915;36.973;-16.631;7.765;23.903;-13.728;8.053;31.392;-10.690;7.960;34.066;-8.101;7.932;36.096;-6.335;7.808;37.343;-16.836;8.808;23.798;-13.578;10.481;30.886;-10.542;10.559;33.258;-8.204;10.515;34.827;-6.429;10.176;35.825;-15.477;9.509;25.086;-14.457;12.599;26.856;-12.718;14.019;28.573;-13.318;16.504;29.700;1.751;36.644;-3.287;15.802;34.020;-1.273;21.458;20.461;-1.106;27.710;5.475;-0.921;22.046;6.626;10.539;15.463;7.716;24.685;15.179;6.140;25.781;12.840;4.700;31.921;11.135;3.905;34.292;9.164;3.689;35.673;7.657;3.601;36.468;15.295;7.042;25.870;13.856;6.981;32.387;10.967;6.817;35.735;8.019;6.818;37.376;6.114;6.998;38.236;14.746;8.213;25.924;13.946;9.364;32.855;10.871;9.399;36.381;8.164;9.549;37.780;6.127;9.778;38.537;14.821;9.102;25.694;13.695;11.882;32.333;11.392;12.406;35.365;9.139;12.273;36.640;7.041;12.190;37.387;14.333;10.065;25.948;14.311;13.530;27.604;14.064;15.397;30.228;14.016;18.143;30.411;0.000;0.000;0.000;-7.597;-12.257;-0.821;-9.219;-33.174;-0.045;-11.124;-57.728;0.865;-9.154;-101.904;-7.097;7.597;-12.342;-1.538;9.019;-33.287;-0.393;10.688;-57.874;0.952;8.988;-102.142;-7.929
288.000;11.520;0.031;7.206;-0.212;0.080;13.988;-0.471;0.190;25.985;-1.003;0.069;41.834;-2.278;0.022;46.157;0.644;0.247;52.549;1.707;-6.595;56.540;3.024;7.087;56.743;1.374;-2.160;58.706;9.991;4.373;58.803;9.203;-1.448;36.581;-3.462;-15.438;35.085;-2.264;-21.436;22.316;-2.271;-28.066;8.202;-2.280;-23.024;8.178;9.574;-17.313;8.111;23.605;-17.721;6.532;24.453;-13.650;4.174;30.241;-11.963;4.108;32.064;-10.351;3.515;33.964;-9.116;3.646;35.083;-17.744;7.368;24.581;-14.429;6.376;31.248;-11.405;6.501;34.015;-9.097;6.639;35.880;-7.463;6.672;37.109;-17.166;8.582;24.191;-14.078;8.931;31.628;-10.991;8.776;34.233;-8.275;8.725;36.136;-6.501;8.553;37.366;-17.356;9.649;24.070;-13.872;11.338;31.063;-10.786;11.378;33.370;-8.439;11.299;34.895;-6.651;10.915;35.853;-15.899;10.270;25.316;-14.756;13.382;26.977;-12.931;14.789;28.623;-13.433;17.320;29.696;1.777;36.615;-3.345;15.815;34.030;-1.322;21.692;20.554;-0.673;28.188;5.660;0.045;22.480;7.236;11.423;15.840;8.864;25.488;15.565;7.316;26.651;13.220;6.136;32.834;11.538;5.380;35.231;9.544;5.196;36.609;8.037;5.118;37.406;15.661;8.224;26.697;14.201;8.433;33.205;11.296;8.367;36.546;8.300;8.418;38.128;6.413;8.610;39.022;15.110;9.400;26.701;14.226;10.818;33.558;11.148;10.979;37.075;8.426;11.152;38.429;6.366;11.383;39.122;15.172;10.280;26.435;13.947;13.316;32.937;11.617;13.932;35.921;9.360;13.836;37.178;7.266;13.735;37.932;14.661;11.243;26.628;14.559;14.773;28.130;14.228;16.743;30.683;14.156;19.493;30.754;0.000;0.000;0.000;-7.600;-12.256;-0.798;-9.213;-33.173;-0.005;-11.107;-57.728;0.927;-9.130;-101.908;-7.011;7.593;-12.345;-1.541;9.026;-33.286;-0.375;10.710;-57.870;0.994;9.015;-102.146;-7.845
289.000;11.560;0.033;7.200;-0.221;0.089;13.976;-0.491;0.217;25.961;-1.046;0.099;41.805;-2.380;0.046;46.147;0.547;0.265;52.549;1.627;-6.584;56.525;2.957;7.098;56.753;1.312;-2.154;58.671;9.933;4.380;58.780;9.147;-1.416;36.548;-3.546;-15.385;35.101;-2.343;-21.770;22.494;-2.075;-28.827;8.559;-1.778;-23.751;8.848;10.041;-18.012;9.157;24.037;-18.457;7.617;24.948;-14.341;5.317;30.738;-12.613;5.312;32.543;-10.973;4.746;34.409;-9.704;4.903;35.486;-18.455;8.458;25.044;-15.046;7.613;31.696;-11.970;7.744;34.385;-9.595;7.875;36.187;-7.942;7.880;37.391;-17.852;9.630;24.608;-14.608;10.149;31.964;-11.471;10.007;34.497;-8.705;9.907;36.304;-6.862;9.753;37.431;-18.000;10.689;24.446;-14.351;12.545;31.318;-11.229;12.572;33.575;-8.834;12.483;35.051;-7.062;12.066;36.025;-16.488;11.328;25.652;-15.232;14.459;27.175;-13.345;15.876;28.739;-13.744;18.462;29.719;1.809;36.582;-3.425;15.831;34.058;-1.349;21.939;20.701;-0.168;28.691;5.938;1.137;22.930;8.002;12.402;16.234;10.243;26.344;15.984;8.763;27.586;13.626;7.878;33.812;11.951;7.228;36.241;9.954;7.097;37.626;8.453;7.042;38.434;16.076;9.673;27.589;14.560;10.178;34.054;11.671;10.269;37.399;8.662;10.383;38.952;6.759;10.631;39.798;15.497;10.804;27.535;14.596;12.559;34.299;11.485;12.897;37.785;8.750;13.112;39.104;6.662;13.343;39.709;15.539;11.669;27.222;14.273;15.041;33.542;11.920;15.768;36.487;9.635;15.716;37.717;7.534;15.613;38.452;15.016;12.654;27.336;14.858;16.257;28.682;14.452;18.343;31.120;14.360;21.093;31.078;0.000;0.000;0.000;-7.602;-12.256;-0.776;-9.205;-33.174;0.030;-11.088;-57.729;0.976;-9.104;-101.914;-6.930;7.590;-12.347;-1.537;9.034;-33.288;-0.354;10.729;-57.870;1.033;9.042;-102.152;-7.765
290.000;11.600;0.033;7.194;-0.230;0.092;13.965;-0.512;0.233;25.941;-1.094;0.121;41.779;-2.492;0.059;46.140;0.434;0.269;52.550;1.524;-6.585;56.518;2.848;7.101;56.760;1.236;-2.174;58.650;9.840;4.362;58.765;9.070;-1.393;36.518;-3.641;-15.342;35.125;-2.462;-22.088;22.683;-1.888;-29.544;8.932;-1.253;-24.460;9.589;10.538;-18.715;10.331;24.503;-19.216;8.846;25.482;-15.112;6.730;31.348;-13.353;6.754;33.121;-11.708;6.244;34.994;-10.414;6.433;36.036;-19.197;9.690;25.543;-15.762;9.038;32.210;-12.635;9.215;34.850;-10.235;9.377;36.608;-8.576;9.402;37.803;-18.533;10.799;25.066;-15.318;11.571;32.381;-12.099;11.474;34.840;-9.277;11.378;36.580;-7.413;11.235;37.673;-18.646;11.860;24.852;-14.980;13.946;31.630;-11.841;13.986;33.858;-9.405;13.875;35.305;-7.643;13.474;36.303;-17.141;12.523;26.020;-15.826;15.702;27.425;-13.902;17.144;28.910;-14.254;19.762;29.824;1.832;36.552;-3.512;15.832;34.072;-1.359;22.151;20.850;0.332;29.135;6.236;2.201;23.315;8.784;13.325;16.552;11.623;27.107;16.313;10.213;28.421;13.936;9.620;34.678;12.245;9.084;37.120;10.250;9.028;38.511;8.734;9.025;39.292;16.409;11.122;28.383;14.835;11.898;34.797;11.942;12.180;38.128;8.943;12.374;39.645;7.006;12.643;40.404;15.807;12.259;28.257;14.867;14.319;34.927;11.739;14.820;38.376;9.011;15.080;39.683;6.890;15.308;40.158;15.857;13.109;27.906;14.555;16.732;34.063;12.166;17.604;36.943;9.855;17.574;38.151;7.741;17.488;38.852;15.318;14.078;27.992;15.118;17.739;29.159;14.676;19.929;31.504;14.536;22.672;31.334;0.000;0.000;0.000;-7.598;-12.260;-0.765;-9.199;-33.176;0.054;-11.080;-57.730;1.016;-9.090;-101.919;-6.857;7.595;-12.346;-1.523;9.039;-33.286;-0.326;10.735;-57.867;1.080;9.052;-102.161;-7.689
291.000;11.640;0.032;7.189;-0.240;0.092;13.955;-0.535;0.233;25.923;-1.144;0.134;41.756;-2.599;0.063;46.133;0.326;0.265;52.550;1.422;-6.596;56.516;2.718;7.096;56.762;1.159;-2.212;58.651;9.727;4.327;58.768;8.983;-1.379;36.491;-3.733;-15.317;35.146;-2.583;-22.344;22.849;-1.722;-30.111;9.259;-0.769;-25.055;10.288;10.994;-19.344;11.477;24.927;-19.887;10.038;25.965;-15.785;8.105;31.904;-14.029;8.212;33.677;-12.378;7.752;35.557;-11.080;7.995;36.584;-19.861;10.883;25.995;-16.433;10.445;32.683;-13.279;10.682;35.298;-10.865;10.894;37.028;-9.197;10.959;38.209;-19.163;11.961;25.466;-15.954;13.014;32.741;-12.731;12.951;35.190;-9.865;12.899;36.896;-8.009;12.775;38.005;-19.260;12.992;25.219;-15.589;15.321;31.915;-12.434;15.379;34.135;-10.005;15.260;35.576;-8.245;14.901;36.593;-17.750;13.700;26.361;-16.405;16.918;27.652;-14.462;18.396;29.092;-14.796;21.049;29.904;1.845;36.524;-3.595;15.824;34.067;-1.368;22.306;20.974;0.768;29.471;6.502;3.128;23.584;9.481;14.099;16.734;12.855;27.714;16.493;11.519;29.083;14.035;11.151;35.323;12.332;10.734;37.771;10.326;10.742;39.140;8.788;10.784;39.877;16.591;12.425;29.013;14.944;13.438;35.366;11.977;13.856;38.629;8.952;14.097;40.077;6.998;14.398;40.779;15.981;13.557;28.822;14.953;15.874;35.385;11.767;16.512;38.754;9.003;16.805;39.975;6.873;17.064;40.392;16.040;14.391;28.439;14.648;18.238;34.424;12.193;19.212;37.209;9.873;19.190;38.392;7.736;19.120;39.021;15.483;15.339;28.475;15.241;19.047;29.507;14.737;21.305;31.753;14.566;24.040;31.497;0.000;0.000;0.000;-7.595;-12.262;-0.761;-9.199;-33.177;0.076;-11.082;-57.731;1.058;-9.086;-101.921;-6.788;7.598;-12.347;-1.497;9.040;-33.286;-0.284;10.733;-57.866;1.139;9.062;-102.163;-7.621
292.000;11.680;0.033;7.186;-0.250;0.092;13.949;-0.558;0.230;25.910;-1.194;0.140;41.739;-2.690;0.061;46.128;0.232;0.262;52.550;1.330;-6.607;56.515;2.587;7.091;56.767;1.084;-2.253;58.670;9.609;4.288;58.790;8.891;-1.372;36.472;-3.816;-15.301;35.165;-2.691;-22.529;22.984;-1.583;-30.518;9.521;-0.359;-25.512;10.893;11.379;-19.859;12.495;25.283;-20.407;11.081;26.363;-16.337;9.307;32.368;-14.586;9.508;34.137;-12.896;9.103;36.015;-11.605;9.395;37.038;-20.374;11.927;26.363;-16.978;11.708;33.071;-13.802;12.000;35.669;-11.395;12.250;37.393;-9.715;12.329;38.557;-19.662;13.002;25.799;-16.469;14.279;33.034;-13.243;14.260;35.479;-10.330;14.252;37.134;-8.491;14.137;38.272;-19.762;14.018;25.523;-16.105;16.542;32.147;-12.906;16.621;34.354;-10.492;16.526;35.795;-8.730;16.206;36.822;-18.244;14.750;26.645;-16.897;18.003;27.825;-14.939;19.511;29.234;-15.254;22.190;29.962;1.853;36.505;-3.668;15.818;34.059;-1.371;22.405;21.069;1.114;29.685;6.712;3.861;23.724;10.062;14.680;16.780;13.897;28.122;16.532;12.596;29.528;13.947;12.425;35.732;12.224;12.104;38.171;10.193;12.137;39.496;8.639;12.194;40.198;16.621;13.500;29.427;14.865;14.731;35.726;11.797;15.243;38.877;8.709;15.500;40.203;6.724;15.790;40.813;15.981;14.642;29.205;14.844;17.147;35.651;11.534;17.881;38.872;8.702;18.169;39.958;6.556;18.438;40.277;16.041;15.464;28.795;14.544;19.490;34.598;11.969;20.520;37.268;9.640;20.502;38.392;7.487;20.451;38.965;15.515;16.390;28.773;15.227;20.135;29.683;14.652;22.460;31.857;14.466;25.182;31.504;0.000;0.000;0.000;-7.595;-12.261;-0.762;-9.202;-33.175;0.093;-11.089;-57.727;1.096;-9.079;-101.918;-6.729;7.600;-12.350;-1.463;9.037;-33.287;-0.231;10.724;-57.866;1.215;9.077;-102.152;-7.564
