Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2921.000;116.840;0.018;7.258;-0.202;-0.064;14.092;-0.312;-0.333;26.186;-0.405;-0.811;42.067;-1.035;-0.835;46.380;2.096;-0.409;52.924;3.325;-7.211;57.034;4.470;6.518;56.986;3.254;-2.958;59.039;11.597;3.598;59.016;11.016;-2.218;36.834;-2.423;-16.228;34.841;-0.879;-21.234;21.921;-2.459;-26.766;7.642;-4.205;-23.064;5.352;8.096;-18.869;2.592;22.626;-19.085;0.795;22.892;-15.465;-2.496;28.455;-13.912;-2.693;30.409;-11.866;-3.085;32.041;-10.619;-2.988;33.150;-19.269;1.555;23.216;-16.954;-0.817;29.901;-14.058;-1.101;32.870;-11.556;-0.854;34.506;-9.759;-0.820;35.481;-18.875;2.836;23.329;-17.153;1.482;30.948;-14.246;0.992;33.817;-11.262;1.120;35.335;-9.328;1.101;36.310;-19.227;3.825;23.433;-17.347;3.988;31.097;-14.360;3.784;33.580;-11.869;3.691;34.893;-9.963;3.379;35.622;-18.172;4.337;25.082;-17.797;6.940;27.634;-16.410;7.771;29.784;-16.601;9.857;31.633;1.006;36.935;-2.321;15.197;34.649;-0.450;20.960;21.189;-1.751;27.330;6.312;-3.189;22.347;3.720;8.557;16.636;0.271;22.948;16.680;-1.661;23.552;15.070;-4.871;29.208;13.494;-6.292;31.335;11.514;-7.006;32.578;10.013;-7.418;33.275;16.616;-0.800;23.853;15.774;-2.629;30.229;13.055;-4.235;33.334;10.060;-5.045;34.642;8.129;-5.399;35.380;15.979;0.245;24.283;15.453;-0.518;31.257;12.816;-1.982;34.807;10.111;-2.704;36.006;8.039;-2.983;36.644;15.867;1.159;24.292;14.715;1.922;31.431;12.608;1.209;34.517;10.502;0.293;35.711;8.486;-0.379;36.384;15.199;1.933;24.840;14.581;4.715;27.357;13.912;5.443;30.501;13.189;7.785;31.752;0.000;0.000;0.000;-7.656;-12.223;-0.765;-10.036;-32.872;0.409;-12.829;-57.112;1.787;-12.501;-101.413;-6.384;7.541;-12.392;-1.407;9.605;-33.016;-0.224;12.028;-57.226;1.164;11.790;-101.606;-8.061
2922.000;116.880;0.019;7.257;-0.202;-0.060;14.091;-0.313;-0.325;26.183;-0.410;-0.792;42.065;-1.037;-0.813;46.378;2.094;-0.384;52.923;3.320;-7.185;57.037;4.460;6.545;56.982;3.255;-2.937;59.040;11.590;3.620;59.013;11.015;-2.203;36.833;-2.427;-16.215;34.851;-0.884;-21.230;21.934;-2.470;-26.773;7.658;-4.221;-23.077;5.366;8.082;-18.891;2.605;22.617;-19.113;0.805;22.880;-15.495;-2.499;28.439;-13.952;-2.688;30.410;-11.918;-3.091;32.037;-10.660;-2.962;33.131;-19.295;1.565;23.205;-16.994;-0.808;29.898;-14.098;-1.099;32.865;-11.594;-0.865;34.502;-9.803;-0.808;35.487;-18.893;2.851;23.322;-17.186;1.474;30.934;-14.261;0.997;33.795;-11.292;1.104;35.332;-9.356;1.090;36.303;-19.247;3.839;23.427;-17.382;3.987;31.091;-14.377;3.784;33.564;-11.898;3.708;34.890;-9.990;3.356;35.597;-18.192;4.345;25.078;-17.808;6.946;27.629;-16.432;7.776;29.770;-16.615;9.859;31.623;1.022;36.932;-2.324;15.210;34.636;-0.453;20.964;21.172;-1.758;27.324;6.290;-3.201;22.341;3.703;8.547;16.633;0.260;22.938;16.686;-1.684;23.534;15.065;-4.872;29.198;13.478;-6.305;31.320;11.502;-7.009;32.565;9.995;-7.407;33.257;16.618;-0.823;23.833;15.769;-2.646;30.218;13.041;-4.235;33.327;10.048;-5.041;34.631;8.109;-5.394;35.350;15.971;0.249;24.274;15.452;-0.529;31.248;12.811;-1.980;34.803;10.096;-2.712;35.991;8.024;-2.981;36.632;15.867;1.164;24.283;14.713;1.907;31.422;12.601;1.208;34.504;10.488;0.279;35.687;8.475;-0.392;36.370;15.197;1.927;24.826;14.582;4.708;27.348;13.916;5.436;30.515;13.198;7.794;31.737;0.000;0.000;0.000;-7.657;-12.222;-0.766;-10.040;-32.873;0.406;-12.837;-57.114;1.782;-12.512;-101.411;-6.400;7.540;-12.393;-1.406;9.600;-33.017;-0.231;12.020;-57.227;1.149;11.779;-101.605;-8.082
2923.000;116.920;0.020;7.258;-0.203;-0.057;14.091;-0.315;-0.318;26.184;-0.413;-0.781;42.065;-1.040;-0.800;46.380;2.090;-0.364;52.926;3.316;-7.165;57.043;4.445;6.565;56.983;3.249;-2.921;59.056;11.574;3.636;59.027;11.003;-2.193;36.834;-2.430;-16.202;34.854;-0.890;-21.219;21.940;-2.476;-26.764;7.666;-4.228;-23.071;5.376;8.075;-18.887;2.617;22.608;-19.092;0.819;22.871;-15.477;-2.480;28.428;-13.925;-2.682;30.391;-11.909;-3.062;32.041;-10.658;-2.942;33.145;-19.275;1.580;23.195;-16.988;-0.796;29.887;-14.093;-1.085;32.862;-11.613;-0.853;34.514;-9.818;-0.784;35.492;-18.892;2.846;23.315;-17.199;1.502;30.942;-14.271;1.024;33.799;-11.296;1.138;35.332;-9.359;1.130;36.301;-19.238;3.833;23.416;-17.373;4.001;31.082;-14.389;3.797;33.556;-11.889;3.729;34.886;-9.985;3.373;35.600;-18.182;4.367;25.078;-17.822;6.964;27.620;-16.429;7.785;29.772;-16.621;9.876;31.615;1.032;36.932;-2.327;15.221;34.630;-0.451;20.973;21.166;-1.750;27.330;6.284;-3.186;22.342;3.700;8.560;16.627;0.258;22.947;16.666;-1.672;23.554;15.051;-4.867;29.210;13.471;-6.298;31.337;11.495;-6.987;32.583;9.983;-7.403;33.254;16.603;-0.811;23.854;15.759;-2.639;30.229;13.027;-4.233;33.330;10.041;-5.034;34.648;8.096;-5.370;35.358;15.972;0.236;24.284;15.427;-0.516;31.257;12.781;-1.960;34.805;10.086;-2.703;36.002;8.011;-2.966;36.636;15.863;1.151;24.291;14.704;1.919;31.434;12.595;1.235;34.518;10.485;0.300;35.707;8.466;-0.362;36.380;15.187;1.933;24.840;14.581;4.722;27.346;13.905;5.447;30.504;13.201;7.801;31.743;0.000;0.000;0.000;-7.659;-12.221;-0.769;-10.043;-32.871;0.396;-12.841;-57.112;1.765;-12.519;-101.408;-6.432;7.538;-12.394;-1.406;9.597;-33.017;-0.237;12.014;-57.226;1.135;11.767;-101.601;-8.108
2924.000;116.960;0.021;7.256;-0.203;-0.056;14.089;-0.316;-0.314;26.179;-0.419;-0.779;42.061;-1.043;-0.798;46.376;2.088;-0.362;52.926;3.309;-7.163;57.042;4.435;6.567;56.984;3.242;-2.921;59.058;11.566;3.636;59.030;10.996;-2.190;36.829;-2.434;-16.204;34.849;-0.893;-21.219;21.933;-2.478;-26.761;7.656;-4.230;-23.062;5.374;8.074;-18.871;2.626;22.610;-19.082;0.821;22.870;-15.496;-2.474;28.415;-13.905;-2.638;30.395;-11.909;-3.040;32.033;-10.640;-2.896;33.113;-19.264;1.582;23.193;-16.974;-0.785;29.889;-14.081;-1.061;32.866;-11.587;-0.817;34.511;-9.795;-0.760;35.494;-18.886;2.870;23.310;-17.178;1.519;30.938;-14.257;1.032;33.805;-11.265;1.149;35.322;-9.335;1.140;36.306;-19.236;3.858;23.415;-17.354;4.027;31.079;-14.359;3.835;33.552;-11.861;3.724;34.872;-9.960;3.414;35.615;-18.181;4.370;25.067;-17.801;6.974;27.620;-16.421;7.799;29.769;-16.611;9.900;31.601;1.034;36.928;-2.330;15.221;34.628;-0.455;20.970;21.161;-1.759;27.324;6.276;-3.201;22.345;3.692;8.546;16.642;0.251;22.937;16.679;-1.706;23.529;15.065;-4.884;29.199;13.474;-6.312;31.318;11.488;-7.008;32.575;9.992;-7.438;33.273;16.605;-0.844;23.825;15.768;-2.658;30.215;13.041;-4.249;33.319;10.050;-5.040;34.636;8.110;-5.385;35.357;15.982;0.217;24.275;15.458;-0.533;31.250;12.796;-1.980;34.789;10.106;-2.705;35.997;8.029;-2.968;36.624;15.871;1.131;24.283;14.731;1.913;31.423;12.625;1.208;34.504;10.494;0.293;35.695;8.481;-0.373;36.382;15.199;1.920;24.825;14.616;4.707;27.342;13.935;5.440;30.479;13.268;7.792;31.742;0.000;0.000;0.000;-7.659;-12.221;-0.770;-10.043;-32.872;0.390;-12.841;-57.114;1.751;-12.521;-101.420;-6.450;7.538;-12.394;-1.407;9.596;-33.018;-0.245;12.011;-57.228;1.118;11.765;-101.600;-8.136
2925.000;117.000;0.021;7.256;-0.203;-0.055;14.088;-0.319;-0.311;26.178;-0.429;-0.764;42.059;-1.055;-0.780;46.376;2.076;-0.341;52.927;3.298;-7.142;57.043;4.425;6.589;56.984;3.234;-2.901;59.056;11.556;3.656;59.028;10.987;-2.179;36.829;-2.445;-16.195;34.855;-0.904;-21.217;21.942;-2.486;-26.767;7.669;-4.235;-23.067;5.394;8.070;-18.875;2.654;22.606;-19.096;0.864;22.876;-15.452;-2.415;28.424;-13.921;-2.602;30.401;-11.898;-3.001;32.028;-10.639;-2.850;33.118;-19.285;1.622;23.202;-16.958;-0.741;29.881;-14.072;-1.035;32.852;-11.584;-0.782;34.498;-9.783;-0.732;35.465;-18.872;2.901;23.309;-17.172;1.557;30.934;-14.248;1.076;33.790;-11.270;1.181;35.309;-9.330;1.178;36.272;-19.225;3.888;23.412;-17.355;4.052;31.072;-14.342;3.867;33.534;-11.847;3.767;34.863;-9.947;3.430;35.598;-18.183;4.398;25.050;-17.802;7.010;27.616;-16.423;7.832;29.749;-16.600;9.924;31.592;1.045;36.925;-2.342;15.231;34.613;-0.470;20.976;21.143;-1.775;27.325;6.255;-3.218;22.347;3.676;8.531;16.645;0.240;22.922;16.691;-1.709;23.513;15.050;-4.891;29.186;13.471;-6.319;31.308;11.490;-7.016;32.558;9.987;-7.427;33.254;16.624;-0.847;23.811;15.777;-2.665;30.206;13.037;-4.256;33.305;10.042;-5.028;34.622;8.103;-5.379;35.340;15.976;0.224;24.258;15.458;-0.535;31.236;12.806;-1.985;34.782;10.103;-2.704;35.980;8.027;-2.973;36.606;15.871;1.138;24.268;14.733;1.896;31.414;12.630;1.205;34.497;10.526;0.313;35.696;8.507;-0.367;36.354;15.222;1.911;24.810;14.623;4.701;27.325;13.959;5.431;30.496;13.278;7.798;31.722;0.000;0.000;0.000;-7.659;-12.221;-0.771;-10.043;-32.873;0.384;-12.842;-57.117;1.741;-12.522;-101.409;-6.471;7.538;-12.394;-1.408;9.595;-33.016;-0.252;12.009;-57.225;1.105;11.764;-101.599;-8.150
2926.000;117.040;0.022;7.254;-0.203;-0.053;14.084;-0.321;-0.308;26.170;-0.438;-0.752;42.052;-1.065;-0.764;46.370;2.069;-0.315;52.922;3.296;-7.114;57.041;4.429;6.617;56.974;3.235;-2.869;59.044;11.562;3.688;59.012;10.992;-2.171;36.822;-2.454;-16.185;34.866;-0.912;-21.211;21.954;-2.492;-26.765;7.682;-4.239;-23.065;5.411;8.064;-18.873;2.677;22.597;-19.094;0.886;22.873;-15.482;-2.398;28.419;-13.894;-2.591;30.372;-11.865;-2.971;32.016;-10.636;-2.838;33.143;-19.280;1.644;23.199;-16.963;-0.731;29.876;-14.052;-0.986;32.842;-11.559;-0.743;34.481;-9.766;-0.673;35.462;-18.881;2.937;23.298;-17.151;1.574;30.920;-14.219;1.115;33.767;-11.255;1.219;35.297;-9.311;1.204;36.250;-19.234;3.924;23.404;-17.339;4.069;31.060;-14.316;3.876;33.517;-11.838;3.794;34.846;-9.927;3.468;35.555;-18.174;4.420;25.044;-17.789;7.033;27.598;-16.405;7.863;29.729;-16.574;9.943;31.587;1.054;36.916;-2.352;15.240;34.594;-0.481;20.974;21.120;-1.786;27.312;6.228;-3.229;22.336;3.653;8.523;16.635;0.224;22.920;16.679;-1.714;23.517;15.040;-4.910;29.181;13.466;-6.328;31.308;11.478;-7.027;32.556;9.978;-7.436;33.258;16.617;-0.853;23.817;15.766;-2.676;30.202;13.031;-4.269;33.304;10.035;-5.050;34.617;8.096;-5.400;35.339;15.967;0.190;24.261;15.457;-0.562;31.229;12.810;-2.009;34.790;10.087;-2.709;35.974;8.011;-2.979;36.602;15.857;1.104;24.270;14.731;1.878;31.408;12.630;1.183;34.495;10.513;0.266;35.695;8.494;-0.385;36.376;15.211;1.895;24.808;14.616;4.684;27.323;13.935;5.415;30.469;13.265;7.773;31.719;0.000;0.000;0.000;-7.660;-12.220;-0.773;-10.044;-32.873;0.377;-12.843;-57.118;1.725;-12.523;-101.408;-6.507;7.537;-12.394;-1.409;9.594;-33.017;-0.256;12.007;-57.227;1.097;11.760;-101.599;-8.167
2927.000;117.080;0.022;7.254;-0.204;-0.054;14.084;-0.327;-0.311;26.170;-0.456;-0.755;42.052;-1.089;-0.764;46.372;2.048;-0.310;52.924;3.282;-7.107;57.044;4.422;6.622;56.976;3.216;-2.857;59.043;11.552;3.699;59.010;10.976;-2.174;36.822;-2.476;-16.185;34.865;-0.932;-21.212;21.951;-2.504;-26.768;7.678;-4.242;-23.066;5.416;8.061;-18.870;2.692;22.597;-19.089;0.902;22.876;-15.474;-2.380;28.423;-13.871;-2.583;30.356;-11.858;-2.950;32.011;-10.622;-2.817;33.129;-19.274;1.660;23.202;-16.940;-0.701;29.873;-14.040;-0.978;32.836;-11.541;-0.725;34.470;-9.742;-0.672;35.441;-18.891;2.937;23.296;-17.161;1.587;30.921;-14.201;1.121;33.758;-11.250;1.230;35.295;-9.296;1.230;36.227;-19.239;3.933;23.404;-17.330;4.092;31.057;-14.312;3.913;33.511;-11.812;3.803;34.828;-9.905;3.485;35.555;-18.171;4.436;25.032;-17.788;7.054;27.586;-16.405;7.877;29.733;-16.573;9.980;31.566;1.051;36.916;-2.374;15.238;34.594;-0.506;20.969;21.118;-1.810;27.304;6.224;-3.252;22.339;3.653;8.504;16.653;0.230;22.907;16.693;-1.698;23.512;15.066;-4.902;29.172;13.486;-6.306;31.309;11.505;-7.008;32.549;9.997;-7.416;33.232;16.637;-0.837;23.814;15.778;-2.677;30.185;13.056;-4.258;33.296;10.057;-5.037;34.612;8.120;-5.383;35.338;15.984;0.213;24.245;15.488;-0.559;31.218;12.812;-1.978;34.757;10.124;-2.706;35.974;8.045;-2.973;36.594;15.879;1.128;24.256;14.757;1.896;31.396;12.673;1.216;34.496;10.545;0.311;35.686;8.535;-0.373;36.364;15.212;1.902;24.797;14.648;4.695;27.307;13.962;5.427;30.468;13.332;7.804;31.703;0.000;0.000;0.000;-7.660;-12.220;-0.773;-10.043;-32.871;0.374;-12.840;-57.114;1.721;-12.523;-101.416;-6.511;7.537;-12.394;-1.409;9.594;-33.018;-0.262;12.008;-57.228;1.084;11.759;-101.592;-8.200
2928.000;117.120;0.022;7.253;-0.206;-0.054;14.082;-0.332;-0.309;26.166;-0.468;-0.753;42.047;-1.107;-0.761;46.370;2.031;-0.307;52.925;3.264;-7.101;57.048;4.411;6.628;56.972;3.198;-2.846;59.039;11.540;3.710;59.003;10.961;-2.172;36.816;-2.492;-16.187;34.864;-0.940;-21.215;21.949;-2.508;-26.772;7.674;-4.242;-23.066;5.418;8.063;-18.868;2.702;22.601;-19.085;0.906;22.876;-15.458;-2.356;28.436;-13.849;-2.550;30.358;-11.855;-2.924;32.022;-10.612;-2.793;33.133;-19.272;1.665;23.200;-16.931;-0.706;29.876;-14.015;-0.945;32.831;-11.511;-0.705;34.467;-9.718;-0.644;35.447;-18.868;2.946;23.305;-17.137;1.609;30.925;-14.206;1.134;33.781;-11.219;1.259;35.283;-9.280;1.249;36.249;-19.219;3.940;23.411;-17.318;4.107;31.063;-14.302;3.922;33.512;-11.802;3.835;34.829;-9.895;3.501;35.547;-18.192;4.446;25.053;-17.788;7.064;27.595;-16.408;7.883;29.742;-16.567;9.991;31.569;1.053;36.910;-2.391;15.239;34.588;-0.523;20.961;21.111;-1.832;27.286;6.214;-3.278;22.337;3.648;8.488;16.671;0.228;22.899;16.700;-1.696;23.512;15.090;-4.894;29.171;13.495;-6.311;31.297;11.519;-7.006;32.548;10.009;-7.409;33.230;16.649;-0.835;23.815;15.798;-2.671;30.185;13.071;-4.246;33.296;10.078;-5.037;34.605;8.135;-5.364;35.324;16.012;0.200;24.236;15.512;-0.560;31.214;12.854;-1.982;34.770;10.144;-2.689;35.969;8.069;-2.947;36.603;15.908;1.115;24.244;14.800;1.894;31.393;12.711;1.228;34.501;10.583;0.321;35.695;8.574;-0.353;36.384;15.251;1.905;24.794;14.689;4.701;27.297;14.059;5.441;30.445;13.399;7.791;31.716;0.000;0.000;0.000;-7.660;-12.220;-0.770;-10.049;-32.872;0.373;-12.854;-57.115;1.715;-12.551;-101.412;-6.522;7.537;-12.395;-1.406;9.590;-33.018;-0.262;12.001;-57.227;1.081;11.748;-101.594;-8.204
2929.000;117.160;0.022;7.251;-0.206;-0.052;14.078;-0.336;-0.303;26.159;-0.483;-0.739;42.041;-1.123;-0.746;46.364;2.014;-0.293;52.917;3.248;-7.085;57.043;4.397;6.644;56.961;3.180;-2.827;59.032;11.525;3.729;58.993;10.944;-2.161;36.811;-2.507;-16.178;34.862;-0.957;-21.208;21.949;-2.522;-26.767;7.676;-4.251;-23.069;5.438;8.060;-18.882;2.741;22.603;-19.105;0.957;22.889;-15.474;-2.300;28.434;-13.874;-2.473;30.370;-11.863;-2.848;32.032;-10.639;-2.713;33.164;-19.300;1.711;23.217;-16.954;-0.663;29.878;-13.982;-0.873;32.792;-11.499;-0.640;34.447;-9.709;-0.588;35.435;-18.873;3.000;23.304;-17.148;1.638;30.915;-14.203;1.174;33.756;-11.220;1.283;35.273;-9.275;1.269;36.225;-19.223;3.986;23.410;-17.334;4.132;31.061;-14.306;3.953;33.506;-11.821;3.866;34.824;-9.909;3.544;35.535;-18.186;4.488;25.034;-17.806;7.104;27.595;-16.420;7.925;29.741;-16.604;10.023;31.577;1.064;36.904;-2.407;15.256;34.573;-0.543;20.951;21.092;-1.839;27.246;6.191;-3.271;22.334;3.630;8.508;16.712;0.214;22.937;16.739;-1.726;23.534;15.087;-4.910;29.211;13.509;-6.322;31.336;11.537;-7.021;32.579;10.022;-7.416;33.259;16.685;-0.864;23.833;15.821;-2.687;30.224;13.091;-4.269;33.330;10.090;-5.036;34.648;8.150;-5.373;35.372;16.044;0.205;24.273;15.537;-0.568;31.258;12.879;-1.997;34.815;10.169;-2.699;36.018;8.093;-2.957;36.653;15.945;1.121;24.284;14.831;1.891;31.440;12.745;1.207;34.548;10.609;0.313;35.748;8.606;-0.348;36.465;15.288;1.899;24.828;14.743;4.694;27.351;14.093;5.444;30.511;13.474;7.825;31.746;0.000;0.000;0.000;-7.660;-12.220;-0.773;-10.055;-32.868;0.362;-12.865;-57.107;1.695;-12.580;-101.410;-6.544;7.536;-12.395;-1.410;9.580;-33.019;-0.272;11.979;-57.229;1.064;11.705;-101.596;-8.233
