Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2887.000;115.480;0.027;7.232;-0.255;-0.040;14.041;-0.436;-0.275;26.092;-0.683;-0.674;41.977;-1.249;-0.813;46.218;1.784;-0.558;52.704;2.848;-7.468;56.625;4.011;6.266;56.935;2.905;-3.320;58.607;11.206;3.238;58.755;10.678;-2.062;36.756;-2.701;-16.086;34.706;-1.598;-21.184;21.601;-2.810;-26.818;7.115;-4.150;-22.441;5.847;7.960;-17.516;4.307;22.209;-18.013;2.670;23.000;-14.857;0.526;29.429;-13.388;0.614;31.459;-11.427;0.378;33.173;-10.113;0.648;34.173;-18.077;3.507;23.106;-16.029;2.716;30.253;-13.284;2.848;33.373;-10.598;3.100;34.691;-8.692;3.219;35.421;-17.393;4.736;22.780;-15.884;5.317;30.577;-13.117;5.507;33.608;-10.031;5.616;34.968;-8.018;5.590;35.766;-17.605;5.776;22.604;-15.719;7.704;30.041;-12.953;7.901;32.692;-10.322;7.773;33.791;-8.368;7.325;34.285;-16.444;6.521;24.134;-15.888;9.728;25.674;-14.350;10.935;27.433;-14.421;13.494;28.553;1.158;36.844;-2.509;15.269;34.469;-0.231;20.970;21.001;-1.549;27.272;6.115;-3.005;22.249;5.405;8.831;16.439;4.193;23.347;16.183;2.449;24.233;14.305;0.309;30.378;13.064;-0.977;32.811;11.331;-1.506;34.426;9.973;-1.805;35.414;16.290;3.338;24.417;15.259;2.603;30.961;13.385;1.802;34.863;10.673;1.675;36.829;8.882;1.770;37.917;15.761;4.502;24.695;15.428;4.864;31.743;13.142;4.419;35.815;10.366;4.412;37.125;8.238;4.645;37.564;15.816;5.412;24.565;15.044;7.390;31.401;12.454;7.633;34.240;10.064;7.206;35.300;7.945;7.072;35.978;15.439;6.405;24.982;15.462;9.728;26.798;14.711;11.132;29.697;14.391;13.726;30.558;0.000;0.000;0.000;-7.630;-12.230;-0.905;-9.798;-33.009;0.226;-12.347;-57.401;1.554;-11.195;-101.530;-6.473;7.579;-12.399;-1.112;9.246;-33.130;0.256;11.207;-57.465;1.861;10.236;-101.859;-7.210
2888.000;115.520;0.027;7.232;-0.254;-0.039;14.043;-0.433;-0.272;26.094;-0.671;-0.666;41.979;-1.251;-0.805;46.220;1.777;-0.550;52.701;2.836;-7.459;56.622;4.005;6.275;56.932;2.893;-3.308;58.598;11.200;3.251;58.746;10.669;-2.056;36.758;-2.699;-16.084;34.715;-1.598;-21.187;21.612;-2.800;-26.828;7.130;-4.128;-22.437;5.862;7.978;-17.493;4.326;22.223;-17.997;2.695;23.013;-14.841;0.545;29.444;-13.362;0.628;31.469;-11.396;0.398;33.190;-10.096;0.641;34.213;-18.063;3.532;23.121;-16.014;2.736;30.266;-13.249;2.894;33.371;-10.561;3.164;34.703;-8.655;3.236;35.442;-17.358;4.708;22.815;-15.859;5.315;30.595;-13.094;5.507;33.624;-10.008;5.635;34.980;-7.996;5.602;35.780;-17.542;5.752;22.629;-15.691;7.723;30.053;-12.930;7.896;32.699;-10.299;7.776;33.800;-8.343;7.326;34.288;-16.402;6.532;24.142;-15.862;9.738;25.686;-14.331;10.945;27.464;-14.392;13.516;28.557;1.165;36.845;-2.506;15.271;34.468;-0.220;20.983;21.000;-1.519;27.297;6.114;-2.955;22.272;5.405;8.881;16.461;4.193;23.397;16.184;2.451;24.281;14.332;0.305;30.427;13.092;-0.982;32.859;11.371;-1.517;34.474;10.001;-1.805;35.449;16.293;3.339;24.466;15.306;2.588;31.006;13.427;1.780;34.913;10.722;1.654;36.897;8.931;1.768;37.983;15.780;4.492;24.748;15.456;4.847;31.791;13.180;4.397;35.872;10.388;4.390;37.157;8.268;4.639;37.628;15.832;5.402;24.619;15.076;7.378;31.454;12.484;7.613;34.294;10.101;7.214;35.355;7.989;7.073;36.051;15.459;6.409;25.045;15.501;9.724;26.857;14.755;11.120;29.760;14.461;13.705;30.658;0.000;0.000;0.000;-7.630;-12.230;-0.910;-9.799;-33.010;0.229;-12.349;-57.404;1.566;-11.196;-101.536;-6.432;7.579;-12.400;-1.107;9.245;-33.130;0.262;11.204;-57.465;1.868;10.235;-101.864;-7.197
2889.000;115.560;0.028;7.235;-0.254;-0.038;14.048;-0.431;-0.269;26.104;-0.664;-0.657;41.989;-1.251;-0.797;46.226;1.773;-0.542;52.702;2.833;-7.450;56.625;4.002;6.284;56.930;2.893;-3.300;58.597;11.198;3.259;58.742;10.669;-2.048;36.767;-2.698;-16.079;34.730;-1.601;-21.195;21.630;-2.802;-26.850;7.151;-4.128;-22.459;5.882;7.979;-17.514;4.343;22.227;-18.015;2.682;23.009;-14.856;0.541;29.441;-13.363;0.639;31.455;-11.411;0.427;33.187;-10.108;0.670;34.207;-18.067;3.521;23.110;-16.025;2.750;30.267;-13.228;2.932;33.346;-10.543;3.210;34.686;-8.643;3.264;35.440;-17.381;4.765;22.805;-15.870;5.366;30.586;-13.084;5.524;33.601;-10.001;5.620;34.959;-7.980;5.616;35.736;-17.589;5.803;22.629;-15.706;7.744;30.049;-12.932;7.926;32.691;-10.292;7.780;33.790;-8.342;7.337;34.304;-16.446;6.557;24.156;-15.882;9.758;25.691;-14.359;10.960;27.453;-14.406;13.525;28.560;1.173;36.853;-2.503;15.277;34.475;-0.212;20.998;21.009;-1.497;27.322;6.124;-2.917;22.297;5.411;8.919;16.487;4.198;23.434;16.227;2.458;24.322;14.352;0.285;30.458;13.132;-0.992;32.901;11.397;-1.513;34.516;10.035;-1.815;35.497;16.339;3.346;24.508;15.327;2.611;31.052;13.456;1.775;34.951;10.742;1.654;36.918;8.950;1.747;38.003;15.812;4.484;24.787;15.471;4.836;31.832;13.203;4.393;35.905;10.420;4.400;37.197;8.293;4.636;37.640;15.863;5.395;24.657;15.092;7.375;31.491;12.524;7.603;34.341;10.153;7.217;35.399;8.017;7.068;36.018;15.483;6.407;25.063;15.514;9.725;26.894;14.779;11.115;29.793;14.468;13.700;30.684;0.000;0.000;0.000;-7.629;-12.230;-0.914;-9.798;-33.011;0.226;-12.347;-57.406;1.564;-11.187;-101.536;-6.432;7.580;-12.399;-1.103;9.244;-33.131;0.267;11.202;-57.468;1.875;10.235;-101.864;-7.186
2890.000;115.600;0.029;7.237;-0.254;-0.036;14.051;-0.430;-0.265;26.110;-0.660;-0.646;41.995;-1.259;-0.785;46.232;1.758;-0.530;52.703;2.810;-7.437;56.627;3.984;6.297;56.930;2.870;-3.284;58.593;11.180;3.274;58.738;10.648;-2.039;36.773;-2.702;-16.070;34.748;-1.603;-21.203;21.653;-2.789;-26.877;7.179;-4.100;-22.470;5.914;8.002;-17.509;4.381;22.243;-18.005;2.724;23.027;-14.837;0.580;29.455;-13.359;0.672;31.473;-11.414;0.460;33.206;-10.090;0.704;34.197;-18.057;3.563;23.127;-16.019;2.794;30.288;-13.216;2.992;33.370;-10.544;3.212;34.715;-8.643;3.319;35.463;-17.405;4.758;22.829;-15.847;5.410;30.598;-13.076;5.576;33.623;-9.983;5.671;34.972;-7.967;5.651;35.765;-17.585;5.799;22.645;-15.679;7.774;30.064;-12.907;7.951;32.707;-10.270;7.802;33.812;-8.319;7.364;34.324;-16.425;6.591;24.158;-15.851;9.796;25.695;-14.330;10.998;27.461;-14.366;13.566;28.562;1.181;36.857;-2.507;15.286;34.478;-0.214;21.015;21.011;-1.484;27.346;6.127;-2.887;22.317;5.417;8.948;16.501;4.207;23.463;16.232;2.460;24.347;14.362;0.307;30.497;13.114;-0.975;32.921;11.386;-1.490;34.536;10.016;-1.786;35.508;16.340;3.349;24.532;15.335;2.600;31.076;13.446;1.798;34.974;10.737;1.657;36.937;8.930;1.756;37.997;15.817;4.505;24.813;15.498;4.856;31.861;13.205;4.404;35.929;10.424;4.412;37.219;8.295;4.650;37.652;15.869;5.415;24.684;15.105;7.387;31.519;12.524;7.630;34.355;10.146;7.219;35.417;8.012;7.081;36.043;15.495;6.420;25.081;15.534;9.736;26.918;14.800;11.134;29.837;14.477;13.732;30.683;0.000;0.000;0.000;-7.629;-12.230;-0.914;-9.793;-33.011;0.223;-12.336;-57.405;1.559;-11.169;-101.538;-6.441;7.580;-12.400;-1.102;9.247;-33.129;0.262;11.208;-57.463;1.863;10.245;-101.861;-7.204
2891.000;115.640;0.030;7.237;-0.254;-0.033;14.052;-0.428;-0.256;26.112;-0.654;-0.630;41.997;-1.263;-0.769;46.232;1.751;-0.513;52.700;2.801;-7.418;56.625;3.976;6.316;56.924;2.863;-3.265;58.588;11.173;3.293;58.731;10.641;-2.025;36.774;-2.702;-16.057;34.761;-1.603;-21.206;21.672;-2.785;-26.896;7.205;-4.092;-22.488;5.948;8.008;-17.520;4.427;22.249;-18.020;2.794;23.040;-14.837;0.635;29.468;-13.399;0.722;31.485;-11.427;0.504;33.207;-10.105;0.759;34.198;-18.086;3.631;23.144;-16.001;2.844;30.290;-13.220;3.039;33.360;-10.560;3.312;34.727;-8.655;3.397;35.465;-17.430;4.792;22.836;-15.867;5.474;30.602;-13.053;5.660;33.586;-9.996;5.736;34.976;-7.983;5.718;35.773;-17.609;5.853;22.652;-15.694;7.828;30.062;-12.935;8.022;32.710;-10.291;7.873;33.814;-8.343;7.432;34.336;-16.470;6.622;24.143;-15.871;9.845;25.692;-14.348;11.058;27.437;-14.370;13.615;28.564;1.196;36.858;-2.507;15.298;34.477;-0.212;21.033;21.011;-1.477;27.371;6.129;-2.875;22.337;5.425;8.958;16.514;4.222;23.472;16.243;2.468;24.349;14.363;0.307;30.490;13.103;-0.955;32.924;11.366;-1.468;34.527;9.982;-1.757;35.481;16.346;3.357;24.533;15.342;2.604;31.081;13.423;1.805;34.968;10.681;1.699;36.903;8.882;1.795;37.977;15.820;4.520;24.825;15.489;4.890;31.870;13.193;4.438;35.922;10.416;4.427;37.222;8.283;4.676;37.627;15.872;5.430;24.695;15.121;7.414;31.523;12.528;7.652;34.359;10.124;7.231;35.407;8.000;7.120;36.075;15.514;6.430;25.093;15.544;9.752;26.923;14.809;11.153;29.841;14.485;13.751;30.689;0.000;0.000;0.000;-7.630;-12.230;-0.914;-9.794;-33.012;0.235;-12.339;-57.409;1.583;-11.173;-101.544;-6.394;7.580;-12.400;-1.100;9.244;-33.132;0.273;11.201;-57.469;1.885;10.230;-101.868;-7.161
2892.000;115.680;0.031;7.240;-0.254;-0.029;14.058;-0.426;-0.245;26.123;-0.647;-0.618;42.007;-1.264;-0.756;46.240;1.746;-0.503;52.701;2.796;-7.407;56.627;3.974;6.326;56.924;2.855;-3.250;58.589;11.169;3.308;58.731;10.635;-2.014;36.784;-2.700;-16.045;34.772;-1.597;-21.203;21.686;-2.778;-26.905;7.223;-4.083;-22.494;5.983;8.018;-17.521;4.481;22.260;-18.028;2.839;23.051;-14.853;0.697;29.478;-13.409;0.787;31.507;-11.428;0.568;33.216;-10.098;0.819;34.197;-18.088;3.676;23.153;-16.016;2.914;30.295;-13.210;3.100;33.362;-10.549;3.372;34.725;-8.646;3.444;35.470;-17.412;4.865;22.838;-15.855;5.520;30.611;-13.041;5.712;33.587;-9.994;5.798;34.981;-7.973;5.776;35.758;-17.602;5.918;22.656;-15.699;7.886;30.071;-12.937;8.077;32.720;-10.295;7.932;33.823;-8.342;7.499;34.335;-16.471;6.687;24.163;-15.869;9.898;25.711;-14.333;11.110;27.440;-14.372;13.660;28.582;1.207;36.867;-2.507;15.311;34.485;-0.216;21.050;21.021;-1.481;27.392;6.141;-2.879;22.354;5.444;8.951;16.526;4.247;23.460;16.257;2.486;24.342;14.365;0.342;30.473;13.090;-0.918;32.909;11.334;-1.430;34.500;9.950;-1.707;35.457;16.361;3.375;24.523;15.326;2.662;31.074;13.388;1.858;34.949;10.641;1.732;36.865;8.824;1.840;37.907;15.847;4.553;24.804;15.483;4.920;31.856;13.184;4.477;35.918;10.395;4.469;37.192;8.263;4.723;37.599;15.903;5.463;24.675;15.125;7.447;31.506;12.514;7.682;34.335;10.117;7.270;35.376;7.989;7.151;36.026;15.519;6.465;25.072;15.551;9.785;26.907;14.818;11.185;29.811;14.479;13.778;30.668;0.000;0.000;0.000;-7.630;-12.230;-0.908;-9.795;-33.011;0.243;-12.340;-57.405;1.593;-11.180;-101.543;-6.380;7.579;-12.400;-1.103;9.245;-33.131;0.272;11.205;-57.466;1.886;10.233;-101.869;-7.145
2893.000;115.720;0.031;7.242;-0.254;-0.026;14.061;-0.425;-0.236;26.129;-0.642;-0.604;42.013;-1.271;-0.742;46.246;1.736;-0.491;52.705;2.780;-7.396;56.633;3.955;6.338;56.929;2.836;-3.239;58.601;11.148;3.319;58.742;10.614;-2.002;36.789;-2.703;-16.033;34.785;-1.598;-21.199;21.701;-2.770;-26.910;7.239;-4.066;-22.498;6.019;8.036;-17.526;4.533;22.281;-18.029;2.872;23.063;-14.875;0.781;29.511;-13.413;0.865;31.536;-11.425;0.622;33.236;-10.113;0.873;34.241;-18.075;3.712;23.157;-16.024;2.973;30.322;-13.209;3.172;33.379;-10.539;3.438;34.727;-8.640;3.509;35.482;-17.431;4.932;22.863;-15.866;5.596;30.633;-13.055;5.780;33.614;-9.976;5.841;34.976;-7.951;5.839;35.743;-17.613;5.973;22.677;-15.701;7.954;30.090;-12.933;8.145;32.735;-10.302;7.984;33.860;-8.347;7.563;34.372;-16.453;6.751;24.181;-15.869;9.963;25.723;-14.333;11.142;27.526;-14.346;13.740;28.555;1.219;36.871;-2.509;15.324;34.491;-0.214;21.065;21.027;-1.474;27.411;6.146;-2.866;22.350;5.463;8.957;16.494;4.286;23.459;16.212;2.522;24.339;14.324;0.389;30.479;13.044;-0.872;32.905;11.293;-1.374;34.498;9.907;-1.653;35.453;16.313;3.412;24.519;15.287;2.693;31.070;13.348;1.897;34.949;10.599;1.781;36.860;8.779;1.886;37.898;15.826;4.592;24.799;15.445;4.957;31.852;13.140;4.521;35.906;10.349;4.509;37.181;8.222;4.774;37.604;15.883;5.502;24.668;15.091;7.486;31.506;12.460;7.713;34.327;10.098;7.327;35.384;7.961;7.184;36.001;15.483;6.504;25.080;15.521;9.819;26.904;14.770;11.226;29.807;14.452;13.821;30.665;0.000;0.000;0.000;-7.630;-12.229;-0.909;-9.795;-33.011;0.244;-12.340;-57.406;1.598;-11.179;-101.544;-6.368;7.579;-12.400;-1.103;9.246;-33.131;0.273;11.206;-57.467;1.889;10.234;-101.869;-7.140
2894.000;115.760;0.031;7.243;-0.254;-0.025;14.063;-0.422;-0.233;26.133;-0.630;-0.600;42.016;-1.263;-0.739;46.248;1.740;-0.492;52.702;2.781;-7.396;56.629;3.959;6.337;56.927;2.835;-3.237;58.595;11.151;3.321;58.738;10.614;-1.998;36.792;-2.694;-16.030;34.790;-1.592;-21.201;21.706;-2.757;-26.916;7.245;-4.044;-22.504;6.041;8.058;-17.533;4.578;22.304;-18.041;2.957;23.101;-14.856;0.806;29.527;-13.420;0.923;31.563;-11.434;0.682;33.249;-10.099;0.952;34.219;-18.110;3.794;23.206;-16.017;3.027;30.343;-13.190;3.222;33.384;-10.507;3.483;34.723;-8.607;3.585;35.472;-17.429;4.974;22.879;-15.876;5.623;30.647;-13.039;5.816;33.621;-9.932;5.891;34.930;-7.914;5.891;35.715;-17.619;6.026;22.697;-15.703;7.997;30.108;-12.949;8.182;32.763;-10.319;8.031;33.865;-8.362;7.597;34.362;-16.461;6.786;24.202;-15.877;10.003;25.747;-14.360;11.190;27.555;-14.352;13.795;28.567;1.223;36.874;-2.500;15.327;34.496;-0.201;21.077;21.037;-1.456;27.432;6.161;-2.844;22.347;5.487;8.964;16.468;4.322;23.444;16.181;2.551;24.333;14.281;0.436;30.478;13.008;-0.783;32.924;11.266;-1.283;34.532;9.889;-1.569;35.497;16.278;3.442;24.510;15.269;2.749;31.065;13.309;1.993;34.952;10.577;1.897;36.883;8.767;1.986;37.940;15.766;4.661;24.782;15.395;5.012;31.842;13.110;4.589;35.905;10.327;4.571;37.207;8.199;4.820;37.639;15.832;5.570;24.651;15.028;7.543;31.504;12.456;7.780;34.356;10.110;7.393;35.456;7.994;7.269;36.144;15.440;6.540;25.069;15.473;9.856;26.891;14.738;11.268;29.790;14.410;13.866;30.636;0.000;0.000;0.000;-7.631;-12.230;-0.904;-9.794;-33.012;0.251;-12.337;-57.408;1.607;-11.175;-101.546;-6.354;7.579;-12.400;-1.099;9.246;-33.130;0.279;11.206;-57.463;1.896;10.234;-101.871;-7.122
2895.000;115.800;0.032;7.243;-0.254;-0.024;14.063;-0.422;-0.229;26.133;-0.629;-0.595;42.016;-1.271;-0.735;46.248;1.729;-0.488;52.700;2.769;-7.392;56.626;3.952;6.341;56.924;2.816;-3.226;58.593;11.141;3.332;58.736;10.599;-1.994;36.791;-2.699;-16.028;34.791;-1.593;-21.207;21.710;-2.747;-26.931;7.252;-4.023;-22.511;6.068;8.078;-17.531;4.630;22.322;-18.028;2.938;23.102;-14.850;0.858;29.539;-13.394;0.981;31.569;-11.391;0.731;33.248;-10.061;1.000;34.225;-18.062;3.778;23.190;-15.996;3.069;30.356;-13.168;3.279;33.390;-10.456;3.519;34.695;-8.563;3.654;35.457;-17.416;5.019;22.900;-15.843;5.700;30.659;-13.019;5.891;33.626;-9.875;5.958;34.875;-7.844;5.941;35.626;-17.606;6.068;22.718;-15.699;8.040;30.125;-12.932;8.234;32.769;-10.292;8.090;33.860;-8.336;7.642;34.347;-16.458;6.823;24.195;-15.869;10.055;25.757;-14.317;11.240;27.536;-14.338;13.826;28.595;1.227;36.873;-2.506;15.330;34.496;-0.201;21.088;21.040;-1.455;27.451;6.168;-2.842;22.324;5.515;8.942;16.406;4.377;23.388;16.136;2.644;24.329;14.265;0.592;30.489;13.018;-0.492;33.009;11.350;-0.966;34.689;10.012;-1.239;35.710;16.237;3.537;24.500;15.252;2.917;31.043;13.255;2.363;34.943;10.628;2.272;36.994;8.833;2.418;38.070;15.712;4.767;24.692;15.378;5.151;31.777;13.186;4.788;35.919;10.479;4.769;37.361;8.375;4.955;37.923;15.783;5.674;24.552;15.008;7.662;31.458;12.719;7.959;34.534;10.476;7.655;35.855;8.434;7.510;36.738;15.361;6.608;25.017;15.374;9.946;26.777;14.658;11.378;29.661;14.334;13.978;30.502;0.000;0.000;0.000;-7.631;-12.230;-0.906;-9.793;-33.016;0.255;-12.336;-57.417;1.617;-11.172;-101.552;-6.340;7.579;-12.400;-1.099;9.247;-33.131;0.278;11.208;-57.467;1.895;10.240;-101.876;-7.110
