Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
994.000;39.760;0.036;7.261;-0.182;0.001;14.098;-0.231;-0.152;26.199;-0.159;-0.474;42.090;-0.577;-0.545;46.242;2.417;-0.145;52.637;3.437;-6.956;56.698;4.698;6.740;56.759;3.162;-2.557;58.816;11.703;3.983;58.845;10.969;-1.894;36.890;-2.072;-15.971;35.067;-0.931;-21.046;22.170;-2.631;-26.654;7.916;-4.509;-23.392;5.178;7.699;-19.762;1.712;21.969;-20.370;0.063;22.717;-16.937;-2.734;28.942;-15.714;-3.138;31.056;-14.417;-4.003;33.123;-13.561;-4.207;34.545;-20.394;0.893;22.881;-17.881;-0.457;29.889;-15.532;-0.529;33.304;-13.632;-0.451;35.607;-12.275;-0.461;37.137;-19.569;2.157;22.520;-17.576;2.112;30.454;-15.248;1.847;33.790;-12.703;1.630;36.017;-11.156;1.445;37.522;-19.718;3.214;22.431;-17.287;4.494;29.965;-14.831;4.506;32.991;-12.730;4.386;34.892;-11.109;4.042;36.123;-18.508;3.899;24.068;-17.631;6.996;25.522;-15.998;8.062;27.281;-15.571;10.653;28.237;1.328;36.960;-1.892;15.436;34.496;0.393;20.806;20.940;-1.067;26.741;5.956;-2.680;22.666;3.994;9.388;17.963;1.108;24.017;17.588;-0.718;24.856;15.437;-2.950;30.958;14.002;-4.222;33.312;12.336;-4.821;34.973;11.016;-5.139;36.005;17.735;0.159;25.070;16.487;-0.740;31.621;14.212;-1.339;35.392;11.436;-1.291;37.258;9.604;-1.065;38.256;17.234;1.432;25.327;16.735;1.528;32.437;14.318;1.223;36.472;11.593;1.438;37.895;9.518;1.729;38.515;17.346;2.342;25.234;16.632;4.114;32.247;14.606;4.420;35.549;12.517;4.315;37.113;10.536;4.313;38.134;17.042;3.364;25.804;16.757;6.815;27.358;15.563;8.367;29.958;14.834;11.010;30.192;0.000;0.000;0.000;-7.649;-12.220;-0.879;-9.906;-33.058;0.424;-12.555;-57.520;1.954;-11.591;-101.745;-5.437;7.556;-12.395;-1.294;9.450;-33.196;0.245;11.673;-57.613;2.052;11.070;-102.055;-6.279
995.000;39.800;0.037;7.259;-0.184;0.003;14.094;-0.235;-0.147;26.191;-0.169;-0.464;42.083;-0.585;-0.534;46.237;2.413;-0.136;52.635;3.437;-6.945;56.698;4.704;6.751;56.756;3.165;-2.544;58.808;11.709;3.996;58.835;10.975;-1.885;36.884;-2.081;-15.964;35.068;-0.938;-21.040;22.171;-2.645;-26.651;7.916;-4.531;-23.388;5.182;7.677;-19.757;1.714;21.947;-20.361;0.059;22.696;-16.921;-2.742;28.913;-15.704;-3.070;31.056;-14.376;-3.946;33.107;-13.530;-4.137;34.537;-20.387;0.890;22.857;-17.849;-0.435;29.867;-15.526;-0.514;33.284;-13.620;-0.428;35.583;-12.270;-0.437;37.119;-19.582;2.139;22.500;-17.588;2.089;30.434;-15.263;1.852;33.782;-12.685;1.666;35.994;-11.157;1.447;37.512;-19.721;3.211;22.408;-17.286;4.512;29.940;-14.832;4.521;32.969;-12.734;4.395;34.874;-11.110;4.053;36.102;-18.515;3.901;24.034;-17.626;7.004;25.499;-16.032;8.054;27.314;-15.539;10.657;28.203;1.337;36.953;-1.900;15.443;34.483;0.383;20.805;20.924;-1.070;26.732;5.937;-2.677;22.654;4.016;9.393;17.944;1.179;24.027;17.567;-0.635;24.874;15.410;-2.858;30.975;13.982;-4.125;33.343;12.314;-4.727;34.994;10.997;-5.047;36.030;17.720;0.240;25.089;16.461;-0.648;31.634;14.204;-1.239;35.412;11.430;-1.209;37.286;9.599;-0.987;38.286;17.212;1.491;25.341;16.718;1.625;32.450;14.297;1.306;36.484;11.560;1.531;37.891;9.484;1.829;38.505;17.319;2.400;25.244;16.598;4.203;32.254;14.583;4.514;35.550;12.483;4.408;37.102;10.504;4.418;38.127;17.015;3.439;25.793;16.751;6.892;27.359;15.548;8.448;29.952;14.828;11.093;30.192;0.000;0.000;0.000;-7.648;-12.220;-0.880;-9.907;-33.057;0.425;-12.559;-57.518;1.957;-11.597;-101.741;-5.439;7.556;-12.396;-1.291;9.446;-33.195;0.249;11.665;-57.612;2.058;11.055;-102.051;-6.283
996.000;39.840;0.040;7.258;-0.188;0.009;14.093;-0.243;-0.134;26.188;-0.186;-0.440;42.080;-0.600;-0.508;46.236;2.401;-0.107;52.637;3.430;-6.916;56.699;4.703;6.779;56.758;3.158;-2.512;58.802;11.709;4.028;58.831;10.971;-1.865;36.882;-2.097;-15.942;35.068;-0.951;-21.023;22.174;-2.663;-26.639;7.924;-4.554;-23.375;5.194;7.657;-19.744;1.734;21.931;-20.346;0.100;22.689;-16.929;-2.695;28.904;-15.666;-3.050;31.008;-14.349;-3.863;33.084;-13.472;-4.020;34.499;-20.374;0.929;22.854;-17.850;-0.410;29.854;-15.519;-0.487;33.265;-13.607;-0.411;35.556;-12.243;-0.418;37.079;-19.566;2.157;22.483;-17.573;2.135;30.418;-15.251;1.872;33.760;-12.678;1.662;35.970;-11.121;1.477;37.464;-19.705;3.225;22.389;-17.289;4.536;29.924;-14.827;4.538;32.948;-12.723;4.413;34.848;-11.090;4.044;36.057;-18.488;3.918;24.023;-17.610;7.024;25.495;-15.997;8.078;27.260;-15.548;10.673;28.194;1.357;36.949;-1.916;15.461;34.473;0.363;20.816;20.910;-1.089;26.735;5.919;-2.693;22.650;4.029;9.379;17.934;1.232;24.018;17.535;-0.591;24.862;15.401;-2.799;30.963;13.966;-4.043;33.348;12.313;-4.648;34.993;10.982;-4.964;36.013;17.680;0.287;25.072;16.450;-0.565;31.632;14.185;-1.170;35.403;11.406;-1.131;37.267;9.571;-0.902;38.257;17.205;1.559;25.327;16.704;1.688;32.436;14.278;1.386;36.466;11.538;1.608;37.862;9.456;1.901;38.459;17.317;2.468;25.231;16.589;4.271;32.236;14.545;4.582;35.520;12.456;4.477;37.069;10.461;4.483;38.063;17.000;3.494;25.774;16.741;6.946;27.346;15.558;8.505;29.948;14.832;11.148;30.192;0.000;0.000;0.000;-7.652;-12.219;-0.875;-9.916;-33.055;0.430;-12.574;-57.514;1.961;-11.623;-101.736;-5.443;7.553;-12.398;-1.286;9.437;-33.198;0.256;11.648;-57.614;2.066;11.021;-102.048;-6.287
997.000;39.880;0.041;7.254;-0.190;0.013;14.086;-0.248;-0.122;26.176;-0.201;-0.425;42.068;-0.616;-0.493;46.229;2.392;-0.093;52.636;3.431;-6.904;56.696;4.701;6.793;56.759;3.162;-2.503;58.801;11.708;4.038;58.831;10.973;-1.851;36.870;-2.112;-15.930;35.061;-0.967;-21.008;22.168;-2.689;-26.622;7.918;-4.592;-23.355;5.198;7.621;-19.720;1.746;21.895;-20.330;0.099;22.651;-16.887;-2.658;28.877;-15.601;-3.049;30.948;-14.261;-3.809;33.030;-13.371;-3.953;34.438;-20.359;0.929;22.812;-17.829;-0.396;29.829;-15.471;-0.464;33.217;-13.526;-0.379;35.488;-12.152;-0.406;37.002;-19.553;2.163;22.455;-17.552;2.155;30.392;-15.257;1.925;33.746;-12.614;1.728;35.898;-11.052;1.512;37.382;-19.692;3.241;22.358;-17.267;4.549;29.889;-14.782;4.554;32.899;-12.676;4.403;34.796;-11.080;4.038;36.055;-18.436;3.938;23.987;-17.582;7.036;25.454;-15.989;8.084;27.266;-15.493;10.692;28.138;1.371;36.936;-1.932;15.475;34.457;0.342;20.824;20.890;-1.109;26.736;5.895;-2.714;22.646;4.024;9.364;17.925;1.251;24.010;17.519;-0.575;24.850;15.400;-2.773;30.956;13.949;-4.035;33.323;12.282;-4.622;34.972;10.947;-4.948;35.983;17.663;0.304;25.058;16.425;-0.567;31.615;14.141;-1.159;35.371;11.335;-1.125;37.211;9.498;-0.890;38.196;17.194;1.566;25.324;16.691;1.711;32.424;14.257;1.387;36.447;11.485;1.624;37.797;9.392;1.911;38.359;17.300;2.475;25.225;16.562;4.300;32.218;14.481;4.605;35.478;12.382;4.497;37.007;10.378;4.504;37.983;16.992;3.522;25.780;16.712;6.968;27.325;15.512;8.527;29.929;14.783;11.171;30.159;0.000;0.000;0.000;-7.653;-12.218;-0.872;-9.926;-33.052;0.436;-12.594;-57.510;1.971;-11.663;-101.735;-5.429;7.551;-12.399;-1.282;9.428;-33.197;0.264;11.631;-57.612;2.080;10.992;-102.048;-6.265
998.000;39.920;0.044;7.251;-0.191;0.019;14.080;-0.254;-0.107;26.165;-0.219;-0.404;42.057;-0.637;-0.471;46.225;2.380;-0.073;52.638;3.433;-6.889;56.691;4.698;6.809;56.767;3.172;-2.496;58.798;11.710;4.045;58.834;10.982;-1.833;36.859;-2.132;-15.912;35.049;-0.985;-20.988;22.158;-2.710;-26.599;7.909;-4.616;-23.322;5.206;7.600;-19.674;1.777;21.884;-20.274;0.145;22.641;-16.841;-2.604;28.868;-15.528;-2.948;30.926;-14.128;-3.695;32.972;-13.192;-3.839;34.350;-20.308;0.975;22.805;-17.813;-0.352;29.815;-15.422;-0.426;33.187;-13.454;-0.348;35.423;-12.031;-0.348;36.892;-19.458;2.264;22.412;-17.530;2.200;30.372;-15.218;1.929;33.719;-12.544;1.719;35.792;-10.888;1.525;37.174;-19.626;3.315;22.326;-17.244;4.583;29.865;-14.750;4.589;32.864;-12.651;4.423;34.759;-10.995;4.079;35.943;-18.403;3.964;23.965;-17.528;7.057;25.433;-15.917;8.101;27.255;-15.441;10.711;28.134;1.389;36.924;-1.952;15.490;34.440;0.312;20.832;20.872;-1.141;26.738;5.876;-2.746;22.646;4.005;9.332;17.918;1.234;23.984;17.528;-0.580;24.822;15.394;-2.800;30.921;13.928;-4.078;33.269;12.251;-4.666;34.905;10.915;-4.974;35.920;17.673;0.297;25.033;16.425;-0.585;31.585;14.048;-1.214;35.287;11.224;-1.162;37.075;9.362;-0.921;38.010;17.193;1.552;25.298;16.671;1.680;32.393;14.202;1.351;36.387;11.393;1.572;37.663;9.284;1.866;38.156;17.300;2.461;25.201;16.546;4.280;32.183;14.403;4.554;35.407;12.285;4.424;36.902;10.248;4.429;37.807;16.975;3.501;25.751;16.672;6.945;27.309;15.456;8.471;29.910;14.699;11.102;30.186;0.000;0.000;0.000;-7.657;-12.216;-0.869;-9.938;-33.049;0.438;-12.615;-57.506;1.972;-11.704;-101.732;-5.432;7.548;-12.402;-1.284;9.418;-33.200;0.263;11.613;-57.615;2.078;10.956;-102.048;-6.266
999.000;39.960;0.044;7.248;-0.193;0.022;14.075;-0.260;-0.097;26.155;-0.234;-0.391;42.047;-0.653;-0.457;46.220;2.370;-0.059;52.641;3.430;-6.877;56.691;4.688;6.822;56.773;3.180;-2.495;58.796;11.707;4.047;58.835;10.987;-1.821;36.849;-2.147;-15.897;35.038;-0.997;-20.970;22.144;-2.725;-26.578;7.892;-4.634;-23.285;5.222;7.589;-19.609;1.837;21.882;-20.222;0.182;22.632;-16.789;-2.557;28.857;-15.428;-2.858;30.895;-13.890;-3.541;32.856;-12.856;-3.639;34.166;-20.245;1.014;22.788;-17.788;-0.278;29.819;-15.342;-0.370;33.157;-13.230;-0.308;35.263;-11.731;-0.379;36.653;-19.409;2.284;22.428;-17.530;2.258;30.384;-15.215;1.990;33.731;-12.480;1.708;35.678;-10.639;1.568;36.810;-19.563;3.337;22.333;-17.235;4.643;29.868;-14.746;4.646;32.857;-12.575;4.434;34.689;-10.920;4.051;35.862;-18.373;4.002;23.949;-17.464;7.099;25.445;-15.847;8.123;27.266;-15.371;10.721;28.178;1.401;36.914;-1.968;15.498;34.423;0.286;20.842;20.854;-1.167;26.748;5.858;-2.773;22.648;3.977;9.311;17.901;1.196;23.978;17.526;-0.609;24.803;15.395;-2.881;30.870;13.909;-4.200;33.183;12.195;-4.756;34.796;10.826;-5.069;35.764;17.668;0.267;25.023;16.417;-0.685;31.567;13.881;-1.340;35.168;10.965;-1.258;36.785;9.047;-0.979;37.588;17.179;1.508;25.295;16.637;1.600;32.369;14.081;1.213;36.315;11.189;1.474;37.422;9.054;1.751;37.797;17.287;2.418;25.204;16.478;4.176;32.165;14.271;4.399;35.335;12.086;4.233;36.768;10.041;4.209;37.653;16.931;3.445;25.744;16.545;6.869;27.332;15.241;8.270;29.979;14.314;10.829;30.387;0.000;0.000;0.000;-7.658;-12.215;-0.867;-9.941;-33.048;0.436;-12.621;-57.503;1.966;-11.717;-101.728;-5.448;7.546;-12.402;-1.286;9.413;-33.198;0.257;11.605;-57.610;2.069;10.940;-102.043;-6.281
1000.000;40.000;0.047;7.242;-0.193;0.029;14.063;-0.266;-0.083;26.133;-0.257;-0.369;42.026;-0.681;-0.431;46.208;2.353;-0.025;52.638;3.430;-6.845;56.689;4.679;6.857;56.769;3.189;-2.472;58.795;11.703;4.071;58.833;10.992;-1.803;36.828;-2.172;-15.882;35.025;-1.018;-20.953;22.131;-2.732;-26.558;7.880;-4.627;-23.235;5.277;7.608;-19.515;1.978;21.919;-20.144;0.304;22.643;-16.824;-2.419;28.883;-15.370;-2.665;30.880;-13.443;-3.190;32.562;-12.127;-3.218;33.594;-20.152;1.137;22.791;-17.867;-0.159;29.876;-15.287;-0.386;33.117;-12.856;-0.382;34.844;-11.054;-0.422;35.811;-19.360;2.352;22.503;-17.581;2.406;30.429;-15.230;2.067;33.756;-12.213;1.755;35.323;-10.271;1.522;36.254;-19.488;3.420;22.392;-17.275;4.801;29.918;-14.794;4.702;32.897;-12.559;4.438;34.622;-10.830;3.988;35.657;-18.280;4.099;23.985;-17.336;7.165;25.580;-15.737;8.134;27.441;-15.225;10.709;28.396;1.420;36.891;-1.996;15.514;34.398;0.246;20.864;20.830;-1.200;26.777;5.834;-2.798;22.649;3.923;9.290;17.864;1.117;23.975;17.529;-0.735;24.748;15.456;-3.081;30.798;13.906;-4.417;33.070;12.087;-4.910;34.579;10.648;-5.169;35.457;17.643;0.145;24.970;16.454;-0.911;31.541;13.667;-1.561;34.969;10.552;-1.464;36.207;8.566;-1.210;36.833;17.126;1.394;25.315;16.602;1.388;32.347;13.859;0.929;36.150;10.921;1.133;37.092;8.749;1.348;37.221;17.218;2.307;25.232;16.383;3.939;32.158;14.038;4.059;35.245;11.810;3.794;36.604;9.735;3.681;37.409;16.797;3.306;25.739;16.185;6.669;27.447;14.646;7.731;30.178;13.312;10.036;30.872;0.000;0.000;0.000;-7.661;-12.213;-0.868;-9.948;-33.048;0.432;-12.632;-57.507;1.959;-11.741;-101.734;-5.466;7.543;-12.404;-1.291;9.405;-33.201;0.248;11.591;-57.615;2.055;10.912;-102.045;-6.300
1001.000;40.040;0.047;7.239;-0.197;0.032;14.057;-0.276;-0.069;26.121;-0.283;-0.351;42.014;-0.714;-0.404;46.203;2.331;0.024;52.639;3.425;-6.798;56.694;4.654;6.909;56.765;3.209;-2.446;58.792;11.694;4.099;58.827;11.004;-1.787;36.816;-2.202;-15.863;35.029;-1.032;-20.930;22.126;-2.706;-26.529;7.864;-4.557;-23.109;5.313;7.682;-19.373;2.225;22.049;-20.047;0.573;22.769;-16.806;-2.166;28.998;-15.190;-2.515;30.860;-12.802;-2.789;31.946;-11.237;-2.603;32.506;-20.070;1.405;22.919;-17.883;0.068;30.012;-15.043;-0.313;33.039;-12.196;-0.244;34.055;-10.204;-0.300;34.514;-19.169;2.660;22.613;-17.630;2.706;30.547;-15.133;2.271;33.805;-11.930;1.948;34.898;-9.849;1.698;35.444;-19.329;3.714;22.502;-17.297;5.094;30.029;-14.823;4.903;33.002;-12.511;4.606;34.602;-10.727;4.083;35.500;-18.155;4.292;24.154;-16.989;7.278;25.795;-15.349;8.142;27.694;-14.689;10.698;28.610;1.435;36.878;-2.027;15.527;34.387;0.204;20.910;20.829;-1.223;26.859;5.845;-2.799;22.581;3.811;9.245;17.719;0.980;23.963;17.462;-0.883;24.697;15.527;-3.478;30.650;13.967;-4.828;32.890;11.994;-5.262;34.263;10.492;-5.488;35.038;17.547;-0.008;24.945;16.479;-1.282;31.480;13.467;-2.096;34.675;10.231;-2.050;35.572;8.176;-1.775;35.887;16.987;1.163;25.329;16.538;1.021;32.311;13.637;0.340;35.955;10.650;0.438;36.716;8.474;0.625;36.629;17.043;2.079;25.262;16.164;3.535;32.178;13.738;3.403;35.196;11.516;3.009;36.484;9.422;2.767;37.206;16.552;3.025;25.871;15.496;6.192;27.723;13.768;6.802;30.527;12.027;8.689;31.517;0.000;0.000;0.000;-7.659;-12.215;-0.861;-9.951;-33.046;0.437;-12.641;-57.500;1.961;-11.765;-101.730;-5.470;7.545;-12.403;-1.287;9.402;-33.198;0.252;11.582;-57.611;2.058;10.891;-102.043;-6.297
1002.000;40.080;0.049;7.233;-0.199;0.040;14.046;-0.286;-0.047;26.101;-0.310;-0.329;41.993;-0.750;-0.366;46.188;2.300;0.108;52.626;3.404;-6.720;56.681;4.594;6.996;56.750;3.246;-2.417;58.761;11.670;4.133;58.794;11.026;-1.765;36.794;-2.235;-15.847;35.019;-1.016;-20.921;22.116;-2.585;-26.529;7.854;-4.320;-23.020;5.534;7.936;-19.175;2.735;22.330;-19.836;1.016;23.035;-16.606;-1.604;29.296;-14.932;-2.019;31.118;-12.372;-1.780;31.242;-10.952;-1.061;30.729;-19.825;1.852;23.162;-17.746;0.651;30.308;-14.907;0.357;33.303;-11.884;0.545;33.615;-9.891;0.652;33.167;-18.996;3.154;22.891;-17.510;3.336;30.828;-15.013;2.887;34.091;-11.713;2.533;34.717;-9.561;2.310;34.615;-19.165;4.210;22.765;-17.166;5.675;30.282;-14.733;5.458;33.243;-12.248;5.031;34.483;-10.314;4.468;34.936;-17.845;4.705;24.446;-16.322;7.536;26.189;-14.559;8.209;28.040;-13.522;10.650;28.919;1.457;36.856;-2.062;15.552;34.375;0.153;21.000;20.836;-1.232;27.022;5.871;-2.763;22.552;3.678;9.224;17.429;0.679;23.890;17.311;-1.200;24.561;15.646;-4.153;30.381;14.049;-5.565;32.574;11.986;-6.029;33.797;10.402;-6.232;34.397;17.349;-0.332;24.846;16.453;-1.951;31.295;13.419;-3.032;34.399;10.067;-3.172;34.971;7.984;-2.992;35.145;16.737;0.644;25.293;16.347;0.300;32.195;13.405;-0.673;35.713;10.415;-0.865;36.375;8.237;-0.804;36.198;16.683;1.563;25.250;15.774;2.785;32.175;13.319;2.389;35.132;11.089;1.735;36.334;9.028;1.255;37.033;16.151;2.467;25.869;14.409;5.211;28.053;12.627;5.291;30.919;10.522;6.617;32.095;0.000;0.000;0.000;-7.661;-12.214;-0.863;-9.954;-33.046;0.431;-12.647;-57.501;1.949;-11.777;-101.731;-5.479;7.543;-12.404;-1.284;9.395;-33.200;0.249;11.569;-57.612;2.049;10.870;-102.038;-6.324
