Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1697.000;67.880;0.041;7.153;-0.091;0.083;13.885;-0.274;0.160;25.795;-0.724;-0.099;41.649;-1.911;-0.063;45.984;0.845;0.387;52.506;1.387;-6.371;56.618;2.766;7.293;56.580;0.963;-1.822;58.731;9.675;4.703;58.713;8.815;-1.588;36.391;-3.106;-15.729;34.617;-1.719;-20.521;21.430;-2.560;-25.818;6.854;-3.490;-24.193;7.144;9.130;-22.538;7.433;23.998;-23.101;5.868;24.649;-20.684;2.921;31.162;-20.239;2.215;33.470;-20.065;0.927;35.666;-19.789;0.505;37.260;-23.130;6.699;24.803;-21.321;5.345;32.037;-19.955;4.972;35.849;-19.111;4.795;38.683;-18.493;4.570;40.619;-22.560;7.843;24.601;-21.037;7.869;32.733;-19.426;7.653;36.493;-18.296;7.636;39.617;-17.739;7.481;41.704;-22.658;8.915;24.497;-20.739;10.303;32.355;-19.018;10.489;35.869;-17.837;10.599;38.378;-16.916;10.341;40.207;-21.503;9.581;26.156;-20.932;12.650;28.177;-19.776;14.232;30.155;-20.889;16.698;30.854;1.638;36.449;-3.026;15.860;33.770;-1.228;20.762;20.065;-2.132;26.180;4.917;-3.131;23.890;5.578;9.360;21.512;6.074;24.614;21.610;4.478;25.749;20.612;2.823;32.257;20.205;1.698;34.943;19.547;0.907;37.154;19.011;0.343;38.672;21.703;5.384;25.829;21.359;5.185;32.493;20.615;4.937;36.779;19.877;4.660;40.022;19.416;4.646;42.068;21.029;6.503;25.943;21.530;7.572;33.023;20.956;7.897;37.608;20.453;8.111;40.567;20.059;8.409;42.696;20.979;7.393;25.712;20.920;10.115;32.638;19.905;11.140;36.331;19.530;11.684;38.853;19.168;12.098;41.013;20.501;8.380;26.205;20.362;11.856;27.831;20.208;13.742;30.475;19.818;16.466;30.448;0.000;0.000;0.000;-7.649;-12.219;-0.887;-9.576;-33.103;-0.960;-11.838;-57.618;-1.045;-10.795;-101.808;-10.160;7.526;-12.332;-1.920;9.245;-33.230;-1.706;11.263;-57.763;-1.455;9.990;-102.062;-10.945
1698.000;67.920;0.041;7.152;-0.092;0.082;13.885;-0.276;0.157;25.794;-0.727;-0.100;41.649;-1.906;-0.064;45.984;0.857;0.389;52.507;1.411;-6.366;56.620;2.798;7.298;56.578;0.997;-1.817;58.715;9.713;4.708;58.695;8.853;-1.589;36.391;-3.104;-15.729;34.619;-1.726;-20.525;21.435;-2.591;-25.826;6.863;-3.547;-24.224;7.143;9.074;-22.597;7.419;23.943;-23.162;5.859;24.592;-20.736;2.893;31.101;-20.262;2.140;33.387;-20.018;0.792;35.551;-19.718;0.348;37.135;-23.194;6.690;24.748;-21.409;5.295;31.978;-20.101;4.779;35.802;-19.215;4.526;38.621;-18.559;4.227;40.535;-22.620;7.822;24.551;-21.111;7.840;32.674;-19.494;7.638;36.437;-18.358;7.623;39.551;-17.788;7.476;41.635;-22.716;8.895;24.448;-20.816;10.267;32.308;-19.106;10.441;35.827;-17.936;10.544;38.341;-17.019;10.269;40.171;-21.560;9.561;26.104;-20.990;12.631;28.130;-19.829;14.206;30.109;-20.937;16.673;30.812;1.638;36.450;-3.022;15.856;33.764;-1.221;20.749;20.059;-2.146;26.157;4.910;-3.170;23.860;5.545;9.322;21.471;6.009;24.576;21.569;4.416;25.709;20.573;2.738;32.214;20.170;1.607;34.895;19.501;0.809;37.103;18.965;0.244;38.621;21.663;5.321;25.792;21.323;5.101;32.452;20.581;4.836;36.741;19.846;4.558;39.978;19.374;4.528;42.021;20.991;6.431;25.907;21.492;7.486;32.987;20.918;7.802;37.574;20.415;8.007;40.531;20.012;8.298;42.660;20.939;7.322;25.680;20.887;10.023;32.612;19.870;11.032;36.307;19.493;11.555;38.838;19.125;11.951;41.000;20.447;8.308;26.160;20.315;11.782;27.811;20.158;13.662;30.458;19.765;16.385;30.438;0.000;0.000;0.000;-7.648;-12.220;-0.890;-9.573;-33.104;-0.960;-11.834;-57.620;-1.043;-10.775;-101.795;-10.195;7.528;-12.332;-1.915;9.248;-33.230;-1.698;11.267;-57.763;-1.443;10.004;-102.053;-10.974
1699.000;67.960;0.042;7.151;-0.093;0.085;13.882;-0.280;0.166;25.789;-0.737;-0.084;41.644;-1.916;-0.048;45.981;0.851;0.408;52.506;1.415;-6.347;56.620;2.802;7.319;56.575;1.015;-1.804;58.702;9.725;4.722;58.680;8.871;-1.574;36.387;-3.116;-15.715;34.620;-1.753;-20.518;21.441;-2.637;-25.826;6.875;-3.615;-24.260;7.154;9.008;-22.677;7.430;23.879;-23.247;5.862;24.523;-20.801;2.878;31.024;-20.298;2.074;33.283;-19.968;0.641;35.392;-19.616;0.166;36.956;-23.274;6.693;24.679;-21.528;5.281;31.910;-20.259;4.646;35.743;-19.320;4.299;38.540;-18.627;3.940;40.431;-22.695;7.836;24.492;-21.168;7.862;32.604;-19.582;7.670;36.358;-18.367;7.681;39.468;-17.803;7.545;41.555;-22.794;8.911;24.390;-20.909;10.273;32.253;-19.204;10.422;35.774;-18.038;10.517;38.291;-17.128;10.213;40.120;-21.645;9.570;26.044;-21.079;12.645;28.067;-19.904;14.212;30.050;-21.012;16.677;30.762;1.652;36.444;-3.032;15.866;33.751;-1.226;20.746;20.042;-2.165;26.139;4.890;-3.203;23.842;5.510;9.290;21.457;5.953;24.544;21.559;4.359;25.673;20.560;2.668;32.178;20.162;1.531;34.856;19.484;0.728;37.059;18.946;0.163;38.576;21.654;5.264;25.758;21.315;5.031;32.417;20.579;4.756;36.705;19.833;4.466;39.946;19.384;4.424;41.995;20.975;6.363;25.883;21.476;7.411;32.961;20.902;7.716;37.548;20.389;7.918;40.504;19.985;8.206;42.633;20.919;7.254;25.657;20.874;9.949;32.591;19.844;10.947;36.282;19.459;11.446;38.819;19.088;11.834;40.982;20.435;8.249;26.136;20.306;11.720;27.791;20.164;13.597;30.442;19.759;16.318;30.421;0.000;0.000;0.000;-7.648;-12.219;-0.895;-9.571;-33.102;-0.970;-11.829;-57.617;-1.059;-10.754;-101.776;-10.236;7.529;-12.332;-1.910;9.251;-33.229;-1.693;11.273;-57.759;-1.438;10.022;-102.044;-11.005
1700.000;68.000;0.045;7.148;-0.094;0.093;13.877;-0.285;0.187;25.779;-0.754;-0.048;41.634;-1.938;-0.011;45.975;0.834;0.448;52.502;1.409;-6.307;56.616;2.793;7.361;56.569;1.022;-1.772;58.688;9.723;4.755;58.665;8.878;-1.542;36.378;-3.137;-15.682;34.623;-1.788;-20.497;21.450;-2.685;-25.818;6.891;-3.677;-24.297;7.180;8.950;-22.768;7.470;23.826;-23.352;5.919;24.474;-20.893;2.927;30.977;-20.342;2.074;33.205;-19.911;0.613;35.289;-19.503;0.121;36.834;-23.393;6.749;24.632;-21.654;5.324;31.860;-20.406;4.641;35.697;-19.398;4.259;38.472;-18.662;3.885;40.343;-22.777;7.894;24.434;-21.255;7.923;32.548;-19.623;7.780;36.274;-18.363;7.802;39.365;-17.755;7.695;41.440;-22.889;8.970;24.332;-21.025;10.321;32.200;-19.337;10.463;35.727;-18.168;10.553;38.244;-17.256;10.237;40.069;-21.737;9.612;25.998;-21.158;12.690;28.006;-19.974;14.258;29.989;-21.073;16.726;30.703;1.684;36.432;-3.050;15.892;33.725;-1.239;20.756;20.014;-2.187;26.132;4.859;-3.236;23.846;5.470;9.260;21.475;5.900;24.515;21.574;4.295;25.640;20.584;2.608;32.146;20.179;1.470;34.826;19.499;0.672;37.029;18.959;0.097;38.542;21.667;5.201;25.725;21.341;4.977;32.387;20.617;4.700;36.675;19.855;4.405;39.920;19.408;4.364;41.968;20.994;6.307;25.854;21.509;7.349;32.931;20.936;7.659;37.518;20.409;7.864;40.473;19.990;8.146;42.599;20.940;7.199;25.628;20.896;9.900;32.567;19.871;10.871;36.263;19.474;11.354;38.801;19.107;11.738;40.965;20.479;8.200;26.121;20.333;11.671;27.760;20.192;13.546;30.426;19.778;16.266;30.398;0.000;0.000;0.000;-7.651;-12.217;-0.901;-9.569;-33.101;-0.980;-11.822;-57.616;-1.074;-10.730;-101.771;-10.264;7.527;-12.334;-1.905;9.256;-33.225;-1.691;11.286;-57.750;-1.440;10.044;-102.038;-11.044
1701.000;68.040;0.049;7.147;-0.095;0.103;13.874;-0.290;0.212;25.773;-0.769;-0.002;41.628;-1.956;0.036;45.973;0.819;0.496;52.504;1.400;-6.260;56.618;2.778;7.410;56.570;1.027;-1.735;58.683;9.717;4.794;58.660;8.881;-1.501;36.373;-3.156;-15.643;34.633;-1.822;-20.469;21.467;-2.724;-25.804;6.914;-3.722;-24.331;7.226;8.911;-22.860;7.543;23.791;-23.455;6.000;24.447;-20.991;3.024;30.965;-20.394;2.158;33.171;-19.826;0.751;35.279;-19.366;0.262;36.811;-23.498;6.830;24.603;-21.762;5.409;31.837;-20.552;4.731;35.679;-19.472;4.357;38.432;-18.687;3.981;40.282;-22.865;7.963;24.400;-21.383;8.019;32.509;-19.705;7.895;36.213;-18.406;7.936;39.278;-17.745;7.844;41.339;-22.968;9.026;24.294;-21.171;10.412;32.159;-19.514;10.566;35.697;-18.360;10.630;38.231;-17.476;10.324;40.072;-21.849;9.695;25.969;-21.241;12.771;27.958;-20.051;14.339;29.941;-21.131;16.817;30.648;1.725;36.424;-3.066;15.926;33.703;-1.245;20.772;19.986;-2.197;26.128;4.826;-3.249;23.858;5.432;9.250;21.503;5.856;24.511;21.602;4.251;25.636;20.631;2.552;32.137;20.231;1.410;34.817;19.561;0.609;37.016;19.011;0.039;38.527;21.697;5.157;25.721;21.389;4.922;32.380;20.677;4.642;36.670;19.894;4.353;39.912;19.441;4.300;41.959;21.030;6.261;25.851;21.557;7.299;32.927;20.962;7.603;37.513;20.392;7.814;40.460;19.944;8.090;42.582;20.977;7.153;25.626;20.941;9.844;32.568;19.901;10.787;36.275;19.500;11.249;38.805;19.105;11.613;40.968;20.541;8.155;26.110;20.363;11.628;27.757;20.191;13.494;30.429;19.778;16.214;30.407;0.000;0.000;0.000;-7.655;-12.214;-0.907;-9.571;-33.100;-0.987;-11.822;-57.617;-1.082;-10.714;-101.771;-10.286;7.524;-12.337;-1.899;9.257;-33.223;-1.689;11.290;-57.742;-1.442;10.062;-102.030;-11.065
1702.000;68.080;0.052;7.145;-0.096;0.115;13.870;-0.295;0.242;25.766;-0.783;0.050;41.621;-1.973;0.089;45.970;0.806;0.551;52.506;1.388;-6.206;56.623;2.756;7.468;56.569;1.032;-1.693;58.679;9.706;4.837;58.654;8.882;-1.456;36.368;-3.173;-15.603;34.645;-1.851;-20.441;21.484;-2.752;-25.788;6.938;-3.747;-24.370;7.294;8.888;-22.959;7.665;23.773;-23.560;6.121;24.436;-21.097;3.177;30.978;-20.407;2.372;33.180;-19.546;1.044;35.244;-18.886;0.634;36.724;-23.603;6.952;24.588;-21.913;5.557;31.834;-20.668;4.868;35.668;-19.433;4.517;38.351;-18.485;4.152;40.126;-22.986;8.066;24.381;-21.518;8.185;32.482;-19.836;8.073;36.181;-18.473;8.170;39.225;-17.769;8.091;41.271;-23.075;9.121;24.269;-21.324;10.571;32.136;-19.699;10.722;35.689;-18.570;10.776;38.228;-17.703;10.472;40.077;-21.941;9.814;25.936;-21.328;12.906;27.931;-20.090;14.451;29.918;-21.121;16.953;30.614;1.771;36.415;-3.080;15.964;33.679;-1.250;20.796;19.957;-2.195;26.137;4.791;-3.239;23.877;5.383;9.265;21.533;5.795;24.532;21.625;4.181;25.653;20.665;2.481;32.154;20.268;1.337;34.833;19.588;0.529;37.033;19.033;-0.040;38.542;21.718;5.086;25.736;21.421;4.846;32.401;20.698;4.566;36.690;19.900;4.277;39.921;19.417;4.226;41.962;21.069;6.199;25.871;21.605;7.240;32.944;20.956;7.522;37.535;20.344;7.708;40.471;19.843;7.988;42.580;21.015;7.091;25.648;20.994;9.771;32.584;19.930;10.687;36.297;19.470;11.123;38.814;18.996;11.454;40.967;20.584;8.095;26.138;20.394;11.564;27.781;20.224;13.429;30.446;19.787;16.145;30.428;0.000;0.000;0.000;-7.657;-12.213;-0.913;-9.571;-33.099;-0.993;-11.819;-57.617;-1.086;-10.694;-101.756;-10.306;7.522;-12.339;-1.893;9.258;-33.223;-1.688;11.294;-57.740;-1.447;10.080;-102.024;-11.083
1703.000;68.120;0.056;7.143;-0.096;0.126;13.866;-0.297;0.273;25.758;-0.794;0.095;41.613;-1.987;0.137;45.967;0.797;0.605;52.509;1.385;-6.150;56.633;2.741;7.527;56.564;1.040;-1.646;58.687;9.698;4.885;58.654;8.885;-1.414;36.362;-3.187;-15.562;34.651;-1.871;-20.413;21.495;-2.769;-25.775;6.954;-3.762;-24.415;7.398;8.876;-23.076;7.872;23.765;-23.685;6.333;24.445;-21.205;3.459;31.011;-20.352;2.739;33.208;-18.921;1.718;35.059;-17.764;1.563;36.257;-23.729;7.165;24.592;-22.070;5.825;31.840;-20.655;5.115;35.629;-18.985;4.834;38.075;-17.685;4.513;39.621;-23.106;8.292;24.361;-21.698;8.440;32.450;-19.880;8.403;36.099;-18.361;8.524;39.083;-17.581;8.445;41.102;-23.214;9.360;24.239;-21.479;10.837;32.102;-19.896;10.984;35.673;-18.824;11.012;38.238;-17.987;10.733;40.105;-22.004;10.011;25.907;-21.298;13.113;27.899;-19.912;14.574;29.869;-20.778;17.101;30.688;1.812;36.405;-3.092;16.000;33.658;-1.253;20.832;19.933;-2.182;26.172;4.763;-3.209;23.910;5.331;9.301;21.559;5.715;24.578;21.654;4.094;25.690;20.699;2.390;32.191;20.300;1.236;34.865;19.602;0.422;37.053;19.041;-0.150;38.559;21.747;5.000;25.775;21.460;4.755;32.438;20.733;4.446;36.726;19.905;4.168;39.946;19.376;4.124;41.976;21.083;6.120;25.926;21.629;7.136;32.992;20.985;7.364;37.582;20.250;7.528;40.499;19.681;7.781;42.594;21.031;7.012;25.706;21.033;9.658;32.629;19.929;10.515;36.345;19.376;10.900;38.838;18.779;11.196;40.965;20.614;8.005;26.174;20.421;11.476;27.841;20.221;13.331;30.506;19.781;16.047;30.502;0.000;0.000;0.000;-7.659;-12.211;-0.920;-9.569;-33.097;-1.000;-11.812;-57.615;-1.094;-10.672;-101.750;-10.320;7.521;-12.340;-1.893;9.257;-33.228;-1.692;11.295;-57.750;-1.457;10.101;-102.019;-11.097
1704.000;68.160;0.059;7.141;-0.096;0.136;13.862;-0.297;0.300;25.750;-0.796;0.126;41.605;-1.979;0.172;45.961;0.808;0.657;52.507;1.399;-6.096;56.638;2.751;7.583;56.556;1.060;-1.595;58.684;9.712;4.936;58.645;8.905;-1.384;36.355;-3.183;-15.528;34.653;-1.866;-20.421;21.518;-2.740;-25.828;7.000;-3.705;-24.484;7.592;8.927;-23.168;8.257;23.814;-23.751;6.673;24.507;-21.202;3.944;31.113;-20.296;3.326;33.279;-18.041;2.919;34.527;-16.477;3.308;34.972;-23.786;7.508;24.639;-22.161;6.264;31.912;-20.426;5.634;35.593;-18.054;5.562;37.450;-16.254;5.427;38.412;-23.188;8.697;24.385;-21.822;8.952;32.469;-19.838;8.913;36.038;-18.187;9.058;38.939;-17.260;9.041;40.896;-23.323;9.759;24.253;-21.634;11.311;32.086;-20.112;11.478;35.693;-19.050;11.554;38.278;-18.253;11.228;40.155;-22.082;10.416;25.950;-21.004;13.464;27.864;-19.295;14.613;29.818;-19.569;17.151;30.954;1.842;36.397;-3.087;16.030;33.650;-1.243;20.879;19.925;-2.152;26.238;4.755;-3.157;23.949;5.260;9.363;21.562;5.566;24.658;21.663;3.927;25.739;20.708;2.188;32.232;20.284;1.009;34.896;19.550;0.194;37.075;18.968;-0.371;38.575;21.746;4.832;25.831;21.482;4.551;32.490;20.715;4.205;36.775;19.776;3.906;39.956;19.136;3.841;41.952;21.077;5.973;26.014;21.637;6.910;33.077;20.887;7.000;37.668;19.919;7.051;40.524;19.132;7.255;42.553;21.029;6.868;25.802;21.027;9.417;32.731;19.834;10.165;36.437;19.054;10.414;38.896;18.289;10.590;40.982;20.605;7.846;26.273;20.355;11.295;27.970;20.118;13.085;30.672;19.551;15.776;30.759;0.000;0.000;0.000;-7.661;-12.209;-0.923;-9.566;-33.096;-1.005;-11.801;-57.616;-1.100;-10.645;-101.750;-10.326;7.519;-12.341;-1.890;9.262;-33.230;-1.694;11.308;-57.751;-1.464;10.124;-102.018;-11.104
1705.000;68.200;0.063;7.140;-0.095;0.146;13.860;-0.296;0.321;25.747;-0.793;0.141;41.604;-1.954;0.185;45.960;0.837;0.675;52.514;1.423;-6.077;56.649;2.767;7.604;56.559;1.092;-1.583;58.692;9.734;4.950;58.649;8.934;-1.365;36.355;-3.167;-15.503;34.647;-1.847;-20.532;21.558;-2.578;-26.091;7.092;-3.386;-24.633;7.986;9.200;-23.189;9.012;24.036;-23.735;7.390;24.781;-20.982;4.972;31.436;-19.874;4.522;33.582;-17.302;4.883;33.512;-16.085;5.680;32.687;-23.751;8.230;24.881;-21.983;7.236;32.199;-19.647;6.763;35.560;-16.710;6.976;36.309;-14.674;7.162;36.254;-23.228;9.484;24.579;-21.713;9.945;32.649;-19.701;10.042;36.206;-17.994;10.237;39.073;-17.039;10.259;41.017;-23.374;10.544;24.424;-21.554;12.294;32.185;-20.152;12.574;35.822;-19.159;12.678;38.436;-18.410;12.439;40.345;-22.129;11.263;26.125;-20.460;14.114;27.884;-18.383;14.807;29.828;-17.934;17.197;31.205;1.861;36.399;-3.068;16.045;33.669;-1.206;20.934;19.950;-2.087;26.338;4.786;-3.062;24.003;5.163;9.470;21.556;5.319;24.788;21.666;3.621;25.815;20.625;1.786;32.273;20.108;0.596;34.912;19.252;-0.203;37.047;18.558;-0.767;38.500;21.729;4.527;25.917;21.415;4.124;32.598;20.447;3.703;36.829;19.132;3.354;39.879;18.252;3.268;41.781;21.079;5.689;26.147;21.536;6.493;33.233;20.474;6.357;37.780;19.018;6.266;40.421;17.836;6.383;42.255;21.026;6.588;25.953;20.907;8.984;32.909;19.529;9.502;36.560;18.360;9.503;38.894;17.270;9.490;40.838;20.540;7.556;26.436;20.094;10.977;28.177;19.489;12.510;31.021;18.641;15.092;31.457;0.000;0.000;0.000;-7.667;-12.205;-0.932;-9.572;-33.093;-1.008;-11.809;-57.613;-1.097;-10.644;-101.757;-10.311;7.514;-12.345;-1.884;9.257;-33.229;-1.685;11.303;-57.746;-1.451;10.129;-102.014;-11.092
