Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1396.000;55.840;0.000;7.209;-0.135;-0.034;13.996;-0.286;-0.139;26.002;-0.586;-0.537;41.888;-1.138;-0.640;46.129;1.902;-0.397;52.617;2.973;-7.271;56.637;4.007;6.471;56.777;2.956;-3.134;58.752;11.170;3.428;58.820;10.668;-1.951;36.669;-2.572;-16.033;34.652;-1.460;-21.150;21.783;-3.430;-26.804;7.559;-5.606;-23.326;5.793;6.760;-19.389;3.709;21.344;-20.134;2.112;21.832;-18.093;-1.096;28.109;-16.806;-1.310;30.243;-15.349;-1.944;32.273;-14.266;-1.930;33.548;-20.180;2.930;22.043;-19.174;1.016;29.109;-16.583;0.589;32.319;-14.569;0.351;34.472;-13.180;0.037;35.939;-19.470;3.999;21.999;-18.839;3.592;29.756;-16.199;3.179;32.764;-13.972;2.862;35.257;-12.653;2.626;36.958;-19.556;5.116;21.927;-18.353;6.036;29.619;-15.607;5.632;32.349;-13.603;5.329;34.270;-12.084;4.782;35.557;-18.385;5.475;23.520;-17.880;8.248;25.932;-16.710;9.270;28.315;-17.407;11.543;29.783;1.273;36.754;-2.428;15.436;34.230;-0.425;20.655;20.715;-2.395;26.424;5.777;-4.572;22.337;4.387;7.632;17.679;2.340;22.545;17.509;0.493;23.271;16.841;-2.102;29.301;15.577;-3.116;31.872;13.799;-3.283;33.551;12.416;-3.304;34.549;17.687;1.356;23.510;18.171;-0.048;29.900;16.019;-0.753;33.707;13.443;-0.873;35.833;11.743;-0.780;37.057;17.289;2.568;24.106;18.477;2.236;30.687;16.059;2.129;34.655;13.758;2.209;36.614;12.000;2.354;37.905;17.386;3.480;24.022;18.091;4.867;30.574;15.258;4.892;33.336;13.273;4.747;34.987;11.415;4.620;36.211;17.048;4.323;24.430;17.162;7.422;26.726;16.712;8.053;30.051;15.830;9.971;31.817;0.000;0.000;0.000;-7.580;-12.256;-0.968;-9.583;-33.099;-0.260;-11.934;-57.566;0.571;-10.685;-101.704;-7.391;7.619;-12.323;-1.583;9.405;-33.178;-0.610;11.502;-57.661;0.532;10.573;-102.006;-8.479
1397.000;55.880;0.000;7.209;-0.137;-0.035;13.996;-0.290;-0.144;26.002;-0.595;-0.545;41.888;-1.149;-0.645;46.131;1.892;-0.398;52.619;2.963;-7.270;56.640;4.005;6.471;56.779;2.941;-3.126;58.752;11.164;3.436;58.819;10.657;-1.958;36.668;-2.582;-16.038;34.650;-1.467;-21.153;21.781;-3.432;-26.806;7.556;-5.605;-23.331;5.796;6.764;-19.400;3.718;21.350;-20.141;2.127;21.840;-18.089;-1.076;28.115;-16.816;-1.286;30.255;-15.344;-1.921;32.281;-14.267;-1.906;33.559;-20.192;2.945;22.051;-19.182;1.027;29.115;-16.574;0.610;32.314;-14.547;0.376;34.460;-13.151;0.077;35.924;-19.474;4.006;22.005;-18.841;3.604;29.762;-16.205;3.192;32.761;-13.953;2.884;35.237;-12.618;2.641;36.924;-19.557;5.121;21.932;-18.354;6.047;29.621;-15.609;5.649;32.347;-13.595;5.343;34.261;-12.073;4.805;35.548;-18.387;5.487;23.526;-17.888;8.262;25.930;-16.709;9.283;28.326;-17.411;11.562;29.781;1.266;36.754;-2.439;15.431;34.230;-0.441;20.649;20.715;-2.411;26.417;5.776;-4.588;22.343;4.391;7.619;17.701;2.351;22.537;17.528;0.499;23.265;16.857;-2.080;29.304;15.601;-3.098;31.868;13.829;-3.263;33.549;12.447;-3.281;34.549;17.704;1.363;23.503;18.203;-0.025;29.897;16.052;-0.723;33.706;13.476;-0.846;35.832;11.778;-0.747;37.060;17.317;2.575;24.094;18.499;2.246;30.677;16.093;2.147;34.652;13.794;2.230;36.609;12.032;2.378;37.894;17.411;3.486;24.009;18.115;4.884;30.567;15.294;4.910;33.330;13.307;4.767;34.984;11.449;4.642;36.208;17.062;4.339;24.431;17.189;7.437;26.714;16.758;8.068;30.050;15.848;9.989;31.797;0.000;0.000;0.000;-7.580;-12.257;-0.965;-9.584;-33.097;-0.256;-11.936;-57.562;0.575;-10.689;-101.703;-7.385;7.619;-12.324;-1.580;9.405;-33.178;-0.607;11.501;-57.660;0.534;10.571;-102.003;-8.478
1398.000;55.920;0.000;7.209;-0.138;-0.037;13.995;-0.294;-0.149;26.000;-0.603;-0.552;41.886;-1.157;-0.652;46.129;1.883;-0.402;52.619;2.954;-7.273;56.639;4.004;6.466;56.778;2.926;-3.122;58.751;11.160;3.439;58.817;10.645;-1.964;36.666;-2.590;-16.044;34.647;-1.474;-21.162;21.778;-3.442;-26.818;7.555;-5.616;-23.343;5.794;6.753;-19.412;3.714;21.340;-20.152;2.131;21.832;-18.103;-1.074;28.106;-16.820;-1.287;30.239;-15.358;-1.921;32.268;-14.269;-1.903;33.537;-20.203;2.949;22.043;-19.194;1.037;29.110;-16.578;0.609;32.295;-14.541;0.387;34.441;-13.146;0.078;35.904;-19.487;4.006;21.995;-18.848;3.607;29.750;-16.216;3.194;32.750;-13.949;2.890;35.217;-12.610;2.649;36.902;-19.571;5.121;21.922;-18.365;6.046;29.611;-15.621;5.647;32.335;-13.615;5.341;34.255;-12.081;4.801;35.527;-18.392;5.484;23.512;-17.893;8.261;25.921;-16.712;9.285;28.308;-17.416;11.562;29.767;1.259;36.753;-2.447;15.426;34.228;-0.452;20.640;20.712;-2.422;26.403;5.773;-4.599;22.336;4.392;7.613;17.702;2.355;22.535;17.508;0.480;23.251;16.859;-2.071;29.304;15.608;-3.083;31.871;13.842;-3.245;33.556;12.456;-3.267;34.552;17.671;1.349;23.485;18.211;-0.022;29.892;16.070;-0.708;33.710;13.489;-0.832;35.832;11.795;-0.730;37.065;17.324;2.585;24.088;18.526;2.268;30.674;16.098;2.163;34.643;13.813;2.244;36.614;12.056;2.394;37.905;17.421;3.497;24.003;18.143;4.889;30.559;15.319;4.945;33.330;13.330;4.789;34.984;11.471;4.661;36.207;17.072;4.351;24.435;17.200;7.451;26.705;16.767;8.079;30.039;15.873;10.000;31.795;0.000;0.000;0.000;-7.580;-12.257;-0.963;-9.584;-33.097;-0.252;-11.937;-57.561;0.582;-10.689;-101.704;-7.380;7.619;-12.324;-1.578;9.405;-33.178;-0.604;11.501;-57.660;0.539;10.569;-102.002;-8.473
1399.000;55.960;0.000;7.209;-0.140;-0.037;13.994;-0.298;-0.149;25.999;-0.611;-0.552;41.885;-1.167;-0.651;46.128;1.874;-0.402;52.617;2.944;-7.272;56.638;3.998;6.466;56.777;2.909;-3.115;58.752;11.150;3.446;58.819;10.629;-1.964;36.665;-2.599;-16.045;34.647;-1.482;-21.164;21.778;-3.450;-26.821;7.555;-5.626;-23.351;5.791;6.746;-19.426;3.708;21.337;-20.157;2.123;21.825;-18.124;-1.076;28.099;-16.846;-1.283;30.239;-15.385;-1.926;32.253;-14.284;-1.901;33.511;-20.208;2.941;22.035;-19.211;1.029;29.102;-16.585;0.598;32.281;-14.542;0.382;34.426;-13.152;0.060;35.890;-19.504;4.003;21.986;-18.866;3.594;29.741;-16.226;3.180;32.741;-13.936;2.880;35.196;-12.606;2.637;36.888;-19.581;5.111;21.915;-18.385;6.035;29.607;-15.643;5.638;32.326;-13.609;5.331;34.227;-12.072;4.784;35.493;-18.438;5.477;23.500;-17.899;8.253;25.929;-16.723;9.279;28.278;-17.403;11.534;29.782;1.259;36.752;-2.456;15.425;34.227;-0.463;20.635;20.709;-2.431;26.395;5.768;-4.606;22.331;4.392;7.607;17.702;2.362;22.531;17.505;0.486;23.249;16.861;-2.069;29.298;15.610;-3.075;31.868;13.842;-3.230;33.556;12.455;-3.260;34.549;17.669;1.354;23.484;18.215;-0.009;29.891;16.065;-0.694;33.701;13.491;-0.819;35.828;11.799;-0.722;37.063;17.323;2.585;24.084;18.532;2.278;30.674;16.095;2.157;34.636;13.805;2.241;36.608;12.054;2.394;37.907;17.417;3.497;24.000;18.120;4.889;30.560;15.344;4.935;33.340;13.358;4.790;35.004;11.503;4.668;36.233;17.076;4.355;24.426;17.196;7.452;26.699;16.763;8.085;30.026;15.875;10.001;31.791;0.000;0.000;0.000;-7.580;-12.257;-0.960;-9.588;-33.097;-0.246;-11.945;-57.561;0.592;-10.705;-101.700;-7.371;7.619;-12.324;-1.577;9.399;-33.179;-0.600;11.489;-57.662;0.546;10.543;-102.004;-8.465
1400.000;56.000;0.000;7.209;-0.142;-0.037;13.996;-0.302;-0.149;26.002;-0.619;-0.555;41.887;-1.177;-0.654;46.132;1.863;-0.406;52.623;2.931;-7.277;56.642;3.987;6.461;56.784;2.889;-3.115;58.762;11.134;3.445;58.830;10.610;-1.967;36.667;-2.608;-16.047;34.649;-1.486;-21.161;21.779;-3.455;-26.814;7.554;-5.632;-23.351;5.791;6.740;-19.435;3.710;21.331;-20.176;2.113;21.818;-18.116;-1.088;28.087;-16.833;-1.288;30.232;-15.378;-1.937;32.244;-14.283;-1.929;33.508;-20.221;2.931;22.029;-19.221;1.008;29.098;-16.583;0.589;32.266;-14.524;0.370;34.404;-13.132;0.025;35.862;-19.499;4.018;21.982;-18.894;3.602;29.745;-16.210;3.181;32.726;-13.907;2.856;35.148;-12.528;2.620;36.800;-19.590;5.126;21.911;-18.396;6.032;29.601;-15.661;5.626;32.323;-13.588;5.311;34.188;-12.027;4.762;35.423;-18.424;5.477;23.495;-17.908;8.251;25.906;-16.734;9.274;28.286;-17.425;11.542;29.763;1.257;36.754;-2.466;15.424;34.233;-0.479;20.636;20.714;-2.443;26.397;5.773;-4.614;22.336;4.396;7.598;17.708;2.367;22.520;17.525;0.511;23.255;16.871;-2.076;29.286;15.621;-3.079;31.858;13.848;-3.237;33.546;12.465;-3.263;34.544;17.700;1.376;23.492;18.228;-0.009;29.883;16.071;-0.696;33.696;13.502;-0.826;35.821;11.801;-0.732;37.045;17.330;2.599;24.067;18.531;2.283;30.667;16.103;2.154;34.635;13.819;2.229;36.607;12.069;2.377;37.908;17.427;3.511;23.983;18.126;4.885;30.566;15.395;4.922;33.391;13.445;4.788;35.085;11.587;4.662;36.311;17.081;4.358;24.406;17.200;7.466;26.689;16.766;8.088;30.027;15.849;10.006;31.773;0.000;0.000;0.000;-7.580;-12.257;-0.955;-9.589;-33.096;-0.241;-11.947;-57.558;0.597;-10.714;-101.697;-7.365;7.618;-12.324;-1.576;9.397;-33.178;-0.598;11.485;-57.659;0.549;10.535;-102.005;-8.454
1401.000;56.040;0.000;7.208;-0.142;-0.037;13.994;-0.303;-0.150;25.999;-0.620;-0.555;41.884;-1.176;-0.656;46.129;1.863;-0.409;52.623;2.927;-7.279;56.645;3.981;6.459;56.784;2.878;-3.115;58.771;11.125;3.446;58.837;10.598;-1.967;36.664;-2.608;-16.049;34.647;-1.487;-21.162;21.777;-3.460;-26.812;7.552;-5.639;-23.352;5.790;6.735;-19.439;3.711;21.330;-20.187;2.123;21.814;-18.122;-1.102;28.082;-16.838;-1.318;30.218;-15.352;-1.957;32.223;-14.247;-1.955;33.479;-20.239;2.941;22.024;-19.206;0.999;29.096;-16.595;0.564;32.275;-14.499;0.337;34.372;-13.078;0.007;35.805;-19.502;4.018;21.984;-18.873;3.601;29.734;-16.210;3.156;32.727;-13.878;2.848;35.112;-12.440;2.579;36.710;-19.591;5.126;21.913;-18.397;6.034;29.598;-15.652;5.638;32.315;-13.558;5.285;34.158;-11.981;4.733;35.371;-18.428;5.477;23.495;-17.912;8.255;25.893;-16.740;9.279;28.287;-17.413;11.562;29.750;1.256;36.751;-2.466;15.423;34.232;-0.478;20.637;20.715;-2.439;26.401;5.774;-4.607;22.338;4.395;7.602;17.713;2.364;22.515;17.530;0.500;23.247;16.856;-2.084;29.284;15.600;-3.079;31.864;13.833;-3.244;33.542;12.448;-3.258;34.539;17.705;1.365;23.485;18.216;-0.027;29.882;16.067;-0.725;33.696;13.473;-0.834;35.808;11.775;-0.737;37.036;17.337;2.582;24.056;18.525;2.256;30.677;16.092;2.115;34.639;13.808;2.190;36.604;12.054;2.319;37.902;17.430;3.494;23.974;18.151;4.849;30.591;15.444;4.918;33.471;13.498;4.721;35.155;11.664;4.564;36.412;17.077;4.356;24.417;17.212;7.463;26.686;16.804;8.088;30.031;15.864;9.995;31.777;0.000;0.000;0.000;-7.580;-12.257;-0.955;-9.591;-33.096;-0.237;-11.953;-57.558;0.606;-10.724;-101.697;-7.355;7.618;-12.324;-1.575;9.395;-33.178;-0.593;11.479;-57.659;0.559;10.523;-102.005;-8.444
1402.000;56.080;0.000;7.208;-0.144;-0.037;13.993;-0.306;-0.150;25.997;-0.626;-0.559;41.883;-1.188;-0.660;46.128;1.849;-0.416;52.621;2.910;-7.286;56.642;3.966;6.451;56.782;2.853;-3.116;58.776;11.105;3.444;58.843;10.573;-1.970;36.662;-2.617;-16.053;34.636;-1.492;-21.161;21.764;-3.458;-26.807;7.536;-5.631;-23.340;5.783;6.740;-19.419;3.716;21.331;-20.158;2.113;21.808;-18.083;-1.094;28.107;-16.838;-1.401;30.222;-15.268;-2.072;32.163;-14.140;-2.090;33.397;-20.203;2.933;22.015;-19.207;1.008;29.101;-16.676;0.512;32.341;-14.474;0.280;34.343;-12.968;-0.062;35.684;-19.476;4.027;21.981;-18.856;3.609;29.750;-16.197;3.158;32.752;-13.805;2.804;35.070;-12.314;2.533;36.617;-19.569;5.136;21.911;-18.364;6.063;29.598;-15.612;5.653;32.308;-13.521;5.317;34.089;-11.844;4.734;35.142;-18.383;5.480;23.493;-17.886;8.271;25.891;-16.713;9.288;28.265;-17.377;11.571;29.734;1.253;36.750;-2.476;15.419;34.233;-0.490;20.637;20.716;-2.450;26.403;5.776;-4.617;22.347;4.398;7.592;17.733;2.368;22.503;17.554;0.518;23.246;16.864;-2.065;29.287;15.614;-3.071;31.853;13.846;-3.230;33.545;12.463;-3.250;34.544;17.738;1.382;23.483;18.227;-0.004;29.886;16.090;-0.713;33.697;13.497;-0.812;35.805;11.798;-0.717;37.031;17.350;2.597;24.037;18.539;2.267;30.670;16.151;2.113;34.651;13.848;2.186;36.612;12.089;2.309;37.902;17.448;3.509;23.955;18.174;4.839;30.601;15.575;4.915;33.546;13.629;4.696;35.252;11.814;4.547;36.536;17.094;4.360;24.392;17.229;7.469;26.679;16.816;8.103;30.009;15.900;10.017;31.762;0.000;0.000;0.000;-7.580;-12.257;-0.951;-9.594;-33.097;-0.230;-11.957;-57.561;0.617;-10.734;-101.699;-7.345;7.618;-12.325;-1.573;9.392;-33.181;-0.587;11.475;-57.664;0.569;10.512;-102.008;-8.434
1403.000;56.120;0.000;7.208;-0.147;-0.037;13.994;-0.311;-0.151;25.999;-0.636;-0.558;41.884;-1.203;-0.658;46.132;1.834;-0.407;52.627;2.894;-7.275;56.651;3.949;6.462;56.786;2.834;-3.104;58.786;11.087;3.456;58.851;10.554;-1.970;36.663;-2.631;-16.051;34.642;-1.506;-21.159;21.770;-3.470;-26.804;7.544;-5.641;-23.339;5.790;6.726;-19.424;3.722;21.310;-20.157;2.095;21.782;-18.086;-1.108;28.099;-16.876;-1.497;30.209;-15.214;-2.167;32.105;-14.088;-2.229;33.340;-20.187;2.916;21.985;-19.200;1.045;29.097;-16.754;0.507;32.379;-14.457;0.281;34.283;-12.874;-0.029;35.540;-19.499;4.012;21.965;-18.875;3.621;29.750;-16.202;3.168;32.755;-13.770;2.794;35.025;-12.236;2.530;36.531;-19.590;5.121;21.892;-18.381;6.065;29.592;-15.631;5.646;32.302;-13.478;5.294;34.049;-11.815;4.720;35.130;-18.378;5.490;23.475;-17.870;8.281;25.876;-16.677;9.300;28.267;-17.326;11.609;29.700;1.254;36.751;-2.489;15.420;34.232;-0.501;20.635;20.712;-2.454;26.398;5.770;-4.612;22.348;4.399;7.597;17.742;2.380;22.507;17.561;0.532;23.256;16.884;-2.041;29.306;15.633;-3.062;31.874;13.867;-3.228;33.563;12.487;-3.253;34.564;17.748;1.395;23.493;18.242;0.004;29.895;16.091;-0.697;33.699;13.515;-0.788;35.818;11.806;-0.702;37.031;17.358;2.599;24.035;18.547;2.272;30.675;16.179;2.135;34.675;13.858;2.198;36.623;12.087;2.339;37.896;17.456;3.511;23.952;18.221;4.846;30.619;15.650;4.915;33.621;13.741;4.713;35.346;11.939;4.532;36.644;17.120;4.366;24.407;17.238;7.483;26.684;16.797;8.138;29.995;15.881;10.041;31.759;0.000;0.000;0.000;-7.580;-12.258;-0.948;-9.596;-33.097;-0.224;-11.963;-57.561;0.626;-10.742;-101.697;-7.337;7.619;-12.326;-1.566;9.392;-33.180;-0.580;11.474;-57.660;0.578;10.513;-102.007;-8.427
1404.000;56.160;0.000;7.208;-0.147;-0.037;13.993;-0.313;-0.151;25.997;-0.641;-0.564;41.882;-1.211;-0.666;46.130;1.824;-0.419;52.624;2.881;-7.288;56.647;3.936;6.449;56.784;2.825;-3.119;58.779;11.076;3.441;58.844;10.545;-1.973;36.660;-2.639;-16.055;34.632;-1.521;-21.158;21.757;-3.486;-26.797;7.526;-5.658;-23.338;5.772;6.709;-19.428;3.707;21.292;-20.157;2.088;21.763;-18.090;-1.126;28.092;-16.904;-1.587;30.213;-15.154;-2.290;32.006;-13.986;-2.362;33.201;-20.187;2.908;21.967;-19.209;1.018;29.081;-16.836;0.424;32.411;-14.437;0.233;34.189;-12.728;-0.045;35.276;-19.485;4.005;21.950;-18.859;3.618;29.730;-16.206;3.177;32.755;-13.723;2.822;34.997;-12.198;2.542;36.509;-19.575;5.122;21.875;-18.378;6.055;29.567;-15.642;5.646;32.300;-13.496;5.284;34.061;-11.847;4.683;35.149;-18.396;5.484;23.473;-17.832;8.273;25.834;-16.583;9.284;28.204;-17.167;11.600;29.655;1.250;36.749;-2.496;15.415;34.234;-0.502;20.634;20.716;-2.449;26.402;5.774;-4.600;22.357;4.407;7.611;17.757;2.394;22.522;17.596;0.553;23.273;16.892;-2.027;29.320;15.653;-3.057;31.888;13.877;-3.222;33.575;12.496;-3.253;34.576;17.783;1.415;23.512;18.276;0.012;29.909;16.097;-0.672;33.717;13.521;-0.772;35.836;11.825;-0.675;37.067;17.379;2.602;24.047;18.570;2.308;30.699;16.203;2.152;34.695;13.874;2.216;36.637;12.099;2.350;37.905;17.472;3.514;23.965;18.240;4.866;30.639;15.672;4.938;33.648;13.743;4.708;35.374;11.955;4.555;36.695;17.128;4.389;24.450;17.229;7.504;26.696;16.757;8.163;30.019;15.835;10.090;31.754;0.000;0.000;0.000;-7.580;-12.258;-0.950;-9.598;-33.096;-0.223;-11.967;-57.559;0.630;-10.750;-101.698;-7.327;7.619;-12.325;-1.564;9.390;-33.180;-0.573;11.468;-57.661;0.591;10.502;-102.007;-8.416
