Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
703.000;28.120;0.020;7.234;-0.185;0.018;14.043;-0.397;-0.013;26.089;-0.821;-0.333;41.953;-1.861;-0.365;46.162;1.060;-0.079;52.444;2.153;-6.940;56.521;3.037;6.827;56.534;2.389;-2.993;58.505;10.344;3.581;58.511;10.034;-1.797;36.700;-3.110;-15.889;34.727;-1.567;-20.918;21.564;-2.196;-26.477;7.015;-2.890;-22.797;5.045;9.452;-18.641;2.661;24.018;-18.956;0.933;24.399;-15.681;-2.344;30.271;-14.563;-2.728;32.486;-13.524;-3.667;34.603;-12.790;-3.806;36.099;-19.122;1.710;24.692;-16.942;-0.486;31.505;-14.673;-0.807;34.922;-12.819;-0.907;37.233;-11.517;-1.042;38.804;-18.631;2.985;24.702;-16.999;1.937;32.482;-14.485;1.628;35.617;-11.925;1.476;37.852;-10.432;1.285;39.409;-18.942;3.998;24.764;-17.032;4.410;32.498;-14.311;4.219;35.250;-12.146;4.026;37.023;-10.475;3.597;38.157;-17.911;4.526;26.401;-17.636;7.240;28.848;-16.468;8.358;31.116;-17.481;10.443;32.676;1.429;36.771;-3.019;15.600;34.205;-1.028;20.793;20.487;-1.761;26.531;5.324;-2.571;22.554;4.549;9.667;17.991;3.208;24.637;17.542;1.520;25.489;15.612;-0.813;31.502;14.132;-1.794;33.953;12.437;-2.121;35.644;11.137;-2.231;36.742;17.796;2.363;25.735;16.837;1.196;32.191;14.601;0.638;35.956;12.182;0.561;38.295;10.691;0.615;39.770;17.452;3.554;25.983;17.252;3.387;33.107;14.985;3.063;37.155;12.843;3.144;39.279;11.175;3.348;40.677;17.632;4.455;25.919;17.340;5.974;33.089;15.594;6.277;36.546;13.963;6.218;38.577;12.391;6.243;40.157;17.288;5.427;26.419;17.896;8.512;28.586;17.973;9.851;31.550;18.482;12.468;32.232;0.000;0.000;0.000;-7.628;-12.244;-0.706;-9.743;-33.128;0.029;-12.225;-57.644;0.890;-11.340;-101.840;-7.001;7.550;-12.350;-1.699;9.680;-33.245;-0.661;12.180;-57.774;0.558;11.813;-102.112;-8.513
704.000;28.160;0.021;7.234;-0.192;0.021;14.044;-0.410;-0.006;26.090;-0.845;-0.321;41.952;-1.896;-0.353;46.163;1.022;-0.069;52.447;2.108;-6.929;56.527;2.985;6.839;56.534;2.343;-2.985;58.518;10.292;3.590;58.521;9.985;-1.786;36.699;-3.141;-15.879;34.733;-1.602;-20.911;21.574;-2.229;-26.473;7.029;-2.923;-22.784;5.057;9.416;-18.617;2.670;23.977;-18.928;0.944;24.360;-15.649;-2.323;30.237;-14.514;-2.690;32.447;-13.470;-3.624;34.556;-12.711;-3.763;36.040;-19.093;1.720;24.652;-16.913;-0.470;31.466;-14.644;-0.785;34.884;-12.787;-0.901;37.191;-11.485;-1.015;38.764;-18.615;2.974;24.662;-16.964;1.963;32.441;-14.460;1.659;35.584;-11.915;1.512;37.826;-10.418;1.336;39.380;-18.911;3.989;24.722;-16.997;4.416;32.454;-14.277;4.235;35.204;-12.112;4.037;36.980;-10.440;3.592;38.107;-17.883;4.535;26.358;-17.603;7.252;28.800;-16.436;8.366;31.077;-17.446;10.459;32.628;1.440;36.769;-3.050;15.610;34.201;-1.058;20.793;20.480;-1.788;26.521;5.314;-2.594;22.553;4.525;9.647;17.997;3.169;24.624;17.551;1.476;25.470;15.568;-0.855;31.471;14.098;-1.852;33.905;12.388;-2.164;35.588;11.080;-2.267;36.678;17.804;2.319;25.716;16.826;1.149;32.170;14.579;0.601;35.926;12.154;0.516;38.253;10.650;0.570;39.714;17.464;3.520;25.966;17.255;3.343;33.090;14.938;3.018;37.110;12.756;3.103;39.196;11.072;3.312;40.573;17.647;4.420;25.905;17.337;5.919;33.076;15.567;6.218;36.517;13.905;6.166;38.526;12.318;6.193;40.090;17.306;5.384;26.421;17.895;8.465;28.588;17.996;9.788;31.534;18.464;12.403;32.253;0.000;0.000;0.000;-7.629;-12.244;-0.697;-9.740;-33.127;0.051;-12.219;-57.642;0.929;-11.317;-101.839;-6.975;7.550;-12.352;-1.685;9.683;-33.246;-0.634;12.188;-57.773;0.601;11.836;-102.107;-8.487
705.000;28.200;0.022;7.234;-0.197;0.024;14.044;-0.420;0.001;26.089;-0.864;-0.310;41.952;-1.919;-0.344;46.164;0.996;-0.063;52.449;2.076;-6.922;56.533;2.945;6.846;56.534;2.311;-2.981;58.529;10.251;3.594;58.530;9.949;-1.776;36.699;-3.164;-15.869;34.733;-1.631;-20.902;21.574;-2.259;-26.464;7.031;-2.954;-22.772;5.062;9.383;-18.600;2.678;23.942;-18.918;0.952;24.327;-15.630;-2.329;30.199;-14.492;-2.687;32.411;-13.437;-3.601;34.524;-12.675;-3.745;36.005;-19.086;1.728;24.619;-16.924;-0.447;31.438;-14.638;-0.780;34.857;-12.778;-0.863;37.172;-11.476;-1.015;38.742;-18.617;2.977;24.624;-16.949;1.974;32.405;-14.477;1.691;35.568;-11.915;1.561;37.788;-10.391;1.403;39.319;-18.917;4.007;24.686;-16.981;4.422;32.423;-14.262;4.241;35.170;-12.098;4.036;36.948;-10.418;3.612;38.071;-17.858;4.544;26.326;-17.584;7.259;28.773;-16.415;8.378;31.046;-17.434;10.474;32.588;1.449;36.768;-3.071;15.617;34.193;-1.076;20.790;20.469;-1.805;26.507;5.299;-2.611;22.550;4.496;9.634;18.007;3.121;24.613;17.563;1.433;25.457;15.561;-0.921;31.443;14.068;-1.925;33.865;12.353;-2.225;35.540;11.034;-2.331;36.616;17.825;2.272;25.707;16.830;1.092;32.156;14.584;0.539;35.907;12.150;0.446;38.219;10.625;0.503;39.658;17.475;3.474;25.961;17.268;3.275;33.083;14.932;2.932;37.094;12.723;3.037;39.153;11.027;3.256;40.514;17.664;4.373;25.903;17.352;5.839;33.071;15.552;6.147;36.498;13.882;6.094;38.491;12.266;6.113;40.026;17.309;5.338;26.396;17.922;8.408;28.594;18.031;9.711;31.562;18.474;12.327;32.291;0.000;0.000;0.000;-7.630;-12.244;-0.692;-9.739;-33.127;0.068;-12.215;-57.643;0.959;-11.304;-101.846;-6.951;7.550;-12.354;-1.673;9.686;-33.246;-0.609;12.194;-57.771;0.639;11.852;-102.104;-8.464
706.000;28.240;0.022;7.234;-0.201;0.024;14.043;-0.429;0.003;26.089;-0.881;-0.305;41.951;-1.940;-0.340;46.165;0.973;-0.059;52.452;2.049;-6.917;56.537;2.921;6.850;56.537;2.276;-2.971;58.537;10.224;3.604;58.538;9.915;-1.772;36.698;-3.184;-15.864;34.730;-1.658;-20.893;21.570;-2.283;-26.450;7.024;-2.973;-22.769;5.057;9.370;-18.611;2.676;23.936;-18.922;0.946;24.316;-15.644;-2.315;30.195;-14.484;-2.665;32.399;-13.405;-3.572;34.507;-12.644;-3.707;35.990;-19.091;1.722;24.607;-16.923;-0.454;31.425;-14.660;-0.791;34.851;-12.785;-0.864;37.151;-11.455;-1.010;38.698;-18.612;2.955;24.626;-16.954;1.985;32.389;-14.464;1.729;35.543;-11.893;1.626;37.740;-10.327;1.480;39.229;-18.898;3.978;24.681;-16.993;4.422;32.412;-14.268;4.249;35.154;-12.074;4.041;36.905;-10.386;3.630;38.021;-17.870;4.540;26.308;-17.597;7.261;28.758;-16.426;8.385;31.026;-17.450;10.475;32.572;1.454;36.767;-3.090;15.620;34.190;-1.088;20.788;20.464;-1.821;26.500;5.294;-2.632;22.554;4.479;9.618;18.021;3.091;24.604;17.573;1.402;25.443;15.564;-0.957;31.427;14.066;-1.965;33.840;12.341;-2.268;35.504;11.013;-2.371;36.569;17.837;2.240;25.697;16.849;1.037;32.140;14.596;0.463;35.890;12.146;0.393;38.188;10.620;0.457;39.625;17.494;3.436;25.952;17.277;3.210;33.067;14.942;2.876;37.074;12.704;2.981;39.115;10.986;3.213;40.445;17.683;4.335;25.897;17.382;5.792;33.060;15.546;6.088;36.480;13.860;6.034;38.458;12.230;6.055;39.978;17.326;5.303;26.380;17.944;8.368;28.594;18.029;9.670;31.568;18.505;12.278;32.305;0.000;0.000;0.000;-7.630;-12.244;-0.687;-9.741;-33.127;0.082;-12.220;-57.642;0.985;-11.307;-101.835;-6.930;7.550;-12.355;-1.662;9.684;-33.245;-0.589;12.189;-57.769;0.671;11.850;-102.103;-8.443
707.000;28.280;0.022;7.233;-0.204;0.024;14.042;-0.435;0.002;26.086;-0.892;-0.313;41.949;-1.950;-0.350;46.164;0.966;-0.069;52.455;2.043;-6.925;56.541;2.926;6.841;56.539;2.254;-2.964;58.545;10.219;3.609;58.544;9.898;-1.776;36.695;-3.195;-15.871;34.727;-1.677;-20.888;21.561;-2.306;-26.433;7.010;-3.001;-22.770;5.043;9.346;-18.630;2.662;23.919;-18.947;0.933;24.298;-15.665;-2.334;30.178;-14.528;-2.678;32.375;-13.393;-3.591;34.486;-12.653;-3.703;35.981;-19.116;1.709;24.590;-16.976;-0.451;31.415;-14.763;-0.826;34.867;-12.871;-0.910;37.156;-11.534;-1.028;38.699;-18.637;2.947;24.608;-17.000;1.969;32.372;-14.480;1.748;35.521;-11.950;1.687;37.734;-10.365;1.537;39.201;-18.930;3.970;24.662;-17.046;4.407;32.397;-14.327;4.234;35.151;-12.129;4.021;36.907;-10.454;3.659;38.059;-17.902;4.527;26.295;-17.641;7.247;28.748;-16.464;8.373;31.016;-17.505;10.457;32.560;1.449;36.765;-3.099;15.615;34.194;-1.090;20.785;20.470;-1.825;26.498;5.301;-2.638;22.552;4.480;9.611;18.019;3.085;24.597;17.574;1.404;25.439;15.567;-0.970;31.412;14.059;-1.974;33.830;12.327;-2.279;35.486;11.003;-2.369;36.557;17.840;2.240;25.694;16.848;1.020;32.128;14.595;0.452;35.885;12.166;0.390;38.192;10.625;0.467;39.612;17.493;3.432;25.941;17.267;3.209;33.061;14.935;2.856;37.069;12.687;2.966;39.094;10.962;3.218;40.413;17.683;4.332;25.887;17.380;5.780;33.053;15.540;6.075;36.470;13.843;6.019;38.445;12.214;6.051;39.966;17.351;5.295;26.379;17.947;8.363;28.589;18.040;9.662;31.564;18.503;12.274;32.293;0.000;0.000;0.000;-7.629;-12.244;-0.687;-9.738;-33.126;0.092;-12.214;-57.639;1.007;-11.283;-101.831;-6.915;7.551;-12.356;-1.652;9.687;-33.244;-0.574;12.195;-57.766;0.692;11.869;-102.100;-8.424
708.000;28.320;0.022;7.234;-0.205;0.024;14.042;-0.437;0.002;26.087;-0.896;-0.314;41.950;-1.948;-0.351;46.166;0.970;-0.069;52.456;2.051;-6.922;56.548;2.937;6.844;56.536;2.255;-2.954;58.554;10.226;3.619;58.548;9.900;-1.777;36.696;-3.196;-15.871;34.723;-1.682;-20.882;21.557;-2.320;-26.421;7.006;-3.026;-22.784;5.034;9.329;-18.675;2.646;23.909;-19.000;0.921;24.291;-15.733;-2.339;30.180;-14.570;-2.716;32.347;-13.416;-3.600;34.468;-12.648;-3.699;35.950;-19.175;1.696;24.583;-17.041;-0.475;31.407;-14.857;-0.847;34.872;-12.918;-0.890;37.148;-11.561;-1.030;38.672;-18.681;2.929;24.602;-17.072;1.959;32.362;-14.544;1.747;35.504;-11.989;1.724;37.701;-10.402;1.608;39.170;-18.971;3.949;24.656;-17.114;4.399;32.389;-14.403;4.208;35.143;-12.214;4.001;36.912;-10.538;3.634;38.061;-17.934;4.513;26.285;-17.694;7.231;28.741;-16.534;8.360;31.006;-17.581;10.436;32.555;1.449;36.767;-3.099;15.616;34.196;-1.089;20.783;20.471;-1.825;26.493;5.302;-2.638;22.547;4.483;9.609;18.013;3.092;24.593;17.565;1.407;25.434;15.561;-0.967;31.407;14.044;-1.968;33.823;12.314;-2.261;35.485;10.983;-2.351;36.548;17.831;2.244;25.689;16.844;1.033;32.127;14.569;0.466;35.876;12.119;0.389;38.171;10.593;0.473;39.608;17.485;3.438;25.940;17.259;3.224;33.060;14.928;2.862;37.069;12.668;2.971;39.084;10.939;3.215;40.399;17.674;4.337;25.886;17.368;5.790;33.054;15.545;6.073;36.474;13.834;6.017;38.437;12.196;6.057;39.947;17.315;5.306;26.368;17.942;8.370;28.593;18.065;9.648;31.547;18.481;12.260;32.306;0.000;0.000;0.000;-7.629;-12.245;-0.687;-9.736;-33.126;0.097;-12.208;-57.638;1.017;-11.266;-101.830;-6.899;7.551;-12.356;-1.649;9.690;-33.244;-0.568;12.201;-57.763;0.701;11.884;-102.097;-8.409
709.000;28.360;0.022;7.233;-0.205;0.025;14.040;-0.437;0.007;26.083;-0.898;-0.310;41.946;-1.945;-0.347;46.163;0.978;-0.065;52.457;2.065;-6.914;56.551;2.958;6.850;56.533;2.261;-2.938;58.555;10.243;3.635;58.547;9.910;-1.773;36.693;-3.194;-15.868;34.721;-1.679;-20.878;21.553;-2.329;-26.415;7.000;-3.047;-22.801;5.019;9.313;-18.724;2.620;23.897;-19.052;0.890;24.281;-15.752;-2.393;30.140;-14.531;-2.773;32.297;-13.272;-3.582;34.394;-12.445;-3.718;35.841;-19.225;1.665;24.573;-17.096;-0.492;31.406;-14.943;-0.931;34.874;-12.888;-0.949;37.064;-11.448;-1.101;38.509;-18.757;2.877;24.588;-17.127;1.936;32.350;-14.560;1.789;35.477;-12.012;1.745;37.662;-10.389;1.653;39.093;-19.045;3.918;24.641;-17.164;4.362;32.385;-14.474;4.180;35.146;-12.260;3.985;36.907;-10.622;3.578;38.096;-17.973;4.489;26.284;-17.741;7.207;28.731;-16.581;8.328;31.009;-17.630;10.407;32.553;1.453;36.764;-3.097;15.617;34.193;-1.089;20.786;20.468;-1.827;26.500;5.299;-2.641;22.560;4.485;9.609;18.032;3.099;24.596;17.587;1.416;25.439;15.574;-0.950;31.416;14.043;-1.957;33.819;12.313;-2.244;35.473;10.971;-2.331;36.523;17.855;2.252;25.694;16.853;1.023;32.128;14.563;0.510;35.868;12.084;0.404;38.131;10.541;0.488;39.549;17.501;3.452;25.942;17.274;3.241;33.064;14.923;2.879;37.058;12.663;2.976;39.064;10.908;3.244;40.339;17.694;4.350;25.887;17.385;5.793;33.056;15.570;6.074;36.481;13.858;6.023;38.436;12.202;6.058;39.927;17.339;5.309;26.376;17.955;8.378;28.588;18.037;9.670;31.528;18.503;12.261;32.328;0.000;0.000;0.000;-7.627;-12.246;-0.686;-9.732;-33.128;0.097;-12.203;-57.641;1.016;-11.256;-101.829;-6.890;7.553;-12.355;-1.651;9.698;-33.243;-0.567;12.216;-57.764;0.705;11.908;-102.099;-8.400
710.000;28.400;0.022;7.232;-0.204;0.026;14.038;-0.437;0.010;26.079;-0.902;-0.312;41.942;-1.942;-0.349;46.160;0.985;-0.066;52.454;2.080;-6.918;56.544;2.978;6.847;56.535;2.276;-2.939;58.547;10.263;3.634;58.542;9.927;-1.773;36.689;-3.193;-15.865;34.710;-1.677;-20.879;21.544;-2.332;-26.420;6.993;-3.056;-22.821;5.002;9.307;-18.760;2.596;23.898;-19.074;0.860;24.277;-15.798;-2.435;30.120;-14.417;-2.719;32.320;-12.846;-3.405;34.115;-11.695;-3.332;35.326;-19.240;1.637;24.567;-17.183;-0.571;31.395;-15.046;-1.101;34.871;-12.752;-1.026;36.816;-11.072;-1.121;37.980;-18.782;2.870;24.586;-17.179;1.908;32.341;-14.584;1.793;35.449;-12.009;1.747;37.608;-10.369;1.672;39.019;-19.080;3.909;24.643;-17.219;4.322;32.382;-14.495;4.118;35.137;-12.315;3.938;36.898;-10.655;3.505;38.048;-18.011;4.457;26.288;-17.744;7.162;28.733;-16.578;8.239;30.999;-17.551;10.324;32.586;1.452;36.761;-3.097;15.616;34.195;-1.094;20.790;20.471;-1.830;26.509;5.303;-2.644;22.577;4.484;9.610;18.063;3.090;24.601;17.606;1.413;25.448;15.601;-0.970;31.411;14.087;-1.977;33.822;12.344;-2.250;35.468;10.989;-2.355;36.500;17.869;2.250;25.704;16.901;1.010;32.131;14.609;0.451;35.873;12.109;0.398;38.116;10.545;0.491;39.511;17.531;3.437;25.947;17.312;3.224;33.066;14.960;2.854;37.067;12.658;2.969;39.035;10.886;3.224;40.289;17.720;4.337;25.893;17.416;5.801;33.060;15.604;6.066;36.483;13.887;5.992;38.433;12.216;6.036;39.906;17.375;5.298;26.398;17.960;8.373;28.592;18.053;9.661;31.568;18.465;12.276;32.322;0.000;0.000;0.000;-7.627;-12.246;-0.687;-9.728;-33.128;0.094;-12.194;-57.641;1.010;-11.239;-101.830;-6.885;7.553;-12.354;-1.656;9.698;-33.242;-0.575;12.217;-57.762;0.694;11.908;-102.101;-8.397
711.000;28.440;0.022;7.231;-0.203;0.026;14.037;-0.437;0.011;26.076;-0.905;-0.311;41.940;-1.936;-0.349;46.159;1.000;-0.069;52.457;2.108;-6.921;56.545;3.010;6.844;56.538;2.304;-2.941;58.544;10.295;3.632;58.541;9.958;-1.772;36.687;-3.190;-15.864;34.711;-1.671;-20.884;21.548;-2.328;-26.432;6.999;-3.054;-22.863;4.989;9.322;-18.843;2.558;23.928;-19.135;0.794;24.293;-15.778;-2.453;30.125;-14.449;-2.795;32.176;-12.095;-2.664;33.184;-10.614;-1.936;33.455;-19.295;1.573;24.581;-17.236;-0.630;31.428;-14.790;-1.096;34.706;-12.066;-0.761;35.950;-10.082;-0.608;36.421;-18.866;2.836;24.607;-17.250;1.849;32.346;-14.643;1.799;35.438;-12.009;1.800;37.537;-10.373;1.745;38.955;-19.173;3.858;24.669;-17.324;4.267;32.404;-14.570;4.061;35.156;-12.413;3.845;36.933;-10.767;3.412;38.101;-18.091;4.409;26.352;-17.609;7.090;28.796;-16.151;7.938;31.072;-16.847;10.003;32.821;1.453;36.759;-3.095;15.618;34.192;-1.094;20.794;20.468;-1.825;26.516;5.299;-2.633;22.594;4.455;9.625;18.093;3.034;24.621;17.636;1.335;25.454;15.651;-1.062;31.426;14.100;-2.101;33.808;12.286;-2.342;35.390;10.888;-2.418;36.365;17.894;2.175;25.708;16.936;0.915;32.142;14.594;0.346;35.864;12.052;0.315;38.028;10.405;0.472;39.317;17.566;3.378;25.966;17.365;3.123;33.090;14.985;2.747;37.085;12.605;2.904;38.961;10.768;3.180;40.112;17.757;4.277;25.914;17.454;5.712;33.090;15.671;5.961;36.517;13.885;5.853;38.438;12.211;5.894;39.909;17.394;5.236;26.427;17.966;8.302;28.638;18.044;9.579;31.616;18.400;12.191;32.405;0.000;0.000;0.000;-7.627;-12.246;-0.690;-9.730;-33.128;0.092;-12.197;-57.642;1.010;-11.245;-101.832;-6.882;7.553;-12.354;-1.660;9.699;-33.241;-0.580;12.219;-57.760;0.688;11.910;-102.101;-8.391
