Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1001.000;40.040;0.065;7.278;-0.177;0.042;14.132;-0.268;-0.108;26.260;-0.331;-0.337;42.142;-1.053;-0.375;46.402;2.023;0.045;52.831;3.254;-6.862;56.779;4.346;6.879;57.047;3.302;-2.743;58.822;11.541;3.818;58.950;11.042;-1.797;36.923;-2.439;-15.861;35.196;-1.278;-20.841;22.475;-3.638;-26.346;8.416;-6.248;-23.245;5.713;6.011;-19.770;2.295;20.357;-20.307;0.594;20.996;-16.900;-2.394;27.019;-15.534;-2.504;29.092;-14.222;-3.080;31.279;-13.371;-3.095;32.718;-20.353;1.413;21.201;-17.877;-0.245;28.134;-15.202;-0.320;31.282;-13.115;-0.276;33.386;-11.635;-0.413;34.791;-19.626;2.712;20.941;-17.718;2.282;28.798;-15.147;2.075;32.000;-12.605;2.069;34.154;-11.051;1.970;35.659;-19.814;3.775;20.913;-17.458;4.693;28.504;-14.750;4.546;31.303;-12.633;4.323;33.135;-11.000;3.924;34.334;-18.569;4.330;22.537;-17.873;7.347;24.336;-16.341;8.405;26.181;-16.295;10.949;27.335;1.426;36.977;-2.279;15.585;34.483;-0.215;20.921;20.982;-1.920;26.819;6.060;-3.805;23.043;4.431;8.380;18.739;1.983;23.191;18.475;0.142;24.006;16.444;-2.237;30.103;15.134;-3.496;32.468;13.305;-3.981;34.009;11.873;-4.276;34.888;18.543;1.028;24.220;17.413;0.005;30.786;15.038;-0.784;34.438;12.265;-0.994;36.297;10.454;-0.997;37.355;18.044;2.297;24.482;17.485;2.234;31.629;15.060;1.717;35.592;12.453;1.621;37.186;10.476;1.727;38.110;18.110;3.213;24.409;17.228;4.828;31.544;15.573;5.047;34.978;13.741;4.838;36.847;11.998;4.779;38.236;17.690;4.114;24.915;17.630;7.379;26.852;16.842;8.765;29.746;16.484;11.400;30.450;0.000;0.000;0.000;-7.698;-12.183;-0.966;-10.222;-32.835;-0.075;-13.185;-57.079;0.970;-13.072;-101.369;-7.726;7.508;-12.424;-1.298;9.376;-33.028;-0.482;11.568;-57.215;0.476;11.184;-101.544;-9.439
1002.000;40.080;0.065;7.279;-0.177;0.042;14.134;-0.268;-0.108;26.263;-0.331;-0.337;42.145;-1.053;-0.375;46.405;2.022;0.045;52.832;3.253;-6.861;56.780;4.346;6.879;57.046;3.302;-2.742;58.821;11.541;3.819;58.948;11.043;-1.797;36.926;-2.439;-15.862;35.199;-1.278;-20.842;22.478;-3.637;-26.347;8.418;-6.246;-23.245;5.715;6.015;-19.771;2.297;20.363;-20.308;0.602;21.003;-16.884;-2.391;27.019;-15.529;-2.504;29.095;-14.212;-3.088;31.269;-13.354;-3.099;32.704;-20.354;1.421;21.211;-17.869;-0.243;28.133;-15.192;-0.314;31.284;-13.115;-0.289;33.385;-11.622;-0.402;34.779;-19.626;2.719;20.943;-17.695;2.262;28.792;-15.147;2.084;32.006;-12.606;2.063;34.151;-11.035;1.982;35.640;-19.818;3.777;20.917;-17.444;4.691;28.506;-14.743;4.540;31.301;-12.665;4.293;33.163;-10.999;3.860;34.304;-18.552;4.327;22.521;-17.863;7.348;24.342;-16.332;8.402;26.198;-16.271;10.957;27.328;1.426;36.980;-2.279;15.585;34.486;-0.215;20.925;20.986;-1.920;26.826;6.065;-3.803;23.046;4.434;8.380;18.739;1.983;23.187;18.472;0.145;24.007;16.427;-2.243;30.099;15.121;-3.492;32.463;13.310;-3.987;34.012;11.864;-4.269;34.872;18.539;1.031;24.222;17.399;0.014;30.785;15.029;-0.776;34.435;12.250;-0.988;36.293;10.440;-0.965;37.353;18.041;2.284;24.485;17.465;2.243;31.625;15.065;1.711;35.603;12.450;1.628;37.190;10.462;1.732;38.092;18.103;3.199;24.409;17.218;4.838;31.542;15.572;5.060;34.980;13.752;4.866;36.848;11.993;4.794;38.215;17.689;4.120;24.930;17.625;7.381;26.854;16.846;8.768;29.740;16.471;11.399;30.453;0.000;0.000;0.000;-7.698;-12.183;-0.966;-10.222;-32.833;-0.075;-13.185;-57.076;0.970;-13.072;-101.366;-7.727;7.508;-12.424;-1.298;9.376;-33.027;-0.482;11.568;-57.214;0.476;11.184;-101.543;-9.439
1003.000;40.120;0.065;7.278;-0.177;0.040;14.132;-0.268;-0.110;26.259;-0.333;-0.334;42.142;-1.056;-0.370;46.404;2.019;0.053;52.834;3.248;-6.851;56.784;4.347;6.888;57.048;3.290;-2.726;58.826;11.538;3.835;58.951;11.033;-1.796;36.923;-2.442;-15.863;35.202;-1.283;-20.848;22.481;-3.635;-26.358;8.420;-6.236;-23.257;5.723;6.026;-19.780;2.314;20.378;-20.324;0.612;21.012;-16.893;-2.384;27.025;-15.523;-2.506;29.095;-14.187;-3.108;31.252;-13.321;-3.127;32.682;-20.367;1.432;21.220;-17.877;-0.220;28.143;-15.191;-0.317;31.286;-13.106;-0.295;33.384;-11.603;-0.408;34.766;-19.650;2.695;20.971;-17.684;2.272;28.804;-15.116;2.092;31.999;-12.539;2.060;34.127;-10.970;1.975;35.618;-19.823;3.763;20.940;-17.436;4.702;28.520;-14.735;4.545;31.310;-12.614;4.324;33.140;-10.952;3.900;34.289;-18.584;4.352;22.561;-17.866;7.359;24.350;-16.315;8.417;26.190;-16.279;10.953;27.362;1.427;36.975;-2.283;15.584;34.477;-0.219;20.919;20.972;-1.914;26.815;6.045;-3.788;23.025;4.432;8.393;18.703;2.004;23.200;18.437;0.164;24.021;16.386;-2.230;30.098;15.077;-3.467;32.479;13.261;-3.959;34.014;11.809;-4.230;34.867;18.509;1.050;24.236;17.350;0.046;30.796;14.982;-0.750;34.447;12.210;-0.948;36.302;10.394;-0.947;37.350;18.014;2.301;24.492;17.433;2.262;31.635;14.996;1.747;35.593;12.375;1.657;37.168;10.389;1.759;38.074;18.076;3.217;24.416;17.194;4.852;31.551;15.536;5.076;34.988;13.707;4.873;36.848;11.940;4.825;38.205;17.651;4.133;24.925;17.592;7.399;26.861;16.783;8.792;29.746;16.417;11.431;30.437;0.000;0.000;0.000;-7.698;-12.183;-0.965;-10.222;-32.832;-0.072;-13.184;-57.073;0.975;-13.072;-101.366;-7.718;7.508;-12.424;-1.297;9.376;-33.028;-0.479;11.568;-57.214;0.481;11.184;-101.544;-9.430
1004.000;40.160;0.064;7.277;-0.178;0.039;14.129;-0.271;-0.114;26.254;-0.340;-0.334;42.137;-1.063;-0.370;46.401;2.012;0.054;52.837;3.236;-6.846;56.794;4.338;6.892;57.045;3.270;-2.713;58.834;11.525;3.848;58.954;11.015;-1.798;36.918;-2.449;-15.862;35.200;-1.286;-20.848;22.477;-3.634;-26.360;8.415;-6.230;-23.262;5.723;6.033;-19.787;2.323;20.387;-20.333;0.631;21.027;-16.871;-2.371;27.019;-15.492;-2.510;29.077;-14.137;-3.107;31.225;-13.257;-3.130;32.647;-20.382;1.448;21.238;-17.866;-0.240;28.147;-15.185;-0.340;31.283;-13.079;-0.304;33.376;-11.586;-0.440;34.767;-19.655;2.711;20.981;-17.667;2.272;28.808;-15.062;2.087;31.968;-12.483;2.091;34.084;-10.909;1.970;35.566;-19.827;3.778;20.954;-17.432;4.688;28.530;-14.714;4.525;31.316;-12.583;4.320;33.134;-10.935;3.895;34.303;-18.606;4.359;22.571;-17.873;7.362;24.361;-16.323;8.414;26.219;-16.272;10.960;27.368;1.426;36.970;-2.290;15.581;34.466;-0.229;20.905;20.959;-1.919;26.788;6.030;-3.788;22.992;4.427;8.394;18.663;2.011;23.202;18.384;0.153;24.014;16.339;-2.214;30.100;15.022;-3.452;32.483;13.190;-3.930;34.012;11.741;-4.213;34.866;18.450;1.041;24.224;17.304;0.061;30.800;14.918;-0.749;34.439;12.146;-0.939;36.296;10.327;-0.929;37.340;17.970;2.326;24.489;17.394;2.284;31.642;14.938;1.760;35.592;12.307;1.683;37.150;10.312;1.790;38.036;18.037;3.241;24.416;17.139;4.871;31.552;15.476;5.089;34.984;13.645;4.893;36.836;11.878;4.838;38.194;17.625;4.142;24.945;17.536;7.416;26.860;16.710;8.809;29.749;16.349;11.452;30.423;0.000;0.000;0.000;-7.696;-12.184;-0.962;-10.217;-32.834;-0.067;-13.177;-57.075;0.985;-13.059;-101.367;-7.706;7.510;-12.423;-1.296;9.381;-33.026;-0.469;11.578;-57.211;0.501;11.201;-101.545;-9.391
1005.000;40.200;0.062;7.275;-0.181;0.035;14.125;-0.278;-0.120;26.246;-0.357;-0.343;42.129;-1.079;-0.375;46.397;2.000;0.055;52.839;3.228;-6.841;56.801;4.337;6.896;57.043;3.246;-2.694;58.847;11.515;3.866;58.962;10.994;-1.807;36.910;-2.464;-15.871;35.190;-1.295;-20.850;22.466;-3.642;-26.354;8.402;-6.235;-23.260;5.706;6.027;-19.794;2.295;20.379;-20.338;0.616;21.024;-16.872;-2.402;27.009;-15.468;-2.532;29.058;-14.104;-3.140;31.193;-13.200;-3.165;32.599;-20.392;1.433;21.238;-17.873;-0.276;28.137;-15.195;-0.383;31.279;-13.107;-0.351;33.381;-11.594;-0.471;34.751;-19.680;2.658;20.983;-17.678;2.258;28.803;-15.071;2.066;31.962;-12.494;2.070;34.056;-10.875;1.968;35.492;-19.843;3.733;20.952;-17.440;4.658;28.527;-14.736;4.498;31.322;-12.600;4.283;33.148;-10.953;3.876;34.324;-18.590;4.341;22.556;-17.885;7.340;24.363;-16.339;8.391;26.220;-16.293;10.939;27.365;1.417;36.963;-2.307;15.574;34.456;-0.253;20.885;20.943;-1.943;26.756;6.008;-3.811;22.958;4.413;8.370;18.628;2.008;23.177;18.355;0.157;23.996;16.303;-2.212;30.087;14.979;-3.457;32.451;13.151;-3.922;33.986;11.699;-4.198;34.838;18.422;1.044;24.206;17.274;0.049;30.774;14.899;-0.728;34.427;12.117;-0.936;36.278;10.305;-0.928;37.333;17.939;2.325;24.462;17.351;2.295;31.619;14.905;1.773;35.569;12.279;1.696;37.126;10.279;1.808;38.001;18.007;3.241;24.388;17.114;4.869;31.524;15.458;5.104;34.969;13.633;4.899;36.821;11.860;4.831;38.168;17.576;4.141;24.899;17.507;7.415;26.835;16.678;8.814;29.731;16.306;11.462;30.380;0.000;0.000;0.000;-7.695;-12.185;-0.959;-10.218;-32.833;-0.061;-13.180;-57.072;0.993;-13.066;-101.364;-7.697;7.511;-12.423;-1.296;9.384;-33.025;-0.472;11.582;-57.210;0.496;11.207;-101.543;-9.401
1006.000;40.240;0.059;7.272;-0.182;0.029;14.119;-0.285;-0.136;26.236;-0.378;-0.361;42.119;-1.104;-0.390;46.393;1.977;0.045;52.844;3.202;-6.846;56.810;4.325;6.889;57.043;3.209;-2.685;58.851;11.496;3.874;58.962;10.963;-1.825;36.900;-2.487;-15.887;35.177;-1.306;-20.858;22.449;-3.654;-26.352;8.380;-6.249;-23.261;5.683;6.015;-19.796;2.274;20.368;-20.334;0.564;20.993;-16.863;-2.421;26.992;-15.477;-2.545;29.051;-14.076;-3.182;31.151;-13.156;-3.203;32.548;-20.380;1.382;21.202;-17.905;-0.297;28.128;-15.227;-0.428;31.284;-13.139;-0.401;33.378;-11.624;-0.516;34.746;-19.679;2.653;20.963;-17.694;2.219;28.786;-15.092;2.054;31.955;-12.528;2.074;34.059;-10.882;1.991;35.465;-19.862;3.733;20.937;-17.476;4.626;28.522;-14.764;4.475;31.326;-12.610;4.282;33.153;-10.996;3.879;34.376;-18.593;4.313;22.546;-17.908;7.312;24.355;-16.378;8.369;26.221;-16.335;10.912;27.380;1.399;36.952;-2.331;15.556;34.445;-0.293;20.859;20.929;-1.986;26.720;5.991;-3.857;22.926;4.398;8.326;18.597;1.997;23.136;18.331;0.157;23.956;16.275;-2.225;30.044;14.956;-3.466;32.419;13.130;-3.956;33.934;11.660;-4.214;34.760;18.403;1.042;24.170;17.255;0.051;30.736;14.915;-0.769;34.407;12.151;-0.959;36.270;10.328;-0.933;37.306;17.906;2.321;24.421;17.318;2.269;31.574;14.900;1.752;35.536;12.271;1.687;37.090;10.257;1.809;37.933;17.977;3.236;24.349;17.095;4.862;31.487;15.448;5.090;34.931;13.624;4.885;36.783;11.846;4.816;38.125;17.542;4.135;24.874;17.485;7.403;26.793;16.629;8.799;29.655;16.263;11.435;30.354;0.000;0.000;0.000;-7.692;-12.187;-0.954;-10.209;-32.835;-0.051;-13.164;-57.074;1.009;-13.038;-101.363;-7.682;7.514;-12.421;-1.296;9.393;-33.022;-0.466;11.599;-57.206;0.508;11.231;-101.540;-9.373
1007.000;40.280;0.059;7.269;-0.186;0.027;14.114;-0.295;-0.141;26.226;-0.405;-0.366;42.108;-1.134;-0.392;46.389;1.953;0.050;52.848;3.185;-6.835;56.820;4.327;6.898;57.041;3.172;-2.651;58.859;11.486;3.906;58.964;10.934;-1.832;36.888;-2.515;-15.891;35.163;-1.326;-20.856;22.437;-3.679;-26.344;8.370;-6.279;-23.264;5.670;5.988;-19.808;2.257;20.345;-20.337;0.564;20.970;-16.867;-2.449;26.963;-15.478;-2.610;29.009;-14.033;-3.261;31.075;-13.067;-3.285;32.440;-20.392;1.381;21.184;-17.923;-0.332;28.100;-15.271;-0.478;31.273;-13.121;-0.451;33.320;-11.577;-0.599;34.653;-19.678;2.647;20.938;-17.712;2.183;28.763;-15.080;2.039;31.910;-12.501;2.041;33.991;-10.836;1.993;35.376;-19.858;3.712;20.914;-17.507;4.595;28.511;-14.811;4.450;31.337;-12.661;4.262;33.169;-11.062;3.859;34.411;-18.625;4.290;22.526;-17.946;7.291;24.356;-16.424;8.339;26.245;-16.408;10.893;27.378;1.392;36.941;-2.362;15.550;34.426;-0.336;20.835;20.906;-2.043;26.677;5.962;-3.930;22.899;4.376;8.260;18.592;1.977;23.078;18.320;0.132;23.891;16.273;-2.240;29.990;14.936;-3.510;32.342;13.098;-3.994;33.844;11.620;-4.244;34.659;18.387;1.018;24.103;17.248;0.019;30.672;14.908;-0.818;34.344;12.113;-1.022;36.177;10.294;-0.988;37.221;17.900;2.302;24.366;17.315;2.254;31.518;14.940;1.709;35.508;12.299;1.643;37.067;10.297;1.761;37.937;17.971;3.218;24.293;17.084;4.837;31.435;15.440;5.056;34.878;13.606;4.853;36.725;11.818;4.776;38.052;17.529;4.123;24.816;17.451;7.388;26.738;16.580;8.782;29.582;16.205;11.414;30.292;0.000;0.000;0.000;-7.693;-12.187;-0.950;-10.209;-32.833;-0.044;-13.164;-57.069;1.021;-13.040;-101.357;-7.679;7.513;-12.421;-1.299;9.392;-33.020;-0.466;11.598;-57.202;0.512;11.224;-101.538;-9.361
1008.000;40.320;0.057;7.265;-0.190;0.024;14.106;-0.305;-0.143;26.212;-0.430;-0.366;42.094;-1.162;-0.388;46.384;1.933;0.055;52.854;3.172;-6.822;56.834;4.334;6.907;57.039;3.138;-2.615;58.868;11.480;3.941;58.966;10.909;-1.833;36.875;-2.540;-15.894;35.143;-1.342;-20.862;22.417;-3.692;-26.352;8.350;-6.290;-23.269;5.652;5.974;-19.808;2.243;20.327;-20.338;0.550;20.942;-16.876;-2.536;26.923;-15.477;-2.802;28.930;-13.897;-3.467;30.915;-12.850;-3.567;32.215;-20.389;1.367;21.156;-17.933;-0.383;28.083;-15.352;-0.613;31.298;-13.090;-0.608;33.216;-11.396;-0.786;34.347;-19.685;2.625;20.927;-17.696;2.146;28.743;-15.056;2.015;31.876;-12.468;2.024;33.948;-10.814;1.966;35.345;-19.871;3.696;20.907;-17.502;4.568;28.502;-14.832;4.411;31.347;-12.737;4.226;33.183;-11.112;3.784;34.377;-18.605;4.256;22.499;-17.963;7.265;24.355;-16.440;8.311;26.271;-16.434;10.870;27.394;1.391;36.927;-2.390;15.547;34.407;-0.374;20.823;20.886;-2.099;26.654;5.942;-4.006;22.891;4.374;8.185;18.601;2.000;23.004;18.344;0.150;23.824;16.303;-2.212;29.927;14.819;-3.546;32.196;12.724;-3.842;33.463;11.115;-3.929;34.021;18.411;1.036;24.037;17.264;0.027;30.596;14.990;-0.839;34.304;12.100;-0.985;35.980;10.170;-0.874;36.794;17.920;2.347;24.279;17.347;2.290;31.453;15.154;1.754;35.553;12.524;1.714;37.147;10.508;1.832;37.983;17.993;3.262;24.210;17.103;4.852;31.368;15.466;5.087;34.819;13.648;4.875;36.671;11.858;4.794;37.996;17.547;4.149;24.774;17.445;7.428;26.662;16.566;8.819;29.520;16.142;11.455;30.184;0.000;0.000;0.000;-7.689;-12.190;-0.940;-10.205;-32.835;-0.023;-13.159;-57.069;1.055;-13.037;-101.359;-7.638;7.516;-12.419;-1.298;9.403;-33.020;-0.461;11.618;-57.203;0.521;11.249;-101.538;-9.340
1009.000;40.360;0.056;7.261;-0.193;0.025;14.097;-0.316;-0.136;26.195;-0.458;-0.354;42.077;-1.193;-0.369;46.375;1.906;0.082;52.857;3.142;-6.795;56.831;4.324;6.931;57.049;3.089;-2.569;58.868;11.459;3.985;58.972;10.868;-1.825;36.858;-2.568;-15.886;35.122;-1.335;-20.884;22.412;-3.680;-26.408;8.363;-6.270;-23.280;5.693;5.982;-19.762;2.325;20.326;-20.291;0.646;20.915;-16.902;-2.612;26.848;-15.486;-3.037;28.812;-13.342;-3.498;30.307;-11.961;-3.460;31.250;-20.332;1.461;21.140;-17.940;-0.405;28.056;-15.367;-0.911;31.236;-12.634;-0.896;32.465;-10.678;-0.958;33.059;-19.602;2.780;20.906;-17.666;2.110;28.761;-15.161;1.900;32.015;-12.596;1.872;34.152;-11.007;1.773;35.621;-19.810;3.829;20.915;-17.443;4.498;28.564;-14.877;4.314;31.483;-12.781;4.113;33.386;-11.242;3.692;34.695;-18.543;4.298;22.552;-17.863;7.250;24.490;-16.336;8.264;26.421;-16.394;10.787;27.621;1.399;36.909;-2.423;15.558;34.384;-0.437;20.836;20.882;-2.138;26.669;5.958;-4.018;22.917;4.457;8.185;18.641;2.161;23.016;18.358;0.269;23.823;16.037;-2.101;29.810;13.916;-3.330;31.697;11.463;-2.775;31.836;10.029;-2.028;31.293;18.430;1.153;24.046;17.260;0.093;30.580;14.894;-0.730;34.300;11.546;-0.471;34.856;9.511;-0.031;34.604;17.975;2.500;24.282;17.381;2.387;31.448;15.369;1.988;35.678;12.726;2.014;37.256;10.672;2.161;37.990;18.067;3.414;24.218;17.143;4.958;31.390;15.423;5.215;34.834;13.604;5.000;36.696;11.861;4.945;38.083;17.606;4.314;24.794;17.490;7.599;26.729;16.531;9.000;29.523;16.105;11.635;30.192;0.000;0.000;0.000;-7.687;-12.192;-0.932;-10.197;-32.835;-0.010;-13.144;-57.067;1.072;-13.011;-101.354;-7.625;7.519;-12.418;-1.300;9.411;-33.016;-0.459;11.632;-57.198;0.528;11.263;-101.534;-9.323
