Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
697.000;27.880;0.030;7.233;-0.108;0.012;14.042;-0.189;-0.078;26.090;-0.306;-0.180;41.985;-0.712;-0.300;46.236;2.406;-0.179;52.761;3.580;-7.089;56.606;4.973;6.568;57.097;3.180;-2.627;58.858;11.896;3.894;59.092;11.039;-1.679;36.806;-2.204;-15.658;35.309;-1.425;-20.931;22.737;-3.868;-26.758;8.842;-6.568;-22.527;6.189;5.409;-17.610;3.149;19.485;-19.356;2.676;20.022;-20.074;-0.224;26.731;-20.056;-1.073;29.044;-20.404;-2.340;31.328;-20.348;-2.866;32.914;-18.740;3.250;20.108;-18.971;2.182;27.483;-17.991;0.998;31.321;-16.823;-0.246;33.746;-16.145;-1.260;35.387;-17.546;3.316;20.214;-16.830;3.608;28.026;-15.997;2.268;31.778;-14.790;0.661;34.521;-14.105;-0.288;36.343;-16.659;3.962;19.952;-14.781;4.632;27.675;-13.927;3.477;31.227;-13.132;2.137;33.574;-12.746;0.865;35.153;-15.555;3.268;21.486;-12.841;3.673;24.357;-11.407;2.972;26.435;-9.287;3.975;27.954;1.544;36.831;-2.038;15.624;34.332;-0.190;20.441;21.152;-3.012;25.765;6.584;-6.132;22.073;5.385;6.073;18.033;3.806;21.024;19.494;2.806;21.865;20.733;0.842;28.134;21.802;-0.508;30.518;22.391;-1.774;32.482;22.660;-2.756;33.851;18.853;3.440;22.014;19.469;3.030;28.634;19.802;1.908;32.863;19.483;0.512;35.885;19.150;-0.290;37.794;17.520;3.677;22.466;17.786;4.633;29.538;18.164;3.948;34.118;17.601;2.602;36.778;16.947;1.676;38.647;16.806;4.238;22.312;15.551;5.776;29.522;15.146;5.421;33.298;14.701;4.254;35.628;14.100;3.187;37.490;15.683;4.232;22.920;13.220;5.880;25.559;12.141;6.274;28.713;9.976;7.606;29.765;0.000;0.000;0.000;-7.619;-12.222;-1.086;-10.406;-32.931;-0.399;-13.678;-57.241;0.408;-14.040;-101.406;-8.243;7.586;-12.355;-1.493;9.643;-33.035;-0.599;12.057;-57.311;0.449;11.911;-101.692;-8.934
698.000;27.920;0.030;7.233;-0.115;0.012;14.043;-0.204;-0.077;26.091;-0.334;-0.174;41.985;-0.751;-0.293;46.239;2.367;-0.169;52.764;3.545;-7.077;56.612;4.940;6.580;57.097;3.145;-2.613;58.859;11.863;3.909;59.091;11.006;-1.675;36.806;-2.239;-15.652;35.313;-1.456;-20.932;22.745;-3.895;-26.769;8.854;-6.590;-22.533;6.208;5.385;-17.616;3.173;19.455;-19.356;2.705;20.000;-20.069;-0.183;26.724;-20.064;-1.042;29.025;-20.384;-2.299;31.323;-20.332;-2.797;32.918;-18.738;3.277;20.086;-18.985;2.218;27.459;-17.970;1.066;31.302;-16.834;-0.196;33.736;-16.124;-1.159;35.394;-17.538;3.349;20.177;-16.816;3.656;27.998;-16.027;2.320;31.758;-14.803;0.723;34.509;-14.124;-0.205;36.345;-16.648;3.999;19.913;-14.786;4.681;27.645;-13.941;3.537;31.204;-13.123;2.191;33.549;-12.738;0.952;35.156;-15.563;3.291;21.457;-12.839;3.687;24.342;-11.385;2.991;26.400;-9.237;3.965;27.899;1.549;36.830;-2.074;15.628;34.328;-0.223;20.446;21.144;-3.031;25.771;6.571;-6.136;22.085;5.397;6.072;18.057;3.852;21.025;19.521;2.852;21.869;20.735;0.896;28.140;21.767;-0.438;30.556;22.370;-1.700;32.526;22.623;-2.645;33.924;18.881;3.488;22.016;19.476;3.077;28.637;19.795;1.944;32.866;19.457;0.538;35.884;19.120;-0.265;37.792;17.545;3.727;22.467;17.812;4.673;29.530;18.153;3.975;34.114;17.588;2.620;36.770;16.914;1.681;38.625;16.830;4.288;22.312;15.562;5.829;29.508;15.150;5.455;33.291;14.698;4.275;35.622;14.096;3.210;37.484;15.667;4.247;22.925;13.237;5.924;25.556;12.231;6.399;28.687;10.016;7.630;29.759;0.000;0.000;0.000;-7.620;-12.223;-1.073;-10.409;-32.929;-0.369;-13.684;-57.235;0.458;-14.046;-101.405;-8.196;7.586;-12.357;-1.478;9.641;-33.034;-0.575;12.053;-57.307;0.485;11.905;-101.685;-8.892
699.000;27.960;0.030;7.233;-0.122;0.014;14.043;-0.215;-0.074;26.092;-0.354;-0.167;41.986;-0.779;-0.286;46.242;2.340;-0.162;52.765;3.524;-7.071;56.611;4.920;6.585;57.100;3.126;-2.608;58.858;11.844;3.914;59.091;10.987;-1.669;36.806;-2.265;-15.648;35.315;-1.480;-20.935;22.752;-3.919;-26.778;8.867;-6.614;-22.544;6.233;5.364;-17.628;3.213;19.438;-19.375;2.753;19.985;-20.095;-0.115;26.700;-20.057;-0.975;29.026;-20.395;-2.230;31.321;-20.338;-2.721;32.918;-18.755;3.322;20.069;-18.976;2.286;27.442;-17.985;1.111;31.285;-16.837;-0.131;33.719;-16.120;-1.085;35.380;-17.575;3.383;20.173;-16.843;3.701;27.974;-15.972;2.388;31.737;-14.811;0.784;34.488;-14.101;-0.147;36.310;-16.677;4.026;19.902;-14.782;4.735;27.613;-13.921;3.577;31.178;-13.130;2.226;33.526;-12.713;0.998;35.133;-15.571;3.357;21.478;-12.841;3.709;24.326;-11.370;2.987;26.366;-9.205;3.956;27.843;1.554;36.830;-2.099;15.633;34.327;-0.247;20.457;21.142;-3.045;25.789;6.569;-6.137;22.100;5.419;6.070;18.070;3.905;21.022;19.538;2.905;21.868;20.736;0.947;28.144;21.739;-0.354;30.583;22.343;-1.595;32.565;22.590;-2.510;33.983;18.896;3.539;22.012;19.477;3.130;28.645;19.781;1.999;32.868;19.437;0.585;35.894;19.104;-0.204;37.809;17.533;3.780;22.465;17.804;4.723;29.531;18.127;4.023;34.114;17.557;2.650;36.767;16.877;1.716;38.622;16.820;4.341;22.309;15.563;5.872;29.514;15.137;5.497;33.286;14.672;4.325;35.619;14.083;3.239;37.474;15.693;4.317;22.925;13.244;5.971;25.548;12.236;6.461;28.663;10.026;7.692;29.746;0.000;0.000;0.000;-7.617;-12.226;-1.062;-10.409;-32.933;-0.335;-13.687;-57.241;0.517;-14.045;-101.403;-8.145;7.588;-12.356;-1.467;9.644;-33.033;-0.550;12.057;-57.307;0.526;11.908;-101.687;-8.844
700.000;28.000;0.031;7.233;-0.128;0.015;14.042;-0.228;-0.070;26.089;-0.377;-0.163;41.984;-0.808;-0.280;46.239;2.311;-0.155;52.761;3.498;-7.064;56.607;4.896;6.593;57.095;3.106;-2.603;58.847;11.822;3.919;59.080;10.968;-1.665;36.803;-2.292;-15.643;35.314;-1.508;-20.931;22.751;-3.942;-26.777;8.865;-6.633;-22.541;6.248;5.349;-17.628;3.245;19.427;-19.382;2.759;19.967;-20.091;-0.080;26.691;-20.047;-0.939;29.010;-20.365;-2.170;31.320;-20.306;-2.688;32.909;-18.759;3.326;20.045;-18.980;2.315;27.429;-17.961;1.149;31.271;-16.813;-0.096;33.707;-16.092;-1.054;35.363;-17.596;3.414;20.166;-16.791;3.758;27.960;-15.978;2.408;31.715;-14.764;0.811;34.454;-14.080;-0.134;36.279;-16.709;4.044;19.892;-14.769;4.769;27.595;-13.930;3.607;31.162;-13.103;2.279;33.500;-12.689;1.037;35.096;-15.568;3.383;21.458;-12.843;3.721;24.318;-11.360;2.972;26.334;-9.244;4.023;27.825;1.558;36.827;-2.126;15.637;34.321;-0.273;20.465;21.134;-3.062;25.801;6.560;-6.145;22.108;5.436;6.062;18.072;3.952;21.014;19.539;2.964;21.869;20.717;1.004;28.164;21.704;-0.277;30.606;22.275;-1.479;32.616;22.550;-2.390;34.032;18.896;3.598;22.014;19.478;3.204;28.633;19.767;2.070;32.869;19.403;0.658;35.887;19.040;-0.135;37.795;17.554;3.830;22.456;17.805;4.787;29.519;18.113;4.095;34.103;17.535;2.718;36.754;16.847;1.781;38.605;16.839;4.389;22.299;15.546;5.944;29.497;15.135;5.567;33.272;14.681;4.411;35.600;14.069;3.335;37.454;15.678;4.350;22.941;13.249;6.033;25.530;12.233;6.519;28.664;10.011;7.756;29.714;0.000;0.000;0.000;-7.620;-12.224;-1.051;-10.417;-32.931;-0.310;-13.699;-57.239;0.560;-14.065;-101.403;-8.099;7.585;-12.360;-1.456;9.640;-33.036;-0.527;12.053;-57.309;0.563;11.905;-101.686;-8.798
701.000;28.040;0.031;7.233;-0.134;0.017;14.042;-0.240;-0.067;26.089;-0.400;-0.159;41.983;-0.842;-0.277;46.243;2.279;-0.152;52.767;3.471;-7.063;56.610;4.868;6.595;57.103;3.081;-2.603;58.851;11.796;3.919;59.086;10.942;-1.661;36.802;-2.322;-15.639;35.313;-1.540;-20.924;22.747;-3.969;-26.765;8.858;-6.654;-22.528;6.254;5.330;-17.606;3.269;19.411;-19.348;2.814;19.962;-20.062;-0.044;26.688;-19.997;-0.879;29.006;-20.331;-2.150;31.301;-20.244;-2.661;32.891;-18.734;3.391;20.044;-18.963;2.356;27.421;-17.935;1.184;31.254;-16.790;-0.057;33.678;-16.052;-1.054;35.305;-17.578;3.444;20.144;-16.787;3.791;27.944;-15.941;2.460;31.695;-14.747;0.849;34.438;-14.053;-0.090;36.262;-16.687;4.074;19.873;-14.756;4.822;27.576;-13.918;3.670;31.137;-13.088;2.321;33.486;-12.688;1.091;35.096;-15.552;3.410;21.445;-12.825;3.764;24.290;-11.345;3.029;26.323;-9.205;4.043;27.806;1.562;36.825;-2.157;15.641;34.317;-0.299;20.470;21.129;-3.080;25.808;6.553;-6.152;22.109;5.458;6.055;18.066;4.011;21.011;19.522;3.018;21.871;20.653;1.058;28.177;21.623;-0.227;30.621;22.195;-1.428;32.642;22.437;-2.316;34.078;18.881;3.654;22.012;19.420;3.254;28.644;19.652;2.087;32.865;19.252;0.665;35.874;18.870;-0.138;37.774;17.535;3.900;22.448;17.762;4.857;29.510;18.025;4.107;34.094;17.396;2.732;36.724;16.700;1.784;38.566;16.822;4.461;22.289;15.507;6.001;29.481;15.093;5.630;33.249;14.600;4.444;35.580;13.989;3.381;37.441;15.655;4.405;22.931;13.222;6.086;25.505;12.172;6.548;28.634;9.980;7.839;29.683;0.000;0.000;0.000;-7.621;-12.225;-1.041;-10.413;-32.931;-0.286;-13.691;-57.239;0.601;-14.045;-101.404;-8.055;7.584;-12.361;-1.446;9.639;-33.035;-0.505;12.052;-57.304;0.599;11.904;-101.687;-8.748
702.000;28.080;0.031;7.231;-0.140;0.015;14.039;-0.251;-0.071;26.085;-0.421;-0.169;41.979;-0.875;-0.289;46.241;2.247;-0.168;52.763;3.441;-7.078;56.608;4.837;6.579;57.099;3.054;-2.621;58.845;11.767;3.902;59.079;10.915;-1.669;36.796;-2.352;-15.644;35.306;-1.574;-20.927;22.733;-3.988;-26.766;8.837;-6.656;-22.529;6.251;5.333;-17.612;3.284;19.422;-19.356;2.809;19.965;-20.056;-0.032;26.691;-20.035;-0.903;28.997;-20.313;-2.155;31.309;-20.236;-2.671;32.898;-18.735;3.379;20.045;-18.950;2.362;27.432;-17.927;1.186;31.257;-16.768;-0.084;33.678;-16.036;-1.070;35.313;-17.595;3.462;20.159;-16.800;3.795;27.951;-15.922;2.455;31.696;-14.710;0.821;34.415;-14.018;-0.128;36.234;-16.700;4.086;19.885;-14.763;4.831;27.584;-13.866;3.655;31.134;-13.061;2.301;33.469;-12.633;1.065;35.066;-15.557;3.419;21.428;-12.833;3.774;24.298;-11.351;3.042;26.348;-9.189;4.053;27.802;1.554;36.820;-2.185;15.635;34.319;-0.321;20.476;21.129;-3.084;25.826;6.552;-6.139;22.114;5.481;6.068;18.060;4.064;21.022;19.515;3.065;21.887;20.602;1.110;28.195;21.508;-0.166;30.671;22.039;-1.326;32.727;22.289;-2.190;34.176;18.873;3.701;22.023;19.367;3.306;28.664;19.573;2.142;32.882;19.133;0.695;35.879;18.739;-0.120;37.771;17.552;3.932;22.461;17.703;4.890;29.524;17.939;4.142;34.106;17.302;2.771;36.723;16.602;1.795;38.549;16.831;4.481;22.298;15.452;6.038;29.487;15.007;5.640;33.253;14.516;4.490;35.572;13.896;3.396;37.412;15.661;4.473;22.929;13.196;6.117;25.509;12.161;6.621;28.605;9.944;7.847;29.679;0.000;0.000;0.000;-7.621;-12.226;-1.034;-10.417;-32.932;-0.263;-13.699;-57.239;0.642;-14.055;-101.404;-8.006;7.585;-12.362;-1.434;9.640;-33.035;-0.480;12.052;-57.303;0.639;11.906;-101.688;-8.702
703.000;28.120;0.031;7.230;-0.146;0.016;14.037;-0.263;-0.070;26.081;-0.444;-0.169;41.975;-0.910;-0.291;46.240;2.211;-0.173;52.764;3.407;-7.080;56.612;4.805;6.577;57.097;3.017;-2.619;58.848;11.733;3.903;59.080;10.879;-1.668;36.791;-2.384;-15.648;35.298;-1.607;-20.926;22.722;-4.002;-26.759;8.822;-6.649;-22.528;6.245;5.342;-17.617;3.289;19.433;-19.360;2.813;19.982;-20.057;-0.034;26.706;-20.054;-0.916;29.001;-20.329;-2.173;31.311;-20.253;-2.702;32.896;-18.739;3.382;20.061;-18.943;2.367;27.447;-17.943;1.164;31.272;-16.780;-0.100;33.688;-16.054;-1.093;35.321;-17.539;3.459;20.159;-16.772;3.800;27.966;-15.913;2.412;31.698;-14.696;0.785;34.417;-14.014;-0.188;36.227;-16.648;4.103;19.887;-14.738;4.820;27.591;-13.823;3.618;31.131;-12.998;2.246;33.452;-12.576;1.004;35.047;-15.556;3.429;21.466;-12.829;3.772;24.309;-11.340;3.047;26.347;-9.162;4.040;27.789;1.556;36.816;-2.215;15.631;34.320;-0.344;20.483;21.131;-3.090;25.845;6.553;-6.124;22.126;5.510;6.078;18.064;4.128;21.028;19.522;3.136;21.902;20.569;1.160;28.206;21.370;-0.072;30.747;21.910;-1.228;32.798;22.147;-2.054;34.272;18.877;3.771;22.035;19.336;3.356;28.683;19.457;2.149;32.896;18.990;0.685;35.868;18.573;-0.137;37.752;17.533;4.002;22.460;17.630;4.938;29.536;17.832;4.152;34.108;17.179;2.756;36.713;16.451;1.775;38.526;16.816;4.555;22.294;15.398;6.090;29.467;14.943;5.671;33.243;14.439;4.502;35.548;13.796;3.405;37.378;15.633;4.491;22.882;13.173;6.131;25.499;12.134;6.638;28.609;9.893;7.843;29.655;0.000;0.000;0.000;-7.620;-12.226;-1.027;-10.419;-32.932;-0.241;-13.704;-57.239;0.682;-14.058;-101.406;-7.957;7.585;-12.364;-1.421;9.638;-33.037;-0.454;12.046;-57.306;0.681;11.897;-101.689;-8.652
704.000;28.160;0.032;7.230;-0.152;0.016;14.038;-0.275;-0.069;26.082;-0.466;-0.162;41.975;-0.945;-0.282;46.243;2.174;-0.154;52.767;3.368;-7.059;56.619;4.768;6.598;57.096;2.970;-2.593;58.859;11.691;3.929;59.087;10.833;-1.663;36.790;-2.414;-15.640;35.303;-1.640;-20.921;22.726;-4.024;-26.757;8.825;-6.660;-22.531;6.264;5.339;-17.631;3.327;19.437;-19.375;2.870;19.988;-20.078;0.038;26.721;-20.071;-0.845;29.017;-20.357;-2.098;31.329;-20.285;-2.651;32.905;-18.755;3.440;20.067;-18.982;2.421;27.449;-17.971;1.231;31.276;-16.801;-0.025;33.700;-16.086;-1.018;35.338;-17.542;3.507;20.162;-16.812;3.851;27.967;-15.919;2.490;31.698;-14.709;0.845;34.411;-14.019;-0.123;36.221;-16.665;4.158;19.890;-14.753;4.877;27.589;-13.844;3.664;31.138;-12.994;2.331;33.450;-12.618;1.042;35.019;-15.579;3.454;21.447;-12.851;3.823;24.320;-11.364;3.094;26.367;-9.187;4.110;27.794;1.561;36.814;-2.246;15.635;34.318;-0.369;20.487;21.128;-3.103;25.850;6.550;-6.126;22.141;5.575;6.083;18.089;4.277;21.044;19.546;3.285;21.932;20.467;1.291;28.257;21.229;0.081;30.800;21.712;-1.025;32.903;21.925;-1.785;34.416;18.898;3.917;22.060;19.253;3.494;28.711;19.215;2.218;32.908;18.668;0.692;35.839;18.179;-0.169;37.687;17.553;4.142;22.467;17.565;5.044;29.538;17.619;4.160;34.105;16.933;2.728;36.666;16.166;1.703;38.438;16.837;4.694;22.293;15.329;6.193;29.445;14.788;5.771;33.214;14.304;4.583;35.516;13.663;3.463;37.332;15.687;4.655;22.899;13.163;6.214;25.483;12.073;6.687;28.533;9.839;7.887;29.601;0.000;0.000;0.000;-7.620;-12.227;-1.021;-10.419;-32.930;-0.226;-13.704;-57.233;0.708;-14.059;-101.407;-7.911;7.586;-12.365;-1.408;9.636;-33.037;-0.430;12.043;-57.305;0.718;11.894;-101.694;-8.605
705.000;28.200;0.033;7.232;-0.157;0.019;14.041;-0.284;-0.064;26.088;-0.483;-0.160;41.981;-0.980;-0.281;46.250;2.136;-0.152;52.771;3.331;-7.054;56.632;4.722;6.603;57.093;2.927;-2.587;58.879;11.643;3.935;59.099;10.785;-1.659;36.794;-2.444;-15.635;35.311;-1.680;-20.917;22.735;-4.059;-26.755;8.834;-6.688;-22.540;6.312;5.321;-17.650;3.417;19.433;-19.381;2.973;19.989;-20.115;0.169;26.722;-20.048;-0.697;29.032;-20.318;-1.937;31.346;-20.216;-2.440;32.938;-18.767;3.549;20.069;-18.998;2.576;27.440;-17.961;1.379;31.271;-16.791;0.131;33.695;-16.074;-0.853;35.337;-17.551;3.600;20.161;-16.824;3.991;27.950;-15.933;2.642;31.679;-14.694;0.994;34.384;-14.003;0.023;36.192;-16.678;4.249;19.886;-14.787;5.004;27.579;-13.807;3.814;31.105;-12.981;2.466;33.424;-12.548;1.187;34.987;-15.602;3.544;21.459;-12.864;3.869;24.318;-11.377;3.107;26.338;-9.197;4.113;27.767;1.564;36.819;-2.274;15.638;34.319;-0.391;20.508;21.134;-3.120;25.890;6.562;-6.136;22.171;5.704;6.072;18.118;4.553;21.031;19.550;3.567;21.956;20.390;1.540;28.268;20.963;0.426;30.904;21.351;-0.565;33.064;21.511;-1.264;34.612;18.913;4.212;22.075;19.149;3.771;28.729;18.923;2.492;32.908;18.306;1.022;35.847;17.784;0.191;37.700;17.571;4.416;22.449;17.477;5.310;29.503;17.294;4.433;34.060;16.560;3.026;36.633;15.788;2.022;38.414;16.854;4.965;22.265;15.252;6.473;29.389;14.638;6.042;33.152;14.129;4.851;35.466;13.475;3.772;37.304;15.690;4.925;22.891;13.126;6.437;25.429;11.993;6.894;28.512;9.708;8.074;29.490;0.000;0.000;0.000;-7.620;-12.227;-1.018;-10.418;-32.928;-0.211;-13.703;-57.228;0.737;-14.052;-101.407;-7.862;7.586;-12.366;-1.395;9.639;-33.036;-0.406;12.050;-57.300;0.755;11.915;-101.693;-8.561
