Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2972.000;118.880;-0.397;7.446;-1.624;-0.771;14.666;-1.712;-1.434;27.714;-0.045;-2.411;43.583;0.199;-2.418;47.584;3.339;-1.929;53.907;4.582;-8.363;58.569;5.736;5.246;57.442;3.871;-3.610;60.774;12.478;2.889;60.235;11.587;-3.688;38.390;-1.444;-17.636;35.529;0.408;-22.575;22.488;-1.244;-28.034;8.074;-3.069;-22.244;9.575;7.675;-16.595;12.002;21.527;-16.114;10.435;22.519;-12.280;10.921;28.918;-11.151;12.056;30.863;-9.443;13.318;32.411;-8.358;14.399;33.081;-16.547;11.162;22.529;-14.336;12.511;29.481;-12.675;14.313;32.817;-11.082;15.923;34.802;-9.915;16.922;36.153;-16.594;12.505;21.947;-15.417;14.784;29.601;-13.792;16.430;33.023;-11.762;18.358;34.957;-10.422;19.461;36.250;-17.273;13.280;21.661;-16.326;16.778;28.751;-14.534;18.462;31.769;-12.651;19.760;33.429;-11.011;20.441;34.482;-16.462;14.663;23.080;-17.131;18.028;24.053;-15.751;19.949;25.648;-15.760;22.500;26.788;-0.466;38.588;-1.400;13.787;36.559;0.342;19.945;23.615;-2.017;26.752;9.308;-4.623;22.245;10.884;6.904;17.458;13.296;21.444;17.890;11.792;22.756;17.690;11.368;29.435;17.024;10.949;32.290;15.465;10.589;34.339;14.453;10.552;35.712;17.740;12.691;22.682;18.181;13.795;29.202;17.428;13.689;33.521;15.570;13.534;36.287;14.222;13.489;37.893;16.963;13.913;22.644;17.928;16.108;29.412;17.307;16.333;34.061;15.415;16.177;36.465;13.778;16.213;37.913;16.792;14.750;22.300;17.034;18.391;28.806;16.891;19.282;32.495;15.885;19.145;34.914;14.726;19.178;36.817;16.086;15.491;22.742;15.633;19.072;24.186;15.509;21.105;26.763;15.056;23.795;27.127;0.000;0.000;0.000;-6.885;-12.404;2.644;-8.144;-25.738;19.832;-9.623;-41.391;40.010;-4.200;-70.076;4.401;8.065;-11.893;1.676;8.888;-29.989;12.043;9.854;-51.232;24.213;6.913;-95.140;33.025
2973.000;118.920;-0.395;7.447;-1.622;-0.768;14.669;-1.706;-1.429;27.718;-0.027;-2.401;43.587;0.216;-2.406;47.588;3.354;-1.915;53.910;4.591;-8.350;58.575;5.740;5.260;57.444;3.879;-3.598;60.785;12.481;2.901;60.245;11.592;-3.679;38.394;-1.426;-17.627;35.551;0.427;-22.596;22.512;-1.174;-28.088;8.101;-2.945;-22.282;9.717;7.776;-16.614;12.308;21.595;-16.152;10.722;22.571;-12.395;11.160;29.010;-11.310;12.199;31.012;-9.343;13.723;31.981;-8.159;14.885;32.193;-16.580;11.452;22.579;-14.450;12.740;29.566;-12.727;14.438;32.924;-10.854;16.114;34.585;-9.368;17.176;35.504;-16.619;12.827;22.017;-15.499;15.042;29.685;-13.800;16.613;33.111;-11.579;18.523;34.843;-10.039;19.599;35.919;-17.298;13.602;21.732;-16.384;17.035;28.841;-14.643;18.662;31.891;-12.625;19.950;33.393;-10.890;20.589;34.312;-16.433;14.938;23.164;-16.961;18.326;24.201;-15.481;20.167;25.824;-15.253;22.650;27.083;-0.457;38.591;-1.383;13.793;36.551;0.365;19.974;23.614;-1.968;26.806;9.316;-4.547;22.206;10.904;6.958;17.300;13.381;21.431;17.832;11.956;22.775;17.852;11.747;29.458;17.192;11.332;32.325;15.577;10.984;34.335;14.511;10.944;35.666;17.659;12.848;22.675;18.311;14.203;29.118;17.567;14.155;33.449;15.617;14.007;36.158;14.186;13.966;37.690;16.813;14.021;22.632;17.947;16.515;29.239;17.298;16.804;33.880;15.328;16.616;36.218;13.611;16.600;37.571;16.609;14.837;22.258;16.949;18.743;28.573;16.891;19.730;32.206;15.830;19.578;34.601;14.555;19.560;36.428;15.865;15.525;22.695;15.265;19.121;24.085;15.029;21.067;26.759;14.318;23.636;27.441;0.000;0.000;0.000;-6.888;-12.403;2.641;-8.168;-25.737;19.828;-9.671;-41.389;40.004;-4.236;-70.077;4.398;8.062;-11.895;1.677;8.879;-29.991;12.045;9.838;-51.233;24.215;6.888;-95.136;33.025
2974.000;118.960;-0.392;7.447;-1.617;-0.761;14.667;-1.692;-1.415;27.713;0.005;-2.378;43.583;0.242;-2.379;47.587;3.377;-1.885;53.913;4.608;-8.325;58.576;5.727;5.290;57.449;3.912;-3.596;60.801;12.479;2.906;60.262;11.612;-3.659;38.390;-1.398;-17.600;35.584;0.467;-22.663;22.554;-1.003;-28.258;8.151;-2.628;-22.363;10.097;8.016;-16.577;13.154;21.740;-16.186;11.493;22.652;-12.683;11.640;29.180;-11.406;12.554;31.139;-9.546;14.136;30.399;-9.031;14.984;29.052;-16.554;12.254;22.650;-14.735;13.182;29.818;-12.213;14.593;32.737;-9.692;16.276;32.826;-8.034;17.282;32.177;-16.575;13.754;22.144;-15.715;15.533;29.893;-13.520;16.760;33.207;-10.667;18.515;33.820;-8.658;19.322;33.795;-17.248;14.521;21.882;-16.673;17.550;29.181;-15.705;18.663;32.549;-13.367;19.834;33.576;-11.376;20.376;33.509;-16.378;15.637;23.413;-16.488;19.011;24.744;-14.928;20.579;26.535;-14.315;22.826;28.079;-0.437;38.585;-1.355;13.809;36.529;0.399;20.108;23.625;-1.827;27.071;9.363;-4.287;22.128;10.963;7.139;16.766;13.601;21.373;17.634;12.387;22.808;18.436;13.229;29.351;17.991;13.098;32.307;16.155;12.756;34.090;14.741;12.722;35.043;17.300;13.216;22.617;18.605;15.635;28.621;17.987;16.111;32.956;15.704;15.867;35.329;13.924;15.513;36.379;16.319;14.369;22.529;17.897;17.856;28.451;17.110;18.571;33.011;14.941;18.046;35.087;12.935;17.556;35.800;15.979;15.095;22.075;16.530;19.839;27.665;16.887;21.275;30.993;15.559;20.949;33.161;13.866;20.432;34.516;15.067;15.563;22.543;13.858;19.110;23.797;13.294;20.787;26.663;11.942;22.617;28.211;0.000;0.000;0.000;-6.892;-12.402;2.632;-8.208;-25.734;19.820;-9.752;-41.383;39.998;-4.281;-70.078;4.408;8.059;-11.898;1.674;8.868;-29.994;12.046;9.817;-51.237;24.222;6.856;-95.135;33.037
2975.000;119.000;-0.386;7.445;-1.615;-0.748;14.663;-1.688;-1.385;27.706;0.016;-2.326;43.577;0.241;-2.313;47.586;3.374;-1.804;53.914;4.600;-8.249;58.580;5.682;5.374;57.449;3.929;-3.550;60.816;12.451;2.956;60.277;11.613;-3.619;38.385;-1.390;-17.557;35.629;0.541;-22.777;22.634;-0.743;-28.547;8.270;-2.162;-22.469;10.716;8.305;-16.463;14.320;21.886;-15.998;12.629;22.662;-12.699;12.334;29.146;-11.131;13.250;30.954;-10.226;14.777;29.180;-10.681;15.002;27.586;-16.354;13.395;22.702;-14.749;13.766;29.933;-11.467;15.448;31.748;-9.600;17.101;29.978;-8.955;17.776;28.158;-16.480;14.850;22.342;-15.804;16.056;30.042;-12.751;17.225;32.595;-9.939;18.781;31.633;-8.404;19.441;30.256;-17.142;15.598;22.141;-17.002;18.032;29.581;-16.694;18.623;33.068;-14.313;19.766;33.612;-12.632;20.364;32.573;-16.374;16.629;23.633;-16.430;19.905;25.353;-14.797;21.257;27.350;-14.011;23.208;29.190;-0.397;38.575;-1.357;13.837;36.490;0.361;20.367;23.626;-1.579;27.585;9.409;-3.724;22.175;11.131;7.543;16.164;14.062;21.380;17.330;13.238;22.941;18.737;15.640;28.877;18.323;16.173;31.862;16.073;15.519;32.931;14.429;15.071;33.000;16.821;13.939;22.648;18.520;17.846;27.707;17.758;19.028;31.905;15.029;17.941;33.462;13.204;16.926;33.660;15.698;15.002;22.361;17.199;19.789;27.215;16.299;20.919;31.606;13.936;19.633;33.084;12.206;18.348;32.721;15.219;15.567;21.813;15.608;21.338;26.244;16.072;23.390;29.002;14.694;22.685;30.890;12.923;21.481;31.507;14.320;15.952;22.348;12.445;19.382;23.195;11.877;21.100;25.965;10.697;22.113;28.235;0.000;0.000;0.000;-6.900;-12.398;2.634;-8.233;-25.725;19.827;-9.798;-41.370;40.011;-4.312;-70.067;4.425;8.051;-11.903;1.672;8.857;-29.995;12.047;9.802;-51.234;24.228;6.822;-95.132;33.042
2976.000;119.040;-0.382;7.443;-1.615;-0.737;14.659;-1.688;-1.358;27.699;0.012;-2.258;43.573;0.231;-2.216;47.581;3.362;-1.668;53.906;4.585;-8.099;58.599;5.634;5.527;57.411;3.942;-3.421;60.824;12.421;3.086;60.257;11.612;-3.571;38.382;-1.392;-17.475;35.757;0.606;-22.976;22.816;-0.290;-29.056;8.514;-1.279;-22.589;11.796;8.765;-16.148;16.164;21.980;-15.454;14.623;22.562;-12.148;13.661;28.626;-10.508;15.026;29.993;-10.595;16.402;27.951;-11.662;16.153;26.688;-15.916;15.307;22.746;-14.327;14.673;29.682;-11.147;17.002;30.652;-10.596;18.580;28.138;-10.952;18.812;26.138;-16.175;16.505;22.540;-15.693;16.801;30.024;-12.284;18.324;31.876;-10.388;20.094;29.778;-9.846;20.653;27.757;-16.875;17.234;22.437;-17.129;18.461;30.100;-16.757;18.450;33.477;-14.624;19.970;33.542;-13.617;20.725;31.905;-16.278;18.173;23.846;-16.837;21.004;26.266;-15.516;22.256;28.625;-14.717;23.488;31.002;-0.348;38.565;-1.372;13.872;36.431;0.310;20.785;23.651;-1.119;28.426;9.525;-2.698;22.462;11.573;8.276;15.655;14.982;21.547;17.131;14.624;23.197;18.349;18.758;28.102;17.539;19.763;30.899;15.485;18.455;31.426;14.303;17.378;30.832;16.446;15.100;22.822;17.625;20.544;26.482;16.624;22.318;30.389;14.223;20.406;31.521;13.036;18.759;30.992;15.157;16.023;22.380;16.008;21.956;25.686;14.825;23.678;29.764;12.847;21.652;30.981;11.871;19.899;30.115;14.542;16.337;21.770;14.142;23.031;24.588;14.401;25.632;26.605;13.188;24.716;28.415;11.804;22.984;28.635;13.520;16.665;22.220;11.148;19.799;22.539;10.607;22.079;24.927;9.901;22.730;27.506;0.000;0.000;0.000;-6.907;-12.392;2.644;-8.225;-25.715;19.842;-9.773;-41.355;40.031;-4.332;-70.061;4.444;8.043;-11.910;1.661;8.851;-29.997;12.047;9.799;-51.231;24.238;6.797;-95.132;33.063
2977.000;119.080;-0.378;7.445;-1.622;-0.719;14.664;-1.709;-1.306;27.710;-0.042;-2.130;43.588;0.123;-2.063;47.604;3.258;-1.488;53.912;4.510;-7.896;58.642;5.534;5.732;57.376;3.912;-3.241;60.825;12.350;3.267;60.220;11.576;-3.472;38.399;-1.479;-17.345;35.965;0.556;-23.230;23.090;0.378;-29.736;8.860;0.181;-22.874;13.131;9.571;-15.875;18.249;22.190;-14.783;16.996;22.592;-10.727;16.121;27.768;-9.439;18.056;28.825;-10.493;19.096;26.845;-11.743;18.436;25.952;-15.368;17.501;22.935;-12.893;16.452;29.278;-10.326;19.546;29.862;-11.053;20.926;27.267;-12.054;20.869;25.484;-15.902;18.477;22.769;-14.704;18.105;30.085;-11.527;20.353;31.348;-10.831;22.477;28.985;-11.335;22.828;26.909;-16.755;19.036;22.828;-16.393;19.265;30.548;-15.620;19.024;33.791;-14.013;21.074;33.487;-13.753;22.051;31.687;-16.304;19.950;24.162;-17.388;22.154;27.081;-16.319;23.397;29.635;-14.976;24.048;31.997;-0.248;38.566;-1.468;13.928;36.380;0.232;21.348;23.758;-0.421;29.550;9.807;-1.142;22.916;12.393;9.333;15.181;16.479;21.813;16.650;16.654;23.471;17.344;21.743;27.441;16.329;23.177;29.893;14.621;21.451;30.295;13.952;20.065;29.557;15.917;16.959;23.019;16.482;23.103;25.493;14.988;25.359;28.964;13.103;22.898;29.968;12.667;20.997;29.197;14.548;17.604;22.387;14.619;24.125;24.384;13.021;26.148;28.029;11.594;23.755;29.290;11.380;21.890;28.170;13.914;17.711;21.728;12.706;24.663;23.222;12.518;27.473;24.801;11.441;26.357;26.536;10.532;24.322;26.557;12.852;17.895;22.165;10.121;20.737;21.888;9.425;23.355;23.832;9.104;24.109;26.458;0.000;0.000;0.000;-6.909;-12.388;2.657;-8.199;-25.710;19.852;-9.714;-41.349;40.037;-4.330;-70.069;4.446;8.040;-11.912;1.659;8.855;-29.998;12.045;9.811;-51.228;24.238;6.807;-95.127;33.071
2978.000;119.120;-0.371;7.449;-1.634;-0.695;14.673;-1.751;-1.239;27.729;-0.159;-1.966;43.613;-0.114;-1.874;47.644;3.032;-1.262;53.923;4.351;-7.644;58.693;5.353;5.987;57.338;3.826;-3.025;60.806;12.215;3.484;60.159;11.486;-3.339;38.419;-1.676;-17.182;36.190;0.413;-23.541;23.494;1.182;-30.569;9.461;2.033;-23.325;14.537;10.628;-15.599;20.441;22.517;-14.240;19.367;22.715;-9.300;19.448;26.917;-8.349;21.733;27.422;-10.127;22.238;25.863;-11.231;21.148;25.238;-14.837;19.750;23.175;-11.123;19.439;28.828;-9.269;23.011;28.698;-10.899;23.953;26.348;-12.244;23.459;24.888;-15.542;20.679;23.095;-13.034;20.530;30.039;-10.100;23.491;30.658;-10.567;25.532;28.096;-11.541;25.658;26.166;-16.445;21.059;23.322;-14.828;21.364;30.833;-13.473;21.144;33.846;-12.376;23.453;33.467;-12.602;24.406;31.649;-15.941;21.958;24.466;-16.829;23.852;27.747;-15.552;25.192;30.163;-13.905;25.989;32.274;-0.115;38.567;-1.667;13.991;36.323;0.101;21.997;23.969;0.486;30.845;10.316;0.912;23.428;13.476;10.662;14.685;18.239;22.143;16.119;18.728;23.839;16.314;24.395;26.972;14.908;25.926;29.216;13.464;23.967;29.560;13.176;22.468;28.798;15.379;18.889;23.326;15.332;25.406;24.832;13.421;27.752;27.958;11.903;25.094;28.831;12.044;23.136;28.092;13.895;19.403;22.515;13.487;26.006;23.566;11.458;28.143;26.810;10.345;25.619;28.068;10.621;23.771;26.934;13.301;19.370;21.813;11.602;26.272;22.229;11.069;29.172;23.500;10.049;28.026;25.256;9.408;25.893;25.317;12.227;19.501;22.181;9.326;21.969;21.337;8.302;24.776;22.695;8.120;25.643;25.300;0.000;0.000;0.000;-6.913;-12.384;2.662;-8.178;-25.715;19.845;-9.664;-41.364;40.016;-4.326;-70.087;4.428;8.036;-11.914;1.665;8.849;-30.004;12.040;9.802;-51.240;24.219;6.801;-95.130;33.064
2979.000;119.160;-0.364;7.451;-1.649;-0.667;14.678;-1.803;-1.153;27.741;-0.308;-1.776;43.629;-0.415;-1.658;47.683;2.737;-1.005;53.936;4.117;-7.355;58.751;5.100;6.277;57.293;3.691;-2.784;60.766;12.024;3.726;60.070;11.351;-3.184;38.430;-1.926;-16.988;36.434;0.227;-23.886;24.065;2.141;-31.509;10.394;4.257;-23.661;16.114;11.838;-15.064;22.854;22.604;-13.685;21.830;22.774;-8.412;22.369;26.396;-7.579;24.801;26.629;-9.559;24.949;25.182;-10.590;23.698;24.771;-14.260;22.191;23.279;-10.035;22.379;28.529;-8.371;26.081;27.839;-10.397;26.650;25.577;-11.887;25.871;24.412;-15.008;23.149;23.162;-11.897;23.498;29.786;-9.160;26.628;29.887;-9.923;28.328;27.171;-11.221;28.019;25.466;-15.906;23.490;23.455;-13.660;24.273;30.717;-11.969;24.319;33.589;-11.091;26.645;32.953;-11.556;27.432;31.102;-15.232;24.486;24.451;-15.924;26.441;27.714;-14.502;27.932;29.972;-12.585;28.870;31.776;0.041;38.556;-1.919;14.058;36.255;-0.021;22.623;24.296;1.497;32.090;11.077;3.175;23.917;14.708;12.142;14.242;20.017;22.576;15.561;20.746;24.315;15.318;26.679;26.770;13.555;28.082;28.766;12.399;25.991;29.007;12.482;24.465;28.247;14.838;20.813;23.759;14.457;27.460;24.482;12.050;29.746;27.303;10.969;26.813;28.089;11.547;24.990;27.228;13.264;21.185;22.793;12.605;27.763;23.007;10.262;29.775;26.026;9.404;27.134;27.195;10.088;25.469;25.954;12.732;21.044;22.055;10.810;27.753;21.562;9.979;30.637;22.666;8.998;29.443;24.395;8.467;27.284;24.541;11.806;21.124;22.248;8.778;23.300;20.920;7.476;26.106;21.955;7.293;27.076;24.523;0.000;0.000;0.000;-6.914;-12.382;2.669;-8.181;-25.720;19.846;-9.669;-41.377;40.010;-4.322;-70.093;4.414;8.035;-11.914;1.671;8.845;-30.003;12.044;9.796;-51.238;24.221;6.789;-95.127;33.056
2980.000;119.200;-0.353;7.454;-1.666;-0.629;14.685;-1.859;-1.050;27.757;-0.461;-1.573;43.647;-0.706;-1.426;47.721;2.448;-0.725;53.947;3.879;-7.042;58.810;4.841;6.590;57.243;3.551;-2.521;60.726;11.826;3.988;59.977;11.210;-3.013;38.445;-2.173;-16.753;36.676;0.049;-24.267;24.841;3.155;-32.573;11.761;6.588;-24.096;17.871;13.095;-14.683;25.283;22.609;-13.318;24.220;22.787;-7.876;24.862;26.163;-6.975;27.267;25.998;-9.012;27.393;24.652;-10.152;26.187;24.451;-13.844;24.678;23.265;-9.382;25.230;28.273;-7.665;28.783;27.143;-9.720;29.095;24.866;-11.340;28.195;24.000;-14.561;25.659;23.130;-11.124;26.586;29.445;-8.256;29.567;29.112;-9.182;30.949;26.254;-10.558;30.450;24.659;-15.443;26.073;23.424;-12.810;27.500;30.464;-10.932;27.869;33.191;-9.992;30.051;32.159;-10.504;30.618;30.241;-14.678;27.122;24.226;-15.101;29.435;27.309;-13.516;31.133;29.336;-11.397;32.145;30.850;0.213;38.551;-2.166;14.140;36.241;-0.158;23.160;24.739;2.451;33.131;12.027;5.336;24.293;15.967;13.545;13.806;21.640;23.015;14.968;22.522;24.773;14.435;28.503;26.871;12.395;29.712;28.700;11.446;27.504;28.741;11.843;26.064;27.917;14.281;22.552;24.171;13.694;29.174;24.470;11.002;31.180;27.132;10.204;28.162;27.721;11.107;26.459;26.895;12.996;22.897;23.262;12.009;29.296;22.931;9.340;31.119;25.734;8.694;28.350;26.745;9.614;26.811;25.496;12.431;22.676;22.569;10.297;29.123;21.330;9.122;31.942;22.330;8.149;30.768;24.067;7.916;28.559;24.251;11.302;22.647;22.488;8.279;24.487;20.817;6.813;27.300;21.653;6.659;28.263;24.226;0.000;0.000;0.000;-6.922;-12.376;2.679;-8.207;-25.712;19.855;-9.715;-41.367;40.018;-4.333;-70.079;4.421;8.028;-11.918;1.679;8.837;-30.006;12.052;9.788;-51.239;24.228;6.778;-95.126;33.059
