Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3653.000;146.120;0.032;7.265;-0.248;-0.028;14.106;-0.403;-0.251;26.212;-0.581;-0.643;42.087;-1.388;-0.678;46.394;1.676;-0.284;52.883;2.849;-7.197;56.881;3.688;6.564;57.076;2.932;-3.225;59.099;10.913;3.346;59.192;10.552;-2.070;36.846;-2.727;-16.080;34.907;-1.170;-21.311;21.911;-1.947;-27.093;7.547;-2.806;-21.601;5.591;8.786;-15.396;3.249;22.480;-16.001;1.674;23.233;-12.119;-1.723;28.749;-10.588;-2.423;30.590;-9.070;-3.516;32.363;-7.979;-3.856;33.584;-15.861;2.493;23.394;-12.475;0.682;29.865;-9.726;0.181;32.902;-7.475;-0.064;34.872;-5.963;-0.409;36.205;-15.107;3.814;22.972;-11.776;3.092;30.467;-9.199;2.482;33.588;-6.647;2.091;35.731;-5.159;1.784;37.274;-15.198;4.899;22.984;-11.279;5.413;30.069;-8.797;5.104;32.967;-6.782;4.816;34.928;-5.276;4.306;36.245;-13.498;5.063;24.351;-11.966;7.861;26.079;-10.067;8.771;27.597;-9.607;11.335;28.607;1.154;36.932;-2.608;15.291;34.628;-0.580;21.319;21.253;-1.492;27.981;6.470;-2.500;21.939;5.144;8.799;14.962;3.228;22.691;14.729;1.430;23.576;11.930;-1.033;29.273;10.554;-2.415;31.522;8.957;-3.349;33.085;7.719;-4.017;34.049;14.683;2.323;23.767;12.485;1.345;30.003;10.298;0.401;33.669;7.998;-0.220;36.000;6.512;-0.587;37.435;14.098;3.571;23.759;12.253;3.580;30.834;10.331;2.983;35.021;8.370;2.585;37.270;6.829;2.480;38.816;14.101;4.487;23.666;11.792;6.132;30.672;10.282;6.446;34.251;9.131;6.376;36.621;8.149;6.379;38.621;13.390;5.277;24.203;12.564;8.540;25.994;11.143;9.930;28.610;10.485;12.568;29.036;0.000;0.000;0.000;-7.669;-12.216;-0.744;-10.098;-32.847;0.426;-12.948;-57.065;1.800;-12.686;-101.407;-6.273;7.531;-12.412;-1.278;9.544;-33.017;-0.123;11.907;-57.204;1.233;11.603;-101.594;-7.954
3654.000;146.160;0.032;7.261;-0.250;-0.028;14.099;-0.408;-0.251;26.200;-0.589;-0.636;42.076;-1.390;-0.671;46.386;1.681;-0.279;52.880;2.865;-7.190;56.881;3.711;6.571;57.070;2.947;-3.212;59.092;10.936;3.359;59.182;10.571;-2.066;36.836;-2.731;-16.080;34.900;-1.167;-21.315;21.904;-1.942;-27.101;7.541;-2.797;-21.610;5.605;8.798;-15.406;3.285;22.496;-16.018;1.703;23.250;-12.124;-1.684;28.766;-10.607;-2.356;30.615;-9.091;-3.404;32.424;-8.003;-3.724;33.653;-15.881;2.523;23.407;-12.499;0.738;29.888;-9.748;0.253;32.929;-7.509;0.028;34.910;-5.989;-0.272;36.244;-15.112;3.837;22.992;-11.786;3.138;30.482;-9.210;2.576;33.604;-6.671;2.208;35.759;-5.165;1.940;37.293;-15.192;4.916;22.993;-11.288;5.471;30.076;-8.802;5.164;32.976;-6.826;4.836;34.962;-5.304;4.351;36.271;-13.524;5.093;24.345;-11.970;7.907;26.088;-10.079;8.811;27.604;-9.603;11.375;28.609;1.159;36.921;-2.612;15.290;34.614;-0.588;21.326;21.237;-1.475;27.998;6.453;-2.456;21.948;5.147;8.839;14.967;3.256;22.727;14.741;1.459;23.616;11.943;-0.986;29.333;10.579;-2.362;31.588;8.972;-3.297;33.152;7.735;-3.948;34.130;14.696;2.353;23.804;12.505;1.390;30.054;10.328;0.480;33.736;8.027;-0.149;36.064;6.543;-0.498;37.504;14.100;3.603;23.794;12.275;3.622;30.875;10.362;3.046;35.070;8.409;2.645;37.327;6.871;2.536;38.875;14.104;4.519;23.698;11.790;6.178;30.708;10.321;6.526;34.287;9.160;6.459;36.669;8.201;6.477;38.680;13.379;5.305;24.229;12.562;8.578;26.017;11.113;9.973;28.627;10.473;12.615;29.054;0.000;0.000;0.000;-7.671;-12.215;-0.740;-10.095;-32.848;0.434;-12.941;-57.068;1.812;-12.670;-101.408;-6.258;7.530;-12.413;-1.275;9.546;-33.017;-0.118;11.913;-57.204;1.241;11.614;-101.592;-7.954
3655.000;146.200;0.032;7.260;-0.253;-0.028;14.097;-0.414;-0.252;26.196;-0.602;-0.641;42.071;-1.405;-0.677;46.385;1.671;-0.283;52.883;2.863;-7.193;56.883;3.718;6.566;57.073;2.942;-3.210;59.090;10.940;3.360;59.181;10.570;-2.069;36.831;-2.745;-16.082;34.892;-1.187;-21.324;21.899;-1.958;-27.119;7.539;-2.810;-21.647;5.623;8.796;-15.465;3.329;22.509;-16.076;1.770;23.275;-12.199;-1.638;28.792;-10.688;-2.291;30.644;-9.181;-3.353;32.457;-8.100;-3.675;33.691;-15.948;2.591;23.436;-12.569;0.785;29.904;-9.821;0.326;32.941;-7.584;0.086;34.927;-6.056;-0.207;36.255;-15.188;3.899;23.000;-11.853;3.192;30.492;-9.252;2.632;33.595;-6.707;2.278;35.742;-5.191;1.997;37.262;-15.273;4.988;23.005;-11.351;5.518;30.087;-8.867;5.196;32.992;-6.853;4.899;34.951;-5.348;4.386;36.268;-13.571;5.136;24.362;-12.006;7.933;26.101;-10.124;8.850;27.607;-9.631;11.409;28.615;1.156;36.916;-2.625;15.285;34.610;-0.600;21.318;21.232;-1.476;27.985;6.447;-2.444;21.953;5.158;8.865;14.990;3.291;22.769;14.778;1.500;23.665;12.007;-0.943;29.388;10.659;-2.307;31.662;9.062;-3.245;33.233;7.825;-3.895;34.211;14.734;2.394;23.853;12.567;1.454;30.106;10.435;0.550;33.819;8.142;-0.076;36.159;6.664;-0.426;37.606;14.131;3.649;23.839;12.350;3.671;30.923;10.462;3.109;35.135;8.497;2.710;37.390;6.953;2.606;38.934;14.136;4.565;23.741;11.848;6.237;30.758;10.402;6.592;34.345;9.264;6.522;36.716;8.294;6.539;38.722;13.432;5.346;24.275;12.609;8.623;26.065;11.157;10.024;28.674;10.496;12.667;29.057;0.000;0.000;0.000;-7.667;-12.218;-0.737;-10.092;-32.847;0.441;-12.939;-57.063;1.824;-12.666;-101.402;-6.250;7.534;-12.411;-1.268;9.547;-33.014;-0.109;11.910;-57.199;1.252;11.604;-101.587;-7.947
3656.000;146.240;0.032;7.257;-0.255;-0.029;14.091;-0.419;-0.256;26.186;-0.614;-0.646;42.061;-1.416;-0.683;46.379;1.665;-0.290;52.883;2.861;-7.199;56.884;3.719;6.560;57.072;2.942;-3.215;59.084;10.943;3.356;59.174;10.572;-2.072;36.821;-2.757;-16.085;34.883;-1.205;-21.343;21.895;-1.984;-27.154;7.541;-2.844;-21.715;5.637;8.777;-15.571;3.358;22.508;-16.200;1.777;23.273;-12.323;-1.615;28.804;-10.820;-2.260;30.657;-9.312;-3.327;32.467;-8.221;-3.631;33.697;-16.060;2.598;23.426;-12.690;0.821;29.915;-9.946;0.358;32.946;-7.700;0.111;34.931;-6.173;-0.133;36.269;-15.297;3.923;23.006;-11.988;3.213;30.496;-9.355;2.673;33.580;-6.833;2.286;35.712;-5.277;2.011;37.193;-15.385;5.029;23.010;-11.477;5.553;30.092;-8.994;5.239;32.992;-6.977;4.923;34.961;-5.492;4.397;36.295;-13.678;5.144;24.343;-12.124;7.959;26.100;-10.245;8.885;27.615;-9.753;11.443;28.625;1.152;36.906;-2.636;15.283;34.599;-0.608;21.301;21.216;-1.489;27.953;6.424;-2.463;21.951;5.147;8.863;15.028;3.293;22.785;14.817;1.516;23.687;12.081;-0.903;29.440;10.710;-2.276;31.711;9.124;-3.195;33.292;7.889;-3.839;34.276;14.778;2.410;23.875;12.659;1.482;30.148;10.518;0.568;33.863;8.222;-0.027;36.204;6.742;-0.361;37.652;14.178;3.651;23.860;12.429;3.699;30.957;10.541;3.152;35.168;8.606;2.769;37.435;7.053;2.666;38.970;14.181;4.566;23.760;11.947;6.267;30.791;10.514;6.632;34.386;9.406;6.571;36.765;8.446;6.596;38.776;13.488;5.358;24.308;12.684;8.645;26.088;11.247;10.048;28.692;10.608;12.694;29.095;0.000;0.000;0.000;-7.666;-12.219;-0.738;-10.092;-32.847;0.441;-12.939;-57.064;1.825;-12.660;-101.403;-6.250;7.535;-12.411;-1.261;9.548;-33.016;-0.099;11.910;-57.204;1.265;11.607;-101.585;-7.947
3657.000;146.280;0.032;7.256;-0.256;-0.030;14.088;-0.425;-0.256;26.179;-0.631;-0.650;42.055;-1.434;-0.692;46.377;1.651;-0.306;52.886;2.854;-7.215;56.887;3.707;6.544;57.074;2.934;-3.233;59.093;10.930;3.338;59.182;10.561;-2.074;36.814;-2.776;-16.084;34.870;-1.230;-21.355;21.889;-2.024;-27.181;7.542;-2.902;-21.783;5.647;8.738;-15.687;3.374;22.492;-16.328;1.794;23.256;-12.468;-1.591;28.796;-10.952;-2.244;30.651;-9.459;-3.288;32.474;-8.360;-3.615;33.691;-16.190;2.615;23.408;-12.829;0.850;29.906;-10.072;0.394;32.938;-7.835;0.135;34.913;-6.309;-0.131;36.248;-15.399;3.963;22.977;-12.137;3.255;30.492;-9.495;2.692;33.570;-6.949;2.307;35.684;-5.385;2.031;37.157;-15.499;5.054;22.985;-11.624;5.577;30.085;-9.125;5.264;32.984;-7.126;4.938;34.957;-5.642;4.414;36.293;-13.782;5.175;24.329;-12.260;7.988;26.091;-10.371;8.906;27.612;-9.893;11.473;28.607;1.150;36.900;-2.653;15.278;34.594;-0.620;21.287;21.209;-1.509;27.928;6.416;-2.491;21.950;5.141;8.847;15.056;3.288;22.784;14.834;1.519;23.686;12.155;-0.904;29.444;10.767;-2.264;31.727;9.183;-3.179;33.315;7.941;-3.809;34.301;14.797;2.413;23.875;12.712;1.494;30.154;10.586;0.567;33.876;8.298;-0.004;36.230;6.821;-0.330;37.684;14.206;3.656;23.862;12.493;3.708;30.967;10.626;3.166;35.185;8.682;2.780;37.464;7.143;2.702;39.013;14.215;4.571;23.763;12.010;6.263;30.801;10.582;6.612;34.406;9.476;6.565;36.783;8.526;6.591;38.798;13.526;5.353;24.301;12.716;8.643;26.080;11.293;10.047;28.713;10.665;12.697;29.109;0.000;0.000;0.000;-7.665;-12.219;-0.740;-10.092;-32.846;0.442;-12.940;-57.060;1.830;-12.656;-101.400;-6.246;7.536;-12.411;-1.256;9.549;-33.014;-0.091;11.911;-57.200;1.277;11.613;-101.585;-7.941
3658.000;146.320;0.032;7.254;-0.259;-0.032;14.086;-0.432;-0.262;26.174;-0.649;-0.665;42.050;-1.448;-0.713;46.376;1.644;-0.336;52.890;2.859;-7.247;56.888;3.714;6.511;57.084;2.919;-3.256;59.113;10.926;3.314;59.206;10.547;-2.086;36.808;-2.792;-16.095;34.853;-1.257;-21.371;21.877;-2.068;-27.202;7.535;-2.964;-21.843;5.654;8.692;-15.791;3.399;22.465;-16.422;1.836;23.230;-12.610;-1.549;28.775;-11.065;-2.208;30.629;-9.560;-3.278;32.443;-8.465;-3.583;33.669;-16.290;2.656;23.388;-12.963;0.865;29.888;-10.223;0.417;32.933;-7.997;0.179;34.922;-6.458;-0.084;36.243;-15.508;3.969;22.959;-12.256;3.279;30.470;-9.597;2.715;33.526;-7.055;2.328;35.634;-5.445;2.054;37.057;-15.605;5.058;22.963;-11.748;5.602;30.067;-9.239;5.301;32.965;-7.248;4.971;34.938;-5.784;4.436;36.293;-13.862;5.193;24.285;-12.385;8.015;26.053;-10.500;8.939;27.584;-10.025;11.498;28.601;1.138;36.897;-2.668;15.266;34.603;-0.636;21.274;21.220;-1.538;27.914;6.428;-2.535;21.952;5.142;8.811;15.073;3.273;22.757;14.862;1.506;23.662;12.195;-0.914;29.428;10.816;-2.296;31.707;9.224;-3.204;33.287;7.983;-3.831;34.276;14.829;2.399;23.853;12.757;1.480;30.134;10.665;0.543;33.871;8.352;-0.038;36.213;6.876;-0.361;37.668;14.225;3.661;23.836;12.532;3.681;30.946;10.681;3.130;35.168;8.716;2.746;37.427;7.169;2.649;38.968;14.238;4.577;23.741;12.078;6.248;30.772;10.624;6.591;34.387;9.507;6.519;36.763;8.558;6.527;38.780;13.567;5.343;24.300;12.743;8.625;26.066;11.319;10.024;28.700;10.691;12.673;29.097;0.000;0.000;0.000;-7.665;-12.219;-0.743;-10.091;-32.845;0.435;-12.940;-57.058;1.818;-12.653;-101.394;-6.270;7.537;-12.411;-1.253;9.548;-33.012;-0.094;11.910;-57.196;1.267;11.615;-101.578;-7.965
3659.000;146.360;0.031;7.252;-0.260;-0.034;14.081;-0.437;-0.265;26.165;-0.666;-0.676;42.040;-1.466;-0.725;46.371;1.640;-0.350;52.888;2.882;-7.257;56.890;3.752;6.498;57.082;2.892;-3.231;59.145;10.936;3.337;59.237;10.525;-2.094;36.798;-2.810;-16.099;34.838;-1.283;-21.383;21.866;-2.108;-27.222;7.529;-3.019;-21.887;5.669;8.651;-15.864;3.443;22.439;-16.507;1.868;23.203;-12.667;-1.493;28.762;-11.139;-2.167;30.604;-9.594;-3.203;32.400;-8.493;-3.507;33.621;-16.376;2.690;23.357;-13.032;0.915;29.869;-10.296;0.469;32.909;-8.066;0.242;34.885;-6.520;-0.038;36.195;-15.599;4.006;22.946;-12.344;3.339;30.451;-9.686;2.761;33.500;-7.003;2.372;35.492;-5.434;2.030;36.945;-15.694;5.111;22.949;-11.859;5.658;30.051;-9.351;5.344;32.938;-7.339;5.006;34.905;-5.863;4.478;36.250;-13.973;5.239;24.252;-12.457;8.067;26.039;-10.589;8.991;27.575;-10.091;11.563;28.548;1.130;36.888;-2.686;15.259;34.603;-0.658;21.274;21.226;-1.572;27.922;6.441;-2.581;21.969;5.130;8.770;15.106;3.232;22.722;14.887;1.445;23.615;12.222;-0.980;29.381;10.842;-2.362;31.653;9.221;-3.269;33.213;7.967;-3.900;34.182;14.848;2.338;23.805;12.793;1.416;30.097;10.665;0.445;33.804;8.339;-0.137;36.128;6.821;-0.439;37.544;14.258;3.598;23.802;12.574;3.622;30.911;10.702;3.031;35.128;8.677;2.658;37.348;7.106;2.547;38.863;14.267;4.514;23.707;12.086;6.186;30.745;10.642;6.501;34.349;9.528;6.417;36.722;8.551;6.448;38.725;13.583;5.289;24.260;12.757;8.565;26.043;11.344;9.955;28.666;10.699;12.597;29.085;0.000;0.000;0.000;-7.665;-12.219;-0.742;-10.091;-32.846;0.432;-12.940;-57.060;1.810;-12.656;-101.384;-6.289;7.537;-12.411;-1.254;9.548;-33.012;-0.098;11.910;-57.196;1.259;11.616;-101.579;-7.974
3660.000;146.400;0.029;7.248;-0.264;-0.036;14.074;-0.445;-0.267;26.152;-0.682;-0.690;42.027;-1.481;-0.741;46.364;1.641;-0.367;52.884;2.912;-7.267;56.892;3.808;6.481;57.077;2.849;-3.190;59.189;10.950;3.375;59.277;10.492;-2.104;36.784;-2.825;-16.107;34.818;-1.299;-21.387;21.850;-2.133;-27.222;7.516;-3.056;-21.909;5.705;8.630;-15.911;3.535;22.440;-16.532;1.930;23.184;-12.630;-1.377;28.756;-11.135;-2.031;30.562;-9.331;-2.977;32.201;-8.074;-3.263;33.266;-16.403;2.752;23.334;-13.057;0.995;29.860;-10.239;0.514;32.835;-7.924;0.228;34.685;-6.303;-0.056;35.899;-15.685;4.059;22.958;-12.401;3.446;30.454;-9.629;2.789;33.400;-6.825;2.358;35.225;-5.156;1.988;36.554;-15.772;5.168;22.955;-11.921;5.768;30.043;-9.372;5.443;32.917;-7.374;5.093;34.862;-5.875;4.574;36.183;-14.057;5.349;24.275;-12.520;8.178;26.034;-10.612;9.107;27.537;-10.176;11.673;28.553;1.120;36.876;-2.701;15.250;34.602;-0.676;21.274;21.228;-1.593;27.931;6.447;-2.606;21.981;5.093;8.746;15.116;3.146;22.700;14.907;1.352;23.583;12.238;-1.118;29.335;10.861;-2.501;31.599;9.201;-3.419;33.127;7.933;-4.059;34.072;14.863;2.245;23.774;12.813;1.284;30.060;10.677;0.278;33.751;8.314;-0.325;36.031;6.761;-0.649;37.403;14.273;3.487;23.785;12.573;3.488;30.886;10.685;2.868;35.089;8.602;2.464;37.244;6.956;2.333;38.676;14.275;4.403;23.691;12.110;6.055;30.727;10.637;6.332;34.329;9.490;6.237;36.674;8.443;6.213;38.642;13.577;5.184;24.224;12.744;8.453;26.042;11.290;9.819;28.670;10.654;12.462;29.094;0.000;0.000;0.000;-7.659;-12.223;-0.734;-10.086;-32.849;0.432;-12.935;-57.061;1.800;-12.658;-101.400;-6.299;7.542;-12.408;-1.249;9.555;-33.014;-0.104;11.917;-57.203;1.240;11.628;-101.583;-7.994
3661.000;146.440;0.029;7.246;-0.264;-0.039;14.070;-0.450;-0.277;26.145;-0.699;-0.716;42.020;-1.490;-0.765;46.357;1.641;-0.381;52.878;2.929;-7.274;56.890;3.855;6.466;57.071;2.792;-3.144;59.226;10.953;3.417;59.312;10.446;-2.125;36.776;-2.835;-16.124;34.814;-1.301;-21.408;21.850;-2.108;-27.248;7.522;-3.000;-21.949;5.834;8.705;-15.968;3.799;22.546;-16.575;2.177;23.288;-12.592;-1.081;28.773;-10.924;-1.609;30.518;-8.500;-2.239;31.356;-6.874;-2.226;31.748;-16.450;3.000;23.437;-13.073;1.267;29.964;-9.977;0.570;32.598;-7.227;0.257;33.712;-5.272;-0.034;34.236;-15.719;4.361;23.062;-12.434;3.760;30.526;-9.444;2.965;33.256;-6.355;2.456;34.455;-4.398;2.024;35.276;-15.845;5.433;23.070;-12.040;6.060;30.146;-9.440;5.735;32.977;-7.422;5.355;34.894;-5.888;4.829;36.173;-14.160;5.645;24.394;-12.457;8.453;26.076;-10.488;9.313;27.534;-9.809;11.859;28.465;1.099;36.871;-2.713;15.233;34.613;-0.697;21.267;21.244;-1.607;27.936;6.467;-2.613;21.986;5.040;8.740;15.115;3.006;22.696;14.921;1.151;23.539;12.243;-1.337;29.296;10.870;-2.748;31.527;9.141;-3.661;32.973;7.830;-4.293;33.863;14.861;2.045;23.721;12.837;1.079;30.042;10.677;0.017;33.703;8.183;-0.639;35.852;6.558;-0.923;37.148;14.272;3.328;23.793;12.566;3.300;30.885;10.654;2.538;35.070;8.381;2.107;37.041;6.605;1.967;38.307;14.261;4.245;23.704;12.099;5.850;30.740;10.601;6.047;34.324;9.314;5.877;36.599;8.136;5.792;38.489;13.555;5.025;24.227;12.684;8.259;26.097;11.219;9.581;28.748;10.526;12.209;29.178;0.000;0.000;0.000;-7.662;-12.222;-0.735;-10.091;-32.851;0.426;-12.942;-57.067;1.788;-12.670;-101.400;-6.315;7.540;-12.410;-1.253;9.550;-33.015;-0.111;11.911;-57.203;1.229;11.618;-101.586;-8.003
