Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
720.000;28.800;0.026;7.246;-0.252;-0.030;14.070;-0.359;-0.229;26.149;-0.383;-0.627;42.033;-0.982;-0.674;46.265;2.002;-0.316;52.740;2.966;-7.322;56.615;3.589;6.454;57.029;3.466;-3.716;58.704;11.041;2.863;58.901;10.982;-2.050;36.810;-2.391;-16.057;34.905;-0.966;-21.269;21.996;-2.381;-27.031;7.729;-3.946;-22.577;6.356;8.059;-17.561;4.711;22.110;-18.132;3.094;22.975;-15.782;1.362;30.000;-15.061;1.227;32.332;-14.092;0.739;34.670;-13.365;0.772;36.175;-18.180;3.939;23.000;-16.954;3.864;30.364;-15.462;4.495;34.164;-13.618;5.034;36.482;-12.277;5.298;38.003;-17.334;5.171;22.598;-16.794;6.396;30.581;-15.428;7.178;34.332;-13.660;7.814;37.160;-12.684;8.216;39.052;-17.537;6.178;22.304;-16.532;8.668;29.839;-14.879;9.348;33.273;-13.277;9.717;35.581;-11.996;9.653;37.199;-16.520;6.998;23.964;-16.102;10.323;25.207;-14.691;11.598;27.020;-14.714;14.241;27.928;1.174;36.895;-2.268;15.347;34.554;-0.183;21.133;21.109;-1.280;27.527;6.248;-2.492;22.319;4.905;9.234;16.351;2.952;23.560;16.199;1.198;24.544;15.019;-0.892;30.847;14.297;-2.257;33.395;13.199;-3.148;35.381;12.292;-3.733;36.702;16.285;2.094;24.704;15.927;1.473;31.270;14.757;0.827;35.460;12.792;0.560;38.149;11.447;0.519;39.758;15.732;3.243;24.896;16.099;3.748;32.000;14.930;3.480;36.510;12.928;3.366;38.795;11.227;3.430;40.167;15.747;4.151;24.742;15.755;6.285;31.781;14.503;6.755;35.367;12.943;6.640;37.446;11.369;6.575;39.022;15.433;5.106;25.181;15.746;8.471;26.831;15.564;10.100;29.737;15.594;12.776;30.380;0.000;0.000;0.000;-7.645;-12.234;-0.702;-9.729;-33.003;0.702;-12.176;-57.384;2.349;-11.003;-101.558;-5.656;7.556;-12.402;-1.226;9.294;-33.107;0.333;11.335;-57.413;2.164;10.374;-101.849;-6.713
721.000;28.840;0.026;7.247;-0.249;-0.030;14.073;-0.354;-0.230;26.153;-0.375;-0.632;42.037;-0.982;-0.682;46.269;1.995;-0.330;52.745;2.946;-7.333;56.624;3.575;6.443;57.031;3.433;-3.715;58.718;11.021;2.863;58.912;10.952;-2.054;36.813;-2.388;-16.060;34.906;-0.966;-21.265;21.993;-2.374;-27.018;7.721;-3.931;-22.569;6.367;8.074;-17.558;4.742;22.127;-18.133;3.146;23.000;-15.799;1.425;30.015;-15.035;1.266;32.353;-14.092;0.782;34.685;-13.354;0.833;36.185;-18.194;3.990;23.028;-16.929;3.913;30.387;-15.454;4.544;34.180;-13.600;5.082;36.489;-12.255;5.378;38.000;-17.364;5.158;22.630;-16.784;6.457;30.594;-15.430;7.238;34.344;-13.628;7.878;37.169;-12.673;8.285;39.069;-17.539;6.176;22.327;-16.526;8.714;29.854;-14.874;9.391;33.293;-13.288;9.769;35.585;-11.995;9.717;37.194;-16.536;7.046;23.990;-16.111;10.363;25.228;-14.698;11.644;27.019;-14.735;14.281;27.941;1.170;36.899;-2.265;15.345;34.569;-0.179;21.142;21.128;-1.273;27.549;6.273;-2.482;22.347;4.933;9.246;16.389;2.980;23.573;16.233;1.232;24.560;15.059;-0.866;30.867;14.347;-2.215;33.423;13.254;-3.114;35.404;12.348;-3.700;36.725;16.320;2.128;24.721;15.974;1.505;31.286;14.823;0.861;35.478;12.858;0.590;38.172;11.515;0.559;39.783;15.771;3.285;24.909;16.153;3.790;32.017;14.999;3.510;36.530;12.976;3.411;38.804;11.282;3.478;40.183;15.790;4.193;24.756;15.807;6.318;31.795;14.593;6.789;35.377;13.018;6.680;37.468;11.448;6.611;39.048;15.461;5.142;25.200;15.787;8.510;26.836;15.634;10.129;29.751;15.623;12.806;30.387;0.000;0.000;0.000;-7.645;-12.234;-0.707;-9.725;-33.006;0.691;-12.167;-57.390;2.332;-10.989;-101.570;-5.681;7.556;-12.402;-1.232;9.299;-33.107;0.321;11.344;-57.414;2.143;10.392;-101.847;-6.751
722.000;28.880;0.026;7.248;-0.246;-0.030;14.074;-0.348;-0.230;26.157;-0.364;-0.638;42.040;-0.978;-0.689;46.271;1.996;-0.336;52.745;2.943;-7.339;56.623;3.580;6.437;57.032;3.414;-3.709;58.726;11.016;2.869;58.921;10.937;-2.058;36.814;-2.382;-16.064;34.912;-0.965;-21.259;21.995;-2.375;-27.002;7.719;-3.935;-22.560;6.373;8.074;-17.556;4.760;22.131;-18.136;3.152;23.001;-15.819;1.444;30.019;-15.037;1.267;32.363;-14.118;0.801;34.696;-13.363;0.846;36.188;-18.191;3.996;23.026;-16.941;3.918;30.395;-15.459;4.575;34.185;-13.617;5.125;36.499;-12.267;5.389;38.012;-17.369;5.176;22.634;-16.800;6.484;30.599;-15.421;7.264;34.347;-13.648;7.915;37.169;-12.681;8.332;39.061;-17.544;6.194;22.331;-16.527;8.732;29.861;-14.866;9.420;33.277;-13.289;9.779;35.595;-11.987;9.708;37.196;-16.525;7.059;23.991;-16.111;10.380;25.234;-14.706;11.661;27.011;-14.736;14.289;27.961;1.166;36.902;-2.258;15.341;34.578;-0.174;21.141;21.139;-1.273;27.551;6.286;-2.487;22.352;4.946;9.242;16.395;2.994;23.570;16.236;1.234;24.548;15.046;-0.857;30.854;14.312;-2.209;33.407;13.217;-3.114;35.382;12.300;-3.698;36.697;16.322;2.130;24.709;15.963;1.498;31.278;14.795;0.858;35.469;12.820;0.598;38.152;11.475;0.555;39.761;15.769;3.306;24.905;16.156;3.780;32.013;14.974;3.506;36.518;12.939;3.396;38.789;11.254;3.476;40.179;15.793;4.215;24.755;15.822;6.312;31.800;14.605;6.790;35.374;13.033;6.675;37.467;11.449;6.623;39.033;15.481;5.145;25.186;15.810;8.518;26.852;15.667;10.129;29.757;15.650;12.804;30.404;0.000;0.000;0.000;-7.645;-12.233;-0.712;-9.725;-33.006;0.679;-12.166;-57.390;2.311;-10.983;-101.560;-5.712;7.556;-12.401;-1.239;9.301;-33.109;0.308;11.350;-57.417;2.124;10.404;-101.849;-6.772
723.000;28.920;0.026;7.249;-0.244;-0.031;14.077;-0.345;-0.231;26.161;-0.362;-0.640;42.044;-0.983;-0.692;46.274;1.986;-0.343;52.744;2.927;-7.343;56.623;3.577;6.432;57.030;3.389;-3.702;58.721;11.009;2.877;58.915;10.919;-2.059;36.818;-2.385;-16.064;34.911;-0.969;-21.255;21.995;-2.385;-26.993;7.719;-3.951;-22.558;6.375;8.061;-17.562;4.765;22.121;-18.138;3.167;22.991;-15.795;1.432;30.020;-15.046;1.277;32.359;-14.105;0.798;34.694;-13.379;0.825;36.200;-18.197;4.011;23.017;-16.963;3.923;30.382;-15.479;4.575;34.177;-13.627;5.131;36.489;-12.284;5.389;38.009;-17.363;5.186;22.623;-16.807;6.475;30.592;-15.431;7.274;34.337;-13.664;7.893;37.162;-12.685;8.317;39.046;-17.538;6.201;22.322;-16.547;8.735;29.849;-14.917;9.418;33.275;-13.293;9.771;35.584;-12.010;9.716;37.201;-16.529;7.066;23.984;-16.129;10.382;25.215;-14.722;11.664;27.027;-14.749;14.304;27.945;1.165;36.905;-2.261;15.341;34.585;-0.182;21.141;21.149;-1.288;27.551;6.298;-2.511;22.353;4.959;9.220;16.400;3.008;23.548;16.235;1.238;24.519;15.030;-0.867;30.818;14.291;-2.221;33.366;13.186;-3.108;35.345;12.266;-3.710;36.650;16.320;2.134;24.680;15.955;1.499;31.256;14.776;0.850;35.444;12.777;0.588;38.110;11.417;0.550;39.707;15.770;3.322;24.886;16.157;3.773;31.992;14.950;3.499;36.497;12.910;3.395;38.755;11.205;3.468;40.121;15.798;4.230;24.736;15.835;6.338;31.770;14.590;6.773;35.360;13.024;6.670;37.442;11.414;6.609;38.981;15.484;5.163;25.192;15.804;8.532;26.837;15.629;10.142;29.756;15.634;12.817;30.402;0.000;0.000;0.000;-7.645;-12.233;-0.716;-9.724;-33.006;0.665;-12.165;-57.391;2.286;-10.984;-101.570;-5.739;7.556;-12.401;-1.243;9.303;-33.109;0.300;11.354;-57.419;2.112;10.410;-101.848;-6.791
724.000;28.960;0.026;7.250;-0.242;-0.031;14.078;-0.342;-0.231;26.163;-0.357;-0.636;42.046;-0.981;-0.687;46.276;1.986;-0.337;52.746;2.923;-7.331;56.633;3.588;6.444;57.023;3.372;-3.672;58.725;11.013;2.906;58.911;10.910;-2.057;36.820;-2.381;-16.062;34.917;-0.968;-21.257;22.003;-2.398;-26.998;7.729;-3.978;-22.570;6.381;8.036;-17.582;4.765;22.101;-18.164;3.147;22.966;-15.813;1.427;29.998;-15.066;1.261;32.320;-14.084;0.802;34.645;-13.308;0.841;36.126;-18.219;3.991;22.989;-16.977;3.931;30.358;-15.498;4.569;34.152;-13.665;5.123;36.465;-12.306;5.401;37.967;-17.388;5.192;22.601;-16.836;6.491;30.572;-15.460;7.264;34.318;-13.655;7.878;37.123;-12.652;8.268;39.001;-17.578;6.194;22.302;-16.558;8.740;29.826;-14.925;9.416;33.250;-13.322;9.745;35.568;-12.023;9.688;37.172;-16.559;7.075;23.980;-16.144;10.383;25.196;-14.728;11.662;27.000;-14.760;14.297;27.928;1.167;36.907;-2.258;15.343;34.583;-0.179;21.132;21.144;-1.294;27.530;6.290;-2.527;22.322;4.945;9.199;16.349;2.986;23.525;16.177;1.232;24.499;14.980;-0.886;30.792;14.244;-2.259;33.330;13.125;-3.147;35.305;12.202;-3.731;36.616;16.264;2.127;24.664;15.911;1.477;31.226;14.719;0.811;35.407;12.723;0.546;38.078;11.358;0.517;39.670;15.716;3.306;24.862;16.110;3.749;31.966;14.901;3.455;36.468;12.858;3.342;38.728;11.150;3.422;40.090;15.744;4.215;24.715;15.802;6.301;31.746;14.564;6.743;35.337;12.991;6.628;37.427;11.388;6.582;38.974;15.425;5.141;25.161;15.755;8.496;26.829;15.573;10.105;29.748;15.551;12.782;30.386;0.000;0.000;0.000;-7.645;-12.233;-0.719;-9.720;-33.009;0.657;-12.156;-57.398;2.273;-10.961;-101.560;-5.775;7.556;-12.400;-1.247;9.307;-33.109;0.290;11.362;-57.420;2.093;10.427;-101.847;-6.825
725.000;29.000;0.026;7.249;-0.242;-0.031;14.076;-0.344;-0.231;26.159;-0.365;-0.639;42.042;-0.991;-0.689;46.274;1.978;-0.338;52.746;2.920;-7.330;56.636;3.604;6.445;57.021;3.350;-3.649;58.727;11.019;2.929;58.911;10.897;-2.059;36.815;-2.391;-16.065;34.911;-0.974;-21.260;22.000;-2.412;-27.003;7.729;-4.002;-22.578;6.384;8.015;-17.594;4.776;22.084;-18.161;3.142;22.945;-15.811;1.437;29.973;-15.041;1.289;32.284;-13.953;0.805;34.551;-13.109;0.911;35.990;-18.208;3.987;22.967;-16.965;3.934;30.343;-15.508;4.563;34.129;-13.652;5.100;36.440;-12.272;5.378;37.924;-17.421;5.186;22.585;-16.854;6.478;30.552;-15.436;7.233;34.292;-13.551;7.833;37.065;-12.547;8.186;38.951;-17.606;6.197;22.285;-16.569;8.738;29.803;-14.917;9.401;33.224;-13.287;9.753;35.523;-11.975;9.699;37.116;-16.559;7.073;23.956;-16.151;10.384;25.191;-14.731;11.654;27.008;-14.771;14.294;27.923;1.165;36.903;-2.269;15.341;34.584;-0.199;21.124;21.144;-1.321;27.515;6.289;-2.560;22.304;4.938;9.166;16.332;2.973;23.489;16.164;1.219;24.463;14.963;-0.904;30.757;14.205;-2.274;33.296;13.065;-3.164;35.250;12.123;-3.745;36.549;16.255;2.113;24.629;15.883;1.451;31.193;14.691;0.768;35.374;12.650;0.522;38.016;11.283;0.484;39.607;15.705;3.296;24.822;16.083;3.725;31.936;14.885;3.416;36.439;12.816;3.309;38.679;11.091;3.388;40.020;15.738;4.205;24.677;15.775;6.296;31.716;14.541;6.716;35.310;12.976;6.590;37.393;11.350;6.532;38.916;15.412;5.109;25.099;15.718;8.483;26.808;15.525;10.078;29.727;15.545;12.745;30.404;0.000;0.000;0.000;-7.645;-12.233;-0.720;-9.723;-33.005;0.655;-12.163;-57.390;2.270;-10.976;-101.569;-5.770;7.556;-12.400;-1.249;9.304;-33.111;0.285;11.357;-57.423;2.086;10.415;-101.848;-6.840
726.000;29.040;0.025;7.248;-0.242;-0.031;14.075;-0.346;-0.231;26.158;-0.371;-0.635;42.041;-0.997;-0.683;46.274;1.974;-0.328;52.746;2.919;-7.311;56.647;3.625;6.463;57.009;3.332;-3.606;58.729;11.030;2.972;58.902;10.890;-2.058;36.814;-2.396;-16.062;34.910;-0.967;-21.265;22.002;-2.419;-27.017;7.735;-4.024;-22.590;6.417;7.996;-17.602;4.840;22.071;-18.174;3.240;22.939;-15.812;1.533;29.938;-14.985;1.429;32.232;-13.342;1.171;34.248;-12.191;1.391;35.441;-18.238;4.083;22.968;-17.009;3.992;30.320;-15.438;4.579;34.092;-13.425;5.105;36.272;-11.925;5.338;37.642;-17.440;5.251;22.578;-16.863;6.521;30.535;-15.355;7.199;34.268;-13.307;7.744;36.926;-12.128;8.049;38.717;-17.631;6.258;22.281;-16.583;8.797;29.786;-14.905;9.438;33.195;-13.253;9.750;35.494;-11.964;9.677;37.105;-16.589;7.129;23.926;-16.122;10.444;25.182;-14.688;11.683;26.986;-14.658;14.307;27.945;1.167;36.901;-2.275;15.342;34.581;-0.218;21.111;21.135;-1.343;27.489;6.273;-2.585;22.276;4.901;9.143;16.296;2.912;23.474;16.135;1.145;24.436;14.932;-0.991;30.725;14.139;-2.371;33.257;12.931;-3.235;35.190;11.978;-3.791;36.491;16.226;2.039;24.604;15.841;1.365;31.169;14.619;0.657;35.328;12.552;0.392;37.941;11.130;0.355;39.483;15.665;3.202;24.819;16.039;3.640;31.920;14.830;3.280;36.414;12.720;3.185;38.616;10.961;3.258;39.910;15.689;4.112;24.675;15.698;6.191;31.719;14.470;6.580;35.296;12.883;6.455;37.359;11.246;6.377;38.869;15.385;5.037;25.093;15.663;8.397;26.832;15.448;9.949;29.756;15.425;12.604;30.479;0.000;0.000;0.000;-7.646;-12.233;-0.718;-9.718;-33.005;0.647;-12.150;-57.390;2.249;-10.954;-101.567;-5.805;7.555;-12.400;-1.251;9.308;-33.110;0.274;11.367;-57.422;2.064;10.432;-101.846;-6.872
727.000;29.080;0.025;7.246;-0.243;-0.031;14.072;-0.350;-0.231;26.151;-0.385;-0.631;42.034;-1.009;-0.673;46.270;1.966;-0.308;52.747;2.915;-7.286;56.656;3.635;6.489;57.003;3.320;-3.566;58.728;11.036;3.012;58.894;10.885;-2.055;36.808;-2.407;-16.060;34.911;-0.969;-21.269;22.007;-2.416;-27.026;7.743;-4.015;-22.575;6.512;8.000;-17.553;5.043;22.078;-18.112;3.408;22.936;-15.707;1.769;29.926;-14.784;1.710;32.189;-12.645;1.732;33.668;-11.155;2.228;34.244;-18.172;4.252;22.961;-16.935;4.169;30.331;-15.213;4.619;34.053;-12.781;5.054;35.818;-10.953;5.259;36.710;-17.388;5.475;22.584;-16.846;6.739;30.528;-15.078;7.196;34.232;-12.618;7.572;36.498;-11.001;7.752;37.927;-17.597;6.481;22.292;-16.591;9.015;29.764;-14.918;9.642;33.178;-13.194;9.953;35.441;-11.922;9.814;37.062;-16.530;7.326;23.916;-16.096;10.648;25.200;-14.623;11.865;27.019;-14.615;14.492;27.971;1.169;36.894;-2.288;15.344;34.572;-0.244;21.106;21.122;-1.363;27.474;6.256;-2.599;22.263;4.836;9.138;16.284;2.789;23.484;16.119;0.982;24.413;14.922;-1.149;30.704;14.050;-2.546;33.211;12.711;-3.332;35.096;11.648;-3.839;36.330;16.187;1.878;24.582;15.850;1.166;31.158;14.493;0.397;35.275;12.223;0.228;37.725;10.690;0.204;39.156;15.649;3.051;24.845;16.019;3.455;31.917;14.715;3.028;36.388;12.508;2.930;38.489;10.641;2.963;39.625;15.663;3.961;24.706;15.659;5.974;31.735;14.337;6.313;35.307;12.714;6.129;37.318;11.059;6.027;38.806;15.346;4.882;25.081;15.553;8.229;26.903;15.301;9.704;29.901;15.217;12.345;30.669;0.000;0.000;0.000;-7.646;-12.232;-0.715;-9.717;-33.003;0.635;-12.149;-57.386;2.221;-10.947;-101.553;-5.845;7.555;-12.400;-1.255;9.307;-33.109;0.262;11.365;-57.419;2.043;10.425;-101.842;-6.909
728.000;29.120;0.025;7.243;-0.245;-0.031;14.065;-0.356;-0.230;26.139;-0.402;-0.629;42.022;-1.029;-0.669;46.262;1.952;-0.305;52.741;2.912;-7.279;56.654;3.643;6.495;56.993;3.309;-3.548;58.721;11.040;3.029;58.883;10.880;-2.055;36.796;-2.425;-16.054;34.920;-0.973;-21.264;22.006;-2.367;-27.023;7.732;-3.908;-22.496;6.673;8.092;-17.385;5.403;22.162;-17.872;3.750;23.017;-15.388;2.130;29.947;-14.363;2.120;32.197;-11.881;2.464;32.983;-10.352;3.139;32.929;-17.930;4.593;23.040;-16.665;4.489;30.429;-14.455;4.805;33.911;-11.622;5.278;34.934;-9.609;5.515;35.203;-17.249;5.858;22.661;-16.649;7.107;30.604;-14.381;7.391;34.073;-11.428;7.591;35.677;-9.450;7.655;36.556;-17.493;6.856;22.379;-16.455;9.388;29.845;-14.803;9.994;33.243;-13.027;10.317;35.445;-11.617;10.241;36.952;-16.412;7.688;23.989;-15.992;11.010;25.289;-14.547;12.249;27.084;-14.516;14.834;28.144;1.169;36.882;-2.309;15.343;34.552;-0.271;21.109;21.104;-1.386;27.481;6.239;-2.618;22.279;4.739;9.130;16.306;2.596;23.497;16.146;0.759;24.391;14.874;-1.478;30.633;13.821;-2.787;33.125;12.304;-3.450;34.877;11.084;-3.839;36.004;16.198;1.653;24.571;15.887;0.830;31.154;14.124;0.040;35.130;11.547;-0.167;37.222;9.799;-0.143;38.381;15.670;2.798;24.881;16.006;3.133;31.922;14.342;2.633;36.252;11.881;2.472;38.062;9.892;2.544;38.965;15.665;3.710;24.754;15.609;5.659;31.745;14.145;5.907;35.267;12.348;5.591;37.146;10.624;5.414;38.547;15.324;4.666;25.157;15.470;7.963;27.016;15.155;9.337;30.067;15.005;11.948;30.924;0.000;0.000;0.000;-7.647;-12.232;-0.709;-9.718;-33.004;0.629;-12.148;-57.388;2.200;-10.953;-101.564;-5.877;7.553;-12.401;-1.261;9.312;-33.111;0.249;11.377;-57.423;2.022;10.439;-101.843;-6.939
