Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2552.000;102.080;-0.138;7.799;-0.511;-0.193;15.101;0.890;-0.194;27.980;5.750;-0.437;43.832;6.960;-0.308;47.715;10.104;0.005;54.211;11.038;-6.881;58.189;12.146;6.859;58.393;11.092;-2.748;60.192;19.343;3.813;60.289;18.840;-2.007;38.808;5.066;-15.997;36.728;7.039;-21.104;23.832;5.267;-26.748;9.580;3.309;-22.467;8.526;15.408;-17.614;7.262;29.594;-18.031;5.508;30.341;-15.632;3.831;37.158;-14.242;3.823;39.251;-11.981;4.100;40.540;-10.507;4.660;41.097;-18.097;6.351;30.381;-17.048;6.107;37.779;-14.412;6.390;40.975;-11.477;7.050;41.306;-9.491;7.410;40.977;-17.465;7.684;30.175;-17.125;8.692;37.967;-14.551;8.759;41.188;-11.277;9.206;41.934;-9.120;9.333;42.078;-17.725;8.680;29.904;-16.963;11.055;37.259;-14.616;11.429;40.246;-12.033;11.471;41.441;-10.099;11.094;42.056;-16.793;9.517;31.631;-15.660;12.631;33.067;-13.860;13.450;34.972;-13.069;15.953;35.930;1.220;38.863;4.997;15.346;36.150;5.939;20.782;22.755;3.728;26.791;7.949;1.285;22.834;7.808;13.456;18.318;7.328;28.368;18.263;5.503;29.388;17.963;3.947;35.893;17.014;3.060;38.597;15.057;2.908;40.306;13.751;3.047;41.395;18.305;6.413;29.471;19.095;6.238;36.082;17.520;5.775;40.213;14.689;5.950;42.053;12.793;6.185;42.920;17.948;7.821;29.716;19.246;8.525;36.617;17.895;8.352;41.084;15.279;8.412;42.682;13.186;8.702;43.242;17.997;8.720;29.521;18.965;11.088;36.311;17.927;11.443;39.940;16.032;11.144;41.696;14.145;11.046;42.877;17.589;9.574;29.996;17.965;13.009;31.672;17.869;14.491;34.658;17.892;17.069;35.619;0.000;0.000;0.000;-7.336;-12.375;1.282;-9.644;-21.468;21.110;-12.354;-32.142;44.387;-11.823;-66.775;15.645;7.811;-12.304;-0.119;13.141;-22.188;19.531;19.397;-33.791;42.599;14.152;-67.242;13.036
2553.000;102.120;-0.138;7.799;-0.511;-0.193;15.101;0.889;-0.194;27.980;5.748;-0.438;43.833;6.958;-0.310;47.716;10.102;0.003;54.211;11.036;-6.884;58.189;12.143;6.857;58.395;11.090;-2.751;60.192;19.341;3.811;60.290;18.838;-2.007;38.808;5.064;-15.997;36.727;7.036;-21.105;23.833;5.263;-26.751;9.581;3.304;-22.468;8.536;15.402;-17.613;7.281;29.587;-18.030;5.533;30.337;-15.636;3.866;37.159;-14.242;3.839;39.247;-11.977;4.124;40.528;-10.503;4.688;41.081;-18.100;6.376;30.377;-17.055;6.135;37.771;-14.421;6.426;40.976;-11.484;7.087;41.299;-9.499;7.458;40.974;-17.477;7.690;30.172;-17.132;8.718;37.960;-14.561;8.785;41.190;-11.291;9.236;41.934;-9.132;9.366;42.044;-17.729;8.689;29.898;-16.964;11.085;37.249;-14.619;11.463;40.233;-12.036;11.502;41.434;-10.104;11.124;42.056;-16.793;9.538;31.622;-15.664;12.655;33.051;-13.867;13.479;34.951;-13.075;15.975;35.927;1.219;38.863;4.995;15.346;36.152;5.938;20.786;22.757;3.731;26.798;7.952;1.292;22.835;7.810;13.460;18.310;7.330;28.370;18.256;5.507;29.390;17.946;3.950;35.897;17.004;3.058;38.598;15.042;2.904;40.300;13.733;3.044;41.386;18.299;6.416;29.473;19.084;6.242;36.086;17.501;5.772;40.212;14.666;5.947;42.046;12.772;6.186;42.915;17.941;7.824;29.716;19.235;8.529;36.619;17.873;8.352;41.081;15.259;8.415;42.678;13.165;8.706;43.235;17.990;8.722;29.521;18.953;11.092;36.313;17.910;11.438;39.941;16.018;11.141;41.698;14.128;11.043;42.875;17.585;9.574;30.000;17.952;13.010;31.675;17.859;14.489;34.666;17.870;17.069;35.622;0.000;0.000;0.000;-7.336;-12.375;1.283;-9.647;-21.467;21.111;-12.360;-32.140;44.387;-11.827;-66.772;15.647;7.811;-12.304;-0.119;13.141;-22.188;19.531;19.397;-33.790;42.598;14.151;-67.241;13.036
2554.000;102.160;-0.138;7.799;-0.513;-0.191;15.100;0.885;-0.192;27.980;5.739;-0.436;43.832;6.947;-0.309;47.716;10.092;0.002;54.214;11.025;-6.886;58.191;12.130;6.855;58.399;11.080;-2.755;60.195;19.328;3.806;60.295;18.827;-2.005;38.808;5.054;-15.994;36.726;7.023;-21.104;23.831;5.252;-26.752;9.579;3.293;-22.462;8.575;15.390;-17.596;7.366;29.574;-18.019;5.628;30.331;-15.639;3.988;37.168;-14.246;3.950;39.253;-11.983;4.248;40.518;-10.501;4.823;41.039;-18.091;6.470;30.368;-17.059;6.259;37.762;-14.433;6.560;40.970;-11.497;7.226;41.273;-9.521;7.618;40.921;-17.475;7.763;30.162;-17.134;8.834;37.941;-14.558;8.916;41.172;-11.289;9.376;41.894;-9.128;9.502;41.964;-17.724;8.765;29.881;-16.966;11.201;37.222;-14.634;11.603;40.209;-12.064;11.658;41.433;-10.135;11.282;42.066;-16.744;9.624;31.604;-15.653;12.750;33.009;-13.850;13.582;34.914;-13.065;16.079;35.891;1.221;38.863;4.986;15.347;36.155;5.931;20.798;22.763;3.731;26.823;7.961;1.300;22.837;7.809;13.463;18.284;7.318;28.368;18.229;5.509;29.391;17.894;3.928;35.892;16.958;3.033;38.587;14.990;2.874;40.278;13.672;3.019;41.351;18.277;6.418;29.476;19.044;6.235;36.087;17.437;5.754;40.202;14.589;5.931;42.015;12.691;6.171;42.875;17.914;7.810;29.713;19.197;8.514;36.617;17.808;8.332;41.070;15.188;8.394;42.657;13.092;8.684;43.204;17.963;8.709;29.519;18.906;11.078;36.313;17.851;11.413;39.938;15.953;11.114;41.691;14.060;11.014;42.862;17.562;9.561;29.992;17.904;12.996;31.679;17.822;14.469;34.682;17.777;17.050;35.635;0.000;0.000;0.000;-7.336;-12.375;1.286;-9.649;-21.466;21.114;-12.365;-32.139;44.389;-11.831;-66.771;15.650;7.811;-12.304;-0.115;13.140;-22.186;19.534;19.395;-33.787;42.600;14.148;-67.239;13.039
2555.000;102.200;-0.136;7.798;-0.515;-0.188;15.099;0.882;-0.185;27.978;5.731;-0.427;43.831;6.935;-0.300;47.716;10.082;0.010;54.214;11.020;-6.879;58.191;12.121;6.862;58.399;11.079;-2.752;60.196;19.321;3.810;60.296;18.824;-1.996;38.806;5.043;-15.986;36.728;7.010;-21.099;23.831;5.254;-26.750;9.576;3.314;-22.443;8.625;15.406;-17.554;7.485;29.587;-17.980;5.750;30.351;-15.602;4.140;37.200;-14.229;4.102;39.289;-11.958;4.431;40.528;-10.459;5.024;40.971;-18.050;6.592;30.384;-17.024;6.419;37.781;-14.399;6.717;40.983;-11.451;7.409;41.168;-9.513;7.796;40.641;-17.434;7.899;30.163;-17.117;8.981;37.949;-14.538;9.080;41.175;-11.253;9.537;41.826;-9.091;9.666;41.819;-17.700;8.904;29.876;-16.991;11.350;37.219;-14.812;11.824;40.319;-12.315;11.957;41.683;-10.414;11.626;42.418;-16.660;9.730;31.607;-15.618;12.869;33.013;-13.786;13.693;34.945;-13.043;16.210;35.906;1.230;38.861;4.975;15.353;36.155;5.923;20.813;22.764;3.728;26.847;7.964;1.302;22.842;7.790;13.462;18.264;7.272;28.365;18.209;5.468;29.383;17.854;3.849;35.870;16.912;2.958;38.566;14.940;2.790;40.244;13.614;2.937;41.307;18.257;6.377;29.472;19.004;6.165;36.081;17.365;5.679;40.182;14.498;5.844;41.967;12.593;6.082;42.810;17.893;7.746;29.719;19.150;8.452;36.619;17.745;8.255;41.065;15.110;8.301;42.636;13.008;8.587;43.165;17.935;8.646;29.527;18.854;11.011;36.318;17.786;11.334;39.941;15.877;11.025;41.683;13.982;10.915;42.852;17.542;9.506;29.982;17.851;12.935;31.700;17.756;14.391;34.717;17.691;16.967;35.683;0.000;0.000;0.000;-7.336;-12.375;1.288;-9.649;-21.466;21.115;-12.365;-32.139;44.391;-11.830;-66.773;15.650;7.811;-12.304;-0.113;13.140;-22.185;19.536;19.393;-33.785;42.602;14.147;-67.238;13.042
2556.000;102.240;-0.136;7.797;-0.516;-0.186;15.098;0.878;-0.177;27.977;5.721;-0.413;43.830;6.923;-0.284;47.716;10.071;0.027;54.213;11.012;-6.860;58.192;12.110;6.882;58.394;11.076;-2.737;60.193;19.313;3.826;60.290;18.819;-1.984;38.805;5.032;-15.973;36.730;6.998;-21.086;23.826;5.280;-26.738;9.563;3.381;-22.413;8.684;15.467;-17.506;7.630;29.636;-17.919;5.897;30.413;-15.542;4.331;37.274;-14.182;4.293;39.362;-11.858;4.693;40.503;-10.348;5.322;40.847;-17.993;6.740;30.440;-16.976;6.610;37.845;-14.317;6.911;41.016;-11.372;7.655;40.819;-9.548;8.042;39.979;-17.351;8.102;30.191;-17.059;9.190;37.985;-14.467;9.301;41.228;-11.126;9.685;41.562;-8.986;9.786;41.248;-17.663;9.086;29.903;-17.013;11.527;37.257;-15.061;12.123;40.488;-12.689;12.348;42.045;-10.838;12.089;42.923;-16.621;9.856;31.620;-15.608;13.012;33.052;-13.788;13.835;35.007;-13.064;16.318;36.064;1.242;38.858;4.964;15.365;36.151;5.915;20.826;22.759;3.720;26.862;7.958;1.294;22.843;7.744;13.454;18.249;7.180;28.356;18.192;5.368;29.361;17.809;3.714;35.836;16.842;2.802;38.525;14.849;2.629;40.176;13.514;2.775;41.229;18.241;6.276;29.456;18.941;6.022;36.070;17.240;5.522;40.142;14.342;5.673;41.875;12.430;5.909;42.704;17.876;7.621;29.716;19.087;8.320;36.620;17.646;8.093;41.047;14.998;8.131;42.595;12.892;8.419;43.105;17.914;8.522;29.528;18.791;10.877;36.327;17.701;11.164;39.947;15.774;10.848;41.667;13.870;10.728;42.820;17.521;9.402;29.997;17.756;12.822;31.729;17.550;14.245;34.773;17.439;16.796;35.799;0.000;0.000;0.000;-7.336;-12.375;1.287;-9.649;-21.465;21.114;-12.364;-32.137;44.388;-11.826;-66.772;15.649;7.811;-12.304;-0.111;13.138;-22.187;19.537;19.390;-33.790;42.602;14.148;-67.236;13.041
2557.000;102.280;-0.136;7.795;-0.517;-0.186;15.095;0.876;-0.175;27.972;5.715;-0.415;43.825;6.919;-0.286;47.712;10.069;0.029;54.211;11.011;-6.856;58.194;12.110;6.887;58.389;11.079;-2.732;60.190;19.316;3.830;60.283;18.823;-1.985;38.801;5.027;-15.972;36.722;6.989;-21.076;23.806;5.334;-26.716;9.530;3.505;-22.386;8.756;15.585;-17.484;7.815;29.747;-17.888;6.096;30.556;-15.491;4.620;37.428;-14.115;4.609;39.524;-11.657;5.226;40.165;-10.156;5.958;40.085;-17.961;6.939;30.571;-16.919;6.881;37.990;-14.081;7.223;40.968;-11.262;7.958;40.088;-9.839;8.334;38.668;-17.309;8.336;30.269;-16.992;9.459;38.073;-14.358;9.601;41.262;-11.017;9.892;41.136;-8.999;9.867;40.349;-17.645;9.326;29.982;-16.994;11.805;37.339;-15.331;12.606;40.685;-13.215;12.950;42.565;-11.530;12.815;43.750;-16.600;10.023;31.664;-15.641;13.205;33.118;-13.857;14.037;35.134;-13.024;16.326;36.504;1.242;38.855;4.959;15.365;36.149;5.917;20.825;22.759;3.712;26.859;7.959;1.274;22.841;7.691;13.442;18.249;7.061;28.356;18.186;5.239;29.342;17.796;3.533;35.796;16.807;2.579;38.466;14.780;2.390;40.090;13.443;2.510;41.143;18.233;6.147;29.444;18.903;5.833;36.062;17.083;5.310;40.072;14.160;5.417;41.726;12.214;5.644;42.474;17.863;7.486;29.719;19.035;8.132;36.622;17.534;7.860;41.023;14.862;7.862;42.532;12.753;8.150;43.026;17.903;8.387;29.536;18.731;10.693;36.354;17.608;10.912;39.965;15.662;10.566;41.659;13.738;10.424;42.774;17.490;9.274;30.047;17.520;12.682;31.807;17.027;13.933;34.927;16.598;16.318;36.230;0.000;0.000;0.000;-7.336;-12.375;1.287;-9.650;-21.462;21.113;-12.366;-32.130;44.386;-11.826;-66.769;15.651;7.810;-12.304;-0.109;13.135;-22.188;19.540;19.384;-33.792;42.606;14.144;-67.236;13.045
2558.000;102.320;-0.136;7.793;-0.516;-0.187;15.091;0.876;-0.181;27.963;5.715;-0.440;43.815;6.932;-0.307;47.701;10.084;0.036;54.202;11.030;-6.840;58.200;12.129;6.902;58.365;11.092;-2.710;60.191;19.331;3.853;60.270;18.836;-2.003;38.790;5.034;-15.981;36.709;6.977;-21.099;23.792;5.479;-26.756;9.516;3.824;-22.397;9.031;15.882;-17.472;8.432;30.029;-17.873;6.733;30.906;-15.375;5.407;37.758;-13.915;5.458;39.818;-11.519;6.305;39.554;-10.386;7.098;38.614;-17.925;7.578;30.900;-16.713;7.698;38.328;-13.454;8.110;40.755;-11.194;8.670;38.768;-10.917;8.842;36.749;-17.296;8.961;30.509;-16.777;10.301;38.289;-13.898;10.450;41.223;-10.720;10.613;40.314;-9.169;10.423;38.814;-17.645;9.952;30.214;-16.854;12.643;37.516;-15.713;13.858;40.959;-14.255;14.549;43.310;-13.088;14.735;45.003;-16.532;10.646;31.870;-15.452;13.804;33.290;-13.594;14.554;35.338;-12.477;16.546;36.949;1.224;38.848;4.969;15.351;36.161;5.932;20.801;22.772;3.701;26.826;7.973;1.236;22.814;7.625;13.419;18.222;6.903;28.361;18.178;5.054;29.308;17.782;3.248;35.714;16.804;2.250;38.365;14.733;2.029;39.949;13.373;2.115;40.975;18.205;5.960;29.422;18.864;5.570;36.045;16.835;4.975;39.938;13.854;5.037;41.444;11.858;5.241;42.056;17.824;7.288;29.739;18.929;7.859;36.623;17.300;7.503;40.959;14.588;7.441;42.378;12.456;7.693;42.786;17.847;8.194;29.568;18.607;10.402;36.390;17.370;10.528;39.974;15.388;10.107;41.604;13.435;9.897;42.656;17.386;9.063;30.074;17.110;12.407;31.999;16.274;13.341;35.195;15.317;15.349;36.814;0.000;0.000;0.000;-7.337;-12.375;1.280;-9.655;-21.459;21.108;-12.375;-32.123;44.384;-11.823;-66.767;15.656;7.811;-12.304;-0.104;13.130;-22.187;19.549;19.371;-33.789;42.619;14.146;-67.239;13.055
2559.000;102.360;-0.138;7.790;-0.507;-0.193;15.083;0.884;-0.195;27.946;5.712;-0.478;43.797;6.944;-0.339;47.680;10.101;0.049;54.183;11.050;-6.805;58.221;12.146;6.937;58.310;11.094;-2.656;60.210;19.338;3.906;60.252;18.836;-2.030;38.772;5.038;-15.989;36.700;6.928;-21.211;23.780;5.860;-26.981;9.500;4.679;-22.512;9.973;16.640;-17.461;10.506;30.698;-17.839;8.862;31.729;-15.176;8.010;38.557;-13.561;8.215;40.447;-11.486;9.056;39.391;-11.085;9.633;37.873;-17.857;9.704;31.652;-16.310;10.412;38.976;-12.592;10.907;40.370;-11.368;11.091;37.583;-12.237;10.944;35.738;-17.244;11.100;31.100;-16.415;13.028;38.689;-13.094;13.152;41.100;-10.429;12.945;39.200;-9.753;12.511;37.189;-17.610;12.043;30.757;-16.600;15.282;37.802;-15.916;17.014;41.126;-15.268;18.198;43.638;-14.756;18.751;45.561;-16.396;12.796;32.357;-14.967;15.893;33.600;-12.967;16.492;35.589;-11.477;18.223;37.199;1.197;38.834;4.979;15.327;36.182;5.964;20.775;22.803;3.685;26.795;8.015;1.166;22.738;7.518;13.357;18.078;6.628;28.327;18.148;4.763;29.208;17.834;2.728;35.506;16.887;1.633;38.131;14.804;1.280;39.670;13.395;1.281;40.632;18.126;5.666;29.350;18.784;5.088;35.951;16.591;4.263;39.715;13.501;4.148;40.999;11.468;4.203;41.513;17.664;6.930;29.733;18.725;7.342;36.595;16.901;6.731;40.827;14.146;6.464;42.097;11.975;6.537;42.342;17.624;7.840;29.595;18.235;9.837;36.459;16.884;9.740;40.010;14.906;9.099;41.572;12.954;8.711;42.575;17.088;8.659;30.090;16.441;11.812;32.313;15.443;12.370;35.573;14.091;13.853;37.456;0.000;0.000;0.000;-7.333;-12.381;1.245;-9.664;-21.454;21.079;-12.401;-32.105;44.362;-11.838;-66.771;15.665;7.818;-12.300;-0.104;13.116;-22.187;19.558;19.334;-33.795;42.639;14.142;-67.246;13.066
2560.000;102.400;-0.140;7.790;-0.496;-0.202;15.082;0.892;-0.221;27.942;5.696;-0.508;43.793;6.911;-0.375;47.685;10.078;0.027;54.190;11.046;-6.789;58.293;12.133;6.952;58.254;11.059;-2.611;60.279;19.309;3.951;60.260;18.797;-2.053;38.766;5.005;-16.004;36.781;6.794;-21.434;23.852;6.682;-27.435;9.561;6.557;-22.794;12.050;18.118;-17.534;14.959;31.727;-17.918;13.512;33.028;-15.209;13.772;39.850;-13.531;14.271;41.580;-11.775;14.795;39.986;-11.912;14.908;38.323;-17.912;14.330;32.808;-16.188;16.212;39.767;-12.302;16.691;40.344;-11.813;16.287;37.380;-13.117;15.759;35.895;-17.279;15.648;31.998;-16.278;18.753;39.016;-12.630;19.041;40.820;-10.656;18.103;38.380;-10.691;17.259;36.386;-17.649;16.507;31.516;-16.543;20.852;37.881;-16.068;23.235;40.780;-15.966;24.954;43.067;-15.924;25.908;44.898;-16.366;17.399;32.958;-14.600;20.475;33.808;-12.516;21.131;35.730;-10.764;22.653;37.287;1.174;38.828;4.958;15.296;36.191;6.009;20.739;22.848;3.627;26.755;8.100;0.995;22.569;7.265;13.155;17.737;5.974;28.106;18.007;4.121;28.878;17.818;1.705;35.014;16.890;0.357;37.531;14.816;-0.300;38.961;13.374;-0.479;39.855;17.888;5.006;29.073;18.486;4.032;35.620;16.302;2.741;39.260;13.165;2.166;40.355;11.130;1.930;40.802;17.296;6.127;29.524;18.183;6.251;36.421;16.282;5.162;40.544;13.563;4.458;41.711;11.391;4.251;41.843;17.140;7.030;29.441;17.347;8.648;36.448;15.971;8.146;39.943;14.065;7.156;41.421;12.171;6.469;42.374;16.512;7.754;29.996;15.315;10.497;32.554;14.254;10.633;35.843;12.668;11.557;37.893;0.000;0.000;0.000;-7.328;-12.389;1.187;-9.685;-21.445;21.028;-12.451;-32.076;44.319;-11.872;-66.778;15.667;7.828;-12.293;-0.103;13.088;-22.189;19.570;19.260;-33.805;42.665;14.127;-67.249;13.073
