Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
65.000;2.600;0.034;7.212;-0.104;-0.003;14.002;-0.037;-0.156;26.018;0.290;-0.434;41.909;-0.187;-0.469;46.184;2.820;0.139;52.778;3.710;-6.689;56.814;4.960;7.011;56.924;3.460;-2.315;58.935;11.979;4.227;58.988;11.263;-1.850;36.706;-1.680;-15.909;34.925;-0.771;-20.973;21.888;-2.032;-26.571;7.478;-3.425;-22.522;4.441;8.643;-17.980;0.822;22.850;-18.731;-0.830;23.392;-15.612;-4.334;29.231;-14.148;-4.859;31.108;-12.394;-5.782;32.825;-11.196;-6.024;33.967;-18.695;-0.018;23.626;-16.552;-2.168;30.468;-13.797;-2.904;33.496;-11.461;-3.252;35.329;-9.850;-3.657;36.522;-17.864;1.160;23.470;-16.055;0.338;31.254;-13.499;-0.647;34.280;-10.813;-1.172;36.279;-9.222;-1.636;37.673;-17.924;2.259;23.474;-15.574;2.703;31.079;-13.142;2.178;34.012;-11.099;1.640;35.841;-9.502;0.992;36.979;-16.501;2.524;25.015;-15.470;5.258;27.174;-13.946;6.023;29.211;-13.520;8.464;30.503;1.370;36.769;-1.463;15.464;34.353;0.870;20.677;20.809;-0.595;26.438;5.840;-2.215;21.575;3.619;9.625;16.030;0.603;24.115;15.859;-1.305;24.835;14.022;-4.054;30.718;12.596;-5.512;32.974;10.748;-6.211;34.411;9.329;-6.590;35.278;15.903;-0.428;25.088;14.841;-1.807;31.565;12.226;-2.840;34.991;9.373;-3.290;36.667;7.538;-3.382;37.679;15.287;0.759;25.471;14.837;0.442;32.496;12.366;-0.344;36.370;9.762;-0.695;37.933;7.786;-0.773;38.865;15.298;1.678;25.421;14.302;2.969;32.395;11.840;2.890;35.384;9.762;2.422;36.872;7.836;2.086;37.942;14.825;2.566;25.940;14.323;5.784;27.889;13.233;6.666;30.916;12.118;8.923;32.027;0.000;0.000;0.000;-7.637;-12.217;-1.018;-9.910;-32.955;-0.053;-12.578;-57.300;1.081;-11.536;-101.656;-6.538;7.570;-12.380;-1.359;9.356;-33.099;-0.031;11.453;-57.422;1.527;10.544;-101.977;-7.343
66.000;2.640;0.034;7.210;-0.096;-0.001;13.999;-0.023;-0.148;26.012;0.312;-0.430;41.903;-0.134;-0.470;46.175;2.886;0.136;52.769;3.797;-6.697;56.795;5.053;7.004;56.922;3.564;-2.331;58.902;12.081;4.212;58.963;11.370;-1.843;36.704;-1.639;-15.900;34.913;-0.755;-20.949;21.873;-2.045;-26.529;7.460;-3.472;-22.501;4.410;8.600;-17.986;0.773;22.810;-18.740;-0.871;23.353;-15.610;-4.402;29.192;-14.148;-4.914;31.065;-12.430;-5.842;32.791;-11.223;-6.067;33.926;-18.714;-0.059;23.589;-16.565;-2.220;30.429;-13.805;-2.960;33.457;-11.463;-3.314;35.280;-9.860;-3.722;36.482;-17.911;1.094;23.438;-16.062;0.269;31.209;-13.513;-0.696;34.245;-10.857;-1.226;36.249;-9.244;-1.687;37.619;-17.961;2.212;23.441;-15.599;2.648;31.051;-13.193;2.109;33.999;-11.160;1.609;35.854;-9.575;0.939;36.996;-16.559;2.482;24.980;-15.487;5.201;27.153;-13.982;5.979;29.171;-13.556;8.399;30.500;1.377;36.767;-1.418;15.469;34.349;0.938;20.694;20.805;-0.502;26.468;5.835;-2.094;21.567;3.621;9.732;15.972;0.615;24.206;15.805;-1.283;24.930;13.948;-4.024;30.821;12.510;-5.503;33.052;10.666;-6.195;34.482;9.239;-6.578;35.334;15.850;-0.407;25.185;14.767;-1.787;31.658;12.142;-2.816;35.074;9.283;-3.280;36.742;7.444;-3.360;37.747;15.224;0.777;25.558;14.748;0.473;32.592;12.273;-0.316;36.450;9.683;-0.668;38.018;7.704;-0.769;38.940;15.235;1.697;25.509;14.220;2.986;32.477;11.743;2.899;35.461;9.655;2.444;36.927;7.729;2.089;37.991;14.765;2.579;26.004;14.262;5.799;27.972;13.155;6.682;31.014;12.042;8.962;32.079;0.000;0.000;0.000;-7.636;-12.216;-1.036;-9.915;-32.952;-0.097;-12.590;-57.295;1.005;-11.563;-101.651;-6.627;7.571;-12.378;-1.370;9.348;-33.096;-0.077;11.433;-57.417;1.440;10.512;-101.974;-7.436
67.000;2.680;0.035;7.207;-0.089;0.002;13.992;-0.015;-0.139;25.999;0.316;-0.423;41.891;-0.109;-0.468;46.162;2.924;0.133;52.758;3.858;-6.704;56.777;5.116;6.999;56.916;3.644;-2.347;58.867;12.155;4.196;58.933;11.452;-1.833;36.693;-1.622;-15.890;34.896;-0.749;-20.935;21.855;-2.065;-26.511;7.441;-3.519;-22.469;4.375;8.540;-17.935;0.723;22.732;-18.687;-0.919;23.279;-15.571;-4.448;29.126;-14.110;-4.959;30.999;-12.375;-5.875;32.725;-11.174;-6.130;33.862;-18.658;-0.108;23.518;-16.533;-2.270;30.360;-13.759;-2.989;33.395;-11.424;-3.362;35.223;-9.828;-3.755;36.441;-17.857;1.076;23.353;-16.020;0.214;31.145;-13.544;-0.742;34.237;-10.883;-1.274;36.240;-9.265;-1.727;37.606;-17.920;2.197;23.365;-15.576;2.582;30.988;-13.236;2.052;34.004;-11.250;1.534;35.904;-9.700;0.930;37.128;-16.503;2.435;24.918;-15.442;5.144;27.093;-13.900;5.922;29.092;-13.527;8.333;30.455;1.386;36.757;-1.398;15.477;34.336;0.974;20.698;20.787;-0.432;26.468;5.811;-1.986;21.551;3.630;9.835;15.936;0.657;24.304;15.788;-1.210;25.046;13.902;-3.969;30.919;12.461;-5.428;33.165;10.622;-6.119;34.608;9.208;-6.504;35.483;15.839;-0.334;25.302;14.735;-1.721;31.769;12.112;-2.746;35.191;9.258;-3.201;36.865;7.419;-3.289;37.871;15.183;0.820;25.660;14.717;0.549;32.689;12.235;-0.248;36.551;9.618;-0.577;38.102;7.666;-0.694;39.078;15.193;1.739;25.605;14.187;3.069;32.573;11.728;2.980;35.571;9.633;2.523;37.042;7.711;2.190;38.120;14.740;2.631;26.136;14.220;5.849;28.067;13.121;6.745;31.095;12.056;9.040;32.175;0.000;0.000;0.000;-7.635;-12.215;-1.056;-9.916;-32.953;-0.148;-12.594;-57.298;0.917;-11.571;-101.651;-6.734;7.572;-12.376;-1.379;9.344;-33.095;-0.124;11.422;-57.418;1.350;10.512;-101.968;-7.548
68.000;2.720;0.036;7.203;-0.084;0.007;13.985;-0.010;-0.123;25.984;0.315;-0.402;41.877;-0.094;-0.451;46.147;2.950;0.141;52.742;3.906;-6.701;56.754;5.159;7.006;56.903;3.721;-2.363;58.826;12.215;4.183;58.897;11.528;-1.812;36.682;-1.614;-15.871;34.882;-0.754;-20.916;21.844;-2.095;-26.492;7.433;-3.578;-22.433;4.362;8.476;-17.883;0.703;22.659;-18.634;-0.946;23.209;-15.517;-4.465;29.018;-14.008;-4.941;30.911;-12.290;-5.846;32.654;-11.106;-6.077;33.812;-18.606;-0.135;23.447;-16.460;-2.301;30.281;-13.658;-3.004;33.288;-11.338;-3.352;35.144;-9.751;-3.756;36.369;-17.747;1.132;23.256;-15.952;0.206;31.064;-13.440;-0.759;34.124;-10.828;-1.290;36.187;-9.256;-1.757;37.601;-17.859;2.232;23.282;-15.547;2.551;30.929;-13.329;2.051;34.039;-11.453;1.531;36.037;-9.977;0.906;37.338;-16.459;2.416;24.850;-15.381;5.116;27.023;-13.865;5.887;29.042;-13.457;8.305;30.381;1.407;36.744;-1.386;15.496;34.318;1.005;20.698;20.764;-0.348;26.448;5.783;-1.843;21.529;3.661;9.985;15.915;0.766;24.463;15.764;-1.138;25.192;13.908;-3.830;31.109;12.462;-5.287;33.366;10.608;-5.967;34.801;9.190;-6.348;35.669;15.800;-0.258;25.437;14.730;-1.590;31.942;12.107;-2.594;35.374;9.262;-3.035;37.062;7.427;-3.117;38.074;15.171;0.950;25.811;14.722;0.696;32.854;12.243;-0.069;36.728;9.662;-0.413;38.309;7.694;-0.503;39.257;15.188;1.869;25.755;14.192;3.207;32.729;11.771;3.138;35.747;9.667;2.695;37.228;7.748;2.370;38.314;14.728;2.737;26.292;14.215;5.965;28.211;13.118;6.878;31.233;12.029;9.159;32.321;0.000;0.000;0.000;-7.633;-12.214;-1.076;-9.917;-32.953;-0.199;-12.597;-57.298;0.831;-11.574;-101.652;-6.834;7.574;-12.374;-1.386;9.338;-33.096;-0.160;11.408;-57.422;1.279;10.500;-101.967;-7.657
69.000;2.760;0.037;7.200;-0.081;0.012;13.980;-0.009;-0.109;25.976;0.306;-0.381;41.870;-0.083;-0.433;46.136;2.971;0.155;52.727;3.948;-6.689;56.735;5.202;7.019;56.891;3.784;-2.362;58.789;12.270;4.185;58.864;11.593;-1.792;36.676;-1.611;-15.855;34.873;-0.752;-20.905;21.842;-2.130;-26.487;7.440;-3.652;-22.403;4.405;8.400;-17.826;0.793;22.581;-18.576;-0.849;23.148;-15.428;-4.344;28.936;-13.891;-4.749;30.823;-12.204;-5.606;32.628;-11.066;-5.796;33.838;-18.556;-0.039;23.391;-16.376;-2.215;30.198;-13.563;-2.862;33.203;-11.295;-3.229;35.092;-9.720;-3.579;36.349;-17.710;1.219;23.168;-15.886;0.309;30.995;-13.386;-0.683;34.040;-10.790;-1.196;36.163;-9.302;-1.673;37.662;-17.823;2.318;23.199;-15.522;2.621;30.871;-13.475;2.111;34.081;-11.717;1.610;36.217;-10.353;0.978;37.633;-16.392;2.502;24.771;-15.325;5.199;26.959;-13.798;5.963;28.993;-13.409;8.388;30.326;1.427;36.737;-1.381;15.517;34.320;1.015;20.686;20.752;-0.220;26.400;5.755;-1.586;21.470;3.750;10.258;15.838;1.000;24.757;15.686;-0.865;25.527;13.867;-3.512;31.492;12.437;-4.941;33.745;10.564;-5.590;35.169;9.136;-5.944;36.033;15.731;0.016;25.768;14.740;-1.234;32.289;12.133;-2.235;35.729;9.286;-2.651;37.419;7.449;-2.731;38.427;15.105;1.249;26.098;14.744;1.033;33.158;12.302;0.318;37.060;9.722;0.005;38.660;7.779;-0.080;39.657;15.136;2.167;26.033;14.227;3.546;33.015;11.876;3.501;36.112;9.866;3.064;37.676;7.979;2.777;38.827;14.627;2.982;26.547;14.106;6.229;28.475;12.968;7.135;31.488;11.846;9.410;32.555;0.000;0.000;0.000;-7.631;-12.214;-1.092;-9.926;-32.949;-0.245;-12.619;-57.290;0.749;-11.610;-101.642;-6.944;7.576;-12.373;-1.387;9.324;-33.095;-0.185;11.375;-57.421;1.226;10.450;-101.973;-7.760
70.000;2.800;0.038;7.198;-0.079;0.015;13.975;-0.007;-0.098;25.966;0.307;-0.371;41.860;-0.055;-0.423;46.123;3.010;0.168;52.713;4.007;-6.680;56.714;5.261;7.030;56.881;3.863;-2.364;58.752;12.340;4.183;58.832;11.673;-1.781;36.669;-1.592;-15.840;34.861;-0.727;-20.899;21.840;-2.148;-26.491;7.448;-3.719;-22.352;4.555;8.339;-17.705;1.112;22.530;-18.397;-0.537;23.069;-15.201;-3.966;28.872;-13.687;-4.257;30.813;-12.149;-5.018;32.766;-11.102;-5.127;34.066;-18.417;0.269;23.328;-16.184;-1.900;30.111;-13.451;-2.499;33.193;-11.362;-2.811;35.277;-9.923;-3.154;36.690;-17.605;1.588;23.113;-15.806;0.545;30.955;-13.366;-0.410;34.062;-11.004;-0.884;36.418;-9.630;-1.311;38.037;-17.773;2.657;23.166;-15.532;2.879;30.874;-13.634;2.310;34.201;-12.143;1.824;36.505;-10.920;1.249;38.066;-16.380;2.844;24.778;-15.365;5.499;27.028;-13.866;6.303;29.091;-13.670;8.726;30.469;1.438;36.730;-1.361;15.535;34.337;1.034;20.691;20.734;0.047;26.390;5.699;-1.043;21.362;3.987;10.815;15.610;1.602;25.337;15.461;-0.245;26.148;13.861;-2.719;32.222;12.348;-4.013;34.542;10.228;-4.304;35.773;8.641;-4.388;36.393;15.524;0.639;26.371;14.833;-0.496;32.920;12.267;-1.371;36.442;9.300;-1.605;37.935;7.365;-1.605;38.744;14.921;1.846;26.696;14.881;1.806;33.740;12.493;1.185;37.694;9.902;0.943;39.270;7.929;0.895;40.208;14.958;2.762;26.604;14.391;4.328;33.601;12.369;4.296;36.898;10.468;3.828;38.589;8.602;3.555;39.777;14.411;3.566;27.135;13.764;6.785;29.138;12.618;7.562;32.198;11.292;9.696;33.320;0.000;0.000;0.000;-7.631;-12.214;-1.100;-9.922;-32.950;-0.274;-12.611;-57.292;0.695;-11.593;-101.642;-7.026;7.577;-12.372;-1.390;9.323;-33.095;-0.204;11.373;-57.422;1.189;10.448;-101.970;-7.837
71.000;2.840;0.038;7.195;-0.079;0.017;13.970;-0.004;-0.089;25.958;0.317;-0.353;41.852;-0.034;-0.400;46.113;3.037;0.201;52.701;4.045;-6.645;56.712;5.277;7.073;56.855;3.948;-2.360;58.719;12.384;4.191;58.787;11.750;-1.767;36.663;-1.574;-15.824;34.860;-0.697;-20.897;21.849;-2.159;-26.503;7.468;-3.776;-22.342;4.900;8.306;-17.661;1.831;22.531;-18.160;0.108;22.973;-14.745;-3.331;28.676;-13.593;-3.580;30.881;-12.645;-4.397;33.106;-11.964;-4.522;34.628;-18.260;0.888;23.284;-15.789;-1.395;29.938;-13.780;-1.910;33.504;-12.406;-2.206;36.100;-11.465;-2.518;37.889;-17.665;2.301;23.135;-15.689;0.938;31.018;-13.901;0.095;34.533;-12.255;-0.322;37.416;-11.294;-0.703;39.319;-17.936;3.356;23.264;-15.661;3.253;31.075;-14.127;2.639;34.582;-13.136;2.099;37.159;-12.388;1.492;38.985;-16.499;3.582;24.937;-15.879;6.170;27.404;-14.570;7.030;29.586;-14.835;9.410;31.025;1.452;36.722;-1.344;15.553;34.348;1.041;20.717;20.699;0.523;26.424;5.613;-0.049;21.138;4.433;11.787;15.052;2.721;26.304;14.989;0.862;27.158;13.899;-1.431;33.375;12.184;-2.477;35.694;9.781;-2.051;36.161;8.206;-1.479;35.836;15.056;1.752;27.356;15.045;0.739;33.930;12.627;0.005;37.576;9.362;0.076;38.292;7.292;0.394;38.184;14.497;3.051;27.677;15.155;3.055;34.680;13.093;2.510;38.804;10.265;2.326;39.983;8.081;2.402;39.964;14.543;3.965;27.573;14.693;5.513;34.650;13.512;5.411;38.165;11.466;4.916;39.586;9.349;4.595;40.205;13.998;4.646;28.249;12.877;7.695;30.393;11.769;8.098;33.634;9.976;9.720;34.948;0.000;0.000;0.000;-7.632;-12.214;-1.088;-9.931;-32.953;-0.287;-12.629;-57.299;0.653;-11.642;-101.645;-7.103;7.575;-12.372;-1.398;9.313;-33.099;-0.235;11.353;-57.430;1.130;10.405;-101.977;-7.909
72.000;2.880;0.038;7.198;-0.069;0.019;13.975;0.010;-0.083;25.965;0.332;-0.333;41.860;-0.018;-0.369;46.118;3.049;0.262;52.705;4.049;-6.578;56.735;5.250;7.151;56.831;4.043;-2.348;58.674;12.409;4.208;58.720;11.832;-1.752;36.672;-1.558;-15.804;34.911;-0.690;-20.833;21.894;-2.160;-26.392;7.506;-3.785;-22.434;5.421;8.397;-17.936;2.951;22.778;-18.306;1.183;23.033;-15.133;-2.560;28.599;-14.452;-3.064;30.877;-14.037;-4.104;33.229;-13.879;-4.402;34.867;-18.418;1.942;23.391;-15.941;-0.778;29.924;-14.629;-1.629;33.654;-14.259;-2.250;36.501;-13.988;-2.762;38.463;-17.987;3.369;23.420;-15.971;1.450;31.265;-14.980;0.351;35.011;-14.441;-0.355;38.252;-14.327;-0.923;40.339;-18.270;4.430;23.628;-15.919;3.664;31.495;-14.899;2.687;35.060;-14.568;1.923;37.736;-14.341;1.052;39.594;-16.813;4.611;25.323;-16.498;7.002;28.112;-15.464;7.918;30.344;-16.220;10.163;31.826;1.468;36.728;-1.328;15.570;34.375;1.082;20.710;20.671;1.283;26.392;5.525;1.506;20.698;5.087;13.263;14.088;4.300;27.744;14.304;2.488;28.607;14.123;0.317;34.836;12.081;-0.249;37.065;10.085;0.793;36.095;9.741;1.618;34.643;14.369;3.381;28.790;15.504;2.440;35.248;13.075;1.593;38.850;10.028;2.181;37.761;8.963;2.752;36.047;13.729;4.765;29.164;15.557;4.820;35.898;13.871;4.045;40.013;10.802;3.877;39.926;9.382;4.191;38.294;13.756;5.677;29.043;15.117;7.162;35.977;14.956;7.057;39.344;12.682;6.448;39.881;10.671;6.382;38.922;13.156;6.153;29.693;11.598;8.764;32.202;10.577;8.655;35.464;8.581;9.370;37.219;0.000;0.000;0.000;-7.633;-12.214;-1.085;-9.927;-32.952;-0.296;-12.621;-57.297;0.630;-11.656;-101.638;-7.154;7.574;-12.369;-1.439;9.318;-33.094;-0.287;11.365;-57.423;1.065;10.401;-101.970;-7.962
73.000;2.920;0.039;7.196;-0.062;0.032;13.971;0.020;-0.037;25.957;0.343;-0.257;41.852;-0.048;-0.291;46.118;3.014;0.360;52.703;4.014;-6.476;56.753;5.176;7.266;56.797;4.118;-2.314;58.612;12.396;4.248;58.633;11.891;-1.680;36.663;-1.580;-15.728;34.980;-0.790;-20.753;21.957;-2.132;-26.307;7.562;-3.615;-22.740;5.931;8.727;-18.666;4.061;23.333;-19.055;2.327;23.384;-16.724;-2.028;28.778;-16.334;-2.715;31.056;-16.397;-3.778;33.373;-16.303;-4.225;34.982;-19.090;3.068;23.791;-17.371;-0.285;30.221;-16.536;-1.660;33.873;-16.773;-2.587;36.664;-17.010;-3.314;38.561;-18.751;4.337;23.996;-17.213;1.696;31.738;-16.788;0.144;35.386;-17.013;-0.921;38.567;-17.351;-1.717;40.552;-18.926;5.431;24.268;-17.048;3.887;32.193;-16.551;2.396;35.718;-16.833;1.306;38.247;-17.103;0.228;39.988;-17.517;5.503;26.026;-17.166;7.546;29.134;-16.335;8.359;31.462;-17.190;10.588;32.914;1.539;36.713;-1.340;15.627;34.369;1.182;20.647;20.637;2.287;26.195;5.460;3.509;20.117;5.876;15.154;13.075;6.122;29.577;13.449;4.352;30.471;14.401;2.433;36.188;12.005;2.506;37.725;11.540;3.489;35.375;11.345;4.354;33.917;13.477;5.245;30.662;15.964;4.580;36.622;12.817;4.039;39.337;11.032;4.665;36.855;11.472;4.828;34.811;13.025;6.523;31.122;15.881;7.008;37.011;13.291;6.251;40.338;11.032;6.178;38.245;11.919;6.663;36.308;12.924;7.428;30.986;15.358;9.196;37.186;15.122;8.857;40.251;12.963;8.388;39.606;12.239;8.725;37.525;12.307;8.044;31.420;10.819;10.349;34.223;10.291;9.389;37.561;8.676;8.661;39.667;0.000;0.000;0.000;-7.636;-12.214;-1.058;-9.922;-32.956;-0.284;-12.607;-57.305;0.625;-11.687;-101.654;-7.174;7.569;-12.365;-1.495;9.326;-33.096;-0.361;11.388;-57.433;0.971;10.379;-101.971;-8.010
