Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3146.000;125.840;0.050;7.184;-0.174;0.072;13.946;-0.404;0.081;25.908;-0.892;-0.102;41.771;-1.979;-0.162;46.111;1.079;0.126;52.546;2.357;-6.692;56.649;3.432;7.040;56.628;2.255;-2.466;58.754;10.546;4.092;58.744;9.984;-1.586;36.526;-3.237;-15.710;34.679;-1.944;-21.005;21.626;-2.631;-26.857;7.198;-3.390;-21.714;6.344;8.387;-15.929;5.255;22.261;-16.189;3.630;23.134;-12.626;1.539;29.438;-11.844;1.545;31.753;-11.268;1.051;34.214;-10.844;1.140;35.829;-16.224;4.470;23.222;-13.215;3.906;30.115;-11.393;4.530;33.658;-10.572;4.990;36.438;-10.009;5.263;38.385;-15.739;5.836;22.675;-13.067;6.482;30.521;-11.211;7.084;34.065;-9.943;7.562;37.128;-9.283;7.812;39.175;-16.019;6.869;22.551;-12.973;8.823;29.893;-10.837;9.593;33.041;-9.546;10.105;35.459;-8.538;10.229;37.257;-14.648;7.619;24.053;-13.980;10.881;25.403;-12.283;12.423;27.029;-12.876;14.902;28.175;1.638;36.573;-3.095;15.770;34.039;-0.792;21.218;20.464;-1.529;27.239;5.461;-2.344;21.334;6.080;8.996;14.532;6.534;22.942;14.428;5.014;24.161;12.331;3.421;30.370;11.737;2.296;33.003;11.049;1.405;35.133;10.429;0.757;36.584;14.425;5.926;24.228;12.711;5.886;30.618;11.383;5.663;34.750;10.260;5.407;37.870;9.487;5.404;39.820;13.683;6.864;24.110;12.548;8.221;31.097;11.532;8.594;35.571;10.581;8.765;38.424;9.819;9.017;40.457;13.597;7.736;23.826;11.911;10.810;30.500;10.608;12.039;34.005;9.950;12.702;36.413;9.264;13.277;38.454;12.981;8.776;24.121;12.457;12.323;25.481;11.907;14.276;27.976;11.624;17.014;27.961;0.000;0.000;0.000;-7.643;-12.214;-1.003;-9.725;-33.070;-0.313;-12.170;-57.552;0.497;-11.003;-101.721;-7.341;7.560;-12.373;-1.470;9.255;-33.229;-0.489;11.245;-57.713;0.663;10.265;-102.011;-8.446
3147.000;125.880;0.049;7.184;-0.178;0.071;13.946;-0.412;0.078;25.907;-0.911;-0.108;41.769;-2.011;-0.160;46.113;1.049;0.138;52.548;2.331;-6.671;56.637;3.514;7.040;56.645;2.113;-2.333;58.759;10.555;4.214;58.763;9.886;-1.594;36.523;-3.262;-15.710;34.683;-1.942;-21.027;21.633;-2.619;-26.904;7.210;-3.368;-21.741;6.381;8.399;-15.931;5.324;22.262;-16.195;3.697;23.147;-12.545;1.663;29.434;-11.696;1.669;31.729;-11.084;1.227;34.172;-10.588;1.317;35.767;-16.233;4.538;23.234;-13.190;3.996;30.115;-11.368;4.635;33.635;-10.522;5.093;36.432;-9.984;5.358;38.387;-15.747;5.884;22.687;-13.041;6.581;30.508;-11.120;7.199;34.009;-9.827;7.667;37.042;-9.075;7.984;39.048;-16.018;6.914;22.555;-12.980;8.899;29.879;-10.807;9.666;32.997;-9.481;10.172;35.414;-8.473;10.301;37.210;-14.638;7.690;24.038;-13.979;10.961;25.378;-12.258;12.500;26.995;-12.857;14.976;28.143;1.630;36.570;-3.125;15.764;34.040;-0.849;21.222;20.470;-1.600;27.254;5.472;-2.429;21.386;6.113;8.927;14.624;6.591;22.892;14.519;5.082;24.119;12.458;3.515;30.343;11.880;2.396;32.982;11.204;1.505;35.110;10.591;0.880;36.574;14.521;5.994;24.185;12.845;5.960;30.576;11.514;5.742;34.719;10.430;5.500;37.837;9.646;5.506;39.783;13.800;6.928;24.056;12.709;8.299;31.055;11.701;8.667;35.530;10.750;8.853;38.387;10.001;9.104;40.425;13.712;7.800;23.773;12.077;10.869;30.471;10.877;12.068;34.000;10.213;12.744;36.430;9.557;13.292;38.489;13.111;8.843;24.086;12.591;12.385;25.432;12.071;14.357;27.926;11.794;17.095;27.893;0.000;0.000;0.000;-7.643;-12.216;-0.990;-9.721;-33.069;-0.299;-12.160;-57.550;0.511;-10.992;-101.718;-7.340;7.560;-12.373;-1.475;9.263;-33.227;-0.494;11.263;-57.709;0.657;10.283;-102.005;-8.446
3148.000;125.920;0.048;7.183;-0.182;0.069;13.944;-0.425;0.074;25.903;-0.943;-0.112;41.764;-2.052;-0.156;46.110;1.007;0.154;52.544;2.292;-6.642;56.626;3.567;7.048;56.649;1.976;-2.210;58.757;10.546;4.327;58.768;9.787;-1.600;36.517;-3.298;-15.714;34.683;-1.958;-21.055;21.642;-2.619;-26.958;7.228;-3.349;-21.777;6.438;8.414;-15.953;5.430;22.271;-16.205;3.839;23.180;-12.464;1.864;29.428;-11.526;1.932;31.682;-10.695;1.523;34.078;-10.069;1.649;35.623;-16.264;4.677;23.275;-13.181;4.146;30.118;-11.313;4.817;33.626;-10.461;5.283;36.404;-9.897;5.575;38.347;-15.789;5.968;22.706;-13.058;6.760;30.486;-11.044;7.426;33.949;-9.681;7.905;36.937;-8.855;8.232;38.912;-16.062;7.012;22.564;-12.989;9.067;29.855;-10.851;9.841;32.973;-9.522;10.362;35.392;-8.509;10.501;37.186;-14.722;7.811;24.040;-13.973;11.079;25.354;-12.233;12.613;26.942;-12.791;15.093;28.103;1.625;36.564;-3.166;15.760;34.033;-0.912;21.217;20.462;-1.670;27.248;5.463;-2.507;21.426;6.143;8.869;14.724;6.666;22.856;14.642;5.155;24.088;12.553;3.615;30.325;11.970;2.550;32.988;11.312;1.687;35.129;10.725;1.076;36.609;14.645;6.067;24.150;12.976;6.070;30.549;11.656;5.884;34.696;10.574;5.643;37.817;9.793;5.655;39.764;13.883;7.041;24.011;12.852;8.398;31.018;11.859;8.784;35.507;10.922;8.982;38.362;10.177;9.245;40.400;13.810;7.915;23.730;12.224;11.000;30.432;11.061;12.203;33.973;10.448;12.865;36.408;9.795;13.414;38.467;13.205;8.947;24.075;12.717;12.471;25.399;12.206;14.458;27.883;11.951;17.198;27.842;0.000;0.000;0.000;-7.642;-12.217;-0.978;-9.716;-33.068;-0.292;-12.150;-57.546;0.513;-10.979;-101.715;-7.342;7.560;-12.372;-1.477;9.267;-33.226;-0.494;11.271;-57.707;0.659;10.291;-102.007;-8.444
3149.000;125.960;0.047;7.181;-0.188;0.068;13.940;-0.439;0.073;25.895;-0.976;-0.112;41.755;-2.094;-0.151;46.106;0.963;0.163;52.544;2.243;-6.624;56.623;3.579;7.052;56.652;1.864;-2.130;58.757;10.518;4.401;58.771;9.699;-1.603;36.508;-3.335;-15.715;34.669;-1.974;-21.093;21.641;-2.612;-27.038;7.242;-3.316;-21.841;6.529;8.440;-16.001;5.609;22.295;-16.246;3.985;23.202;-12.395;2.115;29.409;-11.258;2.250;31.582;-10.073;2.001;33.856;-9.213;2.266;35.265;-16.306;4.824;23.293;-13.184;4.365;30.115;-11.321;5.031;33.616;-10.302;5.508;36.364;-9.667;5.780;38.288;-15.851;6.133;22.741;-13.078;6.956;30.491;-11.034;7.602;33.934;-9.473;8.099;36.855;-8.620;8.389;38.825;-16.140;7.174;22.600;-13.034;9.276;29.848;-10.830;10.072;32.941;-9.495;10.614;35.341;-8.477;10.780;37.130;-14.756;7.994;24.060;-13.938;11.259;25.351;-12.114;12.750;26.896;-12.567;15.227;28.109;1.622;36.555;-3.207;15.761;34.015;-0.970;21.203;20.438;-1.729;27.219;5.431;-2.568;21.459;6.179;8.830;14.834;6.783;22.844;14.753;5.279;24.079;12.649;3.777;30.324;12.055;2.785;33.002;11.417;1.988;35.189;10.885;1.451;36.719;14.763;6.190;24.143;13.074;6.215;30.547;11.726;6.084;34.679;10.706;5.895;37.820;9.986;5.929;39.789;14.010;7.143;24.007;12.980;8.538;31.013;12.035;8.924;35.497;11.126;9.135;38.365;10.392;9.396;40.407;13.933;8.015;23.723;12.370;11.113;30.432;11.238;12.335;33.977;10.639;12.989;36.417;9.995;13.528;38.481;13.337;9.071;24.050;12.865;12.606;25.382;12.398;14.598;27.888;12.152;17.338;27.826;0.000;0.000;0.000;-7.641;-12.218;-0.968;-9.711;-33.069;-0.284;-12.142;-57.546;0.520;-10.965;-101.713;-7.343;7.561;-12.372;-1.472;9.269;-33.225;-0.492;11.274;-57.704;0.659;10.298;-102.004;-8.446
3150.000;126.000;0.049;7.178;-0.193;0.071;13.935;-0.453;0.082;25.885;-1.013;-0.106;41.745;-2.127;-0.145;46.099;0.931;0.163;52.546;2.203;-6.619;56.624;3.565;7.049;56.655;1.790;-2.094;58.766;10.482;4.432;58.780;9.634;-1.596;36.498;-3.368;-15.703;34.646;-1.985;-21.200;21.659;-2.564;-27.275;7.304;-3.205;-22.045;6.724;8.538;-16.172;5.968;22.389;-16.413;4.332;23.296;-12.334;2.528;29.387;-11.014;2.733;31.444;-9.174;2.635;33.263;-7.880;3.008;34.255;-16.470;5.171;23.385;-13.247;4.729;30.165;-11.109;5.355;33.565;-9.596;5.870;36.064;-8.501;6.152;37.767;-16.012;6.554;22.819;-13.142;7.337;30.537;-10.863;7.837;33.882;-8.897;8.174;36.531;-7.617;8.413;38.262;-16.322;7.572;22.687;-13.116;9.666;29.862;-10.807;10.491;32.879;-9.453;11.034;35.259;-8.400;11.170;37.030;-14.879;8.379;24.127;-13.721;11.596;25.309;-11.545;12.854;26.738;-11.479;15.304;28.079;1.629;36.545;-3.242;15.772;33.984;-1.006;21.202;20.401;-1.754;27.204;5.387;-2.582;21.547;6.282;8.851;15.037;7.056;22.911;14.913;5.582;24.157;12.788;4.137;30.382;12.128;3.338;33.110;11.509;2.697;35.364;11.068;2.312;36.966;14.956;6.492;24.231;13.237;6.523;30.609;11.750;6.558;34.675;10.863;6.545;37.862;10.250;6.698;39.862;14.219;7.442;24.059;13.203;8.809;31.087;12.257;9.182;35.561;11.385;9.387;38.448;10.705;9.668;40.506;14.161;8.318;23.782;12.629;11.371;30.518;11.493;12.558;34.078;10.894;13.179;36.541;10.288;13.697;38.622;13.576;9.374;24.128;13.200;12.915;25.469;12.745;14.916;28.006;12.590;17.663;27.928;0.000;0.000;0.000;-7.640;-12.219;-0.964;-9.704;-33.068;-0.275;-12.126;-57.543;0.533;-10.940;-101.709;-7.338;7.562;-12.373;-1.466;9.275;-33.223;-0.484;11.285;-57.700;0.669;10.320;-101.997;-8.441
3151.000;126.040;0.048;7.174;-0.199;0.074;13.926;-0.467;0.096;25.869;-1.043;-0.091;41.731;-2.139;-0.132;46.086;0.921;0.171;52.542;2.187;-6.613;56.615;3.551;7.053;56.657;1.764;-2.085;58.767;10.462;4.441;58.787;9.609;-1.583;36.485;-3.385;-15.671;34.618;-1.980;-21.525;21.743;-2.357;-27.995;7.513;-2.774;-22.654;7.280;8.912;-16.562;6.804;22.665;-16.788;5.131;23.592;-12.368;3.347;29.461;-10.814;3.406;31.402;-8.229;3.611;31.905;-6.644;4.137;31.813;-16.813;5.974;23.659;-13.305;5.577;30.330;-10.545;6.068;33.341;-7.911;6.517;34.694;-5.979;6.669;35.347;-16.372;7.380;23.097;-13.068;8.199;30.650;-10.415;8.426;33.701;-7.490;8.565;35.302;-5.528;8.636;36.215;-16.695;8.400;22.978;-13.153;10.589;29.932;-10.711;11.467;32.838;-9.285;12.126;35.136;-8.193;12.280;36.882;-15.069;9.224;24.306;-13.524;12.331;25.268;-10.958;13.122;26.515;-9.976;15.354;27.879;1.642;36.532;-3.261;15.790;33.944;-1.023;21.297;20.366;-1.627;27.384;5.359;-2.295;21.830;6.571;9.145;15.429;7.727;23.228;15.246;6.279;24.496;13.009;4.961;30.677;12.311;4.414;33.441;11.699;4.002;35.737;11.285;3.739;37.371;15.327;7.187;24.568;13.520;7.295;30.915;11.885;7.559;34.874;11.280;7.742;38.139;10.943;8.055;40.186;14.643;8.193;24.336;13.544;9.546;31.391;12.597;9.936;35.827;11.961;10.182;38.779;11.520;10.491;40.897;14.631;9.073;24.064;13.049;12.075;30.851;11.893;13.100;34.463;11.473;13.657;36.974;11.042;14.115;39.112;13.988;10.118;24.454;13.756;13.634;25.793;13.402;15.632;28.289;13.371;18.383;28.265;0.000;0.000;0.000;-7.639;-12.220;-0.958;-9.708;-33.064;-0.261;-12.137;-57.532;0.558;-10.959;-101.702;-7.315;7.563;-12.373;-1.454;9.271;-33.221;-0.461;11.277;-57.695;0.705;10.299;-101.993;-8.415
3152.000;126.080;0.049;7.168;-0.207;0.077;13.914;-0.479;0.101;25.846;-1.060;-0.077;41.708;-2.147;-0.122;46.069;0.922;0.168;52.535;2.194;-6.621;56.601;3.556;7.046;56.659;1.776;-2.099;58.755;10.471;4.428;58.783;9.621;-1.571;36.464;-3.396;-15.617;34.623;-1.963;-22.211;22.023;-1.839;-29.500;8.098;-1.701;-23.748;8.338;9.779;-17.167;8.437;23.331;-17.372;6.775;24.305;-12.459;4.954;29.733;-10.548;4.895;31.352;-8.223;5.422;30.343;-7.352;6.078;29.075;-17.362;7.620;24.346;-13.288;7.181;30.734;-9.544;7.593;32.545;-6.580;7.930;32.003;-4.804;8.035;30.994;-16.929;9.046;23.749;-13.003;9.869;30.912;-9.610;9.944;33.173;-6.233;9.812;33.007;-4.113;9.730;32.573;-17.247;10.080;23.646;-13.135;12.254;30.230;-10.520;13.140;32.964;-9.010;13.821;35.205;-7.873;14.028;36.917;-15.494;10.841;24.824;-13.463;13.743;25.481;-10.618;14.166;26.436;-9.044;16.090;27.713;1.654;36.509;-3.272;15.792;33.933;-1.010;21.539;20.404;-1.210;27.891;5.452;-1.432;22.335;7.229;9.927;15.895;9.077;23.934;15.641;7.667;25.213;13.468;6.534;31.428;12.854;6.258;34.219;12.331;6.061;36.543;11.910;5.957;38.193;15.764;8.571;25.277;14.029;8.818;31.634;12.574;9.209;35.614;12.429;9.500;38.916;12.383;9.870;40.980;15.150;9.636;25.019;14.161;11.053;32.083;13.363;11.611;36.500;13.130;11.980;39.480;12.958;12.358;41.625;15.189;10.514;24.747;13.728;13.567;31.561;12.674;14.420;35.246;12.466;14.880;37.824;12.367;15.245;40.021;14.636;11.537;25.132;14.535;15.080;26.494;14.367;17.103;29.023;14.556;19.847;28.956;0.000;0.000;0.000;-7.638;-12.222;-0.949;-9.708;-33.063;-0.232;-12.138;-57.530;0.609;-10.960;-101.703;-7.231;7.565;-12.375;-1.432;9.273;-33.219;-0.416;11.277;-57.688;0.777;10.299;-101.990;-8.331
3153.000;126.120;0.050;7.168;-0.213;0.083;13.914;-0.488;0.124;25.846;-1.068;-0.047;41.707;-2.171;-0.099;46.071;0.899;0.177;52.534;2.181;-6.617;56.590;3.547;7.051;56.664;1.781;-2.104;58.730;10.471;4.424;58.766;9.628;-1.541;36.463;-3.418;-15.526;34.717;-1.964;-23.203;22.660;-0.980;-31.688;9.333;0.108;-25.246;10.252;11.174;-17.836;11.186;24.287;-18.094;9.571;25.375;-12.758;7.741;30.277;-10.497;7.696;31.352;-9.167;8.238;29.332;-9.763;8.882;27.909;-18.032;10.414;25.367;-13.268;9.979;31.205;-9.065;10.022;31.132;-7.072;10.131;28.827;-6.631;10.153;26.830;-17.559;11.757;24.705;-12.960;12.652;31.215;-8.966;12.489;32.165;-6.090;11.945;30.576;-4.582;11.625;29.054;-17.800;12.795;24.567;-13.036;15.043;30.591;-10.315;16.017;33.170;-8.800;16.817;35.358;-7.681;17.125;37.065;-15.905;13.468;25.519;-13.224;15.936;25.827;-10.236;15.837;26.544;-8.246;17.550;27.500;1.684;36.506;-3.288;15.804;33.991;-0.963;21.923;20.579;-0.482;28.685;5.754;0.049;22.972;8.358;11.172;16.270;11.222;24.924;15.996;9.890;26.204;14.149;8.922;32.471;13.730;8.872;35.296;13.380;8.908;37.669;13.110;8.945;39.353;16.214;10.775;26.274;14.885;11.085;32.672;13.753;11.621;36.711;14.037;11.961;39.996;14.293;12.336;42.043;15.649;11.930;26.021;15.162;13.267;33.121;14.684;13.862;37.539;14.776;14.231;40.525;14.927;14.607;42.673;15.779;12.803;25.758;14.926;15.711;32.695;14.094;16.350;36.486;14.188;16.555;39.110;14.458;16.670;41.319;15.296;13.777;26.158;15.623;17.269;27.632;15.883;19.238;30.170;16.329;21.953;30.135;0.000;0.000;0.000;-7.636;-12.223;-0.943;-9.714;-33.064;-0.200;-12.153;-57.528;0.671;-10.989;-101.703;-7.109;7.567;-12.376;-1.410;9.267;-33.220;-0.370;11.261;-57.690;0.851;10.276;-102.000;-8.212
3154.000;126.160;0.051;7.175;-0.215;0.086;13.929;-0.485;0.131;25.874;-1.046;-0.027;41.732;-2.191;-0.096;46.094;0.871;0.144;52.541;2.160;-6.648;56.602;3.525;7.023;56.666;1.771;-2.138;58.730;10.456;4.390;58.761;9.618;-1.521;36.485;-3.428;-15.446;34.927;-1.990;-24.360;23.769;0.178;-34.213;11.437;2.575;-26.860;13.138;12.942;-18.351;15.071;25.281;-18.765;13.609;26.604;-13.420;11.472;31.035;-10.976;11.317;31.116;-11.082;11.671;28.753;-12.465;12.321;28.074;-18.568;14.423;26.481;-13.476;13.867;31.716;-9.787;13.055;29.894;-9.776;12.963;26.817;-10.761;12.966;25.025;-17.911;15.632;25.597;-12.861;16.471;31.349;-8.923;15.339;30.749;-7.468;14.088;28.021;-7.091;13.379;26.010;-18.021;16.628;25.362;-12.561;18.807;30.659;-9.612;19.811;32.876;-7.933;20.800;34.878;-6.784;21.278;36.525;-16.014;17.004;26.065;-12.694;18.634;25.976;-9.808;17.900;26.623;-7.305;19.002;27.195;1.704;36.527;-3.289;15.785;34.097;-0.860;22.328;20.888;0.487;29.560;6.288;1.976;23.636;9.871;12.707;16.607;13.938;26.024;16.263;12.699;27.279;14.751;11.659;33.504;14.486;11.706;36.348;14.334;11.822;38.739;14.235;11.914;40.439;16.593;13.546;27.383;15.687;13.661;33.759;14.856;14.126;37.885;15.494;14.280;41.131;16.029;14.509;43.146;16.129;14.731;27.163;16.189;15.775;34.288;16.024;16.158;38.725;16.466;16.302;41.692;16.903;16.516;43.823;16.354;15.592;26.927;16.232;18.151;34.016;15.732;18.540;37.898;16.116;18.403;40.498;16.645;18.237;42.657;15.935;16.562;27.342;16.809;19.874;29.032;17.593;21.640;31.603;18.394;24.272;31.664;0.000;0.000;0.000;-7.636;-12.224;-0.942;-9.725;-33.068;-0.168;-12.178;-57.537;0.740;-11.036;-101.720;-6.965;7.568;-12.377;-1.393;9.253;-33.223;-0.324;11.230;-57.695;0.930;10.226;-102.020;-8.070
