Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
342.000;13.680;0.034;7.168;-0.088;0.069;13.916;-0.245;0.138;25.854;-0.614;-0.025;41.735;-1.365;-0.197;46.039;1.682;-0.043;52.552;2.803;-6.960;56.509;3.786;6.774;56.793;2.672;-2.819;58.819;10.886;3.740;58.955;10.354;-1.473;36.519;-2.773;-15.562;34.746;-2.156;-21.056;22.031;-4.149;-27.129;7.979;-6.351;-23.276;4.013;5.519;-18.979;-0.695;19.397;-19.535;-2.466;19.946;-17.027;-5.383;26.340;-15.874;-5.386;28.584;-14.801;-5.897;30.842;-13.973;-5.782;32.290;-19.630;-1.653;20.160;-18.229;-3.330;27.278;-16.334;-3.322;30.923;-14.943;-3.236;33.516;-13.864;-3.318;35.252;-18.784;-0.238;19.932;-18.167;-0.850;27.965;-16.291;-0.515;31.522;-14.720;-0.374;34.504;-13.903;-0.309;36.509;-19.058;0.775;19.877;-17.988;1.690;27.776;-16.421;2.240;31.276;-15.278;2.599;33.805;-14.386;2.536;35.666;-18.027;1.195;21.668;-17.602;4.173;23.596;-16.092;5.276;25.822;-16.699;7.540;27.344;1.747;36.562;-2.546;15.736;34.063;-0.181;21.070;20.560;-1.809;26.965;5.636;-3.607;21.898;2.955;8.051;16.168;-0.602;22.225;15.955;-2.489;23.027;14.789;-5.146;29.097;13.932;-6.444;31.664;12.761;-7.233;33.635;11.807;-7.732;34.958;16.067;-1.619;23.284;15.759;-2.928;29.731;14.322;-3.876;33.780;12.115;-4.213;36.281;10.657;-4.346;37.783;15.503;-0.342;23.568;16.001;-0.741;30.663;14.781;-1.441;35.120;12.729;-1.705;37.363;10.942;-1.690;38.620;15.582;0.574;23.517;15.815;1.807;30.733;15.260;2.024;34.525;14.016;1.750;36.799;12.673;1.590;38.571;15.174;1.328;24.162;15.013;4.541;26.215;14.361;5.622;29.274;13.534;8.104;30.128;0.000;0.000;0.000;-7.576;-12.232;-1.258;-9.475;-33.067;-1.072;-11.705;-57.525;-0.854;-9.947;-101.603;-9.495;7.633;-12.323;-1.519;9.492;-33.164;-0.760;11.675;-57.629;0.132;11.180;-101.928;-9.398
343.000;13.720;0.033;7.167;-0.092;0.069;13.915;-0.252;0.137;25.850;-0.630;-0.023;41.732;-1.391;-0.191;46.038;1.655;-0.031;52.553;2.772;-6.941;56.515;3.783;6.788;56.790;2.603;-2.765;58.833;10.860;3.791;58.965;10.296;-1.473;36.515;-2.795;-15.560;34.750;-2.173;-21.062;22.038;-4.157;-27.144;7.988;-6.349;-23.302;4.032;5.525;-19.022;-0.670;19.409;-19.580;-2.437;19.959;-17.054;-5.357;26.356;-15.916;-5.358;28.601;-14.880;-5.853;30.864;-14.014;-5.734;32.289;-19.679;-1.624;20.171;-18.281;-3.312;27.296;-16.381;-3.291;30.936;-14.998;-3.196;33.532;-13.926;-3.246;35.273;-18.843;-0.229;19.946;-18.212;-0.790;27.981;-16.346;-0.512;31.539;-14.778;-0.358;34.520;-13.945;-0.286;36.518;-19.117;0.784;19.890;-18.045;1.717;27.785;-16.473;2.286;31.281;-15.332;2.637;33.819;-14.426;2.556;35.673;-18.077;1.210;21.661;-17.638;4.208;23.608;-16.134;5.305;25.833;-16.729;7.571;27.355;1.747;36.558;-2.570;15.738;34.057;-0.216;21.067;20.553;-1.846;26.957;5.628;-3.648;21.920;2.954;8.024;16.226;-0.596;22.215;16.007;-2.484;23.017;14.833;-5.138;29.089;14.009;-6.450;31.645;12.840;-7.240;33.627;11.891;-7.734;34.956;16.120;-1.614;23.276;15.839;-2.940;29.718;14.410;-3.872;33.771;12.207;-4.199;36.272;10.736;-4.350;37.760;15.566;-0.325;23.560;16.091;-0.761;30.646;14.873;-1.444;35.112;12.824;-1.690;37.355;11.046;-1.682;38.627;15.655;0.590;23.509;15.901;1.817;30.732;15.381;2.021;34.522;14.147;1.742;36.798;12.791;1.592;38.560;15.256;1.328;24.153;15.096;4.541;26.215;14.488;5.626;29.260;13.653;8.090;30.158;0.000;0.000;0.000;-7.577;-12.233;-1.251;-9.484;-33.066;-1.065;-11.722;-57.522;-0.845;-9.976;-101.602;-9.487;7.632;-12.324;-1.514;9.483;-33.165;-0.753;11.656;-57.630;0.140;11.142;-101.934;-9.385
344.000;13.760;0.033;7.167;-0.092;0.070;13.914;-0.255;0.140;25.849;-0.640;-0.018;41.730;-1.414;-0.181;46.041;1.631;-0.016;52.559;2.746;-6.915;56.530;3.804;6.806;56.790;2.522;-2.684;58.851;10.848;3.868;58.975;10.235;-1.470;36.512;-2.812;-15.557;34.757;-2.179;-21.065;22.044;-4.149;-27.153;7.993;-6.327;-23.311;4.049;5.551;-19.032;-0.640;19.436;-19.592;-2.398;19.996;-17.069;-5.315;26.392;-15.924;-5.311;28.639;-14.867;-5.795;30.906;-14.017;-5.690;32.342;-19.689;-1.585;20.210;-18.278;-3.261;27.331;-16.366;-3.227;30.965;-14.986;-3.134;33.560;-13.913;-3.196;35.300;-18.863;-0.198;19.971;-18.205;-0.750;28.016;-16.334;-0.438;31.554;-14.743;-0.294;34.533;-13.900;-0.224;36.527;-19.147;0.810;19.916;-18.047;1.760;27.816;-16.481;2.336;31.311;-15.352;2.663;33.846;-14.444;2.584;35.698;-18.077;1.257;21.711;-17.636;4.245;23.627;-16.126;5.345;25.846;-16.715;7.604;27.382;1.750;36.555;-2.590;15.739;34.056;-0.247;21.073;20.555;-1.881;26.969;5.632;-3.686;21.960;2.964;8.000;16.297;-0.580;22.204;16.084;-2.462;23.010;14.918;-5.125;29.092;14.104;-6.432;31.650;12.934;-7.225;33.626;11.989;-7.716;34.959;16.202;-1.593;23.268;15.923;-2.920;29.712;14.510;-3.861;33.765;12.301;-4.197;36.263;10.837;-4.333;37.758;15.636;-0.310;23.557;16.174;-0.731;30.648;14.985;-1.427;35.113;12.942;-1.671;37.360;11.157;-1.658;38.621;15.725;0.605;23.505;16.003;1.848;30.725;15.496;2.026;34.513;14.265;1.771;36.797;12.925;1.621;38.571;15.341;1.350;24.162;15.181;4.559;26.214;14.560;5.645;29.231;13.742;8.100;30.168;0.000;0.000;0.000;-7.574;-12.234;-1.255;-9.480;-33.066;-1.058;-11.717;-57.520;-0.828;-9.961;-101.583;-9.473;7.634;-12.322;-1.517;9.487;-33.162;-0.752;11.661;-57.626;0.147;11.149;-101.933;-9.371
345.000;13.800;0.033;7.166;-0.093;0.070;13.912;-0.260;0.141;25.845;-0.654;-0.012;41.726;-1.436;-0.168;46.041;1.613;0.012;52.562;2.737;-6.874;56.539;3.849;6.834;56.787;2.445;-2.579;58.868;10.851;3.967;58.986;10.181;-1.467;36.507;-2.831;-15.555;34.752;-2.182;-21.068;22.041;-4.138;-27.162;7.992;-6.300;-23.306;4.063;5.581;-19.010;-0.603;19.471;-19.580;-2.368;20.026;-17.050;-5.260;26.431;-15.897;-5.227;28.680;-14.820;-5.753;30.935;-13.984;-5.647;32.380;-19.674;-1.554;20.238;-18.251;-3.214;27.365;-16.349;-3.178;30.998;-14.941;-3.099;33.584;-13.865;-3.166;35.321;-18.839;-0.162;20.004;-18.186;-0.688;28.038;-16.320;-0.416;31.584;-14.683;-0.248;34.553;-13.850;-0.196;36.552;-19.111;0.853;19.946;-18.023;1.798;27.845;-16.443;2.380;31.330;-15.300;2.680;33.866;-14.398;2.618;35.723;-18.035;1.292;21.745;-17.594;4.279;23.654;-16.072;5.372;25.871;-16.649;7.641;27.394;1.753;36.549;-2.611;15.742;34.048;-0.281;21.083;20.550;-1.909;26.986;5.630;-3.709;21.991;2.978;7.988;16.344;-0.548;22.208;16.126;-2.451;23.000;15.003;-5.102;29.090;14.195;-6.437;31.644;12.986;-7.221;33.601;12.002;-7.712;34.905;16.232;-1.579;23.252;15.994;-2.879;29.715;14.579;-3.836;33.773;12.332;-4.170;36.221;10.810;-4.281;37.660;15.693;-0.294;23.564;16.245;-0.685;30.647;15.053;-1.367;35.116;12.988;-1.628;37.342;11.193;-1.628;38.590;15.772;0.622;23.510;16.048;1.876;30.725;15.533;2.076;34.509;14.300;1.828;36.792;12.932;1.661;38.543;15.383;1.385;24.162;15.195;4.596;26.211;14.560;5.681;29.254;13.710;8.141;30.149;0.000;0.000;0.000;-7.574;-12.234;-1.250;-9.482;-33.067;-1.051;-11.722;-57.522;-0.818;-9.990;-101.606;-9.469;7.635;-12.321;-1.518;9.486;-33.162;-0.749;11.660;-57.628;0.154;11.139;-101.935;-9.357
346.000;13.840;0.032;7.165;-0.098;0.068;13.909;-0.269;0.139;25.840;-0.671;-0.019;41.720;-1.469;-0.169;46.041;1.583;0.027;52.564;2.713;-6.847;56.550;3.873;6.851;56.783;2.361;-2.495;58.885;10.837;4.046;58.996;10.116;-1.473;36.500;-2.857;-15.560;34.746;-2.193;-21.080;22.033;-4.131;-27.181;7.982;-6.272;-23.309;4.085;5.613;-18.993;-0.542;19.509;-19.566;-2.302;20.068;-17.038;-5.182;26.475;-15.890;-5.188;28.684;-14.679;-5.675;30.930;-13.841;-5.559;32.372;-19.664;-1.488;20.279;-18.246;-3.141;27.401;-16.320;-3.142;31.017;-14.804;-3.066;33.554;-13.649;-3.145;35.239;-18.842;-0.126;20.047;-18.183;-0.642;28.083;-16.311;-0.397;31.642;-14.599;-0.344;34.524;-13.564;-0.288;36.426;-19.106;0.897;19.986;-18.013;1.867;27.877;-16.417;2.421;31.356;-15.208;2.711;33.848;-14.233;2.622;35.666;-17.985;1.351;21.787;-17.518;4.325;23.702;-15.957;5.402;25.903;-16.503;7.678;27.430;1.747;36.543;-2.640;15.740;34.043;-0.318;21.093;20.546;-1.919;27.010;5.628;-3.689;22.019;3.003;8.014;16.373;-0.475;22.257;16.227;-2.371;23.058;15.228;-5.059;29.143;14.380;-6.407;31.710;12.788;-6.966;33.474;11.471;-7.254;34.520;16.306;-1.497;23.311;16.146;-2.786;29.772;14.682;-3.826;33.803;12.098;-4.112;35.913;10.320;-4.148;37.026;15.709;-0.266;23.627;16.309;-0.600;30.688;15.164;-1.356;35.170;12.908;-1.646;37.227;11.001;-1.704;38.292;15.746;0.652;23.571;16.017;1.958;30.756;15.390;2.108;34.534;14.075;1.772;36.734;12.592;1.531;38.381;15.339;1.436;24.218;14.947;4.649;26.264;14.189;5.651;29.312;13.111;7.996;30.266;0.000;0.000;0.000;-7.575;-12.235;-1.240;-9.489;-33.066;-1.041;-11.736;-57.520;-0.807;-10.020;-101.601;-9.450;7.633;-12.323;-1.511;9.479;-33.165;-0.742;11.645;-57.631;0.162;11.108;-101.936;-9.347
347.000;13.880;0.033;7.162;-0.101;0.072;13.904;-0.276;0.152;25.830;-0.687;-0.004;41.710;-1.484;-0.144;46.033;1.574;0.070;52.558;2.714;-6.792;56.554;3.912;6.897;56.767;2.320;-2.396;58.888;10.850;4.141;58.989;10.090;-1.462;36.490;-2.870;-15.548;34.738;-2.174;-21.093;22.039;-4.085;-27.222;8.004;-6.197;-23.292;4.184;5.694;-18.899;-0.343;19.604;-19.544;-2.111;20.148;-17.057;-4.978;26.574;-15.860;-4.974;28.717;-14.049;-5.270;30.596;-12.777;-5.035;31.655;-19.599;-1.290;20.344;-18.330;-2.902;27.509;-16.247;-3.050;31.066;-14.096;-3.054;33.119;-12.504;-3.155;34.398;-18.711;0.102;20.143;-18.135;-0.397;28.192;-16.293;-0.466;31.796;-13.881;-0.606;34.141;-12.343;-0.789;35.655;-18.950;1.130;20.079;-17.899;2.080;27.932;-16.312;2.459;31.392;-14.740;2.488;33.725;-13.425;2.197;35.290;-17.793;1.496;21.860;-17.168;4.486;23.768;-15.499;5.422;25.982;-15.809;7.730;27.526;1.759;36.532;-2.658;15.756;34.034;-0.380;21.133;20.554;-1.874;27.077;5.656;-3.526;22.001;3.071;8.179;16.234;-0.322;22.465;16.380;-2.285;23.204;15.810;-4.892;29.384;14.992;-6.153;32.012;12.796;-6.344;33.054;11.094;-6.228;33.080;16.318;-1.401;23.429;16.558;-2.577;29.979;14.926;-3.707;33.937;11.776;-4.130;35.021;9.680;-4.121;35.114;15.611;-0.202;23.863;16.411;-0.359;30.869;15.329;-1.297;35.297;12.780;-1.888;36.911;10.649;-2.119;37.334;15.520;0.712;23.799;15.733;2.112;30.933;15.028;1.952;34.636;13.424;1.315;36.516;11.637;0.714;37.705;14.984;1.472;24.478;13.874;4.498;26.588;12.772;5.101;29.722;10.998;6.800;30.962;0.000;0.000;0.000;-7.575;-12.236;-1.226;-9.479;-33.068;-1.021;-11.714;-57.523;-0.780;-9.981;-101.609;-9.412;7.633;-12.323;-1.518;9.488;-33.164;-0.740;11.666;-57.630;0.175;11.141;-101.938;-9.320
348.000;13.920;0.037;7.164;-0.104;0.072;13.908;-0.288;0.134;25.837;-0.724;-0.043;41.717;-1.512;-0.173;46.040;1.558;0.070;52.563;2.723;-6.781;56.570;3.939;6.903;56.761;2.307;-2.362;58.901;10.863;4.173;58.992;10.083;-1.496;36.496;-2.899;-15.565;34.749;-2.161;-21.259;22.092;-3.856;-27.551;8.103;-5.730;-23.269;4.587;6.133;-18.400;0.455;20.044;-19.436;-1.096;20.636;-17.778;-4.014;27.264;-16.596;-4.341;29.377;-13.955;-4.680;29.594;-12.374;-4.408;29.122;-19.245;-0.281;20.763;-18.622;-1.619;28.084;-16.377;-2.430;31.404;-13.431;-2.951;31.839;-11.467;-3.357;31.441;-18.185;0.915;20.555;-17.806;0.874;28.621;-16.012;0.198;32.247;-12.909;-0.982;32.813;-10.952;-1.797;32.370;-18.156;1.974;20.432;-16.960;3.103;28.206;-15.411;2.839;31.595;-13.094;1.903;32.897;-11.335;0.864;33.192;-16.919;2.166;22.195;-15.255;4.817;24.010;-13.334;5.227;26.223;-12.695;7.443;27.802;1.725;36.542;-2.691;15.719;34.114;-0.439;21.241;20.664;-1.523;27.344;5.798;-2.721;21.837;3.237;8.857;15.508;-0.056;23.093;16.318;-1.744;23.915;16.920;-3.957;30.152;16.054;-5.235;32.737;13.674;-5.588;32.487;12.553;-5.415;31.213;15.965;-0.924;24.114;17.047;-1.559;30.641;15.507;-3.183;34.426;12.428;-4.330;33.939;10.836;-4.545;32.591;14.960;0.038;24.497;16.188;0.580;31.402;15.500;-0.721;35.812;12.868;-2.179;36.578;10.946;-2.856;35.789;14.576;0.869;24.401;14.688;2.544;31.465;14.327;2.231;35.063;12.684;0.709;36.260;10.819;-0.503;36.406;13.722;1.317;25.062;11.267;3.443;27.329;9.980;3.328;30.491;7.615;3.453;31.891;0.000;0.000;0.000;-7.589;-12.228;-1.223;-9.495;-33.061;-1.000;-11.732;-57.517;-0.738;-10.011;-101.601;-9.369;7.619;-12.331;-1.520;9.472;-33.164;-0.723;11.647;-57.620;0.212;11.115;-101.933;-9.272
349.000;13.960;0.034;7.165;-0.113;0.068;13.910;-0.302;0.127;25.840;-0.743;-0.080;41.719;-1.540;-0.209;46.043;1.549;0.049;52.554;2.769;-6.787;56.581;4.005;6.896;56.729;2.353;-2.349;58.880;10.927;4.185;58.950;10.138;-1.524;36.495;-2.923;-15.551;34.754;-2.132;-21.661;22.173;-3.133;-28.415;8.268;-4.239;-23.256;5.591;7.455;-17.275;2.476;21.210;-18.786;1.372;21.956;-18.124;-0.714;29.014;-17.051;-1.204;31.147;-15.026;-2.117;29.983;-14.731;-2.045;28.339;-18.253;2.028;21.928;-17.760;1.900;29.459;-15.541;0.739;32.520;-13.337;-0.614;30.930;-12.914;-1.015;28.970;-16.827;2.885;21.716;-16.002;3.922;29.568;-14.059;2.783;32.818;-11.961;0.645;31.607;-11.751;0.003;29.549;-16.444;3.823;21.408;-14.432;5.547;28.817;-12.805;4.634;31.841;-10.948;2.749;31.495;-10.229;1.347;30.160;-15.147;3.824;23.049;-12.346;5.626;24.586;-10.362;5.255;26.806;-8.662;7.000;28.174;1.697;36.547;-2.717;15.671;34.240;-0.427;21.526;20.837;-0.480;27.998;6.024;-0.539;21.723;3.507;10.667;14.372;0.322;24.578;15.832;-0.588;25.566;17.311;-1.644;31.877;16.641;-3.214;34.285;14.923;-4.181;32.980;14.781;-3.806;31.322;15.123;-0.025;25.695;16.358;0.551;32.225;15.419;-1.690;35.842;13.468;-3.592;34.084;12.914;-3.502;32.063;13.977;0.273;25.989;14.307;1.911;32.803;14.161;0.610;37.056;12.452;-1.937;36.896;11.558;-2.604;35.016;13.198;0.732;25.817;12.169;3.044;32.774;12.222;3.249;36.183;11.372;1.080;36.796;10.333;-0.621;35.798;11.915;0.865;26.488;8.621;1.142;28.602;7.635;-0.021;31.696;5.738;-1.454;33.082;0.000;0.000;0.000;-7.585;-12.233;-1.194;-9.492;-33.068;-0.929;-11.730;-57.527;-0.618;-10.022;-101.619;-9.228;7.623;-12.330;-1.514;9.474;-33.167;-0.671;11.647;-57.628;0.318;11.104;-101.947;-9.122
350.000;14.000;0.029;7.164;-0.121;0.059;13.907;-0.316;0.119;25.835;-0.765;-0.101;41.710;-1.642;-0.237;46.055;1.476;0.002;52.556;2.785;-6.822;56.600;4.036;6.863;56.711;2.398;-2.383;58.845;10.976;4.152;58.898;10.194;-1.542;36.477;-2.998;-15.493;34.846;-2.158;-22.170;22.416;-1.850;-29.550;8.677;-1.510;-23.065;7.500;9.720;-15.495;6.142;22.948;-17.128;5.721;23.959;-16.546;5.203;31.059;-14.989;4.698;32.860;-14.101;3.405;30.907;-14.597;3.596;29.322;-16.445;6.181;23.765;-15.501;7.647;31.031;-13.125;5.952;33.370;-12.436;4.317;31.263;-13.009;4.392;29.301;-15.131;6.458;23.560;-13.212;8.968;30.427;-11.201;7.229;32.975;-10.663;5.216;30.639;-11.834;5.332;28.821;-14.428;7.025;22.986;-11.289;9.839;29.402;-9.630;8.346;31.895;-9.107;5.969;30.758;-9.844;5.087;29.042;-12.872;7.091;24.251;-9.461;7.886;25.466;-7.693;6.762;27.841;-5.739;7.478;29.706;1.679;36.533;-2.794;15.608;34.345;-0.349;21.850;21.136;1.296;28.750;6.537;3.113;21.422;4.247;13.740;12.772;1.394;27.048;14.464;1.067;28.158;15.645;1.032;34.465;14.935;-0.933;36.493;13.954;-1.805;34.542;14.406;-0.928;33.150;13.586;1.318;28.193;13.823;2.733;34.702;13.183;-0.022;37.940;12.529;-1.680;35.323;12.312;-0.918;33.381;12.357;1.337;28.611;11.486;3.390;34.943;11.045;0.882;38.345;10.622;-1.382;36.451;10.605;-0.630;34.399;11.480;1.435;28.347;9.121;3.515;34.786;8.875;2.820;37.921;9.169;0.675;36.901;8.481;-0.621;35.223;10.135;1.301;28.667;6.967;0.214;30.774;6.534;-1.116;33.895;5.835;-3.255;35.479;0.000;0.000;0.000;-7.577;-12.242;-1.153;-9.474;-33.073;-0.839;-11.700;-57.527;-0.470;-10.003;-101.595;-9.000;7.629;-12.324;-1.525;9.487;-33.162;-0.623;11.669;-57.623;0.436;11.108;-101.963;-8.913
