Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2825.000;113.000;0.014;7.280;-0.323;-0.079;14.137;-0.512;-0.377;26.274;-0.701;-0.825;42.151;-1.437;-0.887;46.431;1.795;-0.584;52.811;3.394;-7.528;56.825;3.797;6.253;56.984;3.956;-4.038;58.990;11.282;2.543;59.066;11.358;-2.240;36.911;-2.793;-16.229;34.986;-1.253;-21.358;21.938;-2.105;-27.026;7.516;-3.047;-22.403;7.227;8.957;-17.049;6.616;23.074;-16.506;4.853;23.615;-11.074;3.961;28.808;-9.244;4.649;30.461;-7.204;4.967;32.010;-5.980;5.531;33.000;-16.837;5.598;23.842;-12.816;5.441;30.247;-9.886;6.417;33.051;-7.422;7.724;34.188;-5.628;8.537;34.737;-17.047;7.024;23.640;-13.713;7.736;31.156;-10.894;8.305;34.196;-7.909;9.665;35.024;-5.958;10.546;35.357;-17.707;7.865;23.726;-14.748;9.961;30.981;-12.401;10.938;33.838;-9.991;11.980;34.920;-8.025;12.462;35.328;-16.584;8.939;25.093;-17.029;11.979;27.136;-16.004;13.745;28.871;-17.233;15.962;30.048;0.985;37.007;-2.686;15.193;34.698;-0.684;20.790;21.177;-1.821;26.975;6.234;-3.079;21.918;7.167;8.602;15.894;7.880;22.977;14.728;6.398;23.551;11.036;4.833;29.014;9.018;4.026;31.098;6.843;4.401;32.188;5.280;4.918;32.633;15.116;7.165;23.863;12.558;6.491;30.022;9.757;6.318;33.436;6.764;7.344;34.610;4.940;8.270;35.074;15.168;8.365;24.198;13.353;8.441;31.153;10.633;8.506;34.959;7.841;9.501;35.875;5.942;10.557;36.110;15.604;9.176;24.219;14.158;10.879;31.263;11.725;11.729;34.073;9.268;12.367;34.722;7.160;13.084;34.824;15.547;10.273;24.731;16.551;13.158;27.141;15.699;14.522;30.053;16.242;16.889;31.347;0.000;0.000;0.000;-7.649;-12.238;-0.586;-10.046;-32.865;0.880;-12.860;-57.079;2.600;-12.475;-101.436;-5.258;7.552;-12.414;-1.131;9.602;-33.011;0.342;12.008;-57.190;2.071;11.818;-101.622;-6.950
2826.000;113.040;0.013;7.282;-0.323;-0.082;14.142;-0.509;-0.388;26.282;-0.690;-0.850;42.159;-1.433;-0.918;46.437;1.792;-0.615;52.817;3.380;-7.558;56.831;3.792;6.223;56.990;3.930;-4.057;58.999;11.271;2.524;59.075;11.337;-2.258;36.917;-2.789;-16.247;34.981;-1.268;-21.369;21.930;-2.118;-27.031;7.505;-3.058;-22.418;7.239;8.949;-17.072;6.657;23.071;-16.546;4.888;23.619;-11.111;3.992;28.827;-9.329;4.666;30.486;-7.261;4.972;32.020;-6.035;5.540;33.007;-16.878;5.634;23.844;-12.876;5.478;30.259;-9.928;6.449;33.055;-7.445;7.739;34.172;-5.645;8.542;34.716;-17.070;7.070;23.635;-13.753;7.784;31.159;-10.927;8.343;34.193;-7.952;9.680;35.035;-5.993;10.552;35.334;-17.721;7.916;23.714;-14.773;10.006;30.975;-12.428;11.006;33.814;-9.986;12.014;34.895;-8.024;12.491;35.327;-16.595;8.998;25.090;-17.022;12.036;27.098;-15.990;13.782;28.875;-17.198;16.048;29.978;0.967;37.016;-2.678;15.176;34.720;-0.654;20.786;21.205;-1.774;26.987;6.267;-3.012;21.913;7.199;8.660;15.869;7.909;23.025;14.712;6.417;23.603;11.052;4.834;29.072;9.045;4.031;31.170;6.861;4.389;32.252;5.297;4.893;32.709;15.085;7.194;23.908;12.550;6.521;30.082;9.741;6.333;33.491;6.719;7.350;34.629;4.881;8.253;35.083;15.160;8.390;24.239;13.323;8.511;31.205;10.591;8.545;34.996;7.791;9.512;35.903;5.872;10.536;36.119;15.583;9.207;24.257;14.099;10.916;31.296;11.634;11.760;34.090;9.182;12.366;34.749;7.064;13.051;34.849;15.495;10.312;24.759;16.457;13.229;27.161;15.576;14.586;30.089;16.067;16.988;31.339;0.000;0.000;0.000;-7.647;-12.238;-0.590;-10.048;-32.865;0.889;-12.867;-57.078;2.626;-12.487;-101.437;-5.223;7.554;-12.414;-1.122;9.598;-33.010;0.361;11.998;-57.188;2.101;11.807;-101.623;-6.916
2827.000;113.080;0.013;7.284;-0.325;-0.085;14.144;-0.510;-0.398;26.287;-0.685;-0.866;42.163;-1.432;-0.936;46.438;1.788;-0.633;52.812;3.369;-7.578;56.821;3.794;6.203;56.989;3.909;-4.066;58.989;11.268;2.515;59.069;11.323;-2.271;36.921;-2.787;-16.262;34.981;-1.273;-21.386;21.931;-2.130;-27.050;7.507;-3.077;-22.440;7.254;8.930;-17.101;6.687;23.054;-16.591;4.930;23.612;-11.154;4.004;28.817;-9.316;4.697;30.476;-7.297;4.990;32.010;-6.071;5.560;32.994;-16.924;5.674;23.838;-12.926;5.510;30.252;-9.979;6.464;33.057;-7.480;7.743;34.151;-5.671;8.539;34.675;-17.095;7.095;23.618;-13.776;7.829;31.137;-10.966;8.378;34.179;-7.976;9.718;35.005;-6.012;10.574;35.325;-17.741;7.940;23.695;-14.791;10.048;30.943;-12.441;11.034;33.791;-10.019;12.045;34.868;-8.046;12.512;35.255;-16.627;9.021;25.067;-17.025;12.078;27.069;-15.988;13.846;28.809;-17.184;16.090;29.967;0.954;37.021;-2.674;15.165;34.735;-0.640;20.788;21.224;-1.755;27.003;6.292;-2.987;21.922;7.210;8.682;15.881;7.910;23.047;14.768;6.407;23.630;11.075;4.801;29.094;9.074;4.001;31.196;6.885;4.351;32.264;5.312;4.832;32.717;15.134;7.188;23.931;12.553;6.533;30.107;9.727;6.320;33.494;6.683;7.326;34.588;4.834;8.226;35.001;15.170;8.377;24.256;13.314;8.498;31.209;10.553;8.549;34.991;7.722;9.494;35.859;5.795;10.508;36.045;15.580;9.201;24.269;14.045;10.961;31.305;11.567;11.749;34.086;9.123;12.335;34.739;6.995;12.994;34.828;15.481;10.322;24.762;16.359;13.269;27.157;15.413;14.661;30.032;15.869;17.063;31.296;0.000;0.000;0.000;-7.646;-12.239;-0.589;-10.049;-32.870;0.903;-12.870;-57.088;2.656;-12.490;-101.446;-5.191;7.555;-12.414;-1.113;9.598;-33.011;0.379;11.996;-57.191;2.130;11.807;-101.626;-6.882
2828.000;113.120;0.012;7.286;-0.328;-0.086;14.148;-0.513;-0.400;26.295;-0.687;-0.877;42.170;-1.442;-0.951;46.444;1.774;-0.650;52.815;3.354;-7.595;56.822;3.776;6.186;56.995;3.891;-4.084;58.995;11.250;2.497;59.077;11.304;-2.277;36.926;-2.796;-16.268;34.981;-1.296;-21.389;21.931;-2.159;-27.049;7.508;-3.112;-22.443;7.262;8.896;-17.105;6.705;23.018;-16.603;4.958;23.579;-11.163;4.008;28.785;-9.407;4.669;30.464;-7.300;5.004;31.973;-6.066;5.564;32.954;-16.941;5.699;23.807;-12.927;5.519;30.223;-9.992;6.450;33.033;-7.478;7.734;34.096;-5.669;8.539;34.606;-17.097;7.120;23.583;-13.786;7.860;31.101;-10.979;8.394;34.145;-7.993;9.742;34.977;-6.024;10.594;35.273;-17.748;7.968;23.659;-14.816;10.067;30.916;-12.459;11.077;33.751;-10.021;12.065;34.834;-8.054;12.544;35.243;-16.641;9.037;25.028;-17.040;12.098;27.029;-15.995;13.869;28.767;-17.188;16.114;29.926;0.947;37.029;-2.680;15.159;34.746;-0.633;20.799;21.243;-1.744;27.031;6.318;-2.973;21.933;7.229;8.688;15.870;7.920;23.045;14.782;6.400;23.638;11.126;4.768;29.116;9.099;3.961;31.199;6.913;4.295;32.259;5.330;4.780;32.670;15.137;7.188;23.936;12.557;6.512;30.108;9.672;6.312;33.453;6.599;7.289;34.498;4.734;8.160;34.901;15.159;8.384;24.251;13.280;8.509;31.204;10.457;8.566;34.930;7.645;9.478;35.798;5.698;10.466;35.900;15.557;9.214;24.262;13.972;10.986;31.287;11.494;11.759;34.063;9.023;12.290;34.705;6.892;12.935;34.799;15.437;10.330;24.750;16.255;13.313;27.126;15.270;14.708;29.985;15.677;17.124;31.237;0.000;0.000;0.000;-7.645;-12.240;-0.587;-10.048;-32.865;0.914;-12.868;-57.077;2.675;-12.486;-101.442;-5.168;7.556;-12.414;-1.105;9.599;-33.009;0.394;11.997;-57.187;2.154;11.812;-101.624;-6.859
2829.000;113.160;0.012;7.287;-0.330;-0.086;14.151;-0.518;-0.401;26.300;-0.695;-0.886;42.175;-1.466;-0.964;46.450;1.745;-0.667;52.820;3.319;-7.614;56.826;3.740;6.167;57.003;3.850;-4.100;59.006;11.210;2.481;59.091;11.262;-2.283;36.929;-2.816;-16.273;34.975;-1.322;-21.390;21.923;-2.184;-27.045;7.496;-3.136;-22.440;7.255;8.871;-17.106;6.703;22.994;-16.604;4.956;23.555;-11.140;4.025;28.761;-9.351;4.683;30.414;-7.260;4.991;31.914;-6.019;5.558;32.881;-16.934;5.701;23.782;-12.920;5.528;30.190;-9.984;6.445;33.011;-7.455;7.760;34.032;-5.652;8.586;34.531;-17.096;7.106;23.558;-13.779;7.868;31.076;-10.958;8.422;34.099;-7.975;9.763;34.926;-6.011;10.626;35.222;-17.742;7.954;23.632;-14.816;10.069;30.888;-12.442;11.067;33.721;-10.019;12.080;34.809;-8.055;12.576;35.209;-16.636;9.034;25.012;-17.044;12.104;27.012;-15.993;13.863;28.745;-17.180;16.129;29.870;0.941;37.033;-2.698;15.153;34.766;-0.640;20.815;21.270;-1.746;27.073;6.353;-2.968;21.953;7.259;8.686;15.867;7.954;23.038;14.782;6.412;23.618;11.085;4.790;29.087;9.066;4.000;31.164;6.882;4.350;32.210;5.298;4.849;32.602;15.132;7.203;23.913;12.536;6.526;30.088;9.607;6.330;33.388;6.536;7.298;34.414;4.665;8.169;34.786;15.150;8.425;24.238;13.256;8.515;31.180;10.387;8.599;34.875;7.566;9.493;35.718;5.615;10.476;35.784;15.548;9.256;24.250;13.940;11.016;31.260;11.451;11.778;34.039;8.955;12.296;34.653;6.818;12.920;34.748;15.407;10.367;24.755;16.154;13.375;27.131;15.096;14.811;29.916;15.413;17.271;31.109;0.000;0.000;0.000;-7.645;-12.240;-0.582;-10.044;-32.864;0.927;-12.859;-57.075;2.698;-12.473;-101.441;-5.146;7.556;-12.414;-1.099;9.602;-33.009;0.411;12.003;-57.185;2.184;11.823;-101.621;-6.828
2830.000;113.200;0.012;7.287;-0.332;-0.087;14.151;-0.522;-0.402;26.301;-0.703;-0.884;42.175;-1.483;-0.961;46.451;1.722;-0.661;52.820;3.288;-7.606;56.828;3.716;6.175;56.999;3.810;-4.083;59.011;11.180;2.498;59.093;11.225;-2.282;36.929;-2.830;-16.272;34.980;-1.332;-21.395;21.930;-2.196;-27.057;7.506;-3.152;-22.437;7.254;8.852;-17.087;6.690;22.970;-16.596;4.954;23.542;-11.115;4.003;28.726;-9.289;4.684;30.381;-7.224;4.972;31.877;-5.986;5.531;32.852;-16.935;5.694;23.776;-12.895;5.493;30.168;-9.955;6.415;32.973;-7.433;7.715;34.003;-5.614;8.533;34.457;-17.080;7.080;23.540;-13.765;7.841;31.053;-10.915;8.376;34.072;-7.929;9.738;34.861;-5.964;10.602;35.147;-17.721;7.930;23.613;-14.789;10.057;30.864;-12.411;11.039;33.694;-9.986;12.047;34.770;-8.010;12.513;35.149;-16.623;9.017;25.002;-16.994;12.099;26.989;-15.937;13.875;28.691;-17.119;16.144;29.816;0.942;37.032;-2.713;15.155;34.763;-0.658;20.822;21.267;-1.767;27.086;6.351;-2.993;21.958;7.265;8.656;15.860;7.969;23.003;14.779;6.421;23.588;11.073;4.822;29.056;9.028;4.083;31.122;6.826;4.484;32.135;5.244;5.000;32.512;15.129;7.212;23.883;12.515;6.549;30.053;9.556;6.362;33.314;6.467;7.324;34.305;4.590;8.180;34.682;15.140;8.413;24.204;13.232;8.550;31.137;10.359;8.597;34.829;7.519;9.482;35.654;5.574;10.473;35.756;15.526;9.249;24.213;13.894;11.028;31.219;11.387;11.761;33.977;8.904;12.283;34.599;6.767;12.906;34.698;15.382;10.380;24.725;16.064;13.419;27.083;14.964;14.884;29.852;15.216;17.388;30.965;0.000;0.000;0.000;-7.645;-12.241;-0.577;-10.041;-32.867;0.936;-12.852;-57.080;2.713;-12.463;-101.445;-5.135;7.556;-12.414;-1.097;9.605;-33.010;0.418;12.010;-57.187;2.197;11.836;-101.620;-6.827
2831.000;113.240;0.012;7.288;-0.335;-0.087;14.153;-0.529;-0.403;26.305;-0.716;-0.887;42.179;-1.508;-0.963;46.456;1.692;-0.664;52.826;3.249;-7.605;56.840;3.686;6.177;57.002;3.748;-4.064;59.032;11.139;2.517;59.110;11.169;-2.284;36.931;-2.851;-16.275;34.975;-1.355;-21.399;21.926;-2.212;-27.063;7.503;-3.160;-22.432;7.252;8.840;-17.068;6.692;22.954;-16.580;4.938;23.521;-11.076;4.001;28.685;-9.295;4.665;30.342;-7.189;4.966;31.828;-5.937;5.523;32.788;-16.911;5.682;23.752;-12.879;5.486;30.144;-9.918;6.393;32.936;-7.390;7.714;33.938;-5.584;8.564;34.383;-17.059;7.081;23.525;-13.736;7.797;31.036;-10.859;8.368;34.017;-7.860;9.734;34.776;-5.893;10.597;35.050;-17.695;7.933;23.599;-14.755;10.031;30.855;-12.356;11.025;33.661;-9.918;12.009;34.717;-7.938;12.475;35.074;-16.619;9.009;25.013;-16.970;12.087;26.988;-15.921;13.875;28.687;-17.134;16.135;29.795;0.940;37.035;-2.734;15.154;34.762;-0.677;20.835;21.268;-1.780;27.114;6.353;-2.998;21.993;7.308;8.650;15.896;8.064;22.997;14.798;6.552;23.581;10.998;4.977;28.988;8.911;4.277;31.023;6.703;4.771;32.004;5.120;5.317;32.332;15.167;7.328;23.892;12.491;6.625;30.021;9.450;6.445;33.219;6.370;7.469;34.173;4.511;8.371;34.535;15.177;8.522;24.195;13.228;8.625;31.128;10.311;8.687;34.782;7.490;9.619;35.591;5.542;10.608;35.669;15.579;9.350;24.214;13.917;11.068;31.223;11.404;11.853;33.970;8.921;12.385;34.569;6.795;13.050;34.636;15.435;10.470;24.726;16.099;13.492;27.116;14.996;14.980;29.877;15.313;17.505;30.925;0.000;0.000;0.000;-7.645;-12.241;-0.572;-10.038;-32.867;0.950;-12.847;-57.081;2.737;-12.448;-101.441;-5.117;7.557;-12.414;-1.092;9.605;-33.009;0.428;12.009;-57.186;2.213;11.838;-101.618;-6.813
2832.000;113.280;0.012;7.288;-0.338;-0.087;14.153;-0.533;-0.403;26.304;-0.724;-0.879;42.178;-1.515;-0.954;46.454;1.682;-0.655;52.826;3.232;-7.591;56.846;3.692;6.191;56.998;3.685;-4.011;59.056;11.121;2.570;59.129;11.118;-2.280;36.931;-2.857;-16.272;34.974;-1.356;-21.406;21.928;-2.210;-27.081;7.509;-3.154;-22.446;7.269;8.845;-17.076;6.723;22.958;-16.608;5.002;23.547;-11.029;4.100;28.621;-9.194;4.773;30.255;-7.088;5.118;31.719;-5.819;5.689;32.646;-16.968;5.724;23.803;-12.827;5.524;30.120;-9.848;6.459;32.891;-7.323;7.801;33.860;-5.507;8.636;34.290;-17.062;7.112;23.538;-13.707;7.819;31.027;-10.761;8.442;33.927;-7.786;9.837;34.651;-5.821;10.720;34.881;-17.711;7.957;23.619;-14.764;10.026;30.871;-12.300;11.065;33.615;-9.832;12.067;34.618;-7.858;12.573;34.953;-16.624;9.038;24.998;-17.003;12.106;27.024;-15.985;13.889;28.740;-17.232;16.164;29.779;0.944;37.033;-2.742;15.163;34.717;-0.668;20.881;21.207;-1.724;27.201;6.275;-2.891;22.263;7.384;8.823;16.216;8.262;23.149;14.979;6.861;23.661;10.664;5.576;28.746;8.410;5.075;30.658;6.223;5.775;31.577;4.706;6.511;31.835;15.419;7.574;24.025;12.354;6.922;29.972;9.155;6.872;33.052;6.149;8.188;33.926;4.365;9.230;34.289;15.491;8.750;24.333;13.175;8.878;31.178;10.130;9.009;34.727;7.382;10.164;35.506;5.547;11.351;35.542;15.966;9.536;24.396;14.121;11.200;31.395;11.571;12.128;34.087;9.127;12.900;34.608;7.060;13.734;34.606;15.857;10.681;25.000;16.686;13.571;27.490;15.619;15.163;30.207;16.247;17.670;31.152;0.000;0.000;0.000;-7.645;-12.241;-0.566;-10.036;-32.870;0.962;-12.843;-57.086;2.755;-12.443;-101.444;-5.099;7.557;-12.415;-1.090;9.610;-33.010;0.441;12.020;-57.187;2.239;11.857;-101.621;-6.792
2833.000;113.320;0.012;7.285;-0.339;-0.087;14.148;-0.535;-0.401;26.294;-0.728;-0.865;42.169;-1.502;-0.925;46.446;1.694;-0.605;52.825;3.230;-7.533;56.851;3.763;6.248;56.996;3.582;-3.859;59.086;11.138;2.722;59.156;11.052;-2.273;36.925;-2.847;-16.268;34.963;-1.281;-21.504;21.939;-2.067;-27.292;7.544;-2.935;-22.620;7.391;9.045;-17.208;6.939;23.139;-16.692;5.203;23.726;-10.909;4.586;28.606;-9.088;5.388;30.167;-6.851;5.924;31.464;-5.579;6.564;32.342;-17.067;5.912;23.995;-12.742;5.853;30.201;-9.750;6.868;32.917;-7.284;8.304;33.872;-5.471;9.179;34.229;-17.189;7.321;23.733;-13.719;8.123;31.159;-10.696;8.835;33.964;-7.730;10.317;34.579;-5.790;11.266;34.733;-17.854;8.159;23.831;-14.822;10.256;31.024;-12.266;11.339;33.680;-9.784;12.416;34.601;-7.822;12.969;34.933;-16.809;9.266;25.244;-17.088;12.411;27.193;-16.062;14.279;28.773;-17.367;16.590;29.649;0.951;37.024;-2.738;15.179;34.643;-0.679;21.006;21.107;-1.537;27.448;6.147;-2.486;22.838;7.476;9.294;17.137;8.635;23.710;15.648;7.453;24.018;10.354;7.219;28.304;7.716;7.604;29.727;5.665;8.947;30.115;4.406;10.096;30.037;16.191;8.016;24.492;12.134;7.926;29.891;8.617;8.317;32.551;5.830;10.078;33.157;4.324;11.538;33.146;16.357;9.173;24.845;13.184;9.577;31.387;9.823;9.950;34.646;7.260;11.552;35.264;5.697;13.078;35.204;16.959;9.850;25.008;14.545;11.618;31.890;11.890;12.858;34.397;9.600;14.053;34.792;7.726;15.258;34.769;17.050;11.006;25.719;17.921;13.760;28.424;16.935;15.546;31.006;17.901;17.916;32.015;0.000;0.000;0.000;-7.645;-12.241;-0.558;-10.032;-32.870;0.984;-12.833;-57.087;2.794;-12.427;-101.444;-5.059;7.556;-12.415;-1.094;9.614;-33.009;0.456;12.029;-57.186;2.275;11.863;-101.624;-6.749
