Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1507.000;60.280;0.016;7.277;-0.200;-0.062;14.128;-0.393;-0.316;26.247;-0.739;-0.803;42.121;-1.516;-0.903;46.421;1.551;-0.665;52.913;2.726;-7.615;56.773;3.854;6.085;57.253;2.430;-3.349;59.165;10.853;3.193;59.394;10.173;-2.197;36.874;-2.866;-16.160;34.964;-1.857;-20.943;22.319;-4.490;-26.228;8.343;-7.400;-22.745;3.413;4.275;-18.889;-2.466;17.950;-19.220;-4.337;18.248;-16.278;-7.755;24.134;-14.732;-7.796;26.157;-13.014;-8.184;28.077;-11.894;-8.080;29.314;-19.357;-3.558;18.550;-17.536;-5.899;25.409;-14.671;-6.032;28.383;-12.703;-6.047;30.611;-11.309;-6.171;32.102;-18.770;-2.175;18.596;-17.733;-3.555;26.324;-14.900;-3.926;29.258;-12.008;-3.893;30.967;-10.123;-3.958;32.032;-19.107;-1.136;18.677;-17.735;-1.067;26.394;-15.121;-1.346;29.198;-12.709;-1.520;30.671;-10.847;-1.954;31.451;-18.244;-0.732;20.440;-17.904;2.017;22.640;-16.612;2.860;24.836;-16.794;5.210;26.337;1.027;36.979;-2.744;15.244;34.763;-0.976;20.157;21.288;-3.257;25.587;6.395;-5.780;22.173;2.112;6.022;18.300;-3.583;20.205;17.966;-5.633;20.671;16.358;-8.911;26.391;15.196;-10.059;28.890;13.500;-10.495;30.596;12.129;-10.735;31.582;18.048;-4.794;21.024;17.324;-6.881;27.354;16.007;-8.238;31.272;13.721;-8.777;33.659;12.165;-9.028;35.042;17.682;-3.500;21.538;17.557;-4.863;28.592;16.308;-5.631;32.986;14.427;-6.062;35.338;12.929;-6.179;36.925;17.773;-2.588;21.623;17.329;-2.327;28.986;15.753;-2.346;32.468;13.832;-2.753;34.198;11.984;-3.018;35.414;17.385;-1.840;22.382;17.669;0.973;24.872;17.449;1.932;27.962;17.680;4.467;29.008;0.000;0.000;0.000;-7.656;-12.223;-0.772;-10.012;-32.868;-0.035;-12.777;-57.104;0.830;-12.496;-101.306;-8.182;7.535;-12.381;-1.534;9.608;-32.991;-0.833;12.041;-57.186;-0.009;11.777;-101.485;-9.886
1508.000;60.320;0.017;7.280;-0.196;-0.057;14.132;-0.381;-0.302;26.255;-0.709;-0.787;42.130;-1.472;-0.889;46.426;1.600;-0.651;52.913;2.787;-7.599;56.775;3.927;6.101;57.248;2.493;-3.326;59.152;10.927;3.216;59.378;10.242;-2.180;36.885;-2.827;-16.146;34.975;-1.830;-20.918;22.327;-4.477;-26.193;8.349;-7.402;-22.748;3.422;4.286;-18.934;-2.451;17.977;-19.263;-4.323;18.273;-16.333;-7.747;24.166;-14.825;-7.818;26.187;-13.115;-8.197;28.130;-12.014;-8.093;29.385;-19.403;-3.545;18.574;-17.605;-5.885;25.433;-14.781;-6.029;28.427;-12.829;-6.026;30.671;-11.439;-6.162;32.165;-18.828;-2.189;18.622;-17.830;-3.538;26.351;-14.999;-3.917;29.290;-12.115;-3.883;31.001;-10.226;-3.939;32.060;-19.154;-1.148;18.697;-17.824;-1.054;26.421;-15.226;-1.336;29.240;-12.827;-1.519;30.730;-10.963;-1.953;31.506;-18.320;-0.724;20.475;-17.976;2.028;22.665;-16.690;2.871;24.852;-16.880;5.205;26.377;1.043;36.989;-2.703;15.258;34.771;-0.927;20.173;21.294;-3.206;25.605;6.399;-5.726;22.167;2.113;6.068;18.264;-3.587;20.243;17.923;-5.628;20.718;16.321;-8.906;26.419;15.118;-10.066;28.909;13.418;-10.509;30.604;12.040;-10.749;31.580;18.007;-4.790;21.074;17.260;-6.886;27.393;15.907;-8.249;31.290;13.592;-8.800;33.641;11.996;-9.035;34.981;17.642;-3.519;21.574;17.492;-4.875;28.625;16.170;-5.684;32.997;14.265;-6.077;35.310;12.692;-6.185;36.824;17.728;-2.606;21.659;17.265;-2.329;29.017;15.696;-2.366;32.495;13.718;-2.774;34.203;11.859;-3.044;35.403;17.373;-1.844;22.435;17.615;0.975;24.906;17.380;1.935;27.991;17.596;4.471;29.036;0.000;0.000;0.000;-7.656;-12.223;-0.781;-10.008;-32.866;-0.040;-12.769;-57.100;0.829;-12.477;-101.310;-8.163;7.536;-12.380;-1.532;9.611;-32.990;-0.829;12.047;-57.183;-0.004;11.788;-101.488;-9.864
1509.000;60.360;0.020;7.282;-0.188;-0.050;14.137;-0.361;-0.285;26.265;-0.661;-0.762;42.141;-1.409;-0.864;46.431;1.673;-0.619;52.908;2.886;-7.561;56.770;4.057;6.135;57.241;2.595;-3.272;59.115;11.057;3.269;59.341;10.359;-2.157;36.898;-2.771;-16.125;34.991;-1.787;-20.882;22.342;-4.443;-26.138;8.362;-7.378;-22.753;3.453;4.334;-19.007;-2.401;18.051;-19.327;-4.268;18.346;-16.460;-7.734;24.252;-14.986;-7.771;26.309;-13.250;-8.161;28.233;-12.138;-8.058;29.477;-19.469;-3.489;18.646;-17.758;-5.825;25.522;-14.934;-5.975;28.537;-12.982;-5.971;30.783;-11.603;-6.104;32.288;-18.910;-2.127;18.697;-17.970;-3.480;26.435;-15.137;-3.838;29.375;-12.243;-3.820;31.076;-10.372;-3.885;32.163;-19.242;-1.083;18.771;-17.960;-0.987;26.501;-15.382;-1.272;29.328;-12.965;-1.444;30.804;-11.108;-1.884;31.592;-18.373;-0.670;20.561;-18.047;2.080;22.747;-16.762;2.926;24.932;-16.929;5.262;26.455;1.067;37.001;-2.643;15.279;34.771;-0.855;20.198;21.292;-3.123;25.635;6.395;-5.630;22.158;2.104;6.151;18.207;-3.603;20.315;17.865;-5.653;20.777;16.211;-8.938;26.472;14.995;-10.116;28.938;13.253;-10.568;30.593;11.869;-10.812;31.559;17.944;-4.814;21.130;17.151;-6.914;27.462;15.729;-8.318;31.323;13.281;-8.835;33.543;11.592;-9.039;34.770;17.592;-3.527;21.643;17.377;-4.902;28.689;15.923;-5.732;33.012;13.923;-6.117;35.241;12.232;-6.213;36.622;17.679;-2.614;21.730;17.155;-2.356;29.085;15.554;-2.424;32.536;13.537;-2.873;34.194;11.655;-3.140;35.357;17.300;-1.866;22.506;17.530;0.952;24.984;17.277;1.921;28.058;17.482;4.456;29.109;0.000;0.000;0.000;-7.658;-12.220;-0.801;-10.009;-32.869;-0.056;-12.768;-57.109;0.818;-12.472;-101.319;-8.129;7.535;-12.381;-1.535;9.607;-32.994;-0.829;12.041;-57.192;-0.000;11.781;-101.499;-9.831
1510.000;60.400;0.022;7.284;-0.183;-0.045;14.140;-0.348;-0.272;26.270;-0.629;-0.739;42.147;-1.369;-0.841;46.433;1.719;-0.591;52.904;2.950;-7.531;56.761;4.151;6.164;57.236;2.669;-3.229;59.071;11.155;3.310;59.298;10.448;-2.135;36.905;-2.736;-16.107;35.005;-1.763;-20.857;22.353;-4.413;-26.108;8.369;-7.341;-22.762;3.485;4.387;-19.059;-2.335;18.126;-19.390;-4.198;18.424;-16.516;-7.693;24.326;-15.066;-7.710;26.401;-13.300;-8.083;28.307;-12.197;-7.981;29.559;-19.535;-3.420;18.724;-17.853;-5.753;25.606;-15.009;-5.897;28.612;-13.043;-5.879;30.841;-11.649;-5.994;32.333;-18.975;-2.102;18.777;-18.051;-3.392;26.509;-15.224;-3.755;29.446;-12.319;-3.742;31.114;-10.407;-3.780;32.131;-19.291;-1.048;18.844;-18.066;-0.912;26.570;-15.471;-1.183;29.393;-13.042;-1.369;30.860;-11.187;-1.804;31.655;-18.383;-0.613;20.647;-18.100;2.148;22.825;-16.796;2.992;25.013;-16.973;5.360;26.485;1.089;37.006;-2.605;15.298;34.774;-0.803;20.223;21.290;-3.055;25.667;6.387;-5.545;22.165;2.075;6.229;18.190;-3.653;20.384;17.858;-5.708;20.824;16.207;-9.042;26.516;14.933;-10.302;28.915;13.137;-10.769;30.497;11.706;-11.000;31.397;17.924;-4.868;21.178;17.136;-7.008;27.515;15.509;-8.418;31.314;12.869;-8.907;33.325;11.096;-9.059;34.436;17.558;-3.598;21.720;17.319;-4.975;28.752;15.712;-5.897;33.008;13.501;-6.249;35.060;11.713;-6.323;36.315;17.634;-2.685;21.812;17.095;-2.426;29.145;15.453;-2.554;32.586;13.461;-3.031;34.224;11.553;-3.327;35.337;17.293;-1.935;22.588;17.477;0.885;25.054;17.189;1.853;28.120;17.361;4.385;29.185;0.000;0.000;0.000;-7.659;-12.218;-0.809;-10.014;-32.869;-0.063;-12.779;-57.111;0.813;-12.495;-101.327;-8.115;7.534;-12.381;-1.537;9.605;-32.995;-0.833;12.036;-57.193;-0.007;11.781;-101.507;-9.814
1511.000;60.440;0.025;7.286;-0.179;-0.036;14.144;-0.339;-0.251;26.278;-0.611;-0.709;42.155;-1.355;-0.811;46.440;1.737;-0.560;52.905;2.982;-7.499;56.759;4.196;6.196;57.237;2.721;-3.200;59.039;11.211;3.340;59.268;10.507;-2.107;36.913;-2.721;-16.084;35.023;-1.754;-20.839;22.368;-4.390;-26.094;8.382;-7.303;-22.766;3.527;4.443;-19.085;-2.253;18.203;-19.412;-4.140;18.481;-16.594;-7.623;24.408;-15.170;-7.699;26.485;-13.337;-8.058;28.327;-12.134;-7.907;29.478;-19.546;-3.358;18.775;-17.921;-5.678;25.688;-15.112;-5.874;28.722;-13.074;-5.865;30.893;-11.606;-5.998;32.311;-19.013;-1.982;18.854;-18.099;-3.313;26.580;-15.236;-3.705;29.483;-12.273;-3.652;31.066;-10.339;-3.716;32.039;-19.346;-0.924;18.925;-18.100;-0.824;26.651;-15.521;-1.125;29.472;-13.093;-1.313;30.924;-11.222;-1.739;31.687;-18.500;-0.534;20.738;-18.077;2.218;22.928;-16.788;3.056;25.108;-16.907;5.471;26.508;1.116;37.013;-2.588;15.321;34.778;-0.779;20.252;21.287;-3.006;25.702;6.376;-5.468;22.197;2.019;6.296;18.213;-3.750;20.447;17.897;-5.800;20.873;16.310;-9.244;26.502;14.959;-10.657;28.817;13.032;-11.134;30.243;11.508;-11.300;30.990;17.958;-4.964;21.236;17.265;-7.187;27.551;15.306;-8.623;31.237;12.500;-9.042;33.007;10.602;-9.124;33.897;17.569;-3.719;21.791;17.311;-5.114;28.796;15.488;-6.160;32.939;13.085;-6.481;34.783;11.176;-6.544;35.845;17.641;-2.806;21.886;17.089;-2.613;29.199;15.369;-2.791;32.605;13.338;-3.324;34.169;11.404;-3.663;35.222;17.273;-2.047;22.617;17.423;0.754;25.147;17.063;1.687;28.228;17.201;4.220;29.296;0.000;0.000;0.000;-7.662;-12.216;-0.816;-10.014;-32.864;-0.072;-12.776;-57.103;0.802;-12.491;-101.329;-8.107;7.531;-12.382;-1.543;9.603;-32.994;-0.838;12.036;-57.191;-0.011;11.782;-101.516;-9.802
1512.000;60.480;0.028;7.288;-0.178;-0.031;14.148;-0.336;-0.241;26.285;-0.605;-0.682;42.162;-1.360;-0.781;46.446;1.734;-0.525;52.901;2.993;-7.468;56.750;4.203;6.231;57.235;2.770;-3.189;59.003;11.239;3.353;59.234;10.555;-2.085;36.921;-2.723;-16.070;35.055;-1.758;-20.829;22.398;-4.376;-26.089;8.409;-7.269;-22.775;3.584;4.486;-19.107;-2.159;18.258;-19.460;-4.032;18.516;-16.690;-7.653;24.427;-15.314;-7.866;26.519;-13.315;-8.218;28.212;-12.039;-8.047;29.280;-19.586;-3.251;18.817;-18.011;-5.663;25.722;-15.430;-6.182;28.906;-13.250;-6.275;30.973;-11.730;-6.497;32.323;-19.027;-1.861;18.915;-18.137;-3.275;26.619;-15.212;-3.728;29.480;-12.223;-3.719;31.028;-10.303;-3.779;32.029;-19.358;-0.821;18.994;-18.127;-0.763;26.719;-15.542;-1.077;29.542;-13.129;-1.304;31.003;-11.272;-1.734;31.797;-18.470;-0.443;20.816;-18.002;2.313;23.016;-16.646;3.152;25.123;-16.730;5.619;26.433;1.138;37.017;-2.589;15.338;34.768;-0.778;20.274;21.271;-2.986;25.731;6.354;-5.425;22.230;1.922;6.326;18.241;-3.938;20.470;17.951;-6.002;20.844;16.411;-9.592;26.400;14.998;-11.137;28.590;12.950;-11.559;29.863;11.343;-11.633;30.433;17.988;-5.169;21.218;17.312;-7.485;27.522;15.037;-9.017;30.995;12.049;-9.364;32.429;10.050;-9.352;33.065;17.609;-3.928;21.827;17.387;-5.443;28.773;15.168;-6.536;32.727;12.565;-6.873;34.277;10.547;-6.918;35.117;17.668;-3.016;21.940;17.089;-2.955;29.198;15.201;-3.275;32.504;13.065;-3.840;33.910;11.063;-4.232;34.808;17.299;-2.260;22.652;17.370;0.525;25.206;16.911;1.382;28.302;16.926;3.896;29.422;0.000;0.000;0.000;-7.668;-12.212;-0.818;-10.018;-32.860;-0.081;-12.776;-57.100;0.785;-12.494;-101.330;-8.111;7.524;-12.386;-1.547;9.599;-32.996;-0.845;12.034;-57.191;-0.021;11.780;-101.509;-9.811
1513.000;60.520;0.028;7.288;-0.179;-0.028;14.149;-0.339;-0.232;26.288;-0.615;-0.647;42.165;-1.378;-0.738;46.443;1.713;-0.477;52.887;2.977;-7.428;56.728;4.166;6.278;57.225;2.800;-3.184;58.960;11.230;3.361;59.197;10.578;-2.059;36.925;-2.738;-16.049;35.097;-1.757;-20.803;22.439;-4.369;-26.058;8.449;-7.255;-22.779;3.641;4.512;-19.144;-2.067;18.301;-19.518;-3.951;18.517;-16.902;-7.681;24.451;-15.681;-8.139;26.577;-13.362;-8.287;27.880;-11.900;-7.895;28.589;-19.606;-3.168;18.825;-18.173;-5.703;25.722;-15.874;-6.676;29.015;-13.607;-6.871;30.977;-11.961;-7.076;32.173;-19.058;-1.734;18.962;-18.207;-3.278;26.665;-15.266;-3.826;29.507;-12.262;-3.869;31.045;-10.353;-4.002;32.058;-19.386;-0.699;19.051;-18.172;-0.748;26.791;-15.599;-1.123;29.627;-13.208;-1.383;31.102;-11.355;-1.832;31.893;-18.482;-0.366;20.904;-17.882;2.392;23.103;-16.472;3.226;25.163;-16.479;5.778;26.299;1.164;37.016;-2.605;15.364;34.730;-0.805;20.312;21.233;-3.015;25.781;6.314;-5.458;22.216;1.738;6.234;18.254;-4.203;20.399;18.004;-6.259;20.721;16.475;-10.081;26.115;15.070;-11.699;28.235;12.916;-12.088;29.349;11.262;-12.087;29.768;18.032;-5.438;21.122;17.323;-8.002;27.316;14.729;-9.581;30.533;11.585;-9.850;31.601;9.528;-9.770;32.000;17.619;-4.230;21.770;17.358;-5.944;28.627;14.818;-7.161;32.332;12.023;-7.506;33.526;9.898;-7.528;34.034;17.668;-3.320;21.907;17.019;-3.456;29.115;14.943;-3.975;32.260;12.712;-4.627;33.486;10.669;-5.083;34.253;17.249;-2.569;22.603;17.238;0.149;25.247;16.689;0.896;28.364;16.511;3.381;29.532;0.000;0.000;0.000;-7.669;-12.212;-0.809;-10.015;-32.861;-0.083;-12.770;-57.101;0.770;-12.497;-101.335;-8.128;7.523;-12.385;-1.554;9.597;-32.996;-0.861;12.031;-57.190;-0.047;11.772;-101.523;-9.821
1514.000;60.560;0.026;7.289;-0.175;-0.025;14.150;-0.337;-0.211;26.290;-0.620;-0.586;42.167;-1.397;-0.659;46.442;1.693;-0.376;52.872;2.969;-7.336;56.707;4.123;6.378;57.214;2.844;-3.137;58.924;11.219;3.411;59.166;10.609;-2.015;36.930;-2.749;-16.012;35.146;-1.718;-20.763;22.496;-4.336;-26.014;8.513;-7.231;-22.832;3.765;4.579;-19.313;-1.870;18.422;-19.671;-3.784;18.602;-17.145;-7.556;24.578;-16.103;-8.218;26.733;-13.577;-7.965;27.574;-12.081;-7.229;27.711;-19.725;-2.997;18.907;-18.381;-5.577;25.813;-16.027;-6.659;29.040;-13.618;-6.844;30.819;-11.855;-7.000;31.843;-19.217;-1.478;19.083;-18.419;-3.136;26.783;-15.426;-3.753;29.567;-12.354;-3.836;30.911;-10.338;-3.950;31.694;-19.561;-0.451;19.181;-18.383;-0.607;26.924;-15.886;-1.054;29.815;-13.554;-1.361;31.356;-11.713;-1.806;32.178;-18.745;-0.170;21.031;-17.929;2.558;23.272;-16.467;3.405;25.257;-16.453;5.983;26.335;1.209;37.012;-2.623;15.408;34.666;-0.851;20.373;21.176;-3.109;25.860;6.265;-5.605;22.268;1.553;6.057;18.241;-4.554;20.207;18.051;-6.618;20.398;16.598;-10.693;25.570;15.093;-12.426;27.553;12.871;-12.822;28.535;11.198;-12.818;28.864;18.054;-5.815;20.835;17.349;-8.690;26.903;14.511;-10.422;29.830;11.248;-10.690;30.558;9.163;-10.598;30.769;17.640;-4.818;21.551;17.286;-6.705;28.299;14.486;-8.220;31.698;11.622;-8.669;32.635;9.447;-8.670;32.851;17.609;-3.914;21.724;16.850;-4.307;28.916;14.701;-5.165;31.942;12.439;-5.966;32.992;10.377;-6.555;33.598;17.128;-3.077;22.494;16.832;-0.601;25.379;16.129;-0.203;28.512;15.577;2.030;30.022;0.000;0.000;0.000;-7.661;-12.217;-0.814;-10.004;-32.863;-0.089;-12.754;-57.099;0.763;-12.481;-101.320;-8.141;7.531;-12.379;-1.567;9.607;-32.988;-0.874;12.043;-57.180;-0.061;11.785;-101.520;-9.830
1515.000;60.600;0.030;7.281;-0.187;-0.009;14.135;-0.356;-0.164;26.262;-0.648;-0.492;42.141;-1.411;-0.533;46.410;1.686;-0.202;52.830;2.979;-7.167;56.664;4.103;6.555;57.169;2.908;-3.010;58.859;11.231;3.542;59.100;10.660;-1.942;36.909;-2.762;-15.934;35.179;-1.651;-20.833;22.584;-4.226;-26.247;8.663;-7.071;-23.162;4.135;4.832;-19.763;-1.234;18.798;-20.162;-3.176;18.947;-17.651;-6.940;24.923;-16.552;-7.678;27.052;-14.036;-7.090;27.252;-12.824;-6.069;26.718;-20.166;-2.382;19.241;-18.804;-4.977;26.166;-16.202;-6.086;29.191;-13.553;-6.173;30.626;-11.631;-6.225;31.321;-19.705;-0.867;19.452;-18.797;-2.493;27.163;-15.727;-3.303;29.853;-12.552;-3.422;30.928;-10.473;-3.547;31.524;-20.028;0.203;19.567;-18.771;-0.024;27.336;-16.496;-0.648;30.374;-14.244;-1.038;32.014;-12.457;-1.558;32.908;-19.079;0.407;21.418;-18.086;3.026;23.771;-16.596;3.805;25.751;-16.479;6.412;26.751;1.282;36.982;-2.648;15.480;34.567;-0.927;20.456;21.078;-3.258;25.955;6.170;-5.836;22.339;1.217;5.756;18.249;-5.177;19.837;18.187;-7.240;19.856;16.722;-11.712;24.608;15.151;-13.601;26.404;12.919;-14.131;27.262;11.233;-14.196;27.514;18.135;-6.474;20.352;17.369;-9.876;26.128;14.402;-11.875;28.737;11.129;-12.334;29.237;9.032;-12.319;29.302;17.627;-5.498;21.155;17.110;-8.014;27.665;14.288;-9.937;30.814;11.415;-10.610;31.542;9.236;-10.738;31.665;17.571;-4.613;21.403;16.522;-5.735;28.489;14.384;-7.073;31.326;12.162;-8.094;32.206;10.108;-8.848;32.629;16.922;-3.966;22.175;16.040;-2.025;25.435;14.834;-2.257;28.457;13.873;-0.530;30.372;0.000;0.000;0.000;-7.662;-12.218;-0.792;-10.001;-32.871;-0.074;-12.747;-57.115;0.768;-12.464;-101.342;-8.151;7.530;-12.382;-1.545;9.609;-32.993;-0.863;12.049;-57.189;-0.063;11.800;-101.520;-9.852
