Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1324.000;52.960;0.026;7.178;-0.244;0.031;13.934;-0.516;0.013;25.886;-1.050;-0.395;41.749;-2.064;-0.458;46.058;0.869;-0.096;52.531;1.823;-6.889;56.501;3.428;6.731;56.729;1.330;-2.225;58.558;10.277;4.279;58.666;9.275;-1.806;36.489;-3.344;-15.925;34.485;-2.133;-20.775;21.370;-3.258;-26.136;6.875;-4.501;-23.570;4.878;8.045;-20.780;2.475;22.731;-21.400;0.823;23.421;-19.671;-1.342;30.384;-19.223;-1.052;32.765;-18.928;-1.274;35.304;-18.594;-1.017;36.922;-21.474;1.660;23.525;-20.676;0.874;30.900;-19.485;1.295;34.728;-18.813;1.681;37.589;-18.352;1.846;39.575;-20.732;2.894;23.265;-20.663;3.396;31.356;-19.364;3.558;35.202;-18.398;3.968;38.363;-17.932;4.041;40.477;-20.884;3.941;23.058;-20.302;5.726;30.838;-18.829;6.027;34.457;-17.755;6.169;37.011;-16.924;5.934;38.887;-19.982;4.580;24.815;-19.516;7.740;26.605;-18.204;8.995;28.795;-18.783;11.450;29.999;1.417;36.581;-3.205;15.595;34.070;-1.162;20.676;20.427;-2.500;26.292;5.347;-3.978;23.117;4.414;8.417;19.597;2.933;23.514;19.605;1.200;24.472;19.217;-1.105;30.780;18.964;-2.497;33.361;18.204;-3.432;35.489;17.608;-4.032;36.970;19.746;2.088;24.640;20.242;1.219;31.157;19.641;0.512;35.455;18.320;0.113;38.473;17.346;0.016;40.328;19.205;3.266;24.921;20.527;3.481;31.956;20.223;3.010;36.560;18.937;2.829;39.320;17.837;2.895;41.207;19.222;4.177;24.789;20.191;6.013;31.867;19.634;6.348;35.705;18.810;6.262;38.153;17.852;6.189;40.164;18.938;5.063;25.334;19.351;8.372;27.214;19.794;9.709;30.204;19.599;12.362;30.911;0.000;0.000;0.000;-7.623;-12.247;-0.716;-9.576;-33.130;-0.101;-11.868;-57.644;0.621;-10.595;-101.874;-7.688;7.568;-12.367;-1.484;9.272;-33.266;-0.487;11.273;-57.799;0.683;10.208;-102.124;-8.480
1325.000;53.000;0.028;7.178;-0.246;0.037;13.935;-0.516;0.030;25.888;-1.040;-0.366;41.752;-2.048;-0.427;46.060;0.888;-0.059;52.532;1.849;-6.848;56.506;3.462;6.771;56.726;1.356;-2.178;58.551;10.311;4.325;58.656;9.305;-1.781;36.494;-3.331;-15.902;34.498;-2.124;-20.756;21.385;-3.250;-26.122;6.891;-4.496;-23.556;4.901;8.051;-20.764;2.506;22.738;-21.384;0.860;23.433;-19.660;-1.300;30.395;-19.207;-1.019;32.775;-18.919;-1.231;35.316;-18.575;-0.975;36.932;-21.458;1.697;23.537;-20.656;0.915;30.910;-19.465;1.345;34.734;-18.793;1.725;37.596;-18.333;1.909;39.580;-20.723;2.920;23.274;-20.646;3.427;31.359;-19.351;3.613;35.203;-18.383;4.039;38.365;-17.916;4.119;40.478;-20.868;3.970;23.066;-20.285;5.762;30.844;-18.820;6.068;34.458;-17.735;6.212;37.014;-16.901;5.974;38.887;-19.979;4.617;24.829;-19.504;7.774;26.603;-18.187;9.029;28.806;-18.776;11.487;29.998;1.443;36.583;-3.191;15.618;34.060;-1.145;20.689;20.414;-2.490;26.294;5.332;-3.977;23.128;4.402;8.420;19.619;2.924;23.521;19.626;1.190;24.480;19.249;-1.111;30.790;18.994;-2.510;33.367;18.237;-3.438;35.499;17.638;-4.044;36.977;19.767;2.078;24.648;20.276;1.209;31.161;19.681;0.502;35.460;18.361;0.102;38.481;17.391;0.012;40.339;19.223;3.272;24.930;20.561;3.475;31.965;20.263;3.005;36.569;18.976;2.824;39.330;17.878;2.889;41.219;19.246;4.183;24.799;20.235;6.007;31.870;19.688;6.342;35.713;18.857;6.260;38.170;17.918;6.189;40.190;18.963;5.054;25.343;19.384;8.363;27.218;19.828;9.701;30.210;19.629;12.352;30.919;0.000;0.000;0.000;-7.624;-12.246;-0.713;-9.580;-33.129;-0.086;-11.875;-57.644;0.649;-10.602;-101.875;-7.650;7.567;-12.368;-1.476;9.271;-33.267;-0.467;11.271;-57.800;0.717;10.205;-102.127;-8.439
1326.000;53.040;0.030;7.179;-0.249;0.043;13.937;-0.517;0.045;25.892;-1.037;-0.339;41.756;-2.041;-0.397;46.064;0.899;-0.025;52.534;1.868;-6.809;56.512;3.489;6.809;56.722;1.380;-2.136;58.542;10.340;4.368;58.643;9.333;-1.757;36.499;-3.326;-15.882;34.513;-2.122;-20.743;21.402;-3.249;-26.116;6.911;-4.496;-23.550;4.929;8.052;-20.758;2.543;22.740;-21.378;0.903;23.435;-19.660;-1.259;30.396;-19.201;-0.960;32.778;-18.921;-1.179;35.318;-18.572;-0.919;36.933;-21.453;1.739;23.539;-20.652;0.966;30.912;-19.464;1.401;34.736;-18.796;1.783;37.597;-18.334;1.977;39.580;-20.720;2.953;23.276;-20.630;3.465;31.358;-19.332;3.669;35.202;-18.372;4.108;38.358;-17.899;4.182;40.470;-20.859;4.003;23.067;-20.281;5.810;30.838;-18.819;6.116;34.451;-17.730;6.259;37.010;-16.898;6.024;38.885;-19.981;4.656;24.832;-19.498;7.812;26.599;-18.182;9.069;28.803;-18.768;11.528;29.993;1.466;36.586;-3.185;15.639;34.050;-1.138;20.702;20.402;-2.485;26.298;5.317;-3.973;23.134;4.390;8.424;19.629;2.916;23.525;19.639;1.182;24.482;19.258;-1.120;30.793;19.001;-2.512;33.375;18.247;-3.443;35.506;17.645;-4.056;36.980;19.781;2.069;24.650;20.285;1.197;31.165;19.690;0.493;35.465;18.368;0.103;38.487;17.403;0.004;40.346;19.232;3.263;24.937;20.569;3.466;31.970;20.274;2.997;36.573;18.984;2.816;39.334;17.883;2.882;41.221;19.255;4.174;24.805;20.252;5.997;31.874;19.706;6.329;35.719;18.876;6.253;38.179;17.947;6.179;40.204;18.978;5.048;25.344;19.383;8.360;27.216;19.816;9.696;30.228;19.630;12.352;30.925;0.000;0.000;0.000;-7.626;-12.246;-0.708;-9.584;-33.129;-0.071;-11.883;-57.644;0.677;-10.612;-101.877;-7.613;7.566;-12.370;-1.468;9.267;-33.268;-0.449;11.265;-57.800;0.748;10.193;-102.128;-8.402
1327.000;53.080;0.032;7.180;-0.251;0.047;13.938;-0.521;0.055;25.893;-1.044;-0.319;41.758;-2.051;-0.375;46.065;0.893;0.006;52.532;1.878;-6.777;56.510;3.506;6.842;56.716;1.400;-2.103;58.522;10.363;4.400;58.621;9.357;-1.741;36.501;-3.335;-15.865;34.523;-2.134;-20.731;21.415;-3.260;-26.109;6.926;-4.505;-23.547;4.948;8.043;-20.760;2.567;22.731;-21.384;0.925;23.424;-19.658;-1.231;30.395;-19.197;-0.925;32.776;-18.922;-1.146;35.310;-18.571;-0.879;36.923;-21.461;1.762;23.527;-20.657;1.007;30.905;-19.465;1.435;34.729;-18.808;1.821;37.588;-18.342;2.005;39.571;-20.714;2.987;23.267;-20.633;3.502;31.352;-19.330;3.724;35.194;-18.370;4.148;38.353;-17.904;4.216;40.467;-20.860;4.035;23.058;-20.292;5.844;30.827;-18.825;6.148;34.449;-17.759;6.289;37.014;-16.940;6.059;38.895;-19.993;4.683;24.820;-19.501;7.841;26.593;-18.192;9.098;28.788;-18.766;11.559;29.981;1.483;36.586;-3.194;15.655;34.042;-1.142;20.716;20.391;-2.484;26.311;5.303;-3.967;23.144;4.381;8.431;19.636;2.911;23.532;19.649;1.182;24.488;19.260;-1.127;30.795;19.004;-2.511;33.385;18.246;-3.447;35.509;17.639;-4.053;36.984;19.794;2.069;24.655;20.282;1.197;31.174;19.691;0.495;35.472;18.369;0.106;38.493;17.403;0.005;40.352;19.240;3.260;24.942;20.570;3.463;31.976;20.267;3.000;36.580;18.974;2.820;39.335;17.871;2.889;41.221;19.265;4.172;24.810;20.251;5.992;31.881;19.701;6.318;35.727;18.876;6.258;38.183;17.942;6.175;40.205;18.992;5.045;25.351;19.376;8.360;27.223;19.812;9.698;30.236;19.622;12.353;30.932;0.000;0.000;0.000;-7.627;-12.245;-0.706;-9.589;-33.128;-0.060;-11.893;-57.644;0.698;-10.624;-101.878;-7.585;7.565;-12.371;-1.462;9.263;-33.269;-0.437;11.256;-57.801;0.767;10.180;-102.129;-8.378
1328.000;53.120;0.033;7.179;-0.255;0.050;13.937;-0.529;0.063;25.893;-1.057;-0.306;41.756;-2.075;-0.358;46.066;0.875;0.029;52.528;1.877;-6.752;56.503;3.519;6.867;56.711;1.415;-2.078;58.489;10.383;4.426;58.588;9.378;-1.728;36.500;-3.355;-15.852;34.531;-2.156;-20.721;21.422;-3.275;-26.102;6.934;-4.512;-23.543;4.961;8.038;-20.761;2.586;22.727;-21.385;0.940;23.421;-19.652;-1.209;30.393;-19.196;-0.910;32.773;-18.910;-1.137;35.308;-18.567;-0.865;36.922;-21.463;1.777;23.523;-20.653;1.035;30.902;-19.464;1.462;34.727;-18.813;1.839;37.588;-18.353;2.034;39.571;-20.707;3.019;23.258;-20.627;3.522;31.348;-19.332;3.772;35.182;-18.359;4.184;38.344;-17.893;4.258;40.458;-20.859;4.067;23.049;-20.294;5.857;30.826;-18.819;6.167;34.448;-17.767;6.295;37.010;-16.953;6.080;38.895;-19.964;4.700;24.817;-19.492;7.859;26.589;-18.183;9.113;28.781;-18.752;11.573;29.976;1.495;36.584;-3.214;15.666;34.035;-1.157;20.727;20.382;-2.489;26.321;5.292;-3.961;23.147;4.374;8.435;19.628;2.912;23.535;19.635;1.180;24.493;19.240;-1.127;30.797;18.981;-2.517;33.383;18.218;-3.448;35.508;17.610;-4.043;36.987;19.778;2.067;24.659;20.270;1.197;31.176;19.668;0.497;35.473;18.340;0.104;38.491;17.362;0.002;40.344;19.234;3.261;24.941;20.559;3.464;31.976;20.241;2.997;36.581;18.940;2.822;39.331;17.826;2.891;41.210;19.260;4.172;24.809;20.236;5.993;31.882;19.692;6.317;35.728;18.860;6.251;38.185;17.939;6.167;40.212;18.978;5.046;25.356;19.364;8.360;27.229;19.806;9.695;30.230;19.587;12.344;30.943;0.000;0.000;0.000;-7.628;-12.244;-0.701;-9.592;-33.128;-0.049;-11.898;-57.644;0.717;-10.631;-101.881;-7.557;7.564;-12.373;-1.454;9.259;-33.269;-0.424;11.250;-57.799;0.787;10.170;-102.129;-8.351
1329.000;53.160;0.034;7.179;-0.258;0.053;13.937;-0.536;0.070;25.891;-1.071;-0.291;41.754;-2.099;-0.342;46.065;0.856;0.045;52.524;1.874;-6.732;56.497;3.536;6.887;56.703;1.430;-2.055;58.446;10.408;4.448;58.545;9.403;-1.717;36.498;-3.376;-15.841;34.533;-2.178;-20.714;21.426;-3.289;-26.100;6.939;-4.518;-23.542;4.972;8.034;-20.760;2.607;22.724;-21.386;0.957;23.420;-19.643;-1.183;30.393;-19.202;-0.905;32.768;-18.884;-1.132;35.316;-18.554;-0.869;36.934;-21.462;1.794;23.521;-20.655;1.050;30.900;-19.473;1.481;34.726;-18.816;1.862;37.587;-18.355;2.051;39.570;-20.712;3.036;23.254;-20.641;3.551;31.344;-19.335;3.799;35.179;-18.367;4.218;38.342;-17.905;4.300;40.456;-20.863;4.084;23.045;-20.299;5.879;30.820;-18.839;6.194;34.444;-17.776;6.329;37.007;-16.964;6.107;38.892;-19.925;4.718;24.823;-19.492;7.880;26.584;-18.187;9.128;28.774;-18.745;11.591;29.969;1.507;36.580;-3.235;15.675;34.024;-1.178;20.734;20.370;-2.505;26.324;5.279;-3.972;23.147;4.369;8.424;19.624;2.915;23.525;19.627;1.181;24.483;19.219;-1.123;30.794;18.959;-2.517;33.369;18.192;-3.440;35.497;17.584;-4.025;36.979;19.770;2.068;24.650;20.263;1.200;31.166;19.651;0.506;35.464;18.315;0.102;38.480;17.333;0.004;40.330;19.234;3.242;24.930;20.547;3.472;31.969;20.225;2.997;36.570;18.921;2.830;39.320;17.789;2.898;41.189;19.253;4.153;24.798;20.228;5.996;31.875;19.712;6.331;35.706;18.854;6.235;38.173;17.933;6.162;40.201;18.961;5.055;25.350;19.353;8.360;27.221;19.797;9.693;30.222;19.561;12.339;30.939;0.000;0.000;0.000;-7.630;-12.244;-0.695;-9.595;-33.126;-0.039;-11.901;-57.641;0.730;-10.639;-101.881;-7.533;7.562;-12.374;-1.448;9.256;-33.270;-0.412;11.245;-57.800;0.805;10.160;-102.130;-8.326
1330.000;53.200;0.036;7.179;-0.261;0.056;13.937;-0.543;0.076;25.891;-1.088;-0.280;41.754;-2.126;-0.331;46.064;0.834;0.057;52.516;1.871;-6.716;56.487;3.553;6.901;56.693;1.435;-2.032;58.411;10.427;4.471;58.509;9.416;-1.707;36.497;-3.400;-15.831;34.531;-2.201;-20.708;21.425;-3.307;-26.099;6.938;-4.529;-23.538;4.994;8.022;-20.754;2.658;22.714;-21.380;0.997;23.409;-19.615;-1.127;30.390;-19.144;-0.856;32.771;-18.766;-1.127;35.304;-18.396;-0.874;36.915;-21.455;1.834;23.508;-20.659;1.097;30.894;-19.477;1.526;34.726;-18.777;1.904;37.581;-18.291;2.072;39.560;-20.705;3.093;23.240;-20.652;3.632;31.335;-19.363;3.811;35.184;-18.361;4.230;38.346;-17.908;4.304;40.463;-20.867;4.142;23.031;-20.299;5.938;30.805;-18.876;6.260;34.430;-17.804;6.396;36.997;-16.987;6.157;38.878;-19.929;4.767;24.813;-19.463;7.931;26.569;-18.142;9.180;28.748;-18.692;11.636;29.964;1.516;36.578;-3.259;15.683;34.014;-1.201;20.739;20.357;-2.524;26.326;5.263;-3.986;23.144;4.379;8.410;19.614;2.957;23.513;19.614;1.229;24.475;19.194;-1.085;30.776;18.906;-2.471;33.360;18.101;-3.369;35.477;17.448;-3.965;36.936;19.760;2.116;24.643;20.237;1.248;31.157;19.631;0.521;35.445;18.260;0.123;38.451;17.249;0.020;40.286;19.226;3.276;24.915;20.522;3.519;31.958;20.193;3.037;36.560;18.878;2.857;39.299;17.717;2.923;41.150;19.241;4.188;24.784;20.210;6.039;31.863;19.681;6.355;35.693;18.815;6.245;38.162;17.872;6.177;40.181;18.938;5.093;25.335;19.315;8.404;27.224;19.709;9.731;30.234;19.472;12.375;30.960;0.000;0.000;0.000;-7.632;-12.242;-0.692;-9.597;-33.125;-0.032;-11.903;-57.639;0.743;-10.642;-101.881;-7.510;7.560;-12.376;-1.444;9.253;-33.272;-0.402;11.240;-57.802;0.820;10.154;-102.132;-8.306
1331.000;53.240;0.037;7.177;-0.265;0.059;13.933;-0.551;0.084;25.885;-1.105;-0.270;41.747;-2.146;-0.320;46.059;0.820;0.069;52.508;1.876;-6.702;56.473;3.582;6.913;56.686;1.447;-2.009;58.370;10.457;4.493;58.471;9.438;-1.698;36.490;-3.419;-15.821;34.515;-2.217;-20.729;21.414;-3.312;-26.152;6.934;-4.522;-23.569;5.069;8.030;-20.760;2.834;22.724;-21.386;1.181;23.419;-19.561;-0.969;30.394;-18.896;-0.726;32.797;-18.217;-1.067;35.217;-17.510;-0.804;36.710;-21.467;2.017;23.518;-20.686;1.254;30.901;-19.495;1.555;34.785;-18.430;1.874;37.540;-17.641;1.958;39.425;-20.704;3.299;23.238;-20.682;3.834;31.355;-19.540;3.927;35.258;-18.460;4.303;38.420;-17.968;4.324;40.529;-20.894;4.344;23.029;-20.289;6.133;30.805;-18.871;6.421;34.440;-17.799;6.551;37.007;-16.989;6.294;38.889;-19.917;4.954;24.828;-19.321;8.088;26.570;-17.897;9.264;28.752;-18.306;11.689;30.079;1.526;36.572;-3.278;15.691;33.990;-1.219;20.769;20.340;-2.533;26.382;5.254;-3.986;23.187;4.441;8.410;19.641;3.109;23.523;19.657;1.379;24.476;19.180;-0.897;30.793;18.737;-2.230;33.425;17.583;-2.896;35.442;16.543;-3.289;36.736;19.802;2.266;24.646;20.240;1.395;31.160;19.630;0.596;35.434;18.054;0.233;38.352;16.908;0.136;40.106;19.234;3.455;24.924;20.535;3.676;31.962;20.185;3.130;36.565;18.798;2.925;39.268;17.585;2.986;41.085;19.260;4.366;24.792;20.140;6.176;31.870;19.499;6.412;35.704;18.623;6.247;38.154;17.681;6.130;40.170;18.895;5.241;25.354;19.119;8.559;27.297;19.291;9.831;30.363;18.857;12.411;31.213;0.000;0.000;0.000;-7.634;-12.242;-0.687;-9.599;-33.124;-0.021;-11.906;-57.638;0.760;-10.648;-101.884;-7.487;7.559;-12.378;-1.438;9.251;-33.272;-0.391;11.237;-57.801;0.838;10.150;-102.132;-8.283
1332.000;53.280;0.037;7.174;-0.268;0.061;13.927;-0.556;0.090;25.873;-1.112;-0.269;41.735;-2.156;-0.321;46.051;0.822;0.067;52.501;1.901;-6.699;56.462;3.635;6.912;56.677;1.484;-1.996;58.324;10.513;4.504;58.426;9.486;-1.695;36.478;-3.428;-15.815;34.492;-2.216;-20.837;21.421;-3.262;-26.388;6.974;-4.418;-23.747;5.328;8.136;-20.879;3.359;22.839;-21.483;1.697;23.538;-19.440;-0.472;30.464;-18.568;-0.386;32.787;-16.944;-0.611;34.777;-15.675;-0.223;35.794;-21.560;2.534;23.638;-20.659;1.730;31.019;-19.282;1.762;34.877;-17.273;2.010;37.100;-15.751;1.995;38.466;-20.841;3.800;23.357;-20.703;4.352;31.495;-19.859;4.371;35.477;-18.549;4.605;38.582;-17.832;4.536;40.624;-21.015;4.841;23.145;-20.286;6.677;30.904;-18.836;6.890;34.541;-17.754;6.979;37.096;-16.877;6.726;38.948;-19.967;5.497;24.955;-18.998;8.554;26.628;-17.208;9.334;28.859;-16.926;11.536;30.557;1.529;36.560;-3.286;15.688;33.961;-1.216;20.904;20.353;-2.480;26.669;5.311;-3.877;23.412;4.667;8.506;19.794;3.548;23.623;19.864;1.824;24.575;19.165;-0.343;30.929;18.333;-1.542;33.580;16.438;-1.707;35.079;14.847;-1.594;35.686;19.982;2.714;24.746;20.225;1.890;31.273;19.557;1.027;35.528;17.492;0.721;38.172;15.992;0.680;39.637;19.358;3.857;25.026;20.427;4.166;32.085;20.117;3.509;36.676;18.634;3.229;39.330;17.321;3.211;41.077;19.350;4.768;24.887;19.877;6.650;31.963;18.914;6.737;35.738;17.909;6.488;38.133;16.858;6.284;40.088;18.916;5.671;25.471;18.757;8.988;27.452;18.518;10.078;30.584;17.641;12.477;31.608;0.000;0.000;0.000;-7.633;-12.242;-0.682;-9.601;-33.123;-0.007;-11.910;-57.635;0.785;-10.655;-101.883;-7.450;7.559;-12.379;-1.430;9.248;-33.273;-0.373;11.231;-57.800;0.869;10.138;-102.131;-8.244
