Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
2035.000;81.400;0.024;7.270;-0.183;-0.036;14.116;-0.287;-0.243;26.228;-0.384;-0.651;42.109;-1.068;-0.671;46.395;2.089;-0.261;52.848;3.458;-7.185;56.810;4.373;6.580;57.047;3.709;-3.262;58.817;11.686;3.312;58.930;11.369;-2.081;36.877;-2.439;-16.074;34.995;-1.000;-21.272;22.096;-2.356;-27.016;7.839;-3.854;-22.527;5.491;8.144;-17.461;2.633;22.303;-17.734;0.871;22.765;-13.680;-2.157;28.252;-11.956;-2.382;30.040;-9.908;-2.901;31.664;-8.678;-2.943;32.796;-17.850;1.662;23.040;-14.881;-0.271;29.643;-11.750;-0.531;32.381;-9.242;-0.412;33.977;-7.441;-0.484;34.943;-17.364;3.020;22.961;-14.872;2.192;30.483;-11.655;1.822;33.032;-8.625;1.845;34.473;-6.688;1.742;35.435;-17.683;4.025;23.034;-14.912;4.684;30.397;-11.813;4.568;32.714;-9.276;4.481;33.951;-7.359;4.118;34.626;-16.396;4.535;24.497;-15.770;7.311;26.768;-14.289;8.346;28.665;-14.477;10.702;30.155;1.144;36.965;-2.335;15.329;34.605;-0.391;21.311;21.176;-1.403;27.923;6.334;-2.520;22.484;5.239;9.129;16.069;3.520;23.431;15.391;1.752;23.979;12.452;-0.892;29.428;10.536;-2.030;31.478;8.364;-2.170;32.639;6.758;-2.134;33.214;15.592;2.579;24.313;13.607;1.005;30.519;10.273;0.387;33.399;7.124;0.639;34.481;5.135;1.016;35.028;15.311;3.735;24.720;13.943;3.099;31.623;10.520;2.765;34.791;7.608;3.093;35.635;5.493;3.586;35.882;15.518;4.631;24.758;14.060;5.647;31.777;11.290;5.723;34.453;8.786;5.604;35.151;6.574;5.716;35.402;15.169;5.639;25.279;15.088;8.627;27.735;13.703;9.513;30.641;13.112;11.848;31.972;0.000;0.000;0.000;-7.662;-12.220;-0.748;-10.033;-32.878;0.298;-12.816;-57.129;1.526;-12.537;-101.454;-6.653;7.529;-12.388;-1.509;9.612;-33.001;-0.483;12.058;-57.199;0.721;11.747;-101.638;-8.339
2036.000;81.440;0.024;7.271;-0.183;-0.035;14.118;-0.287;-0.242;26.233;-0.383;-0.648;42.113;-1.074;-0.668;46.397;2.075;-0.262;52.848;3.432;-7.188;56.808;4.343;6.576;57.049;3.677;-3.264;58.827;11.652;3.309;58.941;11.334;-2.078;36.881;-2.443;-16.071;35.000;-1.002;-21.272;22.100;-2.353;-27.020;7.842;-3.847;-22.544;5.502;8.155;-17.493;2.655;22.320;-17.774;0.896;22.784;-13.734;-2.146;28.272;-12.004;-2.344;30.072;-9.942;-2.867;31.705;-8.733;-2.909;32.859;-17.887;1.689;23.058;-14.919;-0.251;29.663;-11.792;-0.501;32.405;-9.294;-0.392;34.005;-7.488;-0.461;34.962;-17.388;3.042;22.981;-14.938;2.216;30.518;-11.693;1.843;33.048;-8.677;1.869;34.492;-6.741;1.771;35.458;-17.717;4.047;23.052;-14.962;4.707;30.417;-11.848;4.605;32.726;-9.329;4.496;33.972;-7.411;4.147;34.650;-16.437;4.556;24.511;-15.803;7.336;26.778;-14.339;8.370;28.694;-14.521;10.737;30.168;1.147;36.968;-2.340;15.333;34.610;-0.397;21.293;21.172;-1.408;27.880;6.320;-2.525;22.456;5.250;9.133;16.062;3.565;23.447;15.387;1.803;24.000;12.439;-0.834;29.457;10.529;-1.963;31.515;8.367;-2.106;32.679;6.760;-2.057;33.250;15.598;2.627;24.335;13.608;1.065;30.544;10.281;0.450;33.432;7.125;0.714;34.517;5.138;1.090;35.075;15.303;3.774;24.737;13.963;3.162;31.649;10.520;2.825;34.814;7.617;3.175;35.660;5.500;3.664;35.901;15.512;4.670;24.772;14.057;5.697;31.795;11.305;5.789;34.474;8.793;5.671;35.164;6.582;5.798;35.413;15.127;5.699;25.275;15.098;8.675;27.751;13.700;9.575;30.654;13.099;11.922;31.960;0.000;0.000;0.000;-7.662;-12.220;-0.748;-10.037;-32.878;0.300;-12.826;-57.129;1.529;-12.557;-101.455;-6.646;7.529;-12.387;-1.509;9.609;-33.003;-0.483;12.050;-57.203;0.721;11.729;-101.642;-8.339
2037.000;81.480;0.024;7.273;-0.183;-0.035;14.120;-0.286;-0.241;26.237;-0.382;-0.648;42.117;-1.082;-0.670;46.401;2.061;-0.271;52.851;3.409;-7.196;56.813;4.321;6.567;57.053;3.640;-3.265;58.842;11.623;3.308;58.956;11.298;-2.078;36.884;-2.448;-16.071;35.000;-1.001;-21.274;22.101;-2.343;-27.025;7.845;-3.826;-22.550;5.525;8.183;-17.499;2.704;22.356;-17.778;0.941;22.818;-13.735;-2.082;28.318;-12.018;-2.288;30.115;-9.955;-2.805;31.745;-8.740;-2.847;32.892;-17.891;1.734;23.089;-14.935;-0.187;29.705;-11.802;-0.428;32.448;-9.295;-0.317;34.040;-7.501;-0.373;35.019;-17.398;3.095;23.015;-14.929;2.300;30.549;-11.703;1.896;33.083;-8.671;1.927;34.513;-6.725;1.828;35.459;-17.716;4.100;23.084;-14.964;4.771;30.445;-11.850;4.673;32.752;-9.327;4.596;34.007;-7.411;4.229;34.684;-16.448;4.615;24.559;-15.808;7.392;26.800;-14.324;8.436;28.708;-14.547;10.784;30.206;1.147;36.971;-2.345;15.335;34.615;-0.405;21.268;21.170;-1.417;27.824;6.308;-2.535;22.404;5.246;9.126;16.010;3.566;23.444;15.333;1.793;23.990;12.376;-0.825;29.453;10.481;-1.949;31.515;8.308;-2.090;32.675;6.703;-2.048;33.253;15.539;2.620;24.322;13.559;1.050;30.535;10.234;0.456;33.433;7.080;0.723;34.519;5.094;1.115;35.067;15.261;3.785;24.733;13.906;3.171;31.644;10.485;2.818;34.830;7.558;3.189;35.636;5.446;3.683;35.900;15.470;4.681;24.770;14.023;5.705;31.790;11.274;5.806;34.472;8.757;5.697;35.160;6.546;5.824;35.409;15.105;5.699;25.271;15.061;8.677;27.740;13.688;9.582;30.639;13.096;11.910;31.982;0.000;0.000;0.000;-7.662;-12.220;-0.748;-10.039;-32.879;0.298;-12.829;-57.130;1.525;-12.566;-101.454;-6.661;7.529;-12.387;-1.509;9.606;-33.006;-0.483;12.045;-57.210;0.721;11.720;-101.645;-8.325
2038.000;81.520;0.023;7.273;-0.183;-0.036;14.121;-0.286;-0.246;26.238;-0.382;-0.656;42.117;-1.089;-0.679;46.402;2.049;-0.284;52.853;3.388;-7.206;56.816;4.312;6.556;57.055;3.599;-3.258;58.852;11.603;3.313;58.966;11.263;-2.085;36.883;-2.453;-16.078;34.996;-1.007;-21.278;22.093;-2.334;-27.025;7.832;-3.801;-22.545;5.548;8.209;-17.487;2.771;22.383;-17.764;1.017;22.856;-13.736;-2.005;28.356;-11.999;-2.218;30.155;-9.945;-2.720;31.792;-8.725;-2.772;32.934;-17.877;1.810;23.128;-14.921;-0.081;29.744;-11.808;-0.332;32.495;-9.279;-0.218;34.072;-7.486;-0.243;35.056;-17.390;3.155;23.041;-14.926;2.361;30.585;-11.707;1.981;33.132;-8.658;2.018;34.510;-6.694;1.938;35.420;-17.719;4.165;23.108;-14.965;4.863;30.470;-11.856;4.766;32.782;-9.321;4.684;34.022;-7.408;4.312;34.704;-16.453;4.685;24.581;-15.803;7.472;26.814;-14.305;8.525;28.711;-14.520;10.880;30.200;1.140;36.971;-2.349;15.327;34.620;-0.409;21.239;21.169;-1.425;27.773;6.301;-2.546;22.351;5.222;9.115;15.953;3.526;23.433;15.270;1.768;23.987;12.313;-0.859;29.443;10.405;-2.000;31.481;8.235;-2.142;32.643;6.630;-2.075;33.217;15.479;2.592;24.324;13.481;1.031;30.521;10.159;0.413;33.403;6.997;0.687;34.477;5.014;1.078;35.036;15.194;3.738;24.723;13.850;3.120;31.635;10.433;2.744;34.827;7.502;3.148;35.626;5.387;3.651;35.854;15.403;4.634;24.760;13.973;5.661;31.783;11.203;5.746;34.453;8.708;5.640;35.151;6.495;5.793;35.372;15.053;5.653;25.263;15.002;8.631;27.740;13.621;9.525;30.636;13.025;11.846;31.989;0.000;0.000;0.000;-7.662;-12.221;-0.749;-10.034;-32.879;0.299;-12.818;-57.130;1.530;-12.546;-101.457;-6.653;7.529;-12.387;-1.508;9.608;-33.004;-0.482;12.049;-57.205;0.722;11.725;-101.643;-8.336
2039.000;81.560;0.023;7.272;-0.183;-0.038;14.119;-0.286;-0.249;26.235;-0.381;-0.666;42.114;-1.095;-0.686;46.400;2.037;-0.276;52.853;3.363;-7.195;56.813;4.324;6.562;57.059;3.533;-3.207;58.854;11.592;3.363;58.972;11.214;-2.093;36.880;-2.457;-16.093;34.984;-0.989;-21.283;22.080;-2.321;-27.020;7.816;-3.792;-22.524;5.639;8.219;-17.446;2.982;22.397;-17.709;1.228;22.876;-13.680;-1.763;28.398;-11.952;-1.960;30.193;-9.869;-2.450;31.787;-8.619;-2.472;32.898;-17.818;2.025;23.140;-14.897;0.162;29.779;-11.771;-0.112;32.534;-9.194;0.047;34.003;-7.346;0.069;34.879;-17.355;3.407;23.048;-14.898;2.626;30.609;-11.671;2.227;33.155;-8.572;2.276;34.436;-6.562;2.229;35.241;-17.690;4.411;23.114;-14.940;5.143;30.471;-11.842;5.047;32.806;-9.337;4.950;34.098;-7.446;4.588;34.844;-16.418;4.909;24.584;-15.782;7.725;26.806;-14.288;8.791;28.693;-14.518;11.147;30.178;1.132;36.969;-2.354;15.324;34.629;-0.422;21.223;21.175;-1.435;27.742;6.305;-2.555;22.310;5.179;9.102;15.902;3.423;23.415;15.219;1.661;23.958;12.267;-1.015;29.385;10.341;-2.154;31.413;8.181;-2.302;32.574;6.574;-2.255;33.144;15.423;2.484;24.299;13.440;0.855;30.482;10.098;0.228;33.349;6.927;0.508;34.400;4.941;0.909;34.942;15.143;3.624;24.708;13.794;2.937;31.602;10.374;2.579;34.793;7.426;2.935;35.572;5.310;3.443;35.782;15.356;4.519;24.748;13.892;5.502;31.766;11.136;5.567;34.446;8.616;5.464;35.122;6.402;5.552;35.365;14.994;5.532;25.274;14.893;8.501;27.766;13.460;9.358;30.651;12.818;11.681;31.980;0.000;0.000;0.000;-7.662;-12.221;-0.751;-10.036;-32.877;0.300;-12.823;-57.127;1.534;-12.562;-101.459;-6.625;7.530;-12.387;-1.506;9.607;-33.005;-0.483;12.045;-57.208;0.716;11.724;-101.646;-8.328
2040.000;81.600;0.022;7.270;-0.183;-0.042;14.116;-0.289;-0.259;26.228;-0.392;-0.696;42.107;-1.100;-0.708;46.392;2.022;-0.265;52.853;3.319;-7.175;56.808;4.356;6.572;57.063;3.406;-3.105;58.860;11.576;3.460;58.981;11.122;-2.117;36.870;-2.463;-16.114;34.953;-0.955;-21.333;22.053;-2.209;-27.102;7.795;-3.594;-22.572;5.951;8.416;-17.446;3.695;22.602;-17.649;1.930;23.092;-13.555;-0.906;28.678;-11.836;-1.089;30.470;-9.464;-1.184;31.622;-7.967;-0.828;32.276;-17.776;2.728;23.342;-14.868;1.024;30.054;-11.719;0.701;32.786;-8.875;1.135;33.619;-6.866;1.422;33.870;-17.381;4.186;23.247;-14.920;3.519;30.855;-11.589;3.105;33.326;-8.380;3.352;34.214;-6.255;3.444;34.621;-17.798;5.203;23.321;-15.027;6.039;30.677;-11.957;6.046;33.055;-9.544;6.049;34.505;-7.684;5.741;35.346;-16.482;5.679;24.758;-15.926;8.555;26.960;-14.493;9.692;28.828;-14.799;12.061;30.279;1.108;36.964;-2.361;15.313;34.650;-0.440;21.212;21.198;-1.456;27.733;6.329;-2.579;22.296;5.106;9.082;15.879;3.237;23.402;15.235;1.454;23.908;12.303;-1.304;29.310;10.368;-2.476;31.322;8.185;-2.648;32.443;6.572;-2.609;32.999;15.423;2.277;24.258;13.430;0.565;30.419;10.085;-0.089;33.268;6.882;0.147;34.230;4.881;0.540;34.723;15.109;3.437;24.694;13.773;2.659;31.577;10.356;2.167;34.769;7.373;2.516;35.447;5.252;3.018;35.604;15.322;4.331;24.747;13.807;5.191;31.765;11.071;5.171;34.440;8.542;5.023;35.101;6.327;5.098;35.339;14.918;5.302;25.269;14.649;8.225;27.843;13.084;8.981;30.688;12.246;11.186;32.104;0.000;0.000;0.000;-7.658;-12.222;-0.759;-10.029;-32.880;0.287;-12.811;-57.130;1.516;-12.541;-101.459;-6.646;7.534;-12.385;-1.502;9.615;-33.002;-0.482;12.058;-57.205;0.716;11.749;-101.645;-8.339
2041.000;81.640;0.022;7.269;-0.189;-0.032;14.113;-0.296;-0.223;26.223;-0.396;-0.675;42.103;-1.083;-0.687;46.387;2.043;-0.226;52.854;3.335;-7.125;56.807;4.452;6.607;57.072;3.302;-2.953;58.901;11.601;3.604;59.028;11.052;-2.088;36.867;-2.455;-16.083;34.883;-0.911;-21.505;21.967;-1.760;-27.498;7.692;-2.698;-22.897;6.737;9.324;-17.705;5.500;23.530;-17.838;3.702;24.136;-13.497;1.457;29.826;-11.682;1.413;31.527;-9.212;2.218;31.248;-7.999;3.185;30.623;-17.941;4.524;24.307;-14.886;3.442;31.149;-11.525;3.305;33.595;-8.661;4.298;33.094;-6.959;4.918;32.146;-17.638;6.079;24.119;-15.023;5.999;31.747;-11.567;5.807;34.108;-8.282;6.238;34.249;-6.153;6.480;33.934;-18.106;7.084;24.142;-15.271;8.470;31.442;-12.370;8.724;34.034;-10.172;8.891;35.791;-8.480;8.713;36.961;-16.733;7.683;25.547;-16.242;10.703;27.529;-14.858;12.026;29.319;-15.290;14.505;30.535;1.136;36.963;-2.348;15.336;34.677;-0.433;21.229;21.224;-1.443;27.742;6.355;-2.560;22.301;4.926;9.105;15.872;2.814;23.433;15.272;0.972;23.881;12.453;-1.999;29.178;10.531;-3.226;31.169;8.316;-3.404;32.245;6.692;-3.386;32.768;15.441;1.795;24.241;13.542;-0.106;30.384;10.137;-0.923;33.117;6.879;-0.706;33.925;4.848;-0.353;34.313;15.101;2.949;24.738;13.784;1.942;31.570;10.368;1.287;34.699;7.368;1.512;35.311;5.240;2.009;35.301;15.278;3.850;24.814;13.730;4.459;31.829;10.971;4.222;34.477;8.461;3.983;35.132;6.245;3.958;35.369;14.814;4.732;25.387;14.119;7.492;28.096;12.392;7.930;30.946;11.142;9.880;32.432;0.000;0.000;0.000;-7.651;-12.226;-0.769;-10.028;-32.886;0.292;-12.818;-57.139;1.537;-12.538;-101.470;-6.605;7.544;-12.384;-1.465;9.616;-33.005;-0.434;12.048;-57.212;0.776;11.748;-101.650;-8.298
2042.000;81.680;0.026;7.260;-0.196;-0.027;14.095;-0.299;-0.219;26.192;-0.379;-0.701;42.070;-1.064;-0.723;46.368;2.080;-0.267;52.852;3.399;-7.163;56.788;4.591;6.550;57.093;3.239;-2.895;58.943;11.664;3.653;59.089;11.019;-2.102;36.832;-2.439;-16.087;34.777;-0.829;-21.880;21.900;-0.789;-28.282;7.667;-0.744;-23.588;8.396;11.158;-18.305;9.174;25.230;-18.571;7.457;26.179;-14.367;6.190;32.260;-12.479;6.311;33.819;-10.678;7.088;32.301;-10.772;7.776;30.779;-18.579;8.303;26.165;-15.596;8.387;33.188;-12.046;8.604;35.173;-9.720;9.212;33.306;-9.293;9.409;31.316;-18.188;9.913;25.639;-15.512;11.022;33.232;-12.109;11.076;35.650;-8.854;11.078;34.891;-7.017;11.004;33.747;-18.587;10.925;25.495;-15.662;13.345;32.520;-13.297;13.868;35.545;-11.722;14.206;37.828;-10.437;14.195;39.444;-17.073;11.584;26.799;-16.415;14.907;28.159;-15.044;16.513;29.686;-15.384;19.249;30.141;1.122;36.934;-2.328;15.313;34.677;-0.421;21.204;21.222;-1.393;27.715;6.350;-2.468;22.267;4.484;9.183;15.831;1.847;23.490;15.387;-0.083;23.826;12.710;-3.366;28.989;10.766;-4.707;30.893;8.542;-4.983;31.894;6.903;-5.030;32.366;15.491;0.739;24.213;13.712;-1.474;30.303;10.264;-2.541;32.907;6.920;-2.494;33.484;4.851;-2.264;33.737;15.041;1.860;24.807;13.810;0.505;31.554;10.422;-0.554;34.601;7.405;-0.520;35.110;5.252;-0.161;34.985;15.153;2.767;24.915;13.571;2.976;31.933;10.870;2.407;34.571;8.376;1.934;35.200;6.174;1.699;35.443;14.572;3.537;25.506;13.250;5.956;28.352;11.480;5.994;31.208;9.829;7.553;32.763;0.000;0.000;0.000;-7.650;-12.225;-0.807;-10.055;-32.875;0.278;-12.879;-57.117;1.553;-12.588;-101.467;-6.509;7.550;-12.389;-1.386;9.587;-33.008;-0.335;11.977;-57.212;0.899;11.691;-101.646;-8.201
2043.000;81.720;0.031;7.253;-0.194;-0.033;14.083;-0.294;-0.265;26.168;-0.366;-0.726;42.045;-1.104;-0.757;46.369;2.052;-0.344;52.873;3.394;-7.248;56.766;4.682;6.442;57.159;3.133;-2.893;58.954;11.692;3.645;59.142;10.952;-2.135;36.804;-2.461;-16.120;34.798;-0.755;-22.341;22.082;0.655;-29.217;8.027;2.213;-24.408;11.071;13.617;-18.977;14.601;27.101;-19.581;13.377;28.478;-16.113;13.355;35.016;-14.023;13.754;36.320;-12.976;13.744;34.134;-13.885;13.874;32.736;-19.471;14.180;28.236;-16.961;15.923;35.178;-13.261;16.059;36.664;-11.799;15.586;34.053;-12.484;15.236;32.158;-18.752;15.363;27.300;-16.549;18.378;34.384;-13.024;18.514;36.635;-10.236;17.420;35.185;-9.174;16.565;33.503;-18.962;16.299;26.826;-16.363;20.379;33.088;-14.383;21.623;36.183;-13.205;22.634;38.516;-12.444;23.097;40.379;-17.548;17.152;27.937;-16.509;20.627;28.320;-15.025;22.516;29.477;-15.045;25.263;28.961;1.089;36.902;-2.352;15.269;34.666;-0.449;21.136;21.199;-1.343;27.621;6.313;-2.330;22.165;3.633;9.224;15.745;0.023;23.401;15.551;-1.933;23.666;13.169;-5.738;28.585;11.323;-7.285;30.414;9.111;-7.777;31.342;7.471;-7.994;31.757;15.566;-1.126;24.094;13.956;-3.814;30.018;10.514;-5.323;32.377;7.223;-5.611;32.889;5.130;-5.586;33.029;14.948;-0.155;24.708;13.819;-1.873;31.358;10.577;-3.476;34.314;7.559;-3.846;34.748;5.382;-3.751;34.575;14.931;0.754;24.853;13.274;0.470;31.846;10.728;-0.539;34.462;8.276;-1.365;35.032;6.124;-1.893;35.269;14.286;1.404;25.492;12.440;3.345;28.442;10.563;2.929;31.210;8.585;3.978;32.809;0.000;0.000;0.000;-7.657;-12.215;-0.881;-10.103;-32.860;0.233;-12.974;-57.095;1.539;-12.676;-101.460;-6.403;7.547;-12.399;-1.315;9.541;-33.011;-0.239;11.881;-57.207;1.025;11.606;-101.639;-8.092
