Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1302.000;52.080;0.014;7.243;-0.204;-0.074;14.064;-0.322;-0.360;26.132;-0.434;-0.770;42.000;-1.381;-0.835;46.383;1.619;-0.536;52.986;2.590;-7.514;56.870;3.429;6.247;57.280;2.773;-3.626;59.058;10.709;2.946;59.254;10.395;-2.193;36.746;-2.671;-16.197;34.818;-1.273;-21.249;21.727;-1.991;-26.832;7.258;-2.784;-21.928;7.834;9.077;-16.264;8.554;23.088;-16.451;6.920;23.639;-13.588;4.266;30.020;-13.064;3.834;32.333;-12.358;2.813;34.627;-12.020;2.528;36.240;-16.688;7.702;23.856;-15.208;6.256;30.933;-14.095;6.085;34.873;-13.045;6.230;37.637;-12.154;6.192;39.477;-16.283;8.961;23.673;-15.586;8.686;31.799;-14.551;8.397;35.755;-13.013;8.535;38.742;-12.143;8.465;40.724;-16.666;9.973;23.600;-15.800;11.032;31.594;-14.599;11.161;35.249;-13.336;11.216;37.748;-12.140;11.035;39.421;-15.705;10.652;25.295;-15.779;13.584;27.654;-14.837;14.790;29.827;-15.393;17.044;31.383;1.031;36.836;-2.558;15.229;34.606;-0.570;20.772;21.107;-1.486;26.898;6.188;-2.499;22.090;7.042;9.310;16.548;7.742;23.786;16.090;6.198;24.873;14.408;4.560;31.197;13.352;3.464;33.742;12.120;2.901;35.769;11.065;2.597;37.075;16.459;7.017;25.038;15.946;6.551;31.541;15.104;6.094;35.809;13.561;6.194;38.770;12.537;6.381;40.590;16.069;8.271;25.067;16.797;8.664;32.253;16.783;8.321;36.891;15.690;8.500;39.720;14.719;8.780;41.658;16.341;9.134;24.899;17.101;11.201;32.088;17.210;11.876;35.843;16.404;12.138;38.369;15.577;12.452;40.414;16.031;10.138;25.419;17.328;13.212;27.291;17.763;14.762;30.142;18.673;17.270;30.815;0.000;0.000;0.000;-7.640;-12.229;-0.829;-10.103;-32.883;0.318;-12.993;-57.130;1.666;-12.775;-101.448;-6.594;7.562;-12.387;-1.340;9.540;-33.005;-0.278;11.862;-57.209;0.968;11.509;-101.634;-8.292
1303.000;52.120;0.014;7.243;-0.204;-0.074;14.063;-0.322;-0.360;26.132;-0.434;-0.771;41.999;-1.380;-0.836;46.382;1.620;-0.536;52.986;2.593;-7.514;56.869;3.437;6.246;57.282;2.768;-3.620;59.060;10.712;2.951;59.258;10.393;-2.194;36.745;-2.670;-16.198;34.816;-1.273;-21.246;21.725;-1.999;-26.825;7.255;-2.801;-21.923;7.819;9.060;-16.261;8.526;23.071;-16.451;6.884;23.616;-13.625;4.249;30.009;-13.074;3.820;32.339;-12.397;2.796;34.635;-12.076;2.504;36.249;-16.682;7.670;23.830;-15.227;6.238;30.920;-14.124;6.056;34.863;-13.078;6.213;37.630;-12.197;6.167;39.475;-16.286;8.913;23.655;-15.595;8.657;31.784;-14.538;8.382;35.738;-13.067;8.501;38.732;-12.202;8.443;40.717;-16.650;9.929;23.576;-15.815;11.005;31.573;-14.642;11.153;35.235;-13.376;11.195;37.733;-12.176;11.016;39.404;-15.708;10.632;25.288;-15.791;13.575;27.628;-14.833;14.776;29.797;-15.382;17.031;31.352;1.031;36.835;-2.557;15.228;34.606;-0.570;20.773;21.109;-1.493;26.902;6.191;-2.514;22.099;7.044;9.298;16.562;7.746;23.779;16.118;6.207;24.871;14.443;4.553;31.196;13.413;3.468;33.758;12.183;2.901;35.775;11.130;2.604;37.084;16.488;7.026;25.036;15.968;6.548;31.532;15.145;6.109;35.803;13.583;6.213;38.764;12.566;6.389;40.590;16.089;8.283;25.052;16.800;8.664;32.247;16.781;8.346;36.881;15.700;8.543;39.706;14.710;8.825;41.634;16.361;9.147;24.884;17.104;11.218;32.081;17.205;11.893;35.832;16.391;12.156;38.353;15.564;12.465;40.400;16.031;10.142;25.395;17.317;13.224;27.277;17.739;14.777;30.132;18.661;17.283;30.798;0.000;0.000;0.000;-7.640;-12.229;-0.829;-10.104;-32.884;0.318;-12.996;-57.131;1.666;-12.779;-101.436;-6.605;7.562;-12.387;-1.340;9.540;-33.005;-0.278;11.862;-57.208;0.968;11.509;-101.634;-8.292
1304.000;52.160;0.014;7.243;-0.204;-0.074;14.063;-0.321;-0.360;26.132;-0.432;-0.785;42.000;-1.362;-0.853;46.383;1.644;-0.559;52.991;2.624;-7.537;56.870;3.486;6.221;57.290;2.778;-3.623;59.065;10.750;2.947;59.266;10.412;-2.203;36.746;-2.658;-16.203;34.799;-1.261;-21.260;21.716;-2.029;-26.849;7.255;-2.878;-21.944;7.784;8.989;-16.282;8.448;23.002;-16.466;6.798;23.551;-13.740;4.200;30.000;-13.223;3.759;32.310;-12.567;2.787;34.655;-12.269;2.493;36.274;-16.690;7.587;23.756;-15.319;6.210;30.872;-14.239;6.057;34.829;-13.204;6.243;37.587;-12.304;6.229;39.424;-16.315;8.805;23.589;-15.687;8.617;31.715;-14.641;8.397;35.675;-13.130;8.531;38.648;-12.219;8.482;40.612;-16.661;9.824;23.497;-15.897;10.982;31.491;-14.750;11.113;35.150;-13.487;11.212;37.663;-12.274;11.065;39.328;-15.760;10.567;25.222;-15.829;13.526;27.523;-14.851;14.728;29.687;-15.392;16.978;31.252;1.021;36.839;-2.544;15.220;34.621;-0.555;20.788;21.134;-1.500;26.943;6.228;-2.544;22.141;7.069;9.267;16.606;7.758;23.750;16.135;6.199;24.828;14.495;4.533;31.167;13.535;3.442;33.745;12.327;2.895;35.787;11.285;2.599;37.104;16.485;7.027;24.989;16.016;6.562;31.500;15.194;6.123;35.779;13.633;6.215;38.738;12.614;6.385;40.563;16.123;8.309;25.023;16.813;8.684;32.221;16.749;8.356;36.852;15.639;8.558;39.674;14.642;8.846;41.598;16.394;9.173;24.858;17.104;11.232;32.058;17.174;11.889;35.808;16.310;12.125;38.324;15.455;12.437;40.358;16.056;10.161;25.381;17.322;13.242;27.258;17.693;14.787;30.119;18.566;17.300;30.823;0.000;0.000;0.000;-7.640;-12.229;-0.828;-10.109;-32.881;0.326;-13.006;-57.125;1.681;-12.797;-101.440;-6.604;7.561;-12.387;-1.341;9.537;-33.005;-0.279;11.855;-57.209;0.967;11.489;-101.628;-8.311
1305.000;52.200;0.014;7.243;-0.204;-0.074;14.063;-0.318;-0.360;26.132;-0.421;-0.789;42.000;-1.330;-0.862;46.381;1.684;-0.577;52.991;2.675;-7.549;56.872;3.571;6.206;57.286;2.803;-3.603;59.060;10.819;2.965;59.258;10.453;-2.205;36.748;-2.633;-16.207;34.798;-1.248;-21.292;21.727;-2.047;-26.912;7.280;-2.931;-22.028;7.797;8.943;-16.384;8.450;22.968;-16.565;6.784;23.504;-13.867;4.181;29.968;-13.332;3.720;32.266;-12.684;2.750;34.619;-12.409;2.459;36.242;-16.784;7.576;23.705;-15.423;6.204;30.833;-14.371;6.060;34.787;-13.344;6.246;37.563;-12.426;6.224;39.390;-16.398;8.862;23.551;-15.772;8.620;31.673;-14.676;8.373;35.623;-13.113;8.541;38.579;-12.183;8.484;40.534;-16.772;9.873;23.466;-15.980;10.959;31.449;-14.766;11.142;35.104;-13.485;11.194;37.602;-12.288;11.032;39.277;-15.841;10.560;25.188;-15.913;13.518;27.483;-14.935;14.705;29.663;-15.447;16.978;31.205;1.019;36.841;-2.519;15.213;34.628;-0.522;20.809;21.151;-1.476;26.993;6.255;-2.531;22.171;7.077;9.274;16.609;7.746;23.753;16.133;6.182;24.821;14.520;4.491;31.145;13.522;3.399;33.733;12.295;2.858;35.763;11.254;2.551;37.079;16.480;7.012;24.987;15.995;6.531;31.497;15.148;6.071;35.767;13.568;6.135;38.720;12.553;6.300;40.548;16.122;8.260;25.031;16.792;8.639;32.223;16.677;8.279;36.865;15.529;8.483;39.662;14.508;8.771;41.573;16.386;9.127;24.868;17.079;11.179;32.061;17.105;11.824;35.827;16.234;12.035;38.325;15.326;12.344;40.337;16.078;10.127;25.387;17.305;13.220;27.285;17.654;14.748;30.186;18.505;17.269;30.890;0.000;0.000;0.000;-7.641;-12.229;-0.827;-10.108;-32.880;0.329;-13.004;-57.122;1.687;-12.797;-101.435;-6.623;7.561;-12.387;-1.342;9.536;-33.004;-0.280;11.853;-57.206;0.966;11.480;-101.621;-8.335
1306.000;52.240;0.014;7.243;-0.204;-0.074;14.062;-0.318;-0.361;26.130;-0.420;-0.795;41.999;-1.323;-0.870;46.380;1.700;-0.588;52.988;2.710;-7.552;56.868;3.670;6.196;57.284;2.788;-3.545;59.044;10.889;3.020;59.243;10.468;-2.210;36.746;-2.628;-16.207;34.791;-1.245;-21.325;21.732;-2.046;-26.983;7.298;-2.931;-22.096;7.809;8.942;-16.453;8.453;22.964;-16.641;6.804;23.503;-13.962;4.178;29.977;-13.477;3.767;32.287;-12.783;2.775;34.633;-12.501;2.490;36.257;-16.863;7.595;23.705;-15.532;6.210;30.833;-14.506;6.080;34.797;-13.469;6.256;37.570;-12.605;6.236;39.424;-16.482;8.819;23.554;-15.854;8.625;31.672;-14.791;8.391;35.622;-13.264;8.522;38.603;-12.383;8.470;40.581;-16.827;9.844;23.462;-16.019;10.995;31.450;-14.807;11.138;35.094;-13.604;11.185;37.628;-12.461;10.995;39.337;-15.930;10.562;25.181;-15.976;13.527;27.478;-14.992;14.708;29.659;-15.493;16.978;31.210;1.015;36.841;-2.513;15.212;34.629;-0.508;20.826;21.158;-1.469;27.032;6.270;-2.532;22.200;7.076;9.270;16.624;7.731;23.749;16.149;6.180;24.820;14.531;4.459;31.146;13.580;3.356;33.723;12.360;2.804;35.761;11.318;2.494;37.076;16.493;7.010;24.988;15.997;6.497;31.488;15.157;6.042;35.753;13.569;6.099;38.704;12.536;6.249;40.523;16.136;8.275;25.021;16.773;8.615;32.219;16.606;8.269;36.851;15.416;8.438;39.636;14.339;8.743;41.514;16.403;9.142;24.862;17.032;11.164;32.071;17.014;11.785;35.832;16.103;11.985;38.304;15.153;12.282;40.298;16.066;10.108;25.350;17.276;13.202;27.296;17.606;14.732;30.194;18.435;17.255;30.915;0.000;0.000;0.000;-7.642;-12.228;-0.827;-10.107;-32.879;0.327;-12.999;-57.121;1.680;-12.785;-101.431;-6.653;7.560;-12.388;-1.343;9.536;-33.005;-0.282;11.856;-57.207;0.963;11.486;-101.620;-8.347
1307.000;52.280;0.014;7.241;-0.203;-0.074;14.060;-0.317;-0.361;26.126;-0.420;-0.799;41.995;-1.314;-0.876;46.377;1.718;-0.592;52.986;2.742;-7.550;56.860;3.772;6.190;57.285;2.773;-3.482;59.021;10.961;3.079;59.224;10.484;-2.212;36.743;-2.623;-16.205;34.785;-1.241;-21.353;21.736;-2.043;-27.042;7.313;-2.929;-22.177;7.837;8.948;-16.559;8.493;22.971;-16.736;6.854;23.523;-14.144;4.261;30.020;-13.627;3.849;32.336;-12.984;2.882;34.690;-12.691;2.631;36.317;-16.959;7.646;23.720;-15.701;6.283;30.854;-14.730;6.155;34.836;-13.738;6.377;37.632;-12.949;6.324;39.518;-16.600;8.870;23.562;-16.004;8.721;31.679;-14.948;8.448;35.632;-13.423;8.645;38.630;-12.602;8.569;40.633;-16.952;9.896;23.467;-16.128;11.084;31.448;-14.826;11.228;35.089;-13.722;11.263;37.631;-12.632;11.062;39.373;-16.045;10.623;25.191;-16.039;13.596;27.463;-15.031;14.772;29.643;-15.501;17.045;31.198;1.013;36.839;-2.506;15.206;34.628;-0.502;20.827;21.160;-1.468;27.040;6.274;-2.535;22.203;7.075;9.265;16.618;7.722;23.741;16.154;6.163;24.807;14.564;4.442;31.143;13.694;3.368;33.752;12.478;2.816;35.812;11.480;2.485;37.155;16.499;6.993;24.972;16.022;6.488;31.478;15.196;6.029;35.751;13.659;6.099;38.714;12.614;6.252;40.526;16.130;8.248;25.021;16.794;8.590;32.200;16.618;8.277;36.840;15.464;8.467;39.633;14.403;8.761;41.521;16.391;9.115;24.857;17.014;11.159;32.051;16.894;11.791;35.831;16.024;11.971;38.312;15.129;12.262;40.332;16.073;10.100;25.367;17.251;13.203;27.302;17.543;14.779;30.148;18.298;17.333;30.839;0.000;0.000;0.000;-7.639;-12.230;-0.828;-10.106;-32.879;0.326;-13.002;-57.120;1.681;-12.790;-101.430;-6.659;7.562;-12.386;-1.341;9.538;-33.002;-0.285;11.858;-57.203;0.956;11.491;-101.615;-8.355
1308.000;52.320;0.014;7.240;-0.203;-0.074;14.056;-0.320;-0.360;26.119;-0.432;-0.795;41.989;-1.321;-0.868;46.373;1.716;-0.577;52.986;2.750;-7.524;56.867;3.826;6.211;57.277;2.747;-3.412;59.012;10.994;3.147;59.208;10.479;-2.209;36.737;-2.631;-16.205;34.797;-1.250;-21.357;21.757;-2.046;-27.051;7.345;-2.925;-22.210;7.913;8.957;-16.617;8.626;22.990;-16.793;6.996;23.547;-14.297;4.468;30.085;-13.796;4.081;32.421;-13.146;3.147;34.792;-12.859;2.923;36.424;-17.010;7.792;23.737;-15.787;6.485;30.888;-14.898;6.380;34.892;-13.989;6.573;37.698;-13.224;6.551;39.595;-16.680;8.964;23.576;-16.039;8.922;31.689;-15.008;8.730;35.639;-13.524;8.908;38.683;-12.786;8.842;40.718;-17.004;10.002;23.464;-16.132;11.316;31.424;-14.761;11.472;35.040;-13.686;11.575;37.618;-12.717;11.410;39.434;-16.091;10.769;25.183;-16.037;13.772;27.431;-14.997;14.944;29.590;-15.384;17.245;31.128;1.016;36.832;-2.515;15.210;34.620;-0.507;20.812;21.150;-1.473;27.004;6.262;-2.541;22.170;7.067;9.266;16.576;7.721;23.756;16.136;6.154;24.809;14.639;4.446;31.172;13.916;3.378;33.822;12.815;2.813;35.937;11.870;2.473;37.316;16.475;6.988;24.968;16.051;6.500;31.487;15.310;6.089;35.776;13.896;6.141;38.787;12.914;6.310;40.633;16.110;8.220;25.056;16.788;8.612;32.207;16.644;8.388;36.847;15.512;8.550;39.654;14.525;8.857;41.580;16.352;9.092;24.888;16.960;11.135;32.036;16.569;11.730;35.838;15.805;11.909;38.367;15.076;12.124;40.462;16.077;10.095;25.397;17.097;13.263;27.311;17.295;14.900;30.087;17.860;17.508;30.760;0.000;0.000;0.000;-7.640;-12.229;-0.831;-10.109;-32.878;0.312;-13.007;-57.119;1.655;-12.804;-101.416;-6.693;7.562;-12.386;-1.345;9.537;-33.001;-0.300;11.856;-57.200;0.926;11.492;-101.613;-8.398
1309.000;52.360;0.014;7.238;-0.203;-0.075;14.052;-0.322;-0.361;26.111;-0.445;-0.795;41.981;-1.332;-0.868;46.366;1.709;-0.572;52.979;2.752;-7.510;56.868;3.853;6.221;57.262;2.727;-3.371;59.005;11.008;3.186;59.193;10.471;-2.209;36.730;-2.643;-16.208;34.830;-1.258;-21.351;21.797;-1.980;-27.036;7.392;-2.777;-22.155;8.083;9.070;-16.516;8.940;23.061;-16.682;7.284;23.631;-14.213;4.860;30.246;-13.748;4.538;32.591;-13.157;3.647;34.971;-12.836;3.462;36.602;-16.862;8.094;23.797;-15.682;6.956;30.996;-14.912;6.862;35.019;-14.079;7.026;37.862;-13.393;6.984;39.788;-16.583;9.277;23.652;-15.815;9.391;31.751;-14.785;9.266;35.706;-13.430;9.448;38.796;-12.788;9.371;40.863;-16.886;10.331;23.519;-15.825;11.803;31.439;-14.418;12.007;35.038;-13.460;12.141;37.648;-12.611;12.017;39.526;-15.936;11.119;25.220;-15.757;14.170;27.405;-14.634;15.339;29.532;-14.881;17.684;31.032;1.015;36.824;-2.527;15.212;34.622;-0.511;20.780;21.148;-1.451;26.934;6.255;-2.491;22.104;7.078;9.325;16.504;7.762;23.834;16.070;6.198;24.882;14.741;4.465;31.271;14.222;3.348;33.930;13.307;2.745;36.129;12.514;2.360;37.589;16.401;7.036;25.037;16.074;6.557;31.549;15.507;6.199;35.868;14.376;6.176;38.990;13.581;6.307;40.927;16.050;8.287;25.146;16.709;8.684;32.280;16.593;8.562;36.893;15.607;8.732;39.744;14.756;9.016;41.736;16.294;9.158;24.971;16.806;11.211;32.079;16.031;11.727;35.859;15.408;11.812;38.428;14.933;11.946;40.602;16.029;10.106;25.500;16.752;13.382;27.432;16.664;15.124;30.197;16.911;17.813;30.727;0.000;0.000;0.000;-7.641;-12.228;-0.835;-10.109;-32.880;0.295;-13.006;-57.124;1.622;-12.806;-101.430;-6.732;7.561;-12.387;-1.349;9.535;-33.004;-0.313;11.853;-57.206;0.904;11.490;-101.617;-8.432
1310.000;52.400;0.014;7.238;-0.202;-0.075;14.053;-0.329;-0.362;26.111;-0.471;-0.783;41.981;-1.367;-0.851;46.365;1.675;-0.552;52.973;2.725;-7.489;56.861;3.841;6.240;57.256;2.691;-3.337;58.994;10.990;3.219;59.183;10.441;-2.202;36.730;-2.675;-16.198;34.859;-1.277;-21.373;21.828;-1.778;-27.092;7.425;-2.331;-22.037;8.375;9.401;-16.198;9.531;23.255;-16.401;7.902;23.893;-13.890;5.665;30.551;-13.373;5.327;32.903;-12.859;4.484;35.305;-12.516;4.324;36.933;-16.536;8.726;24.026;-15.107;7.840;31.267;-14.432;7.767;35.265;-13.733;7.932;38.164;-13.155;7.875;40.125;-16.241;9.914;23.833;-15.110;10.327;31.911;-14.046;10.285;35.849;-12.785;10.527;38.999;-12.290;10.467;41.107;-16.516;10.980;23.668;-15.013;12.717;31.492;-13.529;13.021;35.047;-12.669;13.253;37.709;-11.987;13.108;39.652;-15.424;11.792;25.319;-14.977;14.905;27.348;-13.688;16.105;29.347;-13.716;18.498;30.789;1.022;36.822;-2.560;15.219;34.624;-0.530;20.757;21.140;-1.371;26.877;6.238;-2.300;22.018;7.111;9.509;16.378;7.857;24.013;15.943;6.305;25.062;14.723;4.594;31.476;14.417;3.462;34.143;13.735;2.725;36.389;13.139;2.246;37.914;16.266;7.148;25.206;15.979;6.733;31.718;15.587;6.464;36.041;14.930;6.378;39.291;14.436;6.461;41.327;15.936;8.401;25.330;16.578;8.859;32.440;16.441;8.853;37.040;15.658;9.021;39.952;15.049;9.316;42.030;16.170;9.272;25.145;16.584;11.370;32.211;15.573;11.852;35.953;15.102;11.909;38.555;14.796;11.965;40.762;15.937;10.214;25.776;16.247;13.593;27.603;15.856;15.359;30.309;15.675;18.063;30.790;0.000;0.000;0.000;-7.641;-12.227;-0.846;-10.106;-32.878;0.273;-13.000;-57.121;1.587;-12.795;-101.432;-6.762;7.561;-12.386;-1.352;9.536;-33.005;-0.324;11.854;-57.210;0.883;11.502;-101.617;-8.461
