Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1502.000;60.080;-0.003;7.155;-0.128;-0.001;13.889;-0.361;0.012;25.799;-0.917;-0.187;41.662;-1.991;-0.232;45.982;1.044;0.016;52.397;2.282;-6.813;56.518;3.206;6.949;56.446;2.447;-2.795;58.507;10.472;3.776;58.473;10.110;-1.683;36.418;-3.237;-15.796;34.657;-1.896;-20.808;21.427;-2.018;-26.348;6.806;-2.154;-20.667;7.193;9.354;-14.163;7.625;22.938;-14.369;5.973;23.709;-10.917;3.938;30.097;-10.084;3.499;32.350;-9.333;2.467;34.601;-8.772;2.265;36.164;-14.448;6.810;23.798;-11.897;6.293;30.848;-10.232;6.476;34.582;-8.599;6.771;37.054;-7.347;6.856;38.669;-14.025;8.126;23.472;-11.878;8.868;31.333;-10.051;9.191;34.970;-8.515;9.565;37.919;-7.667;9.667;39.909;-14.308;9.134;23.308;-11.789;11.311;30.667;-9.272;12.069;33.538;-7.356;12.518;35.552;-5.887;12.584;37.001;-13.144;10.007;24.789;-12.676;13.258;26.372;-11.239;14.887;28.180;-12.051;17.346;29.230;1.543;36.465;-3.129;15.696;33.904;-1.164;20.518;20.222;-2.274;25.847;5.100;-3.500;20.960;6.454;8.171;15.365;7.778;22.505;15.149;6.256;23.730;12.977;4.991;30.031;11.819;3.714;32.454;10.534;2.892;34.300;9.427;2.379;35.493;15.289;7.157;23.794;14.010;7.371;30.288;12.670;7.229;34.480;10.637;7.270;37.142;9.238;7.423;38.697;14.710;8.305;23.677;14.292;9.736;30.785;13.540;9.924;35.395;11.824;10.172;37.908;10.308;10.499;39.447;14.775;9.183;23.407;14.055;12.310;30.217;12.991;13.299;33.777;11.499;13.569;35.898;9.953;13.839;37.480;14.303;10.260;23.808;14.353;13.860;25.082;13.936;15.898;27.570;13.762;18.640;27.412;0.000;0.000;0.000;-7.546;-12.273;-1.016;-9.328;-33.167;-0.956;-11.420;-57.695;-0.885;-9.722;-101.832;-9.548;7.650;-12.290;-1.688;9.456;-33.202;-0.932;11.576;-57.752;-0.045;10.676;-102.109;-9.032
1503.000;60.120;-0.002;7.157;-0.131;0.002;13.893;-0.366;0.017;25.808;-0.926;-0.179;41.669;-2.023;-0.228;45.989;1.005;0.012;52.396;2.238;-6.819;56.515;3.159;6.942;56.449;2.402;-2.804;58.508;10.426;3.768;58.476;10.064;-1.674;36.423;-3.262;-15.791;34.667;-1.932;-20.807;21.440;-2.060;-26.350;6.820;-2.201;-20.681;7.209;9.312;-14.189;7.647;22.905;-14.410;5.981;23.677;-10.949;3.966;30.068;-10.109;3.523;32.319;-9.357;2.486;34.563;-8.778;2.289;36.120;-14.485;6.819;23.765;-11.924;6.304;30.818;-10.271;6.479;34.552;-8.645;6.781;37.029;-7.398;6.885;38.647;-14.055;8.123;23.451;-11.926;8.869;31.304;-10.031;9.188;34.911;-8.379;9.544;37.812;-7.493;9.599;39.788;-14.324;9.132;23.283;-11.810;11.326;30.632;-9.276;12.055;33.483;-7.326;12.505;35.475;-5.824;12.555;36.891;-13.160;10.027;24.763;-12.689;13.275;26.337;-11.260;14.897;28.141;-12.049;17.357;29.206;1.552;36.470;-3.151;15.703;33.908;-1.166;20.533;20.225;-2.250;25.872;5.102;-3.448;20.967;6.471;8.213;15.348;7.812;22.537;15.141;6.292;23.765;12.942;5.016;30.055;11.798;3.766;32.491;10.507;2.954;34.340;9.393;2.443;35.526;15.282;7.193;23.828;13.985;7.422;30.320;12.645;7.276;34.511;10.585;7.345;37.151;9.187;7.492;38.708;14.681;8.355;23.702;14.265;9.791;30.810;13.486;9.962;35.418;11.753;10.232;37.916;10.228;10.563;39.446;14.751;9.233;23.433;14.031;12.354;30.235;12.954;13.347;33.797;11.468;13.624;35.917;9.924;13.893;37.503;14.286;10.292;23.828;14.331;13.899;25.098;13.901;15.945;27.587;13.739;18.686;27.414;0.000;0.000;0.000;-7.547;-12.273;-1.015;-9.335;-33.168;-0.949;-11.435;-57.696;-0.872;-9.749;-101.832;-9.528;7.650;-12.291;-1.679;9.451;-33.205;-0.917;11.565;-57.756;-0.022;10.658;-102.112;-9.004
1504.000;60.160;-0.002;7.158;-0.134;0.003;13.895;-0.371;0.018;25.810;-0.933;-0.172;41.671;-2.046;-0.225;45.991;0.976;0.012;52.397;2.204;-6.819;56.516;3.125;6.943;56.449;2.367;-2.803;58.511;10.391;3.769;58.479;10.029;-1.667;36.424;-3.282;-15.784;34.674;-1.965;-20.809;21.450;-2.094;-26.364;6.835;-2.236;-20.701;7.224;9.283;-14.212;7.661;22.884;-14.444;6.018;23.663;-10.985;3.991;30.048;-10.137;3.562;32.297;-9.379;2.540;34.548;-8.809;2.364;36.110;-14.529;6.854;23.756;-11.973;6.330;30.797;-10.325;6.512;34.531;-8.688;6.809;37.010;-7.470;6.924;38.649;-14.082;8.129;23.433;-11.939;8.889;31.272;-10.008;9.198;34.855;-8.285;9.554;37.715;-7.342;9.589;39.665;-14.349;9.138;23.262;-11.837;11.345;30.596;-9.257;12.048;33.447;-7.313;12.483;35.417;-5.815;12.531;36.837;-13.193;10.039;24.736;-12.714;13.289;26.313;-11.273;14.907;28.115;-12.063;17.368;29.177;1.558;36.470;-3.167;15.708;33.912;-1.167;20.545;20.229;-2.232;25.893;5.105;-3.408;20.975;6.485;8.248;15.341;7.845;22.568;15.126;6.324;23.795;12.918;5.056;30.086;11.775;3.812;32.521;10.474;2.999;34.363;9.353;2.498;35.548;15.261;7.226;23.856;13.954;7.468;30.345;12.593;7.308;34.534;10.505;7.373;37.152;9.107;7.525;38.709;14.669;8.384;23.735;14.233;9.833;30.835;13.404;10.001;35.434;11.626;10.274;37.901;10.074;10.602;39.405;14.736;9.262;23.464;14.001;12.405;30.249;12.896;13.381;33.815;11.409;13.670;35.927;9.867;13.940;37.513;14.286;10.314;23.837;14.309;13.932;25.125;13.895;15.983;27.599;13.711;18.723;27.425;0.000;0.000;0.000;-7.548;-12.272;-1.015;-9.342;-33.168;-0.941;-11.449;-57.698;-0.854;-9.771;-101.835;-9.496;7.650;-12.293;-1.668;9.444;-33.208;-0.898;11.550;-57.761;0.005;10.634;-102.115;-8.973
1505.000;60.200;-0.000;7.160;-0.136;0.005;13.898;-0.375;0.023;25.817;-0.939;-0.169;41.676;-2.065;-0.224;45.996;0.952;0.010;52.397;2.177;-6.820;56.519;3.096;6.942;56.447;2.338;-2.803;58.516;10.361;3.768;58.482;9.999;-1.662;36.428;-3.298;-15.779;34.680;-1.990;-20.811;21.458;-2.117;-26.373;6.845;-2.258;-20.712;7.234;9.265;-14.229;7.666;22.868;-14.468;6.029;23.650;-10.984;3.994;30.029;-10.158;3.614;32.283;-9.380;2.626;34.559;-8.830;2.467;36.131;-14.559;6.865;23.745;-12.009;6.348;30.781;-10.346;6.551;34.515;-8.710;6.885;36.994;-7.509;6.997;38.645;-14.098;8.136;23.418;-11.965;8.896;31.256;-10.002;9.207;34.824;-8.220;9.548;37.654;-7.252;9.584;39.591;-14.363;9.143;23.247;-11.858;11.351;30.582;-9.280;12.032;33.439;-7.343;12.476;35.404;-5.823;12.502;36.801;-13.206;10.045;24.718;-12.720;13.294;26.299;-11.280;14.906;28.101;-12.049;17.368;29.175;1.563;36.475;-3.181;15.710;33.921;-1.167;20.560;20.240;-2.215;25.920;5.118;-3.372;20.986;6.509;8.274;15.334;7.877;22.584;15.118;6.360;23.812;12.922;5.097;30.103;11.766;3.859;32.544;10.463;3.055;34.390;9.341;2.565;35.579;15.254;7.262;23.871;13.941;7.520;30.363;12.562;7.361;34.546;10.470;7.412;37.155;9.064;7.558;38.705;14.663;8.427;23.748;14.212;9.880;30.848;13.338;10.056;35.439;11.547;10.314;37.893;9.964;10.654;39.361;14.733;9.305;23.477;13.987;12.458;30.258;12.879;13.421;33.822;11.374;13.713;35.931;9.834;13.983;37.519;14.268;10.358;23.861;14.285;13.971;25.133;13.848;16.020;27.610;13.671;18.760;27.434;0.000;0.000;0.000;-7.549;-12.271;-1.014;-9.348;-33.168;-0.932;-11.460;-57.699;-0.836;-9.791;-101.838;-9.467;7.648;-12.295;-1.658;9.439;-33.209;-0.880;11.540;-57.761;0.032;10.619;-102.118;-8.943
1506.000;60.240;0.001;7.161;-0.138;0.008;13.901;-0.379;0.027;25.823;-0.945;-0.167;41.681;-2.080;-0.226;45.999;0.931;0.005;52.396;2.151;-6.823;56.520;3.070;6.938;56.444;2.312;-2.806;58.515;10.335;3.766;58.479;9.973;-1.658;36.432;-3.311;-15.777;34.681;-2.011;-20.810;21.460;-2.136;-26.374;6.847;-2.274;-20.721;7.240;9.252;-14.245;7.679;22.859;-14.483;6.025;23.637;-11.009;4.014;30.026;-10.158;3.637;32.281;-9.411;2.683;34.563;-8.840;2.521;36.126;-14.567;6.862;23.728;-12.031;6.365;30.776;-10.374;6.579;34.507;-8.732;6.932;36.981;-7.546;7.062;38.642;-14.118;8.124;23.421;-11.993;8.913;31.247;-10.030;9.209;34.819;-8.205;9.528;37.628;-7.213;9.582;39.552;-14.367;9.128;23.247;-11.885;11.356;30.577;-9.315;12.033;33.431;-7.359;12.438;35.393;-5.831;12.468;36.780;-13.230;10.047;24.699;-12.742;13.305;26.295;-11.302;14.916;28.102;-12.077;17.378;29.172;1.567;36.480;-3.192;15.714;33.933;-1.168;20.575;20.253;-2.206;25.949;5.133;-3.352;21.003;6.532;8.287;15.339;7.912;22.590;15.104;6.393;23.819;12.918;5.134;30.111;11.761;3.905;32.556;10.450;3.097;34.399;9.327;2.614;35.588;15.240;7.295;23.876;13.933;7.547;30.368;12.537;7.390;34.545;10.420;7.450;37.142;9.015;7.586;38.693;14.663;8.457;23.753;14.196;9.914;30.851;13.297;10.092;35.440;11.471;10.350;37.875;9.873;10.694;39.327;14.731;9.335;23.481;13.964;12.485;30.261;12.878;13.461;33.821;11.364;13.754;35.932;9.819;14.019;37.516;14.256;10.392;23.870;14.259;14.002;25.135;13.797;16.053;27.605;13.627;18.794;27.433;0.000;0.000;0.000;-7.552;-12.270;-1.012;-9.352;-33.168;-0.922;-11.466;-57.701;-0.817;-9.802;-101.844;-9.440;7.646;-12.297;-1.652;9.434;-33.212;-0.866;11.533;-57.764;0.057;10.604;-102.121;-8.919
1507.000;60.280;0.001;7.163;-0.140;0.008;13.905;-0.380;0.027;25.829;-0.943;-0.167;41.687;-2.084;-0.227;46.003;0.924;0.001;52.395;2.142;-6.826;56.521;3.061;6.935;56.441;2.299;-2.806;58.519;10.324;3.765;58.480;9.960;-1.658;36.437;-3.314;-15.778;34.684;-2.017;-20.817;21.466;-2.144;-26.386;6.856;-2.284;-20.739;7.255;9.245;-14.268;7.706;22.857;-14.514;6.062;23.641;-11.028;4.058;30.031;-10.163;3.697;32.297;-9.454;2.805;34.576;-8.845;2.673;36.128;-14.607;6.897;23.736;-12.072;6.396;30.777;-10.395;6.671;34.495;-8.765;7.031;36.969;-7.578;7.178;38.628;-14.143;8.154;23.414;-12.044;8.930;31.245;-10.082;9.239;34.812;-8.214;9.590;37.588;-7.174;9.664;39.486;-14.396;9.156;23.240;-11.943;11.372;30.581;-9.373;12.045;33.431;-7.395;12.443;35.383;-5.859;12.466;36.763;-13.267;10.072;24.694;-12.782;13.330;26.289;-11.328;14.949;28.084;-12.127;17.392;29.178;1.567;36.485;-3.193;15.715;33.939;-1.161;20.584;20.261;-2.198;25.965;5.143;-3.343;21.011;6.553;8.291;15.336;7.948;22.589;15.093;6.429;23.818;12.886;5.162;30.106;11.747;3.950;32.558;10.413;3.160;34.392;9.283;2.683;35.578;15.228;7.331;23.874;13.907;7.592;30.366;12.471;7.419;34.528;10.326;7.475;37.108;8.909;7.611;38.649;14.657;8.500;23.751;14.165;9.955;30.844;13.176;10.115;35.416;11.319;10.369;37.828;9.690;10.724;39.241;14.730;9.377;23.480;13.930;12.522;30.254;12.827;13.481;33.812;11.318;13.782;35.914;9.741;14.031;37.469;14.246;10.426;23.871;14.232;14.037;25.134;13.775;16.083;27.605;13.587;18.823;27.435;0.000;0.000;0.000;-7.552;-12.270;-1.010;-9.358;-33.168;-0.911;-11.477;-57.700;-0.795;-9.819;-101.847;-9.408;7.646;-12.298;-1.646;9.428;-33.214;-0.851;11.521;-57.767;0.083;10.580;-102.123;-8.884
1508.000;60.320;0.001;7.164;-0.140;0.008;13.907;-0.380;0.027;25.833;-0.941;-0.169;41.691;-2.087;-0.230;46.005;0.920;-0.003;52.395;2.136;-6.831;56.518;3.056;6.930;56.443;2.289;-2.809;58.519;10.317;3.762;58.484;9.951;-1.659;36.440;-3.315;-15.778;34.686;-2.019;-20.826;21.470;-2.152;-26.405;6.862;-2.299;-20.754;7.288;9.228;-14.278;7.772;22.839;-14.526;6.129;23.636;-11.011;4.178;30.020;-10.086;3.915;32.299;-9.355;3.149;34.593;-8.721;3.096;36.139;-14.625;6.964;23.730;-12.081;6.495;30.760;-10.347;6.874;34.439;-8.744;7.301;36.913;-7.572;7.507;38.576;-14.159;8.229;23.387;-12.078;9.025;31.212;-10.068;9.410;34.740;-8.099;9.827;37.452;-7.015;9.943;39.324;-14.425;9.230;23.212;-11.994;11.460;30.548;-9.432;12.126;33.407;-7.438;12.521;35.366;-5.925;12.539;36.771;-13.280;10.139;24.662;-12.801;13.399;26.248;-11.350;15.017;28.059;-12.128;17.473;29.140;1.566;36.489;-3.194;15.716;33.945;-1.161;20.592;20.268;-2.198;25.982;5.151;-3.345;21.022;6.579;8.283;15.337;8.001;22.577;15.092;6.480;23.808;12.875;5.226;30.103;11.735;4.057;32.569;10.389;3.306;34.415;9.266;2.844;35.612;15.223;7.383;23.862;13.888;7.647;30.354;12.391;7.506;34.493;10.209;7.556;37.040;8.756;7.721;38.545;14.648;8.557;23.736;14.141;10.009;30.824;13.025;10.183;35.367;11.114;10.447;37.729;9.451;10.793;39.105;14.721;9.433;23.464;13.909;12.577;30.226;12.799;13.524;33.790;11.298;13.818;35.888;9.698;14.045;37.423;14.237;10.479;23.859;14.208;14.085;25.114;13.737;16.132;27.595;13.559;18.873;27.431;0.000;0.000;0.000;-7.552;-12.270;-1.009;-9.362;-33.167;-0.903;-11.487;-57.699;-0.777;-9.838;-101.849;-9.379;7.646;-12.298;-1.645;9.423;-33.215;-0.843;11.508;-57.770;0.097;10.557;-102.126;-8.856
1509.000;60.360;0.002;7.164;-0.141;0.009;13.907;-0.381;0.029;25.833;-0.942;-0.167;41.691;-2.088;-0.229;46.005;0.916;-0.005;52.394;2.128;-6.834;56.516;3.050;6.927;56.444;2.278;-2.810;58.519;10.309;3.761;58.485;9.941;-1.658;36.440;-3.316;-15.775;34.685;-2.014;-20.843;21.476;-2.163;-26.445;6.875;-2.327;-20.768;7.367;9.185;-14.259;7.932;22.777;-14.510;6.295;23.602;-10.982;4.516;29.983;-9.925;4.461;32.235;-9.049;3.901;34.536;-8.334;3.987;36.045;-14.619;7.128;23.689;-12.079;6.754;30.707;-10.268;7.278;34.323;-8.669;7.796;36.782;-7.518;8.057;38.453;-14.151;8.390;23.320;-12.111;9.318;31.111;-9.981;9.792;34.548;-7.890;10.282;37.155;-6.727;10.452;38.974;-14.425;9.393;23.127;-12.066;11.712;30.429;-9.494;12.360;33.296;-7.500;12.737;35.257;-6.012;12.724;36.689;-13.283;10.303;24.563;-12.788;13.567;26.124;-11.325;15.180;27.945;-12.070;17.642;29.037;1.568;36.489;-3.195;15.718;33.942;-1.168;20.608;20.268;-2.204;26.012;5.153;-3.349;21.043;6.628;8.271;15.342;8.115;22.563;15.093;6.597;23.795;12.868;5.389;30.095;11.620;4.349;32.579;10.236;3.717;34.435;9.090;3.330;35.638;15.226;7.500;23.851;13.870;7.757;30.332;12.203;7.730;34.410;9.951;7.815;36.881;8.415;8.009;38.296;14.648;8.669;23.720;14.118;10.120;30.793;12.793;10.332;35.278;10.799;10.591;37.569;9.081;10.925;38.878;14.724;9.545;23.448;13.898;12.663;30.201;12.751;13.569;33.778;11.247;13.829;35.887;9.669;14.052;37.444;14.211;10.587;23.833;14.150;14.189;25.098;13.606;16.206;27.625;13.378;18.946;27.508;0.000;0.000;0.000;-7.553;-12.270;-1.006;-9.367;-33.167;-0.897;-11.498;-57.699;-0.767;-9.860;-101.851;-9.364;7.645;-12.299;-1.645;9.418;-33.217;-0.841;11.500;-57.773;0.104;10.539;-102.130;-8.839
1510.000;60.400;0.002;7.163;-0.141;0.008;13.905;-0.379;0.026;25.830;-0.935;-0.174;41.688;-2.081;-0.234;46.002;0.923;-0.013;52.392;2.134;-6.842;56.513;3.062;6.918;56.443;2.278;-2.812;58.518;10.317;3.759;58.485;9.943;-1.664;36.437;-3.308;-15.778;34.676;-1.993;-20.886;21.483;-2.167;-26.531;6.900;-2.360;-20.768;7.536;9.099;-14.156;8.276;22.619;-14.480;6.696;23.529;-11.055;5.234;30.007;-9.944;5.515;32.211;-8.933;5.279;34.531;-8.156;5.586;35.980;-14.607;7.530;23.587;-12.235;7.434;30.629;-10.347;8.183;34.169;-8.782;8.839;36.611;-7.662;9.193;38.285;-14.055;8.747;23.152;-12.238;10.018;30.883;-9.995;10.611;34.219;-7.810;11.191;36.707;-6.537;11.454;38.439;-14.315;9.752;22.896;-12.162;12.344;30.115;-9.583;12.968;32.981;-7.599;13.305;34.954;-6.106;13.267;36.380;-13.164;10.657;24.300;-12.614;13.952;25.768;-11.119;15.550;27.605;-11.769;18.032;28.711;1.562;36.487;-3.190;15.713;33.935;-1.178;20.644;20.266;-2.205;26.093;5.158;-3.341;21.096;6.766;8.266;15.341;8.426;22.567;15.061;6.908;23.754;12.784;5.624;29.971;11.304;4.805;32.434;9.813;4.364;34.260;8.602;4.099;35.431;15.224;7.803;23.837;13.825;7.908;30.284;11.773;7.956;34.183;9.377;8.067;36.510;7.753;8.282;37.820;14.647;8.945;23.755;14.055;10.235;30.793;12.345;10.382;35.144;10.183;10.605;37.282;8.409;10.920;38.520;14.742;9.826;23.502;13.862;12.747;30.276;12.450;13.378;33.839;10.936;13.479;35.951;9.364;13.619;37.524;14.211;10.847;23.876;13.898;14.404;25.368;13.065;16.157;28.040;12.456;18.834;28.229;0.000;0.000;0.000;-7.553;-12.270;-1.004;-9.370;-33.168;-0.890;-11.504;-57.702;-0.756;-9.874;-101.856;-9.343;7.645;-12.299;-1.646;9.417;-33.218;-0.838;11.497;-57.774;0.109;10.533;-102.134;-8.818
