Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1143.000;45.720;-0.021;7.175;-0.201;-0.050;13.929;-0.434;-0.114;25.876;-0.901;-0.455;41.724;-2.144;-0.479;46.084;0.813;-0.141;52.541;1.886;-6.907;56.667;3.179;6.790;56.589;1.651;-2.489;58.676;10.204;4.052;58.638;9.474;-1.911;36.454;-3.326;-16.015;34.585;-1.891;-21.168;21.493;-2.590;-26.864;7.024;-3.364;-22.709;4.855;8.721;-18.013;2.068;22.893;-18.461;0.376;23.562;-14.658;-2.686;29.414;-13.408;-3.120;31.469;-12.247;-4.057;33.529;-11.263;-4.184;34.875;-18.427;1.202;23.739;-15.390;-0.386;30.483;-12.997;-0.472;33.833;-10.698;-0.442;35.747;-9.061;-0.600;36.961;-17.864;2.511;23.474;-15.066;2.185;31.172;-12.826;2.036;34.615;-10.111;1.892;36.586;-8.308;1.706;37.771;-18.012;3.561;23.443;-14.647;4.505;30.742;-11.710;4.397;33.241;-9.253;4.130;34.605;-7.420;3.671;35.436;-16.620;4.130;24.959;-15.370;7.090;26.643;-13.401;8.149;28.365;-13.532;10.592;29.716;1.315;36.531;-3.234;15.474;34.102;-1.423;20.723;20.462;-2.349;26.525;5.385;-3.372;22.322;4.420;8.751;17.523;2.757;23.491;17.279;1.021;24.461;15.046;-1.108;30.522;13.712;-2.466;32.891;12.067;-3.180;34.473;10.736;-3.616;35.447;17.348;1.917;24.628;15.891;1.270;31.115;14.020;0.674;35.068;11.489;0.463;37.244;9.735;0.464;38.393;16.767;3.106;24.753;15.991;3.613;31.858;14.254;3.439;36.212;11.791;3.397;38.076;9.835;3.553;39.038;16.804;4.012;24.594;15.615;6.288;31.410;13.353;7.320;34.422;11.322;7.455;36.062;9.407;7.574;37.196;16.361;4.964;25.059;16.114;8.395;26.643;15.501;10.082;29.410;15.289;12.820;29.578;0.000;0.000;0.000;-7.535;-12.297;-0.781;-9.338;-33.216;-0.239;-11.454;-57.772;0.399;-9.812;-101.953;-7.710;7.656;-12.302;-1.571;9.454;-33.239;-0.281;11.564;-57.817;1.234;10.604;-102.241;-7.187
1144.000;45.760;-0.022;7.174;-0.202;-0.052;13.926;-0.436;-0.117;25.872;-0.907;-0.465;41.720;-2.145;-0.485;46.081;0.811;-0.140;52.544;1.878;-6.903;56.672;3.177;6.790;56.592;1.616;-2.469;58.699;10.186;4.070;58.661;9.440;-1.920;36.449;-3.328;-16.022;34.568;-1.879;-21.160;21.472;-2.570;-26.840;6.999;-3.334;-22.661;4.843;8.744;-17.934;2.075;22.913;-18.368;0.415;23.596;-14.561;-2.656;29.435;-13.255;-3.068;31.492;-12.114;-4.004;33.539;-11.130;-4.130;34.885;-18.351;1.241;23.783;-15.286;-0.353;30.499;-12.930;-0.432;33.850;-10.614;-0.396;35.757;-8.977;-0.512;36.977;-17.782;2.501;23.495;-14.975;2.209;31.184;-12.727;2.072;34.619;-9.993;1.926;36.568;-8.177;1.751;37.734;-17.920;3.544;23.457;-14.562;4.536;30.745;-11.602;4.410;33.244;-9.162;4.170;34.606;-7.333;3.676;35.427;-16.537;4.128;24.961;-15.299;7.103;26.645;-13.322;8.172;28.354;-13.467;10.604;29.723;1.306;36.527;-3.238;15.466;34.105;-1.444;20.724;20.467;-2.375;26.536;5.395;-3.404;22.344;4.442;8.723;17.563;2.794;23.468;17.326;1.056;24.441;15.086;-1.062;30.522;13.786;-2.411;32.897;12.143;-3.135;34.477;10.819;-3.555;35.468;17.394;1.952;24.606;15.984;1.303;31.097;14.092;0.716;35.053;11.576;0.505;37.250;9.824;0.513;38.402;16.809;3.164;24.727;16.051;3.669;31.835;14.326;3.491;36.197;11.865;3.435;38.064;9.904;3.602;39.015;16.855;4.070;24.568;15.682;6.332;31.386;13.421;7.359;34.404;11.407;7.488;36.051;9.475;7.578;37.159;16.383;5.000;25.036;16.156;8.427;26.628;15.538;10.126;29.386;15.332;12.866;29.538;0.000;0.000;0.000;-7.534;-12.298;-0.772;-9.337;-33.216;-0.226;-11.453;-57.771;0.415;-9.817;-101.963;-7.704;7.656;-12.301;-1.577;9.455;-33.238;-0.285;11.567;-57.816;1.231;10.599;-102.240;-7.183
1145.000;45.800;-0.023;7.171;-0.202;-0.054;13.922;-0.440;-0.122;25.863;-0.919;-0.472;41.711;-2.160;-0.489;46.078;0.797;-0.143;52.549;1.857;-6.905;56.678;3.162;6.786;56.598;1.578;-2.459;58.714;10.161;4.079;58.676;9.404;-1.929;36.440;-3.340;-16.026;34.560;-1.872;-21.159;21.461;-2.551;-26.831;6.983;-3.302;-22.623;4.839;8.767;-17.860;2.084;22.924;-18.293;0.419;23.612;-14.462;-2.618;29.449;-13.109;-3.019;31.493;-11.927;-3.924;33.539;-10.962;-4.059;34.898;-18.275;1.245;23.795;-15.216;-0.320;30.515;-12.843;-0.388;33.858;-10.513;-0.321;35.763;-8.879;-0.463;36.985;-17.715;2.537;23.500;-14.903;2.245;31.188;-12.651;2.141;34.629;-9.942;2.033;36.583;-8.121;1.860;37.741;-17.869;3.595;23.465;-14.500;4.563;30.747;-11.565;4.462;33.254;-9.096;4.223;34.616;-7.271;3.723;35.443;-16.462;4.148;24.970;-15.207;7.106;26.633;-13.242;8.198;28.351;-13.412;10.641;29.698;1.297;36.518;-3.254;15.459;34.095;-1.478;20.718;20.460;-2.419;26.531;5.389;-3.458;22.374;4.445;8.681;17.639;2.810;23.440;17.403;1.071;24.417;15.141;-1.057;30.499;13.876;-2.388;32.874;12.244;-3.095;34.476;10.922;-3.525;35.465;17.471;1.968;24.581;16.072;1.328;31.074;14.187;0.759;35.036;11.661;0.555;37.221;9.907;0.548;38.371;16.878;3.159;24.706;16.138;3.687;31.809;14.420;3.522;36.174;11.959;3.492;38.036;9.997;3.653;38.985;16.916;4.065;24.544;15.767;6.360;31.352;13.499;7.397;34.368;11.501;7.535;36.009;9.561;7.619;37.102;16.461;5.025;25.020;16.244;8.446;26.594;15.618;10.145;29.340;15.407;12.884;29.498;0.000;0.000;0.000;-7.534;-12.299;-0.764;-9.337;-33.215;-0.218;-11.454;-57.770;0.424;-9.831;-101.960;-7.703;7.655;-12.300;-1.589;9.454;-33.237;-0.294;11.566;-57.815;1.225;10.583;-102.238;-7.179
1146.000;45.840;-0.024;7.168;-0.205;-0.056;13.916;-0.446;-0.124;25.852;-0.933;-0.480;41.700;-2.178;-0.493;46.072;0.781;-0.148;52.550;1.839;-6.911;56.678;3.148;6.778;56.602;1.544;-2.455;58.727;10.137;4.082;58.691;9.371;-1.936;36.428;-3.354;-16.033;34.543;-1.869;-21.159;21.440;-2.538;-26.824;6.957;-3.277;-22.595;4.837;8.790;-17.809;2.108;22.946;-18.234;0.461;23.645;-14.361;-2.578;29.459;-12.987;-2.953;31.490;-11.787;-3.822;33.526;-10.772;-3.921;34.851;-18.228;1.286;23.831;-15.123;-0.248;30.531;-12.756;-0.317;33.872;-10.429;-0.257;35.773;-8.792;-0.350;36.995;-17.666;2.531;23.523;-14.842;2.314;31.202;-12.542;2.215;34.615;-9.808;2.138;36.553;-7.997;1.977;37.730;-17.807;3.582;23.479;-14.432;4.612;30.752;-11.510;4.532;33.252;-9.026;4.303;34.612;-7.194;3.816;35.430;-16.404;4.180;24.974;-15.148;7.141;26.624;-13.169;8.242;28.340;-13.351;10.682;29.691;1.289;36.507;-3.273;15.450;34.087;-1.518;20.713;20.454;-2.465;26.531;5.386;-3.512;22.409;4.440;8.637;17.712;2.802;23.409;17.480;1.070;24.389;15.265;-1.053;30.483;14.012;-2.394;32.875;12.376;-3.116;34.467;11.057;-3.533;35.466;17.548;1.967;24.553;16.180;1.311;31.046;14.319;0.760;35.023;11.795;0.533;37.219;10.045;0.548;38.375;16.964;3.159;24.675;16.240;3.681;31.780;14.529;3.513;36.152;12.069;3.482;38.011;10.102;3.638;38.952;17.001;4.065;24.513;15.860;6.366;31.325;13.601;7.380;34.353;11.587;7.524;35.986;9.669;7.610;37.118;16.552;5.007;24.982;16.323;8.446;26.550;15.719;10.144;29.314;15.499;12.883;29.462;0.000;0.000;0.000;-7.533;-12.300;-0.753;-9.335;-33.215;-0.206;-11.451;-57.767;0.437;-9.832;-101.944;-7.704;7.656;-12.300;-1.590;9.456;-33.236;-0.296;11.569;-57.813;1.223;10.579;-102.240;-7.179
1147.000;45.880;-0.025;7.166;-0.208;-0.057;13.911;-0.454;-0.125;25.842;-0.952;-0.485;41.690;-2.200;-0.496;46.068;0.761;-0.150;52.554;1.818;-6.912;56.680;3.136;6.774;56.608;1.506;-2.444;58.736;10.116;4.092;58.702;9.337;-1.942;36.418;-3.373;-16.035;34.531;-1.874;-21.159;21.425;-2.525;-26.822;6.940;-3.245;-22.578;4.844;8.819;-17.773;2.149;22.973;-18.202;0.471;23.666;-14.296;-2.487;29.489;-12.868;-2.857;31.505;-11.623;-3.741;33.490;-10.558;-3.809;34.778;-18.184;1.298;23.844;-15.067;-0.212;30.552;-12.687;-0.276;33.886;-10.371;-0.222;35.786;-8.720;-0.302;36.990;-17.616;2.601;23.540;-14.774;2.344;31.208;-12.454;2.304;34.604;-9.694;2.230;36.504;-7.854;2.081;37.637;-17.776;3.653;23.502;-14.397;4.670;30.761;-11.456;4.596;33.258;-8.973;4.393;34.606;-7.152;3.885;35.436;-16.360;4.218;25.003;-15.106;7.178;26.635;-13.127;8.279;28.351;-13.298;10.733;29.677;1.284;36.497;-3.296;15.444;34.079;-1.558;20.711;20.446;-2.514;26.531;5.378;-3.571;22.443;4.425;8.592;17.792;2.781;23.377;17.569;1.049;24.359;15.366;-1.080;30.462;14.137;-2.416;32.861;12.512;-3.140;34.459;11.189;-3.557;35.452;17.637;1.946;24.522;16.280;1.289;31.020;14.437;0.737;34.998;11.923;0.518;37.202;10.164;0.526;38.343;17.043;3.129;24.646;16.346;3.670;31.752;14.642;3.493;36.126;12.175;3.458;37.982;10.212;3.620;38.929;17.076;4.035;24.482;15.957;6.335;31.293;13.703;7.360;34.318;11.682;7.493;35.957;9.773;7.571;37.103;16.639;4.992;24.971;16.401;8.425;26.509;15.804;10.126;29.275;15.577;12.865;29.416;0.000;0.000;0.000;-7.533;-12.300;-0.747;-9.336;-33.215;-0.199;-11.453;-57.767;0.445;-9.840;-101.954;-7.695;7.655;-12.300;-1.590;9.455;-33.235;-0.294;11.568;-57.810;1.227;10.572;-102.236;-7.175
1148.000;45.920;-0.025;7.164;-0.213;-0.057;13.907;-0.465;-0.126;25.835;-0.975;-0.482;41.682;-2.229;-0.490;46.065;0.736;-0.143;52.555;1.799;-6.902;56.682;3.128;6.780;56.609;1.472;-2.421;58.742;10.097;4.112;58.708;9.306;-1.941;36.410;-3.399;-16.032;34.524;-1.883;-21.156;21.419;-2.518;-26.821;6.934;-3.219;-22.572;4.855;8.847;-17.760;2.185;23.003;-18.171;0.494;23.694;-14.238;-2.428;29.532;-12.822;-2.768;31.522;-11.459;-3.638;33.458;-10.358;-3.692;34.716;-18.160;1.322;23.869;-15.050;-0.160;30.588;-12.668;-0.232;33.919;-10.343;-0.146;35.811;-8.682;-0.239;37.001;-17.600;2.655;23.562;-14.721;2.411;31.221;-12.367;2.381;34.584;-9.572;2.338;36.422;-7.708;2.206;37.517;-17.779;3.720;23.529;-14.394;4.738;30.776;-11.454;4.677;33.287;-8.998;4.484;34.667;-7.184;3.972;35.510;-16.359;4.259;25.026;-15.083;7.222;26.640;-13.085;8.324;28.335;-13.256;10.773;29.670;1.285;36.488;-3.324;15.445;34.066;-1.601;20.712;20.436;-2.563;26.533;5.372;-3.627;22.483;4.399;8.547;17.879;2.731;23.349;17.659;0.986;24.323;15.504;-1.130;30.434;14.257;-2.498;32.822;12.626;-3.216;34.421;11.304;-3.638;35.413;17.721;1.884;24.484;16.382;1.234;30.994;14.513;0.668;34.959;11.962;0.432;37.127;10.203;0.437;38.270;17.126;3.072;24.625;16.433;3.601;31.724;14.686;3.416;36.081;12.193;3.377;37.899;10.212;3.528;38.810;17.155;3.978;24.462;16.050;6.269;31.270;13.769;7.276;34.283;11.743;7.398;35.913;9.820;7.448;37.040;16.705;4.937;24.933;16.457;8.367;26.496;15.847;10.068;29.265;15.600;12.805;29.400;0.000;0.000;0.000;-7.533;-12.301;-0.737;-9.341;-33.214;-0.187;-11.462;-57.763;0.458;-9.858;-101.955;-7.684;7.654;-12.301;-1.586;9.450;-33.234;-0.287;11.558;-57.808;1.237;10.552;-102.230;-7.172
1149.000;45.960;-0.025;7.162;-0.216;-0.057;13.904;-0.472;-0.123;25.829;-0.994;-0.480;41.676;-2.251;-0.483;46.063;0.718;-0.125;52.556;1.789;-6.882;56.683;3.126;6.798;56.611;1.450;-2.391;58.746;10.088;4.142;58.712;9.288;-1.941;36.404;-3.419;-16.029;34.512;-1.881;-21.139;21.405;-2.502;-26.786;6.918;-3.189;-22.590;4.876;8.899;-17.840;2.254;23.083;-18.260;0.569;23.784;-14.299;-2.356;29.591;-12.908;-2.683;31.548;-11.167;-3.434;33.310;-9.907;-3.424;34.409;-18.263;1.397;23.963;-15.114;-0.092;30.670;-12.723;-0.186;33.987;-10.279;-0.127;35.730;-8.530;-0.220;36.785;-17.680;2.723;23.648;-14.810;2.474;31.297;-12.308;2.425;34.561;-9.441;2.400;36.275;-7.528;2.259;37.279;-17.855;3.764;23.611;-14.478;4.813;30.848;-11.539;4.732;33.388;-9.172;4.539;34.870;-7.360;4.084;35.749;-16.417;4.327;25.104;-15.053;7.275;26.686;-12.969;8.302;28.333;-12.992;10.770;29.644;1.285;36.482;-3.347;15.444;34.060;-1.643;20.719;20.429;-2.600;26.549;5.363;-3.658;22.536;4.348;8.534;17.973;2.632;23.361;17.772;0.859;24.308;15.693;-1.286;30.419;14.420;-2.686;32.784;12.785;-3.418;34.375;11.459;-3.847;35.360;17.822;1.757;24.469;16.519;1.075;31.006;14.545;0.456;34.913;11.871;0.213;36.937;10.068;0.223;38.010;17.221;2.966;24.650;16.527;3.445;31.735;14.609;3.195;36.001;12.047;3.114;37.712;10.009;3.213;38.496;17.248;3.874;24.493;16.146;6.071;31.303;13.769;7.003;34.281;11.700;7.028;35.870;9.756;7.024;36.960;16.777;4.799;24.928;16.469;8.220;26.562;15.822;9.878;29.361;15.514;12.607;29.533;0.000;0.000;0.000;-7.532;-12.302;-0.733;-9.339;-33.212;-0.179;-11.460;-57.759;0.471;-9.853;-101.936;-7.679;7.655;-12.301;-1.582;9.451;-33.234;-0.276;11.559;-57.807;1.257;10.553;-102.230;-7.160
1150.000;46.000;-0.024;7.158;-0.221;-0.052;13.897;-0.479;-0.108;25.816;-1.000;-0.477;41.664;-2.243;-0.479;46.054;0.732;-0.113;52.557;1.807;-6.862;56.693;3.159;6.814;56.603;1.450;-2.351;58.752;10.110;4.179;58.709;9.294;-1.934;36.391;-3.415;-16.009;34.466;-1.868;-21.134;21.363;-2.446;-26.798;6.882;-3.084;-22.809;4.984;9.083;-18.329;2.558;23.371;-18.815;0.850;24.081;-14.820;-2.125;29.834;-13.370;-2.529;31.743;-11.173;-3.119;33.003;-9.642;-3.013;33.667;-18.781;1.678;24.247;-15.580;0.148;30.938;-13.035;-0.192;34.146;-10.296;-0.193;35.356;-8.322;-0.318;35.876;-18.175;3.068;23.922;-15.203;2.693;31.537;-12.490;2.485;34.640;-9.374;2.329;35.938;-7.344;2.069;36.644;-18.340;4.121;23.898;-14.899;5.029;31.141;-12.189;4.888;33.953;-10.098;4.632;35.799;-8.532;4.156;37.057;-16.764;4.645;25.432;-14.865;7.402;26.833;-12.464;8.033;28.289;-11.902;10.486;29.504;1.292;36.472;-3.344;15.448;34.065;-1.663;20.730;20.432;-2.613;26.567;5.364;-3.662;22.592;4.262;8.560;18.061;2.474;23.452;17.938;0.657;24.322;15.956;-1.718;30.369;14.717;-3.149;32.711;13.026;-3.889;34.240;11.656;-4.319;35.161;17.955;1.554;24.500;16.740;0.676;31.050;14.478;-0.086;34.775;11.557;-0.405;36.458;9.654;-0.426;37.340;17.357;2.646;24.793;16.631;3.001;31.820;14.380;2.528;35.887;11.658;2.336;37.314;9.539;2.384;37.847;17.324;3.554;24.650;16.122;5.562;31.473;13.580;6.102;34.416;11.442;5.898;35.881;9.464;5.693;36.887;16.777;4.526;25.083;16.229;7.814;26.977;15.374;9.197;29.870;14.714;11.824;30.357;0.000;0.000;0.000;-7.531;-12.303;-0.724;-9.342;-33.213;-0.164;-11.466;-57.760;0.493;-9.861;-101.947;-7.649;7.656;-12.302;-1.568;9.449;-33.234;-0.253;11.553;-57.808;1.291;10.548;-102.230;-7.132
1151.000;46.040;-0.021;7.154;-0.222;-0.036;13.887;-0.478;-0.055;25.799;-0.989;-0.462;41.648;-2.201;-0.477;46.046;0.795;-0.113;52.565;1.895;-6.845;56.718;3.278;6.820;56.595;1.483;-2.286;58.789;10.194;4.240;58.729;9.337;-1.903;36.374;-3.387;-15.954;34.370;-1.912;-21.272;21.317;-2.259;-27.149;6.891;-2.642;-23.523;5.477;9.672;-19.531;3.755;24.203;-20.292;2.060;24.912;-16.625;-1.350;30.591;-15.101;-2.078;32.346;-12.625;-2.713;32.775;-10.965;-2.547;32.662;-20.105;2.875;25.043;-16.980;0.982;31.729;-14.023;0.078;34.448;-11.033;-0.224;34.463;-9.078;-0.437;33.901;-19.294;4.298;24.739;-16.223;3.495;32.281;-13.161;2.692;34.956;-9.916;1.953;35.389;-7.838;1.343;35.374;-19.340;5.363;24.725;-15.812;5.787;31.972;-13.869;5.513;35.327;-12.532;5.221;37.769;-11.536;4.716;39.506;-17.592;5.610;26.244;-14.800;7.684;27.493;-12.174;7.518;28.711;-10.704;9.633;29.795;1.323;36.463;-3.309;15.478;34.116;-1.618;20.762;20.489;-2.552;26.604;5.427;-3.585;22.645;4.087;8.654;18.187;2.129;23.643;18.188;0.309;24.393;16.437;-2.553;30.240;15.083;-4.120;32.455;13.275;-4.920;33.815;11.827;-5.377;34.592;18.168;1.191;24.633;17.030;-0.266;31.081;14.338;-1.372;34.443;11.246;-1.949;35.657;9.244;-2.098;36.265;17.521;2.160;25.003;16.707;2.018;31.980;14.152;1.020;35.751;11.307;0.539;36.827;9.149;0.402;37.147;17.413;3.071;24.921;15.965;4.482;31.837;13.388;4.306;34.739;11.236;3.710;36.061;9.245;3.184;36.913;16.743;3.923;25.444;15.525;6.811;27.749;14.369;7.564;30.743;12.990;9.738;31.714;0.000;0.000;0.000;-7.528;-12.305;-0.721;-9.347;-33.214;-0.139;-11.482;-57.758;0.544;-9.883;-101.947;-7.586;7.660;-12.301;-1.559;9.444;-33.233;-0.218;11.537;-57.805;1.356;10.525;-102.228;-7.068
