Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
862.000;34.480;-0.276;7.411;-1.576;-0.525;14.565;-1.911;-0.953;27.452;-1.053;-1.421;43.344;-1.290;-1.095;47.394;1.803;-0.522;53.592;3.142;-7.344;57.718;4.100;6.394;57.668;2.995;-3.153;59.963;11.192;3.407;59.940;10.664;-2.996;38.146;-2.628;-16.793;35.949;0.660;-21.744;22.781;0.580;-27.216;8.226;0.493;-22.101;6.881;12.368;-16.297;5.205;26.341;-16.394;3.405;27.019;-12.606;1.669;33.238;-11.214;1.908;35.258;-9.567;1.903;37.333;-8.550;2.117;38.643;-16.537;4.229;27.144;-14.047;3.719;34.164;-11.658;4.282;37.490;-9.414;4.949;39.389;-7.851;5.224;40.680;-16.140;5.766;26.858;-14.236;6.156;34.597;-11.146;6.345;37.342;-8.400;7.066;39.137;-6.640;7.367;40.363;-16.570;6.709;26.772;-14.440;8.518;34.166;-11.735;9.035;36.887;-9.517;9.377;38.597;-7.803;9.274;39.744;-15.504;7.506;28.309;-15.169;10.695;29.860;-13.562;11.959;31.671;-13.458;14.471;32.891;0.221;38.237;-2.875;14.516;35.661;-2.121;19.801;22.127;-3.802;25.643;7.167;-5.661;22.826;7.705;6.808;19.700;8.035;22.107;19.580;6.260;23.073;18.313;4.448;29.437;17.142;3.584;32.007;15.302;3.171;33.779;14.131;3.082;35.016;19.660;7.162;23.198;19.433;6.752;29.894;17.477;6.097;33.784;15.192;5.938;36.195;13.678;5.901;37.646;19.246;8.499;23.407;19.544;8.922;30.582;18.147;8.517;34.975;16.143;8.375;37.263;14.570;8.527;38.774;19.315;9.406;23.262;19.430;11.473;30.437;18.616;11.777;34.195;17.287;11.526;36.408;15.960;11.458;38.197;18.822;10.288;23.798;19.042;13.566;25.847;18.960;15.074;28.743;19.258;17.723;29.425;0.000;0.000;0.000;-7.172;-12.188;2.936;-7.781;-29.717;13.197;-8.496;-50.295;25.242;-6.796;-95.211;34.690;7.898;-12.218;0.869;10.500;-30.181;11.711;13.555;-51.269;24.437;12.901;-95.291;34.122
863.000;34.520;-0.275;7.410;-1.578;-0.524;14.563;-1.915;-0.950;27.449;-1.061;-1.415;43.341;-1.300;-1.088;47.392;1.794;-0.517;53.590;3.134;-7.339;57.715;4.091;6.399;57.668;2.990;-3.151;59.961;11.185;3.410;59.938;10.659;-2.991;38.143;-2.637;-16.787;35.948;0.650;-21.740;22.782;0.562;-27.214;8.230;0.465;-22.092;6.882;12.336;-16.281;5.205;26.305;-16.381;3.406;26.983;-12.581;1.652;33.197;-11.199;1.907;35.222;-9.552;1.893;37.295;-8.529;2.111;38.600;-16.525;4.230;27.110;-14.027;3.716;34.127;-11.637;4.279;37.452;-9.386;4.945;39.351;-7.828;5.217;40.646;-16.122;5.771;26.821;-14.216;6.146;34.561;-11.122;6.348;37.303;-8.378;7.065;39.101;-6.619;7.364;40.328;-16.553;6.714;26.735;-14.423;8.515;34.131;-11.710;9.028;36.853;-9.493;9.362;38.565;-7.788;9.253;39.725;-15.480;7.506;28.275;-15.150;10.695;29.828;-13.542;11.956;31.637;-13.427;14.468;32.854;0.226;38.233;-2.885;14.521;35.654;-2.134;19.800;22.116;-3.812;25.634;7.153;-5.667;22.814;7.705;6.801;19.685;8.054;22.097;19.558;6.261;23.059;18.303;4.479;29.430;17.116;3.623;32.005;15.281;3.216;33.778;14.109;3.130;35.015;19.627;7.164;23.181;19.412;6.779;29.887;17.463;6.144;33.780;15.175;5.981;36.194;13.662;5.952;37.646;19.231;8.524;23.395;19.529;8.950;30.571;18.126;8.553;34.964;16.126;8.415;37.254;14.549;8.572;38.758;19.303;9.431;23.249;19.411;11.505;30.425;18.594;11.812;34.179;17.266;11.567;36.391;15.927;11.497;38.172;18.806;10.312;23.793;19.030;13.591;25.828;18.951;15.100;28.725;19.247;17.751;29.403;0.000;0.000;0.000;-7.172;-12.187;2.940;-7.782;-29.716;13.202;-8.498;-50.294;25.248;-6.802;-95.209;34.697;7.898;-12.218;0.872;10.500;-30.180;11.715;13.555;-51.267;24.444;12.901;-95.290;34.128
864.000;34.560;-0.274;7.407;-1.583;-0.521;14.557;-1.928;-0.943;27.440;-1.088;-1.400;43.332;-1.333;-1.071;47.386;1.765;-0.501;53.585;3.114;-7.324;57.708;4.070;6.414;57.664;2.972;-3.138;59.953;11.165;3.422;59.932;10.641;-2.979;38.133;-2.667;-16.775;35.942;0.624;-21.735;22.783;0.505;-27.217;8.238;0.373;-22.077;6.901;12.238;-16.244;5.238;26.199;-16.342;3.446;26.878;-12.545;1.685;33.087;-11.167;1.945;35.114;-9.524;1.924;37.189;-8.499;2.148;38.491;-16.491;4.269;27.006;-13.978;3.746;34.014;-11.583;4.314;37.335;-9.343;4.995;39.241;-7.782;5.263;40.535;-16.087;5.801;26.713;-14.169;6.181;34.452;-11.068;6.392;37.177;-8.306;7.120;38.963;-6.553;7.413;40.201;-16.516;6.746;26.627;-14.378;8.549;34.022;-11.662;9.044;36.749;-9.451;9.367;38.467;-7.749;9.242;39.629;-15.434;7.541;28.170;-15.094;10.729;29.723;-13.477;11.984;31.524;-13.342;14.492;32.749;0.238;38.222;-2.916;14.530;35.636;-2.179;19.797;22.091;-3.838;25.619;7.119;-5.672;22.789;7.697;6.792;19.647;8.077;22.086;19.511;6.270;23.046;18.288;4.523;29.417;17.056;3.676;31.999;15.222;3.275;33.775;14.053;3.192;35.014;19.574;7.174;23.164;19.364;6.813;29.876;17.396;6.219;33.767;15.100;6.064;36.177;13.578;6.059;37.620;19.192;8.547;23.383;19.488;8.990;30.555;18.053;8.607;34.945;16.044;8.476;37.224;14.454;8.647;38.714;19.266;9.453;23.235;19.361;11.544;30.406;18.528;11.847;34.151;17.184;11.608;36.357;15.829;11.540;38.125;18.774;10.338;23.783;18.993;13.620;25.806;18.911;15.130;28.689;19.210;17.775;29.386;0.000;0.000;0.000;-7.173;-12.184;2.951;-7.785;-29.711;13.217;-8.503;-50.287;25.267;-6.814;-95.204;34.714;7.897;-12.218;0.879;10.498;-30.178;11.727;13.552;-51.261;24.462;12.893;-95.285;34.145
865.000;34.600;-0.272;7.403;-1.589;-0.517;14.552;-1.940;-0.936;27.431;-1.115;-1.390;43.323;-1.368;-1.059;47.381;1.736;-0.485;53.581;3.098;-7.306;57.708;4.061;6.432;57.657;2.947;-3.111;59.952;11.150;3.450;59.928;10.619;-2.970;38.125;-2.700;-16.764;35.937;0.597;-21.731;22.784;0.456;-27.221;8.245;0.301;-22.064;6.951;12.161;-16.213;5.339;26.119;-16.309;3.551;26.801;-12.540;1.809;33.013;-11.148;2.065;35.041;-9.526;2.049;37.123;-8.503;2.283;38.425;-16.459;4.373;26.929;-13.946;3.849;33.933;-11.539;4.428;37.242;-9.333;5.117;39.174;-7.768;5.388;40.463;-16.062;5.884;26.635;-14.135;6.286;34.365;-11.018;6.503;37.070;-8.242;7.249;38.838;-6.492;7.537;40.081;-16.489;6.830;26.547;-14.347;8.655;33.937;-11.651;9.136;36.679;-9.440;9.451;38.411;-7.740;9.316;39.574;-15.392;7.643;28.095;-14.987;10.823;29.640;-13.342;12.056;31.423;-13.111;14.538;32.686;0.247;38.213;-2.949;14.536;35.626;-2.223;19.812;22.079;-3.851;25.643;7.106;-5.651;22.785;7.649;6.815;19.607;7.983;22.115;19.472;6.185;23.073;18.232;4.405;29.427;17.007;3.549;32.005;15.163;3.143;33.772;13.990;3.053;35.008;19.542;7.089;23.194;19.313;6.694;29.893;17.290;6.098;33.763;14.975;5.939;36.153;13.447;5.928;37.590;19.152;8.432;23.418;19.422;8.874;30.579;17.948;8.488;34.954;15.910;8.346;37.202;14.302;8.505;38.675;19.217;9.339;23.273;19.296;11.418;30.436;18.406;11.691;34.172;17.025;11.431;36.354;15.640;11.365;38.098;18.740;10.235;23.823;18.929;13.510;25.855;18.834;15.007;28.736;19.122;17.648;29.455;0.000;0.000;0.000;-7.177;-12.179;2.961;-7.789;-29.705;13.229;-8.509;-50.279;25.282;-6.826;-95.199;34.726;7.892;-12.220;0.887;10.492;-30.178;11.737;13.545;-51.258;24.475;12.878;-95.282;34.159
866.000;34.640;-0.271;7.400;-1.594;-0.514;14.547;-1.953;-0.932;27.423;-1.142;-1.392;43.315;-1.401;-1.058;47.378;1.711;-0.474;53.580;3.090;-7.286;57.714;4.085;6.446;57.648;2.905;-3.054;59.957;11.153;3.503;59.925;10.590;-2.970;38.115;-2.731;-16.762;35.930;0.568;-21.725;22.785;0.429;-27.211;8.257;0.275;-22.020;7.051;12.123;-16.123;5.549;26.069;-16.222;3.757;26.747;-12.474;1.997;32.968;-11.092;2.265;35.005;-9.506;2.251;37.096;-8.480;2.492;38.394;-16.368;4.580;26.874;-13.888;4.051;33.887;-11.480;4.636;37.196;-9.304;5.305;39.167;-7.759;5.571;40.480;-15.976;6.094;26.586;-14.067;6.484;34.317;-10.945;6.703;37.025;-8.179;7.428;38.804;-6.424;7.719;40.040;-16.403;7.039;26.497;-14.271;8.856;33.892;-11.610;9.300;36.673;-9.406;9.586;38.431;-7.718;9.483;39.614;-15.266;7.847;28.056;-14.768;11.017;29.590;-13.054;12.186;31.364;-12.609;14.599;32.700;0.247;38.204;-2.980;14.533;35.623;-2.259;19.853;22.082;-3.843;25.732;7.115;-5.595;22.806;7.523;6.879;19.545;7.693;22.186;19.420;5.902;23.126;18.157;4.024;29.447;16.936;3.144;32.011;15.087;2.712;33.759;13.901;2.615;34.982;19.497;6.804;23.259;19.249;6.306;29.945;17.153;5.684;33.777;14.777;5.478;36.117;13.236;5.462;37.541;19.076;8.116;23.499;19.321;8.490;30.650;17.807;8.045;35.007;15.693;7.892;37.188;14.045;8.021;38.619;19.132;9.025;23.364;19.179;11.027;30.529;18.206;11.234;34.248;16.784;10.929;36.393;15.338;10.837;38.087;18.660;9.916;23.911;18.820;13.164;25.990;18.713;14.636;28.899;18.988;17.272;29.637;0.000;0.000;0.000;-7.180;-12.175;2.971;-7.792;-29.701;13.239;-8.511;-50.274;25.293;-6.831;-95.198;34.734;7.889;-12.222;0.895;10.488;-30.176;11.746;13.539;-51.253;24.484;12.869;-95.277;34.169
867.000;34.680;-0.271;7.397;-1.599;-0.516;14.541;-1.964;-0.939;27.414;-1.168;-1.420;43.306;-1.428;-1.085;47.373;1.699;-0.482;53.576;3.105;-7.276;57.727;4.146;6.445;57.630;2.856;-2.984;59.974;11.176;3.569;59.927;10.560;-2.991;38.104;-2.758;-16.780;35.921;0.528;-21.727;22.784;0.431;-27.194;8.265;0.324;-21.926;7.262;12.138;-15.932;6.010;26.050;-16.036;4.232;26.741;-12.359;2.487;33.004;-11.000;2.777;35.059;-9.484;2.779;37.205;-8.493;3.013;38.531;-16.171;5.059;26.858;-13.751;4.570;33.887;-11.390;5.158;37.236;-9.262;5.805;39.271;-7.768;6.040;40.648;-15.791;6.557;26.558;-13.909;7.018;34.298;-10.825;7.214;37.060;-8.089;7.876;38.898;-6.349;8.176;40.152;-16.207;7.520;26.452;-14.082;9.393;33.849;-11.501;9.812;36.713;-9.347;10.076;38.547;-7.721;9.988;39.816;-15.031;8.325;28.008;-14.411;11.515;29.478;-12.513;12.569;31.223;-11.779;14.829;32.694;0.226;38.197;-3.005;14.508;35.640;-2.282;19.919;22.118;-3.791;25.900;7.173;-5.459;22.827;7.275;7.021;19.395;7.073;22.332;19.310;5.272;23.228;18.031;3.233;29.494;16.801;2.298;32.029;14.948;1.813;33.756;13.749;1.691;34.964;19.374;6.171;23.382;19.095;5.504;30.051;16.907;4.841;33.824;14.428;4.546;36.044;12.818;4.494;37.388;18.894;7.445;23.667;19.126;7.682;30.792;17.540;7.124;35.127;15.302;6.912;37.198;13.578;7.008;38.538;18.930;8.358;23.551;18.898;10.205;30.726;17.807;10.301;34.407;16.300;9.918;36.475;14.759;9.750;38.076;18.409;9.223;24.065;18.507;12.400;26.296;18.371;13.787;29.255;18.582;16.403;30.080;0.000;0.000;0.000;-7.181;-12.173;2.978;-7.796;-29.697;13.249;-8.517;-50.269;25.307;-6.841;-95.200;34.747;7.888;-12.222;0.902;10.485;-30.175;11.756;13.533;-51.249;24.496;12.860;-95.274;34.183
868.000;34.720;-0.270;7.396;-1.603;-0.519;14.538;-1.978;-0.952;27.409;-1.204;-1.472;43.299;-1.449;-1.139;47.370;1.699;-0.513;53.572;3.143;-7.281;57.753;4.237;6.427;57.598;2.809;-2.908;60.009;11.215;3.638;59.935;10.533;-3.028;38.095;-2.787;-16.808;35.898;0.447;-21.736;22.756;0.580;-27.183;8.230;0.727;-21.764;7.775;12.456;-15.602;7.169;26.269;-15.765;5.470;27.064;-12.133;3.920;33.418;-10.799;4.253;35.478;-9.398;4.284;37.702;-8.486;4.536;39.081;-15.868;6.306;27.140;-13.401;6.103;34.167;-11.158;6.752;37.597;-9.178;7.375;39.774;-7.818;7.614;41.282;-15.455;7.772;26.727;-13.406;8.557;34.482;-10.483;8.746;37.396;-7.878;9.348;39.409;-6.185;9.628;40.730;-15.847;8.768;26.565;-13.531;10.904;33.886;-11.053;11.342;36.853;-9.039;11.588;38.868;-7.597;11.469;40.341;-14.568;9.585;28.112;-13.704;12.818;29.337;-11.594;13.764;31.000;-10.479;15.878;32.448;0.189;38.197;-3.029;14.468;35.683;-2.275;20.019;22.197;-3.679;26.154;7.292;-5.231;22.829;6.866;7.234;19.096;6.028;22.526;19.115;4.202;23.345;17.926;1.816;29.482;16.743;0.767;31.977;14.913;0.149;33.685;13.706;-0.074;34.870;19.127;5.095;23.538;18.876;4.112;30.149;16.601;3.218;33.823;14.038;2.705;35.905;12.363;2.508;37.151;18.583;6.274;23.885;18.761;6.263;30.980;17.069;5.447;35.229;14.809;5.004;37.224;13.020;4.943;38.478;18.552;7.191;23.805;18.345;8.749;31.031;17.096;8.576;34.661;15.537;7.980;36.616;13.918;7.603;38.101;17.907;8.020;24.301;17.795;11.027;26.811;17.564;12.191;29.857;17.526;14.738;30.898;0.000;0.000;0.000;-7.184;-12.170;2.980;-7.802;-29.691;13.257;-8.527;-50.260;25.321;-6.856;-95.189;34.763;7.885;-12.223;0.909;10.479;-30.172;11.766;13.525;-51.242;24.511;12.847;-95.268;34.198
869.000;34.760;-0.268;7.392;-1.609;-0.519;14.532;-1.992;-0.961;27.397;-1.239;-1.529;43.286;-1.465;-1.211;47.361;1.709;-0.581;53.569;3.198;-7.305;57.808;4.331;6.388;57.537;2.784;-2.853;60.063;11.259;3.685;59.934;10.520;-3.063;38.078;-2.816;-16.846;35.869;0.304;-21.746;22.702;0.946;-27.162;8.148;1.655;-21.566;8.784;13.209;-15.203;9.470;26.830;-15.487;7.889;27.801;-11.847;6.682;34.260;-10.609;7.104;36.345;-9.410;7.201;38.694;-8.675;7.484;40.169;-15.518;8.735;27.792;-12.817;9.046;34.756;-10.687;9.780;38.239;-8.990;10.411;40.608;-7.818;10.694;42.260;-15.042;10.158;27.190;-12.603;11.533;34.887;-10.014;11.697;38.080;-7.593;12.290;40.364;-6.115;12.534;41.928;-15.365;11.186;26.949;-12.543;13.717;34.050;-10.228;14.197;37.154;-8.539;14.473;39.425;-7.350;14.360;41.110;-13.839;12.002;28.435;-12.492;15.200;29.243;-10.157;15.977;30.740;-8.566;17.956;31.905;0.155;38.190;-3.045;14.431;35.720;-2.174;20.149;22.282;-3.470;26.470;7.429;-4.902;22.768;6.319;7.474;18.558;4.657;22.665;18.732;2.804;23.347;17.731;-0.171;29.212;16.629;-1.517;31.587;14.833;-2.462;33.200;13.651;-2.905;34.347;18.654;3.675;23.615;18.420;2.089;30.089;16.166;0.638;33.586;13.618;-0.334;35.548;11.967;-0.796;36.756;18.020;4.749;24.020;18.073;4.147;31.095;16.364;2.785;35.195;14.166;1.932;37.116;12.409;1.560;38.362;17.897;5.662;24.014;17.349;6.561;31.354;16.047;5.891;34.903;14.534;4.960;36.732;12.937;4.282;38.131;17.142;6.375;24.565;16.600;9.056;27.388;16.150;9.834;30.539;15.733;12.219;31.847;0.000;0.000;0.000;-7.190;-12.167;2.980;-7.810;-29.686;13.262;-8.537;-50.253;25.332;-6.866;-95.180;34.777;7.881;-12.225;0.924;10.472;-30.170;11.781;13.514;-51.235;24.525;12.837;-95.261;34.212
870.000;34.800;-0.267;7.388;-1.613;-0.521;14.523;-2.004;-0.973;27.381;-1.269;-1.595;43.268;-1.499;-1.311;47.355;1.702;-0.705;53.571;3.239;-7.375;57.891;4.385;6.305;57.459;2.767;-2.862;60.132;11.278;3.671;59.926;10.505;-3.102;38.055;-2.860;-16.904;35.870;0.110;-21.715;22.696;1.614;-27.033;8.136;3.276;-21.297;10.519;14.441;-14.744;13.306;27.614;-15.260;11.937;28.784;-11.929;11.227;35.469;-10.856;11.839;37.567;-9.895;12.193;40.029;-9.381;12.617;41.563;-15.188;12.770;28.654;-12.506;13.736;35.579;-10.584;14.585;39.118;-9.351;15.393;41.688;-8.472;15.798;43.489;-14.564;14.018;27.892;-12.063;16.194;35.437;-10.002;16.537;38.979;-7.962;17.261;41.627;-6.928;17.666;43.487;-14.711;15.051;27.490;-11.631;18.141;34.329;-9.720;18.815;37.653;-8.533;19.269;40.175;-7.714;19.310;42.070;-13.001;15.810;28.929;-10.927;18.736;29.449;-8.444;19.123;30.895;-6.408;20.789;31.837;0.117;38.179;-3.067;14.380;35.769;-2.033;20.283;22.386;-3.190;26.807;7.594;-4.468;22.639;5.643;7.719;17.854;2.961;22.675;18.162;1.087;23.188;17.241;-2.526;28.664;16.247;-4.222;30.855;14.509;-5.534;32.321;13.423;-6.243;33.430;17.985;1.914;23.534;17.591;-0.360;29.786;15.350;-2.389;32.979;12.956;-3.851;34.814;11.382;-4.625;35.964;17.244;2.914;23.986;17.003;1.521;30.985;15.334;-0.469;34.841;13.230;-1.777;36.610;11.544;-2.490;37.805;17.040;3.809;24.066;15.982;3.790;31.469;14.716;2.635;34.892;13.294;1.348;36.578;11.767;0.398;37.894;16.154;4.352;24.672;15.125;6.598;27.739;14.408;6.941;30.926;13.659;9.100;32.460;0.000;0.000;0.000;-7.194;-12.166;2.976;-7.814;-29.684;13.262;-8.543;-50.250;25.336;-6.874;-95.178;34.782;7.881;-12.224;0.940;10.469;-30.166;11.795;13.508;-51.229;24.537;12.834;-95.255;34.221
