Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
551.000;22.040;0.099;7.278;-0.191;0.123;14.131;-0.315;0.080;26.257;-0.464;0.013;42.134;-1.326;-0.070;46.430;1.746;0.348;52.863;3.012;-6.562;56.896;3.694;7.214;57.018;3.282;-2.760;59.065;11.024;3.818;59.123;10.828;-1.461;36.916;-2.703;-15.529;35.401;-1.903;-20.700;22.629;-3.825;-26.416;8.513;-5.949;-22.989;6.973;6.372;-19.208;5.092;20.798;-19.543;3.357;21.611;-16.799;1.669;28.444;-15.685;1.907;30.636;-14.175;1.824;32.782;-13.183;2.145;34.089;-19.676;4.190;21.678;-18.306;3.913;29.012;-16.471;4.500;32.667;-14.057;5.181;34.374;-12.240;5.534;35.243;-19.100;5.537;21.303;-18.517;6.467;29.358;-16.767;6.879;33.122;-13.818;7.288;34.666;-11.743;7.471;35.258;-19.393;6.530;21.070;-18.458;8.785;28.688;-16.631;9.508;31.944;-14.302;9.824;33.587;-12.468;9.661;34.522;-18.463;7.480;22.776;-18.295;10.779;24.006;-16.909;12.118;25.908;-16.827;14.691;26.997;1.758;36.943;-2.466;15.821;34.367;-0.030;21.282;20.855;-1.310;27.318;5.921;-2.724;22.761;4.907;9.233;17.629;3.342;23.851;17.223;1.557;24.819;15.265;-0.247;31.141;13.763;-1.249;33.588;11.507;-1.115;34.645;9.847;-0.831;34.916;17.332;2.454;24.959;16.319;1.966;31.582;14.217;1.561;35.482;11.061;1.903;36.738;9.057;2.321;37.194;16.926;3.731;25.116;16.545;4.329;32.259;14.739;4.163;36.585;11.887;4.424;37.798;9.735;4.796;37.874;17.034;4.631;24.956;16.383;6.976;31.861;14.552;7.824;35.062;12.276;7.756;36.298;10.116;7.763;36.846;16.662;5.625;25.426;16.730;9.082;26.985;15.727;10.660;29.671;15.276;13.295;30.323;0.000;0.000;0.000;-7.703;-12.161;-1.170;-10.268;-32.810;-0.268;-13.279;-57.050;0.791;-12.947;-101.422;-7.348;7.505;-12.448;-1.067;9.337;-33.050;-0.218;11.489;-57.235;0.779;11.331;-101.609;-9.056
552.000;22.080;0.094;7.278;-0.193;0.111;14.131;-0.320;0.050;26.257;-0.477;-0.037;42.134;-1.350;-0.118;46.430;1.719;0.298;52.863;2.976;-6.612;56.891;3.682;7.162;57.023;3.219;-2.784;59.065;10.998;3.794;59.128;10.776;-1.508;36.913;-2.719;-15.569;35.384;-1.891;-20.730;22.605;-3.787;-26.434;8.480;-5.881;-22.977;6.962;6.433;-19.160;5.112;20.852;-19.482;3.337;21.657;-16.749;1.695;28.503;-15.615;1.940;30.687;-14.133;1.865;32.832;-13.115;2.210;34.112;-19.603;4.172;21.715;-18.254;3.965;29.068;-16.413;4.538;32.716;-14.001;5.232;34.417;-12.178;5.574;35.277;-19.076;5.525;21.363;-18.449;6.489;29.407;-16.714;6.903;33.177;-13.758;7.355;34.695;-11.680;7.534;35.277;-19.358;6.521;21.126;-18.416;8.816;28.737;-16.590;9.536;32.000;-14.287;9.847;33.651;-12.459;9.698;34.599;-18.408;7.499;22.829;-18.248;10.800;24.050;-16.850;12.145;25.929;-16.792;14.698;27.064;1.711;36.943;-2.489;15.783;34.389;-0.084;21.264;20.885;-1.366;27.321;5.960;-2.782;22.791;4.952;9.186;17.696;3.393;23.815;17.283;1.605;24.786;15.370;-0.171;31.126;13.869;-1.196;33.579;11.600;-1.041;34.627;9.938;-0.772;34.896;17.388;2.502;24.925;16.403;2.028;31.555;14.323;1.626;35.466;11.154;1.961;36.714;9.151;2.373;37.182;16.989;3.776;25.086;16.629;4.381;32.227;14.811;4.216;36.542;11.961;4.479;37.756;9.810;4.860;37.837;17.090;4.676;24.924;16.468;7.033;31.825;14.642;7.879;35.029;12.346;7.800;36.257;10.193;7.816;36.829;16.717;5.683;25.405;16.801;9.135;26.948;15.799;10.723;29.648;15.345;13.363;30.280;0.000;0.000;0.000;-7.700;-12.165;-1.156;-10.262;-32.809;-0.268;-13.270;-57.042;0.775;-12.952;-101.418;-7.393;7.509;-12.445;-1.081;9.344;-33.047;-0.242;11.498;-57.231;0.743;11.325;-101.604;-9.108
553.000;22.120;0.090;7.277;-0.195;0.101;14.129;-0.325;0.028;26.255;-0.489;-0.076;42.130;-1.374;-0.155;46.431;1.692;0.255;52.867;2.943;-6.653;56.894;3.679;7.118;57.029;3.149;-2.791;59.077;10.973;3.786;59.142;10.720;-1.546;36.907;-2.736;-15.604;35.368;-1.871;-20.758;22.582;-3.745;-26.455;8.451;-5.816;-22.976;6.954;6.493;-19.134;5.127;20.907;-19.457;3.369;21.719;-16.708;1.709;28.560;-15.571;1.953;30.744;-14.064;1.886;32.877;-13.040;2.223;34.156;-19.582;4.204;21.778;-18.227;3.985;29.127;-16.390;4.580;32.781;-13.968;5.269;34.464;-12.137;5.624;35.302;-19.041;5.573;21.406;-18.403;6.531;29.460;-16.669;6.934;33.218;-13.726;7.369;34.747;-11.634;7.557;35.275;-19.339;6.560;21.172;-18.384;8.839;28.792;-16.578;9.584;32.044;-14.249;9.887;33.698;-12.423;9.742;34.651;-18.417;7.514;22.864;-18.215;10.819;24.096;-16.821;12.170;25.982;-16.741;14.729;27.102;1.674;36.941;-2.514;15.751;34.406;-0.143;21.248;20.908;-1.426;27.323;5.989;-2.843;22.822;4.996;9.138;17.762;3.456;23.784;17.354;1.671;24.761;15.429;-0.113;31.093;13.951;-1.130;33.550;11.689;-0.974;34.603;10.024;-0.697;34.852;17.459;2.568;24.900;16.484;2.098;31.524;14.400;1.697;35.442;11.230;2.030;36.673;9.220;2.440;37.110;17.057;3.840;25.055;16.707;4.466;32.193;14.883;4.299;36.503;12.031;4.558;37.723;9.879;4.937;37.769;17.159;4.740;24.891;16.529;7.102;31.786;14.687;7.944;34.979;12.397;7.861;36.201;10.243;7.871;36.771;16.794;5.737;25.350;16.841;9.204;26.897;15.820;10.794;29.601;15.355;13.439;30.205;0.000;0.000;0.000;-7.698;-12.167;-1.139;-10.255;-32.812;-0.261;-13.256;-57.048;0.770;-12.946;-101.415;-7.428;7.510;-12.442;-1.097;9.351;-33.045;-0.262;11.513;-57.230;0.718;11.327;-101.602;-9.135
554.000;22.160;0.086;7.276;-0.195;0.092;14.128;-0.330;0.006;26.251;-0.505;-0.121;42.126;-1.394;-0.199;46.429;1.672;0.205;52.869;2.919;-6.706;56.888;3.677;7.064;57.041;3.094;-2.818;59.082;10.955;3.757;59.155;10.677;-1.586;36.901;-2.752;-15.642;35.346;-1.859;-20.794;22.559;-3.721;-26.489;8.426;-5.778;-23.004;6.949;6.532;-19.155;5.145;20.946;-19.473;3.399;21.762;-16.726;1.757;28.602;-15.604;2.007;30.792;-14.034;1.927;32.907;-13.034;2.254;34.208;-19.605;4.233;21.822;-18.247;4.031;29.170;-16.394;4.640;32.812;-13.967;5.323;34.483;-12.139;5.686;35.324;-19.059;5.571;21.454;-18.443;6.577;29.494;-16.689;6.978;33.257;-13.728;7.435;34.760;-11.638;7.608;35.300;-19.346;6.560;21.216;-18.413;8.867;28.821;-16.599;9.607;32.075;-14.278;9.936;33.719;-12.428;9.790;34.625;-18.439;7.534;22.894;-18.253;10.850;24.120;-16.851;12.200;26.011;-16.764;14.764;27.118;1.634;36.939;-2.536;15.716;34.419;-0.193;21.228;20.929;-1.473;27.320;6.020;-2.888;22.843;5.037;9.100;17.809;3.515;23.758;17.407;1.719;24.734;15.481;-0.038;31.081;14.007;-1.066;33.528;11.747;-0.921;34.575;10.081;-0.646;34.817;17.509;2.618;24.869;16.540;2.177;31.506;14.416;1.759;35.395;11.246;2.114;36.607;9.236;2.538;37.029;17.100;3.907;25.032;16.771;4.547;32.161;14.904;4.365;36.469;12.050;4.630;37.662;9.899;5.015;37.689;17.201;4.807;24.868;16.588;7.185;31.751;14.728;8.004;34.946;12.449;7.938;36.164;10.279;7.926;36.674;16.841;5.802;25.331;16.873;9.267;26.865;15.836;10.850;29.547;15.353;13.485;30.174;0.000;0.000;0.000;-7.696;-12.170;-1.126;-10.249;-32.813;-0.248;-13.247;-57.046;0.781;-12.945;-101.412;-7.437;7.513;-12.439;-1.110;9.357;-33.042;-0.277;11.521;-57.227;0.700;11.322;-101.599;-9.152
555.000;22.200;0.084;7.275;-0.198;0.086;14.125;-0.338;-0.010;26.246;-0.528;-0.148;42.121;-1.420;-0.226;46.426;1.647;0.170;52.873;2.890;-6.743;56.882;3.673;7.023;57.055;3.033;-2.829;59.091;10.932;3.745;59.174;10.626;-1.613;36.894;-2.774;-15.665;35.324;-1.856;-20.817;22.535;-3.707;-26.512;8.399;-5.752;-23.027;6.939;6.560;-19.178;5.159;20.977;-19.494;3.394;21.792;-16.741;1.755;28.637;-15.619;2.015;30.822;-14.085;1.961;32.934;-13.056;2.313;34.205;-19.621;4.229;21.847;-18.292;4.052;29.199;-16.425;4.684;32.836;-13.988;5.380;34.504;-12.161;5.729;35.352;-19.079;5.576;21.486;-18.444;6.619;29.519;-16.718;6.999;33.283;-13.747;7.464;34.769;-11.658;7.647;35.312;-19.365;6.569;21.243;-18.435;8.894;28.849;-16.625;9.623;32.100;-14.311;9.960;33.743;-12.463;9.813;34.651;-18.458;7.550;22.922;-18.263;10.861;24.139;-16.863;12.220;26.008;-16.784;14.769;27.152;1.608;36.934;-2.564;15.696;34.425;-0.250;21.214;20.938;-1.539;27.312;6.032;-2.964;22.862;5.066;9.037;17.863;3.563;23.709;17.469;1.766;24.690;15.543;0.014;31.043;14.084;-1.004;33.498;11.824;-0.857;34.543;10.159;-0.577;34.786;17.573;2.665;24.824;16.611;2.232;31.462;14.483;1.825;35.343;11.333;2.167;36.573;9.320;2.646;36.921;17.169;3.957;24.978;16.845;4.608;32.115;14.991;4.438;36.430;12.138;4.729;37.616;9.980;5.078;37.621;17.271;4.857;24.813;16.659;7.241;31.699;14.829;8.077;34.902;12.540;8.010;36.125;10.375;8.007;36.653;16.889;5.847;25.282;16.926;9.321;26.812;15.890;10.910;29.503;15.368;13.548;30.089;0.000;0.000;0.000;-7.696;-12.171;-1.112;-10.245;-32.812;-0.245;-13.238;-57.043;0.774;-12.942;-101.405;-7.475;7.513;-12.438;-1.122;9.363;-33.039;-0.292;11.536;-57.223;0.683;11.330;-101.595;-9.176
556.000;22.240;0.080;7.272;-0.199;0.075;14.119;-0.346;-0.033;26.235;-0.552;-0.190;42.110;-1.450;-0.270;46.422;1.618;0.113;52.877;2.859;-6.801;56.881;3.664;6.963;57.065;2.971;-2.860;59.101;10.906;3.712;59.189;10.575;-1.651;36.881;-2.800;-15.698;35.294;-1.860;-20.850;22.506;-3.708;-26.544;8.373;-5.751;-23.062;6.932;6.564;-19.215;5.174;20.982;-19.535;3.428;21.805;-16.790;1.801;28.653;-15.665;2.060;30.843;-14.133;1.996;32.957;-13.099;2.333;34.227;-19.668;4.261;21.861;-18.335;4.075;29.210;-16.476;4.743;32.843;-14.034;5.440;34.509;-12.201;5.773;35.351;-19.106;5.583;21.495;-18.511;6.630;29.517;-16.753;7.045;33.277;-13.773;7.537;34.750;-11.691;7.732;35.311;-19.396;6.573;21.250;-18.500;8.914;28.853;-16.674;9.660;32.100;-14.370;9.992;33.746;-12.513;9.843;34.636;-18.506;7.564;22.920;-18.298;10.885;24.147;-16.889;12.226;26.022;-16.789;14.779;27.154;1.570;36.925;-2.595;15.661;34.431;-0.305;21.183;20.947;-1.603;27.285;6.043;-3.037;22.862;5.090;8.976;17.898;3.600;23.660;17.502;1.797;24.640;15.609;0.048;30.992;14.170;-0.974;33.462;11.891;-0.826;34.505;10.229;-0.535;34.756;17.600;2.696;24.770;16.682;2.267;31.415;14.553;1.883;35.300;11.394;2.232;36.511;9.379;2.664;36.901;17.200;3.971;24.941;16.912;4.638;32.063;15.042;4.467;36.381;12.180;4.752;37.552;10.024;5.112;37.568;17.291;4.872;24.772;16.711;7.277;31.646;14.877;8.109;34.855;12.590;8.033;36.082;10.431;8.035;36.633;16.915;5.890;25.225;16.923;9.370;26.758;15.868;10.945;29.445;15.321;13.576;30.039;0.000;0.000;0.000;-7.692;-12.175;-1.102;-10.243;-32.817;-0.233;-13.236;-57.049;0.787;-12.946;-101.404;-7.485;7.517;-12.435;-1.131;9.369;-33.036;-0.303;11.542;-57.219;0.669;11.329;-101.592;-9.190
557.000;22.280;0.078;7.270;-0.202;0.069;14.114;-0.354;-0.052;26.226;-0.573;-0.223;42.100;-1.476;-0.304;46.417;1.593;0.073;52.878;2.834;-6.840;56.878;3.659;6.921;57.071;2.918;-2.877;59.107;10.885;3.695;59.199;10.532;-1.682;36.870;-2.822;-15.724;35.269;-1.867;-20.870;22.477;-3.712;-26.557;8.338;-5.751;-23.079;6.934;6.568;-19.234;5.219;20.991;-19.567;3.467;21.810;-16.855;1.844;28.672;-15.725;2.128;30.860;-14.213;2.074;32.972;-13.154;2.440;34.213;-19.696;4.301;21.863;-18.397;4.148;29.221;-16.531;4.822;32.851;-14.096;5.512;34.525;-12.271;5.874;35.375;-19.121;5.645;21.501;-18.540;6.686;29.507;-16.750;7.176;33.239;-13.779;7.663;34.727;-11.696;7.850;35.292;-19.408;6.640;21.253;-18.539;8.984;28.840;-16.702;9.706;32.094;-14.394;10.050;33.750;-12.552;9.919;34.674;-18.488;7.609;22.923;-18.307;10.937;24.159;-16.871;12.264;26.030;-16.765;14.820;27.155;1.540;36.916;-2.621;15.636;34.431;-0.350;21.155;20.949;-1.664;27.256;6.049;-3.116;22.856;5.119;8.906;17.919;3.660;23.601;17.544;1.869;24.579;15.699;0.105;30.940;14.267;-0.917;33.426;12.008;-0.783;34.497;10.342;-0.509;34.743;17.647;2.767;24.711;16.752;2.336;31.354;14.692;1.926;35.294;11.518;2.257;36.527;9.513;2.710;36.944;17.220;4.040;24.885;16.960;4.702;32.008;15.112;4.539;36.321;12.266;4.776;37.527;10.112;5.143;37.560;17.311;4.941;24.717;16.749;7.323;31.597;14.915;8.149;34.798;12.622;8.056;36.028;10.463;8.027;36.579;16.933;5.955;25.193;16.888;9.424;26.716;15.798;10.985;29.404;15.181;13.605;29.976;0.000;0.000;0.000;-7.692;-12.175;-1.095;-10.241;-32.816;-0.230;-13.234;-57.046;0.785;-12.949;-101.398;-7.505;7.517;-12.435;-1.137;9.372;-33.035;-0.313;11.549;-57.218;0.655;11.334;-101.587;-9.207
558.000;22.320;0.075;7.266;-0.204;0.062;14.107;-0.364;-0.066;26.212;-0.604;-0.250;42.086;-1.514;-0.330;46.409;1.559;0.045;52.879;2.802;-6.869;56.874;3.648;6.889;57.078;2.859;-2.882;59.112;10.859;3.688;59.209;10.482;-1.706;36.854;-2.856;-15.742;35.239;-1.888;-20.880;22.444;-3.730;-26.560;8.302;-5.767;-23.071;6.954;6.556;-19.209;5.307;20.987;-19.563;3.566;21.802;-16.894;1.961;28.679;-15.762;2.223;30.884;-14.274;2.178;33.017;-13.257;2.521;34.299;-19.701;4.399;21.854;-18.435;4.256;29.210;-16.628;4.936;32.871;-14.233;5.633;34.588;-12.421;5.991;35.465;-19.100;5.734;21.511;-18.612;6.795;29.484;-16.700;7.336;33.158;-13.755;7.873;34.698;-11.714;8.057;35.401;-19.397;6.724;21.254;-18.526;9.129;28.785;-16.445;9.859;31.939;-14.201;10.214;33.707;-12.489;10.158;34.859;-18.467;7.695;22.919;-18.280;11.016;24.141;-16.847;12.340;26.038;-16.701;14.899;27.152;1.516;36.902;-2.659;15.617;34.423;-0.403;21.138;20.948;-1.742;27.240;6.055;-3.222;22.849;5.184;8.804;17.915;3.800;23.506;17.587;2.022;24.487;15.850;0.267;30.868;14.531;-0.768;33.424;12.372;-0.713;34.621;10.718;-0.467;34.959;17.693;2.920;24.621;16.863;2.518;31.266;14.970;2.092;35.265;11.879;2.394;36.678;9.888;2.797;37.199;17.215;4.193;24.803;17.050;4.839;31.922;15.267;4.684;36.264;12.447;4.910;37.515;10.290;5.254;37.602;17.310;5.094;24.633;16.798;7.475;31.500;14.939;8.335;34.665;12.621;8.196;35.888;10.465;8.137;36.446;16.954;6.071;25.106;16.798;9.566;26.652;15.662;11.097;29.365;14.989;13.706;29.923;0.000;0.000;0.000;-7.689;-12.178;-1.087;-10.232;-32.817;-0.226;-13.217;-57.046;0.784;-12.925;-101.396;-7.517;7.520;-12.432;-1.143;9.378;-33.032;-0.319;11.558;-57.215;0.649;11.341;-101.581;-9.208
559.000;22.360;0.075;7.263;-0.209;0.060;14.100;-0.379;-0.074;26.200;-0.646;-0.269;42.073;-1.553;-0.351;46.401;1.524;0.017;52.879;2.766;-6.897;56.872;3.624;6.860;57.081;2.808;-2.897;59.115;10.825;3.672;59.215;10.436;-1.723;36.841;-2.895;-15.765;35.210;-1.900;-20.892;22.420;-3.739;-26.558;8.283;-5.771;-23.018;7.067;6.544;-19.076;5.583;20.972;-19.486;3.873;21.759;-17.063;2.210;28.715;-16.090;2.442;30.992;-14.846;2.291;33.248;-13.915;2.606;34.601;-19.614;4.708;21.809;-18.557;4.547;29.169;-17.039;5.240;32.959;-14.909;5.920;34.980;-13.255;6.243;36.137;-19.027;5.994;21.531;-18.634;7.060;29.449;-16.738;7.666;33.097;-13.972;8.199;34.941;-12.116;8.403;36.037;-19.298;6.996;21.262;-18.426;9.475;28.689;-15.880;10.186;31.559;-13.803;10.595;33.498;-12.296;10.622;34.910;-18.326;7.968;22.908;-18.083;11.295;24.150;-16.645;12.570;26.066;-16.396;15.121;27.180;1.499;36.891;-2.700;15.603;34.424;-0.461;21.103;20.965;-1.806;27.182;6.088;-3.292;22.760;5.352;8.735;17.771;4.147;23.448;17.583;2.347;24.416;16.121;0.611;30.854;15.280;-0.532;33.525;13.354;-0.730;35.046;11.762;-0.735;35.657;17.655;3.250;24.535;16.997;2.909;31.190;15.552;2.539;35.346;12.713;2.622;37.213;10.799;2.915;38.017;17.133;4.462;24.800;17.168;5.185;31.851;15.526;5.089;36.252;12.815;5.162;37.721;10.662;5.390;38.018;17.162;5.363;24.613;16.762;7.789;31.401;14.669;8.618;34.504;12.412;8.435;35.791;10.304;8.233;36.487;16.796;6.401;25.092;16.434;9.875;26.671;15.280;11.311;29.396;14.399;13.847;29.996;0.000;0.000;0.000;-7.692;-12.177;-1.082;-10.237;-32.812;-0.221;-13.224;-57.037;0.789;-12.938;-101.389;-7.514;7.517;-12.434;-1.141;9.373;-33.031;-0.318;11.552;-57.211;0.648;11.329;-101.578;-9.222
