Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3640.000;145.600;0.034;7.282;-0.238;-0.027;14.140;-0.285;-0.256;26.280;-0.148;-0.732;42.170;-0.462;-0.915;46.314;2.605;-0.763;52.711;3.765;-7.729;56.526;4.949;5.981;57.067;3.641;-3.520;58.727;12.044;3.027;58.986;11.419;-2.094;36.966;-1.998;-16.082;34.852;-0.919;-21.308;21.857;-2.451;-27.084;7.493;-4.144;-23.171;5.590;8.030;-18.737;3.073;22.322;-18.783;1.262;22.922;-13.990;-1.095;28.296;-12.211;-1.106;30.011;-10.183;-1.452;31.650;-8.940;-1.373;32.766;-18.920;2.065;23.151;-15.259;0.812;29.666;-12.040;1.198;32.291;-9.606;1.654;33.923;-7.833;1.939;34.902;-18.640;3.455;22.914;-15.422;3.339;30.395;-12.376;3.644;33.165;-9.553;4.051;34.935;-7.786;4.238;36.173;-19.024;4.460;22.961;-15.761;5.751;30.204;-12.696;6.290;32.594;-10.392;6.605;34.192;-8.594;6.585;35.207;-17.863;5.294;24.451;-17.404;8.372;26.267;-15.855;9.739;27.887;-16.357;12.223;29.065;1.126;37.067;-1.802;15.256;34.771;0.472;21.051;21.305;-0.719;27.456;6.421;-2.036;22.617;5.916;9.858;16.985;4.804;24.373;16.370;3.051;25.221;13.046;1.285;30.968;11.192;0.334;33.123;9.144;0.017;34.431;7.640;-0.145;35.220;16.511;3.937;25.395;14.090;3.510;31.704;11.083;3.171;34.954;8.053;3.327;36.377;6.121;3.619;37.138;16.080;5.251;25.543;14.308;5.809;32.417;11.154;6.059;35.909;8.360;6.404;37.076;6.274;6.790;37.603;16.252;6.147;25.419;14.259;8.417;31.922;11.152;9.445;34.130;8.700;9.598;35.075;6.567;9.880;35.658;15.892;7.166;25.794;15.844;10.640;27.307;14.665;12.442;29.764;14.770;15.162;30.166;0.000;0.000;0.000;-7.636;-12.227;-0.896;-9.799;-33.024;0.578;-12.343;-57.437;2.308;-11.061;-101.621;-5.075;7.574;-12.411;-1.014;9.258;-33.141;0.686;11.239;-57.477;2.681;10.360;-101.950;-5.831
3641.000;145.640;0.034;7.281;-0.239;-0.027;14.139;-0.287;-0.256;26.278;-0.150;-0.736;42.168;-0.457;-0.919;46.313;2.613;-0.767;52.712;3.777;-7.733;56.527;4.962;5.976;57.070;3.652;-3.523;58.729;12.056;3.024;58.988;11.430;-2.097;36.965;-1.996;-16.084;34.844;-0.916;-21.308;21.848;-2.450;-27.082;7.484;-4.145;-23.192;5.589;8.035;-18.785;3.080;22.335;-18.826;1.261;22.932;-14.042;-1.077;28.320;-12.275;-1.082;30.051;-10.250;-1.422;31.681;-9.001;-1.328;32.789;-18.962;2.065;23.158;-15.305;0.824;29.681;-12.114;1.203;32.318;-9.663;1.679;33.948;-7.894;1.960;34.936;-18.689;3.446;22.932;-15.473;3.350;30.412;-12.446;3.660;33.190;-9.618;4.093;34.948;-7.848;4.276;36.183;-19.068;4.451;22.975;-15.843;5.752;30.231;-12.766;6.313;32.616;-10.460;6.640;34.217;-8.657;6.598;35.222;-17.918;5.306;24.472;-17.475;8.383;26.291;-15.919;9.755;27.892;-16.417;12.233;29.083;1.124;37.066;-1.800;15.250;34.769;0.470;21.039;21.300;-0.724;27.438;6.414;-2.043;22.606;5.923;9.852;16.983;4.830;24.367;16.369;3.078;25.216;13.051;1.318;30.968;11.198;0.370;33.130;9.141;0.063;34.435;7.636;-0.120;35.218;16.510;3.964;25.389;14.084;3.543;31.704;11.074;3.207;34.947;8.045;3.367;36.374;6.123;3.674;37.155;16.068;5.305;25.535;14.292;5.862;32.411;11.159;6.094;35.908;8.358;6.452;37.066;6.271;6.826;37.598;16.249;6.199;25.414;14.266;8.450;31.916;11.135;9.476;34.118;8.707;9.636;35.077;6.574;9.922;35.655;15.864;7.195;25.772;15.842;10.671;27.306;14.659;12.486;29.805;14.776;15.216;30.128;0.000;0.000;0.000;-7.636;-12.227;-0.896;-9.799;-33.023;0.578;-12.343;-57.436;2.308;-11.061;-101.619;-5.075;7.574;-12.411;-1.014;9.258;-33.141;0.686;11.239;-57.477;2.682;10.358;-101.947;-5.843
3642.000;145.680;0.034;7.279;-0.240;-0.027;14.135;-0.292;-0.255;26.271;-0.164;-0.735;42.161;-0.468;-0.918;46.310;2.607;-0.765;52.714;3.775;-7.730;56.529;4.962;5.979;57.071;3.647;-3.517;58.730;12.055;3.029;58.989;11.426;-2.096;36.958;-2.008;-16.084;34.832;-0.934;-21.302;21.834;-2.471;-27.070;7.467;-4.171;-23.220;5.592;8.024;-18.856;3.107;22.341;-18.892;1.303;22.945;-14.138;-1.028;28.349;-12.384;-1.030;30.091;-10.320;-1.357;31.720;-9.105;-1.279;32.866;-19.030;2.107;23.172;-15.409;0.870;29.703;-12.224;1.267;32.357;-9.793;1.750;34.000;-8.028;2.017;34.997;-18.772;3.485;22.930;-15.589;3.411;30.435;-12.570;3.720;33.222;-9.747;4.158;34.997;-7.995;4.349;36.256;-19.157;4.485;22.972;-15.940;5.822;30.232;-12.902;6.364;32.647;-10.598;6.686;34.253;-8.819;6.709;35.300;-18.006;5.340;24.465;-17.585;8.424;26.287;-16.048;9.801;27.897;-16.550;12.284;29.075;1.124;37.059;-1.812;15.249;34.761;0.455;21.027;21.290;-0.754;27.413;6.401;-2.090;22.600;5.928;9.811;16.996;4.851;24.334;16.373;3.105;25.189;13.070;1.362;30.948;11.217;0.401;33.109;9.174;0.096;34.420;7.667;-0.058;35.203;16.515;3.992;25.361;14.113;3.589;31.675;11.120;3.247;34.939;8.094;3.418;36.369;6.169;3.712;37.149;16.094;5.328;25.499;14.344;5.895;32.390;11.202;6.133;35.893;8.405;6.484;37.066;6.320;6.871;37.597;16.274;6.223;25.377;14.303;8.476;31.889;11.190;9.543;34.104;8.755;9.693;35.066;6.622;9.973;35.650;15.873;7.228;25.740;15.854;10.704;27.262;14.656;12.529;29.756;14.750;15.262;30.059;0.000;0.000;0.000;-7.636;-12.227;-0.895;-9.799;-33.024;0.577;-12.342;-57.436;2.305;-11.059;-101.618;-5.080;7.574;-12.411;-1.012;9.258;-33.140;0.690;11.238;-57.473;2.686;10.358;-101.945;-5.835
3643.000;145.720;0.035;7.277;-0.242;-0.026;14.131;-0.297;-0.254;26.263;-0.177;-0.732;42.154;-0.477;-0.916;46.306;2.602;-0.764;52.717;3.773;-7.728;56.531;4.964;5.980;57.074;3.641;-3.511;58.732;12.054;3.035;58.992;11.423;-2.092;36.951;-2.019;-16.078;34.822;-0.957;-21.283;21.822;-2.502;-27.037;7.452;-4.211;-23.228;5.596;7.998;-18.914;3.132;22.330;-18.952;1.336;22.944;-14.200;-1.000;28.347;-12.465;-0.971;30.108;-10.400;-1.293;31.741;-9.167;-1.212;32.869;-19.099;2.137;23.175;-15.482;0.896;29.705;-12.303;1.316;32.368;-9.878;1.803;34.024;-8.112;2.077;35.018;-18.833;3.517;22.922;-15.672;3.441;30.432;-12.663;3.765;33.229;-9.866;4.202;35.018;-8.091;4.412;36.241;-19.222;4.518;22.965;-16.026;5.850;30.234;-13.011;6.424;32.656;-10.705;6.738;34.267;-8.919;6.792;35.302;-18.068;5.367;24.468;-17.679;8.447;26.286;-16.141;9.831;27.906;-16.658;12.315;29.078;1.128;37.052;-1.821;15.252;34.747;0.447;21.019;21.277;-0.782;27.393;6.388;-2.141;22.591;5.929;9.762;17.006;4.867;24.285;16.383;3.134;25.149;13.109;1.358;30.917;11.252;0.410;33.088;9.217;0.088;34.407;7.723;-0.080;35.213;16.530;4.019;25.324;14.114;3.608;31.630;11.161;3.252;34.915;8.148;3.425;36.368;6.225;3.720;37.151;16.103;5.350;25.451;14.378;5.901;32.358;11.244;6.133;35.878;8.454;6.481;37.065;6.370;6.845;37.612;16.285;6.245;25.328;14.324;8.497;31.852;11.246;9.557;34.103;8.810;9.710;35.086;6.686;10.004;35.693;15.926;7.239;25.709;15.861;10.726;27.209;14.636;12.552;29.715;14.731;15.288;29.995;0.000;0.000;0.000;-7.635;-12.227;-0.898;-9.806;-33.018;0.575;-12.359;-57.425;2.304;-11.088;-101.612;-5.077;7.575;-12.411;-1.006;9.252;-33.139;0.697;11.225;-57.471;2.696;10.335;-101.941;-5.831
3644.000;145.760;0.035;7.275;-0.243;-0.025;14.127;-0.303;-0.252;26.255;-0.192;-0.733;42.146;-0.486;-0.921;46.300;2.597;-0.771;52.716;3.771;-7.735;56.529;4.974;5.971;57.074;3.628;-3.506;58.732;12.057;3.039;58.993;11.414;-2.092;36.943;-2.030;-16.080;34.806;-0.980;-21.264;21.801;-2.535;-26.994;7.426;-4.255;-23.216;5.586;7.963;-18.934;3.138;22.307;-18.968;1.341;22.919;-14.248;-0.975;28.340;-12.487;-0.947;30.098;-10.441;-1.258;31.744;-9.211;-1.164;32.874;-19.113;2.143;23.147;-15.517;0.923;29.692;-12.338;1.345;32.355;-9.925;1.843;34.016;-8.159;2.103;35.016;-18.863;3.526;22.901;-15.709;3.445;30.418;-12.720;3.779;33.230;-9.917;4.225;35.010;-8.142;4.451;36.231;-19.258;4.526;22.942;-16.091;5.857;30.226;-13.069;6.436;32.651;-10.773;6.761;34.269;-8.984;6.829;35.299;-18.118;5.379;24.443;-17.699;8.464;26.247;-16.198;9.849;27.869;-16.701;12.324;29.066;1.128;37.045;-1.831;15.251;34.739;0.443;21.022;21.274;-0.806;27.400;6.392;-2.186;22.600;5.949;9.714;17.013;4.905;24.234;16.404;3.162;25.095;13.155;1.417;30.889;11.315;0.419;33.059;9.300;0.098;34.405;7.809;-0.081;35.213;16.546;4.049;25.266;14.150;3.648;31.582;11.216;3.290;34.894;8.228;3.452;36.384;6.308;3.740;37.178;16.121;5.402;25.397;14.404;5.954;32.321;11.310;6.137;35.876;8.512;6.464;37.060;6.437;6.850;37.628;16.307;6.296;25.275;14.352;8.544;31.809;11.303;9.600;34.096;8.866;9.764;35.101;6.752;10.053;35.747;15.906;7.288;25.653;15.863;10.772;27.171;14.620;12.598;29.654;14.688;15.335;29.933;0.000;0.000;0.000;-7.635;-12.227;-0.900;-9.807;-33.020;0.573;-12.360;-57.429;2.303;-11.088;-101.613;-5.075;7.575;-12.411;-1.001;9.246;-33.140;0.698;11.210;-57.474;2.692;10.312;-101.941;-5.844
3645.000;145.800;0.035;7.272;-0.246;-0.025;14.122;-0.308;-0.251;26.247;-0.204;-0.735;42.138;-0.493;-0.923;46.294;2.594;-0.772;52.715;3.770;-7.733;56.522;5.004;5.965;57.081;3.587;-3.471;58.738;12.062;3.071;59.005;11.386;-2.093;36.936;-2.039;-16.080;34.790;-0.993;-21.248;21.779;-2.558;-26.960;7.397;-4.288;-23.196;5.573;7.936;-18.932;3.142;22.286;-18.951;1.337;22.889;-14.233;-0.965;28.329;-12.489;-0.924;30.088;-10.433;-1.253;31.723;-9.212;-1.148;32.860;-19.091;2.141;23.113;-15.519;0.925;29.673;-12.347;1.360;32.342;-9.924;1.859;33.996;-8.164;2.154;34.996;-18.865;3.548;22.871;-15.710;3.487;30.403;-12.731;3.795;33.222;-9.910;4.243;34.985;-8.134;4.463;36.205;-19.264;4.543;22.917;-16.099;5.858;30.213;-13.089;6.438;32.647;-10.797;6.771;34.263;-8.998;6.855;35.273;-18.107;5.388;24.434;-17.708;8.469;26.232;-16.201;9.857;27.867;-16.721;12.341;29.037;1.127;37.037;-1.840;15.249;34.727;0.439;21.026;21.267;-0.831;27.411;6.390;-2.235;22.622;5.999;9.662;17.063;5.021;24.180;16.466;3.286;25.052;13.271;1.535;30.877;11.475;0.468;33.060;9.479;0.072;34.432;8.019;-0.149;35.287;16.603;4.174;25.219;14.207;3.743;31.537;11.365;3.370;34.921;8.413;3.491;36.481;6.504;3.762;37.307;16.171;5.554;25.327;14.457;6.077;32.280;11.442;6.222;35.904;8.651;6.534;37.121;6.576;6.880;37.718;16.361;6.447;25.206;14.375;8.696;31.762;11.380;9.737;34.114;8.990;9.924;35.186;6.897;10.213;35.895;15.938;7.411;25.597;15.848;10.906;27.102;14.585;12.740;29.556;14.590;15.480;29.801;0.000;0.000;0.000;-7.635;-12.227;-0.896;-9.810;-33.018;0.574;-12.367;-57.425;2.300;-11.101;-101.613;-5.085;7.575;-12.412;-0.996;9.244;-33.141;0.702;11.207;-57.476;2.695;10.304;-101.941;-5.843
3646.000;145.840;0.036;7.269;-0.247;-0.024;14.116;-0.314;-0.248;26.235;-0.221;-0.739;42.126;-0.490;-0.927;46.284;2.601;-0.776;52.714;3.774;-7.734;56.513;5.048;5.954;57.089;3.547;-3.432;58.740;12.079;3.105;59.015;11.362;-2.095;36.925;-2.042;-16.085;34.772;-0.979;-21.248;21.760;-2.558;-26.955;7.379;-4.303;-23.216;5.583;7.926;-18.986;3.193;22.282;-19.025;1.381;22.889;-14.283;-0.926;28.334;-12.533;-0.907;30.081;-10.492;-1.239;31.722;-9.268;-1.150;32.858;-19.164;2.186;23.110;-15.573;0.975;29.679;-12.406;1.386;32.351;-9.979;1.864;34.007;-8.222;2.160;35.011;-18.904;3.608;22.866;-15.773;3.509;30.409;-12.793;3.803;33.246;-9.928;4.258;34.959;-8.155;4.495;36.180;-19.306;4.605;22.912;-16.148;5.900;30.215;-13.143;6.492;32.667;-10.851;6.806;34.286;-9.059;6.833;35.312;-18.148;5.437;24.424;-17.732;8.524;26.220;-16.218;9.914;27.840;-16.726;12.388;29.036;1.125;37.028;-1.844;15.254;34.709;0.440;21.037;21.264;-0.815;27.429;6.405;-2.202;22.645;6.154;9.682;17.100;5.352;24.190;16.564;3.652;25.109;13.507;1.851;30.981;11.876;0.636;33.223;9.972;0.096;34.661;8.550;-0.238;35.543;16.682;4.544;25.267;14.395;4.160;31.613;11.731;3.650;35.131;8.813;3.661;36.797;6.939;3.857;37.719;16.224;5.844;25.340;14.515;6.508;32.298;11.728;6.572;36.087;8.954;6.822;37.382;6.891;7.115;38.044;16.374;6.741;25.196;14.405;9.129;31.763;11.597;10.227;34.264;9.216;10.361;35.461;7.173;10.634;36.310;15.873;7.773;25.551;15.736;11.284;27.021;14.407;13.115;29.438;14.289;15.859;29.617;0.000;0.000;0.000;-7.635;-12.227;-0.899;-9.813;-33.017;0.570;-12.373;-57.422;2.295;-11.108;-101.613;-5.090;7.575;-12.412;-0.993;9.241;-33.141;0.703;11.200;-57.475;2.693;10.291;-101.940;-5.853
3647.000;145.880;0.036;7.265;-0.245;-0.023;14.109;-0.313;-0.242;26.222;-0.230;-0.714;42.113;-0.489;-0.888;46.275;2.602;-0.713;52.717;3.761;-7.663;56.512;5.090;6.013;57.094;3.486;-3.309;58.735;12.090;3.222;59.013;11.324;-2.079;36.915;-2.041;-16.068;34.769;-0.918;-21.319;21.780;-2.438;-27.122;7.425;-4.119;-23.390;5.737;8.108;-19.181;3.481;22.465;-19.297;1.685;23.096;-14.564;-0.721;28.560;-12.862;-0.848;30.342;-10.984;-1.304;32.081;-9.762;-1.279;33.222;-19.417;2.495;23.308;-15.803;1.289;29.889;-12.683;1.516;32.636;-10.243;1.903;34.297;-8.469;2.123;35.290;-19.091;3.912;23.052;-15.919;3.844;30.601;-12.933;4.010;33.452;-10.060;4.416;35.127;-8.225;4.591;36.264;-19.473;4.925;23.093;-16.232;6.224;30.369;-13.224;6.741;32.834;-10.924;7.041;34.452;-9.123;7.029;35.462;-18.281;5.737;24.593;-17.759;8.841;26.352;-16.191;10.200;27.964;-16.615;12.735;29.060;1.141;37.014;-1.848;15.276;34.666;0.417;21.100;21.234;-0.705;27.537;6.389;-1.946;22.736;6.484;9.897;17.210;6.118;24.376;16.880;4.434;25.421;14.119;2.711;31.454;12.816;1.353;33.825;11.179;0.522;35.420;9.906;-0.014;36.421;16.918;5.343;25.516;14.807;5.191;31.945;12.516;4.587;35.692;9.747;4.396;37.621;7.950;4.445;38.701;16.314;6.618;25.507;14.754;7.596;32.494;12.255;7.690;36.466;9.679;7.780;38.068;7.643;7.910;38.851;16.392;7.512;25.297;14.436;10.211;31.810;11.732;11.319;34.468;9.531;11.477;35.880;7.539;11.674;36.860;15.849;8.533;25.730;15.350;12.116;26.880;13.842;13.934;29.110;13.363;16.642;29.191;0.000;0.000;0.000;-7.633;-12.228;-0.908;-9.818;-33.017;0.565;-12.387;-57.420;2.294;-11.135;-101.613;-5.079;7.577;-12.410;-0.999;9.239;-33.140;0.700;11.193;-57.475;2.694;10.275;-101.940;-5.840
3648.000;145.920;0.036;7.256;-0.245;-0.021;14.090;-0.319;-0.238;26.188;-0.252;-0.703;42.079;-0.517;-0.867;46.254;2.576;-0.680;52.716;3.724;-7.618;56.509;5.121;6.043;57.094;3.397;-3.202;58.720;12.086;3.322;58.999;11.263;-2.074;36.881;-2.064;-16.046;34.735;-0.865;-21.583;21.815;-2.123;-27.702;7.536;-3.515;-23.855;6.171;8.682;-19.518;4.326;23.013;-19.794;2.557;23.684;-15.391;-0.114;29.319;-13.988;-0.690;31.279;-12.384;-1.665;33.096;-11.353;-1.935;34.384;-19.843;3.384;23.857;-16.320;2.124;30.502;-13.592;1.900;33.614;-11.153;2.032;35.337;-9.380;2.060;36.355;-19.381;4.810;23.587;-16.174;4.702;31.161;-13.284;4.692;34.096;-10.331;4.804;35.694;-8.435;4.818;36.740;-19.682;5.836;23.593;-16.272;7.167;30.809;-13.258;7.523;33.266;-10.916;7.676;34.857;-9.112;7.521;35.849;-18.403;6.593;25.050;-17.619;9.736;26.682;-15.918;11.015;28.219;-16.108;13.599;29.266;1.147;36.978;-1.878;15.287;34.636;0.356;21.258;21.244;-0.410;27.857;6.443;-1.257;22.927;7.124;10.479;17.320;7.548;24.865;17.355;5.964;26.156;15.409;4.645;32.553;14.763;3.244;35.092;13.673;2.154;37.025;12.806;1.400;38.286;17.207;6.866;26.123;15.598;7.307;32.641;13.967;6.846;36.747;11.637;6.460;39.117;10.058;6.230;40.478;16.406;8.065;25.963;15.178;9.738;32.900;13.369;10.038;37.253;11.066;9.906;39.268;9.204;9.840;40.410;16.309;8.917;25.628;14.244;12.158;31.894;11.704;13.301;34.681;9.684;13.455;36.375;7.848;13.538;37.634;15.555;9.832;25.934;14.403;13.413;26.643;12.673;15.202;28.729;11.499;17.678;28.480;0.000;0.000;0.000;-7.631;-12.229;-0.909;-9.819;-33.019;0.565;-12.391;-57.423;2.296;-11.136;-101.615;-5.049;7.579;-12.408;-1.001;9.238;-33.138;0.699;11.188;-57.472;2.693;10.266;-101.942;-5.814
