Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
3557.000;142.280;0.042;7.261;-0.303;0.009;14.100;-0.463;-0.144;26.206;-0.586;-0.543;42.099;-0.881;-0.670;46.279;2.245;-0.367;52.720;3.488;-7.301;56.592;4.670;6.402;57.033;3.260;-3.029;58.859;11.706;3.515;59.070;11.033;-1.930;36.904;-2.424;-15.942;34.833;-1.311;-21.047;21.737;-2.662;-26.688;7.262;-4.155;-22.566;6.288;8.042;-17.927;5.064;22.451;-18.204;3.336;23.032;-14.173;0.618;28.765;-12.567;0.253;30.620;-10.582;-0.354;32.237;-9.342;-0.435;33.356;-18.310;4.148;23.246;-15.361;2.599;30.022;-12.430;2.380;32.958;-9.888;2.527;34.519;-8.084;2.550;35.481;-17.881;5.421;23.097;-15.321;5.176;30.760;-12.427;4.922;33.649;-9.502;4.958;35.334;-7.671;4.874;36.487;-18.177;6.461;23.093;-15.443;7.682;30.529;-12.546;7.798;33.137;-10.308;7.786;34.837;-8.527;7.536;35.852;-16.895;7.162;24.543;-16.500;10.103;26.684;-15.191;11.400;28.493;-15.791;13.811;29.772;1.291;36.988;-2.227;15.386;34.522;0.026;21.054;21.015;-1.336;27.320;6.085;-2.841;22.699;5.157;9.159;17.233;3.543;23.778;16.581;1.824;24.448;13.396;-0.600;29.952;11.436;-1.826;31.931;9.499;-2.317;33.282;8.002;-2.545;34.067;16.804;2.654;24.759;14.560;1.383;30.974;11.462;0.777;34.097;8.471;0.939;35.563;6.576;1.172;36.430;16.443;3.931;25.026;14.912;3.567;32.002;11.778;3.279;35.494;8.923;3.614;36.587;6.864;4.047;37.180;16.674;4.822;25.038;15.090;6.145;31.981;12.297;6.704;34.646;9.919;6.733;35.773;7.825;6.908;36.514;16.324;5.818;25.506;16.617;8.944;27.702;15.532;10.362;30.447;15.717;12.969;31.310;0.000;0.000;0.000;-7.639;-12.232;-0.790;-9.856;-33.002;0.726;-12.463;-57.383;2.507;-11.364;-101.541;-5.118;7.570;-12.416;-0.971;9.190;-33.133;0.768;11.095;-57.453;2.809;10.045;-101.883;-5.873
3558.000;142.320;0.043;7.261;-0.303;0.009;14.100;-0.463;-0.143;26.206;-0.587;-0.537;42.099;-0.879;-0.663;46.279;2.248;-0.361;52.721;3.493;-7.293;56.595;4.678;6.410;57.032;3.268;-3.020;58.855;11.716;3.524;59.064;11.043;-1.926;36.904;-2.423;-15.940;34.838;-1.317;-21.043;21.741;-2.668;-26.684;7.266;-4.161;-22.565;6.295;8.037;-17.932;5.074;22.446;-18.214;3.345;23.028;-14.173;0.604;28.755;-12.567;0.251;30.605;-10.599;-0.337;32.227;-9.340;-0.392;33.325;-18.318;4.157;23.242;-15.373;2.614;30.017;-12.460;2.366;32.981;-9.908;2.514;34.522;-8.104;2.527;35.484;-17.884;5.422;23.095;-15.330;5.170;30.751;-12.434;4.940;33.646;-9.496;4.983;35.327;-7.664;4.905;36.479;-18.178;6.466;23.089;-15.445;7.693;30.523;-12.564;7.811;33.131;-10.323;7.813;34.833;-8.529;7.582;35.830;-16.944;7.179;24.549;-16.510;10.116;26.672;-15.209;11.416;28.473;-15.798;13.830;29.751;1.295;36.988;-2.226;15.388;34.515;0.025;21.052;21.007;-1.338;27.312;6.076;-2.844;22.701;5.148;9.160;17.251;3.533;23.782;16.573;1.839;24.471;13.408;-0.612;29.952;11.458;-1.831;31.941;9.519;-2.313;33.298;8.018;-2.535;34.079;16.802;2.666;24.787;14.574;1.362;30.975;11.488;0.777;34.115;8.487;0.941;35.573;6.591;1.173;36.439;16.461;3.921;25.033;14.936;3.565;32.010;11.803;3.253;35.507;8.952;3.616;36.609;6.890;4.045;37.192;16.691;4.813;25.044;15.108;6.158;31.988;12.312;6.694;34.652;9.952;6.743;35.789;7.853;6.917;36.519;16.357;5.803;25.532;16.644;8.935;27.709;15.588;10.349;30.450;15.750;12.953;31.324;0.000;0.000;0.000;-7.640;-12.232;-0.791;-9.858;-33.000;0.725;-12.466;-57.381;2.505;-11.370;-101.548;-5.121;7.569;-12.417;-0.972;9.189;-33.133;0.766;11.095;-57.451;2.807;10.048;-101.882;-5.873
3559.000;142.360;0.043;7.259;-0.303;0.010;14.098;-0.463;-0.142;26.202;-0.587;-0.533;42.096;-0.874;-0.656;46.277;2.260;-0.344;52.719;3.513;-7.273;56.597;4.705;6.430;57.026;3.292;-2.996;58.846;11.744;3.548;59.051;11.069;-1.923;36.902;-2.419;-15.935;34.845;-1.310;-21.047;21.750;-2.661;-26.696;7.277;-4.154;-22.577;6.304;8.041;-17.945;5.078;22.447;-18.219;3.366;23.035;-14.178;0.630;28.765;-12.585;0.272;30.623;-10.602;-0.330;32.225;-9.343;-0.382;33.324;-18.329;4.177;23.252;-15.384;2.600;30.022;-12.474;2.366;32.983;-9.920;2.536;34.522;-8.102;2.516;35.458;-17.888;5.448;23.093;-15.348;5.179;30.755;-12.434;4.958;33.641;-9.509;4.986;35.321;-7.673;4.912;36.468;-18.189;6.489;23.091;-15.444;7.706;30.521;-12.563;7.821;33.135;-10.328;7.837;34.837;-8.531;7.568;35.819;-16.921;7.182;24.545;-16.519;10.126;26.681;-15.220;11.424;28.477;-15.797;13.844;29.748;1.298;36.985;-2.223;15.394;34.503;0.026;21.048;20.993;-1.349;27.297;6.060;-2.868;22.704;5.133;9.145;17.272;3.521;23.779;16.619;1.824;24.468;13.447;-0.630;29.953;11.503;-1.841;31.953;9.558;-2.330;33.306;8.060;-2.548;34.093;16.856;2.648;24.785;14.614;1.362;30.980;11.531;0.765;34.119;8.525;0.922;35.578;6.631;1.152;36.449;16.485;3.879;25.035;14.970;3.547;32.006;11.851;3.245;35.510;9.006;3.603;36.621;6.944;4.037;37.203;16.710;4.772;25.041;15.138;6.132;31.985;12.361;6.679;34.657;10.008;6.724;35.796;7.906;6.901;36.515;16.400;5.782;25.533;16.681;8.919;27.702;15.648;10.327;30.464;15.790;12.942;31.309;0.000;0.000;0.000;-7.641;-12.231;-0.791;-9.861;-33.000;0.725;-12.470;-57.380;2.505;-11.378;-101.547;-5.119;7.568;-12.418;-0.973;9.187;-33.135;0.765;11.091;-57.455;2.804;10.037;-101.878;-5.888
3560.000;142.400;0.043;7.259;-0.303;0.010;14.096;-0.463;-0.142;26.200;-0.588;-0.532;42.093;-0.875;-0.655;46.275;2.260;-0.341;52.719;3.515;-7.271;56.595;4.710;6.432;57.026;3.294;-2.993;58.842;11.749;3.551;59.048;11.073;-1.922;36.899;-2.419;-15.936;34.842;-1.309;-21.052;21.750;-2.658;-26.706;7.279;-4.150;-22.590;6.307;8.047;-17.960;5.085;22.455;-18.243;3.368;23.044;-14.208;0.641;28.781;-12.608;0.276;30.638;-10.616;-0.328;32.250;-9.381;-0.393;33.375;-18.355;4.178;23.261;-15.403;2.629;30.027;-12.501;2.367;32.993;-9.948;2.528;34.535;-8.132;2.549;35.475;-17.903;5.457;23.100;-15.369;5.191;30.766;-12.462;4.969;33.655;-9.549;4.989;35.348;-7.707;4.905;36.482;-18.202;6.493;23.097;-15.476;7.709;30.533;-12.604;7.816;33.151;-10.358;7.836;34.855;-8.570;7.587;35.858;-16.977;7.190;24.562;-16.541;10.132;26.686;-15.236;11.433;28.489;-15.822;13.855;29.753;1.298;36.982;-2.224;15.392;34.502;0.022;21.043;20.992;-1.360;27.290;6.060;-2.887;22.710;5.130;9.131;17.295;3.510;23.769;16.642;1.823;24.463;13.462;-0.627;29.951;11.533;-1.851;31.938;9.585;-2.324;33.309;8.087;-2.556;34.091;16.877;2.647;24.780;14.658;1.338;30.976;11.563;0.768;34.116;8.551;0.925;35.571;6.660;1.155;36.449;16.505;3.890;25.026;14.991;3.564;31.998;11.881;3.236;35.505;9.042;3.600;36.618;6.980;4.023;37.205;16.735;4.781;25.034;15.177;6.120;31.978;12.391;6.676;34.649;10.027;6.720;35.791;7.936;6.886;36.545;16.427;5.777;25.530;16.708;8.914;27.694;15.687;10.323;30.461;15.843;12.938;31.304;0.000;0.000;0.000;-7.642;-12.231;-0.790;-9.861;-32.999;0.726;-12.471;-57.379;2.505;-11.378;-101.546;-5.128;7.567;-12.418;-0.974;9.185;-33.136;0.763;11.088;-57.456;2.801;10.030;-101.879;-5.898
3561.000;142.440;0.043;7.258;-0.303;0.011;14.095;-0.463;-0.141;26.197;-0.588;-0.527;42.090;-0.871;-0.648;46.273;2.265;-0.331;52.718;3.522;-7.259;56.598;4.721;6.444;57.023;3.301;-2.978;58.838;11.760;3.566;59.041;11.082;-1.920;36.897;-2.417;-15.932;34.845;-1.307;-21.051;21.755;-2.658;-26.709;7.288;-4.151;-22.599;6.316;8.047;-17.978;5.093;22.458;-18.260;3.373;23.042;-14.222;0.654;28.788;-12.630;0.282;30.638;-10.634;-0.318;32.256;-9.399;-0.387;33.381;-18.368;4.184;23.257;-15.426;2.644;30.031;-12.522;2.379;33.001;-9.967;2.545;34.540;-8.144;2.538;35.466;-17.921;5.465;23.105;-15.380;5.218;30.776;-12.474;4.964;33.654;-9.563;4.996;35.344;-7.723;4.929;36.485;-18.220;6.505;23.102;-15.498;7.719;30.536;-12.630;7.816;33.160;-10.381;7.830;34.859;-8.602;7.612;35.884;-16.992;7.202;24.573;-16.555;10.142;26.689;-15.263;11.433;28.511;-15.809;13.879;29.746;1.301;36.979;-2.222;15.397;34.495;0.019;21.045;20.985;-1.370;27.287;6.053;-2.905;22.713;5.116;9.115;17.304;3.490;23.755;16.647;1.790;24.438;13.479;-0.648;29.941;11.541;-1.881;31.919;9.599;-2.360;33.287;8.104;-2.580;34.080;16.884;2.615;24.754;14.661;1.336;30.962;11.570;0.742;34.098;8.560;0.904;35.549;6.671;1.131;36.431;16.518;3.856;25.011;14.991;3.518;31.977;11.891;3.218;35.487;9.063;3.580;36.613;6.995;4.006;37.178;16.746;4.748;25.019;15.200;6.082;31.972;12.407;6.650;34.634;10.040;6.694;35.778;7.948;6.871;36.526;16.433;5.755;25.511;16.723;8.888;27.683;15.701;10.298;30.419;15.822;12.909;31.282;0.000;0.000;0.000;-7.642;-12.230;-0.789;-9.862;-32.999;0.727;-12.471;-57.379;2.507;-11.382;-101.547;-5.128;7.567;-12.418;-0.976;9.183;-33.136;0.760;11.085;-57.456;2.798;10.022;-101.880;-5.899
3562.000;142.480;0.043;7.258;-0.302;0.011;14.094;-0.462;-0.140;26.196;-0.588;-0.524;42.089;-0.866;-0.643;46.272;2.273;-0.326;52.717;3.534;-7.255;56.595;4.733;6.447;57.024;3.310;-2.973;58.840;11.770;3.571;59.044;11.091;-1.918;36.897;-2.413;-15.929;34.846;-1.296;-21.051;21.756;-2.650;-26.712;7.288;-4.147;-22.601;6.312;8.052;-17.976;5.088;22.464;-18.248;3.347;23.035;-14.234;0.615;28.782;-12.616;0.237;30.617;-10.644;-0.342;32.246;-9.393;-0.418;33.353;-18.348;4.161;23.245;-15.429;2.620;30.036;-12.540;2.330;33.015;-9.984;2.483;34.539;-8.147;2.496;35.436;-17.929;5.456;23.109;-15.380;5.193;30.776;-12.477;4.934;33.661;-9.568;4.968;35.356;-7.717;4.893;36.479;-18.228;6.499;23.107;-15.481;7.701;30.537;-12.601;7.785;33.158;-10.378;7.789;34.873;-8.584;7.578;35.874;-16.986;7.189;24.564;-16.516;10.134;26.684;-15.181;11.415;28.507;-15.733;13.849;29.765;1.303;36.978;-2.219;15.399;34.491;0.016;21.045;20.979;-1.380;27.284;6.045;-2.924;22.717;5.099;9.097;17.316;3.461;23.740;16.667;1.770;24.424;13.497;-0.679;29.925;11.560;-1.908;31.910;9.619;-2.395;33.269;8.124;-2.613;34.061;16.902;2.594;24.742;14.674;1.288;30.943;11.582;0.697;34.076;8.576;0.853;35.532;6.684;1.081;36.407;16.526;3.829;24.998;15.011;3.484;31.963;11.913;3.168;35.473;9.069;3.526;36.591;7.009;3.957;37.181;16.753;4.722;25.006;15.198;6.072;31.953;12.412;6.602;34.614;10.061;6.656;35.765;7.964;6.832;36.500;16.448;5.725;25.490;16.734;8.858;27.675;15.705;10.270;30.455;15.857;12.896;31.262;0.000;0.000;0.000;-7.643;-12.230;-0.787;-9.863;-32.998;0.729;-12.472;-57.378;2.509;-11.386;-101.546;-5.125;7.566;-12.418;-0.979;9.181;-33.136;0.756;11.081;-57.456;2.793;10.013;-101.880;-5.901
3563.000;142.520;0.043;7.258;-0.302;0.012;14.095;-0.461;-0.139;26.197;-0.587;-0.526;42.090;-0.863;-0.645;46.274;2.276;-0.328;52.721;3.537;-7.255;56.601;4.735;6.447;57.025;3.311;-2.972;58.847;11.771;3.571;59.050;11.091;-1.918;36.898;-2.410;-15.929;34.844;-1.291;-21.050;21.756;-2.649;-26.709;7.291;-4.150;-22.599;6.312;8.049;-17.976;5.082;22.463;-18.247;3.351;23.037;-14.230;0.613;28.780;-12.619;0.247;30.628;-10.638;-0.358;32.243;-9.393;-0.440;33.357;-18.349;4.163;23.250;-15.432;2.614;30.036;-12.554;2.295;33.023;-9.981;2.466;34.512;-8.130;2.491;35.381;-17.924;5.435;23.110;-15.381;5.183;30.778;-12.482;4.919;33.668;-9.558;4.952;35.348;-7.704;4.861;36.465;-18.218;6.474;23.105;-15.482;7.695;30.542;-12.604;7.797;33.167;-10.379;7.792;34.880;-8.590;7.525;35.876;-16.981;7.184;24.563;-16.486;10.129;26.675;-15.149;11.406;28.499;-15.678;13.842;29.762;1.303;36.980;-2.217;15.400;34.493;0.017;21.047;20.983;-1.385;27.289;6.051;-2.935;22.725;5.095;9.086;17.324;3.449;23.729;16.664;1.750;24.409;13.509;-0.713;29.903;11.566;-1.939;31.889;9.630;-2.429;33.251;8.130;-2.657;34.031;16.896;2.576;24.725;14.695;1.275;30.940;11.590;0.667;34.061;8.580;0.821;35.514;6.690;1.053;36.392;16.537;3.820;24.984;15.016;3.465;31.952;11.925;3.148;35.468;9.082;3.490;36.583;7.026;3.919;37.187;16.765;4.712;24.994;15.220;6.028;31.948;12.422;6.570;34.614;10.061;6.621;35.753;7.966;6.792;36.494;16.457;5.705;25.486;16.730;8.841;27.665;15.703;10.248;30.417;15.824;12.861;31.272;0.000;0.000;0.000;-7.643;-12.230;-0.787;-9.863;-32.997;0.729;-12.473;-57.376;2.509;-11.388;-101.545;-5.126;7.565;-12.418;-0.980;9.179;-33.136;0.755;11.078;-57.456;2.791;10.006;-101.880;-5.903
3564.000;142.560;0.044;7.257;-0.301;0.012;14.092;-0.460;-0.137;26.192;-0.585;-0.523;42.085;-0.859;-0.639;46.270;2.282;-0.317;52.719;3.544;-7.244;56.600;4.745;6.458;57.023;3.316;-2.958;58.845;11.780;3.585;59.047;11.097;-1.916;36.893;-2.406;-15.927;34.846;-1.284;-21.047;21.758;-2.643;-26.707;7.291;-4.145;-22.592;6.316;8.053;-17.964;5.092;22.465;-18.241;3.366;23.041;-14.231;0.605;28.776;-12.607;0.247;30.624;-10.638;-0.357;32.233;-9.376;-0.427;33.328;-18.351;4.178;23.255;-15.419;2.642;30.034;-12.545;2.308;33.023;-9.946;2.497;34.470;-8.079;2.540;35.304;-17.914;5.454;23.113;-15.378;5.201;30.782;-12.477;4.920;33.675;-9.549;4.958;35.335;-7.686;4.876;36.437;-18.211;6.498;23.109;-15.474;7.705;30.543;-12.612;7.803;33.177;-10.379;7.787;34.890;-8.603;7.544;35.915;-16.977;7.195;24.568;-16.472;10.145;26.667;-15.113;11.424;28.466;-15.626;13.845;29.764;1.305;36.974;-2.214;15.405;34.485;0.013;21.048;20.975;-1.390;27.284;6.044;-2.942;22.729;5.075;9.081;17.344;3.409;23.723;16.701;1.703;24.404;13.540;-0.751;29.912;11.599;-1.988;31.889;9.664;-2.475;33.254;8.166;-2.707;34.036;16.932;2.529;24.721;14.714;1.223;30.931;11.606;0.613;34.047;8.614;0.754;35.518;6.717;1.005;36.377;16.560;3.782;24.979;15.038;3.427;31.951;11.964;3.090;35.475;9.121;3.432;36.600;7.065;3.849;37.213;16.789;4.674;24.989;15.249;5.975;31.948;12.446;6.521;34.617;10.095;6.565;35.764;7.995;6.726;36.491;16.445;5.672;25.488;16.742;8.806;27.661;15.707;10.205;30.443;15.859;12.824;31.273;0.000;0.000;0.000;-7.644;-12.229;-0.787;-9.864;-32.998;0.726;-12.474;-57.378;2.503;-11.393;-101.547;-5.129;7.565;-12.419;-0.983;9.182;-33.136;0.752;11.084;-57.457;2.789;10.017;-101.886;-5.902
3565.000;142.600;0.044;7.257;-0.300;0.013;14.093;-0.458;-0.135;26.192;-0.581;-0.520;42.086;-0.852;-0.635;46.270;2.289;-0.314;52.718;3.553;-7.240;56.599;4.759;6.461;57.022;3.326;-2.952;58.838;11.794;3.591;59.040;11.110;-1.914;36.894;-2.400;-15.928;34.842;-1.268;-21.042;21.753;-2.628;-26.695;7.285;-4.132;-22.585;6.320;8.068;-17.964;5.110;22.483;-18.240;3.374;23.053;-14.229;0.628;28.804;-12.618;0.278;30.649;-10.593;-0.275;32.189;-9.279;-0.281;33.223;-18.338;4.188;23.261;-15.428;2.669;30.062;-12.540;2.304;33.014;-9.834;2.591;34.247;-7.888;2.671;34.872;-17.906;5.501;23.121;-15.388;5.222;30.801;-12.517;4.941;33.730;-9.557;4.974;35.339;-7.686;4.896;36.427;-18.214;6.533;23.121;-15.490;7.732;30.551;-12.653;7.796;33.211;-10.416;7.796;34.928;-8.646;7.573;35.968;-16.986;7.233;24.631;-16.323;10.186;26.651;-14.876;11.411;28.447;-15.238;13.886;29.691;1.307;36.975;-2.209;15.406;34.491;0.005;21.048;20.981;-1.399;27.284;6.049;-2.952;22.743;5.054;9.077;17.375;3.361;23.728;16.721;1.646;24.402;13.583;-0.817;29.920;11.659;-2.069;31.890;9.719;-2.575;33.244;8.227;-2.801;34.039;16.947;2.473;24.717;14.763;1.149;30.933;11.658;0.530;34.053;8.654;0.660;35.503;6.754;0.885;36.365;16.593;3.707;24.987;15.069;3.341;31.951;12.007;3.010;35.474;9.169;3.322;36.614;7.112;3.738;37.223;16.816;4.600;24.997;15.273;5.888;31.959;12.482;6.427;34.636;10.114;6.442;35.773;8.022;6.602;36.524;16.460;5.619;25.480;16.730;8.747;27.678;15.673;10.123;30.427;15.760;12.721;31.330;0.000;0.000;0.000;-7.645;-12.229;-0.787;-9.864;-32.999;0.724;-12.473;-57.380;2.499;-11.395;-101.547;-5.132;7.564;-12.419;-0.985;9.184;-33.136;0.749;11.090;-57.455;2.785;10.025;-101.880;-5.904
