Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
1576.000;63.040;0.028;7.297;-0.237;-0.041;14.168;-0.363;-0.282;26.328;-0.463;-0.616;42.198;-1.392;-0.629;46.510;1.658;-0.321;52.963;2.860;-7.332;56.768;3.776;6.431;57.290;3.271;-3.529;58.704;11.171;3.044;58.953;10.930;-2.084;36.953;-2.669;-16.046;35.264;-1.301;-21.321;22.484;-2.787;-27.151;8.360;-4.429;-23.069;5.315;7.524;-18.490;1.494;21.500;-18.849;-0.246;22.128;-15.119;-3.331;27.978;-14.048;-3.710;30.161;-13.129;-4.626;32.418;-12.529;-4.828;33.966;-18.848;0.574;22.337;-15.716;-1.084;29.023;-13.646;-1.096;32.500;-12.514;-1.001;35.248;-11.720;-1.036;37.132;-18.306;1.971;22.017;-15.469;1.402;29.762;-13.427;1.334;33.279;-11.440;1.436;36.032;-10.466;1.416;37.966;-18.522;3.039;22.049;-15.252;3.733;29.490;-12.869;3.865;32.520;-11.061;3.916;34.682;-9.654;3.646;36.169;-17.142;3.501;23.639;-16.197;6.487;25.391;-14.545;7.572;27.130;-14.444;10.164;28.168;1.142;37.025;-2.596;15.336;34.689;-0.881;20.686;21.141;-2.205;26.600;6.168;-3.667;21.852;4.973;8.225;16.377;3.018;22.689;16.036;1.258;23.639;13.663;-0.884;29.680;12.764;-2.219;32.160;11.599;-3.214;34.046;10.661;-3.886;35.302;16.078;2.156;23.802;14.339;1.550;30.255;12.740;0.898;34.279;10.691;0.559;36.912;9.341;0.479;38.515;15.576;3.410;23.836;14.318;3.848;30.988;12.712;3.931;35.356;10.825;3.978;37.715;9.286;4.157;39.256;15.637;4.319;23.700;14.019;6.492;30.687;12.376;7.492;34.048;10.749;7.761;36.066;9.142;7.983;37.595;15.119;5.254;24.268;14.959;8.600;25.976;14.212;10.330;28.590;14.316;13.051;28.991;0.000;0.000;0.000;-7.677;-12.216;-0.659;-10.077;-32.877;0.528;-12.894;-57.130;1.921;-12.637;-101.462;-6.255;7.516;-12.411;-1.378;9.574;-33.022;-0.214;11.989;-57.219;1.153;11.654;-101.656;-7.954
1577.000;63.080;0.030;7.296;-0.239;-0.036;14.166;-0.368;-0.270;26.325;-0.474;-0.595;42.195;-1.408;-0.607;46.508;1.637;-0.294;52.963;2.827;-7.303;56.776;3.735;6.461;57.286;3.223;-3.495;58.730;11.123;3.078;58.974;10.878;-2.065;36.951;-2.683;-16.029;35.273;-1.321;-21.329;22.504;-2.815;-27.187;8.391;-4.466;-23.128;5.363;7.498;-18.576;1.554;21.488;-18.933;-0.157;22.128;-15.229;-3.258;27.973;-14.162;-3.661;30.152;-13.234;-4.562;32.421;-12.641;-4.766;33.971;-18.941;0.662;22.339;-15.817;-0.996;29.019;-13.766;-1.025;32.507;-12.643;-0.913;35.253;-11.850;-0.947;37.137;-18.393;2.051;22.000;-15.587;1.481;29.756;-13.540;1.420;33.276;-11.593;1.495;36.026;-10.558;1.508;37.928;-18.614;3.111;22.033;-15.354;3.823;29.471;-12.978;3.934;32.510;-11.150;4.001;34.662;-9.730;3.740;36.137;-17.213;3.566;23.622;-16.297;6.569;25.382;-14.627;7.652;27.077;-14.547;10.227;28.159;1.161;37.021;-2.608;15.350;34.678;-0.884;20.708;21.133;-2.222;26.630;6.163;-3.700;21.890;4.964;8.196;16.426;3.009;22.664;16.087;1.255;23.614;13.719;-0.887;29.655;12.801;-2.247;32.115;11.641;-3.243;34.008;10.708;-3.887;35.283;16.132;2.152;23.780;14.387;1.526;30.226;12.774;0.874;34.247;10.738;0.543;36.874;9.364;0.445;38.455;15.621;3.429;23.804;14.367;3.834;30.957;12.746;3.927;35.321;10.799;3.991;37.646;9.262;4.165;39.190;15.692;4.338;23.674;14.051;6.474;30.655;12.387;7.459;34.021;10.759;7.737;36.029;9.167;7.973;37.571;15.166;5.235;24.231;14.998;8.584;25.951;14.250;10.312;28.586;14.350;13.037;28.956;0.000;0.000;0.000;-7.677;-12.216;-0.659;-10.067;-32.881;0.534;-12.873;-57.139;1.934;-12.583;-101.464;-6.261;7.517;-12.411;-1.371;9.585;-33.021;-0.205;12.014;-57.216;1.163;11.703;-101.647;-7.961
1578.000;63.120;0.031;7.297;-0.242;-0.031;14.167;-0.373;-0.255;26.327;-0.483;-0.575;42.197;-1.421;-0.585;46.510;1.614;-0.264;52.969;2.777;-7.271;56.790;3.665;6.493;57.291;3.153;-3.463;58.780;11.044;3.110;59.019;10.799;-2.047;36.952;-2.695;-16.011;35.282;-1.337;-21.326;22.524;-2.859;-27.199;8.424;-4.541;-23.177;5.411;7.437;-18.671;1.622;21.443;-19.038;-0.077;22.091;-15.353;-3.204;27.935;-14.289;-3.591;30.128;-13.357;-4.500;32.391;-12.761;-4.706;33.940;-19.051;0.741;22.305;-15.929;-0.934;28.984;-13.873;-0.959;32.477;-12.772;-0.837;35.229;-11.976;-0.865;37.112;-18.470;2.115;21.956;-15.691;1.551;29.716;-13.635;1.456;33.246;-11.672;1.582;35.983;-10.657;1.598;37.896;-18.688;3.166;21.983;-15.449;3.892;29.430;-13.077;4.004;32.470;-11.270;4.046;34.629;-9.850;3.779;36.104;-17.332;3.651;23.593;-16.379;6.637;25.334;-14.711;7.717;27.018;-14.612;10.286;28.114;1.179;37.022;-2.620;15.367;34.668;-0.898;20.728;21.131;-2.276;26.653;6.169;-3.798;21.943;4.948;8.104;16.519;2.962;22.579;16.175;1.206;23.524;13.805;-0.950;29.568;12.908;-2.312;32.036;11.736;-3.311;33.923;10.821;-3.989;35.192;16.218;2.104;23.692;14.495;1.471;30.143;12.878;0.810;34.162;10.827;0.480;36.790;9.471;0.385;38.387;15.703;3.373;23.725;14.463;3.775;30.874;12.823;3.864;35.238;10.849;3.935;37.541;9.306;4.107;39.080;15.769;4.283;23.595;14.154;6.405;30.582;12.476;7.405;33.950;10.860;7.678;35.958;9.266;7.894;37.500;15.254;5.189;24.159;15.086;8.535;25.877;14.357;10.251;28.521;14.418;12.976;28.897;0.000;0.000;0.000;-7.677;-12.217;-0.656;-10.060;-32.882;0.543;-12.858;-57.142;1.950;-12.545;-101.449;-6.267;7.517;-12.411;-1.367;9.592;-33.020;-0.202;12.028;-57.213;1.166;11.738;-101.645;-7.960
1579.000;63.160;0.031;7.297;-0.243;-0.029;14.168;-0.375;-0.248;26.327;-0.488;-0.562;42.197;-1.429;-0.572;46.512;1.595;-0.261;52.977;2.732;-7.263;56.808;3.612;6.501;57.294;3.082;-3.445;58.824;10.978;3.128;59.056;10.725;-2.036;36.953;-2.701;-16.005;35.286;-1.346;-21.311;22.532;-2.899;-27.176;8.435;-4.615;-23.185;5.432;7.375;-18.711;1.656;21.397;-19.073;-0.052;22.035;-15.438;-3.141;27.904;-14.361;-3.562;30.100;-13.415;-4.493;32.356;-12.842;-4.698;33.914;-19.083;0.767;22.246;-15.989;-0.889;28.942;-13.974;-0.922;32.449;-12.860;-0.809;35.206;-12.084;-0.840;37.098;-18.530;2.146;21.914;-15.748;1.604;29.675;-13.697;1.523;33.197;-11.737;1.660;35.944;-10.730;1.647;37.862;-18.749;3.207;21.941;-15.530;3.927;29.390;-13.163;4.049;32.433;-11.347;4.080;34.596;-9.936;3.802;36.077;-17.386;3.664;23.522;-16.445;6.671;25.279;-14.776;7.752;26.984;-14.681;10.324;28.074;1.190;37.021;-2.628;15.370;34.661;-0.913;20.731;21.128;-2.335;26.655;6.170;-3.907;21.977;4.923;8.003;16.592;2.910;22.485;16.250;1.142;23.427;13.895;-1.032;29.467;13.000;-2.389;31.933;11.824;-3.393;33.819;10.904;-4.080;35.080;16.291;2.039;23.595;14.577;1.399;30.053;12.971;0.729;34.069;10.938;0.375;36.705;9.570;0.274;38.291;15.777;3.296;23.638;14.531;3.718;30.784;12.916;3.801;35.147;10.949;3.863;37.457;9.382;4.030;38.971;15.839;4.205;23.506;14.230;6.343;30.501;12.571;7.317;33.861;10.943;7.581;35.880;9.338;7.786;37.412;15.315;5.132;24.068;15.153;8.474;25.796;14.423;10.189;28.438;14.477;12.913;28.825;0.000;0.000;0.000;-7.677;-12.217;-0.650;-10.057;-32.879;0.550;-12.851;-57.135;1.959;-12.535;-101.457;-6.267;7.516;-12.412;-1.369;9.594;-33.021;-0.199;12.033;-57.214;1.174;11.750;-101.644;-7.965
1580.000;63.200;0.031;7.297;-0.243;-0.029;14.169;-0.376;-0.248;26.330;-0.488;-0.564;42.200;-1.421;-0.572;46.513;1.600;-0.260;52.981;2.727;-7.254;56.824;3.620;6.508;57.290;3.046;-3.411;58.852;10.969;3.161;59.074;10.695;-2.039;36.956;-2.695;-16.005;35.282;-1.337;-21.288;22.528;-2.917;-27.126;8.432;-4.664;-23.162;5.434;7.333;-18.715;1.664;21.362;-19.092;-0.037;22.005;-15.461;-3.154;27.872;-14.386;-3.572;30.062;-13.435;-4.503;32.325;-12.853;-4.724;33.877;-19.111;0.781;22.220;-16.030;-0.898;28.921;-14.001;-0.912;32.457;-12.951;-0.830;35.198;-12.135;-0.866;37.073;-18.540;2.127;21.886;-15.776;1.588;29.645;-13.675;1.537;33.139;-11.723;1.703;35.876;-10.702;1.712;37.786;-18.747;3.179;21.906;-15.585;3.943;29.367;-13.196;4.029;32.409;-11.371;4.061;34.558;-9.951;3.819;36.037;-17.389;3.685;23.516;-16.469;6.678;25.262;-14.815;7.758;26.964;-14.722;10.320;28.077;1.187;37.025;-2.624;15.372;34.657;-0.922;20.732;21.132;-2.402;26.657;6.184;-4.037;22.017;4.900;7.886;16.680;2.841;22.384;16.349;1.069;23.321;13.987;-1.127;29.355;13.080;-2.496;31.809;11.891;-3.504;33.680;10.954;-4.175;34.938;16.388;1.966;23.490;14.690;1.296;29.950;13.066;0.629;33.960;11.026;0.270;36.593;9.667;0.165;38.187;15.890;3.223;23.537;14.658;3.612;30.683;12.996;3.707;35.042;11.017;3.764;37.343;9.456;3.932;38.864;15.952;4.132;23.406;14.350;6.246;30.411;12.679;7.204;33.782;11.043;7.458;35.811;9.473;7.675;37.378;15.416;5.057;23.977;15.235;8.389;25.741;14.484;10.106;28.375;14.523;12.833;28.742;0.000;0.000;0.000;-7.677;-12.217;-0.644;-10.046;-32.879;0.550;-12.828;-57.135;1.951;-12.496;-101.453;-6.297;7.516;-12.411;-1.375;9.602;-33.019;-0.208;12.052;-57.211;1.161;11.776;-101.637;-7.990
1581.000;63.240;0.029;7.296;-0.243;-0.032;14.166;-0.376;-0.253;26.325;-0.487;-0.579;42.196;-1.405;-0.584;46.510;1.621;-0.267;52.982;2.750;-7.251;56.830;3.688;6.507;57.285;3.021;-3.357;58.860;11.010;3.213;59.077;10.692;-2.052;36.953;-2.683;-16.016;35.265;-1.312;-21.273;22.504;-2.915;-27.083;8.401;-4.686;-23.119;5.410;7.311;-18.672;1.647;21.339;-19.044;-0.046;21.981;-15.392;-3.158;27.861;-14.300;-3.575;30.048;-13.385;-4.506;32.272;-12.723;-4.702;33.795;-19.069;0.772;22.197;-16.006;-0.897;28.900;-13.984;-0.968;32.451;-12.906;-0.899;35.188;-12.065;-0.968;37.051;-18.487;2.136;21.861;-15.742;1.577;29.619;-13.612;1.552;33.090;-11.576;1.725;35.795;-10.544;1.737;37.699;-18.712;3.194;21.886;-15.572;3.940;29.346;-13.174;4.040;32.390;-11.354;4.039;34.551;-9.972;3.791;36.066;-17.319;3.661;23.489;-16.444;6.662;25.226;-14.782;7.751;26.940;-14.694;10.308;28.063;1.174;37.023;-2.614;15.358;34.658;-0.926;20.732;21.144;-2.449;26.671;6.207;-4.132;22.056;4.887;7.795;16.745;2.786;22.296;16.434;1.022;23.235;14.076;-1.198;29.266;13.136;-2.596;31.688;11.930;-3.583;33.550;10.931;-4.259;34.757;16.477;1.919;23.409;14.781;1.216;29.859;13.177;0.536;33.880;11.122;0.171;36.504;9.769;0.045;38.102;15.954;3.157;23.453;14.730;3.535;30.595;13.105;3.613;34.970;11.115;3.661;37.274;9.568;3.823;38.810;16.009;4.067;23.324;14.415;6.154;30.331;12.767;7.126;33.714;11.163;7.368;35.755;9.585;7.567;37.316;15.484;4.999;23.908;15.268;8.334;25.641;14.516;10.018;28.311;14.492;12.744;28.684;0.000;0.000;0.000;-7.674;-12.219;-0.637;-10.036;-32.880;0.559;-12.809;-57.134;1.963;-12.470;-101.453;-6.293;7.517;-12.409;-1.383;9.611;-33.018;-0.211;12.069;-57.210;1.165;11.795;-101.636;-7.980
1582.000;63.280;0.025;7.295;-0.243;-0.040;14.164;-0.376;-0.267;26.321;-0.487;-0.602;42.192;-1.398;-0.604;46.510;1.635;-0.278;52.988;2.772;-7.251;56.843;3.773;6.502;57.286;2.977;-3.286;58.875;11.056;3.281;59.087;10.676;-2.074;36.949;-2.677;-16.036;35.251;-1.296;-21.268;22.484;-2.905;-27.052;8.372;-4.683;-23.071;5.393;7.310;-18.599;1.648;21.335;-18.975;-0.036;21.978;-15.305;-3.128;27.869;-14.193;-3.592;30.026;-13.215;-4.531;32.228;-12.508;-4.735;33.729;-19.009;0.780;22.198;-15.957;-0.887;28.905;-13.989;-1.009;32.483;-12.838;-1.016;35.203;-11.986;-1.117;37.060;-18.430;2.120;21.864;-15.658;1.590;29.617;-13.506;1.527;33.069;-11.474;1.709;35.756;-10.407;1.716;37.640;-18.656;3.177;21.887;-15.529;3.931;29.351;-13.143;4.040;32.408;-11.347;4.052;34.578;-9.964;3.808;36.091;-17.298;3.666;23.489;-16.381;6.657;25.236;-14.726;7.751;26.943;-14.647;10.303;28.079;1.152;37.021;-2.611;15.337;34.659;-0.939;20.729;21.154;-2.483;26.688;6.228;-4.190;22.086;4.899;7.739;16.794;2.793;22.244;16.492;1.013;23.179;14.124;-1.218;29.197;13.144;-2.604;31.619;11.884;-3.572;33.465;10.872;-4.241;34.664;16.527;1.909;23.352;14.828;1.216;29.807;13.230;0.525;33.827;11.201;0.144;36.456;9.828;-0.006;38.034;16.003;3.138;23.404;14.775;3.530;30.540;13.122;3.621;34.908;11.150;3.665;37.212;9.591;3.815;38.736;16.049;4.049;23.272;14.442;6.135;30.287;12.789;7.101;33.656;11.170;7.330;35.705;9.601;7.525;37.275;15.517;4.991;23.834;15.281;8.320;25.610;14.503;10.010;28.260;14.454;12.736;28.626;0.000;0.000;0.000;-7.669;-12.223;-0.630;-10.022;-32.882;0.567;-12.783;-57.135;1.972;-12.433;-101.452;-6.287;7.522;-12.406;-1.389;9.627;-33.013;-0.215;12.098;-57.204;1.163;11.836;-101.634;-7.974
1583.000;63.320;0.022;7.293;-0.244;-0.047;14.161;-0.377;-0.286;26.316;-0.492;-0.633;42.187;-1.396;-0.632;46.507;1.644;-0.300;52.990;2.792;-7.266;56.842;3.848;6.480;57.290;2.942;-3.244;58.876;11.099;3.320;59.090;10.667;-2.104;36.943;-2.675;-16.062;35.233;-1.267;-21.273;22.457;-2.880;-27.032;8.337;-4.664;-23.032;5.374;7.326;-18.536;1.647;21.347;-18.913;-0.039;21.995;-15.204;-3.143;27.869;-14.091;-3.610;30.005;-12.974;-4.583;32.157;-12.236;-4.818;33.639;-18.953;0.777;22.216;-15.888;-0.873;28.921;-13.916;-1.023;32.508;-12.725;-1.029;35.200;-11.813;-1.150;37.026;-18.364;2.151;21.873;-15.582;1.611;29.622;-13.373;1.538;33.043;-11.334;1.754;35.718;-10.259;1.770;37.598;-18.604;3.212;21.904;-15.472;3.951;29.360;-13.079;4.066;32.400;-11.291;4.078;34.575;-9.883;3.860;36.069;-17.284;3.675;23.499;-16.329;6.663;25.254;-14.662;7.759;26.963;-14.602;10.317;28.084;1.123;37.017;-2.614;15.311;34.665;-0.964;20.720;21.165;-2.519;26.698;6.244;-4.237;22.114;4.923;7.702;16.849;2.825;22.219;16.571;1.055;23.160;14.185;-1.147;29.188;13.112;-2.513;31.611;11.666;-3.375;33.371;10.520;-3.962;34.490;16.607;1.951;23.335;14.891;1.291;29.783;13.318;0.562;33.804;11.267;0.180;36.425;9.893;0.051;38.005;16.056;3.170;23.383;14.827;3.566;30.514;13.175;3.655;34.876;11.185;3.696;37.172;9.609;3.840;38.680;16.097;4.080;23.250;14.474;6.173;30.253;12.822;7.119;33.628;11.218;7.336;35.689;9.661;7.528;37.272;15.570;5.023;23.832;15.317;8.354;25.585;14.496;10.031;28.226;14.430;12.755;28.609;0.000;0.000;0.000;-7.667;-12.224;-0.623;-10.019;-32.885;0.576;-12.779;-57.139;1.983;-12.436;-101.451;-6.277;7.523;-12.404;-1.397;9.631;-33.012;-0.220;12.106;-57.203;1.162;11.838;-101.634;-7.967
1584.000;63.360;0.019;7.290;-0.244;-0.055;14.156;-0.378;-0.302;26.305;-0.494;-0.658;42.176;-1.395;-0.652;46.501;1.649;-0.319;52.991;2.798;-7.279;56.841;3.901;6.460;57.294;2.900;-3.208;58.876;11.125;3.353;59.093;10.647;-2.128;36.931;-2.672;-16.084;35.214;-1.243;-21.277;22.431;-2.849;-27.017;8.303;-4.625;-23.001;5.369;7.368;-18.486;1.679;21.396;-18.861;-0.015;22.035;-15.122;-3.108;27.904;-13.978;-3.657;30.008;-12.715;-4.636;32.076;-11.879;-4.881;33.504;-18.896;0.802;22.254;-15.835;-0.843;28.970;-13.904;-0.995;32.562;-12.585;-1.044;35.205;-11.592;-1.193;36.986;-18.311;2.172;21.924;-15.498;1.641;29.661;-13.221;1.616;33.032;-11.169;1.834;35.670;-10.040;1.850;37.518;-18.545;3.219;21.950;-15.424;4.011;29.390;-13.010;4.131;32.431;-11.288;4.105;34.630;-9.875;3.838;36.112;-17.226;3.717;23.550;-16.255;6.696;25.290;-14.571;7.784;26.988;-14.495;10.331;28.134;1.098;37.007;-2.617;15.285;34.658;-0.998;20.694;21.157;-2.553;26.673;6.235;-4.272;22.121;4.947;7.683;16.894;2.891;22.224;16.620;1.128;23.180;14.246;-1.034;29.218;13.040;-2.258;31.693;11.162;-2.815;33.149;9.658;-3.120;33.895;16.655;2.024;23.357;14.956;1.359;29.786;13.381;0.635;33.807;11.225;0.281;36.354;9.779;0.187;37.870;16.102;3.231;23.390;14.911;3.647;30.522;13.241;3.716;34.878;11.260;3.734;37.176;9.684;3.879;38.683;16.139;4.141;23.253;14.525;6.242;30.257;12.872;7.170;33.644;11.290;7.378;35.733;9.798;7.573;37.377;15.570;5.083;23.787;15.311;8.411;25.578;14.506;10.074;28.232;14.357;12.797;28.597;0.000;0.000;0.000;-7.664;-12.227;-0.613;-10.013;-32.888;0.592;-12.770;-57.142;2.007;-12.429;-101.453;-6.242;7.526;-12.402;-1.403;9.638;-33.010;-0.221;12.117;-57.202;1.165;11.850;-101.639;-7.931
