Frame;Time(s);abdomenUpper_T_glob;abdomenUpper_T_glob;abdomenUpper_T_glob;chestLower_T_glob;chestLower_T_glob;chestLower_T_glob;chestUpper_T_glob;chestUpper_T_glob;chestUpper_T_glob;neckLower_T_glob;neckLower_T_glob;neckLower_T_glob;neckUpper_T_glob;neckUpper_T_glob;neckUpper_T_glob;head_T_glob;head_T_glob;head_T_glob;rEar_T_glob;rEar_T_glob;rEar_T_glob;lEar_T_glob;lEar_T_glob;lEar_T_glob;rEye_T_glob;rEye_T_glob;rEye_T_glob;lEye_T_glob;lEye_T_glob;lEye_T_glob;rCollar_T_glob;rCollar_T_glob;rCollar_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrBend_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rShldrTwist_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmBend_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rForearmTwist_T_glob;rHand_T_glob;rHand_T_glob;rHand_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rCarpal4_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky1_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky2_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rPinky3_end_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rCarpal3_T_glob;rRing1_T_glob;rRing1_T_glob;rRing1_T_glob;rRing2_T_glob;rRing2_T_glob;rRing2_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rRing3_end_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rCarpal2_T_glob;rMid1_T_glob;rMid1_T_glob;rMid1_T_glob;rMid2_T_glob;rMid2_T_glob;rMid2_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rMid3_end_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rCarpal1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex1_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex2_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rIndex3_end_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb1_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb2_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;rThumb3_end_T_glob;lCollar_T_glob;lCollar_T_glob;lCollar_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrBend_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lShldrTwist_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmBend_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lForearmTwist_T_glob;lHand_T_glob;lHand_T_glob;lHand_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lCarpal4_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky1_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky2_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lPinky3_end_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lCarpal3_T_glob;lRing1_T_glob;lRing1_T_glob;lRing1_T_glob;lRing2_T_glob;lRing2_T_glob;lRing2_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lRing3_end_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lCarpal2_T_glob;lMid1_T_glob;lMid1_T_glob;lMid1_T_glob;lMid2_T_glob;lMid2_T_glob;lMid2_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lMid3_end_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lCarpal1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex1_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex2_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lIndex3_end_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb1_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb2_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;lThumb3_end_T_glob;pelvis_T_glob;pelvis_T_glob;pelvis_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighBend_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rThighTwist_T_glob;rShin_T_glob;rShin_T_glob;rShin_T_glob;rFoot_T_glob;rFoot_T_glob;rFoot_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighBend_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lThighTwist_T_glob;lShin_T_glob;lShin_T_glob;lShin_T_glob;lFoot_T_glob;lFoot_T_glob;lFoot_T_glob
;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
800.000;32.000;0.017;7.186;-0.208;0.000;13.952;-0.416;-0.071;25.921;-0.799;-0.634;41.792;-1.587;-0.652;46.029;1.371;-0.298;52.448;2.368;-7.078;56.608;3.461;6.625;56.498;1.990;-2.693;58.919;10.412;3.851;58.867;9.710;-2.033;36.539;-2.903;-16.105;34.227;-1.286;-21.058;20.995;-1.820;-26.532;6.370;-2.411;-23.780;6.455;10.133;-20.719;6.500;24.903;-21.028;4.849;25.596;-18.633;2.763;32.356;-18.026;2.881;34.747;-17.588;2.481;37.180;-17.102;2.609;38.775;-21.216;5.664;25.723;-19.836;4.851;33.021;-18.584;5.347;36.821;-17.979;5.699;39.679;-17.564;5.874;41.674;-20.843;6.805;25.487;-20.208;7.347;33.579;-18.991;7.729;37.432;-17.651;8.300;40.445;-16.838;8.475;42.444;-21.080;7.860;25.308;-20.194;9.697;33.149;-18.567;10.152;36.664;-17.395;10.370;39.162;-16.352;10.270;40.941;-20.111;8.774;27.004;-20.115;11.935;28.920;-18.991;13.437;31.084;-20.060;15.746;32.240;1.192;36.656;-2.843;15.434;34.292;-1.153;20.779;20.735;-2.416;26.685;5.750;-3.813;24.440;5.720;8.748;22.023;5.340;24.112;22.131;3.660;25.041;21.390;1.103;31.242;20.953;-0.403;33.764;19.988;-1.427;35.727;19.176;-2.106;37.064;22.181;4.550;25.244;22.025;3.416;31.800;21.307;2.362;35.995;20.195;1.565;39.019;19.368;1.203;40.912;21.547;5.665;25.461;22.011;5.684;32.727;21.629;4.938;37.309;20.509;4.397;40.068;19.524;4.227;42.012;21.484;6.579;25.369;21.478;8.181;32.755;20.843;8.406;36.580;20.067;8.197;39.068;19.245;8.010;41.131;21.049;7.459;26.012;20.938;10.701;28.085;21.208;12.109;31.062;20.736;14.783;31.509;0.000;0.000;0.000;-7.635;-12.245;-0.621;-9.589;-33.155;-0.081;-11.884;-57.701;0.552;-10.740;-101.975;-7.789;7.541;-12.361;-1.662;9.292;-33.280;-0.737;11.348;-57.838;0.348;10.137;-102.218;-8.598
801.000;32.040;0.022;7.187;-0.214;0.012;13.952;-0.429;-0.045;25.922;-0.828;-0.589;41.793;-1.618;-0.606;46.030;1.343;-0.245;52.448;2.346;-7.021;56.616;3.439;6.683;56.490;1.978;-2.637;58.912;10.397;3.907;58.852;9.699;-1.993;36.541;-2.935;-16.073;34.238;-1.337;-20.994;20.997;-1.904;-26.432;6.362;-2.531;-23.702;6.415;10.018;-20.664;6.424;24.795;-20.970;4.766;25.483;-18.564;2.679;32.238;-17.900;2.819;34.623;-17.385;2.440;37.042;-16.829;2.586;38.612;-21.159;5.580;25.611;-19.798;4.748;32.909;-18.550;5.244;36.717;-17.949;5.587;39.578;-17.535;5.756;41.573;-20.793;6.724;25.382;-20.170;7.251;33.470;-18.951;7.627;37.326;-17.604;8.220;40.329;-16.781;8.391;42.325;-21.031;7.771;25.202;-20.169;9.599;33.047;-18.573;10.035;36.576;-17.414;10.250;39.084;-16.384;10.156;40.871;-20.066;8.688;26.897;-20.068;11.844;28.834;-18.960;13.345;31.003;-20.029;15.654;32.158;1.232;36.655;-2.871;15.471;34.270;-1.169;20.760;20.696;-2.471;26.606;5.693;-3.911;24.364;5.637;8.651;21.944;5.223;24.016;22.036;3.524;24.937;21.276;0.957;31.131;20.836;-0.550;33.647;19.847;-1.564;35.605;19.017;-2.237;36.934;22.086;4.414;25.142;21.937;3.277;31.699;21.206;2.203;35.886;20.054;1.402;38.901;19.221;1.038;40.791;21.474;5.557;25.364;21.943;5.528;32.634;21.557;4.768;37.210;20.395;4.227;39.955;19.359;4.050;41.872;21.422;6.472;25.275;21.444;8.029;32.665;20.813;8.252;36.495;20.004;8.020;38.984;19.178;7.831;41.045;20.983;7.343;25.914;20.905;10.579;28.007;21.183;11.975;30.987;20.733;14.651;31.445;0.000;0.000;0.000;-7.640;-12.241;-0.622;-9.599;-33.152;-0.077;-11.899;-57.699;0.562;-10.745;-101.965;-7.806;7.536;-12.366;-1.644;9.284;-33.281;-0.720;11.335;-57.833;0.364;10.126;-102.209;-8.613
802.000;32.080;0.026;7.187;-0.218;0.023;13.953;-0.439;-0.017;25.924;-0.848;-0.546;41.796;-1.633;-0.561;46.033;1.330;-0.194;52.451;2.336;-6.966;56.625;3.428;6.739;56.486;1.981;-2.587;58.907;10.394;3.958;58.841;9.702;-1.954;36.546;-2.953;-16.039;34.252;-1.366;-20.937;21.007;-1.969;-26.351;6.368;-2.637;-23.630;6.379;9.917;-20.603;6.344;24.699;-20.905;4.676;25.378;-18.496;2.584;32.126;-17.787;2.753;34.507;-17.154;2.381;36.898;-16.512;2.560;38.432;-21.098;5.489;25.508;-19.767;4.645;32.805;-18.515;5.140;36.623;-17.929;5.475;39.480;-17.512;5.652;41.475;-20.737;6.639;25.278;-20.127;7.130;33.378;-18.920;7.503;37.236;-17.568;8.070;40.243;-16.734;8.237;42.235;-20.976;7.690;25.104;-20.133;9.494;32.960;-18.565;9.909;36.506;-17.429;10.118;39.018;-16.403;10.020;40.807;-20.018;8.602;26.816;-20.020;11.753;28.760;-18.913;13.239;30.938;-19.990;15.545;32.090;1.271;36.656;-2.887;15.508;34.255;-1.178;20.768;20.674;-2.513;26.582;5.663;-3.989;24.332;5.561;8.572;21.902;5.087;23.936;21.977;3.367;24.838;21.180;0.785;31.030;20.719;-0.751;33.518;19.697;-1.746;35.468;18.822;-2.404;36.776;22.025;4.255;25.046;21.860;3.096;31.607;21.103;1.987;35.776;19.869;1.171;38.767;18.999;0.798;40.639;21.417;5.424;25.289;21.880;5.350;32.558;21.463;4.548;37.123;20.237;3.992;39.842;19.138;3.818;41.723;21.376;6.340;25.206;21.401;7.853;32.588;20.760;8.040;36.422;19.910;7.781;38.895;19.030;7.582;40.932;20.910;7.205;25.838;20.881;10.426;27.954;21.143;11.803;30.949;20.723;14.483;31.412;0.000;0.000;0.000;-7.646;-12.238;-0.618;-9.607;-33.147;-0.067;-11.909;-57.693;0.580;-10.752;-101.958;-7.812;7.531;-12.370;-1.636;9.279;-33.282;-0.712;11.330;-57.831;0.373;10.118;-102.202;-8.621
803.000;32.120;0.029;7.186;-0.221;0.033;13.951;-0.445;0.011;25.919;-0.862;-0.508;41.793;-1.640;-0.519;46.029;1.327;-0.145;52.446;2.340;-6.914;56.626;3.429;6.793;56.474;1.995;-2.539;58.898;10.400;4.007;58.825;9.715;-1.919;36.543;-2.962;-16.006;34.254;-1.383;-20.889;21.008;-2.024;-26.286;6.368;-2.733;-23.581;6.350;9.825;-20.574;6.277;24.613;-20.878;4.607;25.289;-18.442;2.521;32.025;-17.675;2.713;34.391;-16.919;2.420;36.765;-16.193;2.647;38.254;-21.075;5.419;25.422;-19.733;4.559;32.712;-18.482;5.051;36.528;-17.871;5.375;39.389;-17.446;5.560;41.380;-20.710;6.597;25.187;-20.102;7.047;33.287;-18.859;7.418;37.141;-17.503;7.980;40.139;-16.625;8.148;42.111;-20.954;7.640;25.017;-20.121;9.412;32.872;-18.548;9.822;36.426;-17.408;10.021;38.936;-16.384;9.918;40.726;-19.992;8.530;26.734;-19.987;11.679;28.679;-18.865;13.159;30.858;-19.937;15.461;32.024;1.306;36.652;-2.896;15.543;34.238;-1.181;20.798;20.657;-2.541;26.606;5.647;-4.044;24.329;5.487;8.515;21.868;4.943;23.875;21.936;3.214;24.766;21.123;0.590;30.936;20.629;-0.965;33.403;19.570;-1.985;35.337;18.680;-2.628;36.643;21.981;4.102;24.978;21.811;2.892;31.531;21.017;1.756;35.688;19.689;0.914;38.635;18.762;0.532;40.477;21.380;5.278;25.227;21.830;5.163;32.501;21.380;4.289;37.052;20.071;3.710;39.732;18.912;3.514;41.575;21.342;6.195;25.149;21.350;7.663;32.547;20.716;7.813;36.376;19.849;7.496;38.824;18.916;7.276;40.836;20.876;7.051;25.794;20.823;10.260;27.919;21.104;11.611;30.918;20.655;14.281;31.411;0.000;0.000;0.000;-7.647;-12.237;-0.613;-9.609;-33.147;-0.057;-11.912;-57.693;0.595;-10.758;-101.957;-7.819;7.529;-12.372;-1.633;9.279;-33.283;-0.709;11.333;-57.831;0.375;10.119;-102.204;-8.625
804.000;32.160;0.031;7.186;-0.221;0.042;13.951;-0.448;0.034;25.918;-0.873;-0.474;41.792;-1.640;-0.482;46.026;1.329;-0.101;52.443;2.346;-6.867;56.626;3.443;6.839;56.467;2.003;-2.487;58.887;10.415;4.058;58.811;9.727;-1.889;36.545;-2.967;-15.977;34.259;-1.390;-20.857;21.014;-2.055;-26.251;6.375;-2.790;-23.557;6.342;9.770;-20.561;6.252;24.560;-20.869;4.580;25.236;-18.413;2.503;31.971;-17.643;2.746;34.312;-16.713;2.530;36.642;-15.838;2.846;38.032;-21.063;5.392;25.371;-19.714;4.516;32.664;-18.487;5.004;36.473;-17.816;5.353;39.326;-17.351;5.520;41.311;-20.696;6.576;25.132;-20.091;7.026;33.241;-18.850;7.347;37.090;-17.423;7.897;40.065;-16.518;8.060;42.026;-20.947;7.620;24.968;-20.120;9.371;32.825;-18.532;9.774;36.387;-17.392;9.979;38.893;-16.392;9.856;40.695;-19.988;8.502;26.679;-19.968;11.648;28.636;-18.841;13.124;30.810;-19.899;15.426;31.989;1.337;36.651;-2.900;15.570;34.224;-1.183;20.830;20.646;-2.564;26.644;5.639;-4.090;24.347;5.432;8.467;21.864;4.829;23.822;21.927;3.091;24.706;21.118;0.440;30.855;20.589;-1.136;33.310;19.499;-2.165;35.228;18.597;-2.800;36.529;21.967;3.979;24.922;21.808;2.742;31.466;20.993;1.565;35.609;19.578;0.710;38.522;18.613;0.319;40.343;21.386;5.134;25.177;21.811;5.004;32.450;21.356;4.082;36.992;19.996;3.492;39.644;18.793;3.295;41.457;21.336;6.051;25.102;21.338;7.506;32.508;20.726;7.670;36.329;19.819;7.292;38.768;18.861;7.059;40.767;20.866;6.925;25.739;20.816;10.120;27.902;21.106;11.457;30.869;20.644;14.115;31.415;0.000;0.000;0.000;-7.649;-12.236;-0.609;-9.613;-33.145;-0.053;-11.918;-57.690;0.599;-10.779;-101.954;-7.829;7.527;-12.372;-1.639;9.276;-33.283;-0.716;11.328;-57.831;0.366;10.107;-102.204;-8.632
805.000;32.200;0.033;7.185;-0.223;0.047;13.949;-0.451;0.047;25.916;-0.880;-0.451;41.790;-1.645;-0.454;46.025;1.329;-0.066;52.441;2.355;-6.827;56.629;3.467;6.878;56.458;2.012;-2.438;58.873;10.438;4.107;58.792;9.743;-1.869;36.544;-2.972;-15.957;34.269;-1.393;-20.843;21.026;-2.060;-26.243;6.388;-2.797;-23.568;6.362;9.766;-20.595;6.284;24.562;-20.904;4.599;25.230;-18.428;2.547;31.972;-17.620;2.819;34.280;-16.338;2.730;36.477;-15.279;3.139;37.705;-21.097;5.412;25.363;-19.779;4.540;32.660;-18.504;4.990;36.477;-17.654;5.361;39.280;-17.007;5.526;41.213;-20.729;6.622;25.128;-20.139;7.040;33.241;-18.847;7.338;37.082;-17.279;7.863;40.007;-16.311;7.995;41.940;-20.991;7.667;24.969;-20.171;9.395;32.831;-18.584;9.778;36.377;-17.431;9.965;38.893;-16.431;9.841;40.695;-20.014;8.532;26.692;-20.001;11.673;28.636;-18.865;13.147;30.818;-19.926;15.442;32.008;1.357;36.648;-2.906;15.588;34.210;-1.194;20.850;20.633;-2.584;26.667;5.627;-4.120;24.376;5.391;8.438;21.899;4.751;23.794;21.958;3.000;24.669;21.150;0.332;30.811;20.599;-1.245;33.259;19.479;-2.271;35.160;18.556;-2.907;36.446;21.995;3.887;24.886;21.853;2.643;31.431;21.022;1.437;35.564;19.554;0.590;38.453;18.533;0.205;40.244;21.427;5.041;25.151;21.858;4.911;32.422;21.395;3.970;36.964;19.985;3.364;39.590;18.731;3.173;41.370;21.372;5.957;25.079;21.378;7.404;32.484;20.739;7.534;36.318;19.805;7.152;38.728;18.837;6.888;40.718;20.901;6.841;25.716;20.854;10.029;27.891;21.153;11.351;30.873;20.690;14.006;31.425;0.000;0.000;0.000;-7.651;-12.235;-0.604;-9.619;-33.145;-0.045;-11.928;-57.692;0.610;-10.798;-101.953;-7.826;7.524;-12.374;-1.640;9.273;-33.284;-0.718;11.325;-57.830;0.363;10.096;-102.204;-8.630
806.000;32.240;0.034;7.183;-0.225;0.048;13.946;-0.456;0.053;25.910;-0.891;-0.440;41.784;-1.660;-0.437;46.021;1.319;-0.038;52.436;2.358;-6.794;56.629;3.481;6.910;56.447;2.020;-2.400;58.854;10.455;4.144;58.767;9.758;-1.861;36.538;-2.984;-15.949;34.273;-1.393;-20.845;21.037;-2.050;-26.256;6.408;-2.775;-23.609;6.424;9.792;-20.667;6.400;24.594;-20.955;4.697;25.244;-18.511;2.652;32.034;-17.771;2.805;34.355;-15.925;2.955;36.122;-14.534;3.555;36.829;-21.138;5.513;25.369;-19.966;4.645;32.697;-18.654;4.963;36.547;-17.171;5.354;39.091;-15.968;5.560;40.733;-20.797;6.746;25.164;-20.279;7.165;33.265;-18.937;7.457;37.113;-17.004;7.966;39.820;-15.696;8.088;41.542;-21.076;7.789;24.997;-20.280;9.560;32.843;-18.691;9.960;36.374;-17.506;10.191;38.869;-16.482;10.086;40.658;-20.112;8.647;26.723;-20.007;11.785;28.678;-18.787;13.193;30.878;-19.748;15.507;32.116;1.364;36.641;-2.921;15.595;34.203;-1.222;20.860;20.624;-2.604;26.679;5.615;-4.132;24.409;5.353;8.435;21.954;4.684;23.805;22.026;2.942;24.672;21.242;0.241;30.802;20.678;-1.353;33.243;19.512;-2.369;35.124;18.570;-3.011;36.394;22.068;3.828;24.892;21.960;2.554;31.424;21.142;1.306;35.557;19.608;0.480;38.420;18.547;0.100;40.189;21.489;4.965;25.165;21.961;4.826;32.424;21.479;3.849;36.963;19.979;3.250;39.548;18.643;3.051;41.266;21.432;5.882;25.096;21.463;7.315;32.496;20.786;7.378;36.322;19.766;6.956;38.692;18.729;6.658;40.642;20.952;6.755;25.715;20.909;9.930;27.940;21.228;11.231;30.922;20.739;13.878;31.494;0.000;0.000;0.000;-7.652;-12.235;-0.599;-9.619;-33.146;-0.040;-11.929;-57.692;0.615;-10.803;-101.957;-7.822;7.523;-12.374;-1.638;9.273;-33.281;-0.717;11.327;-57.823;0.364;10.081;-102.205;-8.628
807.000;32.280;0.035;7.182;-0.228;0.050;13.944;-0.463;0.055;25.906;-0.905;-0.443;41.780;-1.671;-0.435;46.017;1.315;-0.023;52.429;2.369;-6.773;56.628;3.505;6.930;56.432;2.036;-2.372;58.833;10.481;4.172;58.740;9.779;-1.863;36.534;-2.995;-15.948;34.289;-1.398;-20.872;21.067;-1.976;-26.314;6.454;-2.616;-23.693;6.577;9.954;-20.779;6.686;24.762;-20.993;4.959;25.399;-18.636;2.943;32.250;-17.865;2.924;34.571;-15.513;3.587;35.368;-14.157;4.481;34.968;-21.168;5.779;25.514;-20.178;4.944;32.882;-18.557;5.151;36.642;-16.109;5.780;38.295;-14.203;6.177;38.922;-20.910;7.063;25.333;-20.524;7.477;33.416;-18.967;7.763;37.223;-16.384;8.302;39.301;-14.488;8.454;40.336;-21.230;8.081;25.156;-20.564;9.934;32.964;-18.939;10.522;36.439;-17.711;10.865;38.921;-16.668;10.862;40.703;-20.291;8.960;26.932;-19.838;12.062;28.870;-18.308;13.194;31.060;-18.804;15.505;32.550;1.363;36.638;-2.933;15.596;34.208;-1.245;20.865;20.626;-2.610;26.689;5.614;-4.119;24.451;5.301;8.466;22.027;4.577;23.866;22.114;2.819;24.703;21.390;0.062;30.809;20.785;-1.535;33.247;19.500;-2.496;35.077;18.456;-3.096;36.285;22.153;3.703;24.928;22.136;2.369;31.446;21.226;1.084;35.549;19.485;0.284;38.300;18.281;-0.101;39.975;21.578;4.822;25.246;22.110;4.644;32.460;21.514;3.606;36.976;19.818;3.016;39.445;18.285;2.809;40.989;21.510;5.738;25.184;21.591;7.117;32.549;20.762;7.080;36.337;19.560;6.580;38.608;18.348;6.214;40.441;21.037;6.614;25.800;20.979;9.732;28.086;21.310;10.975;31.076;20.804;13.598;31.733;0.000;0.000;0.000;-7.654;-12.234;-0.595;-9.625;-33.145;-0.038;-11.939;-57.693;0.617;-10.826;-101.955;-7.821;7.522;-12.376;-1.633;9.265;-33.287;-0.714;11.311;-57.834;0.366;10.061;-102.206;-8.624
808.000;32.320;0.036;7.181;-0.234;0.053;13.942;-0.474;0.063;25.903;-0.927;-0.438;41.777;-1.688;-0.431;46.013;1.311;-0.015;52.419;2.396;-6.766;56.614;3.537;6.937;56.425;2.069;-2.367;58.810;10.517;4.177;58.720;9.816;-1.856;36.531;-3.015;-15.929;34.317;-1.434;-20.927;21.112;-1.763;-26.451;6.517;-2.127;-23.834;6.928;10.455;-20.921;7.378;25.294;-20.988;5.599;25.956;-18.501;3.834;32.777;-17.464;3.934;35.028;-15.275;5.142;34.503;-14.830;5.914;33.088;-21.177;6.419;26.049;-20.121;5.723;33.436;-17.366;6.380;36.455;-14.527;7.466;36.153;-12.876;7.997;35.069;-21.062;7.842;25.832;-20.630;8.293;33.838;-18.205;8.840;37.162;-14.978;9.548;37.765;-12.847;9.775;37.450;-21.484;8.816;25.658;-20.893;10.761;33.373;-19.221;11.620;36.783;-17.994;12.163;39.228;-16.958;12.294;41.009;-20.544;9.700;27.493;-19.683;12.707;29.316;-17.747;13.401;31.496;-17.540;15.450;33.384;1.369;36.636;-2.951;15.601;34.227;-1.257;20.893;20.647;-2.581;26.743;5.637;-4.045;24.528;5.198;8.574;22.127;4.315;24.027;22.256;2.519;24.790;21.625;-0.323;30.836;20.836;-1.840;33.321;19.116;-2.527;34.882;17.682;-2.820;35.759;22.275;3.401;25.028;22.386;1.936;31.526;21.115;0.639;35.533;18.743;-0.109;37.801;17.092;-0.406;39.058;21.691;4.484;25.455;22.307;4.188;32.566;21.308;3.055;36.982;19.250;2.419;39.148;17.421;2.182;40.321;21.600;5.399;25.409;21.720;6.621;32.702;20.609;6.365;36.392;19.192;5.763;38.470;17.693;5.223;40.028;21.108;6.258;26.007;20.947;9.236;28.485;21.217;10.322;31.557;20.605;12.866;32.410;0.000;0.000;0.000;-7.654;-12.234;-0.594;-9.629;-33.146;-0.031;-11.947;-57.695;0.629;-10.831;-101.959;-7.802;7.522;-12.379;-1.614;9.259;-33.290;-0.691;11.299;-57.838;0.392;10.041;-102.210;-8.602
